|6.6.6
Archiving\03_Data\fracLP/QFM_m4.5/ALH/ALH_1.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         melt(TH)       mang           iron           O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1942.36        500.000        97.3390       0.458585        2.20239                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.85        500.000        97.3086       0.458625        2.23274                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1937.34        500.000        97.2782       0.458665        2.26312                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1934.84        500.000        97.2479       0.458705        2.29340                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.33        500.000        97.2494       0.458703        2.29193                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.82        500.000        97.1873       0.458784        2.35390                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1927.32        500.000        97.1571       0.458823        2.38408                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1924.81        500.000        97.1269       0.458863        2.41420                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1922.31        500.000        97.0968       0.458902        2.44432                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.80        500.000        97.1559       0.458825        2.38524                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1917.29        500.000        97.0367       0.458981        2.50433                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1914.79        500.000        97.0067       0.459020        2.53430                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1912.28        500.000        96.9767       0.459059        2.56420                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1909.77        500.000        96.9468       0.459098        2.59408                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.27        500.000        96.9170       0.459137        2.62390                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1904.76        500.000        96.8872       0.459176        2.65367                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1902.26        500.000        97.0963       0.458903        2.44478                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1899.75        500.000        96.8276       0.459254        2.71311                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        500.000        96.7979       0.459293        2.74276                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        500.000        96.7683       0.459331        2.77235                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        500.000        96.7387       0.459370        2.80189                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        500.000        96.7092       0.459409        2.83141                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        500.000        96.6797       0.459447        2.86085                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        500.000        96.6503       0.459486        2.89026                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        500.000        96.6208       0.459524        2.91963                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        500.000        96.4540       0.459551        2.93987       0.146555                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        500.000        99.4356                 NaN  0.353320E-002  0.560903                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        500.000        99.3772                 NaN  0.112437E-001  0.611508                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        500.000        99.3896                 NaN            NaN  0.610384                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        500.000        99.3889                 NaN            NaN  0.611056                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        500.000        99.3902                 NaN            NaN  0.609826                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        500.000        99.3893                 NaN            NaN  0.610708                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        500.000        99.3981                 NaN            NaN  0.601938                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        500.000        99.2141                 NaN            NaN  0.785910                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        500.000        99.5845                 NaN            NaN  0.415476                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        500.000        99.4017                 NaN            NaN  0.598274                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        500.000        99.4007                 NaN            NaN  0.599259                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        500.000        99.4081                 NaN            NaN  0.591866                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        500.000        99.4070                 NaN            NaN  0.592956                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        500.000        99.4082                 NaN            NaN  0.591823                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        500.000        99.3669                 NaN            NaN  0.633127                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        500.000        99.4553                 NaN            NaN  0.544727                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        500.000        99.4132                 NaN            NaN  0.586810                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        500.000        99.4137                 NaN            NaN  0.586253                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        500.000        99.4138                 NaN            NaN  0.586161                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        500.000        99.4185                 NaN            NaN  0.581466                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        500.000        99.4165                 NaN            NaN  0.583451                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        500.000        99.4185                 NaN            NaN  0.581548                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        500.000        99.4181                 NaN            NaN  0.581858                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        500.000        99.4187                 NaN            NaN  0.581320                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        500.000        99.4198                 NaN            NaN  0.580193                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        500.000        99.4158                 NaN            NaN  0.584242                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        500.000        99.4223                 NaN            NaN  0.577707                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        500.000        99.4199                 NaN            NaN  0.580135                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        500.000        99.4198                 NaN            NaN  0.580202                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        500.000        99.4196                 NaN            NaN  0.580449                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        500.000        99.4182                 NaN            NaN  0.581820                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        500.000        99.4204                 NaN            NaN  0.579573                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        500.000        99.4186                 NaN            NaN  0.581408                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        500.000        99.4177                 NaN            NaN  0.582319                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        500.000        99.4128                 NaN            NaN  0.580846       0.638021E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        500.000        99.4023                 NaN            NaN  0.582849       0.148400E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        500.000        99.4016                 NaN            NaN  0.583582       0.147929E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        500.000        99.4001                 NaN            NaN  0.585070       0.147892E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        500.000        99.3979                 NaN            NaN  0.587295       0.147855E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        500.000        99.3993                 NaN            NaN  0.586013       0.146902E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        500.000        99.3970                 NaN            NaN  0.588300       0.147100E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        500.000        99.3950                 NaN            NaN  0.590362       0.146865E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        500.000        99.3928                 NaN            NaN  0.592546       0.146832E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        500.000        99.3934                 NaN            NaN  0.592001       0.145741E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        500.000        99.3906                 NaN            NaN  0.594851       0.145981E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        500.000        99.3881                 NaN            NaN  0.597310       0.145952E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        500.000        99.3873                 NaN            NaN  0.598115       0.145481E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        500.000        99.3850                 NaN            NaN  0.600462       0.145456E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        500.000        99.5114                 NaN            NaN  0.477087       0.115489E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        500.000        99.9518                 NaN            NaN  0.468442E-001  0.135088E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        500.000        98.6825                 NaN            NaN   1.28704       0.304907E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        500.000        99.3752                 NaN            NaN  0.610358       0.144892E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        500.000        99.4114                 NaN            NaN  0.575066       0.135546E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        500.000        99.3348                 NaN            NaN  0.649961       0.152774E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        500.000        99.3697                 NaN            NaN  0.615915       0.143686E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        500.000        99.3687                 NaN            NaN  0.616942       0.143235E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        500.000        99.3638                 NaN            NaN  0.621836       0.143409E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        500.000        99.3616                 NaN            NaN  0.624030       0.143304E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        500.000        99.3600                 NaN            NaN  0.625717       0.143081E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        500.000        98.9258                 NaN            NaN   1.05032       0.239049E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        500.000        99.7974                 NaN            NaN  0.198099       0.446373E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        500.000        99.3478                 NaN            NaN  0.637901       0.143393E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        500.000        99.3488                 NaN            NaN  0.636972       0.142439E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        500.000        99.3471                 NaN            NaN  0.638667       0.141873E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        500.000        99.3424                 NaN            NaN  0.643422       0.142159E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        500.000        99.3404                 NaN            NaN  0.645368       0.142278E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        500.000        98.6241                 NaN            NaN   1.34650       0.293996E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        500.000        99.9997                 NaN            NaN            NaN  0.321751E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        500.000        99.3913                 NaN            NaN  0.596128       0.126114E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        500.000        99.3284                 NaN            NaN  0.657445       0.141302E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        500.000        99.3286                 NaN            NaN  0.657364       0.140759E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        500.000        99.3226                 NaN            NaN  0.663236       0.141199E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        500.000        99.3245                 NaN            NaN  0.661454       0.140355E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        500.000        99.3201                 NaN            NaN  0.665794       0.140564E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        500.000        99.3171                 NaN            NaN  0.668832       0.140694E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        500.000        99.3149                 NaN            NaN  0.671029       0.140420E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        500.000        99.3157                 NaN            NaN  0.670320       0.139419E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        500.000        99.3115                 NaN            NaN  0.674508       0.140098E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        500.000        99.3085                 NaN            NaN  0.677516       0.139738E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        500.000        99.3099                 NaN            NaN  0.676206       0.139424E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        500.000        99.3120                 NaN            NaN  0.674261       0.137785E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        500.000        99.2965                 NaN            NaN  0.689395       0.140951E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        500.000        99.3058                 NaN            NaN  0.680384       0.138194E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        500.000        99.3013                 NaN            NaN  0.684796       0.138964E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        500.000        99.3018                 NaN            NaN  0.684393       0.138287E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        500.000        99.7759                 NaN            NaN  0.219589       0.450664E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        500.000        98.8242                 NaN            NaN   1.15274       0.230729E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        500.000        99.2977                 NaN            NaN  0.688549       0.137961E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        500.000        99.1903                 NaN            NaN  0.794518       0.151631E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        500.000        99.3934                 NaN            NaN  0.594342       0.122191E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        500.000        99.2963                 NaN            NaN  0.689951       0.137228E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        500.000        99.2514                 NaN            NaN  0.733969       0.145921E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        500.000        99.3277                 NaN            NaN  0.659252       0.130757E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        500.000        99.7316                 NaN            NaN  0.263258       0.517886E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        500.000        98.8851                 NaN            NaN   1.09322       0.216668E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        500.000        99.2961                 NaN            NaN  0.690221       0.136474E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        500.000        99.3033                 NaN            NaN  0.683214       0.134749E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        500.000        99.2995                 NaN            NaN  0.686957       0.135120E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        500.000        99.3035                 NaN            NaN  0.683025       0.134407E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        500.000        99.3032                 NaN            NaN  0.683350       0.134265E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        500.000        99.3049                 NaN            NaN  0.681754       0.133869E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        500.000        99.6421                 NaN            NaN  0.350941       0.692190E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        500.000        99.9630                 NaN            NaN  0.368877E-001  0.154137E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        500.000        98.3271                 NaN            NaN   1.64010       0.327728E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        500.000        99.3133                 NaN            NaN  0.673476       0.132349E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        500.000        99.3145                 NaN            NaN  0.672260       0.132289E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        500.000        99.3134                 NaN            NaN  0.673372       0.132339E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        500.000        99.3259                 NaN            NaN  0.661056       0.129990E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        500.000        99.3232                 NaN            NaN  0.663759       0.130630E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        500.000        99.3265                 NaN            NaN  0.660437       0.130150E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        500.000        99.3293                 NaN            NaN  0.657694       0.129842E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        500.000        99.3330                 NaN            NaN  0.654054       0.129119E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        500.000        99.3363                 NaN            NaN  0.650795       0.128696E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        500.000        99.3397                 NaN            NaN  0.647452       0.128140E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        500.000        99.3434                 NaN            NaN  0.643803       0.127730E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        500.000        99.3476                 NaN            NaN  0.639710       0.127152E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        500.000        99.1895                 NaN            NaN  0.794233       0.162452E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        500.000        99.5141                 NaN            NaN  0.476952       0.894323E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        500.000        99.3593                 NaN            NaN  0.628206       0.125433E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        500.000        99.3633                 NaN            NaN  0.624217       0.124932E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        500.000        99.3676                 NaN            NaN  0.620018       0.124170E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        500.000        99.3720                 NaN            NaN  0.615610       0.123724E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        500.000        99.3757                 NaN            NaN  0.611950       0.123054E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        500.000        99.3806                 NaN            NaN  0.607116       0.122467E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        500.000        99.3843                 NaN            NaN  0.603462       0.121905E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        500.000        99.3852                 NaN            NaN  0.602581       0.122213E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        500.000        98.9138                 NaN            NaN  0.164792                 NaN  0.921383                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        500.000        98.7527                 NaN            NaN  0.178112E-001            NaN   1.22944                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        500.000        98.7690                 NaN            NaN  0.146698E-001            NaN   1.21629                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        500.000        98.7862                 NaN            NaN  0.122306E-001            NaN   1.20154                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        500.000        98.8061                 NaN            NaN  0.130018E-001            NaN   1.18093                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.87        500.000        98.8207                 NaN            NaN  0.957032E-002            NaN   1.16977                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.37        500.000        98.8389                 NaN            NaN  0.942199E-002            NaN   1.15171                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        500.000        98.8562                 NaN            NaN  0.250434E-001            NaN   1.11878                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        500.000        98.8271                 NaN            NaN  0.436372E-001            NaN   1.12927                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        500.000        98.9258                 NaN            NaN  0.115553E-005            NaN   1.07424                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.34        500.000        98.8997                 NaN            NaN            NaN            NaN   1.10034                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.83        500.000        98.9129                 NaN            NaN  0.460403E-002            NaN   1.08252                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.33        500.000        98.9313                 NaN            NaN  0.583548E-002            NaN   1.06289                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.82        500.000        98.9416                 NaN            NaN            NaN            NaN   1.05841                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.32        500.000        98.9547                 NaN            NaN            NaN            NaN   1.04532                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.81        500.000        99.3957                 NaN            NaN  0.172564                 NaN  0.431708                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.30        500.000        99.4498                 NaN            NaN  0.669130E-004            NaN            NaN  0.550126                 NaN            NaN            NaN            NaN            NaN            NaN
  1518.80        500.000        98.0318                 NaN            NaN            NaN            NaN   1.96821                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.29        500.000        98.9878                 NaN            NaN            NaN            NaN  0.897697       0.114470                 NaN            NaN            NaN            NaN            NaN            NaN
  1513.78        500.000        98.8696                 NaN            NaN            NaN            NaN  0.277006       0.853375                 NaN            NaN            NaN            NaN            NaN            NaN
  1511.28        500.000        98.8466                 NaN            NaN            NaN            NaN  0.123955        1.02942                 NaN            NaN            NaN            NaN            NaN            NaN
  1508.77        500.000        98.8561                 NaN            NaN            NaN            NaN  0.116333        1.02752                 NaN            NaN            NaN            NaN            NaN            NaN
  1506.27        500.000        98.8633                 NaN            NaN            NaN            NaN  0.109369        1.02737                 NaN            NaN            NaN            NaN            NaN            NaN
  1503.76        500.000        98.8695                 NaN            NaN            NaN            NaN  0.101079        1.02947                 NaN            NaN            NaN            NaN            NaN            NaN
  1501.25        500.000        98.8800                 NaN            NaN            NaN            NaN  0.924953E-001   1.02752                 NaN            NaN            NaN            NaN            NaN            NaN
  1498.75        500.000        98.8857                 NaN            NaN            NaN            NaN  0.853945E-001   1.02890                 NaN            NaN            NaN            NaN            NaN            NaN
