|6.6.6
Archiving\03_Data\eqfracLP/QFM_m1.25/TIS/TIS_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        O(HP)          an             ilm            San(TH)        q             
  1395.51        500.000       0.257663E-002   98.8254       0.304870       0.372709       0.106658       0.387835                 NaN            NaN            NaN
  1394.45        500.000                 NaN   98.8663       0.372589       0.265847       0.118544       0.376678                 NaN            NaN            NaN
  1393.39        500.000                 NaN   98.6695       0.313560       0.438849       0.135632       0.442472                 NaN            NaN            NaN
  1392.33        500.000                 NaN   99.0742       0.204595       0.307486       0.104319       0.309435                 NaN            NaN            NaN
  1391.27        500.000                 NaN   98.8923       0.269924       0.363028       0.108086       0.366680                 NaN            NaN            NaN
  1390.21        500.000                 NaN   98.9050       0.250018       0.362794       0.117564       0.364657                 NaN            NaN            NaN
  1389.15        500.000                 NaN   98.6997       0.291144       0.432830       0.142843       0.433438                 NaN            NaN            NaN
  1388.09        500.000                 NaN   99.1478       0.189668       0.283836       0.944848E-001  0.284247                 NaN            NaN            NaN
  1387.03        500.000                 NaN   98.9445       0.352918       0.230931       0.119229       0.352457                 NaN            NaN            NaN
  1385.97        500.000                 NaN   98.9515       0.351714       0.225988       0.120159       0.350649                 NaN            NaN            NaN
  1384.91        500.000                 NaN   98.9670       0.220270       0.347218       0.119970       0.345553                 NaN            NaN            NaN
  1383.85        500.000                 NaN   98.9773       0.344961       0.214234       0.120984       0.342514                 NaN            NaN            NaN
  1382.79        500.000                 NaN   98.9877       0.208201       0.342710       0.121762       0.339579                 NaN            NaN            NaN
  1381.73        500.000                 NaN   98.9974       0.339191       0.204389       0.122325       0.336742                 NaN            NaN            NaN
  1380.67        500.000                 NaN   99.0122       0.197026       0.336288       0.122592       0.331859                 NaN            NaN            NaN
  1379.61        500.000                 NaN   99.0210       0.334294       0.193127       0.122646       0.328918                 NaN            NaN            NaN
  1378.55        500.000                 NaN   99.0322       0.186850       0.331389       0.123661       0.325862                 NaN            NaN            NaN
  1377.48        500.000                 NaN   99.0418       0.182143       0.329298       0.124080       0.322722                 NaN            NaN            NaN
  1376.42        500.000                 NaN   99.0509       0.327281       0.177422       0.124551       0.319829                 NaN            NaN            NaN
  1375.36        500.000                 NaN   99.0612       0.324822       0.172324       0.124932       0.316729                 NaN            NaN            NaN
  1374.30        500.000                 NaN   99.0708       0.322563       0.167571       0.125358       0.313728                 NaN            NaN            NaN
  1373.24        500.000                 NaN   99.0804       0.320425       0.162442       0.125875       0.310822                 NaN            NaN            NaN
  1372.18        500.000                 NaN   99.0901       0.318002       0.158099       0.126116       0.307716                 NaN            NaN            NaN
  1371.12        500.000                 NaN   99.0976       0.153825       0.316382       0.126729       0.305424                 NaN            NaN            NaN
  1370.06        500.000                 NaN   99.1078       0.313937       0.149439       0.126650       0.302194                 NaN            NaN            NaN
  1369.00        500.000                 NaN   99.1180       0.311407       0.144519       0.127143       0.298914                 NaN            NaN            NaN
  1367.94        500.000                 NaN   99.1253       0.310182       0.139828       0.127841       0.296846                 NaN            NaN            NaN
  1366.88        500.000                 NaN   99.1329       0.308725       0.134845       0.128813       0.294738                 NaN            NaN            NaN
  1365.82        500.000                 NaN   99.1354       0.309624       0.130121       0.130060       0.294754                 NaN            NaN            NaN
  1364.76        500.000                 NaN   99.1639       0.128542       0.298077       0.125964       0.283499                 NaN            NaN            NaN
  1363.70        500.000                 NaN   99.1608       0.124450       0.301115       0.128204       0.285417                 NaN            NaN            NaN
  1362.64        500.000                 NaN   99.1685       0.120244       0.299348       0.128864       0.283041                 NaN            NaN            NaN
  1361.58        500.000                 NaN   99.1764       0.297691       0.116441       0.128984       0.280495                 NaN            NaN            NaN
  1360.52        500.000                 NaN   99.1742       0.115324       0.299549       0.129463       0.281439                 NaN            NaN            NaN
  1359.46        500.000                 NaN   99.1963       0.292077       0.109098       0.128607       0.273875                 NaN            NaN            NaN
  1358.40        500.000                 NaN   99.2007       0.291631       0.106503       0.128654       0.272550                 NaN            NaN            NaN
  1357.34        500.000                 NaN   99.2073       0.290303       0.102374       0.129395       0.270631                 NaN            NaN            NaN
  1356.28        500.000                 NaN   99.2144       0.981010E-001  0.288954       0.130052       0.268465                 NaN            NaN            NaN
  1355.22        500.000                 NaN   99.2222       0.286698       0.963457E-001  0.129154       0.265651                 NaN            NaN            NaN
  1354.16        500.000                 NaN   99.2299       0.285045       0.920521E-001  0.129654       0.263380                 NaN            NaN            NaN
  1353.10        500.000                 NaN   99.2365       0.902305E-001  0.282942       0.129151       0.261133                 NaN            NaN            NaN
  1352.04        500.000                 NaN   99.2436       0.854777E-001  0.281968       0.130053       0.258899                 NaN            NaN            NaN
  1350.98        500.000                 NaN   99.2498       0.825985E-001  0.280429       0.130184       0.257033                 NaN            NaN            NaN
  1349.92        500.000                 NaN   99.2602       0.783421E-001  0.278068       0.129783       0.253592                 NaN            NaN            NaN
  1348.86        500.000                 NaN   99.2649       0.780064E-001  0.276297       0.129017       0.251752                 NaN            NaN            NaN
  1347.80        500.000                 NaN   99.2713       0.274814       0.750244E-001  0.129114       0.249759                 NaN            NaN            NaN
  1346.73        500.000                 NaN   99.2774       0.723229E-001  0.273531       0.129012       0.247711                 NaN            NaN            NaN
  1345.67        500.000                 NaN   99.2842       0.271846       0.695811E-001  0.128904       0.245505                 NaN            NaN            NaN
  1344.61        500.000                 NaN   99.2904       0.270306       0.675943E-001  0.128356       0.243298                 NaN            NaN            NaN
  1343.55        500.000                 NaN   99.2966       0.269050       0.647738E-001  0.128281       0.241312                 NaN            NaN            NaN
  1342.49        500.000                 NaN   99.3027       0.267431       0.625450E-001  0.128087       0.239256                 NaN            NaN            NaN
  1341.43        500.000                 NaN   99.3092       0.265823       0.602447E-001  0.127701       0.237041                 NaN            NaN            NaN
  1340.37        500.000                 NaN   99.3147       0.591238E-001  0.263975       0.127158       0.235079                 NaN            NaN            NaN
  1339.31        500.000                 NaN   99.3191       0.874880E-001  0.254067       0.109273       0.230035                 NaN            NaN            NaN
  1338.25        500.000                 NaN   99.3295       0.221543E-001  0.270031       0.144532       0.233746                 NaN            NaN            NaN
  1337.19        500.000                 NaN   99.3316       0.259994       0.530980E-001  0.126000       0.229307                 NaN            NaN            NaN
  1336.13        500.000                 NaN   99.3383       0.257982       0.510333E-001  0.125640       0.227086                 NaN            NaN            NaN
  1335.07        500.000                 NaN   99.3444       0.472870E-001  0.257346       0.125861       0.225132                 NaN            NaN            NaN
  1334.01        500.000                 NaN   99.3504       0.478601E-001  0.252784       0.125280       0.223628                 NaN            NaN            NaN
  1332.95        500.000                 NaN   99.3770       0.416887E-001  0.246859       0.120811       0.213673                 NaN            NaN            NaN
  1331.89        500.000                 NaN   99.3393       0.259230       0.504114E-001  0.125279       0.225801                 NaN            NaN            NaN
  1330.83        500.000                 NaN   99.3654       0.250699       0.438021E-001  0.122616       0.217468                 NaN            NaN            NaN
  1329.77        500.000                 NaN   99.3710       0.416863E-001  0.249301       0.122373       0.215610                 NaN            NaN            NaN
  1328.71        500.000                 NaN   99.3753       0.247894       0.419375E-001  0.121031       0.213835                 NaN            NaN            NaN
  1327.65        500.000                 NaN   99.3804       0.401584E-001  0.246615       0.120666       0.212132                 NaN            NaN            NaN
  1326.59        500.000                 NaN   99.3851       0.406802E-001  0.244583       0.119373       0.210286                 NaN            NaN            NaN
  1325.53        500.000                 NaN   99.3920       0.243021       0.377221E-001  0.119233       0.208068                 NaN            NaN            NaN
  1324.47        500.000                 NaN   99.3960       0.243158       0.348785E-001  0.119188       0.206752                 NaN            NaN            NaN
  1323.41        500.000                 NaN   99.4013       0.371863E-001  0.240071       0.117012       0.204392                 NaN            NaN            NaN
  1322.35        500.000                 NaN   99.4054       0.238950       0.355091E-001  0.116894       0.203199                 NaN            NaN            NaN
  1321.29        500.000                 NaN   99.4112       0.237236       0.345786E-001  0.115910       0.201028                 NaN            NaN            NaN
  1320.23        500.000                 NaN   99.4150       0.338070E-001  0.236404       0.115177       0.199636                 NaN            NaN            NaN
  1319.17        500.000                 NaN   99.4194       0.345379E-001  0.234357       0.113836       0.197862                 NaN            NaN            NaN
  1318.11        500.000                 NaN   99.4241       0.232556       0.342860E-001  0.112865       0.196155                 NaN            NaN            NaN
  1317.04        500.000                 NaN   99.4275       0.347757E-001  0.231164       0.111796       0.194782                 NaN            NaN            NaN
  1315.98        500.000                 NaN   99.4329       0.230184       0.330848E-001  0.110976       0.192830                 NaN            NaN            NaN
  1314.92        500.000                 NaN   99.4376       0.228393       0.329526E-001  0.109940       0.191092                 NaN            NaN            NaN
  1313.86        500.000                 NaN   99.4407       0.227606       0.331096E-001  0.108775       0.189764                 NaN            NaN            NaN
  1312.80        500.000                 NaN   99.4455       0.330138E-001  0.225624       0.107801       0.188077                 NaN            NaN            NaN
  1311.74        500.000                 NaN   99.4496       0.335752E-001  0.223813       0.106512       0.186451                 NaN            NaN            NaN
  1310.68        500.000                 NaN   99.4535       0.222230       0.341234E-001  0.105236       0.184926                 NaN            NaN            NaN
  1309.62        500.000                 NaN   99.4573       0.341575E-001  0.220997       0.104123       0.183443                 NaN            NaN            NaN
  1308.56        500.000                 NaN   99.4609       0.350708E-001  0.219215       0.102787       0.181992                 NaN            NaN            NaN
  1307.50        500.000                 NaN   99.4652       0.353259E-001  0.217683       0.101497       0.180303                 NaN            NaN            NaN
  1306.44        500.000                 NaN   99.4648       0.420243E-001  0.215071       0.981445E-001  0.180000                 NaN            NaN            NaN
  1305.38        500.000                 NaN   99.4776       0.294268E-001  0.215232       0.101538       0.176181                 NaN            NaN            NaN
  1304.32        500.000                 NaN   99.4767       0.368189E-001  0.212933       0.977395E-001  0.175847                 NaN            NaN            NaN
  1303.26        500.000                 NaN   99.4799       0.377502E-001  0.211456       0.963962E-001  0.174525                 NaN            NaN            NaN
  1302.20        500.000                 NaN   99.4835       0.386493E-001  0.209703       0.950136E-001  0.173115                 NaN            NaN            NaN
  1301.14        500.000                 NaN   99.4783       0.829516E-001  0.189567       0.775372E-001  0.171615                 NaN            NaN            NaN
  1300.08        500.000                 NaN   99.4993       0.223239                 NaN  0.107337       0.170090                 NaN            NaN            NaN
  1299.02        500.000                 NaN   99.4953       0.206918       0.361371E-001  0.928304E-001  0.168815                 NaN            NaN            NaN
  1297.96        500.000                 NaN   99.5064       0.220826                 NaN  0.105288       0.167514                 NaN            NaN            NaN
  1296.90        500.000                 NaN   99.4919       0.184010       0.856258E-001  0.722867E-001  0.166180                 NaN            NaN            NaN
  1295.84        500.000                 NaN   99.4410       0.124316       0.191128       0.625342E-001  0.181039                 NaN            NaN            NaN
  1294.78        500.000                 NaN   99.5515       0.229908                 NaN  0.717919E-001  0.146778                 NaN            NaN            NaN
  1293.72        500.000                 NaN   99.4667       0.143979       0.158355       0.570853E-001  0.173897                 NaN            NaN            NaN
  1292.66        500.000                 NaN   99.5514       0.208697                 NaN  0.914709E-001  0.148399                 NaN            NaN            NaN
  1291.60        500.000                 NaN   99.5269       0.214118                 NaN  0.994184E-001  0.159593                 NaN            NaN            NaN
  1290.54        500.000                 NaN   99.5168       0.549438E-001  0.190556       0.783726E-001  0.159286                 NaN            NaN            NaN
  1289.48        500.000                 NaN   99.5346       0.212521                 NaN  0.964880E-001  0.156392                 NaN            NaN            NaN
  1288.42        500.000                 NaN   99.5361       0.211538                 NaN  0.962277E-001  0.156144                 NaN            NaN            NaN
  1287.36        500.000                 NaN   99.5098       0.148965       0.141696       0.438954E-001  0.155687                 NaN            NaN            NaN
  1286.29        500.000                 NaN   99.5396       0.211619                 NaN  0.927274E-001  0.153916       0.212921E-002            NaN            NaN
  1285.23        500.000                 NaN   99.4916       0.229288                 NaN  0.878412E-001  0.167002       0.242980E-001            NaN            NaN
  1284.17        500.000                 NaN   99.4965       0.228146                 NaN  0.861520E-001  0.165274       0.239460E-001            NaN            NaN
  1283.11        500.000                 NaN   99.5019       0.225481                 NaN  0.855636E-001  0.163467       0.235806E-001            NaN            NaN
  1282.05        500.000                 NaN   99.5063       0.223845                 NaN  0.844940E-001  0.162043       0.232804E-001            NaN            NaN
  1280.99        500.000                 NaN   99.5114       0.221789                 NaN  0.836774E-001  0.160238       0.229321E-001            NaN            NaN
  1279.93        500.000                 NaN   99.5164       0.219565                 NaN  0.827888E-001  0.158654       0.226238E-001            NaN            NaN
  1278.87        500.000                 NaN   99.5213       0.216973                 NaN  0.823114E-001  0.157077       0.223384E-001            NaN            NaN
  1277.81        500.000                 NaN   99.5260       0.215749                 NaN  0.808505E-001  0.155436       0.219944E-001            NaN            NaN
  1276.75        500.000                 NaN   99.5307       0.213704                 NaN  0.800425E-001  0.153881       0.216914E-001            NaN            NaN
  1275.69        500.000                 NaN   99.5350       0.212562                 NaN  0.786969E-001  0.152374       0.213742E-001            NaN            NaN
  1274.63        500.000                 NaN   99.5398       0.209965                 NaN  0.783253E-001  0.150831       0.210783E-001            NaN            NaN
  1273.57        500.000                 NaN   99.5441       0.207320                 NaN  0.779997E-001  0.149712       0.208684E-001            NaN            NaN
  1272.51        500.000                 NaN   95.0959       0.909800                 NaN  0.302176       0.675620       0.119918        2.89654                 NaN
  1271.45        500.000                 NaN   92.2147        1.37690                 NaN  0.434937        1.01409       0.181876        4.77753                 NaN
  1270.39        500.000                 NaN   92.8678        1.27551                 NaN  0.391452       0.934285       0.165758        4.36522                 NaN
  1269.33        500.000                 NaN   93.3199        1.09171       0.232398       0.289076       0.874864       0.148401        4.04363                 NaN
  1268.27        500.000                 NaN   93.7863       0.974767       0.294379       0.242766       0.817234       0.136025        3.74848                 NaN
  1267.21        500.000                 NaN   94.2021       0.916148       0.276451       0.225288       0.766003       0.126200        3.48785                 NaN
  1266.15        500.000                 NaN   94.5698       0.258735       0.864346       0.210645       0.720495       0.117592        3.25837                 NaN
  1265.09        500.000                 NaN   94.8957       0.819804       0.240456       0.198373       0.680024       0.110017        3.05563                 NaN
  1264.03        500.000                 NaN   95.1851       0.780373       0.222983       0.187992       0.643938       0.103354        2.87631                 NaN
  1262.97        500.000                 NaN   95.4472       0.742966       0.208425       0.178562       0.611184       0.973153E-001   2.71436                 NaN
  1261.91        500.000                 NaN   95.6831       0.714741       0.189243       0.170824       0.581303       0.919258E-001   2.56890                 NaN
  1260.85        500.000                 NaN   95.8955       0.173677       0.686413       0.164077       0.554468       0.871008E-001   2.43872                 NaN
  1259.79        500.000                 NaN   96.0878       0.661564       0.158672       0.158060       0.530037       0.827339E-001   2.32117                 NaN
  1258.73        500.000                 NaN   96.2702       0.637819       0.144654       0.152301       0.506691       0.785998E-001   2.20978                 NaN
  1257.67        500.000                 NaN   96.4328       0.130513       0.616902       0.147765       0.485784       0.749239E-001   2.11128                 NaN
  1256.60        500.000                 NaN   96.5848       0.597705       0.117277       0.143360       0.466118       0.714981E-001   2.01928                 NaN
  1255.54        500.000                 NaN   96.7232       0.107172       0.579100       0.138709       0.448093       0.683349E-001   1.93535                 NaN
  1254.48        500.000                 NaN   96.8468       0.540963       0.129696       0.127054       0.431645       0.649720E-001   1.85891                 NaN
  1253.42        500.000                 NaN   96.9801       0.564058       0.558087E-001  0.139231       0.414633       0.629998E-001   1.78314                 NaN
  1252.36        500.000                 NaN   97.0875       0.532367       0.748055E-001  0.128231       0.400135       0.600515E-001   1.71689                 NaN
  1251.30        500.000                 NaN   97.1926       0.664671E-001  0.518094       0.124944       0.386097       0.576264E-001   1.65418                 NaN
  1250.24        500.000                 NaN   97.2922       0.581093E-001  0.504674       0.121900       0.372773       0.553535E-001   1.59502                 NaN
  1249.18        500.000                 NaN   97.3846       0.491903       0.508946E-001  0.118975       0.360271       0.532091E-001   1.54011                 NaN
  1248.12        500.000                 NaN   97.4728       0.478776       0.453545E-001  0.115755       0.348227       0.511452E-001   1.48792                 NaN
  1247.06        500.000                 NaN   97.5545       0.418400E-001  0.465428       0.112449       0.337105       0.491972E-001   1.43948                 NaN
  1246.00        500.000                 NaN   97.6322       0.455139       0.350232E-001  0.110102       0.326453       0.473888E-001   1.39372                 NaN
  1244.94        500.000                 NaN   97.7074       0.441650       0.332550E-001  0.106725       0.315996       0.455882E-001   1.34941                 NaN
  1243.88        500.000                 NaN   97.7771       0.430817       0.285834E-001  0.104414       0.306313       0.439432E-001   1.30880                 NaN
  1242.82        500.000                 NaN   97.8443       0.418893       0.270927E-001  0.101293       0.296869       0.423105E-001   1.26925                 NaN
  1241.76        500.000                 NaN   97.9077       0.407746       0.252481E-001  0.984813E-001  0.287978       0.407759E-001   1.23203                 NaN
  1240.70        500.000                 NaN   97.9677       0.395648       0.254232E-001  0.954217E-001  0.279452       0.392994E-001   1.19711                 NaN
  1239.64        500.000                 NaN   98.0254       0.383424       0.266085E-001  0.922246E-001  0.271195       0.378466E-001   1.16329                 NaN
  1238.58        500.000                 NaN   98.0795       0.273103E-001  0.372239       0.892499E-001  0.263440       0.365039E-001   1.13177                 NaN
  1237.52        500.000                 NaN   98.1328       0.291949E-001  0.360331       0.861622E-001  0.255786       0.351561E-001   1.10062                 NaN
  1236.46        500.000                 NaN   98.1824       0.348460       0.318221E-001  0.830804E-001  0.248636       0.338845E-001   1.07172                 NaN
  1235.40        500.000                 NaN   98.2289       0.316069       0.654822E-001  0.724193E-001  0.241725       0.322634E-001   1.04316                 NaN
  1234.34        500.000                 NaN   98.2768       0.342540       0.133329E-001  0.829354E-001  0.234916       0.317894E-001   1.01772                 NaN
  1233.28        500.000                 NaN   98.3201       0.310569       0.471339E-001  0.724697E-001  0.228556       0.302535E-001  0.990925                 NaN
  1232.22        500.000                 NaN   98.3620       0.298188       0.527520E-001  0.690357E-001  0.222190       0.291247E-001  0.966735                 NaN
  1231.16        500.000                 NaN   98.4017       0.286556       0.584846E-001  0.655499E-001  0.216512       0.280477E-001  0.943186                 NaN
  1230.10        500.000                 NaN   98.4405       0.272566       0.674572E-001  0.615501E-001  0.210684       0.269681E-001  0.920287                 NaN
  1229.04        500.000                 NaN   98.4773       0.259240       0.761553E-001  0.575565E-001  0.205176       0.259127E-001  0.898636                 NaN
  1227.98        500.000                 NaN   98.5109       0.975819E-001  0.238521       0.505197E-001  0.200179       0.247541E-001  0.877592                 NaN
  1226.92        500.000                 NaN   98.5390       0.202275       0.143462       0.377805E-001  0.195735       0.233063E-001  0.858423                 NaN
  1225.85        500.000                 NaN   98.5887       0.256243       0.461898E-001  0.595921E-001  0.188719       0.236738E-001  0.836834                 NaN
  1224.79        500.000                 NaN   98.6096       0.204153       0.118990       0.403956E-001  0.185334       0.219948E-001  0.819495                 NaN
  1223.73        500.000                 NaN   98.6401       0.190197       0.130976       0.358692E-001  0.180788       0.210626E-001  0.800981                 NaN
  1222.67        500.000                 NaN   98.6686       0.173651       0.147391       0.303087E-001  0.176400       0.200999E-001  0.783554                 NaN
  1221.61        500.000                 NaN   98.6893       0.211191       0.129867       0.118097E-001  0.172856       0.186281E-001  0.766373                 NaN
  1220.55        500.000                 NaN   98.7279       0.124644       0.175270       0.342346E-001  0.167782       0.189692E-001  0.751152                 NaN
  1219.49        500.000                 NaN   98.7458       0.128743       0.193023       0.148070E-001  0.164658       0.174443E-001  0.735482                 NaN
  1218.43        500.000                 NaN   98.9288       0.151869                 NaN  0.531724E-001  0.139129       0.210931E-001  0.705983                 NaN
  1217.37        500.000                 NaN   98.6517       0.327529       0.108712       0.163711E-005  0.177634       0.132673E-001  0.721200                 NaN
  1216.31        500.000                 NaN   98.8172       0.871957E-001  0.235880       0.145185E-004  0.153827       0.150520E-001  0.690840                 NaN
  1215.25        500.000                 NaN   98.8406       0.837976E-001  0.233165                 NaN  0.150515       0.145079E-001  0.677462                 NaN
  1214.19        500.000                 NaN   98.8649       0.228891       0.816488E-001  0.774517E-006  0.146855       0.140020E-001  0.663692                 NaN
  1213.13        500.000                 NaN   98.8879       0.226757       0.775864E-001  0.193266E-005  0.143571       0.134610E-001  0.650712                 NaN
  1212.07        500.000                 NaN   92.4312       0.726045                 NaN  0.187017       0.663320       0.502524E-001   3.12703        2.81513     
  1211.01        500.000                 NaN   84.1200        1.31888                 NaN  0.433623        1.35005       0.925014E-001   6.28813        6.39682     
  1209.95        500.000                 NaN   76.0730        1.87387                 NaN  0.662581        2.01443       0.138843        9.44308        9.79422     
  1208.89        500.000                 NaN   94.4132       0.520280                 NaN  0.160132       0.478966       0.332434E-001   2.24124        2.15297     
  1207.83        500.000                 NaN   84.5922        1.13871                 NaN  0.496953        1.30582       0.916064E-001   6.12751        6.24715     
  1206.77        500.000                 NaN   86.2863        1.24503                 NaN  0.355191        1.15052       0.751541E-001   5.34929        5.53852     
  1205.71        500.000                 NaN   97.7679       0.267176                 NaN  0.699485E-001  0.194000       0.149746E-001  0.929862       0.756116     
  1204.65        500.000                 NaN   89.9540       0.838798                 NaN  0.281099       0.844733       0.563267E-001   3.97007        4.05493     
  1203.59        500.000                 NaN   90.4307       0.650880                 NaN  0.312855       0.806562       0.546632E-001   3.81617        3.92819     
  1202.53        500.000                 NaN   90.8143       0.746684                 NaN  0.267794       0.770753       0.516917E-001   3.63036        3.71839     
  1201.47        500.000                 NaN   91.7865       0.718414                 NaN  0.217883       0.683508       0.459696E-001   3.25824        3.28952     
  1200.41        500.000                 NaN   92.1261       0.674139                 NaN  0.213714       0.655630       0.431287E-001   3.12100        3.16630     
  1199.35        500.000                 NaN   92.4093       0.652225                 NaN  0.198276       0.630974       0.410871E-001   3.01402        3.05409     
  1198.29        500.000                 NaN   92.7098       0.624764                 NaN  0.186169       0.604869       0.389736E-001   2.89862        2.93678     
  1197.23        500.000                 NaN   65.6081        2.45579                 NaN   1.00613        2.82887       0.185845        13.8089        14.1063     
  1196.16        500.000                 NaN  100.0000                 NaN            NaN  0.204367E-004            NaN            NaN            NaN            NaN
  1195.10        500.000                 NaN   99.9994       0.305350E-004            NaN            NaN  0.457657E-004  0.350425E-005  0.258873E-003  0.248996E-003
  1194.04        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1192.98        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1191.92        500.000                 NaN  100.0000                 NaN            NaN  0.108453E-005            NaN            NaN  0.353398E-005  0.363373E-005
  1190.86        500.000                 NaN  100.0000       0.987096E-006            NaN            NaN  0.148506E-005            NaN  0.329281E-005  0.300237E-005
  1189.80        500.000                 NaN   86.7156       0.122752E-003   1.50860       0.151215        1.05452       0.586228E-001   5.41034        5.10097     
  1188.74        500.000                 NaN   90.7928       0.733440E-001  0.921563                 NaN  0.737990       0.310196E-001   3.78152        3.66174     
  1187.68        500.000                 NaN   85.5012        1.29643       0.203562                 NaN   1.13079       0.483959E-001   6.03660        5.78299     
  1186.62        500.000                 NaN   69.4730        2.09979       0.229606E-005  0.514035        2.23660       0.135671        13.1552        12.3857     
  1185.56        500.000                 NaN            NaN   1.09727        8.08271                 NaN   7.35506       0.335487        42.9410        40.1884     
  1184.50        500.000                 NaN            NaN   1.35569        7.83736                 NaN   7.34992       0.331349        42.9368        40.1889     
  1183.44        500.000                 NaN            NaN   1.62370        7.56735                 NaN   7.34523       0.332432        42.9404        40.1909     
  1182.38        500.000                 NaN            NaN   6.11503       0.427807E-003   1.79704        7.13804       0.450175        43.5377        40.9616     
  1181.32        500.000                 NaN            NaN  0.258814E-005   6.03850        1.83948        7.14684       0.451149        43.5471        40.9769     
  1180.26        500.000                 NaN            NaN   5.96004       0.699755E-003   1.89155        7.14188       0.455722        43.5424        41.0077     
  1179.20        500.000                 NaN            NaN   1.34369        7.85315                 NaN   7.35945       0.329885        42.9210        40.1928     
  1178.14        500.000                 NaN            NaN   1.28604        7.91363                 NaN   7.36100       0.329602        42.9146        40.1951     
  1177.08        500.000                 NaN            NaN   5.84615                 NaN   1.95952        7.13800       0.460026        43.5551        41.0412     
  1176.02        500.000                 NaN            NaN   5.25646       0.159739E-004   2.24818        7.05975       0.489518        43.7937        41.1524     
  1174.96        500.000                 NaN            NaN   5.72292                 NaN   2.02458        7.12327       0.465109        43.6003        41.0639     
  1173.90        500.000                 NaN            NaN   5.70243                 NaN   2.04180        7.13671       0.461857        43.5804        41.0769     
  1172.84        500.000                 NaN            NaN   5.63727                 NaN   2.07788        7.12610       0.465092        43.6052        41.0884     
  1171.78        500.000                 NaN            NaN   5.71714                 NaN   2.03717        7.12879       0.464416        43.5735        41.0790     
  1170.72        500.000                 NaN            NaN   5.24370                 NaN   2.25134        7.05569       0.490856        43.7997        41.1587     
  1169.66        500.000                 NaN            NaN   5.58151                 NaN   2.11205        7.12223       0.467868        43.6088        41.1076     
