|6.6.6
Archiving\03_Data\Deqfrac/QFM_m0.75/T13/T13_1.tab                     
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Sp(TH)         Sp(TH)         Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1538.85        2500.00        99.3406       0.595751       0.636360E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.28        2500.00        99.1733       0.744534       0.821787E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.71        2500.00        99.5327       0.420191       0.470714E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.15        2500.00        99.3253       0.605105       0.695828E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.58        2500.00        99.3931       0.552985       0.539498E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.02        2500.00        99.3620       0.577555       0.603999E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.45        2500.00        99.3740       0.567390       0.586359E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.88        2500.00        99.3734       0.569003       0.575684E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.32        2500.00        99.3774       0.565845       0.567461E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.75        2500.00        99.2709       0.659849       0.692023E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.18        2500.00        99.4988       0.457251       0.439074E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.62        2500.00        99.3847       0.562384       0.528726E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.05        2500.00        99.3965       0.551148       0.523691E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.48        2500.00        99.3941       0.555862       0.500852E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.92        2500.00        99.3993       0.550436       0.502614E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.35        2500.00        99.4018       0.549405       0.488192E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.78        2500.00        99.4060       0.545504       0.484671E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.22        2500.00        99.4086       0.545136       0.462782E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.65        2500.00        99.4209       0.534362       0.447087E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.09        2500.00        99.4042       0.552050       0.437221E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.52        2500.00        99.4177       0.538784       0.435197E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.95        2500.00        99.4203       0.538548       0.411961E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.39        2500.00        99.4084       0.551215       0.403938E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.82        2500.00        98.2901        1.60029       0.109574                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.25        2500.00        99.8738       0.120179       0.605325E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.69        2500.00       100.0000                 NaN  0.117104E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.12        2500.00        99.7787       0.206788       0.145201E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.55        2500.00        99.9776       0.212554E-001  0.114627E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.99        2500.00        98.7011        1.22184       0.770979E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.42        2500.00        99.4399       0.528192       0.319062E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.85        2500.00        99.4430       0.525458       0.315582E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.29        2500.00        99.1558       0.290041       0.500458E-001            NaN            NaN  0.360617       0.143458                 NaN            NaN            NaN            NaN            NaN
  1488.72        2500.00        98.7758       0.714313E-002  0.805416E-001            NaN            NaN  0.270015       0.866523                 NaN            NaN            NaN            NaN            NaN
  1487.16        2500.00        98.6086       0.696346E-002  0.905057E-001            NaN            NaN  0.982924       0.310998                 NaN            NaN            NaN            NaN            NaN
  1485.59        2500.00        98.9635                 NaN  0.588733E-001            NaN            NaN  0.717505       0.260110                 NaN            NaN            NaN            NaN            NaN
  1484.02        2500.00        98.8144                 NaN  0.828029E-001            NaN            NaN  0.848614       0.254143                 NaN            NaN            NaN            NaN            NaN
  1482.46        2500.00        98.8155                 NaN  0.737409E-001            NaN            NaN  0.277030       0.833722                 NaN            NaN            NaN            NaN            NaN
  1480.89        2500.00        98.8271       0.954678E-001  0.656883E-001            NaN            NaN  0.174133       0.837633                 NaN            NaN            NaN            NaN            NaN
  1479.32        2500.00        98.8367                 NaN  0.718675E-001            NaN            NaN  0.819071       0.272343                 NaN            NaN            NaN            NaN            NaN
  1477.76        2500.00        98.8419       0.876005E-001  0.614481E-001            NaN            NaN  0.185907       0.823131                 NaN            NaN            NaN            NaN            NaN
  1476.19        2500.00        98.8563                 NaN  0.697028E-001            NaN            NaN  0.267610       0.806415                 NaN            NaN            NaN            NaN            NaN
  1474.62        2500.00        98.8608                 NaN  0.649364E-001            NaN            NaN  0.797146       0.277157                 NaN            NaN            NaN            NaN            NaN
  1473.06        2500.00        98.8699                 NaN  0.632861E-001            NaN            NaN  0.276807       0.790033                 NaN            NaN            NaN            NaN            NaN
  1471.49        2500.00        98.8761                 NaN  0.618427E-001            NaN            NaN  0.784944       0.277076                 NaN            NaN            NaN            NaN            NaN
  1469.92        2500.00        98.8859                 NaN  0.600071E-001            NaN            NaN  0.777302       0.276836                 NaN            NaN            NaN            NaN            NaN
  1468.36        2500.00        98.8919                 NaN  0.587379E-001            NaN            NaN  0.276875       0.772505                 NaN            NaN            NaN            NaN            NaN
  1466.79        2500.00        98.9010                 NaN  0.565745E-001            NaN            NaN  0.765814       0.276635                 NaN            NaN            NaN            NaN            NaN
  1465.23        2500.00        98.9075                 NaN  0.554918E-001            NaN            NaN  0.761269       0.275696                 NaN            NaN            NaN            NaN            NaN
  1463.66        2500.00        98.9147                 NaN  0.537016E-001            NaN            NaN  0.755355       0.276282                 NaN            NaN            NaN            NaN            NaN
  1462.09        2500.00        98.9210                 NaN  0.524383E-001            NaN            NaN  0.750936       0.275661                 NaN            NaN            NaN            NaN            NaN
  1460.53        2500.00        98.9284                 NaN  0.507920E-001            NaN            NaN  0.275801       0.745014                 NaN            NaN            NaN            NaN            NaN
  1458.96        2500.00        98.9347                 NaN  0.492803E-001            NaN            NaN  0.276252       0.739783                 NaN            NaN            NaN            NaN            NaN
  1457.39        2500.00        98.9221       0.892277E-001  0.369261E-001            NaN            NaN  0.197953       0.753804                 NaN            NaN            NaN            NaN            NaN
  1455.83        2500.00        98.9703                 NaN  0.521086E-001            NaN            NaN  0.724623       0.252945                 NaN            NaN            NaN            NaN            NaN
  1454.26        2500.00        98.9536                 NaN  0.444003E-001            NaN            NaN  0.276104       0.725877                 NaN            NaN            NaN            NaN            NaN
  1452.69        2500.00        99.3032                 NaN  0.293169E-001            NaN            NaN  0.182942       0.484583                 NaN            NaN            NaN            NaN            NaN
  1451.13        2500.00        98.6166                 NaN  0.563700E-001            NaN            NaN  0.959765       0.367234                 NaN            NaN            NaN            NaN            NaN
  1449.56        2500.00        98.9694                 NaN  0.405217E-001            NaN            NaN  0.714614       0.275504                 NaN            NaN            NaN            NaN            NaN
  1447.99        2500.00        98.9743                 NaN  0.391906E-001            NaN            NaN  0.710818       0.275736                 NaN            NaN            NaN            NaN            NaN
  1446.43        2500.00        98.9791                 NaN  0.378959E-001            NaN            NaN  0.706419       0.276614                 NaN            NaN            NaN            NaN            NaN
  1444.86        2500.00        98.9819                 NaN  0.372583E-001            NaN            NaN  0.275565       0.705318                 NaN            NaN            NaN            NaN            NaN
  1443.30        2500.00        98.9898                 NaN  0.346691E-001            NaN            NaN  0.698525       0.277024                 NaN            NaN            NaN            NaN            NaN
  1441.73        2500.00        98.9925                 NaN  0.337846E-001            NaN            NaN  0.697222       0.276469                 NaN            NaN            NaN            NaN            NaN
  1440.16        2500.00        98.9965                 NaN  0.324023E-001            NaN            NaN  0.276261       0.694851                 NaN            NaN            NaN            NaN            NaN
  1438.60        2500.00        98.3310                 NaN  0.170636                 NaN            NaN  0.411051       0.770778                 NaN  0.316579                 NaN            NaN            NaN
  1437.03        2500.00        97.3382                 NaN  0.385133                 NaN            NaN  0.600911       0.882746                 NaN  0.793005                 NaN            NaN            NaN
  1435.46        2500.00        97.3872                 NaN  0.384623                 NaN            NaN  0.869077       0.580788                 NaN  0.778287                 NaN            NaN            NaN
  1433.90        2500.00        97.4316                 NaN  0.385203                 NaN            NaN  0.856623       0.560989                 NaN  0.765634                 NaN            NaN            NaN
  1432.33        2500.00        97.4655                 NaN  0.387459                 NaN            NaN  0.540819       0.848671                 NaN  0.757599                 NaN            NaN            NaN
  1430.76        2500.00        97.5530                 NaN  0.379094                 NaN            NaN  0.514193       0.825491                 NaN  0.728217                 NaN            NaN            NaN
  1429.20        2500.00        97.6428                 NaN  0.377708                 NaN            NaN  0.788401       0.487212                 NaN  0.703848                 NaN            NaN            NaN
  1427.63        2500.00        97.5264                 NaN  0.383699                 NaN            NaN  0.515939       0.839837                 NaN  0.734090                 NaN            NaN            NaN
  1426.07        2500.00        97.6406                 NaN  0.398464                 NaN            NaN  0.808987       0.446259                 NaN  0.705675                 NaN            NaN            NaN
  1424.50        2500.00        97.6832                 NaN  0.386186                 NaN            NaN  0.443801       0.795345                 NaN  0.691446                 NaN            NaN            NaN
  1422.93        2500.00        97.7209                 NaN  0.386441                 NaN            NaN  0.786053       0.426525                 NaN  0.680088                 NaN            NaN            NaN
  1421.37        2500.00        97.7564                 NaN  0.387240                 NaN            NaN  0.409274       0.777275                 NaN  0.669827                 NaN            NaN            NaN
  1419.80        2500.00        97.7916                 NaN  0.387420                 NaN            NaN  0.392904       0.768897                 NaN  0.659139                 NaN            NaN            NaN
  1418.23        2500.00        97.8237                 NaN  0.388680                 NaN            NaN  0.376562       0.761173                 NaN  0.649898                 NaN            NaN            NaN
  1416.67        2500.00        97.8594                 NaN  0.388343                 NaN            NaN  0.360842       0.752413                 NaN  0.638991                 NaN            NaN            NaN
  1415.10        2500.00        97.8893                 NaN  0.389673                 NaN            NaN  0.745723       0.345120                 NaN  0.630182                 NaN            NaN            NaN
  1413.53        2500.00        97.9203                 NaN  0.390414                 NaN            NaN  0.737894       0.330280                 NaN  0.621077                 NaN            NaN            NaN
  1411.97        2500.00        97.9416                 NaN  0.393783                 NaN            NaN  0.317820       0.730797                 NaN  0.615985                 NaN            NaN            NaN
  1410.40        2500.00        97.9931                 NaN  0.388619                 NaN            NaN  0.299955       0.719572                 NaN  0.598706                 NaN            NaN            NaN
  1408.83        2500.00        98.0070                 NaN  0.392834                 NaN            NaN  0.718302       0.286736                 NaN  0.595138                 NaN            NaN            NaN
  1407.27        2500.00        98.0360                 NaN  0.393151                 NaN            NaN  0.273689       0.710795                 NaN  0.586328                 NaN            NaN            NaN
  1405.70        2500.00        98.0603                 NaN  0.394520                 NaN            NaN  0.706050       0.259925                 NaN  0.579180                 NaN            NaN            NaN
  1404.14        2500.00        98.0875                 NaN  0.395187                 NaN            NaN  0.699715       0.246634                 NaN  0.570956                 NaN            NaN            NaN
  1402.57        2500.00        98.1140                 NaN  0.395427                 NaN            NaN  0.234074       0.693422                 NaN  0.563033                 NaN            NaN            NaN
  1401.00        2500.00        98.1384                 NaN  0.396482                 NaN            NaN  0.687912       0.221516                 NaN  0.555732                 NaN            NaN            NaN
  1399.44        2500.00        98.1616                 NaN  0.397578                 NaN            NaN  0.209174       0.682907                 NaN  0.548721                 NaN            NaN            NaN
  1397.87        2500.00        98.1853                 NaN  0.397978                 NaN            NaN  0.677422       0.197794                 NaN  0.541457                 NaN            NaN            NaN
  1396.30        2500.00        98.2068                 NaN  0.400412                 NaN            NaN  0.184167       0.673325                 NaN  0.535327                 NaN            NaN            NaN
  1394.74        2500.00        98.2307                 NaN  0.398160                 NaN            NaN  0.668109       0.175576                 NaN  0.527431                 NaN            NaN            NaN
  1393.17        2500.00        98.2518                 NaN  0.400071                 NaN            NaN  0.663662       0.163082                 NaN  0.521402                 NaN            NaN            NaN
  1391.60        2500.00        98.2748                 NaN  0.400457                 NaN            NaN  0.152506       0.657707                 NaN  0.514507                 NaN            NaN            NaN
  1390.04        2500.00        98.2947                 NaN  0.401111                 NaN            NaN  0.141899       0.653926                 NaN  0.508368                 NaN            NaN            NaN
  1388.47        2500.00        98.3140                 NaN  0.402020                 NaN            NaN  0.649729       0.131730                 NaN  0.502496                 NaN            NaN            NaN
  1386.90        2500.00        98.3334                 NaN  0.402429                 NaN            NaN  0.121965       0.645647                 NaN  0.496538                 NaN            NaN            NaN
  1385.34        2500.00        98.3557                 NaN  0.401881                 NaN            NaN  0.640651       0.112193                 NaN  0.489555                 NaN            NaN            NaN
  1383.77        2500.00        98.3726                 NaN  0.402745                 NaN            NaN  0.637540       0.102761                 NaN  0.484379                 NaN            NaN            NaN
  1382.21        2500.00        98.3905                 NaN  0.402995                 NaN            NaN  0.941835E-001  0.633593                 NaN  0.478743                 NaN            NaN            NaN
  1380.64        2500.00        98.4091                 NaN  0.403081                 NaN            NaN  0.855993E-001  0.629249                 NaN  0.472980                 NaN            NaN            NaN
  1379.07        2500.00        98.4266                 NaN  0.403244                 NaN            NaN  0.625891       0.767092E-001            NaN  0.467590                 NaN            NaN            NaN
  1377.51        2500.00        98.4434                 NaN  0.403023                 NaN            NaN  0.623003       0.682767E-001            NaN  0.462268                 NaN            NaN            NaN
  1375.94        2500.00        98.4619                 NaN  0.402787                 NaN            NaN  0.617651       0.612258E-001            NaN  0.456468                 NaN            NaN            NaN
  1374.37        2500.00        98.4768                 NaN  0.402570                 NaN            NaN  0.538018E-001  0.615247                 NaN  0.451577                 NaN            NaN            NaN
  1372.81        2500.00        98.4936                 NaN  0.402411                 NaN            NaN  0.460561E-001  0.611534                 NaN  0.446380                 NaN            NaN            NaN
  1371.24        2500.00        98.5095                 NaN  0.401973                 NaN            NaN  0.607710       0.394960E-001            NaN  0.441292                 NaN            NaN            NaN
  1369.67        2500.00        98.5184                 NaN  0.402493                 NaN            NaN  0.345223E-001  0.606421                 NaN  0.438135                 NaN            NaN            NaN
  1368.11        2500.00        98.5438                 NaN  0.399153                 NaN            NaN  0.599997       0.270213E-001            NaN  0.430018                 NaN            NaN            NaN
  1366.54        2500.00        98.5549                 NaN  0.399965                 NaN            NaN  0.208533E-001  0.597630                 NaN  0.426667                 NaN            NaN            NaN
  1364.97        2500.00        98.5705                 NaN  0.398213                 NaN            NaN  0.594038       0.157398E-001            NaN  0.421501                 NaN            NaN            NaN
  1363.41        2500.00        98.5838                 NaN  0.397554                 NaN            NaN  0.591585       0.992308E-002            NaN  0.417165                 NaN            NaN            NaN
  1361.84        2500.00        98.5979                 NaN  0.396185                 NaN            NaN  0.520356E-002  0.588308                 NaN  0.412453                 NaN            NaN            NaN
  1360.28        2500.00        98.6118                 NaN  0.394930                 NaN            NaN  0.585348                 NaN            NaN  0.407936                 NaN            NaN            NaN
  1358.71        2500.00        98.6263                 NaN  0.392044                 NaN            NaN  0.578637                 NaN            NaN  0.403029                 NaN            NaN            NaN
  1357.14        2500.00        98.6343                 NaN  0.379231                 NaN            NaN  0.563295       0.247481E-001            NaN  0.398435                 NaN            NaN            NaN
  1355.58        2500.00        98.6454                 NaN  0.394491                 NaN            NaN  0.563089                 NaN            NaN  0.397047                 NaN            NaN            NaN
  1354.01        2500.00        98.6603                 NaN  0.356434                 NaN            NaN  0.586630E-001  0.537859                 NaN  0.386708                 NaN            NaN            NaN
  1352.44        2500.00        98.6744                 NaN  0.375288                 NaN            NaN  0.105117E-001  0.554488                 NaN  0.385296                 NaN            NaN            NaN
  1350.88        2500.00        98.6876                 NaN  0.377221                 NaN            NaN  0.553848                 NaN            NaN  0.381315                 NaN            NaN            NaN
  1349.31        2500.00        98.6986                 NaN  0.372383                 NaN            NaN  0.552019                 NaN            NaN  0.377042                 NaN            NaN            NaN
  1347.74        2500.00        98.7115                 NaN  0.370715                 NaN            NaN  0.544916                 NaN            NaN  0.372859                 NaN            NaN            NaN
  1346.18        2500.00        98.7228                 NaN  0.367070                 NaN            NaN  0.541313                 NaN            NaN  0.368835                 NaN            NaN            NaN
  1344.61        2500.00        98.7353                 NaN  0.367790                 NaN            NaN  0.531506                 NaN            NaN  0.365368                 NaN            NaN            NaN
  1343.05        2500.00        98.7466                 NaN  0.359430                 NaN            NaN  0.533821                 NaN            NaN  0.360147                 NaN            NaN            NaN
  1341.48        2500.00        98.7549                 NaN  0.355881                 NaN            NaN  0.532216                 NaN            NaN  0.356960                 NaN            NaN            NaN
  1339.91        2500.00        98.7674                 NaN  0.355095                 NaN            NaN  0.524582                 NaN            NaN  0.352899                 NaN            NaN            NaN
  1338.35        2500.00        98.7765                 NaN  0.353181                 NaN            NaN  0.520261                 NaN            NaN  0.350015                 NaN            NaN            NaN
  1336.78        2500.00        98.7837                 NaN  0.326788                 NaN            NaN  0.489064E-001  0.496221                 NaN  0.344381                 NaN            NaN            NaN
  1335.21        2500.00        98.8023                 NaN  0.344439                 NaN            NaN  0.512972                 NaN            NaN  0.340322                 NaN            NaN            NaN
  1333.65        2500.00        98.8093                 NaN  0.341183                 NaN            NaN  0.511374                 NaN            NaN  0.338141                 NaN            NaN            NaN
  1332.08        2500.00        98.8202                 NaN  0.338479                 NaN            NaN  0.507154                 NaN            NaN  0.334185                 NaN            NaN            NaN
  1330.51        2500.00        98.6955                 NaN  0.426725                 NaN            NaN  0.487579                 NaN            NaN  0.390171                 NaN            NaN            NaN
  1328.95        2500.00        98.9626                 NaN  0.271034                 NaN            NaN  0.493251                 NaN            NaN  0.273119                 NaN            NaN            NaN
  1327.38        2500.00        98.8481                 NaN  0.328440                 NaN            NaN  0.499387                 NaN            NaN  0.324076                 NaN            NaN            NaN
  1325.81        2500.00        98.8583                 NaN  0.325246                 NaN            NaN  0.495640                 NaN            NaN  0.320773                 NaN            NaN            NaN
  1324.25        2500.00        98.8701                 NaN  0.320355                 NaN            NaN  0.492754                 NaN            NaN  0.316780                 NaN            NaN            NaN
  1322.68        2500.00        98.8777                 NaN  0.316382                 NaN            NaN  0.492309                 NaN            NaN  0.313628                 NaN            NaN            NaN
  1321.12        2500.00        98.8875                 NaN  0.313663                 NaN            NaN  0.488456                 NaN            NaN  0.310385                 NaN            NaN            NaN
  1319.55        2500.00        98.8957                 NaN  0.314169                 NaN            NaN  0.482158                 NaN            NaN  0.307969                 NaN            NaN            NaN
  1317.98        2500.00        98.9060                 NaN  0.306784                 NaN            NaN  0.483420                 NaN            NaN  0.303791                 NaN            NaN            NaN
  1316.42        2500.00        98.9125                 NaN  0.303249                 NaN            NaN  0.482740                 NaN            NaN  0.301483                 NaN            NaN            NaN
  1314.85        2500.00        98.9239                 NaN  0.299248                 NaN            NaN  0.479265                 NaN            NaN  0.297596                 NaN            NaN            NaN
  1313.28        2500.00        98.9317                 NaN  0.296087                 NaN            NaN  0.477324                 NaN            NaN  0.294911                 NaN            NaN            NaN
  1311.72        2500.00        98.8931                 NaN  0.256177       0.429450E-001            NaN  0.511150                 NaN            NaN  0.296656                 NaN            NaN            NaN
  1310.15        2500.00        98.7856                 NaN  0.175000       0.150228                 NaN  0.582214                 NaN            NaN  0.306991                 NaN            NaN            NaN
  1308.58        2500.00        98.8054                 NaN  0.156261       0.148927                 NaN  0.589836                 NaN            NaN  0.299581                 NaN            NaN            NaN
  1307.02        2500.00        98.8191                 NaN  0.157146       0.145793                 NaN  0.580571       0.152319E-003            NaN  0.297223                 NaN            NaN            NaN
