|6.6.6
Archiving\03_Data\eqfrac/QFM_m2.75/Y98/Y98_1.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        O(HP)          Sp(TH)         an             ilm            San(TH)        q             
  1461.54        2500.00        99.2577                 NaN  0.498749       0.228009                 NaN            NaN  0.155798E-001            NaN            NaN            NaN            NaN            NaN
  1460.32        2500.00        99.1655                 NaN  0.257907       0.560085                 NaN            NaN  0.164885E-001            NaN            NaN            NaN            NaN            NaN
  1459.10        2500.00        99.1689                 NaN  0.257459       0.557657                 NaN            NaN  0.160162E-001            NaN            NaN            NaN            NaN            NaN
  1457.88        2500.00        99.0251                 NaN  0.300901       0.655129                 NaN            NaN  0.179096E-001  0.100959E-002            NaN            NaN            NaN            NaN
  1456.65        2500.00        99.3302                 NaN  0.472149       0.135602                 NaN            NaN  0.620438E-001            NaN            NaN            NaN            NaN            NaN
  1455.43        2500.00        98.9511       0.279535E-005  0.622741       0.353882                 NaN            NaN            NaN  0.667244E-005  0.722404E-001            NaN            NaN            NaN
  1454.21        2500.00        99.1727                 NaN  0.550968       0.269329                 NaN            NaN  0.702172E-002            NaN            NaN            NaN            NaN            NaN
  1452.99        2500.00        99.0870                 NaN  0.296492       0.601299                 NaN            NaN  0.122108E-001  0.299887E-002            NaN            NaN            NaN            NaN
  1451.77        2500.00        99.2953                 NaN  0.222936       0.472141                 NaN            NaN  0.958108E-002            NaN            NaN            NaN            NaN            NaN
  1450.55        2500.00        99.1942                 NaN  0.251592       0.542059                 NaN            NaN  0.121146E-001            NaN            NaN            NaN            NaN            NaN
  1449.33        2500.00        99.1984                 NaN  0.253360       0.537704                 NaN            NaN  0.104865E-001            NaN            NaN            NaN            NaN            NaN
  1448.11        2500.00        98.3760                 NaN  0.744751       0.425820                 NaN            NaN  0.140434                 NaN  0.313013                 NaN            NaN            NaN
  1446.89        2500.00        98.1773                 NaN  0.423175       0.619811                 NaN            NaN  0.233176                 NaN  0.546557                 NaN            NaN            NaN
  1445.67        2500.00        97.7906                 NaN  0.502635       0.756310                 NaN            NaN  0.287423                 NaN  0.663066                 NaN            NaN            NaN
  1444.44        2500.00        97.8436                 NaN  0.741972       0.483126                 NaN            NaN  0.284647                 NaN  0.646631                 NaN            NaN            NaN
  1443.22        2500.00        97.8665                 NaN  0.735507       0.472398                 NaN            NaN  0.285040                 NaN  0.640517                 NaN            NaN            NaN
  1442.00        2500.00        97.8986                 NaN  0.728889       0.457269                 NaN            NaN  0.284298                 NaN  0.630942                 NaN            NaN            NaN
  1440.78        2500.00        97.9295                 NaN  0.720980       0.443605                 NaN            NaN  0.284017                 NaN  0.621881                 NaN            NaN            NaN
  1439.56        2500.00        97.9612                 NaN  0.713850       0.429013                 NaN            NaN  0.283413                 NaN  0.612491                 NaN            NaN            NaN
  1438.34        2500.00        97.5047                 NaN  0.888899       0.504142                 NaN            NaN  0.351818                 NaN  0.750439                 NaN            NaN            NaN
  1437.12        2500.00        98.4996                 NaN  0.530339       0.303485                 NaN            NaN  0.215009                 NaN  0.451539                 NaN            NaN            NaN
  1435.90        2500.00        98.0577                 NaN  0.688961       0.389784                 NaN            NaN  0.279939                 NaN  0.583660                 NaN            NaN            NaN
  1434.68        2500.00        98.0765                 NaN  0.685342       0.378012                 NaN            NaN  0.281633                 NaN  0.578553                 NaN            NaN            NaN
  1433.46        2500.00        97.7082                 NaN  0.440575       0.820572                 NaN            NaN  0.340756                 NaN  0.689922                 NaN            NaN            NaN
  1432.23        2500.00        98.5231                 NaN  0.277898       0.532654                 NaN            NaN  0.221940                 NaN  0.444432                 NaN            NaN            NaN
  1431.01        2500.00        98.1515                 NaN  0.342365       0.668964                 NaN            NaN  0.281022                 NaN  0.556099                 NaN            NaN            NaN
  1429.79        2500.00        98.1811                 NaN  0.659708       0.331611                 NaN            NaN  0.280057                 NaN  0.547515                 NaN            NaN            NaN
  1428.57        2500.00        98.0432                 NaN  0.713714       0.347661                 NaN            NaN  0.305449                 NaN  0.589957                 NaN            NaN            NaN
  1427.35        2500.00        98.3883                 NaN  0.279266       0.592136                 NaN            NaN  0.254835                 NaN  0.485443                 NaN            NaN            NaN
  1426.13        2500.00        98.2519                 NaN  0.644162       0.298544                 NaN            NaN  0.278873                 NaN  0.526501                 NaN            NaN            NaN
  1424.91        2500.00        98.2717                 NaN  0.640114       0.287706                 NaN            NaN  0.279626                 NaN  0.520903                 NaN            NaN            NaN
  1423.69        2500.00        98.2962                 NaN  0.277245       0.634336                 NaN            NaN  0.278914                 NaN  0.513323                 NaN            NaN            NaN
  1422.47        2500.00        98.3160                 NaN  0.266993       0.630403                 NaN            NaN  0.278983                 NaN  0.507658                 NaN            NaN            NaN
  1421.25        2500.00        98.2679                 NaN  0.645148       0.277530                 NaN            NaN  0.284597                 NaN  0.524813                 NaN            NaN            NaN
  1420.02        2500.00        98.4301                 NaN  0.601438       0.224171                 NaN            NaN  0.272883                 NaN  0.471361                 NaN            NaN            NaN
  1418.80        2500.00        98.3765                 NaN  0.617343       0.238148                 NaN            NaN  0.278441                 NaN  0.489522                 NaN            NaN            NaN
  1417.58        2500.00        98.3967                 NaN  0.610247       0.240383                 NaN            NaN  0.270584                 NaN  0.482103                 NaN            NaN            NaN
  1416.36        2500.00        98.4033                 NaN  0.617712       0.206032                 NaN            NaN  0.289094                 NaN  0.483840                 NaN            NaN            NaN
  1415.14        2500.00        98.4411                 NaN  0.601779       0.212364                 NaN            NaN  0.275355                 NaN  0.469380                 NaN            NaN            NaN
  1413.92        2500.00        98.4520                 NaN  0.202077       0.601528                 NaN            NaN  0.277612                 NaN  0.466811                 NaN            NaN            NaN
  1412.70        2500.00        98.4681                 NaN  0.192350       0.599410                 NaN            NaN  0.277911                 NaN  0.462235                 NaN            NaN            NaN
  1411.48        2500.00        98.4784                 NaN  0.202061       0.588807                 NaN            NaN  0.272623                 NaN  0.458139                 NaN            NaN            NaN
  1410.26        2500.00        98.5100                 NaN  0.598976       0.158035                 NaN            NaN  0.282845                 NaN  0.450141                 NaN            NaN            NaN
  1409.04        2500.00        98.5210                 NaN  0.170124       0.586698                 NaN            NaN  0.276348                 NaN  0.445864                 NaN            NaN            NaN
  1407.81        2500.00        98.5360                 NaN  0.159717       0.585678                 NaN            NaN  0.277049                 NaN  0.441527                 NaN            NaN            NaN
  1406.59        2500.00        98.5521                 NaN  0.582168       0.152858                 NaN            NaN  0.276386                 NaN  0.436526                 NaN            NaN            NaN
  1405.37        2500.00        98.5640                 NaN  0.588003       0.122589                 NaN            NaN  0.290214                 NaN  0.435208                 NaN            NaN            NaN
  1404.15        2500.00        98.5855                 NaN  0.158861       0.569381                 NaN            NaN  0.262138                 NaN  0.424150                 NaN            NaN            NaN
  1402.93        2500.00        98.5957                 NaN  0.129602       0.575330                 NaN            NaN  0.276149                 NaN  0.423242                 NaN            NaN            NaN
  1401.71        2500.00        98.6116                 NaN  0.122098       0.572515                 NaN            NaN  0.275461                 NaN  0.418288                 NaN            NaN            NaN
  1400.49        2500.00        98.6240                 NaN  0.115087       0.571062                 NaN            NaN  0.275337                 NaN  0.414507                 NaN            NaN            NaN
  1399.27        2500.00        98.6400                 NaN  0.567589       0.107879                 NaN            NaN  0.274955                 NaN  0.409618                 NaN            NaN            NaN
  1398.05        2500.00        98.6544                 NaN  0.100959       0.565165                 NaN            NaN  0.274358                 NaN  0.405099                 NaN            NaN            NaN
  1396.83        2500.00        98.6678                 NaN  0.563203       0.935075E-001            NaN            NaN  0.274236                 NaN  0.401211                 NaN            NaN            NaN
  1395.60        2500.00        98.6800                 NaN  0.561728       0.870344E-001            NaN            NaN  0.273864                 NaN  0.397413                 NaN            NaN            NaN
  1394.38        2500.00        98.6946                 NaN  0.559092       0.808280E-001            NaN            NaN  0.272871                 NaN  0.392612                 NaN            NaN            NaN
  1393.16        2500.00        98.7059                 NaN  0.557717       0.746242E-001            NaN            NaN  0.272666                 NaN  0.389112                 NaN            NaN            NaN
  1391.94        2500.00        99.8565                 NaN            NaN            NaN            NaN            NaN  0.863216E-001            NaN  0.571682E-001            NaN            NaN            NaN
  1390.72        2500.00        97.5902                 NaN   1.11115       0.134421                 NaN            NaN  0.455229                 NaN  0.708986                 NaN            NaN            NaN
  1389.50        2500.00        98.7425                 NaN  0.559173E-001  0.553055                 NaN            NaN  0.270934                 NaN  0.377558                 NaN            NaN            NaN
  1388.28        2500.00        98.7518                 NaN  0.554936       0.478608E-001            NaN            NaN  0.270752                 NaN  0.374625                 NaN            NaN            NaN
  1387.06        2500.00        98.7675                 NaN  0.450975E-001  0.548712                 NaN            NaN  0.269112                 NaN  0.369544                 NaN            NaN            NaN
  1385.84        2500.00        98.7674                 NaN  0.502391E-001  0.544471                 NaN            NaN  0.267838                 NaN  0.370096                 NaN            NaN            NaN
  1384.62        2500.00        98.7997                 NaN  0.260837E-001  0.545264                 NaN            NaN  0.269487                 NaN  0.359446                 NaN            NaN            NaN
  1383.39        2500.00        98.7987                 NaN  0.548110       0.261530E-001            NaN            NaN  0.267359                 NaN  0.359644                 NaN            NaN            NaN
  1382.17        2500.00        98.8104                 NaN  0.544563       0.227652E-001            NaN            NaN  0.266436                 NaN  0.355862                 NaN            NaN            NaN
  1380.95        2500.00        98.8213                 NaN  0.543956       0.169147E-001            NaN            NaN  0.265435                 NaN  0.352351                 NaN            NaN            NaN
  1379.73        2500.00        98.8308                 NaN  0.543348       0.117808E-001            NaN            NaN  0.264819                 NaN  0.349248                 NaN            NaN            NaN
  1378.51        2500.00        98.8416                 NaN  0.542712       0.680586E-002            NaN            NaN  0.263206                 NaN  0.345684                 NaN            NaN            NaN
  1377.29        2500.00        98.8506                 NaN  0.541919       0.194473E-002            NaN            NaN  0.262802                 NaN  0.342710                 NaN            NaN            NaN
  1376.07        2500.00        98.8085                 NaN  0.554200                 NaN            NaN            NaN  0.278779                 NaN  0.358523                 NaN            NaN            NaN
  1374.85        2500.00        98.9226                 NaN  0.723488E-002  0.511194                 NaN            NaN  0.242035                 NaN  0.316924                 NaN            NaN            NaN
  1373.63        2500.00        98.8773                 NaN  0.528561       0.711460E-002            NaN            NaN  0.254094                 NaN  0.332893                 NaN            NaN            NaN
  1372.41        2500.00        98.8785                 NaN  0.491550       0.711697E-001            NaN            NaN  0.230144                 NaN  0.328658                 NaN            NaN            NaN
  1371.18        2500.00        98.8978                 NaN  0.524223                 NaN            NaN            NaN  0.251746                 NaN  0.326219                 NaN            NaN            NaN
  1369.96        2500.00        98.9054                 NaN  0.521208                 NaN            NaN            NaN  0.249888                 NaN  0.323469                 NaN            NaN            NaN
  1368.74        2500.00        98.9096                 NaN  0.510300                 NaN            NaN            NaN  0.256376                 NaN  0.323710                 NaN            NaN            NaN
  1367.52        2500.00        98.9300                 NaN  0.511386                 NaN            NaN            NaN  0.243838                 NaN  0.314744                 NaN            NaN            NaN
  1366.30        2500.00        98.9299                 NaN  0.515396                 NaN            NaN            NaN  0.240361                 NaN  0.314316                 NaN            NaN            NaN
  1365.08        2500.00        98.9379                 NaN  0.509882                 NaN            NaN            NaN  0.240478                 NaN  0.311765                 NaN            NaN            NaN
  1363.86        2500.00        98.9460                 NaN  0.510277                 NaN            NaN            NaN  0.235286                 NaN  0.308397                 NaN            NaN            NaN
  1362.64        2500.00        98.9530                 NaN  0.503690                 NaN            NaN            NaN  0.236919                 NaN  0.306378                 NaN            NaN            NaN
  1361.42        2500.00        98.9635                 NaN  0.501690                 NaN            NaN            NaN  0.232329                 NaN  0.302434                 NaN            NaN            NaN
  1360.20        2500.00        98.9698                 NaN  0.500130                 NaN            NaN            NaN  0.229981                 NaN  0.300108                 NaN            NaN            NaN
  1358.97        2500.00        98.9760                 NaN  0.500404                 NaN            NaN            NaN  0.226077                 NaN  0.297480                 NaN            NaN            NaN
  1357.75        2500.00        98.9841                 NaN  0.495322                 NaN            NaN            NaN  0.225580                 NaN  0.295037                 NaN            NaN            NaN
  1356.53        2500.00        98.9898                 NaN  0.487530                 NaN            NaN            NaN  0.229072                 NaN  0.293588                 NaN            NaN            NaN
  1355.31        2500.00        99.0034                 NaN  0.487877                 NaN            NaN            NaN  0.220420                 NaN  0.288290                 NaN            NaN            NaN
  1354.09        2500.00        99.0066                 NaN  0.489661                 NaN            NaN            NaN  0.217225                 NaN  0.286532                 NaN            NaN            NaN
  1352.87        2500.00        99.0138                 NaN  0.483941                 NaN            NaN            NaN  0.217784                 NaN  0.284468                 NaN            NaN            NaN
  1351.65        2500.00        99.0207                 NaN  0.484486                 NaN            NaN            NaN  0.213313                 NaN  0.281520                 NaN            NaN            NaN
  1350.43        2500.00        99.0255                 NaN  0.487793                 NaN            NaN            NaN  0.207525                 NaN  0.279219                 NaN            NaN            NaN
  1349.21        2500.00        99.0331                 NaN  0.481091                 NaN            NaN            NaN  0.208981                 NaN  0.276842                 NaN            NaN            NaN
  1347.99        2500.00        99.0384                 NaN  0.481064                 NaN            NaN            NaN  0.205796                 NaN  0.274752                 NaN            NaN            NaN
  1346.76        2500.00        99.0450                 NaN  0.477247                 NaN            NaN            NaN  0.205290                 NaN  0.272497                 NaN            NaN            NaN
  1345.54        2500.00        99.0438                 NaN  0.493017                 NaN            NaN            NaN  0.191975                 NaN  0.271220                 NaN            NaN            NaN
  1344.32        2500.00        99.0691                 NaN  0.468420                 NaN            NaN            NaN  0.198392                 NaN  0.264099                 NaN            NaN            NaN
  1343.10        2500.00        99.0653                 NaN  0.472106                 NaN            NaN            NaN  0.197363                 NaN  0.265249                 NaN            NaN            NaN
  1341.88        2500.00        99.0706                 NaN  0.471438                 NaN            NaN            NaN  0.194955                 NaN  0.262974                 NaN            NaN            NaN
  1340.66        2500.00        99.0581                 NaN  0.483932                 NaN            NaN            NaN  0.190316                 NaN  0.267675                 NaN            NaN            NaN
  1339.44        2500.00        99.0974                 NaN  0.466354                 NaN            NaN            NaN  0.184322                 NaN  0.251952                 NaN            NaN            NaN
  1338.22        2500.00        99.0880                 NaN  0.466700                 NaN            NaN            NaN  0.188642                 NaN  0.256664                 NaN            NaN            NaN
  1337.00        2500.00        99.0933                 NaN  0.466394                 NaN            NaN            NaN  0.185836                 NaN  0.254513                 NaN            NaN            NaN
  1335.78        2500.00        98.6246                 NaN  0.631575                 NaN            NaN            NaN  0.342668                 NaN  0.401200                 NaN            NaN            NaN
  1334.55        2500.00        99.5361                 NaN  0.373365E-002  0.258658                 NaN            NaN  0.587290E-001            NaN  0.116816       0.259897E-001            NaN            NaN
  1333.33        2500.00        99.1214                 NaN  0.453200                 NaN            NaN            NaN  0.179783                 NaN  0.245640                 NaN            NaN            NaN
  1332.11        2500.00        99.0575                 NaN  0.484374                 NaN            NaN            NaN  0.170403                 NaN  0.257618       0.301353E-001            NaN            NaN
  1330.89        2500.00        99.0045                 NaN  0.493337                 NaN            NaN            NaN  0.171341                 NaN  0.269986       0.607998E-001            NaN            NaN
  1329.67        2500.00        99.0104                 NaN  0.505367                 NaN            NaN            NaN  0.159853                 NaN  0.265040       0.593274E-001            NaN            NaN
  1328.45        2500.00        99.0221                 NaN  0.493758                 NaN            NaN            NaN  0.162231                 NaN  0.263308       0.585956E-001            NaN            NaN
  1327.23        2500.00        99.0315                 NaN  0.489677                 NaN            NaN            NaN  0.160330                 NaN  0.260782       0.576913E-001            NaN            NaN
  1326.01        2500.00        99.0502                 NaN  0.473542                 NaN            NaN            NaN  0.162024                 NaN  0.257172       0.570354E-001            NaN            NaN
  1324.79        2500.00        99.0410                 NaN  0.480182                 NaN            NaN            NaN  0.163931                 NaN  0.257723       0.571392E-001            NaN            NaN
  1323.57        2500.00        99.0676                 NaN  0.467861                 NaN            NaN            NaN  0.159250                 NaN  0.251028       0.542964E-001            NaN            NaN
  1322.34        2500.00        99.0692                 NaN  0.470878                 NaN            NaN            NaN  0.155719                 NaN  0.250113       0.541002E-001            NaN            NaN
  1321.12        2500.00        99.0773                 NaN  0.465908                 NaN            NaN            NaN  0.155367                 NaN  0.248055       0.533696E-001            NaN            NaN
  1319.90        2500.00        99.0855                 NaN  0.462658                 NaN            NaN            NaN  0.153650                 NaN  0.245666       0.524954E-001            NaN            NaN
  1318.68        2500.00        99.0947                 NaN  0.456859                 NaN            NaN            NaN  0.153475                 NaN  0.243234       0.517379E-001            NaN            NaN
  1317.46        2500.00        99.1035                 NaN  0.452674                 NaN            NaN            NaN  0.151944                 NaN  0.240970       0.509159E-001            NaN            NaN
  1316.24        2500.00        99.1106                 NaN  0.451815                 NaN            NaN            NaN  0.149167                 NaN  0.238440       0.500209E-001            NaN            NaN
  1315.02        2500.00        99.1195                 NaN  0.448391                 NaN            NaN            NaN  0.146827                 NaN  0.236135       0.491607E-001            NaN            NaN
  1313.80        2500.00        99.1273                 NaN  0.444270                 NaN            NaN            NaN  0.146153                 NaN  0.233918       0.483978E-001            NaN            NaN
  1312.58        2500.00        99.1352                 NaN  0.440621                 NaN            NaN            NaN  0.144812                 NaN  0.231687       0.476338E-001            NaN            NaN
  1311.36        2500.00        99.1431                 NaN  0.437587                 NaN            NaN            NaN  0.143001                 NaN  0.229456       0.468221E-001            NaN            NaN
  1310.13        2500.00        99.1513                 NaN  0.434423                 NaN            NaN            NaN  0.141038                 NaN  0.227178       0.460708E-001            NaN            NaN
  1308.91        2500.00        99.1587                 NaN  0.431577                 NaN            NaN            NaN  0.139369                 NaN  0.225091       0.452773E-001            NaN            NaN
  1307.69        2500.00        99.1664                 NaN  0.429971                 NaN            NaN            NaN  0.136457                 NaN  0.222765       0.444091E-001            NaN            NaN
  1306.47        2500.00        99.1738                 NaN  0.426091                 NaN            NaN            NaN  0.135581                 NaN  0.220731       0.437482E-001            NaN            NaN
  1305.25        2500.00        99.1810                 NaN  0.424302                 NaN            NaN            NaN  0.133112                 NaN  0.218667       0.429681E-001            NaN            NaN
  1304.03        2500.00        99.1882                 NaN  0.421439                 NaN            NaN            NaN  0.131511                 NaN  0.216647       0.422365E-001            NaN            NaN
  1302.81        2500.00        99.1958                 NaN  0.418478                 NaN            NaN            NaN  0.129702                 NaN  0.214538       0.414996E-001            NaN            NaN
  1301.59        2500.00        99.2027                 NaN  0.415468                 NaN            NaN            NaN  0.128513                 NaN  0.212492       0.408258E-001            NaN            NaN
  1300.37        2500.00        76.5009                 NaN   5.09356                 NaN            NaN            NaN   1.85627                 NaN   3.13087       0.839506        12.5789                 NaN
  1299.15        2500.00        74.9795                 NaN   5.39120                 NaN            NaN            NaN   2.06819                 NaN   3.32466       0.876276        13.3601                 NaN
  1297.92        2500.00        76.8917                 NaN   5.01972                 NaN            NaN            NaN   1.96525                 NaN   3.07706       0.793336        12.2530                 NaN
  1296.70        2500.00        78.6343                 NaN   4.69233                 NaN            NaN            NaN   1.85375                 NaN   2.85071       0.718832        11.2501                 NaN
  1295.48        2500.00        80.2355                 NaN   4.39344                 NaN            NaN            NaN   1.73844                 NaN   2.64175       0.652240        10.3386                 NaN
  1294.26        2500.00        81.6838                 NaN   4.12581                 NaN            NaN            NaN   1.62382                 NaN   2.45207       0.593311        9.52122                 NaN
  1293.04        2500.00        82.9793                 NaN   3.88693                 NaN            NaN            NaN   1.51243                 NaN   2.28180       0.541775        8.79778                 NaN
  1291.82        2500.00        83.0977                 NaN   3.93258                 NaN            NaN            NaN   1.51150                 NaN   2.26976       0.527882        8.66061                 NaN
  1290.60        2500.00        85.8858                 NaN   3.30962                 NaN            NaN            NaN   1.26139                 NaN   1.89663       0.434207        7.21237                 NaN
  1289.38        2500.00        82.9990                 NaN   4.11482                 NaN            NaN            NaN   1.18880                 NaN   2.27706       0.562552        8.85780                 NaN
  1288.16        2500.00        88.2386                 NaN   2.56930                 NaN            NaN            NaN   1.43602                 NaN   1.61047       0.317817        5.82775                 NaN
  1286.94        2500.00        88.1975                 NaN   2.59046                 NaN            NaN            NaN   1.20609                 NaN   1.63753       0.360676        6.00772                 NaN
  1285.71        2500.00        92.4879                 NaN   2.24562                 NaN            NaN            NaN  0.492061                 NaN  0.946700       0.202336        3.62541                 NaN
  1284.49        2500.00        89.8925                 NaN   2.50844                 NaN            NaN            NaN  0.874467                 NaN   1.36253       0.293616        5.06842                 NaN
  1283.27        2500.00        86.0062                 NaN   3.37029                 NaN            NaN            NaN   1.21315                 NaN   1.90490       0.417254        7.08821                 NaN
  1282.05        2500.00        93.9077                 NaN   1.65390                 NaN            NaN            NaN  0.518783                 NaN  0.807148       0.164856        2.94759                 NaN
  1280.83        2500.00        92.8454                 NaN   1.85931                 NaN            NaN            NaN  0.598843                 NaN  0.960733       0.199506        3.53616                 NaN
  1279.61        2500.00        88.5849                 NaN   2.97922                 NaN            NaN            NaN  0.848122                 NaN   1.56343       0.359857        5.66451                 NaN
  1278.39        2500.00        96.5909                 NaN  0.803556                 NaN            NaN            NaN  0.335988                 NaN  0.431024       0.628355E-001   1.77566                 NaN
  1277.17        2500.00        90.0703                 NaN   2.49821                 NaN            NaN            NaN  0.788377                 NaN   1.34253       0.288780        5.01182                 NaN
  1275.95        2500.00        94.1403                 NaN   1.55298                 NaN            NaN            NaN  0.435942                 NaN  0.792565       0.162582        2.91562                 NaN
  1274.73        2500.00        94.7796                 NaN   1.47679                 NaN            NaN            NaN  0.391251                 NaN  0.695158       0.142200        2.51499                 NaN
  1273.50        2500.00        94.1480                 NaN   1.63931                 NaN            NaN            NaN  0.387689                 NaN  0.788117       0.156489        2.88037                 NaN
  1272.28        2500.00        94.1880                 NaN   1.62460                 NaN            NaN            NaN  0.374506                 NaN  0.783156       0.155399        2.87430                 NaN
  1271.06        2500.00        94.2040                 NaN   1.64650                 NaN            NaN            NaN  0.340850                 NaN  0.778868       0.155216        2.87457                 NaN
  1269.84        2500.00        94.1734                 NaN   1.67122                 NaN            NaN            NaN  0.323513                 NaN  0.783599       0.155106        2.89314                 NaN
  1268.62        2500.00        94.8067                 NaN   1.55721                 NaN            NaN            NaN  0.245417                 NaN  0.695053       0.133811        2.56176                 NaN
  1267.40        2500.00        94.7016                 NaN   1.62572                 NaN            NaN            NaN  0.212990                 NaN  0.708854       0.134414        2.61639                 NaN
  1266.18        2500.00        57.4727        38.0350       0.797377                 NaN            NaN            NaN            NaN            NaN  0.795515       0.172528        2.72695                 NaN
  1264.96        2500.00        95.1363                 NaN   2.19091                 NaN            NaN            NaN  0.320685                 NaN  0.455843       0.601079E-001   1.83613                 NaN
  1263.74        2500.00        94.8918                 NaN   1.68554                 NaN            NaN            NaN  0.908435E-001            NaN  0.672471       0.124770        2.53456                 NaN
  1262.52        2500.00        94.9725                 NaN   1.80357                 NaN            NaN            NaN            NaN            NaN  0.665338       0.109009        2.44955                 NaN
  1261.29        2500.00        93.2586                 NaN   1.63697                 NaN            NaN            NaN  0.469121                 NaN  0.978281       0.183595        3.47343                 NaN
  1260.07        2500.00        95.9877                 NaN   1.33404                 NaN            NaN            NaN            NaN            NaN  0.463680       0.994168E-001   2.11512                 NaN
  1258.85        2500.00        89.0776                 NaN   3.72500                 NaN            NaN            NaN  0.226478                 NaN   1.50183       0.215023        5.25404                 NaN
  1257.63        2500.00        99.5982                 NaN  0.337876                 NaN            NaN            NaN            NaN            NaN  0.604663E-001  0.342340E-002            NaN            NaN
  1256.41        2500.00        99.5586                 NaN  0.370392E-001            NaN            NaN            NaN            NaN            NaN  0.441569E-001  0.695023E-001  0.290744                 NaN
  1255.19        2500.00        96.1025                 NaN   1.40482                 NaN            NaN            NaN            NaN            NaN  0.489425       0.109653E-001   1.99225                 NaN
  1253.97        2500.00        88.9444                 NaN  0.126826        3.58346                 NaN            NaN            NaN            NaN   1.44656       0.231525        5.66719                 NaN
  1252.75        2500.00        99.5735                 NaN  0.116481       0.388093E-001            NaN            NaN            NaN            NaN  0.574846E-001  0.154013E-001  0.198359                 NaN
  1251.53        2500.00        99.1213                 NaN  0.178115       0.853186E-001            NaN            NaN            NaN            NaN  0.113675       0.165856E-001  0.485027                 NaN
  1250.31        2500.00        99.7232                 NaN  0.565659E-001  0.448516E-001            NaN            NaN            NaN            NaN  0.353598E-001  0.707046E-002  0.132992                 NaN
  1249.08        2500.00        95.2040                 NaN  0.940553       0.820072                 NaN            NaN            NaN            NaN  0.624980       0.924170E-001   2.31799                 NaN
  1247.86        2500.00        93.6693                 NaN   1.86697                 NaN            NaN            NaN            NaN            NaN  0.834780       0.154328        3.47465                 NaN
  1246.64        2500.00        99.2488                 NaN  0.617277                 NaN            NaN            NaN            NaN            NaN  0.132436       0.153325E-002            NaN            NaN
