|6.6.6
Archiving\03_Data\eqfrac/QFM_m2.75/Y98/Y98_3.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        O(HP)          Sp(TH)         an             ilm            San(TH)        q             
  1456.65        2500.00        99.4177                 NaN  0.414011       0.117514                 NaN            NaN  0.507823E-001            NaN            NaN            NaN            NaN            NaN
  1455.43        2500.00        99.0742       0.299742E-005  0.542993       0.305881                 NaN            NaN            NaN  0.435413E-005  0.769025E-001            NaN            NaN            NaN
  1454.21        2500.00        99.2783                 NaN  0.482781       0.233223                 NaN            NaN  0.573958E-002            NaN            NaN            NaN            NaN            NaN
  1452.99        2500.00        99.2045                 NaN  0.256643       0.526867                 NaN            NaN  0.997541E-002  0.201686E-002            NaN            NaN            NaN            NaN
  1451.77        2500.00        99.3859                 NaN  0.192836       0.413411                 NaN            NaN  0.781901E-002            NaN            NaN            NaN            NaN            NaN
  1450.55        2500.00        99.2981                 NaN  0.217545       0.474499                 NaN            NaN  0.988148E-002            NaN            NaN            NaN            NaN            NaN
  1449.33        2500.00        99.3019                 NaN  0.218969       0.470548                 NaN            NaN  0.854627E-002            NaN            NaN            NaN            NaN            NaN
  1448.11        2500.00        98.5327                 NaN  0.651746       0.367952                 NaN            NaN  0.114422                 NaN  0.333141                 NaN            NaN            NaN
  1446.89        2500.00        98.3213                 NaN  0.365446       0.542050                 NaN            NaN  0.189628                 NaN  0.581588                 NaN            NaN            NaN
  1445.67        2500.00        97.9659                 NaN  0.433762       0.661159                 NaN            NaN  0.233426                 NaN  0.705716                 NaN            NaN            NaN
  1444.44        2500.00        98.0163                 NaN  0.648214       0.416590                 NaN            NaN  0.230754                 NaN  0.688118                 NaN            NaN            NaN
  1443.22        2500.00        98.0385                 NaN  0.642202       0.407039                 NaN            NaN  0.230720                 NaN  0.681513                 NaN            NaN            NaN
  1442.00        2500.00        98.0695                 NaN  0.635964       0.393662                 NaN            NaN  0.229702                 NaN  0.671217                 NaN            NaN            NaN
  1440.78        2500.00        98.0993                 NaN  0.628628       0.381569                 NaN            NaN  0.229085                 NaN  0.661462                 NaN            NaN            NaN
  1439.56        2500.00        98.1298                 NaN  0.621977       0.368707                 NaN            NaN  0.228200                 NaN  0.651351                 NaN            NaN            NaN
  1438.34        2500.00        97.7114                 NaN  0.774205       0.433136                 NaN            NaN  0.283087                 NaN  0.798175                 NaN            NaN            NaN
  1437.12        2500.00        98.6264                 NaN  0.461141       0.260235                 NaN            NaN  0.172413                 NaN  0.479795                 NaN            NaN            NaN
  1435.90        2500.00        98.2223                 NaN  0.598992       0.334125                 NaN            NaN  0.224258                 NaN  0.620295                 NaN            NaN            NaN
  1434.68        2500.00        98.2409                 NaN  0.595402       0.323748                 NaN            NaN  0.225229                 NaN  0.614728                 NaN            NaN            NaN
  1433.46        2500.00        97.9054                 NaN  0.377001       0.712343                 NaN            NaN  0.272126                 NaN  0.733091                 NaN            NaN            NaN
  1432.23        2500.00        98.6520                 NaN  0.237504       0.461894                 NaN            NaN  0.176806                 NaN  0.471818                 NaN            NaN            NaN
  1431.01        2500.00        98.3139                 NaN  0.292396       0.579768                 NaN            NaN  0.223506                 NaN  0.590414                 NaN            NaN            NaN
  1429.79        2500.00        98.3421                 NaN  0.571380       0.282996                 NaN            NaN  0.222396                 NaN  0.581134                 NaN            NaN            NaN
  1428.57        2500.00        98.2176                 NaN  0.617660       0.296430                 NaN            NaN  0.242234                 NaN  0.626072                 NaN            NaN            NaN
  1427.35        2500.00        98.5337                 NaN  0.237863       0.511976                 NaN            NaN  0.201623                 NaN  0.514869                 NaN            NaN            NaN
  1426.13        2500.00        98.4108                 NaN  0.556546       0.254078                 NaN            NaN  0.220286                 NaN  0.558323                 NaN            NaN            NaN
  1424.91        2500.00        98.4300                 NaN  0.552612       0.244620                 NaN            NaN  0.220541                 NaN  0.552208                 NaN            NaN            NaN
  1423.69        2500.00        98.4537                 NaN  0.235514       0.547198                 NaN            NaN  0.219583                 NaN  0.543990                 NaN            NaN            NaN
  1422.47        2500.00        98.4730                 NaN  0.226585       0.543333                 NaN            NaN  0.219233                 NaN  0.537801                 NaN            NaN            NaN
  1421.25        2500.00        98.4298                 NaN  0.555707       0.235437                 NaN            NaN  0.223297                 NaN  0.555804                 NaN            NaN            NaN
  1420.02        2500.00        98.5801                 NaN  0.517444       0.189871                 NaN            NaN  0.213666                 NaN  0.498958                 NaN            NaN            NaN
  1418.80        2500.00        98.5321                 NaN  0.530688       0.201524                 NaN            NaN  0.217640                 NaN  0.518019                 NaN            NaN            NaN
  1417.58        2500.00        98.5516                 NaN  0.524098       0.203210                 NaN            NaN  0.211104                 NaN  0.509973                 NaN            NaN            NaN
  1416.36        2500.00        98.5592                 NaN  0.530046       0.173991                 NaN            NaN  0.225169                 NaN  0.511609                 NaN            NaN            NaN
  1415.14        2500.00        98.5948                 NaN  0.515868       0.179160                 NaN            NaN  0.214069                 NaN  0.496108                 NaN            NaN            NaN
  1413.92        2500.00        98.6058                 NaN  0.170335       0.515243                 NaN            NaN  0.215442                 NaN  0.493190                 NaN            NaN            NaN
  1412.70        2500.00        98.6216                 NaN  0.161976       0.512950                 NaN            NaN  0.215288                 NaN  0.488146                 NaN            NaN            NaN
  1411.48        2500.00        98.6321                 NaN  0.169993       0.503452                 NaN            NaN  0.210820                 NaN  0.483612                 NaN            NaN            NaN
  1410.26        2500.00        98.6623                 NaN  0.511667       0.132826                 NaN            NaN  0.218291                 NaN  0.474949                 NaN            NaN            NaN
  1409.04        2500.00        98.6734                 NaN  0.142819       0.500627                 NaN            NaN  0.212919                 NaN  0.470224                 NaN            NaN            NaN
  1407.81        2500.00        98.6882                 NaN  0.133953       0.499307                 NaN            NaN  0.213097                 NaN  0.465433                 NaN            NaN            NaN
  1406.59        2500.00        98.7039                 NaN  0.495848       0.128067                 NaN            NaN  0.212199                 NaN  0.459942                 NaN            NaN            NaN
  1405.37        2500.00        98.7163                 NaN  0.500302       0.102605                 NaN            NaN  0.222417                 NaN  0.458328                 NaN            NaN            NaN
  1404.15        2500.00        98.7362                 NaN  0.132825       0.483988                 NaN            NaN  0.200521                 NaN  0.446461                 NaN            NaN            NaN
  1402.93        2500.00        98.7471                 NaN  0.108242       0.488517                 NaN            NaN  0.210832                 NaN  0.445284                 NaN            NaN            NaN
  1401.71        2500.00        98.7626                 NaN  0.101878       0.485694                 NaN            NaN  0.209955                 NaN  0.439845                 NaN            NaN            NaN
  1400.49        2500.00        98.7751                 NaN  0.959205E-001  0.483927                 NaN            NaN  0.209450                 NaN  0.435643                 NaN            NaN            NaN
  1399.27        2500.00        98.7906                 NaN  0.480519       0.898221E-001            NaN            NaN  0.208805                 NaN  0.430274                 NaN            NaN            NaN
  1398.05        2500.00        98.8047                 NaN  0.839766E-001  0.478015                 NaN            NaN  0.208002                 NaN  0.425298                 NaN            NaN            NaN
  1396.83        2500.00        98.8179                 NaN  0.475854       0.776974E-001            NaN            NaN  0.207536                 NaN  0.420985                 NaN            NaN            NaN
  1395.60        2500.00        98.8300                 NaN  0.474093       0.722387E-001            NaN            NaN  0.206893                 NaN  0.416768                 NaN            NaN            NaN
  1394.38        2500.00        98.8444                 NaN  0.471375       0.670162E-001            NaN            NaN  0.205750                 NaN  0.411501                 NaN            NaN            NaN
  1393.16        2500.00        98.8557                 NaN  0.469718       0.618064E-001            NaN            NaN  0.205201                 NaN  0.407599                 NaN            NaN            NaN
  1391.94        2500.00        99.8756                 NaN            NaN            NaN            NaN            NaN  0.645931E-001            NaN  0.597989E-001            NaN            NaN            NaN
  1390.72        2500.00        97.8690                 NaN  0.935107       0.111245                 NaN            NaN  0.341842                 NaN  0.742789                 NaN            NaN            NaN
  1389.50        2500.00        98.8920                 NaN  0.461620E-001  0.464276                 NaN            NaN  0.202808                 NaN  0.394794                 NaN            NaN            NaN
  1388.28        2500.00        98.9014                 NaN  0.465283       0.394717E-001            NaN            NaN  0.202314                 NaN  0.391491                 NaN            NaN            NaN
  1387.06        2500.00        98.9165                 NaN  0.371525E-001  0.459675                 NaN            NaN  0.200710                 NaN  0.385943                 NaN            NaN            NaN
  1385.84        2500.00        98.9174                 NaN  0.413334E-001  0.455624                 NaN            NaN  0.199343                 NaN  0.386284                 NaN            NaN            NaN
  1384.62        2500.00        98.9476                 NaN  0.214402E-001  0.455738                 NaN            NaN  0.200277                 NaN  0.374925                 NaN            NaN            NaN
  1383.39        2500.00        98.9477                 NaN  0.457614       0.214746E-001            NaN            NaN  0.198327                 NaN  0.374898                 NaN            NaN            NaN
  1382.17        2500.00        98.9592                 NaN  0.454149       0.186720E-001            NaN            NaN  0.197308                 NaN  0.370718                 NaN            NaN            NaN
  1380.95        2500.00        98.9700                 NaN  0.453151       0.138588E-001            NaN            NaN  0.196208                 NaN  0.366822                 NaN            NaN            NaN
  1379.73        2500.00        98.9795                 NaN  0.452094       0.964118E-002            NaN            NaN  0.195410                 NaN  0.363355                 NaN            NaN            NaN
  1378.51        2500.00        98.9901                 NaN  0.451069       0.556391E-002            NaN            NaN  0.193859                 NaN  0.359409                 NaN            NaN            NaN
  1377.29        2500.00        98.9992                 NaN  0.449901       0.158811E-002            NaN            NaN  0.193217                 NaN  0.356080                 NaN            NaN            NaN
  1376.07        2500.00        98.9635                 NaN  0.459663                 NaN            NaN            NaN  0.204552                 NaN  0.372269                 NaN            NaN            NaN
  1374.85        2500.00        99.0646                 NaN  0.589497E-002  0.423373                 NaN            NaN  0.177313                 NaN  0.328820                 NaN            NaN            NaN
  1373.63        2500.00        99.0259                 NaN  0.437325       0.579071E-002            NaN            NaN  0.185810                 NaN  0.345176                 NaN            NaN            NaN
  1372.41        2500.00        99.0274                 NaN  0.406196       0.578588E-001            NaN            NaN  0.168000                 NaN  0.340557                 NaN            NaN            NaN
  1371.18        2500.00        99.0460                 NaN  0.432784                 NaN            NaN            NaN  0.183444                 NaN  0.337792                 NaN            NaN            NaN
  1369.96        2500.00        99.0537                 NaN  0.429810                 NaN            NaN            NaN  0.181764                 NaN  0.334711                 NaN            NaN            NaN
  1368.74        2500.00        99.0584                 NaN  0.420777                 NaN            NaN            NaN  0.186118                 NaN  0.334724                 NaN            NaN            NaN
  1367.52        2500.00        99.0774                 NaN  0.420675                 NaN            NaN            NaN  0.176733                 NaN  0.325218                 NaN            NaN            NaN
  1366.30        2500.00        99.0781                 NaN  0.423443                 NaN            NaN            NaN  0.173906                 NaN  0.324548                 NaN            NaN            NaN
  1365.08        2500.00        99.0861                 NaN  0.418516                 NaN            NaN            NaN  0.173664                 NaN  0.321683                 NaN            NaN            NaN
  1363.86        2500.00        99.0941                 NaN  0.418269                 NaN            NaN            NaN  0.169620                 NaN  0.317978                 NaN            NaN            NaN
  1362.64        2500.00        99.1013                 NaN  0.412490                 NaN            NaN            NaN  0.170497                 NaN  0.315667                 NaN            NaN            NaN
  1361.42        2500.00        99.1114                 NaN  0.410306                 NaN            NaN            NaN  0.166909                 NaN  0.311375                 NaN            NaN            NaN
  1360.20        2500.00        99.1177                 NaN  0.408584                 NaN            NaN            NaN  0.164932                 NaN  0.308753                 NaN            NaN            NaN
  1358.97        2500.00        99.1241                 NaN  0.408243                 NaN            NaN            NaN  0.161860                 NaN  0.305825                 NaN            NaN            NaN
  1357.75        2500.00        99.1320                 NaN  0.403651                 NaN            NaN            NaN  0.161213                 NaN  0.303088                 NaN            NaN            NaN
  1356.53        2500.00        99.1381                 NaN  0.397194                 NaN            NaN            NaN  0.163352                 NaN  0.301374                 NaN            NaN            NaN
  1355.31        2500.00        99.1505                 NaN  0.396776                 NaN            NaN            NaN  0.156986                 NaN  0.295711                 NaN            NaN            NaN
  1354.09        2500.00        99.1542                 NaN  0.397641                 NaN            NaN            NaN  0.154429                 NaN  0.293688                 NaN            NaN            NaN
  1352.87        2500.00        99.1614                 NaN  0.392638                 NaN            NaN            NaN  0.154569                 NaN  0.291353                 NaN            NaN            NaN
  1351.65        2500.00        99.1682                 NaN  0.392543                 NaN            NaN            NaN  0.151143                 NaN  0.288114                 NaN            NaN            NaN
  1350.43        2500.00        99.1731                 NaN  0.394607                 NaN            NaN            NaN  0.146799                 NaN  0.285543                 NaN            NaN            NaN
  1349.21        2500.00        99.1807                 NaN  0.388863                 NaN            NaN            NaN  0.147554                 NaN  0.282895                 NaN            NaN            NaN
  1347.99        2500.00        99.1861                 NaN  0.388319                 NaN            NaN            NaN  0.145042                 NaN  0.280545                 NaN            NaN            NaN
  1346.76        2500.00        99.1926                 NaN  0.384890                 NaN            NaN            NaN  0.144450                 NaN  0.278026                 NaN            NaN            NaN
  1345.54        2500.00        99.1919                 NaN  0.396715                 NaN            NaN            NaN  0.134864                 NaN  0.276512                 NaN            NaN            NaN
  1344.32        2500.00        99.2150                 NaN  0.376838                 NaN            NaN            NaN  0.139139                 NaN  0.269039                 NaN            NaN            NaN
  1343.10        2500.00        99.2124                 NaN  0.379355                 NaN            NaN            NaN  0.138195                 NaN  0.270003                 NaN            NaN            NaN
  1341.88        2500.00        99.2179                 NaN  0.378342                 NaN            NaN            NaN  0.136255                 NaN  0.267478                 NaN            NaN            NaN
  1340.66        2500.00        99.2077                 NaN  0.387514                 NaN            NaN            NaN  0.132752                 NaN  0.272050                 NaN            NaN            NaN
  1339.44        2500.00        99.2424                 NaN  0.373381                 NaN            NaN            NaN  0.128399                 NaN  0.255861                 NaN            NaN            NaN
  1338.22        2500.00        99.2352                 NaN  0.373203                 NaN            NaN            NaN  0.131178                 NaN  0.260446                 NaN            NaN            NaN
  1337.00        2500.00        99.2404                 NaN  0.372490                 NaN            NaN            NaN  0.129014                 NaN  0.258059                 NaN            NaN            NaN
  1335.78        2500.00        98.8507                 NaN  0.505591                 NaN            NaN            NaN  0.237117                 NaN  0.406586                 NaN            NaN            NaN
  1334.55        2500.00        99.6172                 NaN  0.293390E-002  0.205817                 NaN            NaN  0.405664E-001            NaN  0.118158       0.153657E-001            NaN            NaN
  1333.33        2500.00        99.2667                 NaN  0.360705                 NaN            NaN            NaN  0.124152                 NaN  0.248429                 NaN            NaN            NaN
  1332.11        2500.00        99.2193                 NaN  0.385062                 NaN            NaN            NaN  0.117512                 NaN  0.260345       0.178001E-001            NaN            NaN
  1330.89        2500.00        99.1817                 NaN  0.391875                 NaN            NaN            NaN  0.117902                 NaN  0.272596       0.358794E-001            NaN            NaN
  1329.67        2500.00        99.1871                 NaN  0.400759                 NaN            NaN            NaN  0.109867                 NaN  0.267318       0.349729E-001            NaN            NaN
  1328.45        2500.00        99.1978                 NaN  0.391097                 NaN            NaN            NaN  0.111279                 NaN  0.265289       0.345041E-001            NaN            NaN
  1327.23        2500.00        99.2065                 NaN  0.387375                 NaN            NaN            NaN  0.109759                 NaN  0.262464       0.339350E-001            NaN            NaN
  1326.01        2500.00        99.2227                 NaN  0.374409                 NaN            NaN            NaN  0.110813                 NaN  0.258553       0.335126E-001            NaN            NaN
  1324.79        2500.00        99.2166                 NaN  0.379173                 NaN            NaN            NaN  0.111817                 NaN  0.258838       0.335383E-001            NaN            NaN
  1323.57        2500.00        99.2392                 NaN  0.368660                 NaN            NaN            NaN  0.108422                 NaN  0.251841       0.318345E-001            NaN            NaN
  1322.34        2500.00        99.2412                 NaN  0.370608                 NaN            NaN            NaN  0.105840                 NaN  0.250661       0.316858E-001            NaN            NaN
  1321.12        2500.00        99.2488                 NaN  0.366259                 NaN            NaN            NaN  0.105410                 NaN  0.248335       0.312243E-001            NaN            NaN
  1319.90        2500.00        99.2564                 NaN  0.363202                 NaN            NaN            NaN  0.104057                 NaN  0.245684       0.306800E-001            NaN            NaN
  1318.68        2500.00        99.2648                 NaN  0.358262                 NaN            NaN            NaN  0.103750                 NaN  0.242995       0.302049E-001            NaN            NaN
  1317.46        2500.00        99.2728                 NaN  0.354482                 NaN            NaN            NaN  0.102547                 NaN  0.240480       0.296932E-001            NaN            NaN
  1316.24        2500.00        99.2793                 NaN  0.353342                 NaN            NaN            NaN  0.100486                 NaN  0.237706       0.291403E-001            NaN            NaN
  1315.02        2500.00        99.2873                 NaN  0.350177                 NaN            NaN            NaN  0.987429E-001            NaN  0.235162       0.286086E-001            NaN            NaN
  1313.80        2500.00        99.2945                 NaN  0.346522                 NaN            NaN            NaN  0.981091E-001            NaN  0.232710       0.281349E-001            NaN            NaN
  1312.58        2500.00        99.3018                 NaN  0.343249                 NaN            NaN            NaN  0.970322E-001            NaN  0.230251       0.276614E-001            NaN            NaN
  1311.36        2500.00        99.3089                 NaN  0.340435                 NaN            NaN            NaN  0.956624E-001            NaN  0.227796       0.271613E-001            NaN            NaN
  1310.13        2500.00        99.3163                 NaN  0.337538                 NaN            NaN            NaN  0.941888E-001            NaN  0.225301       0.266973E-001            NaN            NaN
  1308.91        2500.00        99.3230                 NaN  0.334894                 NaN            NaN            NaN  0.929170E-001            NaN  0.223000       0.262099E-001            NaN            NaN
  1307.69        2500.00        99.3299                 NaN  0.333169                 NaN            NaN            NaN  0.908246E-001            NaN  0.220469       0.256805E-001            NaN            NaN
  1306.47        2500.00        99.3366                 NaN  0.329775                 NaN            NaN            NaN  0.900872E-001            NaN  0.218231       0.252719E-001            NaN            NaN
  1305.25        2500.00        99.3430                 NaN  0.327936                 NaN            NaN            NaN  0.883024E-001            NaN  0.215970       0.247954E-001            NaN            NaN
  1304.03        2500.00        99.3495                 NaN  0.325316                 NaN            NaN            NaN  0.870918E-001            NaN  0.213755       0.243480E-001            NaN            NaN
  1302.81        2500.00        99.3563                 NaN  0.322599                 NaN            NaN            NaN  0.857692E-001            NaN  0.211459       0.238985E-001            NaN            NaN
  1301.59        2500.00        99.3625                 NaN  0.319929                 NaN            NaN            NaN  0.848300E-001            NaN  0.209230       0.234863E-001            NaN            NaN
  1300.37        2500.00        77.6668                 NaN   3.97701                 NaN            NaN            NaN   1.23691                 NaN   3.12725       0.489904        13.5021                 NaN
  1299.15        2500.00        76.2052                 NaN   4.21314                 NaN            NaN            NaN   1.37363                 NaN   3.32709       0.512319        14.3687                 NaN
  1297.92        2500.00        78.0705                 NaN   3.91625                 NaN            NaN            NaN   1.29887                 NaN   3.07792       0.463611        13.1729                 NaN
  1296.70        2500.00        79.7682                 NaN   3.65422                 NaN            NaN            NaN   1.21948                 NaN   2.84981       0.419816        12.0885                 NaN
  1295.48        2500.00        81.3249                 NaN   3.41497                 NaN            NaN            NaN   1.13880                 NaN   2.63893       0.380632        11.1017                 NaN
  1294.26        2500.00        82.7309                 NaN   3.20062                 NaN            NaN            NaN   1.05942                 NaN   2.44728       0.345929        10.2159                 NaN
  1293.04        2500.00        83.9861                 NaN   3.00894                 NaN            NaN            NaN  0.983073                 NaN   2.27505       0.315558        9.43130                 NaN
  1291.82        2500.00        84.1313                 NaN   3.03905                 NaN            NaN            NaN  0.978774                 NaN   2.26220       0.307346        9.28132                 NaN
  1290.60        2500.00        86.7887                 NaN   2.54946                 NaN            NaN            NaN  0.813873                 NaN   1.88537       0.252141        7.71041                 NaN
  1289.38        2500.00        83.9859                 NaN   3.17079                 NaN            NaN            NaN  0.766107                 NaN   2.26656       0.327101        9.48359                 NaN
  1288.16        2500.00        89.1096                 NaN   1.97198                 NaN            NaN            NaN  0.921469                 NaN   1.59690       0.184086        6.21598                 NaN
  1286.94        2500.00        89.0162                 NaN   1.98613                 NaN            NaN            NaN  0.772062                 NaN   1.62049       0.208490        6.39665                 NaN
  1285.71        2500.00        93.0800                 NaN   1.71056                 NaN            NaN            NaN  0.312909                 NaN  0.933437       0.116534        3.84658                 NaN
  1284.49        2500.00        90.6386                 NaN   1.91107                 NaN            NaN            NaN  0.555533                 NaN   1.34423       0.169201        5.38133                 NaN
  1283.27        2500.00        86.9982                 NaN   2.57233                 NaN            NaN            NaN  0.770722                 NaN   1.88167       0.240748        7.53638                 NaN
  1282.05        2500.00        94.4253                 NaN   1.24938                 NaN            NaN            NaN  0.326931                 NaN  0.791594       0.944361E-001   3.11231                 NaN
  1280.83        2500.00        93.4299                 NaN   1.40490                 NaN            NaN            NaN  0.377148                 NaN  0.941679       0.114217        3.73220                 NaN
  1279.61        2500.00        89.4804                 NaN   2.25305                 NaN            NaN            NaN  0.535815                 NaN   1.53486       0.206344        5.98958                 NaN
  1278.39        2500.00        96.8686                 NaN  0.602771                 NaN            NaN            NaN  0.210002                 NaN  0.419844       0.357483E-001   1.86303                 NaN
  1277.17        2500.00        90.8724                 NaN   1.87846                 NaN            NaN            NaN  0.493432                 NaN   1.31273       0.164921        5.27808                 NaN
  1275.95        2500.00        94.6443                 NaN   1.16290                 NaN            NaN            NaN  0.272327                 NaN  0.771180       0.923937E-001   3.05692                 NaN
  1274.73        2500.00        95.2641                 NaN   1.10367                 NaN            NaN            NaN  0.243310                 NaN  0.675230       0.806696E-001   2.63300                 NaN
  1273.50        2500.00        94.6751                 NaN   1.21835                 NaN            NaN            NaN  0.240760                 NaN  0.764672       0.886757E-001   3.01240                 NaN
  1272.28        2500.00        94.7129                 NaN   1.20624                 NaN            NaN            NaN  0.232309                 NaN  0.758604       0.879113E-001   3.00203                 NaN
  1271.06        2500.00        94.7303                 NaN   1.21980                 NaN            NaN            NaN  0.210998                 NaN  0.753217       0.876627E-001   2.99806                 NaN
  1269.84        2500.00        94.7080                 NaN   1.23510                 NaN            NaN            NaN  0.199906                 NaN  0.756549       0.874550E-001   3.01298                 NaN
  1268.62        2500.00        95.2947                 NaN   1.14624                 NaN            NaN            NaN  0.151245                 NaN  0.669626       0.752860E-001   2.66289                 NaN
  1267.40        2500.00        95.2026                 NaN   1.19290                 NaN            NaN            NaN  0.131016                 NaN  0.681870       0.755073E-001   2.71613                 NaN
  1266.18        2500.00        57.3277        38.4078       0.583969                 NaN            NaN            NaN            NaN            NaN  0.763665       0.967183E-001   2.82015                 NaN
  1264.96        2500.00        95.8261                 NaN   1.60057                 NaN            NaN            NaN  0.196871                 NaN  0.437934       0.337219E-001   1.90482                 NaN
  1263.74        2500.00        95.3834                 NaN   1.22683                 NaN            NaN            NaN  0.555425E-001            NaN  0.643631       0.697353E-001   2.62084                 NaN
  1262.52        2500.00        95.4713                 NaN   1.30338                 NaN            NaN            NaN            NaN            NaN  0.635717       0.608216E-001   2.52878                 NaN
  1261.29        2500.00        93.9138                 NaN   1.18499                 NaN            NaN            NaN  0.285356                 NaN  0.933689       0.102321        3.57988                 NaN
  1260.07        2500.00        96.3623                 NaN  0.969839                 NaN            NaN            NaN            NaN            NaN  0.440675       0.551720E-001   2.17203                 NaN
  1258.85        2500.00        90.2203                 NaN   2.67344                 NaN            NaN            NaN  0.137616                 NaN   1.43193       0.119711        5.41703                 NaN
  1257.63        2500.00        99.6978                 NaN  0.243379                 NaN            NaN            NaN            NaN            NaN  0.569450E-001  0.188254E-002            NaN            NaN
  1256.41        2500.00        99.5975                 NaN  0.266413E-001            NaN            NaN            NaN            NaN            NaN  0.415525E-001  0.381887E-001  0.296157                 NaN
  1255.19        2500.00        96.4993                 NaN   1.00012                 NaN            NaN            NaN            NaN            NaN  0.461591       0.603841E-002   2.03297                 NaN
  1253.97        2500.00        90.0569                 NaN  0.914571E-001   2.55131                 NaN            NaN            NaN            NaN   1.36833       0.127872        5.80409                 NaN
  1252.75        2500.00        99.6272                 NaN  0.827319E-001  0.272896E-001            NaN            NaN            NaN            NaN  0.537205E-001  0.840355E-002  0.200685                 NaN
  1251.53        2500.00        99.2091                 NaN  0.124973       0.605583E-001            NaN            NaN            NaN            NaN  0.106235       0.904989E-002  0.490093                 NaN
  1250.31        2500.00        99.7571                 NaN  0.396609E-001  0.317834E-001            NaN            NaN            NaN            NaN  0.330227E-001  0.385526E-002  0.134530                 NaN
  1249.08        2500.00        95.7708                 NaN  0.666648       0.575528                 NaN            NaN            NaN            NaN  0.585294       0.505308E-001   2.35121                 NaN
  1247.86        2500.00        94.3079                 NaN   1.31045                 NaN            NaN            NaN            NaN            NaN  0.780144       0.842045E-001   3.51727                 NaN
