|6.6.6
Archiving\03_Data\eqfracLP/QFM_m3.25/GRV/GRV_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1523.10        500.000       0.990958E-002   98.2741                 NaN            NaN            NaN   1.20072       0.515298                 NaN            NaN            NaN            NaN            NaN
  1521.69        500.000       0.969029E-002   98.3013                 NaN            NaN            NaN   1.18181       0.507202                 NaN            NaN            NaN            NaN            NaN
  1520.27        500.000       0.945916E-002   98.3266                 NaN            NaN            NaN   1.16496       0.498990                 NaN            NaN            NaN            NaN            NaN
  1518.86        500.000       0.676023E-002   98.3503                 NaN            NaN  0.123033       0.327015        1.19284                 NaN            NaN            NaN            NaN            NaN
  1517.45        500.000       0.974070E-003   98.3587                 NaN            NaN  0.396586        1.24376                 NaN            NaN            NaN            NaN            NaN            NaN
  1516.03        500.000       0.778955E-003   98.3848                 NaN            NaN  0.390592        1.22380                 NaN            NaN            NaN            NaN            NaN            NaN
  1514.62        500.000       0.588006E-003   98.4113                 NaN            NaN  0.383803        1.20435                 NaN            NaN            NaN            NaN            NaN            NaN
  1513.20        500.000       0.395036E-003   98.4359                 NaN            NaN  0.377437        1.18622                 NaN            NaN            NaN            NaN            NaN            NaN
  1511.79        500.000       0.203524E-003   99.0950                 NaN            NaN  0.222730       0.682064                 NaN            NaN            NaN            NaN            NaN            NaN
  1510.38        500.000                 NaN   97.8508                 NaN            NaN  0.520087        1.62915                 NaN            NaN            NaN            NaN            NaN            NaN
  1508.96        500.000       0.298917E-003   98.5082                 NaN            NaN  0.358797        1.13273                 NaN            NaN            NaN            NaN            NaN            NaN
  1507.55        500.000                 NaN   98.5304                 NaN            NaN  0.349649        1.12000                 NaN            NaN            NaN            NaN            NaN            NaN
  1506.13        500.000                 NaN   98.5520                 NaN            NaN  0.342682        1.10531                 NaN            NaN            NaN            NaN            NaN            NaN
  1504.72        500.000       0.349889E-002   98.5813                 NaN            NaN  0.314292        1.10087                 NaN            NaN            NaN            NaN            NaN            NaN
  1503.31        500.000                 NaN   98.5943                 NaN            NaN  0.326055        1.07968                 NaN            NaN            NaN            NaN            NaN            NaN
  1501.89        500.000                 NaN   98.6168                 NaN            NaN  0.324314        1.05890                 NaN            NaN            NaN            NaN            NaN            NaN
  1500.48        500.000                 NaN   98.6350                 NaN            NaN  0.315104        1.04994                 NaN            NaN            NaN            NaN            NaN            NaN
  1499.07        500.000                 NaN   98.6564                 NaN            NaN  0.304945        1.03869                 NaN            NaN            NaN            NaN            NaN            NaN
  1497.65        500.000                 NaN   98.6740                 NaN            NaN  0.298328        1.02763                 NaN            NaN            NaN            NaN            NaN            NaN
  1496.24        500.000                 NaN   98.6920                 NaN            NaN  0.291833        1.01619                 NaN            NaN            NaN            NaN            NaN            NaN
  1494.82        500.000                 NaN   98.7097                 NaN            NaN  0.285414        1.00493                 NaN            NaN            NaN            NaN            NaN            NaN
  1493.41        500.000                 NaN   98.7274                 NaN            NaN  0.278388       0.994171                 NaN            NaN            NaN            NaN            NaN            NaN
  1492.00        500.000                 NaN   98.7448                 NaN            NaN  0.270746       0.984417                 NaN            NaN            NaN            NaN            NaN            NaN
  1490.58        500.000                 NaN   98.7524                 NaN            NaN  0.202629       0.995648E-001  0.945422                 NaN            NaN            NaN            NaN            NaN
  1489.17        500.000                 NaN   98.7616                 NaN            NaN  0.154090       0.916110       0.168201                 NaN            NaN            NaN            NaN            NaN
  1487.76        500.000                 NaN   98.7743                 NaN            NaN  0.143232       0.903377       0.179138                 NaN            NaN            NaN            NaN            NaN
  1486.34        500.000                 NaN   98.7935                 NaN            NaN  0.128443       0.884929       0.193150                 NaN            NaN            NaN            NaN            NaN
  1484.93        500.000                 NaN   98.8039                 NaN            NaN  0.118602       0.202584       0.874916                 NaN            NaN            NaN            NaN            NaN
  1483.51        500.000                 NaN   98.8164                 NaN            NaN  0.110254       0.208747       0.864586                 NaN            NaN            NaN            NaN            NaN
  1482.10        500.000       0.533588E-004   99.9670                 NaN            NaN  0.281703E-001  0.478657E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1480.69        500.000       0.590979E-002   97.7001                 NaN            NaN            NaN   1.64828       0.645748                 NaN            NaN            NaN            NaN            NaN
  1479.27        500.000       0.454627E-002   98.8482                 NaN            NaN            NaN  0.805884       0.341369                 NaN            NaN            NaN            NaN            NaN
  1477.86        500.000       0.440543E-002   98.8603                 NaN            NaN            NaN  0.336987       0.798289                 NaN            NaN            NaN            NaN            NaN
  1476.45        500.000       0.428192E-002   98.8746                 NaN            NaN            NaN  0.333448       0.787703                 NaN            NaN            NaN            NaN            NaN
  1475.03        500.000       0.417367E-002   98.8861                 NaN            NaN            NaN  0.779332       0.330411                 NaN            NaN            NaN            NaN            NaN
  1473.62        500.000       0.406319E-002   98.8967                 NaN            NaN            NaN  0.771848       0.327421                 NaN            NaN            NaN            NaN            NaN
  1472.20        500.000       0.395075E-002   98.9068                 NaN            NaN            NaN  0.764925       0.324294                 NaN            NaN            NaN            NaN            NaN
  1470.79        500.000       0.382458E-002   98.9212                 NaN            NaN            NaN  0.321043       0.753898                 NaN            NaN            NaN            NaN            NaN
  1469.38        500.000       0.372406E-002   98.9313                 NaN            NaN            NaN  0.319133       0.745828                 NaN            NaN            NaN            NaN            NaN
  1467.96        500.000       0.360558E-002   98.9430                 NaN            NaN            NaN  0.314893       0.738478                 NaN            NaN            NaN            NaN            NaN
  1466.55        500.000       0.350310E-002   98.9529                 NaN            NaN            NaN  0.731226       0.312366                 NaN            NaN            NaN            NaN            NaN
  1465.14        500.000       0.339379E-002   98.9630                 NaN            NaN            NaN  0.308945       0.724647                 NaN            NaN            NaN            NaN            NaN
  1463.72        500.000       0.330100E-002   98.9734                 NaN            NaN            NaN  0.716038       0.307220                 NaN            NaN            NaN            NaN            NaN
  1462.31        500.000       0.319867E-002   98.9836                 NaN            NaN            NaN  0.709272       0.303924                 NaN            NaN            NaN            NaN            NaN
  1460.89        500.000       0.294528E-002   99.0425                 NaN            NaN            NaN  0.668019       0.286574                 NaN            NaN            NaN            NaN            NaN
  1459.48        500.000       0.315448E-002   98.9539                 NaN            NaN            NaN  0.729039       0.313924                 NaN            NaN            NaN            NaN            NaN
  1458.07        500.000       0.290179E-002   99.0128                 NaN            NaN            NaN  0.296180       0.688089                 NaN            NaN            NaN            NaN            NaN
  1456.65        500.000       0.280803E-002   99.0224                 NaN            NaN            NaN  0.681500       0.293333                 NaN            NaN            NaN            NaN            NaN
  1455.24        500.000       0.272061E-002   99.0310                 NaN            NaN            NaN  0.291047       0.675193                 NaN            NaN            NaN            NaN            NaN
  1453.82        500.000       0.262383E-002   99.0402                 NaN            NaN            NaN  0.668725       0.288486                 NaN            NaN            NaN            NaN            NaN
  1452.41        500.000       0.254194E-002   99.0491                 NaN            NaN            NaN  0.286394       0.661928                 NaN            NaN            NaN            NaN            NaN
  1451.00        500.000       0.245415E-002   99.0578                 NaN            NaN            NaN  0.283774       0.655951                 NaN            NaN            NaN            NaN            NaN
  1449.58        500.000       0.237267E-002   99.0663                 NaN            NaN            NaN  0.649333       0.281990                 NaN            NaN            NaN            NaN            NaN
  1448.17        500.000       0.228888E-002   99.0750                 NaN            NaN            NaN  0.642878       0.279807                 NaN            NaN            NaN            NaN            NaN
  1446.76        500.000       0.220759E-002   99.0829                 NaN            NaN            NaN  0.637825       0.277075                 NaN            NaN            NaN            NaN            NaN
  1445.34        500.000       0.212624E-002   99.0905                 NaN            NaN            NaN  0.274168       0.633234                 NaN            NaN            NaN            NaN            NaN
  1443.93        500.000       0.206596E-002   99.0946                 NaN            NaN            NaN  0.627535       0.275802                 NaN            NaN            NaN            NaN            NaN
  1442.51        500.000       0.195638E-002   99.1126                 NaN            NaN            NaN  0.269458       0.615998                 NaN            NaN            NaN            NaN            NaN
  1441.10        500.000       0.189872E-002   99.1139                 NaN            NaN            NaN  0.615516       0.268718                 NaN            NaN            NaN            NaN            NaN
  1439.69        500.000       0.181734E-002   99.1219                 NaN            NaN            NaN  0.609974       0.266318                 NaN            NaN            NaN            NaN            NaN
  1438.27        500.000       0.173502E-002   99.1293                 NaN            NaN            NaN  0.604454       0.264543                 NaN            NaN            NaN            NaN            NaN
  1436.86        500.000       0.167692E-002   99.1368                 NaN            NaN            NaN  0.262852       0.598677                 NaN            NaN            NaN            NaN            NaN
  1435.45        500.000       0.160106E-002   99.1443                 NaN            NaN            NaN  0.260503       0.593580                 NaN            NaN            NaN            NaN            NaN
  1434.03        500.000       0.153593E-002   99.1505                 NaN            NaN            NaN  0.589220       0.258725                 NaN            NaN            NaN            NaN            NaN
  1432.62        500.000       0.146635E-002   99.1581                 NaN            NaN            NaN  0.256419       0.584006                 NaN            NaN            NaN            NaN            NaN
  1431.20        500.000       0.140648E-002   99.1635                 NaN            NaN            NaN  0.580157       0.254910                 NaN            NaN            NaN            NaN            NaN
  1429.79        500.000       0.133311E-002   99.1688                 NaN            NaN            NaN  0.577142       0.252689                 NaN            NaN            NaN            NaN            NaN
  1428.38        500.000       0.126760E-002   99.1785                 NaN            NaN            NaN  0.569102       0.251168                 NaN            NaN            NaN            NaN            NaN
  1426.96        500.000       0.120997E-002   99.1822                 NaN            NaN            NaN  0.249435       0.567126                 NaN            NaN            NaN            NaN            NaN
  1425.55        500.000       0.113040E-002   99.1886                 NaN            NaN            NaN  0.247297       0.563002                 NaN            NaN            NaN            NaN            NaN
  1424.14        500.000       0.108401E-002   99.1969                 NaN            NaN            NaN  0.245574       0.556395                 NaN            NaN            NaN            NaN            NaN
  1422.72        500.000       0.101291E-002   99.2028                 NaN            NaN            NaN  0.243834       0.552383                 NaN            NaN            NaN            NaN            NaN
  1421.31        500.000       0.965262E-003   99.2079                 NaN            NaN            NaN  0.242929       0.548233                 NaN            NaN            NaN            NaN            NaN
  1419.89        500.000       0.196814E-003   99.8195                 NaN            NaN            NaN  0.127322       0.530058E-001            NaN            NaN            NaN            NaN            NaN
  1418.48        500.000       0.156798E-002   98.6146                 NaN            NaN            NaN  0.427538       0.956261                 NaN            NaN            NaN            NaN            NaN
  1417.07        500.000       0.798811E-003   99.2259                 NaN            NaN            NaN  0.535493       0.237816                 NaN            NaN            NaN            NaN            NaN
  1415.65        500.000       0.736837E-003   99.2308                 NaN            NaN            NaN  0.532459       0.235954                 NaN            NaN            NaN            NaN            NaN
  1414.24        500.000       0.691700E-003   99.2352                 NaN            NaN            NaN  0.234733       0.529341                 NaN            NaN            NaN            NaN            NaN
  1412.83        500.000       0.631181E-003   99.2427                 NaN            NaN            NaN  0.232835       0.523814                 NaN            NaN            NaN            NaN            NaN
  1411.41        500.000       0.579077E-003   99.2448                 NaN            NaN            NaN  0.231887       0.522720                 NaN            NaN            NaN            NaN            NaN
  1410.00        500.000       0.542426E-003   99.2530                 NaN            NaN            NaN  0.230166       0.516253                 NaN            NaN            NaN            NaN            NaN
  1408.58        500.000       0.466326E-003   99.2578                 NaN            NaN            NaN  0.513420       0.228305                 NaN            NaN            NaN            NaN            NaN
  1407.17        500.000       0.443176E-003   99.2602                 NaN            NaN            NaN  0.512446       0.226934                 NaN            NaN            NaN            NaN            NaN
  1405.76        500.000       0.394378E-003   99.2693                 NaN            NaN            NaN  0.225518       0.504797                 NaN            NaN            NaN            NaN            NaN
  1404.34        500.000       0.124053E-003   99.1462                 NaN            NaN            NaN  0.515679       0.281039                 NaN  0.569907E-001            NaN            NaN            NaN
  1402.93        500.000                 NaN   98.1289                 NaN            NaN            NaN  0.744050       0.604901                 NaN  0.522139                 NaN            NaN            NaN
  1401.51        500.000                 NaN   98.1574                 NaN            NaN            NaN  0.595873       0.732824                 NaN  0.513854                 NaN            NaN            NaN
  1400.10        500.000                 NaN   98.1878                 NaN            NaN            NaN  0.586703       0.720206                 NaN  0.505323                 NaN            NaN            NaN
  1398.69        500.000                 NaN   98.2147                 NaN            NaN            NaN  0.578609       0.709078                 NaN  0.497582                 NaN            NaN            NaN
  1397.27        500.000                 NaN   98.2415                 NaN            NaN            NaN  0.698089       0.570441                 NaN  0.489923                 NaN            NaN            NaN
  1395.86        500.000                 NaN   98.2679                 NaN            NaN            NaN  0.562551       0.687524                 NaN  0.482039                 NaN            NaN            NaN
  1394.45        500.000                 NaN   98.2930                 NaN            NaN            NaN  0.554921       0.677004                 NaN  0.475098                 NaN            NaN            NaN
  1393.03        500.000                 NaN   98.3185                 NaN            NaN            NaN  0.547398       0.666465                 NaN  0.467595                 NaN            NaN            NaN
  1391.62        500.000                 NaN   98.3380                 NaN            NaN            NaN  0.540622       0.659512                 NaN  0.461850                 NaN            NaN            NaN
  1390.20        500.000                 NaN   98.3659                 NaN            NaN            NaN  0.532616       0.647740                 NaN  0.453700                 NaN            NaN            NaN
  1388.79        500.000                 NaN   98.3822                 NaN            NaN            NaN  0.642148       0.526666                 NaN  0.448949                 NaN            NaN            NaN
  1387.38        500.000                 NaN   98.4147                 NaN            NaN            NaN  0.629738       0.516392                 NaN  0.439120                 NaN            NaN            NaN
  1385.96        500.000                 NaN   98.4318                 NaN            NaN            NaN  0.622374       0.511483                 NaN  0.434337                 NaN            NaN            NaN
  1384.55        500.000                 NaN   98.4489                 NaN            NaN            NaN  0.614966       0.506452                 NaN  0.429688                 NaN            NaN            NaN
  1383.14        500.000                 NaN   98.4757                 NaN            NaN            NaN  0.497633       0.604923                 NaN  0.421735                 NaN            NaN            NaN
  1381.72        500.000                 NaN   98.4925                 NaN            NaN            NaN  0.492068       0.598727                 NaN  0.416655                 NaN            NaN            NaN
  1380.31        500.000                 NaN   98.5114                 NaN            NaN            NaN  0.486234       0.591321                 NaN  0.411073                 NaN            NaN            NaN
  1378.89        500.000                 NaN   98.5283                 NaN            NaN            NaN  0.584970       0.480593                 NaN  0.406156                 NaN            NaN            NaN
  1377.48        500.000                 NaN   98.5484                 NaN            NaN            NaN  0.576472       0.474927                 NaN  0.400215                 NaN            NaN            NaN
  1376.07        500.000                 NaN   98.5585                 NaN            NaN            NaN  0.474695       0.569480                 NaN  0.397363                 NaN            NaN            NaN
  1374.65        500.000                 NaN   98.5883                 NaN            NaN            NaN  0.561053       0.462185                 NaN  0.388430                 NaN            NaN            NaN
  1373.24        500.000                 NaN   98.5996                 NaN            NaN            NaN  0.557526       0.457842                 NaN  0.384989                 NaN            NaN            NaN
  1371.83        500.000                 NaN   98.6171                 NaN            NaN            NaN  0.550939       0.452159                 NaN  0.379848                 NaN            NaN            NaN
  1370.41        500.000                 NaN   98.6327                 NaN            NaN            NaN  0.447640       0.544499                 NaN  0.375188                 NaN            NaN            NaN
  1369.00        500.000                 NaN   98.6473                 NaN            NaN            NaN  0.443045       0.538944                 NaN  0.370714                 NaN            NaN            NaN
  1367.58        500.000                 NaN   98.6632                 NaN            NaN            NaN  0.437701       0.533129                 NaN  0.365969                 NaN            NaN            NaN
  1366.17        500.000                 NaN   98.6779                 NaN            NaN            NaN  0.433145       0.527368                 NaN  0.361631                 NaN            NaN            NaN
  1364.76        500.000                 NaN   98.6913                 NaN            NaN            NaN  0.522073       0.429089                 NaN  0.357531                 NaN            NaN            NaN
  1363.34        500.000                 NaN   98.7075                 NaN            NaN            NaN  0.516273       0.423588                 NaN  0.352674                 NaN            NaN            NaN
  1361.93        500.000                 NaN   98.7199                 NaN            NaN            NaN  0.419251       0.512052                 NaN  0.348845                 NaN            NaN            NaN
  1360.52        500.000                 NaN   98.7334                 NaN            NaN            NaN  0.506941       0.414866                 NaN  0.344785                 NaN            NaN            NaN
  1359.10        500.000                 NaN  0.595908E-001   98.6727                 NaN            NaN  0.419303       0.502863                 NaN  0.345563                 NaN            NaN            NaN
  1357.69        500.000                 NaN   1.79561        96.5473                 NaN            NaN  0.511152       0.671683                 NaN  0.474240                 NaN            NaN            NaN
  1356.27        500.000                 NaN   3.34539        95.1007                 NaN            NaN  0.490598       0.620989                 NaN  0.442360                 NaN            NaN            NaN
  1354.86        500.000                 NaN   4.73786        93.7935                 NaN            NaN  0.473071       0.579654                 NaN  0.415952                 NaN            NaN            NaN
  1353.45        500.000                 NaN   5.98598        92.6212                 NaN            NaN  0.458593       0.541772                 NaN  0.392403                 NaN            NaN            NaN
  1352.03        500.000                 NaN   7.11141        91.5594                 NaN            NaN  0.510327       0.446280                 NaN  0.372599                 NaN            NaN            NaN
  1350.62        500.000                 NaN   8.12379        90.6036                 NaN            NaN  0.482141       0.435540                 NaN  0.354906                 NaN            NaN            NaN
  1349.20        500.000                 NaN   9.03604        89.7414                 NaN            NaN  0.456573       0.426611                 NaN  0.339374                 NaN            NaN            NaN
  1347.79        500.000                 NaN   9.85445        88.9669                 NaN            NaN  0.418878       0.434255                 NaN  0.325481                 NaN            NaN            NaN
  1346.38        500.000                 NaN   10.5905        88.2688                 NaN            NaN  0.414850       0.412392                 NaN  0.313497                 NaN            NaN            NaN
  1344.96        500.000                 NaN   11.2439        87.6512                 NaN            NaN  0.407474       0.395240                 NaN  0.302174                 NaN            NaN            NaN
  1343.55        500.000                 NaN   11.8267        87.0983                 NaN            NaN  0.402738       0.379656                 NaN  0.292638                 NaN            NaN            NaN
  1342.14        500.000                 NaN   12.3382        86.6151                 NaN            NaN  0.363914       0.399252                 NaN  0.283574                 NaN            NaN            NaN
  1340.72        500.000                 NaN   12.7925        86.1811                 NaN            NaN  0.352628       0.396882                 NaN  0.276846                 NaN            NaN            NaN
  1339.31        500.000                 NaN   13.1685        85.8311                 NaN            NaN  0.336868       0.395298                 NaN  0.268203                 NaN            NaN            NaN
  1337.89        500.000                 NaN   13.4919        85.5259                 NaN            NaN  0.326032       0.393823                 NaN  0.262376                 NaN            NaN            NaN
  1336.48        500.000                 NaN   13.7576        85.2768                 NaN            NaN  0.315236       0.393670                 NaN  0.256732                 NaN            NaN            NaN
  1335.07        500.000                 NaN   14.2765        84.7545       0.187011                 NaN  0.498881                 NaN            NaN  0.283075                 NaN            NaN            NaN
  1333.65        500.000                 NaN   14.7618        84.2758       0.207203                 NaN  0.472302                 NaN            NaN  0.282934                 NaN            NaN            NaN
  1332.24        500.000                 NaN   15.1834        83.8785       0.199347                 NaN  0.464560                 NaN            NaN  0.274181                 NaN            NaN            NaN
  1330.83        500.000                 NaN   15.5463        83.5383       0.196550                 NaN  0.452284                 NaN            NaN  0.266550                 NaN            NaN            NaN
  1329.41        500.000                 NaN   15.8367        83.2688       0.190591                 NaN  0.445161                 NaN            NaN  0.258738                 NaN            NaN            NaN
  1328.00        500.000                 NaN   16.0710        83.0500       0.186072                 NaN  0.440049                 NaN            NaN  0.252904                 NaN            NaN            NaN
  1326.58        500.000                 NaN   99.1376                 NaN  0.181101                 NaN  0.434104                 NaN            NaN  0.247213                 NaN            NaN            NaN
  1325.17        500.000                 NaN   99.1513                 NaN  0.176239                 NaN  0.431657                 NaN            NaN  0.240802                 NaN            NaN            NaN
  1323.76        500.000                 NaN   99.1633                 NaN  0.172040                 NaN  0.427698                 NaN            NaN  0.236974                 NaN            NaN            NaN
  1322.34        500.000                 NaN   99.1725                 NaN  0.167677                 NaN  0.427505                 NaN            NaN  0.232331                 NaN            NaN            NaN
  1320.93        500.000                 NaN   99.1797                 NaN  0.165796                 NaN  0.425112                 NaN            NaN  0.229415                 NaN            NaN            NaN
  1319.52        500.000                 NaN   99.1841                 NaN  0.160887                 NaN  0.428790                 NaN            NaN  0.226272                 NaN            NaN            NaN
  1318.10        500.000                 NaN   99.1886                 NaN  0.158977                 NaN  0.428546                 NaN            NaN  0.223847                 NaN            NaN            NaN
  1316.69        500.000                 NaN   99.1893                 NaN  0.151967                 NaN  0.436999                 NaN            NaN  0.221713                 NaN            NaN            NaN
  1315.27        500.000                 NaN   99.1891                 NaN  0.152212                 NaN  0.438094                 NaN            NaN  0.220552                 NaN            NaN            NaN
  1313.86        500.000                 NaN   14.7871        84.3971       0.145064                 NaN  0.451052                 NaN            NaN  0.219705                 NaN            NaN            NaN
  1312.45        500.000                 NaN   14.2414        84.9368       0.141309                 NaN  0.460805                 NaN            NaN  0.219699                 NaN            NaN            NaN
  1311.03        500.000                 NaN   13.4457        85.6921       0.576209E-001            NaN  0.303237       0.282382                 NaN  0.218966                 NaN            NaN            NaN
  1309.62        500.000                 NaN   12.4403        86.6553       0.918972E-005            NaN  0.526824       0.155287                 NaN  0.222288                 NaN            NaN            NaN
  1308.21        500.000                 NaN   11.3040        87.7690       0.678545E-004            NaN  0.142910       0.557244                 NaN  0.226742                 NaN            NaN            NaN
  1306.79        500.000                 NaN   10.0285        89.0171       0.388268E-005            NaN  0.128733       0.593124                 NaN  0.232478                 NaN            NaN            NaN
  1305.38        500.000                 NaN   8.59020        90.4240       0.147555E-004            NaN  0.111838       0.634802                 NaN  0.239126                 NaN            NaN            NaN
  1303.96        500.000                 NaN   6.96708        92.0091       0.574112E-005            NaN  0.688738       0.878382E-001            NaN  0.247272                 NaN            NaN            NaN
  1302.55        500.000                 NaN   5.13533        93.7964                 NaN            NaN  0.745595       0.658075E-001            NaN  0.256821                 NaN            NaN            NaN
  1301.14        500.000                 NaN   3.04785        95.8286       0.301904E-005            NaN  0.832647       0.218820E-001            NaN  0.268972                 NaN            NaN            NaN
  1299.72        500.000                 NaN  0.671882        98.1391       0.573745E-005            NaN  0.294704E-001  0.876601                 NaN  0.282929                 NaN            NaN            NaN
  1298.31        500.000                 NaN   99.0247                 NaN            NaN            NaN  0.548555       0.182295                 NaN  0.244465                 NaN            NaN            NaN
  1296.89        500.000                 NaN   99.1225                 NaN            NaN            NaN  0.235409       0.415372                 NaN  0.226129       0.574059E-003            NaN            NaN
  1295.48        500.000                 NaN   99.0818                 NaN            NaN            NaN  0.411344       0.242044                 NaN  0.234148       0.306701E-001            NaN            NaN
  1294.07        500.000                 NaN   99.0650                 NaN            NaN            NaN  0.987886E-001  0.551222                 NaN  0.237333       0.476414E-001            NaN            NaN
  1292.65        500.000                 NaN   99.0761                 NaN  0.591323E-001            NaN  0.576741                 NaN            NaN  0.240353       0.476667E-001            NaN            NaN
  1291.24        500.000                 NaN   99.0847                 NaN  0.968700E-001            NaN  0.529435                 NaN            NaN  0.242029       0.469165E-001            NaN            NaN
  1289.83        500.000                 NaN   99.0958                 NaN  0.101085                 NaN  0.517590                 NaN            NaN  0.239061       0.464455E-001            NaN            NaN
  1288.41        500.000                 NaN   99.1075                 NaN  0.107110                 NaN  0.503184                 NaN            NaN  0.236163       0.460241E-001            NaN            NaN
  1287.00        500.000                 NaN   99.1185                 NaN  0.106063                 NaN  0.497575                 NaN            NaN  0.232702       0.451650E-001            NaN            NaN
  1285.58        500.000                 NaN   99.1296                 NaN  0.108768                 NaN  0.487095                 NaN            NaN  0.229919       0.445691E-001            NaN            NaN
  1284.17        500.000                 NaN   99.1405                 NaN  0.107668                 NaN  0.481463                 NaN            NaN  0.226668       0.437338E-001            NaN            NaN
  1282.76        500.000                 NaN   99.1505                 NaN  0.103780                 NaN  0.479093                 NaN            NaN  0.223847       0.428000E-001            NaN            NaN
  1281.34        500.000                 NaN   99.1625                 NaN  0.105503                 NaN  0.469387                 NaN            NaN  0.220524       0.420816E-001            NaN            NaN
  1279.93        500.000                 NaN   99.1728                 NaN  0.106008                 NaN  0.462099                 NaN            NaN  0.217696       0.414021E-001            NaN            NaN
  1278.52        500.000                 NaN   99.1836                 NaN  0.105224                 NaN  0.455916                 NaN            NaN  0.214687       0.406148E-001            NaN            NaN
  1277.10        500.000                 NaN   99.1928                 NaN  0.102216                 NaN  0.453284                 NaN            NaN  0.211911       0.397579E-001            NaN            NaN
