|6.6.6
Archiving\03_Data\eqfracLP/QFM_m3.25/GRV/GRV_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1541.48        500.000                 NaN   99.2907                 NaN            NaN  0.709339                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.07        500.000                 NaN   99.2932                 NaN            NaN  0.706791                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.65        500.000                 NaN   99.1875                 NaN            NaN  0.248854       0.563639                 NaN            NaN            NaN            NaN            NaN            NaN
  1537.24        500.000                 NaN   98.0753                 NaN            NaN            NaN   1.92471                 NaN            NaN            NaN            NaN            NaN            NaN
  1535.82        500.000                 NaN   99.9853                 NaN            NaN            NaN  0.147123E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1534.41        500.000       0.200982E-003   99.8836                 NaN            NaN            NaN  0.116186                 NaN            NaN            NaN            NaN            NaN            NaN
  1533.00        500.000       0.105452E-001   98.2704                 NaN            NaN            NaN   1.71901                 NaN            NaN            NaN            NaN            NaN            NaN
  1531.58        500.000       0.676324E-002   98.9782                 NaN            NaN            NaN   1.01500                 NaN            NaN            NaN            NaN            NaN            NaN
  1530.17        500.000       0.368710E-002   98.9417                 NaN            NaN  0.163409       0.891183                 NaN            NaN            NaN            NaN            NaN            NaN
  1528.76        500.000       0.780864E-002   98.1690                 NaN            NaN            NaN   1.04687       0.776291                 NaN            NaN            NaN            NaN            NaN
  1527.34        500.000       0.659477E-002   98.4129                 NaN            NaN            NaN   1.10390       0.476610                 NaN            NaN            NaN            NaN            NaN
  1525.93        500.000       0.645041E-002   98.4400                 NaN            NaN            NaN  0.467925        1.08561                 NaN            NaN            NaN            NaN            NaN
  1524.51        500.000       0.631886E-002   98.4648                 NaN            NaN            NaN  0.459818        1.06911                 NaN            NaN            NaN            NaN            NaN
  1523.10        500.000       0.617455E-002   98.4879                 NaN            NaN            NaN   1.05518       0.450755                 NaN            NaN            NaN            NaN            NaN
  1521.69        500.000       0.603882E-002   98.5124                 NaN            NaN            NaN   1.03812       0.443410                 NaN            NaN            NaN            NaN            NaN
  1520.27        500.000       0.589577E-002   98.5352                 NaN            NaN            NaN   1.02290       0.435985                 NaN            NaN            NaN            NaN            NaN
  1518.86        500.000       0.421394E-002   98.5564                 NaN            NaN  0.106885       0.285564        1.04690                 NaN            NaN            NaN            NaN            NaN
  1517.45        500.000       0.607279E-003   98.5639                 NaN            NaN  0.344349        1.09115                 NaN            NaN            NaN            NaN            NaN            NaN
  1516.03        500.000       0.485714E-003   98.5874                 NaN            NaN  0.338910        1.07318                 NaN            NaN            NaN            NaN            NaN            NaN
  1514.62        500.000       0.366668E-003   98.6112                 NaN            NaN  0.332823        1.05564                 NaN            NaN            NaN            NaN            NaN            NaN
  1513.20        500.000       0.246371E-003   98.6334                 NaN            NaN  0.327107        1.03928                 NaN            NaN            NaN            NaN            NaN            NaN
  1511.79        500.000       0.126860E-003   99.2102                 NaN            NaN  0.192775       0.596947                 NaN            NaN            NaN            NaN            NaN            NaN
  1510.38        500.000                 NaN   98.1222                 NaN            NaN  0.450561        1.42728                 NaN            NaN            NaN            NaN            NaN            NaN
  1508.96        500.000       0.186510E-003   98.6983                 NaN            NaN  0.310384       0.991134                 NaN            NaN            NaN            NaN            NaN            NaN
  1507.55        500.000                 NaN   98.7181                 NaN            NaN  0.302286       0.979631                 NaN            NaN            NaN            NaN            NaN            NaN
  1506.13        500.000                 NaN   98.7377                 NaN            NaN  0.296082       0.966197                 NaN            NaN            NaN            NaN            NaN            NaN
  1504.72        500.000       0.218383E-002   98.7646                 NaN            NaN  0.271361       0.961852                 NaN            NaN            NaN            NaN            NaN            NaN
  1503.31        500.000                 NaN   98.7757                 NaN            NaN  0.281348       0.942904                 NaN            NaN            NaN            NaN            NaN            NaN
  1501.89        500.000                 NaN   98.7960                 NaN            NaN  0.279669       0.924365                 NaN            NaN            NaN            NaN            NaN            NaN
  1500.48        500.000                 NaN   98.8123                 NaN            NaN  0.271582       0.916131                 NaN            NaN            NaN            NaN            NaN            NaN
  1499.07        500.000                 NaN   98.8316                 NaN            NaN  0.262628       0.905798                 NaN            NaN            NaN            NaN            NaN            NaN
  1497.65        500.000                 NaN   98.8475                 NaN            NaN  0.256787       0.895741                 NaN            NaN            NaN            NaN            NaN            NaN
  1496.24        500.000                 NaN   98.8636                 NaN            NaN  0.251039       0.885331                 NaN            NaN            NaN            NaN            NaN            NaN
  1494.82        500.000                 NaN   98.8796                 NaN            NaN  0.245357       0.875080                 NaN            NaN            NaN            NaN            NaN            NaN
  1493.41        500.000                 NaN   98.8956                 NaN            NaN  0.239162       0.865269                 NaN            NaN            NaN            NaN            NaN            NaN
  1492.00        500.000                 NaN   98.9112                 NaN            NaN  0.232451       0.856351                 NaN            NaN            NaN            NaN            NaN            NaN
  1490.58        500.000                 NaN   98.9182                 NaN            NaN  0.173860       0.858951E-001  0.822049                 NaN            NaN            NaN            NaN            NaN
  1489.17        500.000                 NaN   98.9268                 NaN            NaN  0.132118       0.796110       0.145007                 NaN            NaN            NaN            NaN            NaN
  1487.76        500.000                 NaN   98.9382                 NaN            NaN  0.122743       0.784739       0.154357                 NaN            NaN            NaN            NaN            NaN
  1486.34        500.000                 NaN   98.9554                 NaN            NaN  0.109986       0.768279       0.166309                 NaN            NaN            NaN            NaN            NaN
  1484.93        500.000                 NaN   98.9650                 NaN            NaN  0.101494       0.174321       0.759213                 NaN            NaN            NaN            NaN            NaN
  1483.51        500.000                 NaN   98.9764                 NaN            NaN  0.942806E-001  0.179493       0.749847                 NaN            NaN            NaN            NaN            NaN
  1482.10        500.000       0.333219E-004   99.9718                 NaN            NaN  0.240317E-001  0.410565E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1480.69        500.000       0.370415E-002   98.0107                 NaN            NaN            NaN   1.43021       0.555371                 NaN            NaN            NaN            NaN            NaN
  1479.27        500.000       0.284566E-002   99.0064                 NaN            NaN            NaN  0.697863       0.292933                 NaN            NaN            NaN            NaN            NaN
  1477.86        500.000       0.275783E-002   99.0173                 NaN            NaN            NaN  0.289003       0.690911                 NaN            NaN            NaN            NaN            NaN
  1476.45        500.000       0.268138E-002   99.0301                 NaN            NaN            NaN  0.285789       0.681417                 NaN            NaN            NaN            NaN            NaN
  1475.03        500.000       0.261376E-002   99.0406                 NaN            NaN            NaN  0.673785       0.282968                 NaN            NaN            NaN            NaN            NaN
  1473.62        500.000       0.254505E-002   99.0503                 NaN            NaN            NaN  0.666973       0.280228                 NaN            NaN            NaN            NaN            NaN
  1472.20        500.000       0.247470E-002   99.0596                 NaN            NaN            NaN  0.660569       0.277344                 NaN            NaN            NaN            NaN            NaN
  1470.79        500.000       0.239644E-002   99.0725                 NaN            NaN            NaN  0.274380       0.650752                 NaN            NaN            NaN            NaN            NaN
  1469.38        500.000       0.233385E-002   99.0816                 NaN            NaN            NaN  0.272560       0.643482                 NaN            NaN            NaN            NaN            NaN
  1467.96        500.000       0.225985E-002   99.0923                 NaN            NaN            NaN  0.268747       0.636742                 NaN            NaN            NaN            NaN            NaN
  1466.55        500.000       0.219577E-002   99.1013                 NaN            NaN            NaN  0.630141       0.266400                 NaN            NaN            NaN            NaN            NaN
  1465.14        500.000       0.212755E-002   99.1105                 NaN            NaN            NaN  0.263286       0.624099                 NaN            NaN            NaN            NaN            NaN
  1463.72        500.000       0.207000E-002   99.1199                 NaN            NaN            NaN  0.616375       0.261626                 NaN            NaN            NaN            NaN            NaN
  1462.31        500.000       0.200586E-002   99.1292                 NaN            NaN            NaN  0.610194       0.258641                 NaN            NaN            NaN            NaN            NaN
  1460.89        500.000       0.184713E-002   99.1801                 NaN            NaN            NaN  0.574338       0.243690                 NaN            NaN            NaN            NaN            NaN
  1459.48        500.000       0.197896E-002   99.1047                 NaN            NaN            NaN  0.626559       0.266795                 NaN            NaN            NaN            NaN            NaN
  1458.07        500.000       0.182052E-002   99.1557                 NaN            NaN            NaN  0.251508       0.590977                 NaN            NaN            NaN            NaN            NaN
  1456.65        500.000       0.176202E-002   99.1644                 NaN            NaN            NaN  0.584979       0.248908                 NaN            NaN            NaN            NaN            NaN
  1455.24        500.000       0.170739E-002   99.1723                 NaN            NaN            NaN  0.246775       0.579212                 NaN            NaN            NaN            NaN            NaN
  1453.82        500.000       0.164670E-002   99.1806                 NaN            NaN            NaN  0.573342       0.244418                 NaN            NaN            NaN            NaN            NaN
  1452.41        500.000       0.159580E-002   99.1887                 NaN            NaN            NaN  0.242478       0.567190                 NaN            NaN            NaN            NaN            NaN
  1451.00        500.000       0.154090E-002   99.1967                 NaN            NaN            NaN  0.240077       0.561727                 NaN            NaN            NaN            NaN            NaN
  1449.58        500.000       0.148988E-002   99.2044                 NaN            NaN            NaN  0.555755       0.238392                 NaN            NaN            NaN            NaN            NaN
  1448.17        500.000       0.143768E-002   99.2122                 NaN            NaN            NaN  0.549935       0.236386                 NaN            NaN            NaN            NaN            NaN
  1446.76        500.000       0.138658E-002   99.2195                 NaN            NaN            NaN  0.545248       0.233886                 NaN            NaN            NaN            NaN            NaN
  1445.34        500.000       0.133576E-002   99.2264                 NaN            NaN            NaN  0.231277       0.540962                 NaN            NaN            NaN            NaN            NaN
  1443.93        500.000       0.129815E-002   99.2303                 NaN            NaN            NaN  0.535915       0.232492                 NaN            NaN            NaN            NaN            NaN
  1442.51        500.000       0.122931E-002   99.2462                 NaN            NaN            NaN  0.226942       0.525655                 NaN            NaN            NaN            NaN            NaN
  1441.10        500.000       0.119315E-002   99.2478                 NaN            NaN            NaN  0.524893       0.226129                 NaN            NaN            NaN            NaN            NaN
  1439.69        500.000       0.114231E-002   99.2550                 NaN            NaN            NaN  0.519872       0.223951                 NaN            NaN            NaN            NaN            NaN
  1438.27        500.000       0.109071E-002   99.2617                 NaN            NaN            NaN  0.514887       0.222291                 NaN            NaN            NaN            NaN            NaN
  1436.86        500.000       0.105432E-002   99.2686                 NaN            NaN            NaN  0.220701       0.509641                 NaN            NaN            NaN            NaN            NaN
  1435.45        500.000       0.100678E-002   99.2755                 NaN            NaN            NaN  0.218554       0.504974                 NaN            NaN            NaN            NaN            NaN
  1434.03        500.000       0.965939E-003   99.2812                 NaN            NaN            NaN  0.500965       0.216899                 NaN            NaN            NaN            NaN            NaN
  1432.62        500.000       0.922348E-003   99.2881                 NaN            NaN            NaN  0.214801       0.496224                 NaN            NaN            NaN            NaN            NaN
  1431.20        500.000       0.884696E-003   99.2932                 NaN            NaN            NaN  0.492598       0.213343                 NaN            NaN            NaN            NaN            NaN
  1429.79        500.000       0.838496E-003   99.2983                 NaN            NaN            NaN  0.489629       0.211272                 NaN            NaN            NaN            NaN            NaN
  1428.38        500.000       0.797546E-003   99.3067                 NaN            NaN            NaN  0.482629       0.209892                 NaN            NaN            NaN            NaN            NaN
  1426.96        500.000       0.761280E-003   99.3104                 NaN            NaN            NaN  0.208242       0.480571                 NaN            NaN            NaN            NaN            NaN
  1425.55        500.000       0.711485E-003   99.3162                 NaN            NaN            NaN  0.206307       0.476790                 NaN            NaN            NaN            NaN            NaN
  1424.14        500.000       0.682310E-003   99.3237                 NaN            NaN            NaN  0.204713       0.470915                 NaN            NaN            NaN            NaN            NaN
  1422.72        500.000       0.637587E-003   99.3290                 NaN            NaN            NaN  0.203106       0.467226                 NaN            NaN            NaN            NaN            NaN
  1421.31        500.000       0.607748E-003   99.3337                 NaN            NaN            NaN  0.202197       0.463445                 NaN            NaN            NaN            NaN            NaN
  1419.89        500.000       0.123717E-003   99.8484                 NaN            NaN            NaN  0.107440       0.440331E-001            NaN            NaN            NaN            NaN            NaN
  1418.48        500.000       0.988351E-003   98.8353                 NaN            NaN            NaN  0.355612       0.808076                 NaN            NaN            NaN            NaN            NaN
  1417.07        500.000       0.503158E-003   99.3503                 NaN            NaN            NaN  0.451777       0.197458                 NaN            NaN            NaN            NaN            NaN
  1415.65        500.000       0.464144E-003   99.3549                 NaN            NaN            NaN  0.448875       0.195733                 NaN            NaN            NaN            NaN            NaN
  1414.24        500.000       0.435726E-003   99.3590                 NaN            NaN            NaN  0.194568       0.445968                 NaN            NaN            NaN            NaN            NaN
  1412.83        500.000       0.397687E-003   99.3658                 NaN            NaN            NaN  0.192826       0.440998                 NaN            NaN            NaN            NaN            NaN
  1411.41        500.000       0.364890E-003   99.3680                 NaN            NaN            NaN  0.191864       0.439754                 NaN            NaN            NaN            NaN            NaN
  1410.00        500.000       0.341905E-003   99.3753                 NaN            NaN            NaN  0.190309       0.434066                 NaN            NaN            NaN            NaN            NaN
  1408.58        500.000       0.293980E-003   99.3797                 NaN            NaN            NaN  0.431397       0.188621                 NaN            NaN            NaN            NaN            NaN
  1407.17        500.000       0.279323E-003   99.3822                 NaN            NaN            NaN  0.430222       0.187330                 NaN            NaN            NaN            NaN            NaN
  1405.76        500.000       0.248663E-003   99.3902                 NaN            NaN            NaN  0.185995       0.423555                 NaN            NaN            NaN            NaN            NaN
  1404.34        500.000       0.782242E-004   99.2771                 NaN            NaN            NaN  0.432410       0.231606                 NaN  0.588289E-001            NaN            NaN            NaN
  1402.93        500.000                 NaN   98.3408                 NaN            NaN            NaN  0.612915       0.507079                 NaN  0.539169                 NaN            NaN            NaN
  1401.51        500.000                 NaN   98.3679                 NaN            NaN            NaN  0.498913       0.602860                 NaN  0.530340                 NaN            NaN            NaN
  1400.10        500.000                 NaN   98.3963                 NaN            NaN            NaN  0.490697       0.591749                 NaN  0.521262                 NaN            NaN            NaN
  1398.69        500.000                 NaN   98.4218                 NaN            NaN            NaN  0.483349       0.581850                 NaN  0.513006                 NaN            NaN            NaN
  1397.27        500.000                 NaN   98.4471                 NaN            NaN            NaN  0.572072       0.475955                 NaN  0.504838                 NaN            NaN            NaN
  1395.86        500.000                 NaN   98.4721                 NaN            NaN            NaN  0.468798       0.562656                 NaN  0.496444                 NaN            NaN            NaN
  1394.45        500.000                 NaN   98.4957                 NaN            NaN            NaN  0.461911       0.553358                 NaN  0.489024                 NaN            NaN            NaN
  1393.03        500.000                 NaN   98.5199                 NaN            NaN            NaN  0.455065       0.544033                 NaN  0.481032                 NaN            NaN            NaN
  1391.62        500.000                 NaN   98.5387                 NaN            NaN            NaN  0.448885       0.537608                 NaN  0.474854                 NaN            NaN            NaN
  1390.20        500.000                 NaN   98.5648                 NaN            NaN            NaN  0.441698       0.527311                 NaN  0.466204                 NaN            NaN            NaN
  1388.79        500.000                 NaN   98.5806                 NaN            NaN            NaN  0.522072       0.436247                 NaN  0.461057                 NaN            NaN            NaN
  1387.38        500.000                 NaN   98.6109                 NaN            NaN            NaN  0.511240       0.427190                 NaN  0.450693                 NaN            NaN            NaN
  1385.96        500.000                 NaN   98.6273                 NaN            NaN            NaN  0.504622       0.422577                 NaN  0.445521                 NaN            NaN            NaN
  1384.55        500.000                 NaN   98.6436                 NaN            NaN            NaN  0.497982       0.417944                 NaN  0.440488                 NaN            NaN            NaN
  1383.14        500.000                 NaN   98.6686                 NaN            NaN            NaN  0.410136       0.489197                 NaN  0.432069                 NaN            NaN            NaN
  1381.72        500.000                 NaN   98.6848                 NaN            NaN            NaN  0.405024       0.483528                 NaN  0.426604                 NaN            NaN            NaN
  1380.31        500.000                 NaN   98.7028                 NaN            NaN            NaN  0.399704       0.476902                 NaN  0.420627                 NaN            NaN            NaN
  1378.89        500.000                 NaN   98.7190                 NaN            NaN            NaN  0.471113       0.394519                 NaN  0.415335                 NaN            NaN            NaN
  1377.48        500.000                 NaN   98.7379                 NaN            NaN            NaN  0.463671       0.389398                 NaN  0.409000                 NaN            NaN            NaN
  1376.07        500.000                 NaN   98.7482                 NaN            NaN            NaN  0.388606       0.457398                 NaN  0.405827                 NaN            NaN            NaN
  1374.65        500.000                 NaN   98.7755                 NaN            NaN            NaN  0.450089       0.377990                 NaN  0.396441                 NaN            NaN            NaN
  1373.24        500.000                 NaN   98.7868                 NaN            NaN            NaN  0.446628       0.373938                 NaN  0.392676                 NaN            NaN            NaN
  1371.83        500.000                 NaN   98.8033                 NaN            NaN            NaN  0.440746       0.368803                 NaN  0.387177                 NaN            NaN            NaN
  1370.41        500.000                 NaN   98.8182                 NaN            NaN            NaN  0.364632       0.435020                 NaN  0.382172                 NaN            NaN            NaN
  1369.00        500.000                 NaN   98.8323                 NaN            NaN            NaN  0.360394       0.429978                 NaN  0.377362                 NaN            NaN            NaN
  1367.58        500.000                 NaN   98.8474                 NaN            NaN            NaN  0.355576       0.424762                 NaN  0.372279                 NaN            NaN            NaN
  1366.17        500.000                 NaN   98.8614                 NaN            NaN            NaN  0.351397       0.419603                 NaN  0.367616                 NaN            NaN            NaN
  1364.76        500.000                 NaN   98.8743                 NaN            NaN            NaN  0.414828       0.347639                 NaN  0.363198                 NaN            NaN            NaN
  1363.34        500.000                 NaN   98.8896                 NaN            NaN            NaN  0.409681       0.342702                 NaN  0.358014                 NaN            NaN            NaN
  1361.93        500.000                 NaN   98.9016                 NaN            NaN            NaN  0.338730       0.405743                 NaN  0.353879                 NaN            NaN            NaN
  1360.52        500.000                 NaN   98.9146                 NaN            NaN            NaN  0.401150       0.334732                 NaN  0.349514                 NaN            NaN            NaN
  1359.10        500.000                 NaN  0.617398E-001   98.8529                 NaN            NaN  0.337864       0.397395                 NaN  0.350057                 NaN            NaN            NaN
  1357.69        500.000                 NaN   1.85960        96.7160                 NaN            NaN  0.403524       0.540634                 NaN  0.480224                 NaN            NaN            NaN
  1356.27        500.000                 NaN   3.46107        95.2057                 NaN            NaN  0.386680       0.499026                 NaN  0.447500                 NaN            NaN            NaN
  1354.86        500.000                 NaN   4.89695        93.8453                 NaN            NaN  0.372290       0.465069                 NaN  0.420391                 NaN            NaN            NaN
  1353.45        500.000                 NaN   6.18122        92.6282                 NaN            NaN  0.360343       0.433992                 NaN  0.396233                 NaN            NaN            NaN
  1352.03        500.000                 NaN   7.33677        91.5290                 NaN            NaN  0.408174       0.350146                 NaN  0.375910                 NaN            NaN            NaN
  1350.62        500.000                 NaN   8.37394        90.5420                 NaN            NaN  0.385052       0.341228                 NaN  0.357760                 NaN            NaN            NaN
  1349.20        500.000                 NaN   9.30638        89.6539                 NaN            NaN  0.364100       0.333763                 NaN  0.341824                 NaN            NaN            NaN
  1347.79        500.000                 NaN   10.1409        88.8585                 NaN            NaN  0.327254       0.345803                 NaN  0.327570                 NaN            NaN            NaN
  1346.38        500.000                 NaN   10.8895        88.1436                 NaN            NaN  0.329879       0.321757                 NaN  0.315265                 NaN            NaN            NaN
  1344.96        500.000                 NaN   11.5521        87.5129                 NaN            NaN  0.317483       0.313837                 NaN  0.303645                 NaN            NaN            NaN
  1343.55        500.000                 NaN   12.1415        86.9503                 NaN            NaN  0.313386       0.301037                 NaN  0.293843                 NaN            NaN            NaN
  1342.14        500.000                 NaN   12.6568        86.4603                 NaN            NaN  0.288154       0.310265                 NaN  0.284530                 NaN            NaN            NaN
  1340.72        500.000                 NaN   13.1129        86.0228                 NaN            NaN  0.278778       0.307996                 NaN  0.277577                 NaN            NaN            NaN
  1339.31        500.000                 NaN   13.4880        85.6710                 NaN            NaN  0.265962       0.306382                 NaN  0.268714                 NaN            NaN            NaN
  1337.89        500.000                 NaN   13.8088        85.3666                 NaN            NaN  0.257062       0.304860                 NaN  0.262687                 NaN            NaN            NaN
  1336.48        500.000                 NaN   14.0702        85.1205                 NaN            NaN  0.248195       0.304348                 NaN  0.256852                 NaN            NaN            NaN
  1335.07        500.000                 NaN   14.5884        84.6085       0.127795                 NaN  0.392326                 NaN            NaN  0.282975                 NaN            NaN            NaN
  1333.65        500.000                 NaN   15.0697        84.1355       0.141292                 NaN  0.370963                 NaN            NaN  0.282567                 NaN            NaN            NaN
  1332.24        500.000                 NaN   15.4845        83.7419       0.135672                 NaN  0.364374                 NaN            NaN  0.273560                 NaN            NaN            NaN
  1330.83        500.000                 NaN   15.8390        83.4075       0.133509                 NaN  0.354342                 NaN            NaN  0.265691                 NaN            NaN            NaN
  1329.41        500.000                 NaN   16.1191        83.1458       0.129189                 NaN  0.348304                 NaN            NaN  0.257661                 NaN            NaN            NaN
  1328.00        500.000                 NaN   16.3419        82.9369       0.125849                 NaN  0.343778                 NaN            NaN  0.251618                 NaN            NaN            NaN
  1326.58        500.000                 NaN   99.2933                 NaN  0.122326                 NaN  0.338685                 NaN            NaN  0.245732                 NaN            NaN            NaN
  1325.17        500.000                 NaN   99.3058                 NaN  0.118761                 NaN  0.336305                 NaN            NaN  0.239142                 NaN            NaN            NaN
  1323.76        500.000                 NaN   99.3164                 NaN  0.115759                 NaN  0.332723                 NaN            NaN  0.235128                 NaN            NaN            NaN
  1322.34        500.000                 NaN   99.3250                 NaN  0.112576                 NaN  0.332068                 NaN            NaN  0.230315                 NaN            NaN            NaN
  1320.93        500.000                 NaN   99.3319                 NaN  0.111107                 NaN  0.329755                 NaN            NaN  0.227222                 NaN            NaN            NaN
  1319.52        500.000                 NaN   99.3365                 NaN  0.107595                 NaN  0.332044                 NaN            NaN  0.223910                 NaN            NaN            NaN
  1318.10        500.000                 NaN   99.3412                 NaN  0.106118                 NaN  0.331375                 NaN            NaN  0.221313                 NaN            NaN            NaN
  1316.69        500.000                 NaN   99.3425                 NaN  0.101275                 NaN  0.337239                 NaN            NaN  0.219008                 NaN            NaN            NaN
  1315.27        500.000                 NaN   99.3435                 NaN  0.101221                 NaN  0.337633                 NaN            NaN  0.217666                 NaN            NaN            NaN
  1313.86        500.000                 NaN   14.8972        84.4430       0.962940E-001            NaN  0.346871                 NaN            NaN  0.216635                 NaN            NaN            NaN
  1312.45        500.000                 NaN   14.3340        85.0023       0.936236E-001            NaN  0.353691                 NaN            NaN  0.216433                 NaN            NaN            NaN
  1311.03        500.000                 NaN   13.5213        85.7796       0.381044E-001            NaN  0.232282       0.213210                 NaN  0.215528                 NaN            NaN            NaN
  1309.62        500.000                 NaN   12.4995        86.7659       0.606593E-005            NaN  0.397277       0.118750                 NaN  0.218616                 NaN            NaN            NaN
  1308.21        500.000                 NaN   11.3474        87.9009       0.446901E-004            NaN  0.109101       0.419690                 NaN  0.222801                 NaN            NaN            NaN
  1306.79        500.000                 NaN   10.0575        89.1700       0.255195E-005            NaN  0.980927E-001  0.446129                 NaN  0.228229                 NaN            NaN            NaN
  1305.38        500.000                 NaN   8.60658        90.5970       0.967752E-005            NaN  0.850604E-001  0.476856                 NaN  0.234532                 NaN            NaN            NaN
  1303.96        500.000                 NaN   6.97319        92.2011       0.375748E-005            NaN  0.516727       0.666741E-001            NaN  0.242279                 NaN            NaN            NaN
  1302.55        500.000                 NaN   5.13427        94.0059                 NaN            NaN  0.558585       0.498432E-001            NaN  0.251371                 NaN            NaN            NaN
  1301.14        500.000                 NaN   3.04374        96.0539       0.196679E-005            NaN  0.622879       0.165379E-001            NaN  0.262973                 NaN            NaN            NaN
  1299.72        500.000                 NaN  0.670161        98.3769       0.372903E-005            NaN  0.222238E-001  0.654396                 NaN  0.276291                 NaN            NaN            NaN
  1298.31        500.000                 NaN   99.2156                 NaN            NaN            NaN  0.408903       0.137093                 NaN  0.238368                 NaN            NaN            NaN
  1296.89        500.000                 NaN   99.2934                 NaN            NaN            NaN  0.176695       0.309365                 NaN  0.220239       0.326311E-003            NaN            NaN
  1295.48        500.000                 NaN   99.2666                 NaN            NaN            NaN  0.308046       0.180105                 NaN  0.227838       0.174173E-001            NaN            NaN
  1294.07        500.000                 NaN   99.2569                 NaN            NaN            NaN  0.734546E-001  0.411956                 NaN  0.230691       0.270259E-001            NaN            NaN
  1292.65        500.000                 NaN   99.2706                 NaN  0.380524E-001            NaN  0.430966                 NaN            NaN  0.233349       0.270076E-001            NaN            NaN
  1291.24        500.000                 NaN   99.2811                 NaN  0.622112E-001            NaN  0.395494                 NaN            NaN  0.234684       0.265488E-001            NaN            NaN
  1289.83        500.000                 NaN   99.2912                 NaN  0.647903E-001            NaN  0.386278                 NaN            NaN  0.231508       0.262482E-001            NaN            NaN
  1288.41        500.000                 NaN   99.3019                 NaN  0.684999E-001            NaN  0.375209                 NaN            NaN  0.228409       0.259763E-001            NaN            NaN
  1287.00        500.000                 NaN   99.3116                 NaN  0.677019E-001            NaN  0.370479                 NaN            NaN  0.224774       0.254582E-001            NaN            NaN
  1285.58        500.000                 NaN   99.3216                 NaN  0.692800E-001            NaN  0.362275                 NaN            NaN  0.221803       0.250898E-001            NaN            NaN
  1284.17        500.000                 NaN   99.3310                 NaN  0.684502E-001            NaN  0.357540                 NaN            NaN  0.218388       0.245878E-001            NaN            NaN
  1282.76        500.000                 NaN   99.3396                 NaN  0.658568E-001            NaN  0.355103                 NaN            NaN  0.215397       0.240319E-001            NaN            NaN
  1281.34        500.000                 NaN   99.3501                 NaN  0.668177E-001            NaN  0.347542                 NaN            NaN  0.211932       0.235983E-001            NaN            NaN
  1279.93        500.000                 NaN   99.3592                 NaN  0.669978E-001            NaN  0.341668                 NaN            NaN  0.208952       0.231877E-001            NaN            NaN
  1278.52        500.000                 NaN   99.3685                 NaN  0.663843E-001            NaN  0.336595                 NaN            NaN  0.205807       0.227179E-001            NaN            NaN
