|6.6.6
Archiving\03_Data\DeqfracLP/QFM/YM20/YM20_1.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         Sp(TH)         Sp(TH)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1496.07        500.000                 NaN            NaN   99.4109                 NaN  0.589126                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.64        500.000                 NaN            NaN   99.4158                 NaN  0.584158                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.20        500.000                 NaN            NaN   99.4189                 NaN  0.581111                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.76        500.000                 NaN            NaN   99.4483                 NaN  0.551664                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.32        500.000                 NaN            NaN   99.4016                 NaN  0.598408       0.182284E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1488.88        500.000                 NaN            NaN   99.4285                 NaN  0.571530                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.45        500.000                 NaN            NaN   99.4318                 NaN  0.568162                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.01        500.000                 NaN            NaN   99.4838                 NaN  0.516166                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.57        500.000                 NaN            NaN   99.3829                 NaN  0.617090                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.13        500.000                 NaN            NaN   99.4376                 NaN  0.562433                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1481.69        500.000                 NaN            NaN   99.4430                 NaN  0.556974                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1480.26        500.000                 NaN            NaN   99.4428                 NaN  0.557208                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1478.82        500.000                 NaN            NaN   99.4446                 NaN  0.555402                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1477.38        500.000                 NaN            NaN   99.4455                 NaN  0.554519                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1475.94        500.000                 NaN            NaN   99.4489                 NaN  0.551100                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1474.51        500.000                 NaN            NaN   99.4563                 NaN  0.543677                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1473.07        500.000                 NaN            NaN   99.4532                 NaN  0.546849                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1471.63        500.000                 NaN            NaN   99.4556                 NaN  0.544433                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1470.19        500.000                 NaN            NaN   98.7042                 NaN  0.492122                 NaN  0.803722                 NaN            NaN            NaN            NaN            NaN            NaN
  1468.75        500.000                 NaN            NaN   99.0134                 NaN  0.362292       0.496568E-005  0.624316                 NaN            NaN            NaN            NaN            NaN            NaN
  1467.32        500.000                 NaN            NaN   98.8592                 NaN  0.417478                 NaN  0.723342                 NaN            NaN            NaN            NaN            NaN            NaN
  1465.88        500.000                 NaN            NaN   98.8725                 NaN  0.412282                 NaN  0.715256                 NaN            NaN            NaN            NaN            NaN            NaN
  1464.44        500.000                 NaN            NaN   98.8806                 NaN  0.408316                 NaN  0.711081                 NaN            NaN            NaN            NaN            NaN            NaN
  1463.00        500.000                 NaN            NaN   98.8897                 NaN  0.404425                 NaN  0.705840                 NaN            NaN            NaN            NaN            NaN            NaN
  1461.56        500.000                 NaN            NaN   98.8995                 NaN  0.399163                 NaN  0.701325                 NaN            NaN            NaN            NaN            NaN            NaN
  1460.13        500.000                 NaN            NaN   98.9126                 NaN  0.393679                 NaN  0.693674                 NaN            NaN            NaN            NaN            NaN            NaN
  1458.69        500.000                 NaN            NaN   98.9201                 NaN  0.390231                 NaN  0.689638                 NaN            NaN            NaN            NaN            NaN            NaN
  1457.25        500.000                 NaN            NaN   98.9308                 NaN  0.385372                 NaN  0.683852                 NaN            NaN            NaN            NaN            NaN            NaN
  1455.81        500.000                 NaN            NaN   98.9355                 NaN  0.383293                 NaN  0.681199                 NaN            NaN            NaN            NaN            NaN            NaN
  1454.37        500.000                 NaN            NaN   98.9466                 NaN  0.377349                 NaN  0.676039                 NaN            NaN            NaN            NaN            NaN            NaN
  1452.94        500.000                 NaN            NaN   98.9580                 NaN  0.374011                 NaN  0.668005                 NaN            NaN            NaN            NaN            NaN            NaN
  1451.50        500.000                 NaN            NaN   98.9640                 NaN  0.370719       0.347503E-005  0.665253                 NaN            NaN            NaN            NaN            NaN            NaN
  1450.06        500.000                 NaN            NaN   98.9728                 NaN  0.367170                 NaN  0.660074                 NaN            NaN            NaN            NaN            NaN            NaN
  1448.62        500.000                 NaN            NaN   98.9793                 NaN  0.364365                 NaN  0.656356                 NaN            NaN            NaN            NaN            NaN            NaN
  1447.19        500.000                 NaN            NaN   98.9860                 NaN  0.360324                 NaN  0.653691                 NaN            NaN            NaN            NaN            NaN            NaN
  1445.75        500.000                 NaN            NaN   98.9973                 NaN  0.356031                 NaN  0.646718                 NaN            NaN            NaN            NaN            NaN            NaN
  1444.31        500.000                 NaN            NaN   99.0028                 NaN  0.353393                 NaN  0.643811                 NaN            NaN            NaN            NaN            NaN            NaN
  1442.87        500.000                 NaN            NaN   99.0097                 NaN  0.348564                 NaN  0.639781       0.198961E-002            NaN            NaN            NaN            NaN            NaN
  1441.43        500.000                 NaN            NaN   98.9721                 NaN  0.367065E-001            NaN  0.606800       0.384439                 NaN            NaN            NaN            NaN            NaN
  1440.00        500.000                 NaN            NaN   98.9744                 NaN  0.174426E-001            NaN  0.408027       0.600169                 NaN            NaN            NaN            NaN            NaN
  1438.56        500.000                 NaN            NaN   98.9811                 NaN            NaN            NaN  0.596199       0.422690                 NaN            NaN            NaN            NaN            NaN
  1437.12        500.000                 NaN            NaN   98.9908                 NaN  0.362896E-002            NaN  0.591416       0.414128                 NaN            NaN            NaN            NaN            NaN
  1435.68        500.000                 NaN            NaN   98.9981                 NaN  0.112347E-002            NaN  0.413188       0.587608                 NaN            NaN            NaN            NaN            NaN
  1434.24        500.000                 NaN            NaN   97.3949                 NaN            NaN            NaN  0.818219        1.13044                 NaN  0.656476                 NaN            NaN            NaN
  1432.81        500.000                 NaN            NaN   97.1900                 NaN            NaN            NaN  0.838210        1.22261                 NaN  0.749223                 NaN            NaN            NaN
  1431.37        500.000                 NaN            NaN   97.2497                 NaN            NaN            NaN  0.820987        1.19610                 NaN  0.733237                 NaN            NaN            NaN
  1429.93        500.000                 NaN            NaN   97.3089                 NaN            NaN            NaN  0.803902        1.17018                 NaN  0.717044                 NaN            NaN            NaN
  1428.49        500.000                 NaN            NaN   97.3655                 NaN            NaN            NaN   1.14506       0.787691                 NaN  0.701775                 NaN            NaN            NaN
  1427.05        500.000                 NaN            NaN   97.4204                 NaN            NaN            NaN   1.12094       0.772145                 NaN  0.686534                 NaN            NaN            NaN
  1425.62        500.000                 NaN            NaN   97.4730                 NaN            NaN            NaN  0.757128        1.09766                 NaN  0.672259                 NaN            NaN            NaN
  1424.18        500.000                 NaN            NaN   97.5225                 NaN            NaN            NaN  0.742559        1.07600                 NaN  0.658901                 NaN            NaN            NaN
  1422.74        500.000                 NaN            NaN   97.5711                 NaN            NaN            NaN   1.05497       0.728355                 NaN  0.645609                 NaN            NaN            NaN
  1421.30        500.000                 NaN            NaN   97.6127                 NaN            NaN            NaN  0.716520        1.03753                 NaN  0.633266                 NaN            NaN            NaN
  1419.87        500.000                 NaN            NaN   97.6684                 NaN            NaN            NaN   1.01239       0.700366                 NaN  0.618823                 NaN            NaN            NaN
  1418.43        500.000                 NaN            NaN   97.7092                 NaN            NaN  0.800164E-002  0.689407       0.984425                 NaN  0.608977                 NaN            NaN            NaN
  1416.99        500.000                 NaN            NaN   97.7449                 NaN            NaN  0.125764       0.697139       0.816320                 NaN  0.615864                 NaN            NaN            NaN
  1415.55        500.000                 NaN            NaN   97.7844                 NaN            NaN  0.154549       0.761832       0.689892                 NaN  0.609309                 NaN            NaN            NaN
  1414.11        500.000                 NaN            NaN   97.8252                 NaN            NaN  0.155967       0.678752       0.741789                 NaN  0.598293                 NaN            NaN            NaN
  1412.68        500.000                 NaN            NaN   97.8629                 NaN            NaN  0.158021       0.721663       0.668976                 NaN  0.588425                 NaN            NaN            NaN
  1411.24        500.000                 NaN            NaN   97.9010                 NaN            NaN  0.159391       0.704011       0.657675                 NaN  0.577932                 NaN            NaN            NaN
  1409.80        500.000                 NaN            NaN   97.9348                 NaN            NaN  0.161432       0.647534       0.687091                 NaN  0.569156                 NaN            NaN            NaN
  1408.36        500.000                 NaN            NaN   97.9664                 NaN            NaN  0.163527       0.670814       0.638786                 NaN  0.560503                 NaN            NaN            NaN
  1406.92        500.000                 NaN            NaN   98.0054                 NaN            NaN  0.164714       0.651143       0.628561                 NaN  0.550159                 NaN            NaN            NaN
  1405.49        500.000                 NaN            NaN   98.0362                 NaN            NaN  0.166713       0.619952       0.635120                 NaN  0.541981                 NaN            NaN            NaN
  1404.05        500.000                 NaN            NaN   98.0690                 NaN            NaN  0.168466       0.618817       0.610344                 NaN  0.533324                 NaN            NaN            NaN
  1402.61        500.000                 NaN            NaN   98.1001                 NaN            NaN  0.170359       0.602378       0.602210                 NaN  0.524925                 NaN            NaN            NaN
  1401.17        500.000                 NaN            NaN   98.1298                 NaN            NaN  0.172056       0.594223       0.587104                 NaN  0.516817                 NaN            NaN            NaN
  1399.73        500.000                 NaN            NaN   98.1581                 NaN            NaN  0.174005       0.572051       0.586582                 NaN  0.509306                 NaN            NaN            NaN
  1398.30        500.000                 NaN            NaN   98.1650                 NaN            NaN  0.179828       0.559590       0.585903                 NaN  0.509717                 NaN            NaN            NaN
  1396.86        500.000                 NaN            NaN   98.2405                 NaN            NaN  0.172848       0.539289       0.561426                 NaN  0.485890                 NaN            NaN            NaN
  1395.42        500.000                 NaN            NaN   98.2332                 NaN            NaN  0.181386       0.529468       0.566624                 NaN  0.489330                 NaN            NaN            NaN
  1393.98        500.000                 NaN            NaN   98.2719                 NaN            NaN  0.179953       0.554447       0.515237                 NaN  0.478489                 NaN            NaN            NaN
  1392.55        500.000                 NaN            NaN   98.2894                 NaN            NaN  0.184125       0.550717       0.501614                 NaN  0.474190                 NaN            NaN            NaN
  1391.11        500.000                 NaN            NaN   98.3175                 NaN            NaN  0.184597       0.489253       0.542276                 NaN  0.466414                 NaN            NaN            NaN
  1389.67        500.000                 NaN            NaN   98.3416                 NaN            NaN  0.187125       0.475029       0.536111                 NaN  0.460184                 NaN            NaN            NaN
  1388.23        500.000                 NaN            NaN   98.3644                 NaN            NaN  0.189013       0.462448       0.530042                 NaN  0.454129                 NaN            NaN            NaN
  1386.79        500.000                 NaN            NaN   98.3854                 NaN            NaN  0.191427       0.450822       0.523857                 NaN  0.448459                 NaN            NaN            NaN
  1385.36        500.000                 NaN            NaN   98.4099                 NaN            NaN  0.192619       0.438168       0.517513                 NaN  0.441790                 NaN            NaN            NaN
  1383.92        500.000                 NaN            NaN   98.4307                 NaN            NaN  0.194648       0.511808       0.426446                 NaN  0.436435                 NaN            NaN            NaN
  1382.48        500.000                 NaN            NaN   98.4516                 NaN            NaN  0.196674       0.506007       0.415044                 NaN  0.430673                 NaN            NaN            NaN
  1381.04        500.000                 NaN            NaN   98.4696                 NaN            NaN  0.198924       0.501711       0.403893                 NaN  0.425921                 NaN            NaN            NaN
  1379.60        500.000                 NaN            NaN   98.4936                 NaN            NaN  0.200247       0.392142       0.494687                 NaN  0.419318                 NaN            NaN            NaN
  1378.17        500.000                 NaN            NaN   98.4866                 NaN            NaN  0.211887       0.377531       0.501013                 NaN  0.422944                 NaN            NaN            NaN
  1376.73        500.000                 NaN            NaN   98.5556                 NaN            NaN  0.195395       0.475875       0.372401                 NaN  0.400761                 NaN            NaN            NaN
  1375.29        500.000                 NaN            NaN   98.5502                 NaN            NaN  0.205854       0.359838       0.479981                 NaN  0.404083                 NaN            NaN            NaN
  1373.85        500.000                 NaN            NaN   98.5676                 NaN            NaN  0.208358       0.349080       0.475500                 NaN  0.399488                 NaN            NaN            NaN
  1372.41        500.000                 NaN            NaN   98.5854                 NaN            NaN  0.210029       0.470743       0.339013                 NaN  0.394784                 NaN            NaN            NaN
  1370.98        500.000                 NaN            NaN   98.6025                 NaN            NaN  0.211856       0.329084       0.466516                 NaN  0.390064                 NaN            NaN            NaN
  1369.54        500.000                 NaN            NaN   98.6174                 NaN            NaN  0.214156       0.462116       0.320270                 NaN  0.386080                 NaN            NaN            NaN
  1368.10        500.000                 NaN            NaN   98.6375                 NaN            NaN  0.215305       0.309721       0.456832                 NaN  0.380596                 NaN            NaN            NaN
  1366.66        500.000                 NaN            NaN   98.6506                 NaN            NaN  0.217473       0.453905       0.301076                 NaN  0.376934                 NaN            NaN            NaN
  1365.23        500.000                 NaN            NaN   98.6675                 NaN            NaN  0.219668       0.448647       0.291636                 NaN  0.372568                 NaN            NaN            NaN
  1363.79        500.000                 NaN            NaN   98.6843                 NaN            NaN  0.220640       0.444772       0.282421                 NaN  0.367839                 NaN            NaN            NaN
  1362.35        500.000                 NaN            NaN   98.6990                 NaN            NaN  0.222758       0.272881       0.441352                 NaN  0.363970                 NaN            NaN            NaN
  1360.91        500.000                 NaN            NaN   98.7136                 NaN            NaN  0.224294       0.437548       0.264665                 NaN  0.359899                 NaN            NaN            NaN
  1359.47        500.000                 NaN            NaN   98.7290                 NaN            NaN  0.226304       0.255240       0.433515                 NaN  0.355904                 NaN            NaN            NaN
  1358.04        500.000                 NaN            NaN   98.7409                 NaN            NaN  0.228108       0.247958       0.430424                 NaN  0.352575                 NaN            NaN            NaN
  1356.60        500.000                 NaN            NaN   98.7584                 NaN            NaN  0.228726       0.425931       0.239314                 NaN  0.347616                 NaN            NaN            NaN
  1355.16        500.000                 NaN            NaN   98.7573                 NaN            NaN  0.240166       0.225137       0.426394                 NaN  0.350954                 NaN            NaN            NaN
  1353.72        500.000                 NaN            NaN   98.8027                 NaN            NaN  0.223534       0.226372       0.413753                 NaN  0.333601                 NaN            NaN            NaN
  1352.28        500.000                 NaN            NaN   98.7975                 NaN            NaN  0.234075       0.215114       0.416319                 NaN  0.337029                 NaN            NaN            NaN
  1350.85        500.000                 NaN            NaN   98.8098                 NaN            NaN  0.235259       0.208224       0.413071                 NaN  0.333609                 NaN            NaN            NaN
  1349.41        500.000                 NaN            NaN   98.8212                 NaN            NaN  0.237275       0.200301       0.410610                 NaN  0.330599                 NaN            NaN            NaN
  1347.97        500.000                 NaN            NaN   98.8356                 NaN            NaN  0.237817       0.406186       0.193999                 NaN  0.326354                 NaN            NaN            NaN
  1346.53        500.000                 NaN            NaN   98.8469                 NaN            NaN  0.239957       0.185280       0.404381                 NaN  0.323500                 NaN            NaN            NaN
  1345.09        500.000                 NaN            NaN   98.8586                 NaN            NaN  0.240131       0.180616       0.400753                 NaN  0.319928                 NaN            NaN            NaN
  1343.66        500.000                 NaN            NaN   98.8688                 NaN            NaN  0.242180       0.397817       0.173934                 NaN  0.317275                 NaN            NaN            NaN
  1342.22        500.000                 NaN            NaN   98.8828                 NaN            NaN  0.242433       0.394703       0.166935                 NaN  0.313166                 NaN            NaN            NaN
  1340.78        500.000                 NaN            NaN   98.8927                 NaN            NaN  0.243796       0.392151       0.160889                 NaN  0.310466                 NaN            NaN            NaN
  1339.34        500.000                 NaN            NaN   98.9038                 NaN            NaN  0.244805       0.389477       0.154550                 NaN  0.307323                 NaN            NaN            NaN
  1337.91        500.000                 NaN            NaN   98.9147                 NaN            NaN  0.245636       0.386717       0.148769                 NaN  0.304226                 NaN            NaN            NaN
  1336.47        500.000                 NaN            NaN   98.9242                 NaN            NaN  0.246582       0.143293       0.384421                 NaN  0.301484                 NaN            NaN            NaN
  1335.03        500.000                 NaN            NaN   98.9349                 NaN            NaN  0.247088       0.381474       0.138123                 NaN  0.298403                 NaN            NaN            NaN
  1333.59        500.000                 NaN            NaN   98.9449                 NaN            NaN  0.247868       0.379149       0.132534                 NaN  0.295571                 NaN            NaN            NaN
  1332.15        500.000                 NaN            NaN   98.9567                 NaN            NaN  0.248169       0.375851       0.127034                 NaN  0.292262                 NaN            NaN            NaN
  1330.72        500.000                 NaN            NaN   98.9659                 NaN            NaN  0.248911       0.373527       0.122071                 NaN  0.289561                 NaN            NaN            NaN
  1329.28        500.000                 NaN            NaN   98.9756                 NaN            NaN  0.249048       0.117561       0.371070                 NaN  0.286721                 NaN            NaN            NaN
  1327.84        500.000                 NaN            NaN   98.9850                 NaN            NaN  0.249579       0.112716       0.368684                 NaN  0.283989                 NaN            NaN            NaN
  1326.40        500.000                 NaN            NaN   98.9942                 NaN            NaN  0.249650       0.108799       0.366071                 NaN  0.281247                 NaN            NaN            NaN
  1324.96        500.000                 NaN            NaN   99.0035                 NaN            NaN  0.249736       0.363680       0.104582                 NaN  0.278524                 NaN            NaN            NaN
  1323.53        500.000                 NaN            NaN   99.0125                 NaN            NaN  0.249836       0.361234       0.100542                 NaN  0.275882                 NaN            NaN            NaN
  1322.09        500.000                 NaN            NaN   99.0210                 NaN            NaN  0.249545       0.358777       0.973766E-001            NaN  0.273267                 NaN            NaN            NaN
  1320.65        500.000                 NaN            NaN   99.0299                 NaN            NaN  0.249532       0.356443       0.934197E-001            NaN  0.270718                 NaN            NaN            NaN
  1319.21        500.000                 NaN            NaN   99.0392                 NaN            NaN  0.249115       0.353804       0.899936E-001            NaN  0.267873                 NaN            NaN            NaN
  1317.77        500.000                 NaN            NaN   99.0479                 NaN            NaN  0.249172       0.351305       0.861816E-001            NaN  0.265420                 NaN            NaN            NaN
  1316.34        500.000                 NaN            NaN   99.0560                 NaN            NaN  0.249003       0.349360       0.826168E-001            NaN  0.262988                 NaN            NaN            NaN
  1314.90        500.000                 NaN            NaN   98.0675                 NaN            NaN  0.476884       0.668029       0.254504                 NaN  0.533128                 NaN            NaN            NaN
  1313.46        500.000                 NaN            NaN   99.9957                 NaN            NaN            NaN  0.404755E-003  0.388964E-002            NaN            NaN            NaN            NaN            NaN
  1312.02        500.000                 NaN            NaN   99.1428                 NaN            NaN  0.249903       0.367456                 NaN            NaN  0.239811                 NaN            NaN            NaN
  1310.59        500.000       0.159406                 NaN   98.8646                 NaN            NaN            NaN  0.308497       0.395185                 NaN  0.272307                 NaN            NaN            NaN
  1309.15        500.000       0.225450                 NaN   98.7841                 NaN            NaN            NaN  0.256770       0.444734                 NaN  0.288955                 NaN            NaN            NaN
  1307.71        500.000       0.222467                 NaN   98.8036                 NaN            NaN            NaN  0.251437       0.437786                 NaN  0.284758                 NaN            NaN            NaN
  1306.27        500.000       0.218983                 NaN   98.8233                 NaN            NaN            NaN  0.430246       0.246953                 NaN  0.280554                 NaN            NaN            NaN
  1304.83        500.000       0.215520                 NaN   98.8426                 NaN            NaN            NaN  0.422716       0.242739                 NaN  0.276422                 NaN            NaN            NaN
  1303.40        500.000       0.212337                 NaN   98.8609                 NaN            NaN            NaN  0.416223       0.238109                 NaN  0.272467                 NaN            NaN            NaN
  1301.96        500.000       0.208137                 NaN   98.8810                 NaN            NaN            NaN  0.235672       0.406876                 NaN  0.268293                 NaN            NaN            NaN
  1300.52        500.000       0.205126                 NaN   98.8993                 NaN            NaN            NaN  0.230017       0.401410                 NaN  0.264165                 NaN            NaN            NaN
  1299.08        500.000       0.202286                 NaN   98.9159                 NaN            NaN            NaN  0.225884       0.395287                 NaN  0.260603                 NaN            NaN            NaN
  1297.64        500.000       0.198646                 NaN   98.9339                 NaN            NaN            NaN  0.222306       0.388482                 NaN  0.256706                 NaN            NaN            NaN
  1296.21        500.000       0.195308                 NaN   98.9509                 NaN            NaN            NaN  0.381633       0.219110                 NaN  0.253018                 NaN            NaN            NaN
