|6.6.6
Archiving\03_Data\eqfrac/QFM_m3.5/EETA/EETA_1.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        Sp(TH)         O(HP)          an             San(TH)        ilm            q             
  1429.15        2500.00        98.1314                 NaN  0.612326       0.512310                 NaN            NaN            NaN  0.182906       0.561070                 NaN            NaN            NaN
  1427.99        2500.00        98.6395                 NaN  0.472614       0.274106                 NaN            NaN            NaN  0.195606       0.418176                 NaN            NaN            NaN
  1426.84        2500.00        98.3957                 NaN  0.565668       0.292812                 NaN            NaN            NaN  0.249390       0.496419                 NaN            NaN            NaN
  1425.68        2500.00        98.4323                 NaN  0.298079       0.551189                 NaN            NaN            NaN  0.236014       0.482404                 NaN            NaN            NaN
  1424.52        2500.00        98.4433                 NaN  0.288322       0.550611                 NaN            NaN            NaN  0.237766       0.479963                 NaN            NaN            NaN
  1423.37        2500.00        98.4622                 NaN  0.547343       0.276479                 NaN            NaN            NaN  0.239511       0.474491                 NaN            NaN            NaN
  1422.21        2500.00        98.4814                 NaN  0.267208       0.543729                 NaN            NaN            NaN  0.238714       0.468933                 NaN            NaN            NaN
  1421.05        2500.00        98.4897                 NaN  0.251820       0.551450                 NaN            NaN            NaN  0.240198       0.466866                 NaN            NaN            NaN
  1419.90        2500.00        98.5343                 NaN  0.526080       0.255081                 NaN            NaN            NaN  0.233092       0.451474                 NaN            NaN            NaN
  1418.74        2500.00        98.5372                 NaN  0.530553       0.243370                 NaN            NaN            NaN  0.237292       0.451582                 NaN            NaN            NaN
  1417.58        2500.00        98.5537                 NaN  0.527242       0.237040                 NaN            NaN            NaN  0.235693       0.446350                 NaN            NaN            NaN
  1416.43        2500.00        98.5740                 NaN  0.228103       0.522038                 NaN            NaN            NaN  0.235576       0.440329                 NaN            NaN            NaN
  1415.27        2500.00        98.3089                 NaN  0.627093       0.258697                 NaN            NaN            NaN  0.282881       0.522388                 NaN            NaN            NaN
  1414.11        2500.00        99.7613                 NaN  0.100255       0.840201E-002            NaN            NaN  0.170307E-002  0.525388E-001  0.758420E-001            NaN            NaN            NaN
  1412.96        2500.00        97.7460                 NaN  0.821353       0.372674                 NaN            NaN            NaN  0.367013       0.692980                 NaN            NaN            NaN
  1411.80        2500.00        98.6374                 NaN  0.510232       0.197467                 NaN            NaN            NaN  0.234053       0.420876                 NaN            NaN            NaN
  1410.64        2500.00        98.6558                 NaN  0.187488       0.505552                 NaN            NaN            NaN  0.235488       0.415637                 NaN            NaN            NaN
  1409.49        2500.00        99.1534                 NaN  0.316157       0.122100                 NaN            NaN            NaN  0.146374       0.261974                 NaN            NaN            NaN
  1408.33        2500.00        98.1595                 NaN  0.325374       0.654966                 NaN            NaN            NaN  0.295879       0.564240                 NaN            NaN            NaN
  1407.17        2500.00        98.7394                 NaN  0.847100E-001  0.528393                 NaN            NaN            NaN  0.254996       0.392523                 NaN            NaN            NaN
  1406.02        2500.00        98.7137                 NaN  0.162472       0.494675                 NaN            NaN            NaN  0.231658       0.397477                 NaN            NaN            NaN
  1404.86        2500.00        98.7284                 NaN  0.155673       0.491620                 NaN            NaN            NaN  0.231339       0.392976                 NaN            NaN            NaN
  1403.70        2500.00        98.7414                 NaN  0.149661       0.489095                 NaN            NaN            NaN  0.230798       0.389021                 NaN            NaN            NaN
  1402.55        2500.00        98.7562                 NaN  0.143314       0.485714                 NaN            NaN            NaN  0.230529       0.384270                 NaN            NaN            NaN
  1401.39        2500.00        98.7693                 NaN  0.482808       0.137510                 NaN            NaN            NaN  0.230040       0.380379                 NaN            NaN            NaN
  1400.23        2500.00        98.7815                 NaN  0.131535       0.481212                 NaN            NaN            NaN  0.229297       0.376426                 NaN            NaN            NaN
  1399.08        2500.00        98.7820                 NaN  0.486619       0.118797                 NaN            NaN            NaN  0.235446       0.377133                 NaN            NaN            NaN
  1397.92        2500.00        98.8179                 NaN  0.466029       0.129543                 NaN            NaN            NaN  0.222562       0.363939                 NaN            NaN            NaN
  1396.76        2500.00        98.8206                 NaN  0.473655       0.114260                 NaN            NaN            NaN  0.227332       0.364116                 NaN            NaN            NaN
  1395.61        2500.00        98.8316                 NaN  0.472375       0.108090                 NaN            NaN            NaN  0.227240       0.360676                 NaN            NaN            NaN
  1394.45        2500.00        98.8439                 NaN  0.101513       0.471066                 NaN            NaN            NaN  0.226666       0.356887                 NaN            NaN            NaN
  1393.29        2500.00        98.8465                 NaN  0.939337E-001  0.474582                 NaN            NaN            NaN  0.228586       0.356411                 NaN            NaN            NaN
  1392.14        2500.00        98.8709                 NaN  0.969758E-001  0.461147                 NaN            NaN            NaN  0.223102       0.347852                 NaN            NaN            NaN
  1390.98        2500.00        98.8804                 NaN  0.463903       0.857251E-001            NaN            NaN            NaN  0.224776       0.345183                 NaN            NaN            NaN
  1389.82        2500.00        98.8885                 NaN  0.464187       0.790273E-001            NaN            NaN            NaN  0.225219       0.343051                 NaN            NaN            NaN
  1388.67        2500.00        98.9023                 NaN  0.459677       0.773247E-001            NaN            NaN            NaN  0.222569       0.338134                 NaN            NaN            NaN
  1387.51        2500.00        98.9107                 NaN  0.459032       0.710984E-001            NaN            NaN            NaN  0.223253       0.335871                 NaN            NaN            NaN
  1386.35        2500.00        98.9213                 NaN  0.457860       0.655953E-001            NaN            NaN            NaN  0.222868       0.332373                 NaN            NaN            NaN
  1385.20        2500.00        98.9340                 NaN  0.453129       0.647265E-001            NaN            NaN            NaN  0.220024       0.328128                 NaN            NaN            NaN
  1384.04        2500.00        98.9422                 NaN  0.455292       0.567417E-001            NaN            NaN            NaN  0.220282       0.325469                 NaN            NaN            NaN
  1382.88        2500.00        98.9516                 NaN  0.454526       0.511535E-001            NaN            NaN            NaN  0.220115       0.322635                 NaN            NaN            NaN
  1381.72        2500.00        98.9612                 NaN  0.452153       0.478662E-001            NaN            NaN            NaN  0.219145       0.319663                 NaN            NaN            NaN
  1380.57        2500.00        98.9735                 NaN  0.451206       0.421807E-001            NaN            NaN            NaN  0.217817       0.315281                 NaN            NaN            NaN
  1379.41        2500.00        98.9826                 NaN  0.401765E-001  0.448185                 NaN            NaN            NaN  0.216548       0.312528                 NaN            NaN            NaN
  1378.25        2500.00        98.9908                 NaN  0.352718E-001  0.446576                 NaN            NaN            NaN  0.217177       0.310136                 NaN            NaN            NaN
  1377.10        2500.00        99.0019                 NaN  0.442830       0.351574E-001            NaN            NaN            NaN  0.213994       0.306091                 NaN            NaN            NaN
  1375.94        2500.00        99.0103                 NaN  0.444146       0.279839E-001            NaN            NaN            NaN  0.214037       0.303539                 NaN            NaN            NaN
  1374.78        2500.00        99.0178                 NaN  0.231031E-001  0.444657                 NaN            NaN            NaN  0.213373       0.301117                 NaN            NaN            NaN
  1373.63        2500.00        99.0279                 NaN  0.213150E-001  0.441318                 NaN            NaN            NaN  0.211811       0.297635                 NaN            NaN            NaN
  1372.47        2500.00        99.0369                 NaN  0.440676       0.166328E-001            NaN            NaN            NaN  0.211018       0.294785                 NaN            NaN            NaN
  1371.31        2500.00        98.9895                 NaN  0.205816       0.427925                 NaN            NaN            NaN  0.844097E-001  0.292369                 NaN            NaN            NaN
  1370.16        2500.00        99.0608                 NaN  0.436457                 NaN            NaN            NaN            NaN  0.215006       0.287703                 NaN            NaN            NaN
  1369.00        2500.00        99.0781                 NaN  0.442271                 NaN            NaN            NaN            NaN  0.199372       0.280227                 NaN            NaN            NaN
  1367.84        2500.00        99.0595                 NaN  0.421314                 NaN            NaN            NaN            NaN  0.229078       0.290065                 NaN            NaN            NaN
  1366.69        2500.00        99.0798                 NaN  0.430603                 NaN            NaN            NaN            NaN  0.208601       0.281015                 NaN            NaN            NaN
  1365.53        2500.00        99.0860                 NaN  0.428413                 NaN            NaN            NaN            NaN  0.206885       0.278729                 NaN            NaN            NaN
  1364.37        2500.00        99.0951                 NaN  0.425570                 NaN            NaN            NaN            NaN  0.203736       0.275600                 NaN            NaN            NaN
  1363.22        2500.00        99.1027                 NaN  0.421282                 NaN            NaN            NaN            NaN  0.203048       0.272973                 NaN            NaN            NaN
  1362.06        2500.00        99.1079                 NaN  0.476356                 NaN            NaN            NaN            NaN  0.161831       0.253909                 NaN            NaN            NaN
  1360.90        2500.00        99.0962                 NaN  0.222925       0.224719                 NaN            NaN            NaN  0.171831       0.284332                 NaN            NaN            NaN
  1359.75        2500.00        99.1192                 NaN  0.408789                 NaN            NaN            NaN            NaN  0.203846       0.268206                 NaN            NaN            NaN
  1358.59        2500.00        99.1361                 NaN  0.408109                 NaN            NaN            NaN            NaN  0.194773       0.260973                 NaN            NaN            NaN
  1357.43        2500.00        99.1397                 NaN  0.406134                 NaN            NaN            NaN            NaN  0.194013       0.260105                 NaN            NaN            NaN
  1356.28        2500.00        99.1454                 NaN  0.405474                 NaN            NaN            NaN            NaN  0.191153       0.257935                 NaN            NaN            NaN
  1355.12        2500.00        99.1512                 NaN  0.403873                 NaN            NaN            NaN            NaN  0.189064       0.255896                 NaN            NaN            NaN
  1353.96        2500.00        99.1582                 NaN  0.399774                 NaN            NaN            NaN            NaN  0.188545       0.253442                 NaN            NaN            NaN
  1352.81        2500.00        99.1668                 NaN  0.395701                 NaN            NaN            NaN            NaN  0.186739       0.250770                 NaN            NaN            NaN
  1351.65        2500.00        99.1719                 NaN  0.397461                 NaN            NaN            NaN            NaN  0.182416       0.248180                 NaN            NaN            NaN
  1350.49        2500.00        99.1767                 NaN  0.392599                 NaN            NaN            NaN            NaN  0.183565       0.247109                 NaN            NaN            NaN
  1349.34        2500.00        99.1855                 NaN  0.395209                 NaN            NaN            NaN            NaN  0.175992       0.243284                 NaN            NaN            NaN
  1348.18        2500.00        99.1907                 NaN  0.392335                 NaN            NaN            NaN            NaN  0.175362       0.241581                 NaN            NaN            NaN
  1347.02        2500.00        99.1968                 NaN  0.386993                 NaN            NaN            NaN            NaN  0.176501       0.239714                 NaN            NaN            NaN
  1345.87        2500.00        99.2043                 NaN  0.380543                 NaN            NaN            NaN            NaN  0.177158       0.237959                 NaN            NaN            NaN
  1344.71        2500.00        99.2070                 NaN  0.391128                 NaN            NaN            NaN            NaN  0.166970       0.234881                 NaN            NaN            NaN
  1343.55        2500.00        99.2143                 NaN  0.386163                 NaN            NaN            NaN            NaN  0.166639       0.232915                 NaN            NaN            NaN
  1342.40        2500.00        99.2203                 NaN  0.381853                 NaN            NaN            NaN            NaN  0.166740       0.231149                 NaN            NaN            NaN
  1341.24        2500.00        99.2258                 NaN  0.381174                 NaN            NaN            NaN            NaN  0.164039       0.229033                 NaN            NaN            NaN
  1340.08        2500.00        99.2328                 NaN  0.376407                 NaN            NaN            NaN            NaN  0.164043       0.226772                 NaN            NaN            NaN
  1338.93        2500.00        99.2364                 NaN  0.377460                 NaN            NaN            NaN            NaN  0.161005       0.225170                 NaN            NaN            NaN
  1337.77        2500.00        99.2422                 NaN  0.375666                 NaN            NaN            NaN            NaN  0.158980       0.223145                 NaN            NaN            NaN
  1336.61        2500.00        99.2490                 NaN  0.374737                 NaN            NaN            NaN            NaN  0.155693       0.220548                 NaN            NaN            NaN
  1335.46        2500.00        99.2545                 NaN  0.371144                 NaN            NaN            NaN            NaN  0.155469       0.218893                 NaN            NaN            NaN
  1334.30        2500.00        99.2589                 NaN  0.373034                 NaN            NaN            NaN            NaN  0.151097       0.216971                 NaN            NaN            NaN
  1333.14        2500.00        99.2651                 NaN  0.368455                 NaN            NaN            NaN            NaN  0.151415       0.215064                 NaN            NaN            NaN
  1331.98        2500.00        99.2622                 NaN  0.374933                 NaN            NaN            NaN            NaN  0.147535       0.215289                 NaN            NaN            NaN
  1330.83        2500.00        99.2818                 NaN  0.364314                 NaN            NaN            NaN            NaN  0.144596       0.209285                 NaN            NaN            NaN
  1329.67        2500.00        99.2795                 NaN  0.368172                 NaN            NaN            NaN            NaN  0.142929       0.209429                 NaN            NaN            NaN
  1328.51        2500.00        99.2871                 NaN  0.366687                 NaN            NaN            NaN            NaN  0.139666       0.206566                 NaN            NaN            NaN
  1327.36        2500.00        99.2874                 NaN  0.359915                 NaN            NaN            NaN            NaN  0.145401       0.207262                 NaN            NaN            NaN
  1326.20        2500.00        99.2929                 NaN  0.368431                 NaN            NaN            NaN            NaN  0.134279       0.204415                 NaN            NaN            NaN
  1325.04        2500.00        99.2955                 NaN  0.371952                 NaN            NaN            NaN            NaN  0.129329       0.203250                 NaN            NaN            NaN
  1323.89        2500.00        99.3049                 NaN  0.363007                 NaN            NaN            NaN            NaN  0.132197       0.199913                 NaN            NaN            NaN
  1322.73        2500.00        99.3063                 NaN  0.364933                 NaN            NaN            NaN            NaN  0.129104       0.199635                 NaN            NaN            NaN
  1321.57        2500.00        99.3135                 NaN  0.360530                 NaN            NaN            NaN            NaN  0.129002       0.197013                 NaN            NaN            NaN
  1320.42        2500.00        99.3177                 NaN  0.358820                 NaN            NaN            NaN            NaN  0.127649       0.195837                 NaN            NaN            NaN
  1319.26        2500.00        99.3183                 NaN  0.358777                 NaN            NaN            NaN            NaN  0.127406       0.195489                 NaN            NaN            NaN
  1318.10        2500.00        99.3273                 NaN  0.364575                 NaN            NaN            NaN            NaN  0.116695       0.191438                 NaN            NaN            NaN
  1316.95        2500.00        99.3303                 NaN  0.357520                 NaN            NaN            NaN            NaN  0.121081       0.191068                 NaN            NaN            NaN
  1315.79        2500.00        99.3352                 NaN  0.354370                 NaN            NaN            NaN            NaN  0.120714       0.189736                 NaN            NaN            NaN
  1314.63        2500.00        99.3382                 NaN  0.359123                 NaN            NaN            NaN            NaN  0.114948       0.187706                 NaN            NaN            NaN
  1313.48        2500.00        99.3412                 NaN  0.361198                 NaN            NaN            NaN            NaN  0.110922       0.186697                 NaN            NaN            NaN
  1312.32        2500.00        99.3455                 NaN  0.359272                 NaN            NaN            NaN            NaN  0.110139       0.185096                 NaN            NaN            NaN
  1311.16        2500.00        99.3488                 NaN  0.360373                 NaN            NaN            NaN            NaN  0.107038       0.183797                 NaN            NaN            NaN
  1310.01        2500.00        99.3540                 NaN  0.355270                 NaN            NaN            NaN            NaN  0.108527       0.182240                 NaN            NaN            NaN
  1308.85        2500.00        99.3565                 NaN  0.360535                 NaN            NaN            NaN            NaN  0.102052       0.180959                 NaN            NaN            NaN
  1307.69        2500.00        98.8788                 NaN  0.471961                 NaN            NaN            NaN            NaN  0.127971       0.239311       0.281938                 NaN            NaN
  1306.54        2500.00        89.0115                 NaN   2.77210                 NaN            NaN            NaN            NaN  0.706557        1.46125        6.04855                 NaN            NaN
  1305.38        2500.00        89.5823                 NaN   2.64399                 NaN            NaN            NaN            NaN  0.679048        1.39026        5.70439                 NaN            NaN
  1304.22        2500.00        90.0778                 NaN   2.56879                 NaN            NaN            NaN            NaN  0.627180        1.32900        5.39722                 NaN            NaN
  1303.07        2500.00        90.5501                 NaN   2.49009                 NaN            NaN            NaN            NaN  0.581245        1.27061        5.10800                 NaN            NaN
  1301.91        2500.00        90.9596                 NaN   2.41331                 NaN            NaN            NaN            NaN  0.549830        1.21982        4.85744                 NaN            NaN
  1300.75        2500.00        91.3325                 NaN   2.35255                 NaN            NaN            NaN            NaN  0.513670        1.17382        4.62745                 NaN            NaN
  1299.60        2500.00        89.0549                 NaN   2.86743                 NaN            NaN            NaN            NaN  0.617109        1.47438        5.82447       0.161717                 NaN
  1298.44        2500.00        83.2761                 NaN   4.12529                 NaN            NaN            NaN            NaN  0.937414        2.22974        8.88596       0.545498                 NaN
  1297.28        2500.00        84.3320                 NaN   3.84296                 NaN            NaN            NaN            NaN  0.937191        2.08995        8.29095       0.506968                 NaN
  1296.13        2500.00        85.4111                 NaN   3.59104                 NaN            NaN            NaN            NaN  0.898554        1.94798        7.68480       0.466493                 NaN
  1294.97        2500.00        86.4309                 NaN   3.36506                 NaN            NaN            NaN            NaN  0.848682        1.81404        7.11309       0.428252                 NaN
  1293.81        2500.00        87.3925                 NaN   3.15166                 NaN            NaN            NaN            NaN  0.795032        1.68799        6.57987       0.392900                 NaN
  1292.66        2500.00        88.1930                 NaN   2.98489                 NaN            NaN            NaN            NaN  0.744600        1.58214        6.13218       0.363139                 NaN
  1291.50        2500.00        88.9841                 NaN   2.81637                 NaN            NaN            NaN            NaN  0.689129        1.47807        5.69785       0.334462                 NaN
  1290.34        2500.00        89.5107                 NaN   2.71080                 NaN            NaN            NaN            NaN  0.656808        1.40904        5.39822       0.314413                 NaN
  1289.19        2500.00        79.6408                 NaN   4.68641                 NaN            NaN            NaN            NaN   1.64510        2.83008        10.5242       0.673408                 NaN
  1288.03        2500.00        98.6133                 NaN  0.720825                 NaN            NaN            NaN            NaN            NaN  0.868140E-001  0.579062                 NaN            NaN
  1286.87        2500.00        93.5439                 NaN   2.03493                 NaN            NaN            NaN            NaN  0.151721       0.840948        3.28410       0.144352                 NaN
  1285.72        2500.00        92.0216                 NaN   2.20615                 NaN            NaN            NaN            NaN  0.429783        1.07996        4.03709       0.225439                 NaN
  1284.56        2500.00        89.6758                 NaN   2.68526                 NaN            NaN            NaN            NaN  0.583567        1.40919        5.33355       0.312634                 NaN
  1283.40        2500.00        91.7743                 NaN   2.21859                 NaN            NaN            NaN            NaN  0.411928        1.11522        4.24902       0.230913                 NaN
  1282.25        2500.00        96.8756                 NaN   1.21298                 NaN            NaN            NaN            NaN  0.939095E-001  0.399971        1.35141       0.661035E-001            NaN
  1281.09        2500.00        93.2659                 NaN   1.96321                 NaN            NaN            NaN            NaN  0.301724       0.914032        3.37164       0.183468                 NaN
  1279.93        2500.00        93.9828                 NaN   1.84015                 NaN            NaN            NaN            NaN  0.194272       0.818134        3.00565       0.158983                 NaN
  1278.77        2500.00        95.2776                 NaN   1.37335                 NaN            NaN            NaN            NaN  0.357466E-001  0.639547        2.51219       0.161573                 NaN
  1277.62        2500.00        92.9726                 NaN   2.28319                 NaN            NaN            NaN            NaN  0.306763       0.952727        3.33836       0.146383                 NaN
  1276.46        2500.00        94.3203                 NaN   1.77838                 NaN            NaN            NaN            NaN  0.181720       0.772369        2.80311       0.144143                 NaN
  1275.30        2500.00        94.4969                 NaN   1.90073                 NaN            NaN            NaN            NaN  0.555850E-001  0.739543        2.67512       0.132158                 NaN
  1274.15        2500.00        94.5896                 NaN   1.83996                 NaN            NaN            NaN            NaN  0.458011E-001  0.732942        2.66074       0.130948                 NaN
  1272.99        2500.00        94.5174                 NaN  0.565581        1.18538                 NaN            NaN            NaN  0.103927       0.766349        2.71329       0.148045                 NaN
  1271.83        2500.00        89.9019                 NaN   3.09354                 NaN            NaN            NaN            NaN  0.417268        1.36115        4.95845       0.267719                 NaN
  1270.68        2500.00        99.9445                 NaN  0.492768E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.623902E-002            NaN
  1269.52        2500.00        87.2342                 NaN   1.97725        2.53244                 NaN            NaN            NaN            NaN   1.71065        6.28166       0.263798                 NaN
  1268.36        2500.00        99.3606                 NaN  0.289421                 NaN            NaN            NaN            NaN            NaN            NaN  0.312401       0.375902E-001            NaN
  1267.21        2500.00        97.4269                 NaN            NaN            NaN            NaN            NaN            NaN  0.284542       0.531900        1.68806       0.686231E-001            NaN
  1266.05        2500.00        98.7327                 NaN  0.154245       0.741954                 NaN            NaN            NaN            NaN  0.985368E-001  0.267000       0.560019E-002            NaN
  1264.89        2500.00        95.3982                 NaN  0.485698                 NaN            NaN            NaN            NaN  0.794741       0.721611        2.48953       0.110251                 NaN
  1263.74        2500.00        97.9186                 NaN  0.885150                 NaN            NaN            NaN            NaN            NaN  0.303783       0.813976       0.784624E-001            NaN
  1262.58        2500.00        97.1558                 NaN   1.03370                 NaN            NaN            NaN            NaN            NaN  0.337252        1.42979       0.434035E-001            NaN
  1261.42        2500.00        96.3819                 NaN   1.23226                 NaN            NaN            NaN            NaN            NaN  0.468758        1.82136       0.957401E-001            NaN
  1260.27        2500.00        96.6692                 NaN   1.11237                 NaN            NaN            NaN            NaN            NaN  0.432803        1.69832       0.872955E-001            NaN
  1259.11        2500.00        91.8834                 NaN   2.05885                 NaN            NaN            NaN            NaN            NaN   1.06481        4.69786       0.295077                 NaN
  1257.95        2500.00        98.8212                 NaN  0.511173                 NaN            NaN            NaN            NaN            NaN  0.165230       0.493070       0.928521E-002            NaN
  1256.80        2500.00        97.3080                 NaN  0.226460        1.02000                 NaN            NaN            NaN            NaN  0.348150        1.09735                 NaN            NaN
  1255.64        2500.00        97.7434                 NaN   1.00380                 NaN            NaN            NaN            NaN            NaN  0.294305       0.938462       0.199898E-001            NaN
  1254.48        2500.00        94.1783                 NaN   1.82654                 NaN            NaN            NaN            NaN            NaN  0.763357        3.04280       0.188962                 NaN
  1253.33        2500.00        98.3729                 NaN  0.497931                 NaN            NaN            NaN            NaN            NaN  0.208044       0.895350       0.257451E-001            NaN
  1252.17        2500.00        99.3834                 NaN  0.189067                 NaN            NaN            NaN            NaN            NaN  0.621302E-001  0.345441       0.199321E-001            NaN
  1251.01        2500.00        97.9540                 NaN   1.14814                 NaN            NaN            NaN            NaN            NaN  0.295352       0.601921       0.606289E-003            NaN
  1249.86        2500.00        97.1914                 NaN  0.950953                 NaN            NaN            NaN            NaN            NaN  0.374088        1.42640       0.571764E-001            NaN
  1248.70        2500.00        92.0618                 NaN   1.43841                 NaN            NaN            NaN            NaN  0.708669       0.926435        4.61494       0.249750                 NaN
  1247.54        2500.00        99.9442                 NaN  0.317797E-001            NaN            NaN            NaN            NaN            NaN  0.238989E-001            NaN  0.118789E-003            NaN
  1246.39        2500.00        99.9349                 NaN  0.357331E-001            NaN            NaN            NaN            NaN            NaN  0.293925E-001            NaN            NaN            NaN
  1245.23        2500.00        99.5513                 NaN  0.238048                 NaN            NaN            NaN            NaN            NaN  0.130796       0.798698E-001            NaN            NaN
  1244.07        2500.00        96.4020                 NaN   1.25772                 NaN            NaN            NaN            NaN            NaN  0.462225        1.80886       0.692491E-001            NaN
  1242.92        2500.00        97.7759                 NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.407836        1.63069       0.185624                 NaN
  1241.76        2500.00        97.1870                 NaN   1.07390                 NaN            NaN            NaN            NaN            NaN  0.199271        1.53985                 NaN            NaN
  1240.60        2500.00        98.1542                 NaN   1.33685                 NaN            NaN            NaN            NaN            NaN  0.339957       0.166749       0.223241E-002            NaN
  1239.45        2500.00        98.4100                 NaN  0.380614                 NaN            NaN            NaN            NaN            NaN  0.107985        1.10038       0.100090E-002            NaN
  1238.29        2500.00        98.3542                 NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.116960        1.45272       0.761622E-001            NaN
  1237.13        2500.00        96.3446                 NaN  0.444824       0.106496                 NaN            NaN            NaN            NaN  0.767763        2.10856       0.227784                 NaN
  1235.98        2500.00        98.0901                 NaN   1.30225                 NaN            NaN            NaN            NaN            NaN  0.103972E-001  0.597212                 NaN            NaN
  1234.82        2500.00        97.4187                 NaN  0.957131                 NaN            NaN            NaN            NaN            NaN  0.371662        1.25251                 NaN            NaN
  1233.66        2500.00        99.2169                 NaN  0.231251                 NaN            NaN            NaN            NaN            NaN  0.139538       0.299015                 NaN  0.113285     
  1232.51        2500.00        97.7535                 NaN  0.894095                 NaN            NaN            NaN            NaN            NaN  0.193427        1.15898                 NaN            NaN
  1231.35        2500.00        83.5366                 NaN  0.319279E-001   1.48831                 NaN            NaN            NaN            NaN   1.41781        7.16301       0.239633        6.12272     
  1230.19        2500.00        86.4583                 NaN   1.48964        1.09801                 NaN            NaN            NaN            NaN   1.02662        6.23069       0.133601        3.56317     
  1229.03        2500.00                 NaN            NaN   2.64052        13.6443       0.182262E-005            NaN            NaN            NaN   8.48204        43.2181       0.971172        31.0439     
