|6.6.6
Archiving\03_Data\eqfrac/QFM_m3.5/EETA/EETA_3.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        Sp(TH)         O(HP)          an             San(TH)        ilm            q             
  1395.61        2500.00        98.9768                 NaN  0.392857       0.885531E-001            NaN            NaN            NaN  0.170004       0.371769                 NaN            NaN            NaN
  1394.45        2500.00        98.9886                 NaN  0.830738E-001  0.391347                 NaN            NaN            NaN  0.169318       0.367626                 NaN            NaN            NaN
  1393.29        2500.00        98.9922                 NaN  0.767811E-001  0.393795                 NaN            NaN            NaN  0.170362       0.366898                 NaN            NaN            NaN
  1392.14        2500.00        99.0147                 NaN  0.791919E-001  0.382313                 NaN            NaN            NaN  0.165982       0.357848                 NaN            NaN            NaN
  1390.98        2500.00        99.0241                 NaN  0.384147       0.699272E-001            NaN            NaN            NaN  0.166996       0.354868                 NaN            NaN            NaN
  1389.82        2500.00        99.0321                 NaN  0.384026       0.643981E-001            NaN            NaN            NaN  0.167037       0.352443                 NaN            NaN            NaN
  1388.67        2500.00        99.0452                 NaN  0.379872       0.629390E-001            NaN            NaN            NaN  0.164803       0.347157                 NaN            NaN            NaN
  1387.51        2500.00        99.0536                 NaN  0.378931       0.578087E-001            NaN            NaN            NaN  0.165014       0.344601                 NaN            NaN            NaN
  1386.35        2500.00        99.0640                 NaN  0.377564       0.532766E-001            NaN            NaN            NaN  0.164407       0.340780                 NaN            NaN            NaN
  1385.20        2500.00        99.0760                 NaN  0.373211       0.525096E-001            NaN            NaN            NaN  0.162062       0.336196                 NaN            NaN            NaN
  1384.04        2500.00        99.0842                 NaN  0.374588       0.459826E-001            NaN            NaN            NaN  0.161959       0.333242                 NaN            NaN            NaN
  1382.88        2500.00        99.0934                 NaN  0.373545       0.414083E-001            NaN            NaN            NaN  0.161564       0.330112                 NaN            NaN            NaN
  1381.72        2500.00        99.1027                 NaN  0.371155       0.387027E-001            NaN            NaN            NaN  0.160572       0.326842                 NaN            NaN            NaN
  1380.57        2500.00        99.1144                 NaN  0.370062       0.340748E-001            NaN            NaN            NaN  0.159322       0.322134                 NaN            NaN            NaN
  1379.41        2500.00        99.1232                 NaN  0.324181E-001  0.367138                 NaN            NaN            NaN  0.158129       0.319096                 NaN            NaN            NaN
  1378.25        2500.00        99.1314                 NaN  0.284286E-001  0.365420                 NaN            NaN            NaN  0.158302       0.316428                 NaN            NaN            NaN
  1377.10        2500.00        99.1420                 NaN  0.361939       0.283046E-001            NaN            NaN            NaN  0.155724       0.312078                 NaN            NaN            NaN
  1375.94        2500.00        99.1501                 NaN  0.362604       0.225050E-001            NaN            NaN            NaN  0.155498       0.309254                 NaN            NaN            NaN
  1374.78        2500.00        99.1576                 NaN  0.185581E-001  0.362572                 NaN            NaN            NaN  0.154732       0.306565                 NaN            NaN            NaN
  1373.63        2500.00        99.1672                 NaN  0.171054E-001  0.359486                 NaN            NaN            NaN  0.153362       0.302799                 NaN            NaN            NaN
  1372.47        2500.00        99.1759                 NaN  0.358570       0.133328E-001            NaN            NaN            NaN  0.152509       0.299681                 NaN            NaN            NaN
  1371.31        2500.00        99.1322                 NaN  0.167276       0.342622                 NaN            NaN            NaN  0.609077E-001  0.297041                 NaN            NaN            NaN
  1370.16        2500.00        99.1985                 NaN  0.354540                 NaN            NaN            NaN            NaN  0.154887       0.292070                 NaN            NaN            NaN
  1369.00        2500.00        99.2135                 NaN  0.358911                 NaN            NaN            NaN            NaN  0.143358       0.284274                 NaN            NaN            NaN
  1367.84        2500.00        99.2000                 NaN  0.341504                 NaN            NaN            NaN            NaN  0.164450       0.294041                 NaN            NaN            NaN
  1366.69        2500.00        99.2173                 NaN  0.348542                 NaN            NaN            NaN            NaN  0.149518       0.284646                 NaN            NaN            NaN
  1365.53        2500.00        99.2235                 NaN  0.346359                 NaN            NaN            NaN            NaN  0.148001       0.282120                 NaN            NaN            NaN
  1364.37        2500.00        99.2321                 NaN  0.343646                 NaN            NaN            NaN            NaN  0.145538       0.278744                 NaN            NaN            NaN
  1363.22        2500.00        99.2395                 NaN  0.339871                 NaN            NaN            NaN            NaN  0.144764       0.275879                 NaN            NaN            NaN
  1362.06        2500.00        99.2444                 NaN  0.383958                 NaN            NaN            NaN            NaN  0.115230       0.256431                 NaN            NaN            NaN
  1360.90        2500.00        99.2333                 NaN  0.176816       0.180791                 NaN            NaN            NaN  0.122153       0.286939                 NaN            NaN            NaN
  1359.75        2500.00        99.2564                 NaN  0.328648                 NaN            NaN            NaN            NaN  0.144509       0.270458                 NaN            NaN            NaN
  1358.59        2500.00        99.2712                 NaN  0.327870                 NaN            NaN            NaN            NaN  0.137950       0.262960                 NaN            NaN            NaN
  1357.43        2500.00        99.2750                 NaN  0.325877                 NaN            NaN            NaN            NaN  0.137193       0.261888                 NaN            NaN            NaN
  1356.28        2500.00        99.2806                 NaN  0.324924                 NaN            NaN            NaN            NaN  0.134953       0.259505                 NaN            NaN            NaN
  1355.12        2500.00        99.2862                 NaN  0.323320                 NaN            NaN            NaN            NaN  0.133260       0.257257                 NaN            NaN            NaN
  1353.96        2500.00        99.2931                 NaN  0.319666                 NaN            NaN            NaN            NaN  0.132680       0.254595                 NaN            NaN            NaN
  1352.81        2500.00        99.3010                 NaN  0.316092                 NaN            NaN            NaN            NaN  0.131183       0.251716                 NaN            NaN            NaN
  1351.65        2500.00        99.3061                 NaN  0.317058                 NaN            NaN            NaN            NaN  0.127951       0.248926                 NaN            NaN            NaN
  1350.49        2500.00        99.3110                 NaN  0.312816                 NaN            NaN            NaN            NaN  0.128543       0.247661                 NaN            NaN            NaN
  1349.34        2500.00        99.3188                 NaN  0.314506                 NaN            NaN            NaN            NaN  0.123033       0.243639                 NaN            NaN            NaN
  1348.18        2500.00        99.3240                 NaN  0.311856                 NaN            NaN            NaN            NaN  0.122433       0.241748                 NaN            NaN            NaN
  1347.02        2500.00        99.3300                 NaN  0.307337                 NaN            NaN            NaN            NaN  0.122998       0.239695                 NaN            NaN            NaN
  1345.87        2500.00        99.3370                 NaN  0.301988                 NaN            NaN            NaN            NaN  0.123226       0.237755                 NaN            NaN            NaN
  1344.71        2500.00        99.3398                 NaN  0.309714                 NaN            NaN            NaN            NaN  0.115985       0.234500                 NaN            NaN            NaN
  1343.55        2500.00        99.3466                 NaN  0.305490                 NaN            NaN            NaN            NaN  0.115570       0.232357                 NaN            NaN            NaN
  1342.40        2500.00        99.3523                 NaN  0.301821                 NaN            NaN            NaN            NaN  0.115453       0.230417                 NaN            NaN            NaN
  1341.24        2500.00        99.3576                 NaN  0.300857                 NaN            NaN            NaN            NaN  0.113411       0.228130                 NaN            NaN            NaN
  1340.08        2500.00        99.3642                 NaN  0.296888                 NaN            NaN            NaN            NaN  0.113221       0.225703                 NaN            NaN            NaN
  1338.93        2500.00        99.3678                 NaN  0.297302                 NaN            NaN            NaN            NaN  0.110972       0.223935                 NaN            NaN            NaN
  1337.77        2500.00        99.3733                 NaN  0.295539                 NaN            NaN            NaN            NaN  0.109387       0.221748                 NaN            NaN            NaN
  1336.61        2500.00        99.3796                 NaN  0.294473                 NaN            NaN            NaN            NaN  0.106957       0.218997                 NaN            NaN            NaN
  1335.46        2500.00        99.3848                 NaN  0.291397                 NaN            NaN            NaN            NaN  0.106646       0.217186                 NaN            NaN            NaN
  1334.30        2500.00        99.3890                 NaN  0.292427                 NaN            NaN            NaN            NaN  0.103492       0.215111                 NaN            NaN            NaN
  1333.14        2500.00        99.3948                 NaN  0.288604                 NaN            NaN            NaN            NaN  0.103541       0.213055                 NaN            NaN            NaN
  1331.98        2500.00        99.3929                 NaN  0.293286                 NaN            NaN            NaN            NaN  0.100737       0.213114                 NaN            NaN            NaN
  1330.83        2500.00        99.4098                 NaN  0.284604                 NaN            NaN            NaN            NaN  0.985880E-001  0.207007                 NaN            NaN            NaN
  1329.67        2500.00        99.4084                 NaN  0.287313                 NaN            NaN            NaN            NaN  0.972851E-001  0.206992                 NaN            NaN            NaN
  1328.51        2500.00        99.4152                 NaN  0.285924                 NaN            NaN            NaN            NaN  0.949125E-001  0.204005                 NaN            NaN            NaN
  1327.36        2500.00        99.4165                 NaN  0.280303                 NaN            NaN            NaN            NaN  0.986553E-001  0.204534                 NaN            NaN            NaN
  1326.20        2500.00        99.4210                 NaN  0.286398                 NaN            NaN            NaN            NaN  0.910026E-001  0.201568                 NaN            NaN            NaN
  1325.04        2500.00        99.4235                 NaN  0.288759                 NaN            NaN            NaN            NaN  0.875012E-001  0.200265                 NaN            NaN            NaN
  1323.89        2500.00        99.4322                 NaN  0.281654                 NaN            NaN            NaN            NaN  0.893115E-001  0.196825                 NaN            NaN            NaN
  1322.73        2500.00        99.4338                 NaN  0.282714                 NaN            NaN            NaN            NaN  0.870932E-001  0.196400                 NaN            NaN            NaN
  1321.57        2500.00        99.4403                 NaN  0.279143                 NaN            NaN            NaN            NaN  0.868861E-001  0.193671                 NaN            NaN            NaN
  1320.42        2500.00        99.4443                 NaN  0.277496                 NaN            NaN            NaN            NaN  0.858602E-001  0.192367                 NaN            NaN            NaN
  1319.26        2500.00        99.4455                 NaN  0.277047                 NaN            NaN            NaN            NaN  0.855545E-001  0.191878                 NaN            NaN            NaN
  1318.10        2500.00        99.4528                 NaN  0.281213                 NaN            NaN            NaN            NaN  0.782490E-001  0.187756                 NaN            NaN            NaN
  1316.95        2500.00        99.4561                 NaN  0.275539                 NaN            NaN            NaN            NaN  0.810700E-001  0.187251                 NaN            NaN            NaN
  1315.79        2500.00        99.4607                 NaN  0.272793                 NaN            NaN            NaN            NaN  0.807076E-001  0.185802                 NaN            NaN            NaN
  1314.63        2500.00        99.4635                 NaN  0.276103                 NaN            NaN            NaN            NaN  0.767455E-001  0.183674                 NaN            NaN            NaN
  1313.48        2500.00        99.4662                 NaN  0.277267                 NaN            NaN            NaN            NaN  0.739461E-001  0.182548                 NaN            NaN            NaN
  1312.32        2500.00        99.4703                 NaN  0.275523                 NaN            NaN            NaN            NaN  0.733198E-001  0.180845                 NaN            NaN            NaN
  1311.16        2500.00        99.4734                 NaN  0.276027                 NaN            NaN            NaN            NaN  0.711496E-001  0.179439                 NaN            NaN            NaN
  1310.01        2500.00        99.4782                 NaN  0.271933                 NaN            NaN            NaN            NaN  0.720355E-001  0.177784                 NaN            NaN            NaN
  1308.85        2500.00        99.4805                 NaN  0.275486                 NaN            NaN            NaN            NaN  0.676435E-001  0.176401                 NaN            NaN            NaN
  1307.69        2500.00        99.0266                 NaN  0.360233                 NaN            NaN            NaN            NaN  0.847268E-001  0.233184       0.295258                 NaN            NaN
  1306.54        2500.00        89.6000                 NaN   2.12468                 NaN            NaN            NaN            NaN  0.469053        1.43267        6.37364                 NaN            NaN
  1305.38        2500.00        90.1454                 NaN   2.02565                 NaN            NaN            NaN            NaN  0.449580        1.36402        6.01533                 NaN            NaN
  1304.22        2500.00        90.6191                 NaN   1.96618                 NaN            NaN            NaN            NaN  0.414220        1.30486        5.69562                 NaN            NaN
  1303.07        2500.00        91.0699                 NaN   1.90443                 NaN            NaN            NaN            NaN  0.383035        1.24840        5.39425                 NaN            NaN
  1301.91        2500.00        91.4611                 NaN   1.84464                 NaN            NaN            NaN            NaN  0.361580        1.19932        5.13333                 NaN            NaN
  1300.75        2500.00        91.8173                 NaN   1.79693                 NaN            NaN            NaN            NaN  0.337148        1.15489        4.89373                 NaN            NaN
  1299.60        2500.00        89.6789                 NaN   2.19454                 NaN            NaN            NaN            NaN  0.404776        1.45408        6.17456       0.931789E-001            NaN
  1298.44        2500.00        84.2241                 NaN   3.17270                 NaN            NaN            NaN            NaN  0.615388        2.20892        9.46315       0.315716                 NaN
  1297.28        2500.00        85.2466                 NaN   2.95297                 NaN            NaN            NaN            NaN  0.612860        2.06925        8.82512       0.293243                 NaN
  1296.13        2500.00        86.2883                 NaN   2.75521                 NaN            NaN            NaN            NaN  0.585401        1.92719        8.17431       0.269619                 NaN
  1294.97        2500.00        87.2714                 NaN   2.57724                 NaN            NaN            NaN            NaN  0.550895        1.79308        7.56010       0.247292                 NaN
  1293.81        2500.00        88.1961                 NaN   2.40912                 NaN            NaN            NaN            NaN  0.514342        1.66680        6.98696       0.226646                 NaN
  1292.66        2500.00        88.9669                 NaN   2.27752                 NaN            NaN            NaN            NaN  0.480078        1.56068        6.50555       0.209260                 NaN
  1291.50        2500.00        89.7254                 NaN   2.14438                 NaN            NaN            NaN            NaN  0.442902        1.45635        6.03847       0.192510                 NaN
  1290.34        2500.00        90.2367                 NaN   2.05955                 NaN            NaN            NaN            NaN  0.420734        1.38685        5.71544       0.180775                 NaN
  1289.19        2500.00        80.9645                 NaN   3.58223                 NaN            NaN            NaN            NaN   1.05426        2.80108        11.2086       0.389341                 NaN
  1288.03        2500.00        98.7663                 NaN  0.541762                 NaN            NaN            NaN            NaN            NaN  0.846173E-001  0.607340                 NaN            NaN
  1286.87        2500.00        94.0132                 NaN   1.53042                 NaN            NaN            NaN            NaN  0.962399E-001  0.822248        3.45549       0.824455E-001            NaN
  1285.72        2500.00        92.6333                 NaN   1.65869                 NaN            NaN            NaN            NaN  0.272430        1.05647        4.25033       0.128820                 NaN
  1284.56        2500.00        90.4372                 NaN   2.01580                 NaN            NaN            NaN            NaN  0.369563        1.37904        5.61971       0.178707                 NaN
  1283.40        2500.00        92.3916                 NaN   1.66665                 NaN            NaN            NaN            NaN  0.258892        1.08823        4.46300       0.131614                 NaN
  1282.25        2500.00        97.1984                 NaN  0.903004                 NaN            NaN            NaN            NaN  0.589370E-001  0.388611        1.41356       0.375142E-001            NaN
  1281.09        2500.00        93.8221                 NaN   1.46318                 NaN            NaN            NaN            NaN  0.189346       0.889242        3.53185       0.104255                 NaN
  1279.93        2500.00        94.4859                 NaN   1.36428                 NaN            NaN            NaN            NaN  0.121643       0.794535        3.14347       0.901801E-001            NaN
  1278.77        2500.00        95.6268                 NaN   1.01734                 NaN            NaN            NaN            NaN  0.222751E-001  0.619822        2.62233       0.914594E-001            NaN
  1277.62        2500.00        93.6232                 NaN   1.68827                 NaN            NaN            NaN            NaN  0.191553       0.924470        3.48959       0.829609E-001            NaN
  1276.46        2500.00        94.8245                 NaN   1.31233                 NaN            NaN            NaN            NaN  0.113033       0.747180        2.92148       0.814413E-001            NaN
  1275.30        2500.00        94.9954                 NaN   1.39671                 NaN            NaN            NaN            NaN  0.344968E-001  0.714394        2.78444       0.745612E-001            NaN
  1274.15        2500.00        95.0775                 NaN   1.34748                 NaN            NaN            NaN            NaN  0.283699E-001  0.706973        2.76596       0.737684E-001            NaN
  1272.99        2500.00        95.0175                 NaN  0.411224       0.868146                 NaN            NaN            NaN  0.641699E-001  0.738166        2.81754       0.832826E-001            NaN
  1271.83        2500.00        90.8422                 NaN   2.27866                 NaN            NaN            NaN            NaN  0.257618        1.31320        5.15745       0.150845                 NaN
  1270.68        2500.00        99.9609                 NaN  0.356077E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.347899E-002            NaN
  1269.52        2500.00        88.4038                 NaN   1.42603        1.85096                 NaN            NaN            NaN            NaN   1.64765        6.52320       0.148384                 NaN
  1268.36        2500.00        99.4507                 NaN  0.207899                 NaN            NaN            NaN            NaN            NaN            NaN  0.320551       0.208756E-001            NaN
  1267.21        2500.00        97.5503                 NaN            NaN            NaN            NaN            NaN            NaN  0.173487       0.505949        1.73217       0.381194E-001            NaN
  1266.05        2500.00        98.9811                 NaN  0.109849       0.538125                 NaN            NaN            NaN            NaN  0.937173E-001  0.274096       0.311040E-002            NaN
  1264.89        2500.00        95.8642                 NaN  0.348714                 NaN            NaN            NaN            NaN  0.483855       0.686218        2.55579       0.612250E-001            NaN
  1263.74        2500.00        98.1974                 NaN  0.638474                 NaN            NaN            NaN            NaN            NaN  0.287923       0.832811       0.434264E-001            NaN
  1262.58        2500.00        97.4510                 NaN  0.744070                 NaN            NaN            NaN            NaN            NaN  0.319361        1.46154       0.240008E-001            NaN
  1261.42        2500.00        96.7542                 NaN  0.888389                 NaN            NaN            NaN            NaN            NaN  0.443638        1.86085       0.529104E-001            NaN
  1260.27        2500.00        97.0104                 NaN  0.798845                 NaN            NaN            NaN            NaN            NaN  0.408947        1.73362       0.481646E-001            NaN
  1259.11        2500.00        92.5564                 NaN   1.47118                 NaN            NaN            NaN            NaN            NaN   1.00771        4.80168       0.163062                 NaN
  1257.95        2500.00        98.9715                 NaN  0.367438                 NaN            NaN            NaN            NaN            NaN  0.155366       0.500599       0.509807E-002            NaN
  1256.80        2500.00        97.6763                 NaN  0.159098       0.721859                 NaN            NaN            NaN            NaN  0.327490        1.11530                 NaN            NaN
  1255.64        2500.00        98.0509                 NaN  0.710176                 NaN            NaN            NaN            NaN            NaN  0.276237       0.951722       0.109553E-001            NaN
  1254.48        2500.00        94.7936                 NaN   1.29871                 NaN            NaN            NaN            NaN            NaN  0.716961        3.08707       0.103626                 NaN
  1253.33        2500.00        98.5369                 NaN  0.352519                 NaN            NaN            NaN            NaN            NaN  0.194335       0.902170       0.140414E-001            NaN
  1252.17        2500.00        99.4495                 NaN  0.133634                 NaN            NaN            NaN            NaN            NaN  0.579639E-001  0.348088       0.108573E-001            NaN
  1251.01        2500.00        98.3100                 NaN  0.805969                 NaN            NaN            NaN            NaN            NaN  0.275778       0.607891       0.330527E-003            NaN
  1249.86        2500.00        97.5155                 NaN  0.667147                 NaN            NaN            NaN            NaN            NaN  0.348657        1.43762       0.311130E-001            NaN
  1248.70        2500.00        92.8850                 NaN   1.03023                 NaN            NaN            NaN            NaN  0.421350       0.864448        4.66292       0.136058                 NaN
  1247.54        2500.00        99.9559                 NaN  0.219233E-001            NaN            NaN            NaN            NaN            NaN  0.221032E-001            NaN  0.641420E-004            NaN
  1246.39        2500.00        99.9483                 NaN  0.245235E-001            NaN            NaN            NaN            NaN            NaN  0.271822E-001            NaN            NaN            NaN
  1245.23        2500.00        99.6332                 NaN  0.166104                 NaN            NaN            NaN            NaN            NaN  0.120979       0.797670E-001            NaN            NaN
  1244.07        2500.00        96.8411                 NaN  0.881097                 NaN            NaN            NaN            NaN            NaN  0.428161        1.81222       0.374486E-001            NaN
  1242.92        2500.00        97.8915                 NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.376457        1.63198       0.100029                 NaN
  1241.76        2500.00        97.5157                 NaN  0.758156                 NaN            NaN            NaN            NaN            NaN  0.184062        1.54204                 NaN            NaN
  1240.60        2500.00        98.6047                 NaN  0.914372                 NaN            NaN            NaN            NaN            NaN  0.313390       0.166291       0.120139E-002            NaN
  1239.45        2500.00        98.5428                 NaN  0.263557                 NaN            NaN            NaN            NaN            NaN  0.991809E-001   1.09390       0.536660E-003            NaN
  1238.29        2500.00        98.4054                 NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.107373        1.44641       0.408161E-001            NaN
  1237.13        2500.00        96.6968                 NaN  0.309599       0.719569E-001            NaN            NaN            NaN            NaN  0.705737        2.09365       0.122227                 NaN
  1235.98        2500.00        98.4962                 NaN  0.901231                 NaN            NaN            NaN            NaN            NaN  0.953664E-002  0.593067                 NaN            NaN
  1234.82        2500.00        97.7608                 NaN  0.658685                 NaN            NaN            NaN            NaN            NaN  0.340044        1.24048                 NaN            NaN
  1233.66        2500.00        99.3085                 NaN  0.158307                 NaN            NaN            NaN            NaN            NaN  0.127293       0.295338                 NaN  0.110567     
  1232.51        2500.00        98.0661                 NaN  0.612443                 NaN            NaN            NaN            NaN            NaN  0.176546        1.14490                 NaN            NaN
  1231.35        2500.00        84.3064                 NaN  0.228525E-001   1.04877                 NaN            NaN            NaN            NaN   1.30663        7.14914       0.128907        6.03730     
