|6.6.6
Archiving\03_Data\Deqfrac/QFM_m1.5/YM20/YM20_3.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            Sp(TH)         q             
  1581.45        2500.00        99.3037       0.623683       0.726362E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.91        2500.00        99.3109       0.617804       0.712831E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.36        2500.00        99.3151       0.615203       0.697449E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.82        2500.00        99.3237       0.607050       0.692003E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.28        2500.00        99.3279       0.603967       0.680855E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.74        2500.00        99.3319       0.601897       0.661552E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.20        2500.00        99.2844       0.644063       0.714889E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.65        2500.00        99.4005       0.539251       0.602722E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.11        2500.00        99.3205       0.627604       0.518722E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.57        2500.00        99.3869       0.537524       0.755547E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.03        2500.00        99.3609       0.577137       0.619339E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.48        2500.00        99.3676       0.570534       0.618662E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.94        2500.00        99.3724       0.567335       0.602502E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        2500.00        99.3772       0.563542       0.592739E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.86        2500.00        99.3808       0.561255       0.579893E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.31        2500.00        99.3861       0.556975       0.568871E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.77        2500.00        99.3878       0.555162       0.570873E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.23        2500.00        99.4002       0.545729       0.540967E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.69        2500.00        99.4004       0.545178       0.543930E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.15        2500.00        99.4029       0.544974       0.521021E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1550.60        2500.00        99.4098       0.537756       0.524154E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.06        2500.00        99.4134       0.535113       0.514671E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.52        2500.00        99.4179       0.532036       0.500898E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.98        2500.00        99.4223       0.527651       0.500191E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.43        2500.00        99.4192       0.514139       0.666703E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.89        2500.00        99.4325       0.539105       0.284109E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        2500.00        99.4366       0.516746       0.466863E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.81        2500.00        99.4384       0.516050       0.455894E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.26        2500.00        99.4407       0.515808       0.435417E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.72        2500.00        99.4452       0.511207       0.435469E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.18        2500.00        99.4483       0.509493       0.422518E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.64        2500.00        99.7306       0.250789       0.185913E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.10        2500.00        99.1761       0.761097       0.627756E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.55        2500.00        99.4601       0.500173       0.397157E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.01        2500.00        99.4621       0.499284       0.386305E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.47        2500.00        99.4671       0.493818       0.391132E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.93        2500.00        99.4690       0.493823       0.372250E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.38        2500.00        99.4721       0.492469       0.354311E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.84        2500.00        99.4767       0.465798       0.575399E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.30        2500.00        99.5009       0.488295       0.108002E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.76        2500.00        99.4596       0.504080       0.363585E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.21        2500.00        99.4857       0.481564       0.327071E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.67        2500.00        99.4876       0.480323       0.320551E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.13        2500.00        99.6595       0.316858       0.236100E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.59        2500.00        99.3242       0.637910       0.378896E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.05        2500.00        99.4935       0.479180       0.273027E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.50        2500.00        99.4967       0.476748       0.265432E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.96        2500.00        99.4291       0.262279       0.972259E-002  0.298872                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.42        2500.00        99.2955                 NaN  0.205818E-001  0.683894                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.88        2500.00        99.2830                 NaN  0.722633E-005  0.717011                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.33        2500.00        99.1302                 NaN            NaN  0.239446       0.630333                 NaN            NaN            NaN            NaN            NaN            NaN
  1502.79        2500.00        98.8429                 NaN            NaN  0.725107       0.431973                 NaN            NaN            NaN            NaN            NaN            NaN
  1501.25        2500.00        98.8542                 NaN  0.327455E-002  0.422424       0.720145                 NaN            NaN            NaN            NaN            NaN            NaN
  1499.71        2500.00        98.8690                 NaN  0.254647E-001  0.384940       0.720571                 NaN            NaN            NaN            NaN            NaN            NaN
  1498.16        2500.00        98.8779                 NaN  0.179306E-005  0.704320       0.417774                 NaN            NaN            NaN            NaN            NaN            NaN
  1496.62        2500.00        98.8922                 NaN  0.332487E-001  0.363547       0.710970                 NaN            NaN            NaN            NaN            NaN            NaN
  1495.08        2500.00        98.8975                 NaN  0.355780E-001  0.708977       0.357974                 NaN            NaN            NaN            NaN            NaN            NaN
  1493.54        2500.00        98.9175                 NaN  0.342623E-001  0.350085       0.698107                 NaN            NaN            NaN            NaN            NaN            NaN
  1492.00        2500.00        98.8581                 NaN  0.344421E-001  0.734999       0.372418                 NaN            NaN            NaN            NaN            NaN            NaN
  1490.45        2500.00        98.9991                 NaN  0.296250E-001  0.643464       0.327803                 NaN            NaN            NaN            NaN            NaN            NaN
  1488.91        2500.00        98.9429                 NaN  0.301867E-001  0.346807       0.680112                 NaN            NaN            NaN            NaN            NaN            NaN
  1487.37        2500.00        98.9522                 NaN  0.288811E-001  0.673543       0.345339                 NaN            NaN            NaN            NaN            NaN            NaN
  1485.83        2500.00        98.9609                 NaN  0.277625E-001  0.343368       0.667987                 NaN            NaN            NaN            NaN            NaN            NaN
  1484.28        2500.00        99.0561                 NaN  0.245958E-001  0.310893       0.608370                 NaN            NaN            NaN            NaN            NaN            NaN
  1482.74        2500.00        98.8905                 NaN  0.275085E-001  0.714136       0.367846                 NaN            NaN            NaN            NaN            NaN            NaN
  1481.20        2500.00        98.9873                 NaN  0.241511E-001  0.337060       0.651524                 NaN            NaN            NaN            NaN            NaN            NaN
  1479.66        2500.00        98.9949                 NaN  0.230200E-001  0.335431       0.646686                 NaN            NaN            NaN            NaN            NaN            NaN
  1478.11        2500.00        99.0031                 NaN  0.219377E-001  0.642123       0.332827                 NaN            NaN            NaN            NaN            NaN            NaN
  1476.57        2500.00        99.0110                 NaN  0.208360E-001  0.636835       0.331287                 NaN            NaN            NaN            NaN            NaN            NaN
  1475.03        2500.00        99.0188                 NaN  0.197313E-001  0.632413       0.329066                 NaN            NaN            NaN            NaN            NaN            NaN
  1473.49        2500.00        99.0265                 NaN  0.188040E-001  0.627143       0.327503                 NaN            NaN            NaN            NaN            NaN            NaN
  1471.95        2500.00        99.2110                 NaN  0.145445E-001  0.265957       0.508508                 NaN            NaN            NaN            NaN            NaN            NaN
  1470.40        2500.00        98.8602                 NaN  0.199553E-001  0.735844       0.384048                 NaN            NaN            NaN            NaN            NaN            NaN
  1468.86        2500.00        99.0474                 NaN  0.156399E-001  0.614644       0.322305                 NaN            NaN            NaN            NaN            NaN            NaN
  1467.32        2500.00        99.0540                 NaN  0.147038E-001  0.320518       0.610757                 NaN            NaN            NaN            NaN            NaN            NaN
  1465.78        2500.00        99.1052                 NaN  0.133924E-001  0.577957       0.303417                 NaN            NaN            NaN            NaN            NaN            NaN
  1464.23        2500.00        99.0268                 NaN  0.500902E-001  0.279575       0.643565                 NaN            NaN            NaN            NaN            NaN            NaN
  1462.69        2500.00        99.0740                 NaN  0.104272E-005  0.594103       0.331900                 NaN            NaN            NaN            NaN            NaN            NaN
  1461.15        2500.00        99.0764                 NaN            NaN  0.593439       0.330199                 NaN            NaN            NaN            NaN            NaN            NaN
  1459.61        2500.00        99.0078                 NaN  0.474073E-002  0.599916       0.351500                 NaN  0.360094E-001            NaN            NaN            NaN            NaN
  1458.06        2500.00        97.0698                 NaN  0.273283       0.787952       0.868149                 NaN   1.00081                 NaN            NaN            NaN            NaN
  1456.52        2500.00        97.1391                 NaN  0.271532       0.850171       0.760845                 NaN  0.978380                 NaN            NaN            NaN            NaN
  1454.98        2500.00        97.2078                 NaN  0.269051       0.734931       0.832188                 NaN  0.956015                 NaN            NaN            NaN            NaN
  1453.44        2500.00        97.2762                 NaN  0.266551       0.709100       0.814620                 NaN  0.933535                 NaN            NaN            NaN            NaN
  1451.90        2500.00        97.3372                 NaN  0.264723       0.684326       0.800184                 NaN  0.913569                 NaN            NaN            NaN            NaN
  1450.35        2500.00        97.3997                 NaN  0.262245       0.782672       0.662201                 NaN  0.893174                 NaN            NaN            NaN            NaN
  1448.81        2500.00        97.4573                 NaN  0.260617       0.768324       0.639431                 NaN  0.874316                 NaN            NaN            NaN            NaN
  1447.27        2500.00        97.5157                 NaN  0.258139       0.752783       0.618501                 NaN  0.854913                 NaN            NaN            NaN            NaN
  1445.73        2500.00        97.5626                 NaN  0.257286       0.598564       0.741607                 NaN  0.839916                 NaN            NaN            NaN            NaN
  1444.18        2500.00        97.6236                 NaN  0.254502       0.725262       0.577275                 NaN  0.819375                 NaN            NaN            NaN            NaN
  1442.64        2500.00        97.6719                 NaN  0.253116       0.713246       0.558176                 NaN  0.803600                 NaN            NaN            NaN            NaN
  1441.10        2500.00        97.7189                 NaN  0.251670       0.540571       0.700547                 NaN  0.788353                 NaN            NaN            NaN            NaN
  1439.56        2500.00        97.7663                 NaN  0.250061       0.688326       0.522871                 NaN  0.772484                 NaN            NaN            NaN            NaN
  1438.01        2500.00        97.8117                 NaN  0.248523       0.505418       0.676780                 NaN  0.757626                 NaN            NaN            NaN            NaN
  1436.47        2500.00        97.8547                 NaN  0.247273       0.488663       0.665924                 NaN  0.743440                 NaN            NaN            NaN            NaN
  1434.93        2500.00        97.8962                 NaN  0.246025       0.655198       0.472975                 NaN  0.729596                 NaN            NaN            NaN            NaN
  1433.39        2500.00        97.9378                 NaN  0.244512       0.644079       0.457711                 NaN  0.715909                 NaN            NaN            NaN            NaN
  1431.85        2500.00        97.9765                 NaN  0.243415       0.634436       0.442398                 NaN  0.703282                 NaN            NaN            NaN            NaN
  1430.30        2500.00        98.0129                 NaN  0.242523       0.427472       0.626149                 NaN  0.690912                 NaN            NaN            NaN            NaN
  1428.76        2500.00        98.0528                 NaN  0.240911       0.413541       0.615045                 NaN  0.677720                 NaN            NaN            NaN            NaN
  1427.22        2500.00        98.0813                 NaN  0.241923       0.402967       0.604689                 NaN  0.669161                 NaN            NaN            NaN            NaN
  1425.68        2500.00        98.1303                 NaN  0.237001       0.594152       0.387144                 NaN  0.651382                 NaN            NaN            NaN            NaN
  1424.13        2500.00        98.1537                 NaN  0.238003       0.590053       0.374121                 NaN  0.644159                 NaN            NaN            NaN            NaN
  1422.59        2500.00        98.1880                 NaN  0.236809       0.580292       0.362022                 NaN  0.632855                 NaN            NaN            NaN            NaN
  1421.05        2500.00        98.2205                 NaN  0.235830       0.572309       0.349416                 NaN  0.621900                 NaN            NaN            NaN            NaN
  1419.51        2500.00        98.2410                 NaN  0.236186       0.567326       0.339669                 NaN  0.615822                 NaN            NaN            NaN            NaN
  1417.96        2500.00        98.2905                 NaN  0.232779       0.554875       0.323862                 NaN  0.597975                 NaN            NaN            NaN            NaN
  1416.42        2500.00        98.3096                 NaN  0.233196       0.549911       0.315106                 NaN  0.592225                 NaN            NaN            NaN            NaN
  1414.88        2500.00        98.3377                 NaN  0.232354       0.542619       0.304508                 NaN  0.582793                 NaN            NaN            NaN            NaN
  1413.34        2500.00        98.3651                 NaN  0.231440       0.293840       0.535976                 NaN  0.573671                 NaN            NaN            NaN            NaN
  1411.80        2500.00        98.3915                 NaN  0.230707       0.283284       0.529579                 NaN  0.564884                 NaN            NaN            NaN            NaN
  1410.25        2500.00        98.4160                 NaN  0.230334       0.273978       0.523058                 NaN  0.556632                 NaN            NaN            NaN            NaN
  1408.71        2500.00        98.4450                 NaN  0.228688       0.515486       0.263967                 NaN  0.546862                 NaN            NaN            NaN            NaN
  1407.17        2500.00        98.4682                 NaN  0.227988       0.510072       0.254868                 NaN  0.538904                 NaN            NaN            NaN            NaN
  1405.63        2500.00        98.4895                 NaN  0.227632       0.245018       0.506136                 NaN  0.531740                 NaN            NaN            NaN            NaN
  1404.08        2500.00        98.5154                 NaN  0.226536       0.236298       0.498758                 NaN  0.523027                 NaN            NaN            NaN            NaN
  1402.54        2500.00        98.5369                 NaN  0.225990       0.493536       0.227779                 NaN  0.515776                 NaN            NaN            NaN            NaN
  1401.00        2500.00        98.5583                 NaN  0.225152       0.488607       0.219477                 NaN  0.508512                 NaN            NaN            NaN            NaN
  1399.46        2500.00        98.5807                 NaN  0.224219       0.212038       0.482259                 NaN  0.500745                 NaN            NaN            NaN            NaN
  1397.91        2500.00        98.6003                 NaN  0.223816       0.477758       0.203928                 NaN  0.494152                 NaN            NaN            NaN            NaN
  1396.37        2500.00        98.6229                 NaN  0.222558       0.472073       0.196007                 NaN  0.486419                 NaN            NaN            NaN            NaN
  1394.83        2500.00        98.6424                 NaN  0.221916       0.467403       0.188521                 NaN  0.479804                 NaN            NaN            NaN            NaN
  1393.29        2500.00        98.6623                 NaN  0.221042       0.181086       0.462599                 NaN  0.472950                 NaN            NaN            NaN            NaN
  1391.75        2500.00        98.6813                 NaN  0.220415       0.457719       0.173960                 NaN  0.466565                 NaN            NaN            NaN            NaN
  1390.20        2500.00        98.7002                 NaN  0.219140       0.167416       0.453452                 NaN  0.459823                 NaN            NaN            NaN            NaN
  1388.66        2500.00        98.7184                 NaN  0.218384       0.160564       0.449029                 NaN  0.453669                 NaN            NaN            NaN            NaN
  1387.12        2500.00        98.7369                 NaN  0.217521       0.444148       0.154098                 NaN  0.447375                 NaN            NaN            NaN            NaN
  1385.58        2500.00        98.7537                 NaN  0.216664       0.440518       0.147687                 NaN  0.441384                 NaN            NaN            NaN            NaN
  1384.03        2500.00        98.7705                 NaN  0.215806       0.141667       0.436413                 NaN  0.435646                 NaN            NaN            NaN            NaN
  1382.49        2500.00        98.7875                 NaN  0.214502       0.432109       0.136279                 NaN  0.429636                 NaN            NaN            NaN            NaN
  1380.95        2500.00        98.8030                 NaN  0.213755       0.129690       0.429153                 NaN  0.424385                 NaN            NaN            NaN            NaN
  1379.41        2500.00        98.8203                 NaN  0.212259       0.424235       0.125099                 NaN  0.418085                 NaN            NaN            NaN            NaN
  1377.86        2500.00        98.8356                 NaN  0.211500       0.420474       0.119606                 NaN  0.412816                 NaN            NaN            NaN            NaN
  1376.32        2500.00        98.8508                 NaN  0.210332       0.416566       0.114839                 NaN  0.407506                 NaN            NaN            NaN            NaN
  1374.78        2500.00        98.8657                 NaN  0.209094       0.413139       0.109962                 NaN  0.402094                 NaN            NaN            NaN            NaN
  1373.24        2500.00        98.8795                 NaN  0.208079       0.105247       0.409991                 NaN  0.397148                 NaN            NaN            NaN            NaN
  1371.70        2500.00        98.8919                 NaN  0.206918       0.408038       0.100480                 NaN  0.392628                 NaN            NaN            NaN            NaN
  1370.15        2500.00        98.9072                 NaN  0.207389       0.403628       0.938260E-001            NaN  0.387935                 NaN            NaN            NaN            NaN
  1368.61        2500.00        98.9247                 NaN  0.201828       0.396789       0.963970E-001            NaN  0.380244                 NaN            NaN            NaN            NaN
  1367.07        2500.00        98.9353                 NaN  0.202848       0.395928       0.888354E-001            NaN  0.377130                 NaN            NaN            NaN            NaN
  1365.53        2500.00        98.9492                 NaN  0.201367       0.850101E-001  0.392229                 NaN  0.372157                 NaN            NaN            NaN            NaN
  1363.98        2500.00        98.9627                 NaN  0.199834       0.813596E-001  0.388835                 NaN  0.367259                 NaN            NaN            NaN            NaN
  1362.44        2500.00        98.9742                 NaN  0.198844       0.772950E-001  0.386560                 NaN  0.363059                 NaN            NaN            NaN            NaN
  1360.90        2500.00        98.9863                 NaN  0.196245       0.764192E-001  0.382789                 NaN  0.358263                 NaN            NaN            NaN            NaN
  1359.36        2500.00        98.9992                 NaN  0.195217       0.379391       0.723757E-001            NaN  0.353801                 NaN            NaN            NaN            NaN
  1357.81        2500.00        99.0105                 NaN  0.193544       0.697894E-001  0.376647                 NaN  0.349556                 NaN            NaN            NaN            NaN
  1356.27        2500.00        99.0224                 NaN  0.191797       0.373080       0.676679E-001            NaN  0.345097                 NaN            NaN            NaN            NaN
  1354.73        2500.00        99.0340                 NaN  0.190081       0.653809E-001  0.369774                 NaN  0.340776                 NaN            NaN            NaN            NaN
  1353.19        2500.00        99.0448                 NaN  0.188370       0.629852E-001  0.367108                 NaN  0.336738                 NaN            NaN            NaN            NaN
  1351.65        2500.00        99.0560                 NaN  0.186130       0.364132       0.614948E-001            NaN  0.332291                 NaN            NaN            NaN            NaN
  1350.10        2500.00        99.0667                 NaN  0.184433       0.361195       0.593062E-001            NaN  0.328363                 NaN            NaN            NaN            NaN
  1348.56        2500.00        99.0773                 NaN  0.182437       0.358082       0.578659E-001            NaN  0.324332                 NaN            NaN            NaN            NaN
  1347.02        2500.00        99.0866                 NaN  0.180200       0.355863       0.567213E-001            NaN  0.320634                 NaN            NaN            NaN            NaN
  1345.48        2500.00        99.0976                 NaN  0.178538       0.352246       0.550585E-001            NaN  0.316542                 NaN            NaN            NaN            NaN
  1343.93        2500.00        99.1085                 NaN  0.176217       0.540968E-001  0.348867                 NaN  0.312367                 NaN            NaN            NaN            NaN
  1342.39        2500.00        99.1172                 NaN  0.173813       0.346273       0.539050E-001            NaN  0.308809                 NaN            NaN            NaN            NaN
  1340.85        2500.00        99.1268                 NaN  0.171855       0.343432       0.527756E-001            NaN  0.305126                 NaN            NaN            NaN            NaN
  1339.31        2500.00        99.1359                 NaN  0.169465       0.528496E-001  0.340348                 NaN  0.301442                 NaN            NaN            NaN            NaN
  1337.76        2500.00        99.1457                 NaN  0.167538       0.518886E-001  0.337056                 NaN  0.297828                 NaN            NaN            NaN            NaN
  1336.22        2500.00        99.1532                 NaN  0.164220       0.334538       0.536371E-001            NaN  0.294448                 NaN            NaN            NaN            NaN
  1334.68        2500.00        99.1632                 NaN  0.162242       0.331341       0.526316E-001            NaN  0.290586                 NaN            NaN            NaN            NaN
  1333.14        2500.00        99.1717                 NaN  0.159907       0.328366       0.527410E-001            NaN  0.287287                 NaN            NaN            NaN            NaN
  1331.60        2500.00        99.1795                 NaN  0.157240       0.325436       0.538536E-001            NaN  0.283977                 NaN            NaN            NaN            NaN
  1330.05        2500.00        99.1885                 NaN  0.154789       0.322466       0.537708E-001            NaN  0.280475                 NaN            NaN            NaN            NaN
  1328.51        2500.00        99.1957                 NaN  0.151959       0.319469       0.554789E-001            NaN  0.277356                 NaN            NaN            NaN            NaN
  1326.97        2500.00        99.2038                 NaN  0.149520       0.316425       0.561189E-001            NaN  0.274161                 NaN            NaN            NaN            NaN
  1325.43        2500.00        99.2112                 NaN  0.146549       0.313457       0.578603E-001            NaN  0.270921                 NaN            NaN            NaN            NaN
  1323.88        2500.00        99.2196                 NaN  0.144548       0.309652       0.582733E-001            NaN  0.267929                 NaN            NaN            NaN            NaN
  1322.34        2500.00        99.2259                 NaN  0.140544       0.307492       0.614806E-001            NaN  0.264597                 NaN            NaN            NaN            NaN
  1320.80        2500.00        99.2332                 NaN  0.138112       0.304143       0.627905E-001            NaN  0.261738                 NaN            NaN            NaN            NaN
  1319.26        2500.00        99.2401                 NaN  0.135538       0.300990       0.644196E-001            NaN  0.258928                 NaN            NaN            NaN            NaN
  1317.71        2500.00        99.2472                 NaN  0.132186       0.297439       0.673390E-001            NaN  0.255851                 NaN            NaN            NaN            NaN
  1316.17        2500.00        99.2533                 NaN  0.129207       0.294229       0.700921E-001            NaN  0.253188                 NaN            NaN            NaN            NaN
  1314.63        2500.00        99.2604                 NaN  0.126414       0.290910       0.720114E-001            NaN  0.250291                 NaN            NaN            NaN            NaN
  1313.09        2500.00        99.2664                 NaN  0.123333       0.287433       0.751921E-001            NaN  0.247639                 NaN            NaN            NaN            NaN
  1311.55        2500.00        99.2721                 NaN  0.120134       0.283972       0.787301E-001            NaN  0.245079                 NaN            NaN            NaN            NaN
  1310.00        2500.00        99.2788                 NaN  0.117493       0.803663E-001  0.280960                 NaN  0.242350                 NaN            NaN            NaN            NaN
  1308.46        2500.00        99.2843                 NaN  0.114112       0.277003       0.847062E-001            NaN  0.239876                 NaN            NaN            NaN            NaN
  1306.92        2500.00        99.2892                 NaN  0.110910       0.881532E-001  0.274169                 NaN  0.237577                 NaN            NaN            NaN            NaN
  1305.38        2500.00        99.2952                 NaN  0.107036       0.942132E-001  0.268734                 NaN  0.234819                 NaN            NaN            NaN            NaN
  1303.83        2500.00        99.3006                 NaN  0.104426       0.966355E-001  0.265692                 NaN  0.232639                 NaN            NaN            NaN            NaN
  1302.29        2500.00        99.3053                 NaN  0.100754       0.261392       0.102235                 NaN  0.230358                 NaN            NaN            NaN            NaN
  1300.75        2500.00        96.1065                 NaN  0.325180       0.723318       0.109882                 NaN  0.635970        2.09919                 NaN            NaN            NaN
  1299.21        2500.00        89.1082                 NaN  0.799899       0.115665        1.77622                 NaN   1.52466        6.67536                 NaN            NaN            NaN
  1297.67        2500.00        89.7494                 NaN  0.750543        1.77474       0.318766E-001            NaN   1.44366        6.24981                 NaN            NaN            NaN
  1296.12        2500.00        90.3212                 NaN  0.700411        1.73902                 NaN            NaN   1.37097        5.86842                 NaN            NaN            NaN
  1294.58        2500.00        81.8052                 NaN   1.22763        3.00997                 NaN            NaN   2.55256        11.0545       0.350123                 NaN            NaN
  1293.04        2500.00        75.9100                 NaN  0.841592        4.44136                 NaN            NaN   3.26557        14.5500                 NaN  0.991444                 NaN
  1291.50        2500.00        79.1403                 NaN  0.729561        3.88051                 NaN            NaN   2.84039        12.5602                 NaN  0.849031                 NaN
  1289.95        2500.00        81.8150                 NaN  0.634909        3.42444                 NaN            NaN   2.48763        10.9135                 NaN  0.724494                 NaN
  1288.41        2500.00        83.4755                 NaN  0.621523        3.07938                 NaN            NaN   2.27283        9.90405                 NaN  0.646681                 NaN
  1286.87        2500.00        85.8983                 NaN  0.529721        2.70138                 NaN            NaN   1.95033        8.41277       0.471303E-001  0.460381                 NaN
  1285.33        2500.00        85.2665                 NaN  0.694536        2.75020                 NaN            NaN   2.06479        8.78810       0.170083       0.265789                 NaN
  1283.78        2500.00        89.0583                 NaN  0.607991        2.01073                 NaN            NaN   1.54518        6.49625       0.166631       0.114939                 NaN
