|6.6.6
Archiving\03_Data\eqfrac/QFM_m0.75/EETA/EETA_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Opx(TH)        Sp(TH)         O(HP)          an             San(TH)        ilm            q             
  1408.94        2500.00        98.6450       0.465696       0.249949                 NaN            NaN  0.242123       0.397235                 NaN            NaN            NaN
  1407.79        2500.00        98.6590       0.462410       0.243718                 NaN            NaN  0.241976       0.392876                 NaN            NaN            NaN
  1406.64        2500.00        98.6717       0.459142       0.237446                 NaN            NaN  0.242485       0.389215                 NaN            NaN            NaN
  1405.49        2500.00        98.6851       0.455856       0.231542                 NaN            NaN  0.242369       0.385165                 NaN            NaN            NaN
  1404.34        2500.00        98.6981       0.224780       0.452800                 NaN            NaN  0.242768       0.381601                 NaN            NaN            NaN
  1403.19        2500.00        98.7106       0.449726       0.219175                 NaN            NaN  0.242744       0.377734                 NaN            NaN            NaN
  1402.04        2500.00        98.7232       0.446291       0.213477                 NaN            NaN  0.243008       0.374065                 NaN            NaN            NaN
  1400.90        2500.00        98.7357       0.442429       0.208033                 NaN            NaN  0.243327       0.370486                 NaN            NaN            NaN
  1399.75        2500.00        98.7481       0.202109       0.439830                 NaN            NaN  0.243152       0.366788                 NaN            NaN            NaN
  1398.60        2500.00        98.4404       0.248889       0.547488                 NaN  0.762300E-004  0.306150       0.457003                 NaN            NaN            NaN
  1397.45        2500.00        99.0940       0.139356       0.320111                 NaN            NaN  0.181010       0.265516                 NaN            NaN            NaN
  1396.30        2500.00        98.7824       0.185925       0.431297                 NaN            NaN  0.243748       0.356665                 NaN            NaN            NaN
  1395.15        2500.00        98.7939       0.180314       0.428560                 NaN            NaN  0.243898       0.353324                 NaN            NaN            NaN
  1394.00        2500.00        98.8038       0.174813       0.426413                 NaN            NaN  0.244369       0.350593                 NaN            NaN            NaN
  1392.85        2500.00        98.8171       0.422838       0.169667                 NaN            NaN  0.243820       0.346528                 NaN            NaN            NaN
  1391.71        2500.00        98.8265       0.420434       0.165415                 NaN            NaN  0.244150       0.343453                 NaN            NaN            NaN
  1390.56        2500.00        98.8357       0.160409       0.418524                 NaN            NaN  0.244507       0.340832                 NaN            NaN            NaN
  1389.41        2500.00        98.8463       0.415732       0.155739                 NaN            NaN  0.244498       0.337698                 NaN            NaN            NaN
  1388.26        2500.00        98.8565       0.151035       0.413090                 NaN            NaN  0.244634       0.334695                 NaN            NaN            NaN
  1387.11        2500.00        98.8663       0.410712       0.146403                 NaN            NaN  0.244755       0.331837                 NaN            NaN            NaN
  1385.96        2500.00        97.1074        1.09634       0.284903                 NaN            NaN  0.674123       0.837237                 NaN            NaN            NaN
  1384.81        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1383.66        2500.00        99.4026       0.176617       0.177646                 NaN            NaN  0.782558E-001  0.164864                 NaN            NaN            NaN
  1382.52        2500.00        98.9056       0.401117       0.128933                 NaN            NaN  0.244247       0.320059                 NaN            NaN            NaN
  1381.37        2500.00        98.9148       0.398786       0.125256                 NaN            NaN  0.244002       0.317155                 NaN            NaN            NaN
  1380.22        2500.00        98.9232       0.396665       0.121570                 NaN            NaN  0.244004       0.314561                 NaN            NaN            NaN
  1379.07        2500.00        99.2853       0.772712E-001  0.265458                 NaN            NaN  0.162979       0.208960                 NaN            NaN            NaN
  1377.92        2500.00        98.5844       0.523287       0.154172                 NaN            NaN  0.324973       0.413178                 NaN            NaN            NaN
  1376.77        2500.00        98.9496       0.390440       0.110099                 NaN            NaN  0.243510       0.306320                 NaN            NaN            NaN
  1375.62        2500.00        98.9573       0.388495       0.106558                 NaN            NaN  0.243510       0.304096                 NaN            NaN            NaN
  1374.48        2500.00        98.9651       0.386047       0.103207                 NaN            NaN  0.243830       0.301774                 NaN            NaN            NaN
  1373.33        2500.00        98.9734       0.988102E-001  0.384853                 NaN            NaN  0.243613       0.299362                 NaN            NaN            NaN
  1372.18        2500.00        98.9819       0.382859       0.964760E-001            NaN            NaN  0.242446       0.296295                 NaN            NaN            NaN
  1371.03        2500.00        98.9820       0.385521       0.875596E-001            NaN            NaN  0.247298       0.297668                 NaN            NaN            NaN
  1369.88        2500.00        98.9850       0.380742       0.890919E-001            NaN            NaN  0.248035       0.297144                 NaN            NaN            NaN
  1368.73        2500.00        99.0238       0.372008       0.907741E-001            NaN            NaN  0.232385       0.281080                 NaN            NaN            NaN
  1367.58        2500.00        99.0105       0.834303E-001  0.376279                 NaN            NaN  0.242270       0.287528                 NaN            NaN            NaN
  1366.43        2500.00        99.0188       0.374235       0.809432E-001            NaN            NaN  0.241236       0.284752                 NaN            NaN            NaN
  1365.29        2500.00        99.0257       0.372948       0.771922E-001            NaN            NaN  0.241414       0.282770                 NaN            NaN            NaN
  1364.14        2500.00        99.0335       0.370109       0.754792E-001            NaN            NaN  0.240654       0.280232                 NaN            NaN            NaN
  1362.99        2500.00        99.0346       0.373837       0.693170E-001            NaN            NaN  0.241877       0.280348                 NaN            NaN            NaN
  1361.84        2500.00        98.5211       0.566850       0.114279                 NaN            NaN  0.370452       0.427311                 NaN            NaN            NaN
  1360.69        2500.00        99.5787       0.298033E-001  0.164758                 NaN            NaN  0.105942       0.120836                 NaN            NaN            NaN
  1359.54        2500.00        99.4935       0.342604E-001  0.290797                 NaN            NaN  0.672837E-001  0.114117                 NaN            NaN            NaN
  1358.39        2500.00        98.6287       0.102408       0.432478                 NaN            NaN  0.408630       0.427828                 NaN            NaN            NaN
  1357.24        2500.00        99.0710       0.362007       0.618407E-001            NaN            NaN  0.237342       0.267836                 NaN            NaN            NaN
  1356.10        2500.00        99.0787       0.359755       0.596365E-001            NaN            NaN  0.236491       0.265447                 NaN            NaN            NaN
  1354.95        2500.00        99.0849       0.358740       0.571180E-001            NaN            NaN  0.235854       0.263370                 NaN            NaN            NaN
  1353.80        2500.00        99.0918       0.551876E-001  0.356775                 NaN            NaN  0.235054       0.261179                 NaN            NaN            NaN
  1352.65        2500.00        99.0967       0.355785       0.538909E-001            NaN            NaN  0.234244       0.259405                 NaN            NaN            NaN
  1351.50        2500.00        99.1025       0.530107E-001  0.354115                 NaN            NaN  0.233043       0.257316                 NaN            NaN            NaN
  1350.35        2500.00        99.1093       0.352080       0.509353E-001            NaN            NaN  0.232368       0.255294                 NaN            NaN            NaN
  1349.20        2500.00        99.1146       0.351265       0.489490E-001            NaN            NaN  0.231764       0.253455                 NaN            NaN            NaN
  1348.06        2500.00        99.1207       0.349164       0.482695E-001            NaN            NaN  0.230361       0.251520                 NaN            NaN            NaN
  1346.91        2500.00        99.1257       0.348064       0.477285E-001            NaN            NaN  0.229027       0.249486                 NaN            NaN            NaN
  1345.76        2500.00        99.1295       0.456373E-001  0.347621                 NaN            NaN  0.228818       0.248402                 NaN            NaN            NaN
  1344.61        2500.00        99.1383       0.454208E-001  0.344543                 NaN            NaN  0.226470       0.245303                 NaN            NaN            NaN
  1343.46        2500.00        99.1417       0.344119       0.447158E-001            NaN            NaN  0.225544       0.243920                 NaN            NaN            NaN
  1342.31        2500.00        99.1474       0.342093       0.434287E-001            NaN            NaN  0.224809       0.242220                 NaN            NaN            NaN
  1341.16        2500.00        99.1524       0.435406E-001  0.340964                 NaN            NaN  0.222921       0.240203                 NaN            NaN            NaN
  1340.01        2500.00        99.1520       0.338692       0.494239E-001            NaN            NaN  0.220277       0.239640                 NaN            NaN            NaN
  1338.87        2500.00        99.1645       0.386497E-001  0.338930                 NaN            NaN  0.221783       0.236174                 NaN            NaN            NaN
  1337.72        2500.00        99.1668       0.422732E-001  0.336987                 NaN            NaN  0.218910       0.235077                 NaN            NaN            NaN
  1336.57        2500.00        99.1722       0.420864E-001  0.335156                 NaN            NaN  0.217412       0.233179                 NaN            NaN            NaN
  1335.42        2500.00        99.1761       0.417725E-001  0.334186                 NaN            NaN  0.216218       0.231758                 NaN            NaN            NaN
  1334.27        2500.00        99.1815       0.422443E-001  0.332828                 NaN            NaN  0.213798       0.229651                 NaN            NaN            NaN
  1333.12        2500.00        99.1857       0.331256       0.424676E-001            NaN            NaN  0.212427       0.228119                 NaN            NaN            NaN
  1331.97        2500.00        99.1513       0.345799       0.595895E-001            NaN  0.273859E-001  0.185471       0.230436                 NaN            NaN            NaN
  1330.82        2500.00        99.0290       0.399756       0.112393                 NaN  0.117860       0.997072E-001  0.241332                 NaN            NaN            NaN
  1329.68        2500.00        99.0323       0.399811       0.113220                 NaN  0.119775       0.953048E-001  0.239635                 NaN            NaN            NaN
  1328.53        2500.00        99.0364       0.399712       0.113480                 NaN  0.121121       0.914480E-001  0.237872                 NaN            NaN            NaN
  1327.38        2500.00        99.0420       0.398306       0.113826                 NaN  0.121822       0.880803E-001  0.235952                 NaN            NaN            NaN
  1326.23        2500.00        99.0476       0.397400       0.113608                 NaN  0.122463       0.849124E-001  0.234020                 NaN            NaN            NaN
  1325.08        2500.00        99.0542       0.114247       0.395067                 NaN  0.122329       0.820708E-001  0.232045                 NaN            NaN            NaN
  1323.93        2500.00        99.0616       0.392492       0.114024                 NaN  0.121953       0.799292E-001  0.230009                 NaN            NaN            NaN
  1322.78        2500.00        99.0688       0.115238       0.389413                 NaN  0.121254       0.772650E-001  0.227992                 NaN            NaN            NaN
  1321.64        2500.00        99.0770       0.386071       0.114726                 NaN  0.120457       0.757897E-001  0.225907                 NaN            NaN            NaN
  1320.49        2500.00        99.0853       0.116221       0.381798                 NaN  0.119236       0.735968E-001  0.223803                 NaN            NaN            NaN
  1319.34        2500.00        99.0934       0.377931       0.116949                 NaN  0.118386       0.715948E-001  0.221740                 NaN            NaN            NaN
  1318.19        2500.00        99.1011       0.374712       0.117420                 NaN  0.117375       0.696120E-001  0.219734                 NaN            NaN            NaN
  1317.04        2500.00        99.1091       0.370306       0.119022                 NaN  0.116078       0.677046E-001  0.217755                 NaN            NaN            NaN
  1315.89        2500.00        99.1170       0.367124       0.119053                 NaN  0.115261       0.658580E-001  0.215718                 NaN            NaN            NaN
  1314.74        2500.00        99.1246       0.119960       0.363042                 NaN  0.114045       0.644230E-001  0.213964                 NaN            NaN            NaN
  1313.59        2500.00        99.1330       0.359128       0.121624                 NaN  0.112894       0.617668E-001  0.211569                 NaN            NaN            NaN
  1312.45        2500.00        99.1405       0.122599       0.355074                 NaN  0.111729       0.602795E-001  0.209846                 NaN            NaN            NaN
  1311.30        2500.00        99.1482       0.124187       0.350839                 NaN  0.110509       0.583688E-001  0.207938                 NaN            NaN            NaN
  1310.15        2500.00        99.1559       0.125302       0.346749                 NaN  0.109245       0.567052E-001  0.206053                 NaN            NaN            NaN
  1309.00        2500.00        99.1627       0.343290       0.126989                 NaN  0.108303       0.544612E-001  0.204272                 NaN            NaN            NaN
  1307.85        2500.00        99.1712       0.338470       0.128200                 NaN  0.106842       0.530165E-001  0.202283                 NaN            NaN            NaN
  1306.70        2500.00        99.1790       0.334054       0.129400                 NaN  0.105646       0.515032E-001  0.200426                 NaN            NaN            NaN
  1305.55        2500.00        99.1858       0.330324       0.131502                 NaN  0.104552       0.491860E-001  0.198650                 NaN            NaN            NaN
  1304.40        2500.00        99.1933       0.132915       0.326010                 NaN  0.103294       0.476515E-001  0.196862                 NaN            NaN            NaN
  1303.26        2500.00        99.2005       0.322233       0.133942                 NaN  0.102220       0.459233E-001  0.195139                 NaN            NaN            NaN
  1302.11        2500.00        99.2075       0.317441       0.136835                 NaN  0.100921       0.439168E-001  0.193345                 NaN            NaN            NaN
  1300.96        2500.00        99.2127       0.312983       0.140654                 NaN  0.999890E-001  0.415017E-001  0.192210                 NaN            NaN            NaN
  1299.81        2500.00        99.2225       0.139884       0.309377                 NaN  0.985353E-001  0.401735E-001  0.189484                 NaN            NaN            NaN
  1298.66        2500.00        99.2279       0.142401       0.305360                 NaN  0.975159E-001  0.384497E-001  0.188373                 NaN            NaN            NaN
  1297.51        2500.00        99.2347       0.300794       0.144937                 NaN  0.963958E-001  0.364401E-001  0.186745                 NaN            NaN            NaN
  1296.36        2500.00        96.6792       0.758126       0.276207                 NaN  0.298964       0.104661       0.497155        1.38571                 NaN            NaN
  1295.22        2500.00        69.5938        5.42329        2.18056                 NaN   2.40231       0.628520        3.78670        15.9848                 NaN            NaN
  1294.07        2500.00        75.6075        4.22192        2.12187                 NaN   1.89649       0.376147        3.05104        12.7251                 NaN            NaN
  1292.92        2500.00        79.6900        3.40612        2.05203                 NaN   1.55490       0.222568        2.55135        10.5230                 NaN            NaN
  1291.77        2500.00        82.5875        2.82606        1.99368                 NaN   1.31259       0.119947        2.19698        8.96327                 NaN            NaN
  1290.62        2500.00        84.7535        2.38788        1.94744                 NaN   1.13224       0.463932E-001   1.93141        7.80108                 NaN            NaN
  1289.47        2500.00        86.4454        1.87294        2.05756                 NaN  0.990433       0.103439E-001   1.72523        6.89809                 NaN            NaN
  1288.32        2500.00        87.8048        1.78260        1.80126                 NaN  0.874466       0.163193E-004   1.56096        6.17589                 NaN            NaN
  1287.17        2500.00        88.6973        1.50886        1.72212                 NaN  0.775039       0.123784        1.46893        5.70394                 NaN            NaN
  1286.03        2500.00        89.9174        1.58872        1.42196                 NaN  0.698890                 NaN   1.30496        5.06804                 NaN            NaN
  1284.88        2500.00        90.5129        1.60119        1.26595                 NaN  0.622938                 NaN   1.23886        4.75816                 NaN            NaN
  1283.73        2500.00        87.6635        1.51597        2.09342                 NaN  0.720865                 NaN   1.63855        6.36770                 NaN            NaN
  1282.58        2500.00        75.9947        5.50215                 NaN            NaN   1.16884        1.96917        3.34703        11.9601       0.580467E-001            NaN
  1281.43        2500.00        99.8504                 NaN            NaN            NaN  0.149640                 NaN            NaN            NaN            NaN            NaN
  1280.28        2500.00        99.8497                 NaN            NaN            NaN  0.501303E-001            NaN  0.100154                 NaN            NaN            NaN
  1279.13        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1277.98        2500.00        97.9615       0.266302       0.360014                 NaN  0.156050                 NaN  0.217748        1.03842                 NaN            NaN
  1276.84        2500.00        95.5484       0.918210       0.476688                 NaN  0.320042                 NaN  0.576303        2.16037                 NaN            NaN
  1275.69        2500.00        90.6983        1.95466       0.142302E-001            NaN  0.972757                 NaN   1.27619        5.08390                 NaN            NaN
  1274.54        2500.00        96.5947        1.87111                 NaN            NaN            NaN            NaN  0.436233        1.09795                 NaN            NaN
  1273.39        2500.00        95.8158        1.58376                 NaN            NaN  0.362914E-001            NaN  0.568585        1.99558                 NaN            NaN
  1272.24        2500.00        96.1424       0.814437       0.425324                 NaN  0.199406                 NaN  0.504636        1.91379                 NaN            NaN
  1271.09        2500.00        95.0778        1.12098       0.469365                 NaN  0.273611                 NaN  0.668390        2.38984                 NaN            NaN
  1269.94        2500.00        95.3336        1.18270       0.346869                 NaN  0.247589                 NaN  0.635373        2.25383                 NaN            NaN
  1268.80        2500.00        93.6742        2.04733                 NaN            NaN  0.291454                 NaN  0.885806        3.10123                 NaN            NaN
  1267.65        2500.00        97.2917       0.408213       0.565550                 NaN  0.145803                 NaN  0.353321        1.23538                 NaN            NaN
  1266.50        2500.00        95.7163       0.359174        1.01966                 NaN  0.239276                 NaN  0.581665        2.08392                 NaN            NaN
  1265.35        2500.00        96.2918       0.473358       0.693075                 NaN  0.245047                 NaN  0.495539        1.80121                 NaN            NaN
  1264.20        2500.00        92.1942       0.528330        1.88232                 NaN  0.650905                 NaN   1.14288        3.60134                 NaN            NaN
  1263.05        2500.00        91.6239        1.10569        1.46164                 NaN  0.343479                 NaN   1.07261        4.39268                 NaN            NaN
  1261.90        2500.00        99.7174                 NaN            NaN            NaN            NaN            NaN  0.303401E-001  0.252297                 NaN            NaN
  1260.75        2500.00        99.8382       0.987151E-001  0.628096E-002            NaN  0.556974E-001            NaN  0.112504E-002            NaN            NaN            NaN
  1259.61        2500.00        97.5386        1.01801                 NaN            NaN            NaN            NaN  0.367079        1.07634                 NaN            NaN
  1258.46        2500.00        98.0231       0.670294E-001  0.663354                 NaN  0.105507                 NaN  0.266999       0.873968                 NaN            NaN
  1257.31        2500.00        96.7067       0.717359       0.148278                 NaN  0.313094                 NaN  0.466609        1.64799                 NaN            NaN
  1256.16        2500.00        96.7010        1.33600                 NaN            NaN  0.262364E-001            NaN  0.425955        1.51079                 NaN            NaN
  1255.01        2500.00        96.8943        1.06593                 NaN            NaN  0.114131                 NaN  0.435000        1.49068                 NaN            NaN
  1253.86        2500.00        96.8908       0.497912E-001   1.01280                 NaN  0.141289                 NaN  0.425487        1.47983                 NaN            NaN
  1252.71        2500.00        96.9951       0.304167       0.549197                 NaN  0.255704                 NaN  0.393386        1.50245                 NaN            NaN
  1251.56        2500.00        95.3429        1.14922       0.963913E-001            NaN  0.287509                 NaN  0.690830        2.43319                 NaN            NaN
  1250.42        2500.00        98.0276       0.555784E-001   1.02963                 NaN            NaN            NaN  0.245642       0.641568                 NaN            NaN
  1249.27        2500.00        97.6772       0.727614       0.633511E-002            NaN  0.124745                 NaN  0.302472        1.16162                 NaN            NaN
  1248.12        2500.00        96.8759        1.13707                 NaN            NaN  0.180770E-001            NaN  0.407902        1.56104                 NaN            NaN
  1246.97        2500.00        97.4826       0.530884                 NaN            NaN            NaN            NaN  0.338808        1.52415       0.123590                 NaN
  1245.82        2500.00        96.3987       0.144292        1.48861                 NaN            NaN            NaN  0.488437        1.47270       0.725372E-002            NaN
  1244.67        2500.00        98.5363       0.408874       0.266327                 NaN  0.352381E-001            NaN  0.202660       0.550597                 NaN            NaN
  1243.52        2500.00        95.2228        1.64433                 NaN            NaN            NaN            NaN  0.676336        2.29543       0.161095                 NaN
  1242.38        2500.00        99.4658       0.169517                 NaN            NaN            NaN            NaN  0.244569E-001  0.340270                 NaN            NaN
  1241.23        2500.00        98.2541       0.637901                 NaN            NaN            NaN            NaN  0.229323       0.858713       0.199593E-001            NaN
  1240.08        2500.00        97.3416       0.964922                 NaN            NaN            NaN            NaN  0.357192        1.27363       0.626797E-001            NaN
  1238.93        2500.00        96.0223       0.764755       0.573195                 NaN            NaN            NaN  0.556565        1.94774       0.135448                 NaN
  1237.78        2500.00        96.2771       0.656875                 NaN            NaN            NaN            NaN  0.404627        2.53403       0.127373                 NaN
  1236.63        2500.00        98.9912       0.859760                 NaN            NaN            NaN            NaN  0.149011                 NaN            NaN            NaN
  1235.48        2500.00        97.7141       0.927248                 NaN            NaN            NaN            NaN  0.355683        1.00299                 NaN            NaN
  1234.33        2500.00        97.4935       0.684015       0.251047                 NaN            NaN            NaN  0.323338        1.13212       0.115929                 NaN
  1233.19        2500.00        98.0060       0.608425       0.159747E-001            NaN            NaN            NaN  0.233343        1.13015       0.606515E-002            NaN
  1232.04        2500.00        99.4671       0.293719                 NaN            NaN            NaN            NaN  0.224794E-001  0.189886       0.268021E-001            NaN
  1230.89        2500.00        97.8840       0.814452                 NaN            NaN            NaN            NaN  0.303938       0.945636       0.519463E-001            NaN
  1229.74        2500.00        97.8630       0.765929                 NaN            NaN            NaN            NaN  0.266451        1.07428       0.303601E-001            NaN
  1228.59        2500.00        97.9805       0.707214                 NaN            NaN            NaN            NaN  0.298776       0.953872       0.596512E-001            NaN
  1227.44        2500.00        97.2508        1.01427                 NaN            NaN            NaN            NaN  0.364565        1.31615       0.541726E-001            NaN
  1226.29        2500.00        98.9166       0.103243                 NaN            NaN            NaN            NaN            NaN  0.837889       0.347854E-001  0.107470     
  1225.14        2500.00        90.9518        2.02834                 NaN            NaN            NaN            NaN  0.973710        3.72861       0.895927E-001   2.22793     
  1224.00        2500.00        16.3135        14.6776                 NaN            NaN            NaN            NaN   7.44778        35.8919       0.910732        24.7585     
  1222.85        2500.00                 NaN   12.1857        4.99382                 NaN            NaN            NaN   8.75418        43.1033        1.10197        29.8610     
  1221.70        2500.00                 NaN   12.4271        4.75266                 NaN            NaN            NaN   8.75912        43.0992        1.10139        29.8606     
  1220.55        2500.00                 NaN   12.6733        4.50660                 NaN            NaN            NaN   8.76407        43.0951        1.10079        29.8601     
  1219.40        2500.00                 NaN   12.9217        4.25835                 NaN            NaN            NaN   8.76903        43.0911        1.10020        29.8596     
  1218.25        2500.00                 NaN   13.1721        4.00813                 NaN            NaN            NaN   8.77399        43.0870        1.09959        29.8592     
  1217.10        2500.00                 NaN   17.1875                 NaN            NaN            NaN            NaN   8.78555        43.0722        1.09588        29.8588     
  1215.95        2500.00                 NaN   17.1874                 NaN            NaN            NaN            NaN   8.79031        43.0686        1.09541        29.8584     
  1214.81        2500.00                 NaN   17.1878                 NaN            NaN            NaN            NaN   8.79465        43.0648        1.09481        29.8579     
  1213.66        2500.00                 NaN   17.1991                 NaN            NaN            NaN            NaN   8.79952        43.0500        1.09091        29.8604     
  1212.51        2500.00                 NaN   17.1874                 NaN            NaN            NaN            NaN   8.80471        43.0571        1.09385        29.8570     
  1211.36        2500.00                 NaN   17.2053                 NaN            NaN            NaN            NaN   8.80734        43.0394        1.08781        29.8602     
  1210.21        2500.00                 NaN   14.8802        2.30218                 NaN            NaN            NaN   8.80820        43.0583        1.09501        29.8561     
  1209.06        2500.00                 NaN   15.1188        2.06392                 NaN            NaN            NaN   8.81353        43.0539        1.09428        29.8556     
  1207.91        2500.00                 NaN   15.3553        1.82844                 NaN            NaN            NaN   8.81961        43.0482        1.09331        29.8552     
  1206.77        2500.00                 NaN   17.2035                 NaN            NaN            NaN            NaN   8.82999        43.0228        1.08609        29.8576     
  1205.62        2500.00                 NaN   17.1907                 NaN            NaN            NaN            NaN   8.83297        43.0310        1.09025        29.8551     
  1204.47        2500.00                 NaN   17.1828                 NaN            NaN            NaN            NaN   8.83797        43.0362        1.09002        29.8530     
  1203.32        2500.00                 NaN   17.1803                 NaN            NaN            NaN            NaN   8.84705        43.0312        1.08964        29.8518     
  1202.17        2500.00                 NaN   16.8133       0.370281                 NaN            NaN            NaN   8.85204        43.0211        1.09012        29.8531     
  1201.02        2500.00                 NaN   17.1835                 NaN            NaN            NaN            NaN   8.84832        43.0313        1.08803        29.8488     
  1199.87        2500.00                 NaN   17.2027                 NaN            NaN            NaN            NaN   8.85733        43.0036        1.08179        29.8546     
  1198.72        2500.00                 NaN  0.960526E-001   17.1123                 NaN            NaN            NaN   8.86651        42.9918        1.07933        29.8540     
  1197.58        2500.00                 NaN   16.6179       0.591953                 NaN            NaN            NaN   8.86676        42.9883        1.07989        29.8551     
