|6.6.6
Archiving\03_Data\eqfrac/QFM_m0.75/EETA/EETA_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Opx(TH)        Sp(TH)         O(HP)          an             San(TH)        ilm            q             
  1326.23        2500.00        99.2194       0.320247       0.896813E-001            NaN  0.733326E-001  0.596643E-001  0.237652                 NaN            NaN            NaN
  1325.08        2500.00        99.2259       0.900691E-001  0.317951                 NaN  0.731505E-001  0.575654E-001  0.235397                 NaN            NaN            NaN
  1323.93        2500.00        99.2329       0.315480       0.897766E-001            NaN  0.728315E-001  0.559674E-001  0.233085                 NaN            NaN            NaN
  1322.78        2500.00        99.2397       0.906153E-001  0.312563                 NaN  0.723113E-001  0.540095E-001  0.230796                 NaN            NaN            NaN
  1321.64        2500.00        99.2473       0.309506       0.900966E-001            NaN  0.717455E-001  0.528872E-001  0.228442                 NaN            NaN            NaN
  1320.49        2500.00        99.2549       0.911535E-001  0.305657                 NaN  0.709153E-001  0.512710E-001  0.226075                 NaN            NaN            NaN
  1319.34        2500.00        99.2624       0.302179       0.916071E-001            NaN  0.703128E-001  0.497916E-001  0.223753                 NaN            NaN            NaN
  1318.19        2500.00        99.2695       0.299215       0.918587E-001            NaN  0.696197E-001  0.483304E-001  0.221495                 NaN            NaN            NaN
  1317.04        2500.00        99.2768       0.295293       0.929946E-001            NaN  0.687523E-001  0.469303E-001  0.219269                 NaN            NaN            NaN
  1315.89        2500.00        99.2840       0.292405       0.929024E-001            NaN  0.681806E-001  0.455695E-001  0.216988                 NaN            NaN            NaN
  1314.74        2500.00        99.2909       0.934919E-001  0.288782                 NaN  0.673694E-001  0.444917E-001  0.214998                 NaN            NaN            NaN
  1313.59        2500.00        99.2985       0.285301       0.946694E-001            NaN  0.666010E-001  0.425990E-001  0.212369                 NaN            NaN            NaN
  1312.45        2500.00        99.3052       0.953094E-001  0.281719                 NaN  0.658217E-001  0.415059E-001  0.210419                 NaN            NaN            NaN
  1311.30        2500.00        99.3122       0.964217E-001  0.277997                 NaN  0.650141E-001  0.401223E-001  0.208289                 NaN            NaN            NaN
  1310.15        2500.00        99.3191       0.971679E-001  0.274409                 NaN  0.641860E-001  0.389134E-001  0.206187                 NaN            NaN            NaN
  1309.00        2500.00        99.3253       0.271327       0.983541E-001            NaN  0.635448E-001  0.373153E-001  0.204193                 NaN            NaN            NaN
  1307.85        2500.00        99.3328       0.267187       0.991733E-001            NaN  0.626045E-001  0.362683E-001  0.201996                 NaN            NaN            NaN
  1306.70        2500.00        99.3397       0.263380       0.999836E-001            NaN  0.618238E-001  0.351761E-001  0.199936                 NaN            NaN            NaN
  1305.55        2500.00        99.3458       0.260107       0.101487                 NaN  0.610988E-001  0.335412E-001  0.197962                 NaN            NaN            NaN
  1304.40        2500.00        99.3524       0.102451       0.256395                 NaN  0.602842E-001  0.324414E-001  0.195980                 NaN            NaN            NaN
  1303.26        2500.00        99.3589       0.253126       0.103126                 NaN  0.595806E-001  0.312180E-001  0.194068                 NaN            NaN            NaN
  1302.11        2500.00        99.3651       0.249046       0.105224                 NaN  0.587437E-001  0.298040E-001  0.192090                 NaN            NaN            NaN
  1300.96        2500.00        99.3697       0.245231       0.108027                 NaN  0.581176E-001  0.281204E-001  0.190771                 NaN            NaN            NaN
  1299.81        2500.00        99.3783       0.107317       0.242125                 NaN  0.572040E-001  0.271797E-001  0.187876                 NaN            NaN            NaN
  1298.66        2500.00        99.3831       0.109120       0.238692                 NaN  0.565382E-001  0.259749E-001  0.186589                 NaN            NaN            NaN
  1297.51        2500.00        99.3890       0.234843       0.110936                 NaN  0.558166E-001  0.245773E-001  0.184793                 NaN            NaN            NaN
  1296.36        2500.00        96.9858       0.592105       0.211493                 NaN  0.173163       0.705893E-001  0.492301        1.47453                 NaN            NaN
  1295.22        2500.00        71.0397        4.30108        1.69521                 NaN   1.41330       0.429347        3.81490        17.3064                 NaN            NaN
  1294.07        2500.00        76.8842        3.32877        1.63976                 NaN   1.10953       0.254914        3.06113        13.7217                 NaN            NaN
  1292.92        2500.00        80.8260        2.67347        1.57848                 NaN  0.905832       0.149856        2.55215        11.3142                 NaN            NaN
  1291.77        2500.00        83.6119        2.20972        1.52772                 NaN  0.762029       0.803216E-001   2.19258        9.61571                 NaN            NaN
  1290.62        2500.00        85.6881        1.86092        1.48731                 NaN  0.655383       0.309150E-001   1.92385        8.35355                 NaN            NaN
  1289.47        2500.00        87.3061        1.42623        1.59872                 NaN  0.571802       0.686336E-002   1.71557        7.37474                 NaN            NaN
  1288.32        2500.00        88.6042        1.35367        1.39575                 NaN  0.503652       0.107819E-004   1.54982        6.59293                 NaN            NaN
  1287.17        2500.00        89.4628        1.14211        1.33076                 NaN  0.445434       0.813613E-001   1.45645        6.08112                 NaN            NaN
  1286.03        2500.00        90.6160        1.20048        1.09636                 NaN  0.400758                 NaN   1.29169        5.39470                 NaN            NaN
  1284.88        2500.00        91.1772        1.20785       0.973618                 NaN  0.357571                 NaN   1.22476        5.05899                 NaN            NaN
  1283.73        2500.00        88.4399        1.16930        1.57683                 NaN  0.414778                 NaN   1.62161        6.77759                 NaN            NaN
  1282.58        2500.00        77.5887        4.25284                 NaN            NaN  0.676137        1.29892        3.33551        12.8141       0.337884E-001            NaN
  1281.43        2500.00        99.9156                 NaN            NaN            NaN  0.844050E-001            NaN            NaN            NaN            NaN            NaN
  1280.28        2500.00        99.8740                 NaN            NaN            NaN  0.283438E-001            NaN  0.976980E-001            NaN            NaN            NaN
  1279.13        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1277.98        2500.00        98.1386       0.197649       0.271852                 NaN  0.881395E-001            NaN  0.212660        1.09113                 NaN            NaN
  1276.84        2500.00        95.9339       0.694697       0.353724                 NaN  0.180865                 NaN  0.563536        2.27328                 NaN            NaN
  1275.69        2500.00        91.3527        1.47937       0.105145E-001            NaN  0.550916                 NaN   1.24982        5.35663                 NaN            NaN
  1274.54        2500.00        97.0455        1.37693                 NaN            NaN            NaN            NaN  0.425359        1.15221                 NaN            NaN
  1273.39        2500.00        96.1671        1.16762                 NaN            NaN  0.204414E-001            NaN  0.553552        2.09125                 NaN            NaN
  1272.24        2500.00        96.4684       0.611314       0.313477                 NaN  0.112138                 NaN  0.490823        2.00383                 NaN            NaN
  1271.09        2500.00        95.5166       0.825176       0.351947                 NaN  0.153854                 NaN  0.650070        2.50232                 NaN            NaN
  1269.94        2500.00        95.7581       0.869470       0.259533                 NaN  0.139040                 NaN  0.617081        2.35674                 NaN            NaN
  1268.80        2500.00        94.2327        1.50131                 NaN            NaN  0.163586                 NaN  0.860115        3.24229                 NaN            NaN
  1267.65        2500.00        97.5706       0.298579       0.420923                 NaN  0.815095E-001            NaN  0.341702        1.28667                 NaN            NaN
  1266.50        2500.00        96.1198       0.268038       0.745092                 NaN  0.133705                 NaN  0.562546        2.17082                 NaN            NaN
  1265.35        2500.00        96.6512       0.345654       0.514830                 NaN  0.136785                 NaN  0.478422        1.87311                 NaN            NaN
  1264.20        2500.00        93.0151       0.392173        1.37497                 NaN  0.361504                 NaN   1.10486        3.75137                 NaN            NaN
  1263.05        2500.00        92.3312       0.817424        1.06578                 NaN  0.191991                 NaN   1.03346        4.56014                 NaN            NaN
  1261.90        2500.00        99.7110                 NaN            NaN            NaN            NaN            NaN  0.290135E-001  0.260035                 NaN            NaN
  1260.75        2500.00        99.8922       0.712659E-001  0.461689E-002            NaN  0.308451E-001            NaN  0.107607E-002            NaN            NaN            NaN
  1259.61        2500.00        97.8007       0.736321                 NaN            NaN            NaN            NaN  0.351542        1.11148                 NaN            NaN
  1258.46        2500.00        98.2569       0.491906E-001  0.479284                 NaN  0.583866E-001            NaN  0.255357       0.900834                 NaN            NaN
  1257.31        2500.00        97.0484       0.528091       0.106190                 NaN  0.172945                 NaN  0.446107        1.69831                 NaN            NaN
  1256.16        2500.00        97.0650       0.958533                 NaN            NaN  0.144972E-001            NaN  0.406766        1.55520                 NaN            NaN
  1255.01        2500.00        97.2275       0.762876                 NaN            NaN  0.629771E-001            NaN  0.414702        1.53193                 NaN            NaN
  1253.86        2500.00        97.2331       0.363304E-001  0.728526                 NaN  0.778668E-001            NaN  0.405082        1.51905                 NaN            NaN
  1252.71        2500.00        97.3204       0.223940       0.400818                 NaN  0.140730                 NaN  0.373906        1.54024                 NaN            NaN
  1251.56        2500.00        95.8105       0.811342       0.704998E-001            NaN  0.158135                 NaN  0.656251        2.49332                 NaN            NaN
  1250.42        2500.00        98.3377       0.406452E-001  0.733713                 NaN            NaN            NaN  0.232572       0.655367                 NaN            NaN
  1249.27        2500.00        97.9300       0.526953       0.447168E-002            NaN  0.682465E-001            NaN  0.285918        1.18436                 NaN            NaN
  1248.12        2500.00        97.2198       0.793484                 NaN            NaN  0.989751E-002            NaN  0.385377        1.59148                 NaN            NaN
  1246.97        2500.00        97.6884       0.375330                 NaN            NaN            NaN            NaN  0.319453        1.54878       0.680332E-001            NaN
  1245.82        2500.00        96.8766       0.104657        1.05612                 NaN            NaN            NaN  0.460774        1.49789       0.399502E-002            NaN
  1244.67        2500.00        98.7491       0.295467       0.187255                 NaN  0.191908E-001            NaN  0.190447       0.558508                 NaN            NaN
  1243.52        2500.00        95.7847        1.15936                 NaN            NaN            NaN            NaN  0.636246        2.33117       0.884727E-001            NaN
  1242.38        2500.00        99.5149       0.118519                 NaN            NaN            NaN            NaN  0.228795E-001  0.343721                 NaN            NaN
  1241.23        2500.00        98.4580       0.448557                 NaN            NaN            NaN            NaN  0.214684       0.867824       0.109081E-001            NaN
  1240.08        2500.00        97.6676       0.676831                 NaN            NaN            NaN            NaN  0.334294        1.28698       0.342451E-001            NaN
  1238.93        2500.00        96.4924       0.531596       0.413006                 NaN            NaN            NaN  0.520524        1.96856       0.739495E-001            NaN
  1237.78        2500.00        96.5527       0.450066                 NaN            NaN            NaN            NaN  0.377393        2.55044       0.693499E-001            NaN
  1236.63        2500.00        99.2606       0.600719                 NaN            NaN            NaN            NaN  0.138704                 NaN            NaN            NaN
  1235.48        2500.00        98.0233       0.638388                 NaN            NaN            NaN            NaN  0.330687        1.00764                 NaN            NaN
  1234.33        2500.00        97.8403       0.485903       0.174578                 NaN            NaN            NaN  0.300194        1.13616       0.628277E-001            NaN
  1233.19        2500.00        98.2225       0.415611       0.110830E-001            NaN            NaN            NaN  0.216135        1.13138       0.327927E-002            NaN
  1232.04        2500.00        99.5668       0.208243                 NaN            NaN            NaN            NaN  0.207851E-001  0.189690       0.144655E-001            NaN
  1230.89        2500.00        98.1783       0.566902                 NaN            NaN            NaN            NaN  0.281146       0.945575       0.280476E-001            NaN
  1229.74        2500.00        98.1385       0.526679                 NaN            NaN            NaN            NaN  0.246068        1.07242       0.163654E-001            NaN
  1228.59        2500.00        98.2586       0.482630                 NaN            NaN            NaN            NaN  0.275497       0.951216       0.321048E-001            NaN
  1227.44        2500.00        97.6261       0.698179                 NaN            NaN            NaN            NaN  0.335801        1.31080       0.291246E-001            NaN
  1226.29        2500.00        98.9718       0.714879E-001            NaN            NaN            NaN            NaN            NaN  0.832474       0.186421E-001  0.105591     
  1225.14        2500.00        91.7147        1.40588                 NaN            NaN            NaN            NaN  0.899656        3.72869       0.483148E-001   2.20276     
  1224.00        2500.00        17.4321        10.7616                 NaN            NaN            NaN            NaN   7.28463        38.0877       0.519906        25.9141     
  1222.85        2500.00                 NaN   9.07288        3.68399                 NaN            NaN            NaN   8.66465        46.3132       0.636581        31.6287     
  1221.70        2500.00                 NaN   9.25150        3.50554                 NaN            NaN            NaN   8.66951        46.3084       0.636230        31.6288     
  1220.55        2500.00                 NaN   9.43372        3.32351                 NaN            NaN            NaN   8.67438        46.3035       0.635876        31.6290     
  1219.40        2500.00                 NaN   9.61754        3.13989                 NaN            NaN            NaN   8.67926        46.2986       0.635520        31.6291     
  1218.25        2500.00                 NaN   9.80280        2.95485                 NaN            NaN            NaN   8.68415        46.2937       0.635158        31.6293     
  1217.10        2500.00                 NaN   12.7644                 NaN            NaN            NaN            NaN   8.69558        46.2774       0.633004        31.6297     
  1215.95        2500.00                 NaN   12.7642                 NaN            NaN            NaN            NaN   8.70026        46.2730       0.632724        31.6298     
  1214.81        2500.00                 NaN   12.7646                 NaN            NaN            NaN            NaN   8.70453        46.2685       0.632367        31.6300     
  1213.66        2500.00                 NaN   12.7744                 NaN            NaN            NaN            NaN   8.70940        46.2525       0.630104        31.6336     
  1212.51        2500.00                 NaN   12.7643                 NaN            NaN            NaN            NaN   8.71443        46.2592       0.631787        31.6303     
  1211.36        2500.00                 NaN   12.7794                 NaN            NaN            NaN            NaN   8.71714        46.2403       0.628298        31.6348     
  1210.21        2500.00                 NaN   11.0651        1.69460                 NaN            NaN            NaN   8.71782        46.2594       0.632435        31.6306     
  1209.06        2500.00                 NaN   11.2412        1.51878                 NaN            NaN            NaN   8.72306        46.2542       0.632002        31.6307     
  1207.91        2500.00                 NaN   11.4158        1.34512                 NaN            NaN            NaN   8.72906        46.2476       0.631431        31.6310     
  1206.77        2500.00                 NaN   12.7782                 NaN            NaN            NaN            NaN   8.73942        46.2205       0.627257        31.6347     
  1205.62        2500.00                 NaN   12.7670                 NaN            NaN            NaN            NaN   8.74231        46.2285       0.629645        31.6325     
  1204.47        2500.00                 NaN   12.7612                 NaN            NaN            NaN            NaN   8.74700        46.2322       0.629486        31.6301     
  1203.32        2500.00                 NaN   12.7586                 NaN            NaN            NaN            NaN   8.75597        46.2266       0.629256        31.6295     
  1202.17        2500.00                 NaN   12.4911       0.271308                 NaN            NaN            NaN   8.76094        46.2154       0.629524        31.6318     
  1201.02        2500.00                 NaN   12.7610                 NaN            NaN            NaN            NaN   8.75721        46.2257       0.628304        31.6278     
