|6.6.6
Archiving\03_Data\eqfrac/QFM_m2.5/ALH/ALH_3.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          O(HP)          Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        ne             lc            
  1376.07        2500.00                 NaN   98.9345                 NaN  0.186902                 NaN  0.900393E-001  0.415542       0.373028                 NaN            NaN            NaN            NaN
  1374.65        2500.00                 NaN   98.9512                 NaN  0.182634                 NaN  0.413135       0.874198E-001  0.365564                 NaN            NaN            NaN            NaN
  1373.24        2500.00                 NaN   98.9638                 NaN  0.181024                 NaN  0.407824       0.863909E-001  0.360942                 NaN            NaN            NaN            NaN
  1371.83        2500.00                 NaN   98.9731                 NaN  0.180292                 NaN  0.407538       0.815298E-001  0.357560                 NaN            NaN            NaN            NaN
  1370.41        2500.00                 NaN   98.9837                 NaN  0.179236                 NaN  0.405040       0.782138E-001  0.353850                 NaN            NaN            NaN            NaN
  1369.00        2500.00                 NaN   98.9948                 NaN  0.177988                 NaN  0.402641       0.747868E-001  0.349826                 NaN            NaN            NaN            NaN
  1367.58        2500.00                 NaN   99.0051                 NaN  0.176459                 NaN  0.717683E-001  0.400672       0.345985                 NaN            NaN            NaN            NaN
  1366.17        2500.00                 NaN   99.0144                 NaN  0.175514                 NaN  0.701697E-001  0.397126       0.342783                 NaN            NaN            NaN            NaN
  1364.76        2500.00                 NaN   99.0276                 NaN  0.173110                 NaN  0.669356E-001  0.394763       0.337577                 NaN            NaN            NaN            NaN
  1363.34        2500.00                 NaN   99.0356                 NaN  0.171716                 NaN  0.642921E-001  0.393956       0.334481                 NaN            NaN            NaN            NaN
  1361.93        2500.00                 NaN   99.0446                 NaN  0.170288                 NaN  0.611933E-001  0.392856       0.331059                 NaN            NaN            NaN            NaN
  1360.52        2500.00                 NaN   99.0554                 NaN  0.168590                 NaN  0.596417E-001  0.389360       0.327016                 NaN            NaN            NaN            NaN
  1359.10        2500.00                 NaN   99.0644                 NaN  0.166789                 NaN  0.387535       0.578716E-001  0.323424                 NaN            NaN            NaN            NaN
  1357.69        2500.00                 NaN   99.0736                 NaN  0.165126                 NaN  0.385978       0.552360E-001  0.320018                 NaN            NaN            NaN            NaN
  1356.27        2500.00                 NaN   99.0822                 NaN  0.171777                 NaN  0.372193E-001  0.389845       0.318961                 NaN            NaN            NaN            NaN
  1354.86        2500.00                 NaN   99.0928                 NaN  0.152707                 NaN  0.688593E-001  0.375262       0.310418                 NaN            NaN            NaN            NaN
  1353.45        2500.00                 NaN   99.0998                 NaN  0.159349                 NaN  0.380011       0.511169E-001  0.309729                 NaN            NaN            NaN            NaN
  1352.03        2500.00                 NaN   99.1083                 NaN  0.157450                 NaN  0.378962       0.489572E-001  0.306375                 NaN            NaN            NaN            NaN
  1350.62        2500.00                 NaN   99.1166                 NaN  0.155445                 NaN  0.484156E-001  0.376482       0.303054                 NaN            NaN            NaN            NaN
  1349.20        2500.00                 NaN   99.1250                 NaN  0.153694                 NaN  0.374763       0.465084E-001  0.300012                 NaN            NaN            NaN            NaN
  1347.79        2500.00                 NaN   99.1327                 NaN  0.151248                 NaN  0.372909       0.465765E-001  0.296561                 NaN            NaN            NaN            NaN
  1346.38        2500.00                 NaN   99.1401                 NaN  0.148765                 NaN  0.371645       0.460736E-001  0.293409                 NaN            NaN            NaN            NaN
  1344.96        2500.00                 NaN   99.1453                 NaN  0.146895                 NaN  0.456424E-001  0.371030       0.291160                 NaN            NaN            NaN            NaN
  1343.55        2500.00                 NaN   99.1538                 NaN  0.144926                 NaN  0.434724E-001  0.369912       0.287925                 NaN            NaN            NaN            NaN
  1342.14        2500.00                 NaN   99.1622                 NaN  0.142286                 NaN  0.366232       0.447648E-001  0.284533                 NaN            NaN            NaN            NaN
  1340.72        2500.00                 NaN   99.1702                 NaN  0.139014                 NaN  0.363708       0.462020E-001  0.280851                 NaN            NaN            NaN            NaN
  1339.31        2500.00                 NaN   99.1681                 NaN  0.136966                 NaN  0.361663       0.516579E-001  0.281604                 NaN            NaN            NaN            NaN
  1337.89        2500.00                 NaN   99.1876                 NaN  0.134649                 NaN  0.362997       0.411044E-001  0.273628                 NaN            NaN            NaN            NaN
  1336.48        2500.00                 NaN   99.1773                 NaN  0.132933                 NaN  0.363359       0.493738E-001  0.277021                 NaN            NaN            NaN            NaN
  1335.07        2500.00                 NaN   99.2040                 NaN  0.128984                 NaN  0.356469       0.438237E-001  0.266745                 NaN            NaN            NaN            NaN
  1333.65        2500.00                 NaN   99.2006                 NaN  0.126853                 NaN  0.357808       0.470878E-001  0.267625                 NaN            NaN            NaN            NaN
  1332.24        2500.00                 NaN   99.1851                 NaN  0.134451                 NaN  0.395264                 NaN  0.273364       0.118038E-001            NaN            NaN            NaN
  1330.83        2500.00                 NaN   99.1166                 NaN  0.123868                 NaN  0.425982                 NaN  0.290949       0.425915E-001            NaN            NaN            NaN
  1329.41        2500.00                 NaN   99.1283                 NaN  0.122698                 NaN  0.420059                 NaN  0.287169       0.417714E-001            NaN            NaN            NaN
  1328.00        2500.00                 NaN   99.1395                 NaN  0.121683                 NaN  0.414166                 NaN  0.283606       0.410015E-001            NaN            NaN            NaN
  1326.58        2500.00                 NaN   99.1511                 NaN  0.120606                 NaN  0.408106                 NaN  0.280024       0.402061E-001            NaN            NaN            NaN
  1325.17        2500.00                 NaN   99.1608                 NaN  0.119066                 NaN  0.404032                 NaN  0.276687       0.394541E-001            NaN            NaN            NaN
  1323.76        2500.00                 NaN   99.1706                 NaN  0.117555                 NaN  0.400108                 NaN  0.273043       0.387211E-001            NaN            NaN            NaN
  1322.34        2500.00                 NaN   99.1821                 NaN  0.116185                 NaN  0.394202                 NaN  0.269528       0.379553E-001            NaN            NaN            NaN
  1320.93        2500.00                 NaN   99.1916                 NaN  0.114545                 NaN  0.390315                 NaN  0.266343       0.372032E-001            NaN            NaN            NaN
  1319.52        2500.00                 NaN   99.1954                 NaN  0.112604                 NaN  0.387745                 NaN  0.267143       0.371470E-001            NaN            NaN            NaN
  1318.10        2500.00                 NaN   99.2165                 NaN  0.109583                 NaN  0.383287                 NaN  0.255608       0.350623E-001            NaN            NaN            NaN
  1316.69        2500.00                 NaN   99.2201                 NaN  0.109350                 NaN  0.378874                 NaN  0.256635       0.350593E-001            NaN            NaN            NaN
  1315.27        2500.00                 NaN   99.2289                 NaN  0.107347                 NaN  0.375742                 NaN  0.253708       0.343180E-001            NaN            NaN            NaN
  1313.86        2500.00                 NaN   99.2382                 NaN  0.105862                 NaN  0.371831                 NaN  0.250412       0.336567E-001            NaN            NaN            NaN
  1312.45        2500.00                 NaN   99.2471                 NaN  0.104745                 NaN  0.367562                 NaN  0.247578       0.330317E-001            NaN            NaN            NaN
  1311.03        2500.00                 NaN   99.2560                 NaN  0.102344                 NaN  0.364907                 NaN  0.244425       0.323349E-001            NaN            NaN            NaN
  1309.62        2500.00                 NaN   99.2643                 NaN  0.101233                 NaN  0.361096                 NaN  0.241631       0.317288E-001            NaN            NaN            NaN
  1308.21        2500.00                 NaN   99.2714                 NaN  0.983275E-001            NaN  0.360321                 NaN  0.238925       0.310221E-001            NaN            NaN            NaN
  1306.79        2500.00                 NaN   99.2799                 NaN  0.971342E-001            NaN  0.356463                 NaN  0.236092       0.304136E-001            NaN            NaN            NaN
  1305.38        2500.00                 NaN   99.2874                 NaN  0.943067E-001            NaN  0.355094                 NaN  0.233425       0.297250E-001            NaN            NaN            NaN
  1303.96        2500.00                 NaN   99.2963                 NaN  0.944150E-001            NaN  0.349457                 NaN  0.230592       0.292396E-001            NaN            NaN            NaN
  1302.55        2500.00                 NaN   99.3019                 NaN  0.912675E-001            NaN  0.349761                 NaN  0.228459       0.285622E-001            NaN            NaN            NaN
  1301.14        2500.00                 NaN   87.7233                 NaN  0.755672                 NaN   2.09797                 NaN   1.75695       0.300638        7.36545                 NaN            NaN
  1299.72        2500.00                 NaN   75.5147                 NaN   1.55566                 NaN   3.84008                 NaN   3.36054       0.583401        15.1457                 NaN            NaN
  1298.31        2500.00                 NaN   78.8126                 NaN   1.40488                 NaN   3.30716                 NaN   2.91657       0.499846        13.0589                 NaN            NaN
  1296.89        2500.00                 NaN   81.7322                 NaN   1.24845                 NaN   2.85394                 NaN   2.52349       0.426835        11.2150                 NaN            NaN
  1295.48        2500.00                 NaN   84.1611                 NaN   1.10928                 NaN   2.48437                 NaN   2.19693       0.366717        9.68163                 NaN            NaN
  1294.07        2500.00       0.670756        82.6493                 NaN  0.802021                 NaN   2.94618                 NaN   2.32622                 NaN   10.6055                 NaN            NaN
  1292.65        2500.00       0.637122        84.0818                 NaN  0.730004                 NaN   2.71315                 NaN   2.13255                 NaN   9.70534                 NaN            NaN
  1291.24        2500.00       0.553412        86.1583                 NaN  0.652220                 NaN   2.34856                 NaN   1.85507                 NaN   8.43248                 NaN            NaN
  1289.83        2500.00       0.473941        87.9868                 NaN  0.574921                 NaN   2.07120                 NaN   1.61674                 NaN   7.27641                 NaN            NaN
  1288.41        2500.00       0.411348        89.4883                 NaN  0.525565                 NaN   1.81061                 NaN   1.41901                 NaN   6.34521                 NaN            NaN
  1287.00        2500.00       0.367705        90.5521                 NaN  0.476461                 NaN   1.64532                 NaN   1.27980                 NaN   5.67861                 NaN            NaN
  1285.58        2500.00       0.335565        91.3745                 NaN  0.441046                 NaN   1.50454                 NaN   1.17363                 NaN   5.17069                 NaN            NaN
  1284.17        2500.00       0.297493        92.2797                 NaN  0.403204                 NaN   1.37347                 NaN   1.05094                 NaN   4.59522                 NaN            NaN
