|6.6.6
Archiving\03_Data\DeqfracLP/QFM_m1.25/YM20/YM20_3.tab                   
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q              hed           
  1511.79        500.000        99.4762       0.523824                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.34        500.000        99.4788       0.521238                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.89        500.000        99.4806       0.519386                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.43        500.000        99.4855       0.514495                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.98        500.000        99.4888       0.511208       0.275225E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.52        500.000        99.4895       0.510514                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.07        500.000        99.4935       0.506504                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.62        500.000        99.4943       0.502129       0.357775E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.16        500.000        99.5021       0.497936                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.71        500.000        99.5018       0.498221                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.25        500.000        99.5041       0.495863       0.142278E-004            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.80        500.000        99.5100       0.489978                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.35        500.000        99.5106       0.489397                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1492.89        500.000        99.5123       0.487718                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.44        500.000        99.5163       0.483663                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.98        500.000        99.5203       0.479731                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1488.53        500.000        99.5205       0.479463                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.08        500.000        99.5237       0.476283                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.62        500.000        99.5269       0.473099                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.17        500.000        99.9232       0.768104E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.71        500.000        99.1365       0.863531                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1481.26        500.000        99.5329       0.467101                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1479.81        500.000        99.5278       0.433660                 NaN  0.385180E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1478.35        500.000        99.4041       0.867451E-001            NaN  0.509123                 NaN            NaN            NaN            NaN            NaN            NaN
  1476.90        500.000        99.3836                 NaN            NaN  0.616402                 NaN            NaN            NaN            NaN            NaN            NaN
  1475.44        500.000        99.3814                 NaN            NaN  0.618641                 NaN            NaN            NaN            NaN            NaN            NaN
  1473.99        500.000        99.2552                 NaN            NaN  0.176474       0.568361                 NaN            NaN            NaN            NaN            NaN
  1472.54        500.000        98.9521                 NaN            NaN  0.623012       0.424876                 NaN            NaN            NaN            NaN            NaN
  1471.08        500.000        98.9624                 NaN            NaN  0.420114       0.617459                 NaN            NaN            NaN            NaN            NaN
  1469.63        500.000        98.9753                 NaN            NaN  0.413822       0.610889                 NaN            NaN            NaN            NaN            NaN
  1468.18        500.000        98.9845                 NaN            NaN  0.409574       0.605934                 NaN            NaN            NaN            NaN            NaN
  1466.72        500.000        98.9969                 NaN            NaN  0.404167       0.598905                 NaN            NaN            NaN            NaN            NaN
  1465.27        500.000        99.0058                 NaN            NaN  0.594323       0.399848                 NaN            NaN            NaN            NaN            NaN
  1463.81        500.000        99.0166                 NaN            NaN  0.394831       0.588613                 NaN            NaN            NaN            NaN            NaN
  1462.36        500.000        99.0254                 NaN            NaN  0.583811       0.390744                 NaN            NaN            NaN            NaN            NaN
  1460.91        500.000        99.0356                 NaN            NaN  0.578975       0.385398                 NaN            NaN            NaN            NaN            NaN
  1459.45        500.000        99.0460                 NaN            NaN  0.573097       0.380866                 NaN            NaN            NaN            NaN            NaN
  1458.00        500.000        99.0552                 NaN            NaN  0.376238       0.568535                 NaN            NaN            NaN            NaN            NaN
  1456.54        500.000        99.0645                 NaN            NaN  0.371812       0.563699                 NaN            NaN            NaN            NaN            NaN
  1455.09        500.000        99.0744                 NaN            NaN  0.367769       0.557822                 NaN            NaN            NaN            NaN            NaN
  1453.64        500.000        99.0830                 NaN            NaN  0.554338       0.362676                 NaN            NaN            NaN            NaN            NaN
  1452.18        500.000        99.0914                 NaN            NaN  0.548961       0.359599                 NaN            NaN            NaN            NaN            NaN
  1450.73        500.000        99.1001                 NaN            NaN  0.544579       0.355334                 NaN            NaN            NaN            NaN            NaN
  1449.27        500.000        99.1072                 NaN            NaN  0.542153       0.350658                 NaN            NaN            NaN            NaN            NaN
  1447.82        500.000        99.1186                 NaN            NaN  0.346709       0.534660                 NaN            NaN            NaN            NaN            NaN
  1446.37        500.000        99.1254                 NaN            NaN  0.531116       0.343469                 NaN            NaN            NaN            NaN            NaN
  1444.91        500.000        99.1336                 NaN            NaN  0.526512       0.339897                 NaN            NaN            NaN            NaN            NaN
  1443.46        500.000        98.0755                 NaN            NaN  0.770344       0.684624       0.469552                 NaN            NaN            NaN            NaN
  1442.00        500.000        97.0427                 NaN            NaN   1.19028       0.832626       0.934356                 NaN            NaN            NaN            NaN
  1440.55        500.000        97.1169                 NaN            NaN   1.15889       0.812581       0.911658                 NaN            NaN            NaN            NaN
  1439.10        500.000        97.1937                 NaN            NaN   1.12714       0.791468       0.887690                 NaN            NaN            NaN            NaN
  1437.64        500.000        97.2609                 NaN            NaN   1.09956       0.772422       0.867136                 NaN            NaN            NaN            NaN
  1436.19        500.000        97.3295                 NaN            NaN   1.07087       0.753615       0.845973                 NaN            NaN            NaN            NaN
  1434.73        500.000        97.3953                 NaN            NaN  0.736035        1.04328       0.825403                 NaN            NaN            NaN            NaN
  1433.28        500.000        97.4524                 NaN            NaN  0.720627        1.01903       0.807905                 NaN            NaN            NaN            NaN
  1431.83        500.000        97.5169                 NaN            NaN  0.703126       0.992354       0.787588                 NaN            NaN            NaN            NaN
  1430.37        500.000        97.5735                 NaN            NaN  0.687215       0.969311       0.769971                 NaN            NaN            NaN            NaN
  1428.92        500.000        97.6265                 NaN            NaN  0.947549       0.672469       0.753478                 NaN            NaN            NaN            NaN
  1427.46        500.000        97.6735                 NaN            NaN  0.659432       0.927873       0.739229                 NaN            NaN            NaN            NaN
  1426.01        500.000        97.7368                 NaN            NaN  0.902841       0.641323       0.719033                 NaN            NaN            NaN            NaN
  1424.56        500.000        97.7789                 NaN            NaN  0.885203       0.630034       0.705854                 NaN            NaN            NaN            NaN
  1423.10        500.000        97.8242                 NaN            NaN  0.617375       0.866564       0.691819                 NaN            NaN            NaN            NaN
  1421.65        500.000        97.8710                 NaN            NaN  0.847695       0.604398       0.676954                 NaN            NaN            NaN            NaN
  1420.19        500.000        97.9161                 NaN            NaN  0.829644       0.591418       0.662788                 NaN            NaN            NaN            NaN
  1418.74        500.000        97.9572                 NaN            NaN  0.812826       0.580032       0.649906                 NaN            NaN            NaN            NaN
  1417.29        500.000        97.9955                 NaN            NaN  0.797668       0.568422       0.638362                 NaN            NaN            NaN            NaN
  1415.83        500.000        98.0371                 NaN            NaN  0.558124       0.780012       0.624765                 NaN            NaN            NaN            NaN
  1414.38        500.000        98.0755                 NaN            NaN  0.765555       0.546551       0.612378                 NaN            NaN            NaN            NaN
  1412.92        500.000        98.1104                 NaN            NaN  0.536560       0.751480       0.601608                 NaN            NaN            NaN            NaN
  1411.47        500.000        98.1488                 NaN            NaN  0.525627       0.736245       0.589359                 NaN            NaN            NaN            NaN
  1410.02        500.000        98.1810                 NaN            NaN  0.516497       0.723436       0.579018                 NaN            NaN            NaN            NaN
  1408.56        500.000        98.2108                 NaN            NaN  0.711745       0.507759       0.569735                 NaN            NaN            NaN            NaN
  1407.11        500.000        98.2482                 NaN            NaN  0.696721       0.497498       0.557571                 NaN            NaN            NaN            NaN
  1405.65        500.000        98.2777                 NaN            NaN  0.488751       0.685145       0.548387                 NaN            NaN            NaN            NaN
  1404.20        500.000        98.3086                 NaN            NaN  0.673185       0.479718       0.538471                 NaN            NaN            NaN            NaN
  1402.75        500.000        98.3364                 NaN            NaN  0.471662       0.662165       0.529779                 NaN            NaN            NaN            NaN
  1401.29        500.000        98.3665                 NaN  0.110961E-001  0.633697       0.466646       0.522097                 NaN            NaN            NaN            NaN
  1399.84        500.000        98.4001                 NaN  0.132360       0.435230       0.498068       0.534219                 NaN            NaN            NaN            NaN
  1398.39        500.000        98.4293                 NaN  0.132995       0.490460       0.422239       0.525041                 NaN            NaN            NaN            NaN
  1396.93        500.000        98.4549                 NaN  0.134770       0.483105       0.409480       0.517733                 NaN            NaN            NaN            NaN
  1395.48        500.000        98.4847                 NaN  0.134145       0.397269       0.476224       0.507641                 NaN            NaN            NaN            NaN
  1394.02        500.000        98.5074                 NaN  0.136015       0.384864       0.470778       0.500944                 NaN            NaN            NaN            NaN
  1392.57        500.000        98.5322                 NaN  0.137030       0.464834       0.372470       0.493418                 NaN            NaN            NaN            NaN
  1391.12        500.000        98.5576                 NaN  0.137766       0.458084       0.361344       0.485186                 NaN            NaN            NaN            NaN
  1389.66        500.000        98.5789                 NaN  0.140004       0.348046       0.454148       0.478943                 NaN            NaN            NaN            NaN
  1388.21        500.000        98.6026                 NaN  0.139981       0.447147       0.339020       0.471239                 NaN            NaN            NaN            NaN
  1386.75        500.000        98.6302                 NaN  0.139531       0.439488       0.328681       0.462138                 NaN            NaN            NaN            NaN
  1385.30        500.000        98.6476                 NaN  0.141802       0.435846       0.317573       0.457141                 NaN            NaN            NaN            NaN
  1383.85        500.000        98.6695                 NaN  0.143022       0.306312       0.430531       0.450595                 NaN            NaN            NaN            NaN
  1382.39        500.000        98.6925                 NaN  0.143220       0.424920       0.296375       0.442966                 NaN            NaN            NaN            NaN
  1380.94        500.000        98.7112                 NaN  0.144255       0.286713       0.420644       0.437222                 NaN            NaN            NaN            NaN
  1379.48        500.000        98.7312                 NaN  0.145344       0.276818       0.415722       0.430960                 NaN            NaN            NaN            NaN
  1378.03        500.000        98.7489                 NaN  0.146035       0.268483       0.411316       0.425286                 NaN            NaN            NaN            NaN
  1376.58        500.000        98.7695                 NaN  0.146788       0.406363       0.258483       0.418851                 NaN            NaN            NaN            NaN
  1375.12        500.000        98.7882                 NaN  0.147502       0.401843       0.249600       0.412902                 NaN            NaN            NaN            NaN
  1373.67        500.000        98.8055                 NaN  0.148457       0.240407       0.398159       0.407462                 NaN            NaN            NaN            NaN
  1372.21        500.000        98.8238                 NaN  0.148741       0.232431       0.393419       0.401634                 NaN            NaN            NaN            NaN
  1370.76        500.000        98.8412                 NaN  0.149550       0.223679       0.389484       0.396112                 NaN            NaN            NaN            NaN
  1369.31        500.000        98.8580                 NaN  0.150296       0.215661       0.385229       0.390766                 NaN            NaN            NaN            NaN
  1367.85        500.000        98.8733                 NaN  0.150783       0.381630       0.208437       0.385864                 NaN            NaN            NaN            NaN
  1366.40        500.000        98.8924                 NaN  0.151322       0.377176       0.199393       0.379722                 NaN            NaN            NaN            NaN
  1364.94        500.000        98.9066                 NaN  0.151867       0.373984       0.192288       0.375214                 NaN            NaN            NaN            NaN
  1363.49        500.000        98.9218                 NaN  0.152476       0.370195       0.185182       0.370324                 NaN            NaN            NaN            NaN
  1362.04        500.000        98.9375                 NaN  0.152391       0.178241       0.366622       0.365250                 NaN            NaN            NaN            NaN
  1360.58        500.000        98.9526                 NaN  0.153097       0.362965       0.170872       0.360446                 NaN            NaN            NaN            NaN
  1359.13        500.000        98.9661                 NaN  0.154541       0.163254       0.359562       0.356573                 NaN            NaN            NaN            NaN
  1357.67        500.000        98.9809                 NaN  0.154760       0.356618       0.156328       0.351391                 NaN            NaN            NaN            NaN
  1356.22        500.000        98.9980                 NaN  0.151928       0.350858       0.154092       0.345168                 NaN            NaN            NaN            NaN
  1354.77        500.000        99.0096                 NaN  0.153875       0.349276       0.145446       0.341829                 NaN            NaN            NaN            NaN
  1353.31        500.000        99.0224                 NaN  0.154215       0.346341       0.139270       0.337807                 NaN            NaN            NaN            NaN
  1351.86        500.000        99.0684                 NaN  0.209137       0.389193                 NaN  0.333255                 NaN            NaN            NaN            NaN
  1350.40        500.000        99.0173                 NaN  0.988073E-001  0.294060       0.261190       0.328624                 NaN            NaN            NaN            NaN
  1348.95        500.000        99.0612                 NaN  0.154335       0.336899       0.122651       0.324892                 NaN            NaN            NaN            NaN
  1347.50        500.000        99.0737                 NaN  0.154286       0.333810       0.117411       0.320783                 NaN            NaN            NaN            NaN
  1346.04        500.000        99.0845                 NaN  0.154770       0.331182       0.112208       0.317294                 NaN            NaN            NaN            NaN
  1344.59        500.000        99.1002                 NaN  0.153090       0.327020       0.108005       0.311643                 NaN            NaN            NaN            NaN
  1343.13        500.000        99.1076                 NaN  0.153730       0.103917       0.325409       0.309343                 NaN            NaN            NaN            NaN
  1341.68        500.000        99.1225                 NaN  0.152636       0.321535       0.991688E-001  0.304178                 NaN            NaN            NaN            NaN
  1340.23        500.000        99.1329                 NaN  0.153118       0.937786E-001  0.319241       0.300936                 NaN            NaN            NaN            NaN
  1338.77        500.000        99.1439                 NaN  0.152036       0.910220E-001  0.316051       0.297038                 NaN            NaN            NaN            NaN
  1337.32        500.000        99.1549                 NaN  0.151861       0.313478       0.864032E-001  0.293379                 NaN            NaN            NaN            NaN
  1335.86        500.000        99.1617                 NaN  0.151347       0.843827E-001  0.311713       0.290891                 NaN            NaN            NaN            NaN
  1334.41        500.000        99.1770                 NaN  0.149478       0.306831       0.812490E-001  0.285450                 NaN            NaN            NaN            NaN
  1332.96        500.000        99.1862                 NaN  0.149921       0.761570E-001  0.305116       0.282581                 NaN            NaN            NaN            NaN
  1331.50        500.000        99.1964                 NaN  0.149230       0.302517       0.727786E-001  0.279061                 NaN            NaN            NaN            NaN
  1330.05        500.000        99.2068                 NaN  0.148291       0.299302       0.702599E-001  0.275370                 NaN            NaN            NaN            NaN
  1328.59        500.000        99.2159                 NaN  0.147406       0.296853       0.676979E-001  0.272165                 NaN            NaN            NaN            NaN
  1327.14        500.000        99.2250                 NaN  0.146824       0.294845       0.642743E-001  0.269057                 NaN            NaN            NaN            NaN
  1325.69        500.000        99.2356                 NaN  0.144948       0.633181E-001  0.291045       0.265071                 NaN            NaN            NaN            NaN
  1324.23        500.000        99.2443                 NaN  0.144398       0.605251E-001  0.288715       0.262110                 NaN            NaN            NaN            NaN
  1322.78        500.000        99.2536                 NaN  0.143513       0.580324E-001  0.286050       0.258847                 NaN            NaN            NaN            NaN
  1321.33        500.000        99.2614                 NaN  0.141616       0.283239       0.579391E-001  0.255802                 NaN            NaN            NaN            NaN
  1319.87        500.000        99.2705                 NaN  0.140660       0.555489E-001  0.280722       0.252585                 NaN            NaN            NaN            NaN
  1318.42        500.000        99.2800                 NaN  0.140133       0.277794       0.525297E-001  0.249590                 NaN            NaN            NaN            NaN
  1316.96        500.000        99.2869                 NaN  0.141614       0.277838       0.459826E-001  0.247676                 NaN            NaN            NaN            NaN
  1315.51        500.000        99.2983                 NaN  0.133249       0.270456       0.565132E-001  0.241445                 NaN            NaN            NaN            NaN
  1314.06        500.000        99.3038                 NaN  0.135050       0.269872       0.508429E-001  0.240395                 NaN            NaN            NaN            NaN
  1312.60        500.000        99.3110                 NaN  0.133547       0.501289E-001  0.267583       0.237708                 NaN            NaN            NaN            NaN
  1311.15        500.000        99.3203                 NaN  0.131938       0.264465       0.490281E-001  0.234314                 NaN            NaN            NaN            NaN
  1309.69        500.000        99.3276                 NaN  0.130213       0.261783       0.488619E-001  0.231525                 NaN            NaN            NaN            NaN
  1308.24        500.000        99.3350                 NaN  0.128742       0.259149       0.482659E-001  0.228812                 NaN            NaN            NaN            NaN
  1306.79        500.000        99.3419                 NaN  0.126944       0.256832       0.481870E-001  0.226132                 NaN            NaN            NaN            NaN
  1305.33        500.000        99.3498                 NaN  0.125054       0.253659       0.483089E-001  0.223149                 NaN            NaN            NaN            NaN
  1303.88        500.000        99.3569                 NaN  0.123280       0.485651E-001  0.250777       0.220526                 NaN            NaN            NaN            NaN
  1302.42        500.000        99.3630                 NaN  0.121072       0.248108       0.497885E-001  0.218032                 NaN            NaN            NaN            NaN
  1300.97        500.000        99.3708                 NaN  0.119298       0.245311       0.494929E-001  0.215119                 NaN            NaN            NaN            NaN
  1299.52        500.000        99.3772                 NaN  0.117671       0.242901       0.495286E-001  0.212712                 NaN            NaN            NaN            NaN
  1298.06        500.000        99.3832                 NaN  0.115669       0.239812       0.508084E-001  0.210467                 NaN            NaN            NaN            NaN
  1296.61        500.000        99.3914                 NaN  0.112989       0.236659       0.518994E-001  0.207073                 NaN            NaN            NaN            NaN
  1295.15        500.000        99.3975                 NaN  0.111700       0.234321       0.515301E-001  0.204988                 NaN            NaN            NaN            NaN
  1293.70        500.000        99.4030                 NaN  0.109183       0.231531       0.536679E-001  0.202659                 NaN            NaN            NaN            NaN
  1292.25        500.000        99.4089                 NaN  0.106958       0.553235E-001  0.228499       0.200331                 NaN            NaN            NaN            NaN
  1290.79        500.000        99.4142                 NaN  0.104079       0.225386       0.582782E-001  0.198079                 NaN            NaN            NaN            NaN
  1289.34        500.000        99.4201                 NaN  0.101793       0.222806       0.596990E-001  0.195559                 NaN            NaN            NaN            NaN
  1287.88        500.000        99.4264                 NaN  0.998526E-001  0.607716E-001  0.219721       0.193261                 NaN            NaN            NaN            NaN
  1286.43        500.000        99.4323                 NaN  0.978338E-001  0.619060E-001  0.216959       0.191033                 NaN            NaN            NaN            NaN
  1284.98        500.000        99.4376                 NaN  0.954431E-001  0.641517E-001  0.213913       0.188881                 NaN            NaN            NaN            NaN
  1283.52        500.000        99.4434                 NaN  0.933232E-001  0.211304       0.653294E-001  0.186642                 NaN            NaN            NaN            NaN
  1282.07        500.000        99.4478                 NaN  0.905813E-001  0.208486       0.684590E-001  0.184654                 NaN            NaN            NaN            NaN
  1280.61        500.000        99.4522                 NaN  0.915802E-001  0.651389E-001  0.207161       0.183875                 NaN            NaN            NaN            NaN
  1279.16        500.000        99.4594                 NaN  0.822415E-001  0.799338E-001  0.199232       0.179159                 NaN            NaN            NaN            NaN
  1277.71        500.000        99.4636                 NaN  0.835389E-001  0.199143       0.752840E-001  0.178415                 NaN            NaN            NaN            NaN
  1276.25        500.000        99.3173                 NaN  0.810440E-001  0.206063       0.102908       0.193139       0.995660E-001            NaN            NaN            NaN
  1274.80        500.000        92.9041                 NaN  0.224759E-001   1.29325       0.575240       0.894061        4.31090                 NaN            NaN            NaN
  1273.34        500.000        93.0249                 NaN  0.130017E-001   1.30007       0.549672       0.880063        4.23227                 NaN            NaN            NaN
  1271.89        500.000        93.4153                 NaN  0.623923E-002   1.25639       0.508683       0.836339        3.97703                 NaN            NaN            NaN
  1270.44        500.000        93.7667                 NaN  0.199234E-002   1.21674       0.470755       0.797402        3.74637                 NaN            NaN            NaN
  1268.98        500.000        94.0904                 NaN  0.408965E-005   1.17552       0.436972       0.761141        3.53598                 NaN            NaN            NaN
  1267.53        500.000        94.3816                 NaN            NaN   1.13642       0.406486       0.728696        3.34677                 NaN            NaN            NaN
  1266.07        500.000        94.6550                 NaN  0.462360E-004  0.377325        1.09969       0.697909        3.17006                 NaN            NaN            NaN
  1264.62        500.000        94.8975                 NaN            NaN  0.347675        1.07144       0.670723        3.01263                 NaN            NaN            NaN
  1263.17        500.000        95.1308                 NaN            NaN  0.319829        1.04273       0.644204        2.86249                 NaN            NaN            NaN
  1261.71        500.000        94.6541                 NaN            NaN   1.00243       0.441694       0.705172        3.14562       0.510064E-001            NaN            NaN
  1260.26        500.000        94.1146                 NaN  0.167619       0.854682       0.452749       0.784068        3.50519       0.121086                 NaN            NaN
  1258.80        500.000        94.4701                 NaN  0.204484       0.892669       0.280785       0.742153        3.29447       0.115375                 NaN            NaN
  1257.35        500.000        94.8106                 NaN  0.188424       0.275276       0.834168       0.699056        3.08502       0.107418                 NaN            NaN
  1255.90        500.000        95.1093                 NaN  0.179045       0.253137       0.794331       0.661000        2.90253       0.100670                 NaN            NaN
  1254.44        500.000        95.3774                 NaN  0.170519       0.758100       0.233455       0.626563        2.73930       0.946181E-001            NaN            NaN
  1252.99        500.000        95.6209                 NaN  0.163151       0.725487       0.214404       0.595088        2.59185       0.891407E-001            NaN            NaN
  1251.54        500.000        95.8430                 NaN  0.157233       0.697702       0.193661       0.566158        2.45805       0.841884E-001            NaN            NaN
  1250.08        500.000        96.0446                 NaN  0.150378       0.180228       0.668967       0.539665        2.33661       0.795898E-001            NaN            NaN
  1248.63        500.000        96.2303                 NaN  0.144761       0.643911       0.165187       0.515093        2.22540       0.753880E-001            NaN            NaN
  1247.17        500.000        96.3974                 NaN  0.137897       0.617058       0.158492       0.492808        2.12494       0.714346E-001            NaN            NaN
  1245.72        500.000        96.5587                 NaN  0.134396       0.598036       0.140083       0.471127        2.02975       0.679193E-001            NaN            NaN
  1244.27        500.000        96.7050                 NaN  0.128802       0.575053       0.132778       0.451296        1.94260       0.644853E-001            NaN            NaN
  1242.81        500.000        96.8398                 NaN  0.123019       0.128158       0.552148       0.432771        1.86277       0.612942E-001            NaN            NaN
  1241.36        500.000        96.9664                 NaN  0.118690       0.121111       0.531722       0.415477        1.78829       0.583386E-001            NaN            NaN
  1239.90        500.000        97.0849                 NaN  0.114005       0.512602       0.115454       0.398963        1.71854       0.555519E-001            NaN            NaN
  1238.45        500.000        97.1949                 NaN  0.106649       0.123855       0.485403       0.383683        1.65280       0.527482E-001            NaN            NaN
  1237.00        500.000        97.2994                 NaN  0.855821E-001  0.420177       0.188157       0.369310        1.58824       0.491694E-001            NaN            NaN
  1235.54        500.000        96.6717                 NaN  0.233775       0.565741                 NaN  0.470123        1.99430       0.644078E-001            NaN            NaN
  1234.09        500.000        95.4417                 NaN  0.465041E-001  0.481974       0.541577       0.624406        2.78842       0.754341E-001            NaN            NaN
