|6.6.6
Archiving\03_Data\eqfracLP/QFM_m2.25/GRV/GRV_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q              hed           
  1343.01        500.000                 NaN   99.0142                 NaN            NaN            NaN  0.292311       0.384430                 NaN  0.309045                 NaN            NaN            NaN            NaN
  1341.60        500.000                 NaN   99.0266                 NaN            NaN            NaN  0.287655       0.381293                 NaN  0.304499                 NaN            NaN            NaN            NaN
  1340.19        500.000                 NaN   99.0332                 NaN            NaN            NaN  0.285699       0.378955                 NaN  0.302104                 NaN            NaN            NaN            NaN
  1338.79        500.000                 NaN   99.0418                 NaN            NaN            NaN  0.376368       0.282569                 NaN  0.299240                 NaN            NaN            NaN            NaN
  1337.38        500.000                 NaN   99.0499                 NaN            NaN            NaN  0.279376       0.374478                 NaN  0.296260                 NaN            NaN            NaN            NaN
  1335.98        500.000                 NaN   99.0584                 NaN            NaN            NaN  0.371704       0.276537                 NaN  0.293310                 NaN            NaN            NaN            NaN
  1334.57        500.000                 NaN   99.0666                 NaN            NaN            NaN  0.273569       0.369350                 NaN  0.290529                 NaN            NaN            NaN            NaN
  1333.17        500.000                 NaN   99.0858                 NaN            NaN  0.983374E-001  0.364859       0.147773                 NaN  0.303185                 NaN            NaN            NaN            NaN
  1331.76        500.000                 NaN   99.0978                 NaN            NaN  0.171470       0.417162                 NaN            NaN  0.313612                 NaN            NaN            NaN            NaN
  1330.35        500.000                 NaN   99.0903                 NaN            NaN  0.127419       0.122653       0.351813                 NaN  0.307845                 NaN            NaN            NaN            NaN
  1328.95        500.000                 NaN   99.1164                 NaN            NaN  0.165492       0.412236                 NaN            NaN  0.305839                 NaN            NaN            NaN            NaN
  1327.54        500.000                 NaN   99.1281                 NaN            NaN  0.163677       0.406713                 NaN            NaN  0.301539                 NaN            NaN            NaN            NaN
  1326.14        500.000                 NaN   99.1362                 NaN            NaN  0.162277       0.402950                 NaN            NaN  0.298564                 NaN            NaN            NaN            NaN
  1324.73        500.000                 NaN   99.1465                 NaN            NaN  0.159145       0.399941                 NaN            NaN  0.294379                 NaN            NaN            NaN            NaN
  1323.33        500.000                 NaN   99.1549                 NaN            NaN  0.156905       0.397077                 NaN            NaN  0.291113                 NaN            NaN            NaN            NaN
  1321.92        500.000                 NaN   99.1653                 NaN            NaN  0.155982       0.391322                 NaN            NaN  0.287389                 NaN            NaN            NaN            NaN
  1320.51        500.000                 NaN   99.1738                 NaN            NaN  0.152822       0.389497                 NaN            NaN  0.283864                 NaN            NaN            NaN            NaN
  1319.11        500.000                 NaN   99.1811                 NaN            NaN  0.153132       0.384451                 NaN            NaN  0.281302                 NaN            NaN            NaN            NaN
  1317.70        500.000                 NaN   99.1919                 NaN            NaN  0.148738       0.382534                 NaN            NaN  0.276857                 NaN            NaN            NaN            NaN
  1316.30        500.000                 NaN   99.2010                 NaN            NaN  0.145370       0.380374                 NaN            NaN  0.273213                 NaN            NaN            NaN            NaN
  1314.89        500.000                 NaN   99.2078                 NaN            NaN  0.144370       0.377293                 NaN            NaN  0.270499                 NaN            NaN            NaN            NaN
  1313.49        500.000                 NaN   99.2168                 NaN            NaN  0.143069       0.372918                 NaN            NaN  0.267251                 NaN            NaN            NaN            NaN
  1312.08        500.000                 NaN   99.1712                 NaN            NaN  0.152011       0.392747                 NaN            NaN  0.284039                 NaN            NaN            NaN            NaN
  1310.67        500.000                 NaN   99.2923                 NaN            NaN  0.129573       0.338451                 NaN            NaN  0.239694                 NaN            NaN            NaN            NaN
  1309.27        500.000                 NaN   99.2412                 NaN            NaN  0.135452       0.365790                 NaN            NaN  0.257545                 NaN            NaN            NaN            NaN
  1307.86        500.000                 NaN   99.2490                 NaN            NaN  0.134149       0.362356                 NaN            NaN  0.254480                 NaN            NaN            NaN            NaN
  1306.46        500.000                 NaN   99.2564                 NaN            NaN  0.131487       0.360640                 NaN            NaN  0.251445                 NaN            NaN            NaN            NaN
  1305.05        500.000                 NaN   99.2643                 NaN            NaN  0.129566       0.357675                 NaN            NaN  0.248483                 NaN            NaN            NaN            NaN
  1303.65        500.000                 NaN   99.2721                 NaN            NaN  0.127541       0.354847                 NaN            NaN  0.245548                 NaN            NaN            NaN            NaN
  1302.24        500.000                 NaN   99.2790                 NaN            NaN  0.124546       0.353938                 NaN            NaN  0.242504                 NaN            NaN            NaN            NaN
  1300.83        500.000                 NaN   99.2856                 NaN            NaN  0.122115       0.352410                 NaN            NaN  0.239826                 NaN            NaN            NaN            NaN
  1299.43        500.000                 NaN   99.2936                 NaN            NaN  0.120750       0.348798                 NaN            NaN  0.236839                 NaN            NaN            NaN            NaN
  1298.02        500.000                 NaN   99.2797                 NaN            NaN  0.116422       0.355591                 NaN            NaN  0.240101       0.821755E-002            NaN            NaN            NaN
  1296.62        500.000                 NaN   99.2265                 NaN            NaN  0.110434       0.375300                 NaN            NaN  0.254933       0.327921E-001            NaN            NaN            NaN
  1295.21        500.000                 NaN   99.2362                 NaN            NaN  0.106642       0.373618                 NaN            NaN  0.251397       0.321093E-001            NaN            NaN            NaN
  1293.80        500.000                 NaN   99.2495                 NaN            NaN  0.107220       0.365068                 NaN            NaN  0.246830       0.314218E-001            NaN            NaN            NaN
  1292.40        500.000                 NaN   99.2582                 NaN            NaN  0.105223       0.361698                 NaN            NaN  0.243977       0.308835E-001            NaN            NaN            NaN
  1290.99        500.000                 NaN   99.2695                 NaN            NaN  0.104756       0.355101                 NaN            NaN  0.240275       0.303211E-001            NaN            NaN            NaN
