|6.6.6
Archiving\03_Data\eqfracLP/QFM_m2.25/GRV/GRV_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q              hed           
  1544.03        500.000                 NaN   99.1834                 NaN  0.816615                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.63        500.000                 NaN   99.1848                 NaN  0.815189                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.22        500.000                 NaN   99.1913                 NaN  0.808675                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.81        500.000                 NaN   99.1927                 NaN  0.807217       0.565308E-004            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.41        500.000                 NaN   99.1965                 NaN  0.803476                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.00        500.000                 NaN   99.1986                 NaN  0.801351                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.60        500.000                 NaN   99.0627                 NaN  0.206266                 NaN  0.731072                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.19        500.000                 NaN   98.9563                 NaN            NaN            NaN   1.04372                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.78        500.000                 NaN   98.8764                 NaN            NaN            NaN   1.12363                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.38        500.000       0.763684E-002   98.9561                 NaN            NaN            NaN   1.03624                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.97        500.000       0.119729E-002   98.8647                 NaN            NaN            NaN   1.13409                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.57        500.000       0.931694E-002   98.5115                 NaN            NaN            NaN  0.571941       0.907281                 NaN            NaN            NaN            NaN            NaN            NaN
  1527.16        500.000       0.126158E-001   97.8832                 NaN            NaN            NaN  0.668753        1.43546                 NaN            NaN            NaN            NaN            NaN            NaN
  1525.76        500.000       0.876914E-002   98.5091                 NaN            NaN            NaN   1.01091       0.471227                 NaN            NaN            NaN            NaN            NaN            NaN
  1524.35        500.000       0.102662E-001   98.2378                 NaN            NaN            NaN  0.553755        1.19817                 NaN            NaN            NaN            NaN            NaN            NaN
  1522.94        500.000       0.283733E-002   98.2737                 NaN  0.384323                 NaN   1.33915                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.54        500.000       0.147604E-002   98.0406                 NaN  0.520158                 NaN   1.43778                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.13        500.000       0.112364E-002   98.5136                 NaN  0.383729                 NaN   1.10157                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.73        500.000       0.103721E-002   98.3147                 NaN  0.437055                 NaN   1.24724                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.32        500.000       0.806929E-003   98.3436                 NaN  0.430113                 NaN   1.22552                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.92        500.000       0.485352E-003   98.2563                 NaN  0.459029                 NaN   1.28421                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.51        500.000       0.388072E-003   98.5052                 NaN  0.388028                 NaN   1.10639                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.10        500.000       0.160556E-003   98.4245                 NaN  0.410749                 NaN   1.16462                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.70        500.000       0.137461E-003   98.4453                 NaN  0.405480                 NaN   1.14905                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.29        500.000       0.265242E-003   98.2107                 NaN  0.461732                 NaN   1.32731                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.89        500.000                 NaN   98.7518                 NaN  0.320733                 NaN  0.927417                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.48        500.000       0.580550E-002   98.5245                 NaN  0.351207                 NaN   1.11852                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.08        500.000       0.159917E-003   98.5408                 NaN  0.376240                 NaN   1.08279                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.67        500.000                 NaN   98.5611                 NaN  0.371305                 NaN   1.06756                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.26        500.000                 NaN   98.5803                 NaN  0.358929                 NaN   1.06073                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.86        500.000                 NaN   98.6025                 NaN  0.352175                 NaN   1.04531                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.45        500.000                 NaN   98.6230                 NaN  0.345831                 NaN   1.03119                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.05        500.000                 NaN   98.6411                 NaN  0.337497                 NaN   1.02140                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.64        500.000                 NaN   98.6605                 NaN  0.330522                 NaN   1.00898                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.23        500.000                 NaN   98.6787                 NaN  0.323534                 NaN  0.997788                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.83        500.000                 NaN   98.6964                 NaN  0.316179                 NaN  0.987411                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.42        500.000                 NaN   98.7122                 NaN  0.304259                 NaN  0.983580                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1492.02        500.000                 NaN   98.7303                 NaN  0.298956                 NaN  0.970765                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.61        500.000                 NaN   98.7481                 NaN  0.297398                 NaN  0.954476                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.21        500.000                 NaN   98.7644                 NaN  0.284408                 NaN  0.951201                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.80        500.000                 NaN   98.7795                 NaN  0.279548                 NaN  0.940945                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.39        500.000                 NaN   98.7944                 NaN  0.271939                 NaN  0.932579       0.105767E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1484.99        500.000                 NaN   98.8080                 NaN  0.253085                 NaN  0.216597E-001  0.917260                 NaN            NaN            NaN            NaN            NaN            NaN
  1483.58        500.000                 NaN   98.8052                 NaN  0.132505                 NaN  0.860097       0.202231                 NaN            NaN            NaN            NaN            NaN            NaN
  1482.18        500.000                 NaN   98.8190                 NaN  0.122129                 NaN  0.210866       0.848000                 NaN            NaN            NaN            NaN            NaN            NaN
  1480.77        500.000                 NaN   98.8292                 NaN  0.111691                 NaN  0.221049       0.838078                 NaN            NaN            NaN            NaN            NaN            NaN
  1479.37        500.000                 NaN   98.8398                 NaN  0.101442                 NaN  0.828380       0.230401                 NaN            NaN            NaN            NaN            NaN            NaN
  1477.96        500.000                 NaN   98.8555                 NaN  0.916615E-001            NaN  0.813571       0.239294                 NaN            NaN            NaN            NaN            NaN            NaN
  1476.55        500.000                 NaN   98.8681                 NaN  0.812669E-001            NaN  0.247962       0.802623                 NaN            NaN            NaN            NaN            NaN            NaN
  1475.15        500.000                 NaN   98.8770                 NaN  0.733283E-001            NaN  0.794060       0.255565                 NaN            NaN            NaN            NaN            NaN            NaN
  1473.74        500.000                 NaN   98.8878                 NaN  0.642974E-001            NaN  0.783479       0.264374                 NaN            NaN            NaN            NaN            NaN            NaN
  1472.34        500.000                 NaN   98.9006                 NaN  0.570936E-001            NaN  0.269023       0.773270                 NaN            NaN            NaN            NaN            NaN            NaN
  1470.93        500.000                 NaN   98.9086                 NaN  0.493823E-001            NaN  0.276312       0.765728                 NaN            NaN            NaN            NaN            NaN            NaN
  1469.53        500.000                 NaN   98.9225                 NaN  0.730089E-001            NaN  0.759097       0.245352                 NaN            NaN            NaN            NaN            NaN            NaN
  1468.12        500.000       0.267685E-002   98.9277                 NaN            NaN            NaN  0.332840       0.736754                 NaN            NaN            NaN            NaN            NaN            NaN
  1466.71        500.000       0.364299E-002   98.9372                 NaN            NaN            NaN  0.331345       0.727821                 NaN            NaN            NaN            NaN            NaN            NaN
  1465.31        500.000       0.353665E-002   98.9480                 NaN            NaN            NaN  0.719913       0.328577                 NaN            NaN            NaN            NaN            NaN            NaN
  1463.90        500.000       0.343690E-002   98.9574                 NaN            NaN            NaN  0.713292       0.325867                 NaN            NaN            NaN            NaN            NaN            NaN
  1462.50        500.000       0.332850E-002   98.9678                 NaN            NaN            NaN  0.322812       0.706048                 NaN            NaN            NaN            NaN            NaN            NaN
  1461.09        500.000       0.325873E-002   98.9676                 NaN            NaN            NaN  0.707485       0.321642                 NaN            NaN            NaN            NaN            NaN            NaN
  1459.68        500.000       0.376944E-002   98.7864                 NaN            NaN            NaN  0.381812       0.828031                 NaN            NaN            NaN            NaN            NaN            NaN
  1458.28        500.000       0.238330E-002   99.2088                 NaN            NaN            NaN  0.539943       0.248922                 NaN            NaN            NaN            NaN            NaN            NaN
  1456.87        500.000       0.294133E-002   99.0062                 NaN            NaN            NaN  0.311825       0.679067                 NaN            NaN            NaN            NaN            NaN            NaN
  1455.47        500.000       0.285279E-002   99.0148                 NaN            NaN            NaN  0.672901       0.309474                 NaN            NaN            NaN            NaN            NaN            NaN
  1454.06        500.000       0.276041E-002   99.0243                 NaN            NaN            NaN  0.665991       0.306972                 NaN            NaN            NaN            NaN            NaN            NaN
  1452.66        500.000       0.267185E-002   99.0327                 NaN            NaN            NaN  0.659976       0.304679                 NaN            NaN            NaN            NaN            NaN            NaN
  1451.25        500.000       0.258816E-002   99.0408                 NaN            NaN            NaN  0.302312       0.654347                 NaN            NaN            NaN            NaN            NaN            NaN
  1449.84        500.000       0.249354E-002   99.0506                 NaN            NaN            NaN  0.299475       0.647465                 NaN            NaN            NaN            NaN            NaN            NaN
  1448.44        500.000       0.241507E-002   99.0582                 NaN            NaN            NaN  0.297364       0.642060                 NaN            NaN            NaN            NaN            NaN            NaN
  1447.03        500.000       0.233561E-002   99.0648                 NaN            NaN            NaN  0.637391       0.295432                 NaN            NaN            NaN            NaN            NaN            NaN
  1445.63        500.000       0.225067E-002   99.0756                 NaN            NaN            NaN  0.292641       0.629485                 NaN            NaN            NaN            NaN            NaN            NaN
  1444.22        500.000       0.216557E-002   99.0813                 NaN            NaN            NaN  0.290910       0.625615                 NaN            NaN            NaN            NaN            NaN            NaN
  1442.82        500.000       0.209442E-002   99.0899                 NaN            NaN            NaN  0.288642       0.619398                 NaN            NaN            NaN            NaN            NaN            NaN
  1441.41        500.000       0.201398E-002   99.0979                 NaN            NaN            NaN  0.286378       0.613728                 NaN            NaN            NaN            NaN            NaN            NaN
  1440.00        500.000       0.194106E-002   99.1048                 NaN            NaN            NaN  0.284315       0.608924                 NaN            NaN            NaN            NaN            NaN            NaN
  1438.60        500.000       0.186115E-002   99.1126                 NaN            NaN            NaN  0.603152       0.282401                 NaN            NaN            NaN            NaN            NaN            NaN
  1437.19        500.000       0.178944E-002   99.1195                 NaN            NaN            NaN  0.598655       0.280008                 NaN            NaN            NaN            NaN            NaN            NaN
  1435.79        500.000       0.171658E-002   99.1263                 NaN            NaN            NaN  0.278278       0.593707                 NaN            NaN            NaN            NaN            NaN            NaN
  1434.38        500.000       0.164559E-002   99.1334                 NaN            NaN            NaN  0.276655       0.588301                 NaN            NaN            NaN            NaN            NaN            NaN
  1432.98        500.000       0.157701E-002   99.1402                 NaN            NaN            NaN  0.584014       0.274205                 NaN            NaN            NaN            NaN            NaN            NaN
  1431.57        500.000       0.151258E-002   99.1471                 NaN            NaN            NaN  0.579185       0.272202                 NaN            NaN            NaN            NaN            NaN            NaN
  1430.16        500.000       0.144372E-002   99.1532                 NaN            NaN            NaN  0.574654       0.270736                 NaN            NaN            NaN            NaN            NaN            NaN
  1428.76        500.000       0.136921E-002   99.1547                 NaN            NaN            NaN  0.269884       0.574078                 NaN            NaN            NaN            NaN            NaN            NaN
  1427.35        500.000       0.131521E-002   99.1714                 NaN            NaN            NaN  0.266276       0.560973                 NaN            NaN            NaN            NaN            NaN            NaN
  1425.95        500.000       0.125076E-002   99.1724                 NaN            NaN            NaN  0.561193       0.265152                 NaN            NaN            NaN            NaN            NaN            NaN
  1424.54        500.000       0.118944E-002   99.1782                 NaN            NaN            NaN  0.263165       0.557416                 NaN            NaN            NaN            NaN            NaN            NaN
  1423.14        500.000       0.113242E-002   99.1852                 NaN            NaN            NaN  0.261798       0.551908                 NaN            NaN            NaN            NaN            NaN            NaN
  1421.73        500.000       0.107180E-002   99.1908                 NaN            NaN            NaN  0.259827       0.548280                 NaN            NaN            NaN            NaN            NaN            NaN
  1420.32        500.000       0.100523E-002   99.1964                 NaN            NaN            NaN  0.544152       0.258436                 NaN            NaN            NaN            NaN            NaN            NaN
  1418.92        500.000       0.945641E-003   99.2006                 NaN            NaN            NaN  0.257000       0.541461                 NaN            NaN            NaN            NaN            NaN            NaN
  1417.51        500.000       0.909316E-003   99.2083                 NaN            NaN            NaN  0.536040       0.254792                 NaN            NaN            NaN            NaN            NaN            NaN
  1416.11        500.000       0.840099E-003   99.2136                 NaN            NaN            NaN  0.532414       0.253137                 NaN            NaN            NaN            NaN            NaN            NaN
  1414.70        500.000       0.781087E-003   99.2185                 NaN            NaN            NaN  0.529198       0.251507                 NaN            NaN            NaN            NaN            NaN            NaN
  1413.29        500.000       0.735747E-003   99.2238                 NaN            NaN            NaN  0.525018       0.250490                 NaN            NaN            NaN            NaN            NaN            NaN
  1411.89        500.000       0.681906E-003   99.2290                 NaN            NaN            NaN  0.521402       0.248896                 NaN            NaN            NaN            NaN            NaN            NaN
  1410.48        500.000       0.625448E-003   99.2343                 NaN            NaN            NaN  0.247437       0.517686                 NaN            NaN            NaN            NaN            NaN            NaN
  1409.08        500.000       0.582076E-003   99.2391                 NaN            NaN            NaN  0.245825       0.514533                 NaN            NaN            NaN            NaN            NaN            NaN
  1407.67        500.000       0.522479E-003   99.2439                 NaN            NaN            NaN  0.244077       0.511495                 NaN            NaN            NaN            NaN            NaN            NaN
  1406.27        500.000       0.478700E-003   99.2499                 NaN            NaN            NaN  0.506622       0.242985                 NaN            NaN            NaN            NaN            NaN            NaN
  1404.86        500.000       0.433517E-003   99.2539                 NaN            NaN            NaN  0.241575       0.504107                 NaN            NaN            NaN            NaN            NaN            NaN
  1403.45        500.000       0.390627E-003   99.2578                 NaN            NaN            NaN  0.240465       0.501316                 NaN            NaN            NaN            NaN            NaN            NaN
  1402.05        500.000       0.336207E-003   99.2639                 NaN            NaN            NaN  0.497394       0.238372                 NaN            NaN            NaN            NaN            NaN            NaN
  1400.64        500.000       0.114152E-004   99.0880                 NaN            NaN            NaN  0.511117       0.319272                 NaN  0.815636E-001            NaN            NaN            NaN            NaN
  1399.24        500.000       0.294471E-002   98.1828                 NaN            NaN            NaN  0.741925       0.573140                 NaN  0.499149                 NaN            NaN            NaN            NaN
  1397.83        500.000                 NaN   98.2040                 NaN            NaN            NaN  0.574675       0.728225                 NaN  0.493088                 NaN            NaN            NaN            NaN
  1396.43        500.000                 NaN   98.2311                 NaN            NaN            NaN  0.717187       0.566179                 NaN  0.485513                 NaN            NaN            NaN            NaN
  1395.02        500.000                 NaN   98.2547                 NaN            NaN            NaN  0.559138       0.707437                 NaN  0.478696                 NaN            NaN            NaN            NaN
  1393.61        500.000                 NaN   98.2810                 NaN            NaN            NaN  0.697130       0.550388                 NaN  0.471531                 NaN            NaN            NaN            NaN
  1392.21        500.000                 NaN   98.3058                 NaN            NaN            NaN  0.687267       0.542924                 NaN  0.464028                 NaN            NaN            NaN            NaN
  1390.80        500.000                 NaN   98.3286                 NaN            NaN            NaN  0.535843       0.678184                 NaN  0.457353                 NaN            NaN            NaN            NaN
  1389.40        500.000                 NaN   98.3512                 NaN            NaN            NaN  0.528508       0.669267                 NaN  0.451017                 NaN            NaN            NaN            NaN
  1387.99        500.000                 NaN   98.3710                 NaN            NaN            NaN  0.522799       0.661070                 NaN  0.445089                 NaN            NaN            NaN            NaN
  1386.59        500.000                 NaN   98.3954                 NaN            NaN            NaN  0.514600       0.651938                 NaN  0.438080                 NaN            NaN            NaN            NaN
  1385.18        500.000                 NaN   98.4149                 NaN            NaN            NaN  0.508800       0.643929                 NaN  0.432356                 NaN            NaN            NaN            NaN
  1383.77        500.000                 NaN   98.4350                 NaN            NaN            NaN  0.502770       0.635673                 NaN  0.426532                 NaN            NaN            NaN            NaN
  1382.37        500.000                 NaN   98.4531                 NaN            NaN            NaN  0.628443       0.497142                 NaN  0.421310                 NaN            NaN            NaN            NaN
  1380.96        500.000                 NaN   98.4763                 NaN            NaN            NaN  0.488947       0.620307                 NaN  0.414399                 NaN            NaN            NaN            NaN
  1379.56        500.000                 NaN   98.4927                 NaN            NaN            NaN  0.613696       0.484026                 NaN  0.409571                 NaN            NaN            NaN            NaN
  1378.15        500.000                 NaN   98.5104                 NaN            NaN            NaN  0.477953       0.607361                 NaN  0.404260                 NaN            NaN            NaN            NaN
  1376.74        500.000                 NaN   98.5270                 NaN            NaN            NaN  0.600762       0.473037                 NaN  0.399240                 NaN            NaN            NaN            NaN
  1375.34        500.000                 NaN   98.5477                 NaN            NaN            NaN  0.465535       0.593236                 NaN  0.393482                 NaN            NaN            NaN            NaN
  1373.93        500.000                 NaN   98.5628                 NaN            NaN            NaN  0.587281       0.461060                 NaN  0.388889                 NaN            NaN            NaN            NaN
  1372.53        500.000                 NaN   98.5776                 NaN            NaN            NaN  0.581818       0.456284                 NaN  0.384321                 NaN            NaN            NaN            NaN
  1371.12        500.000                 NaN   98.5962                 NaN            NaN            NaN  0.450102       0.574684                 NaN  0.379006                 NaN            NaN            NaN            NaN
  1369.72        500.000                 NaN   98.6105                 NaN            NaN            NaN  0.445361       0.569469                 NaN  0.374633                 NaN            NaN            NaN            NaN
  1368.31        500.000                 NaN   98.6260                 NaN            NaN            NaN  0.563326       0.440716                 NaN  0.369979                 NaN            NaN            NaN            NaN
  1366.90        500.000                 NaN   98.6408                 NaN            NaN            NaN  0.558094       0.435417                 NaN  0.365673                 NaN            NaN            NaN            NaN
  1365.50        500.000                 NaN   98.6541                 NaN            NaN            NaN  0.430425       0.553703                 NaN  0.361728                 NaN            NaN            NaN            NaN
  1364.09        500.000                 NaN   98.6696                 NaN            NaN            NaN  0.425375       0.548142                 NaN  0.356916                 NaN            NaN            NaN            NaN
  1362.69        500.000                 NaN   98.6813                 NaN            NaN            NaN  0.420891       0.544460                 NaN  0.353308                 NaN            NaN            NaN            NaN
  1361.28        500.000                 NaN   98.6965                 NaN            NaN            NaN  0.416560       0.538046                 NaN  0.348934                 NaN            NaN            NaN            NaN
  1359.88        500.000                 NaN   98.7106                 NaN            NaN            NaN  0.411258       0.533206                 NaN  0.344902                 NaN            NaN            NaN            NaN
  1358.47        500.000                 NaN   98.7205                 NaN            NaN            NaN  0.529510       0.408519                 NaN  0.341507                 NaN            NaN            NaN            NaN
  1357.06        500.000                 NaN   98.7338                 NaN            NaN            NaN  0.403153       0.525514                 NaN  0.337486                 NaN            NaN            NaN            NaN
  1355.66        500.000                 NaN   98.7451                 NaN            NaN            NaN  0.521320       0.399536                 NaN  0.334007                 NaN            NaN            NaN            NaN
  1354.25        500.000                 NaN   98.7569                 NaN            NaN            NaN  0.395213       0.517461                 NaN  0.330458                 NaN            NaN            NaN            NaN
  1352.85        500.000                 NaN   98.7685                 NaN            NaN            NaN  0.391090       0.513500                 NaN  0.326891                 NaN            NaN            NaN            NaN
  1351.44        500.000                 NaN   98.7800                 NaN            NaN            NaN  0.387507       0.509075                 NaN  0.323429                 NaN            NaN            NaN            NaN
  1350.04        500.000                 NaN   98.7883                 NaN            NaN            NaN  0.384332       0.506379                 NaN  0.320940                 NaN            NaN            NaN            NaN
  1348.63        500.000                 NaN   98.8024                 NaN            NaN            NaN  0.502173       0.379170                 NaN  0.316261                 NaN            NaN            NaN            NaN
  1347.22        500.000                 NaN   98.8104                 NaN            NaN            NaN  0.499516       0.376238                 NaN  0.313856                 NaN            NaN            NaN            NaN
  1345.82        500.000                 NaN   98.8221                 NaN            NaN            NaN  0.495529       0.371992                 NaN  0.310400                 NaN            NaN            NaN            NaN
  1344.41        500.000                 NaN   98.8311                 NaN            NaN            NaN  0.493860       0.367487                 NaN  0.307579                 NaN            NaN            NaN            NaN
  1343.01        500.000                 NaN   98.8398                 NaN            NaN            NaN  0.365030       0.490006                 NaN  0.305125                 NaN            NaN            NaN            NaN
  1341.60        500.000                 NaN   98.8527                 NaN            NaN            NaN  0.359731       0.486697                 NaN  0.300852                 NaN            NaN            NaN            NaN
  1340.19        500.000                 NaN   98.8591                 NaN            NaN            NaN  0.357801       0.484364                 NaN  0.298699                 NaN            NaN            NaN            NaN
  1338.79        500.000                 NaN   98.8679                 NaN            NaN            NaN  0.481690       0.354361                 NaN  0.296082                 NaN            NaN            NaN            NaN
  1337.38        500.000                 NaN   98.8759                 NaN            NaN            NaN  0.350848       0.479940                 NaN  0.293348                 NaN            NaN            NaN            NaN
  1335.98        500.000                 NaN   98.8846                 NaN            NaN            NaN  0.477004       0.347754                 NaN  0.290642                 NaN            NaN            NaN            NaN
  1334.57        500.000                 NaN   98.8928                 NaN            NaN            NaN  0.344482       0.474596                 NaN  0.288101                 NaN            NaN            NaN            NaN
  1333.17        500.000                 NaN   98.9059                 NaN            NaN  0.142872       0.460168       0.190169                 NaN  0.300905                 NaN            NaN            NaN            NaN
  1331.76        500.000                 NaN   98.9120                 NaN            NaN  0.249627       0.526770                 NaN            NaN  0.311559                 NaN            NaN            NaN            NaN
  1330.35        500.000                 NaN   98.9048                 NaN            NaN  0.185869       0.158297       0.444894                 NaN  0.306135                 NaN            NaN            NaN            NaN
  1328.95        500.000                 NaN   98.9313                 NaN            NaN  0.241972       0.522225                 NaN            NaN  0.304459                 NaN            NaN            NaN            NaN
  1327.54        500.000                 NaN   98.9437                 NaN            NaN  0.239804       0.515984                 NaN            NaN  0.300495                 NaN            NaN            NaN            NaN
  1326.14        500.000                 NaN   98.9520                 NaN            NaN  0.238209       0.511942                 NaN            NaN  0.297843                 NaN            NaN            NaN            NaN
  1324.73        500.000                 NaN   98.9629                 NaN            NaN  0.234150       0.508960                 NaN            NaN  0.293979                 NaN            NaN            NaN            NaN
  1323.33        500.000                 NaN   98.9715                 NaN            NaN  0.231346       0.506120                 NaN            NaN  0.291025                 NaN            NaN            NaN            NaN
  1321.92        500.000                 NaN   98.9825                 NaN            NaN  0.230429       0.499457                 NaN            NaN  0.287608                 NaN            NaN            NaN            NaN
  1320.51        500.000                 NaN   98.9914                 NaN            NaN  0.226247       0.497952                 NaN            NaN  0.284382                 NaN            NaN            NaN            NaN
  1319.11        500.000                 NaN   98.9985                 NaN            NaN  0.227253       0.492143                 NaN            NaN  0.282117                 NaN            NaN            NaN            NaN
  1317.70        500.000                 NaN   99.0104                 NaN            NaN  0.221083       0.490584                 NaN            NaN  0.277957                 NaN            NaN            NaN            NaN
  1316.30        500.000                 NaN   99.0204                 NaN            NaN  0.216489       0.488563                 NaN            NaN  0.274592                 NaN            NaN            NaN            NaN
  1314.89        500.000                 NaN   99.0270                 NaN            NaN  0.215520       0.485346                 NaN            NaN  0.272154                 NaN            NaN            NaN            NaN
  1313.49        500.000                 NaN   99.0364                 NaN            NaN  0.213957       0.480431                 NaN            NaN  0.269175                 NaN            NaN            NaN            NaN
  1312.08        500.000                 NaN   98.9795                 NaN            NaN  0.227673       0.506487                 NaN            NaN  0.286378                 NaN            NaN            NaN            NaN
  1310.67        500.000                 NaN   99.1260                 NaN            NaN  0.194585       0.437477                 NaN            NaN  0.241971                 NaN            NaN            NaN            NaN
  1309.27        500.000                 NaN   99.0625                 NaN            NaN  0.203771       0.473456                 NaN            NaN  0.260237                 NaN            NaN            NaN            NaN
  1307.86        500.000                 NaN   99.0706                 NaN            NaN  0.202234       0.469732                 NaN            NaN  0.257416                 NaN            NaN            NaN            NaN
  1306.46        500.000                 NaN   99.0785                 NaN            NaN  0.198623       0.468287                 NaN            NaN  0.254620                 NaN            NaN            NaN            NaN
  1305.05        500.000                 NaN   99.0869                 NaN            NaN  0.196087       0.465117                 NaN            NaN  0.251892                 NaN            NaN            NaN            NaN
  1303.65        500.000                 NaN   99.0953                 NaN            NaN  0.193370       0.462162                 NaN            NaN  0.249185                 NaN            NaN            NaN            NaN
  1302.24        500.000                 NaN   99.1026                 NaN            NaN  0.189256       0.461735                 NaN            NaN  0.246361                 NaN            NaN            NaN            NaN
  1300.83        500.000                 NaN   99.1097                 NaN            NaN  0.185912       0.460475                 NaN            NaN  0.243902                 NaN            NaN            NaN            NaN
  1299.43        500.000                 NaN   99.1183                 NaN            NaN  0.184171       0.456424                 NaN            NaN  0.241124                 NaN            NaN            NaN            NaN
  1298.02        500.000                 NaN   99.0970                 NaN            NaN  0.177893       0.466053                 NaN            NaN  0.244704       0.143498E-001            NaN            NaN            NaN
  1296.62        500.000                 NaN   99.0210                 NaN            NaN  0.169068       0.492489                 NaN            NaN  0.260108       0.573273E-001            NaN            NaN            NaN
  1295.21        500.000                 NaN   99.0321                 NaN            NaN  0.163553       0.491263                 NaN            NaN  0.256845       0.562101E-001            NaN            NaN            NaN
  1293.80        500.000                 NaN   99.0469                 NaN            NaN  0.164861       0.480608                 NaN            NaN  0.252518       0.550814E-001            NaN            NaN            NaN
  1292.40        500.000                 NaN   99.0567                 NaN            NaN  0.162123       0.477034                 NaN            NaN  0.249932       0.542109E-001            NaN            NaN            NaN
  1290.99        500.000                 NaN   99.0695                 NaN            NaN  0.161716       0.469005                 NaN            NaN  0.246468       0.532957E-001            NaN            NaN            NaN
