|6.6.6
Archiving\03_Data\eqfracLP/QFM_m4.75/LAR/LAR_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        an             iron           San(TH)        ilm            q              O(HP)         
  1374.53        500.000                 NaN   99.1981       0.255806       0.257491                 NaN  0.275018       0.135544E-001            NaN            NaN            NaN            NaN
  1373.53        500.000                 NaN   99.2096       0.254379       0.251761                 NaN  0.270994       0.132292E-001            NaN            NaN            NaN            NaN
  1372.52        500.000                 NaN   99.2200       0.251780       0.248005                 NaN  0.267355       0.129008E-001            NaN            NaN            NaN            NaN
  1371.52        500.000                 NaN   99.2305       0.244233       0.249069                 NaN  0.263620       0.126061E-001            NaN            NaN            NaN            NaN
  1370.52        500.000                 NaN   99.2407       0.240621       0.246320                 NaN  0.259998       0.123364E-001            NaN            NaN            NaN            NaN
  1369.51        500.000                 NaN   99.2506       0.237396       0.243394                 NaN  0.256573       0.120736E-001            NaN            NaN            NaN            NaN
  1368.51        500.000                 NaN   99.2601       0.240910       0.233985                 NaN  0.253225       0.118098E-001            NaN            NaN            NaN            NaN
  1367.50        500.000                 NaN   99.2654       0.233055       0.238413                 NaN  0.251448       0.116487E-001            NaN            NaN            NaN            NaN
  1366.50        500.000                 NaN   99.2836       0.235040       0.225537                 NaN  0.244660       0.111411E-001            NaN            NaN            NaN            NaN
  1365.50        500.000                 NaN   99.2883       0.224094       0.233306                 NaN  0.243242       0.110296E-001            NaN            NaN            NaN            NaN
  1364.49        500.000                 NaN   99.2974       0.230934       0.220876                 NaN  0.239988       0.107657E-001            NaN            NaN            NaN            NaN
  1363.49        500.000                 NaN   99.3062       0.217672       0.228744                 NaN  0.236893       0.105133E-001            NaN            NaN            NaN            NaN
  1362.48        500.000                 NaN   99.3146       0.214922       0.226270                 NaN  0.233904       0.103015E-001            NaN            NaN            NaN            NaN
  1361.48        500.000                 NaN   99.3232       0.211641       0.224293                 NaN  0.230838       0.100233E-001            NaN            NaN            NaN            NaN
  1360.48        500.000                 NaN   99.3312       0.222365       0.208693                 NaN  0.228001       0.977847E-002            NaN            NaN            NaN            NaN
  1359.47        500.000                 NaN   99.3395       0.219991       0.205905                 NaN  0.225042       0.956219E-002            NaN            NaN            NaN            NaN
  1358.47        500.000                 NaN   99.3471       0.203308       0.217877                 NaN  0.222340       0.936356E-002            NaN            NaN            NaN            NaN
  1357.46        500.000                 NaN   99.3548       0.200093       0.216364                 NaN  0.219591       0.910817E-002            NaN            NaN            NaN            NaN
  1356.46        500.000                 NaN   99.3630       0.197522       0.213880                 NaN  0.216707       0.891471E-002            NaN            NaN            NaN            NaN
  1355.46        500.000                 NaN   99.3701       0.212260       0.194913                 NaN  0.214114       0.865429E-002            NaN            NaN            NaN            NaN
  1354.45        500.000                 NaN   99.3775       0.210227       0.192292                 NaN  0.211550       0.847034E-002            NaN            NaN            NaN            NaN
  1353.45        500.000                 NaN   99.3843       0.208880       0.189527                 NaN  0.209081       0.824109E-002            NaN            NaN            NaN            NaN
  1352.44        500.000                 NaN   99.3916       0.187059       0.206768                 NaN  0.206485       0.804663E-002            NaN            NaN            NaN            NaN
  1351.44        500.000                 NaN   99.3986       0.205238       0.184380                 NaN  0.203918       0.781983E-002            NaN            NaN            NaN            NaN
  1350.43        500.000                 NaN   99.4041       0.204134       0.182050                 NaN  0.202090       0.766849E-002            NaN            NaN            NaN            NaN
  1349.43        500.000                 NaN   99.4130       0.179282       0.201600                 NaN  0.198764       0.739824E-002            NaN            NaN            NaN            NaN
  1348.43        500.000                 NaN   99.4182       0.177272       0.200418                 NaN  0.196895       0.722352E-002            NaN            NaN            NaN            NaN
  1347.42        500.000                 NaN   99.4240       0.175321       0.198648                 NaN  0.194948       0.707202E-002            NaN            NaN            NaN            NaN
  1346.42        500.000                 NaN   99.4312       0.197693       0.172122                 NaN  0.192221       0.680667E-002            NaN            NaN            NaN            NaN
  1345.41        500.000                 NaN   99.4373       0.195901       0.170115                 NaN  0.189989       0.664737E-002            NaN            NaN            NaN            NaN
  1344.41        500.000                 NaN   99.3995       0.181647       0.209107                 NaN  0.202783       0.699220E-002            NaN            NaN            NaN            NaN
  1343.41        500.000                 NaN   99.4922       0.152478       0.178332                 NaN  0.171173       0.577870E-002            NaN            NaN            NaN            NaN
  1342.40        500.000                 NaN   99.4547       0.191893       0.163561                 NaN  0.183735       0.608490E-002            NaN            NaN            NaN            NaN
  1341.40        500.000                 NaN   99.4603       0.190790       0.161274                 NaN  0.181699       0.589913E-002            NaN            NaN            NaN            NaN
  1340.39        500.000                 NaN   99.4656       0.159344       0.189594                 NaN  0.179793       0.571346E-002            NaN            NaN            NaN            NaN
  1339.39        500.000                 NaN   99.4715       0.188405       0.156862                 NaN  0.177724       0.554931E-002            NaN            NaN            NaN            NaN
  1338.39        500.000                 NaN   99.4758       0.155307       0.187213                 NaN  0.176256       0.544312E-002            NaN            NaN            NaN            NaN
  1337.38        500.000                 NaN   99.4822       0.153507       0.185330                 NaN  0.173766       0.521261E-002            NaN            NaN            NaN            NaN
  1336.38        500.000                 NaN   99.4881       0.184879       0.150393                 NaN  0.171633       0.500898E-002            NaN            NaN            NaN            NaN
  1335.37        500.000                 NaN   99.4925       0.183915       0.148696                 NaN  0.170075       0.485854E-002            NaN            NaN            NaN            NaN
  1334.37        500.000                 NaN   99.4967       0.146669       0.183281                 NaN  0.168608       0.469698E-002            NaN            NaN            NaN            NaN
  1333.36        500.000                 NaN   99.5026       0.181723       0.144863                 NaN  0.166314       0.450847E-002            NaN            NaN            NaN            NaN
  1332.36        500.000                 NaN   99.5062       0.180597       0.143664                 NaN  0.165130       0.440270E-002            NaN            NaN            NaN            NaN
  1331.36        500.000                 NaN   99.5126       0.179764       0.140805                 NaN  0.162663       0.417170E-002            NaN            NaN            NaN            NaN
  1330.35        500.000                 NaN   99.5163       0.179205       0.139128                 NaN  0.161382       0.402767E-002            NaN            NaN            NaN            NaN
  1329.35        500.000                 NaN   99.5211       0.137320       0.178059                 NaN  0.159653       0.389217E-002            NaN            NaN            NaN            NaN
  1328.34        500.000                 NaN   99.5255       0.135410       0.177311                 NaN  0.158042       0.372299E-002            NaN            NaN            NaN            NaN
  1327.34        500.000                 NaN   99.5299       0.176423       0.133676                 NaN  0.156433       0.357337E-002            NaN            NaN            NaN            NaN
  1326.34        500.000                 NaN   99.5343       0.175629       0.131770                 NaN  0.154838       0.343088E-002            NaN            NaN            NaN            NaN
  1325.33        500.000                 NaN   99.5385       0.130211       0.174717                 NaN  0.153275       0.327714E-002            NaN            NaN            NaN            NaN
  1324.33        500.000                 NaN   99.5427       0.174070       0.128378                 NaN  0.151732       0.311170E-002            NaN            NaN            NaN            NaN
  1323.32        500.000                 NaN   99.5886       0.157775       0.114553                 NaN  0.136440       0.268200E-002            NaN            NaN            NaN            NaN
  1322.32        500.000                 NaN   99.5089       0.188885       0.136627                 NaN  0.162576       0.305652E-002            NaN            NaN            NaN            NaN
  1321.32        500.000                 NaN   99.5548       0.171903       0.123160                 NaN  0.147417       0.271578E-002            NaN            NaN            NaN            NaN
  1320.31        500.000                 NaN   99.5587       0.122466       0.170394                 NaN  0.145898       0.257951E-002            NaN            NaN            NaN            NaN
  1319.31        500.000                 NaN   99.5631       0.119598       0.170737                 NaN  0.144247       0.236267E-002            NaN            NaN            NaN            NaN
  1318.30        500.000                 NaN   99.5656       0.118410       0.170350                 NaN  0.143426       0.225522E-002            NaN            NaN            NaN            NaN
  1317.30        500.000                 NaN   99.5704       0.116670       0.169422                 NaN  0.141402       0.206379E-002            NaN            NaN            NaN            NaN
  1316.29        500.000                 NaN   99.5736       0.169408       0.114588                 NaN  0.140436       0.194658E-002            NaN            NaN            NaN            NaN
  1315.29        500.000                 NaN   99.5770       0.168837       0.113203                 NaN  0.139109       0.180172E-002            NaN            NaN            NaN            NaN
  1314.29        500.000                 NaN   99.5813       0.168160       0.111406                 NaN  0.137509       0.164307E-002            NaN            NaN            NaN            NaN
  1313.28        500.000                 NaN   99.5841       0.167765       0.110124                 NaN  0.136519       0.152813E-002            NaN            NaN            NaN            NaN
  1312.28        500.000                 NaN   99.5875       0.108492       0.167408                 NaN  0.135196       0.137066E-002            NaN            NaN            NaN            NaN
  1311.27        500.000                 NaN   99.5910       0.106857       0.167030                 NaN  0.133911       0.122916E-002            NaN            NaN            NaN            NaN
  1310.27        500.000                 NaN   99.5942       0.105289       0.166654                 NaN  0.132705       0.110548E-002            NaN            NaN            NaN            NaN
  1309.27        500.000                 NaN   99.5973       0.103912       0.166179                 NaN  0.131590       0.982703E-003            NaN            NaN            NaN            NaN
  1308.26        500.000                 NaN   99.6005       0.166021       0.102252                 NaN  0.130382       0.835667E-003            NaN            NaN            NaN            NaN
  1307.26        500.000                 NaN   99.6035       0.100665       0.165783                 NaN  0.129301       0.709060E-003            NaN            NaN            NaN            NaN
  1306.25        500.000                 NaN   99.9842       0.633142E-002  0.553890E-003            NaN  0.859440E-002  0.326942E-003            NaN            NaN            NaN            NaN
  1305.25        500.000                 NaN   99.2323       0.325613       0.195231                 NaN  0.246337       0.499306E-003            NaN            NaN            NaN            NaN
  1304.25        500.000                 NaN   99.6123       0.959926E-001  0.165433                 NaN  0.125968       0.278068E-003            NaN            NaN            NaN            NaN
  1303.24        500.000                 NaN   99.6157       0.945134E-001  0.164871                 NaN  0.124751       0.171767E-003            NaN            NaN            NaN            NaN
  1302.24        500.000                 NaN   99.6184       0.924863E-001  0.165371                 NaN  0.123748       0.997125E-005            NaN            NaN            NaN            NaN
  1301.23        500.000                 NaN   99.6212       0.917968E-001  0.164225                 NaN  0.122787       0.901659E-006            NaN            NaN            NaN            NaN
  1300.23        500.000                 NaN   99.6237       0.924341E-001  0.160877                 NaN  0.122528       0.505640E-003            NaN            NaN            NaN            NaN
  1299.22        500.000                 NaN   99.6657       0.811016E-001  0.144848                 NaN  0.108367                 NaN            NaN            NaN            NaN            NaN
  1298.22        500.000                 NaN   99.5901       0.178829       0.983259E-001            NaN  0.132733                 NaN            NaN            NaN            NaN            NaN
  1297.22        500.000       0.128714E-003   99.9532       0.169153E-001  0.122420E-001  0.185957E-004  0.161818E-001  0.129321E-002            NaN            NaN            NaN            NaN
  1296.21        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1295.21        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1294.20        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1293.20        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1292.20        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1291.19        500.000                 NaN   97.5188       0.576909        1.09852                 NaN  0.805815                 NaN            NaN            NaN            NaN            NaN
  1290.19        500.000                 NaN   99.6493       0.156220       0.808919E-001            NaN  0.113579                 NaN            NaN            NaN            NaN            NaN
  1289.18        500.000                 NaN   99.6516       0.797354E-001  0.155731                 NaN  0.112928                 NaN            NaN            NaN            NaN            NaN
  1288.18        500.000                 NaN   96.6349       0.321449       0.584129                 NaN  0.441934                 NaN   2.01754                 NaN            NaN            NaN
  1287.18        500.000                 NaN   92.2754       0.789305        1.02593                 NaN  0.941522       0.272739E-001   4.94062                 NaN            NaN            NaN
  1286.17        500.000                 NaN   92.8555       0.745870       0.932775                 NaN  0.875023       0.266852E-001   4.56417                 NaN            NaN            NaN
  1285.17        500.000                 NaN   93.4031       0.872469       0.684911                 NaN  0.809817       0.225962E-001   4.20708                 NaN            NaN            NaN
  1284.16        500.000                 NaN   93.8719       0.635390       0.818254                 NaN  0.753822       0.192073E-001   3.90147                 NaN            NaN            NaN
  1283.16        500.000                 NaN   94.2798       0.773953       0.589301                 NaN  0.705162       0.161737E-001   3.63565                 NaN            NaN            NaN
  1282.15        500.000                 NaN   94.6424       0.547555       0.734894                 NaN  0.661918       0.135873E-001   3.39965                 NaN            NaN            NaN
  1281.15        500.000                 NaN   94.9567       0.509773       0.703218                 NaN  0.624377       0.111717E-001   3.19479                 NaN            NaN            NaN
  1280.15        500.000                 NaN   95.2388       0.475090       0.675216                 NaN  0.590815       0.914573E-002   3.01092                 NaN            NaN            NaN
  1279.14        500.000                 NaN   95.4899       0.442482       0.652250                 NaN  0.560852       0.724884E-002   2.84724                 NaN            NaN            NaN
  1278.14        500.000                 NaN   95.7141       0.411565       0.633382                 NaN  0.534124       0.560450E-002   2.70119                 NaN            NaN            NaN
  1277.13        500.000                 NaN   95.9181       0.620566       0.379658                 NaN  0.509830       0.395432E-002   2.56784                 NaN            NaN            NaN
  1276.13        500.000                 NaN   96.1092       0.348868       0.608998                 NaN  0.487068       0.258281E-002   2.44325                 NaN            NaN            NaN
  1275.13        500.000                 NaN   96.2734       0.315078       0.606881                 NaN  0.467619       0.124914E-002   2.33579                 NaN            NaN            NaN
  1274.12        500.000                 NaN   96.4243       0.626433       0.262324                 NaN  0.450007       0.195430E-003   2.23670                 NaN            NaN            NaN
  1273.12        500.000                 NaN   96.5684       0.611017       0.243774                 NaN  0.433090                 NaN   2.14369                 NaN            NaN            NaN
  1272.11        500.000                 NaN   96.6985       0.183704       0.640169                 NaN  0.418345                 NaN   2.05930                 NaN            NaN            NaN
  1271.11        500.000                 NaN   96.8222       0.794351                 NaN            NaN  0.403852                 NaN   1.97960                 NaN            NaN            NaN
  1270.11        500.000                 NaN   96.9405       0.765724                 NaN            NaN  0.389945                 NaN   1.90386                 NaN            NaN            NaN
  1269.10        500.000                 NaN   97.0507       0.739247                 NaN            NaN  0.376480                 NaN   1.83357                 NaN            NaN            NaN
  1268.10        500.000                 NaN   97.2588                 NaN            NaN            NaN  0.425720       0.106730        2.20877                 NaN            NaN            NaN
  1267.09        500.000                 NaN   95.9646        1.43807                 NaN            NaN  0.302953       0.705141E-001   2.22388                 NaN            NaN            NaN
  1266.09        500.000                 NaN   98.6015       0.211465                 NaN            NaN  0.425150                 NaN  0.761865                 NaN            NaN            NaN
  1265.09        500.000                 NaN   97.5454       0.609431                 NaN            NaN  0.310796                 NaN   1.53439                 NaN            NaN            NaN
  1264.08        500.000                 NaN   97.6110       0.593715                 NaN            NaN  0.305187                 NaN   1.49011                 NaN            NaN            NaN
  1263.08        500.000                 NaN   97.6820       0.576538                 NaN            NaN  0.297155                 NaN   1.44431                 NaN            NaN            NaN
  1262.07        500.000                 NaN   97.7514       0.559568                 NaN            NaN  0.288651                 NaN   1.40038                 NaN            NaN            NaN
  1261.07        500.000                 NaN   97.5190       0.582750                 NaN            NaN  0.319022                 NaN   1.55111       0.281086E-001            NaN            NaN
  1260.06        500.000                 NaN   97.1480                 NaN            NaN            NaN  0.377601E-001            NaN   2.69401       0.120277                 NaN            NaN
  1259.06        500.000                 NaN   97.3595        1.23529                 NaN            NaN  0.667629                 NaN  0.737530                 NaN            NaN            NaN
  1258.06        500.000                 NaN   97.4988       0.559151                 NaN            NaN  0.316172                 NaN   1.57509       0.507931E-001            NaN            NaN
  1257.05        500.000                 NaN   97.5363       0.545311                 NaN            NaN  0.310466                 NaN   1.55404       0.538416E-001            NaN            NaN
  1256.05        500.000                 NaN   97.6142       0.528076                 NaN            NaN  0.301124                 NaN   1.50481       0.517953E-001            NaN            NaN
  1255.04        500.000                 NaN   97.6894       0.510403                 NaN            NaN  0.290633                 NaN   1.45925       0.503627E-001            NaN            NaN
  1254.04        500.000                 NaN   97.7611       0.493660                 NaN            NaN  0.280934                 NaN   1.41540       0.488596E-001            NaN            NaN
  1253.04        500.000                 NaN   97.8292       0.478674                 NaN            NaN  0.272888                 NaN   1.37227       0.470159E-001            NaN            NaN
  1252.03        500.000                 NaN   97.8931       0.463910                 NaN            NaN  0.264439                 NaN   1.33306       0.455259E-001            NaN            NaN
  1251.03        500.000                 NaN   97.9535       0.450343                 NaN            NaN  0.257032                 NaN   1.29522       0.439386E-001            NaN            NaN
  1250.02        500.000                 NaN   98.0114       0.437034                 NaN            NaN  0.249142                 NaN   1.25974       0.426631E-001            NaN            NaN
  1249.02        500.000                 NaN   98.0677       0.423878                 NaN            NaN  0.241908                 NaN   1.22523       0.413034E-001            NaN            NaN
  1248.02        500.000                 NaN   98.1195       0.412436                 NaN            NaN  0.235249                 NaN   1.19287       0.399479E-001            NaN            NaN
  1247.01        500.000                 NaN   98.1718       0.400133                 NaN            NaN  0.228293                 NaN   1.16102       0.387513E-001            NaN            NaN
  1246.01        500.000                 NaN   98.2203       0.388894                 NaN            NaN  0.221355                 NaN   1.13170       0.377454E-001            NaN            NaN
  1245.00        500.000                 NaN   98.2676       0.378410                 NaN            NaN  0.216591                 NaN   1.10126       0.361234E-001            NaN            NaN
  1244.00        500.000                 NaN   98.3089       0.369462                 NaN            NaN  0.211092                 NaN   1.07548       0.350354E-001            NaN            NaN
  1242.99        500.000                 NaN   98.3536       0.358799                 NaN            NaN  0.204264                 NaN   1.04909       0.342523E-001            NaN            NaN
  1241.99        500.000                 NaN   98.3936       0.349964                 NaN            NaN  0.199527                 NaN   1.02387       0.330548E-001            NaN            NaN
  1240.99        500.000                 NaN   98.4360       0.339405                 NaN            NaN  0.193528                 NaN  0.998864       0.321915E-001            NaN            NaN
  1239.98        500.000                 NaN   98.4685       0.333300                 NaN            NaN  0.189423                 NaN  0.977653       0.311091E-001            NaN            NaN
  1238.98        500.000                 NaN   98.5080       0.323581                 NaN            NaN  0.184133                 NaN  0.954086       0.302364E-001            NaN            NaN
  1237.97        500.000                 NaN   98.5416       0.316176                 NaN            NaN  0.178843                 NaN  0.933828       0.295425E-001            NaN            NaN
  1236.97        500.000                 NaN   98.5765       0.308482                 NaN            NaN  0.175209                 NaN  0.911414       0.283984E-001            NaN            NaN
  1235.97        500.000                 NaN   98.6086       0.301377                 NaN            NaN  0.170539                 NaN  0.891909       0.276175E-001            NaN            NaN
  1234.96        500.000                 NaN   98.6402       0.293821                 NaN            NaN  0.166048                 NaN  0.872993       0.269390E-001            NaN            NaN
  1233.96        500.000                 NaN   98.6712       0.287018                 NaN            NaN  0.162446                 NaN  0.853371       0.259642E-001            NaN            NaN
  1232.95        500.000                 NaN   98.7006       0.280430                 NaN            NaN  0.158497                 NaN  0.835327       0.251661E-001            NaN            NaN
  1231.95        500.000                 NaN   98.7293       0.273990                 NaN            NaN  0.154999                 NaN  0.817392       0.243526E-001            NaN            NaN
  1230.95        500.000                 NaN   98.7584       0.267045                 NaN            NaN  0.150596                 NaN  0.800155       0.237783E-001            NaN            NaN
  1229.94        500.000                 NaN   98.7837       0.261696                 NaN            NaN  0.147587                 NaN  0.784086       0.229686E-001            NaN            NaN
  1228.94        500.000                 NaN   98.8106       0.255072                 NaN            NaN  0.143650                 NaN  0.768237       0.224284E-001            NaN            NaN
  1227.93        500.000                 NaN   98.8380       0.248582                 NaN            NaN  0.140045                 NaN  0.751614       0.217435E-001            NaN            NaN
  1226.93        500.000                 NaN   98.8583       0.245057                 NaN            NaN  0.136787                 NaN  0.738661       0.212187E-001            NaN            NaN
  1225.92        500.000                 NaN   98.8825       0.239167                 NaN            NaN  0.133790                 NaN  0.723970       0.205455E-001            NaN            NaN
  1224.92        500.000                 NaN   98.9076       0.232863                 NaN            NaN  0.130154                 NaN  0.709289       0.200443E-001            NaN            NaN
  1223.92        500.000                 NaN   98.9278       0.229098                 NaN            NaN  0.127515                 NaN  0.696140       0.194061E-001            NaN            NaN
  1222.91        500.000                 NaN   98.9191       0.228338                 NaN            NaN  0.130730                 NaN  0.702834       0.189676E-001            NaN            NaN
  1221.91        500.000                 NaN   98.9978       0.217152                 NaN            NaN  0.118404                 NaN  0.649043       0.175814E-001            NaN            NaN
  1220.90        500.000                 NaN   98.9912       0.214843                 NaN            NaN  0.118696                 NaN  0.657396       0.178846E-001            NaN            NaN
  1219.90        500.000                 NaN   99.0080       0.211347                 NaN            NaN  0.116697                 NaN  0.646669       0.173074E-001            NaN            NaN
  1218.90        500.000                 NaN   99.0278       0.206951                 NaN            NaN  0.114308                 NaN  0.634242       0.167015E-001            NaN            NaN
  1217.89        500.000                 NaN   99.0457       0.203033                 NaN            NaN  0.111971                 NaN  0.623037       0.162201E-001            NaN            NaN
  1216.89        500.000                 NaN   99.0666       0.197846                 NaN            NaN  0.108956                 NaN  0.610750       0.158526E-001            NaN            NaN
  1215.88        500.000                 NaN   99.0807       0.195616                 NaN            NaN  0.107061                 NaN  0.601285       0.153058E-001            NaN            NaN
  1214.88        500.000                 NaN   99.0982       0.191265                 NaN            NaN  0.104449                 NaN  0.591135       0.149837E-001            NaN            NaN
  1213.88        500.000                 NaN   99.1154       0.187625                 NaN            NaN  0.102573                 NaN  0.579948       0.144482E-001            NaN            NaN
  1212.87        500.000                 NaN   99.1319       0.183751                 NaN            NaN  0.100650                 NaN  0.569740       0.139744E-001            NaN            NaN
  1211.87        500.000                 NaN   99.1461       0.180758                 NaN            NaN  0.980620E-001            NaN  0.561339       0.137582E-001            NaN            NaN
  1210.86        500.000                 NaN   99.1655       0.174925                 NaN            NaN  0.954543E-001            NaN  0.550725       0.133772E-001            NaN            NaN
  1209.86        500.000                 NaN   99.1756       0.174674                 NaN            NaN  0.940348E-001            NaN  0.542647       0.130000E-001            NaN            NaN
  1208.85        500.000                 NaN   99.1914       0.170453                 NaN            NaN  0.921977E-001            NaN  0.533346       0.125737E-001            NaN            NaN
  1207.85        500.000                 NaN   99.2047       0.168050                 NaN            NaN  0.907050E-001            NaN  0.524422       0.121193E-001            NaN            NaN
  1206.85        500.000                 NaN   99.2183       0.164896                 NaN            NaN  0.881155E-001            NaN  0.516664       0.119846E-001            NaN            NaN
  1205.84        500.000                 NaN   99.2320       0.161754                 NaN            NaN  0.869177E-001            NaN  0.507900       0.114433E-001            NaN            NaN
  1204.84        500.000                 NaN   99.2433       0.159634                 NaN            NaN  0.853963E-001            NaN  0.500480       0.112012E-001            NaN            NaN
  1203.83        500.000                 NaN   99.2566       0.156000                 NaN            NaN  0.823738E-001            NaN  0.493913       0.111536E-001            NaN            NaN
  1202.83        500.000                 NaN   99.2697       0.153692                 NaN            NaN  0.817813E-001            NaN  0.484227       0.105706E-001            NaN            NaN
  1201.83        500.000                 NaN   99.2801       0.151030                 NaN            NaN  0.798312E-001            NaN  0.478642       0.104049E-001            NaN            NaN
  1200.82        500.000                 NaN   99.2934       0.148445                 NaN            NaN  0.783942E-001            NaN  0.469740       0.100638E-001            NaN            NaN
  1199.82        500.000                 NaN   99.3060       0.145543                 NaN            NaN  0.769885E-001            NaN  0.461779       0.970156E-002            NaN            NaN
  1198.81        500.000                 NaN   92.8070       0.138718       0.472876                 NaN  0.564418                 NaN   3.03894       0.378132E-001   2.94023                 NaN
  1197.81        500.000                 NaN   91.7595       0.573921                 NaN            NaN  0.614014                 NaN   3.08033       0.517682E-001   3.92043                 NaN
  1196.81        500.000                 NaN   98.5570       0.304731                 NaN            NaN  0.604077E-001            NaN   1.04627                 NaN  0.316259E-001            NaN
  1195.80        500.000                 NaN   96.4634       0.339885                 NaN            NaN  0.287021                 NaN   1.49824       0.153096E-001   1.39619                 NaN
  1194.80        500.000                 NaN   94.1634       0.136503       0.362436                 NaN  0.435120                 NaN   2.48534       0.270176E-001   2.39016                 NaN
  1193.79        500.000                 NaN   91.8603       0.531527       0.160252                 NaN  0.588923                 NaN   3.47241       0.365866E-001   3.34995                 NaN
  1192.79        500.000                 NaN   86.2041       0.433220       0.711288                 NaN   1.01839                 NaN   5.89722       0.485864E-001   5.68723                 NaN
  1191.79        500.000                 NaN   81.7227        1.37265       0.769864E-001            NaN   1.22085                 NaN   7.97508       0.856326E-001   7.54606                 NaN
  1190.78        500.000                 NaN            NaN   8.14754                 NaN            NaN   6.94757                 NaN   43.2365       0.347016        41.3214                 NaN
  1189.78        500.000                 NaN            NaN   8.14764                 NaN            NaN   6.94798                 NaN   43.2353       0.346937        41.3221                 NaN
