|6.6.6
Archiving\03_Data\eqfracLP/QFM_m4.75/LAR/LAR_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        an             iron           San(TH)        ilm            q              O(HP)         
  1291.19        500.000                 NaN   96.9192       0.759114        1.47236                 NaN  0.849340                 NaN            NaN            NaN            NaN            NaN
  1290.19        500.000                 NaN   99.5618       0.210656       0.107093                 NaN  0.120410                 NaN            NaN            NaN            NaN            NaN
  1289.18        500.000                 NaN   99.5644       0.105647       0.210139                 NaN  0.119781                 NaN            NaN            NaN            NaN            NaN
  1288.18        500.000                 NaN   96.3363       0.425447       0.787192                 NaN  0.467846                 NaN   1.98317                 NaN            NaN            NaN
  1287.18        500.000                 NaN   91.6633        1.04259        1.37934                 NaN  0.993596       0.801477E-001   4.84100                 NaN            NaN            NaN
  1286.17        500.000                 NaN   92.2780       0.987181        1.25614                 NaN  0.924238       0.784894E-001   4.47594                 NaN            NaN            NaN
  1285.17        500.000                 NaN   92.8628        1.17684       0.908333                 NaN  0.856136       0.665242E-001   4.12933                 NaN            NaN            NaN
  1284.16        500.000                 NaN   93.3637       0.844304        1.10536                 NaN  0.797602       0.565958E-001   3.83241                 NaN            NaN            NaN
  1283.16        500.000                 NaN   93.8000        1.04703       0.784568                 NaN  0.746700       0.476957E-001   3.57398                 NaN            NaN            NaN
  1282.15        500.000                 NaN   94.1883       0.730321       0.995507                 NaN  0.701430       0.400993E-001   3.34434                 NaN            NaN            NaN
  1281.15        500.000                 NaN   94.5249       0.681217       0.953874                 NaN  0.662110       0.329942E-001   3.14490                 NaN            NaN            NaN
  1280.15        500.000                 NaN   94.8273       0.636004       0.916963                 NaN  0.626938       0.270296E-001   2.96578                 NaN            NaN            NaN
  1279.14        500.000                 NaN   95.0965       0.593434       0.886810                 NaN  0.595525       0.214377E-001   2.80626                 NaN            NaN            NaN
  1278.14        500.000                 NaN   95.3370       0.552963       0.862050                 NaN  0.567493       0.165854E-001   2.66387                 NaN            NaN            NaN
  1277.13        500.000                 NaN   95.5559       0.845519       0.511040                 NaN  0.542003       0.117093E-001   2.53378                 NaN            NaN            NaN
  1276.13        500.000                 NaN   95.7611       0.470433       0.830498                 NaN  0.518106       0.765272E-002   2.41217                 NaN            NaN            NaN
  1275.13        500.000                 NaN   95.9373       0.425672       0.828314                 NaN  0.497694       0.370329E-002   2.30729                 NaN            NaN            NaN
  1274.12        500.000                 NaN   96.0992       0.855464       0.355049                 NaN  0.479210       0.579717E-003   2.21054                 NaN            NaN            NaN
  1273.12        500.000                 NaN   96.2531       0.835130       0.330643                 NaN  0.461444                 NaN   2.11970                 NaN            NaN            NaN
  1272.11        500.000                 NaN   96.3917       0.249714       0.875293                 NaN  0.445974                 NaN   2.03729                 NaN            NaN            NaN
  1271.11        500.000                 NaN   96.5239        1.08590                 NaN            NaN  0.430760                 NaN   1.95946                 NaN            NaN            NaN
  1270.11        500.000                 NaN   96.6503        1.04802                 NaN            NaN  0.416156                 NaN   1.88548                 NaN            NaN            NaN
  1269.10        500.000                 NaN   96.7683        1.01287                 NaN            NaN  0.402009                 NaN   1.81681                 NaN            NaN            NaN
  1268.10        500.000                 NaN   97.0353                 NaN            NaN            NaN  0.455244       0.317977        2.19143                 NaN            NaN            NaN
  1267.09        500.000                 NaN   95.3096        1.95344                 NaN            NaN  0.323469       0.209765        2.20369                 NaN            NaN            NaN
  1266.09        500.000                 NaN   98.4942       0.289725                 NaN            NaN  0.456710                 NaN  0.759378                 NaN            NaN            NaN
  1265.09        500.000                 NaN   97.3007       0.837828                 NaN            NaN  0.333553                 NaN   1.52791                 NaN            NaN            NaN
  1264.08        500.000                 NaN   97.3701       0.817624                 NaN            NaN  0.327711                 NaN   1.48457                 NaN            NaN            NaN
  1263.08        500.000                 NaN   97.4460       0.794984                 NaN            NaN  0.319264                 NaN   1.43971                 NaN            NaN            NaN
  1262.07        500.000                 NaN   97.5206       0.772405                 NaN            NaN  0.310302                 NaN   1.39668                 NaN            NaN            NaN
  1261.07        500.000                 NaN   97.2532       0.804389                 NaN            NaN  0.343076                 NaN   1.54752       0.518179E-001            NaN            NaN
  1260.06        500.000                 NaN   97.0488                 NaN            NaN            NaN  0.406328E-001            NaN   2.68871       0.221872                 NaN            NaN
  1259.06        500.000                 NaN   96.8460        1.70107                 NaN            NaN  0.717555                 NaN  0.735345                 NaN            NaN            NaN
  1258.06        500.000                 NaN   97.2168       0.772750                 NaN            NaN  0.340942                 NaN   1.57557       0.938964E-001            NaN            NaN
  1257.05        500.000                 NaN   97.2550       0.754285                 NaN            NaN  0.335108                 NaN   1.55594       0.996282E-001            NaN            NaN
  1256.05        500.000                 NaN   97.3390       0.731641                 NaN            NaN  0.325353                 NaN   1.50811       0.959397E-001            NaN            NaN
  1255.04        500.000                 NaN   97.4205       0.707897                 NaN            NaN  0.314332                 NaN   1.46386       0.933810E-001            NaN            NaN
  1254.04        500.000                 NaN   97.4984       0.685512                 NaN            NaN  0.304145                 NaN   1.42123       0.906852E-001            NaN            NaN
  1253.04        500.000                 NaN   97.5720       0.665731                 NaN            NaN  0.295725                 NaN   1.37924       0.873502E-001            NaN            NaN
  1252.03        500.000                 NaN   97.6413       0.646067                 NaN            NaN  0.286848                 NaN   1.34108       0.846657E-001            NaN            NaN
  1251.03        500.000                 NaN   97.7068       0.628104                 NaN            NaN  0.279084                 NaN   1.30423       0.817940E-001            NaN            NaN
  1250.02        500.000                 NaN   97.7698       0.610272                 NaN            NaN  0.270776                 NaN   1.26967       0.794969E-001            NaN            NaN
  1249.02        500.000                 NaN   97.8311       0.592667                 NaN            NaN  0.263165                 NaN   1.23601       0.770378E-001            NaN            NaN
  1248.02        500.000                 NaN   97.8873       0.577480                 NaN            NaN  0.256162                 NaN   1.20446       0.745807E-001            NaN            NaN
  1247.01        500.000                 NaN   97.9445       0.560914                 NaN            NaN  0.248820                 NaN   1.17336       0.724155E-001            NaN            NaN
  1246.01        500.000                 NaN   97.9975       0.545682                 NaN            NaN  0.241482                 NaN   1.14475       0.706019E-001            NaN            NaN
  1245.00        500.000                 NaN   98.0489       0.532025                 NaN            NaN  0.236501                 NaN   1.11494       0.676309E-001            NaN            NaN
  1244.00        500.000                 NaN   98.0937       0.520148                 NaN            NaN  0.230706                 NaN   1.08978       0.656543E-001            NaN            NaN
  1242.99        500.000                 NaN   98.1428       0.505508                 NaN            NaN  0.223445                 NaN   1.06398       0.642458E-001            NaN            NaN
  1241.99        500.000                 NaN   98.1864       0.493823                 NaN            NaN  0.218459                 NaN   1.03929       0.620559E-001            NaN            NaN
  1240.99        500.000                 NaN   98.2333       0.479360                 NaN            NaN  0.212079                 NaN   1.01476       0.604896E-001            NaN            NaN
  1239.98        500.000                 NaN   98.2682       0.471502                 NaN            NaN  0.207761                 NaN  0.994042       0.585073E-001            NaN            NaN
  1238.98        500.000                 NaN   98.3118       0.458259                 NaN            NaN  0.202135                 NaN  0.970891       0.569165E-001            NaN            NaN
  1237.97        500.000                 NaN   98.3487       0.448102                 NaN            NaN  0.196496                 NaN  0.951056       0.556587E-001            NaN            NaN
  1236.97        500.000                 NaN   98.3868       0.437993                 NaN            NaN  0.192667                 NaN  0.928998       0.535495E-001            NaN            NaN
  1235.97        500.000                 NaN   98.4220       0.428354                 NaN            NaN  0.187691                 NaN  0.909857       0.521216E-001            NaN            NaN
  1234.96        500.000                 NaN   98.4570       0.417982                 NaN            NaN  0.182901                 NaN  0.891256       0.508845E-001            NaN            NaN
  1233.96        500.000                 NaN   98.4910       0.408937                 NaN            NaN  0.179082                 NaN  0.871930       0.490844E-001            NaN            NaN
  1232.95        500.000                 NaN   98.5233       0.400024                 NaN            NaN  0.174872                 NaN  0.854163       0.476153E-001            NaN            NaN
  1231.95        500.000                 NaN   98.5549       0.391389                 NaN            NaN  0.171151                 NaN  0.836475       0.461142E-001            NaN            NaN
  1230.95        500.000                 NaN   98.5873       0.381724                 NaN            NaN  0.166423                 NaN  0.819473       0.450636E-001            NaN            NaN
  1229.94        500.000                 NaN   98.6149       0.374659                 NaN            NaN  0.163228                 NaN  0.803624       0.435641E-001            NaN            NaN
  1228.94        500.000                 NaN   98.6451       0.365393                 NaN            NaN  0.158999                 NaN  0.787976       0.425737E-001            NaN            NaN
  1227.93        500.000                 NaN   98.6755       0.356533                 NaN            NaN  0.155129                 NaN  0.771509       0.413063E-001            NaN            NaN
  1226.93        500.000                 NaN   98.6975       0.351795                 NaN            NaN  0.151636                 NaN  0.758757       0.403406E-001            NaN            NaN
  1225.92        500.000                 NaN   98.7245       0.343763                 NaN            NaN  0.148427                 NaN  0.744207       0.390911E-001            NaN            NaN
  1224.92        500.000                 NaN   98.7527       0.334978                 NaN            NaN  0.144503                 NaN  0.729646       0.381670E-001            NaN            NaN
  1223.92        500.000                 NaN   98.7748       0.329945                 NaN            NaN  0.141678                 NaN  0.716630       0.369796E-001            NaN            NaN
  1222.91        500.000                 NaN   98.7646       0.329899                 NaN            NaN  0.145354                 NaN  0.724025       0.361706E-001            NaN            NaN
  1221.91        500.000                 NaN   98.8521       0.313498                 NaN            NaN  0.131753                 NaN  0.669116       0.335539E-001            NaN            NaN
  1220.90        500.000                 NaN   98.8452       0.310277                 NaN            NaN  0.132171                 NaN  0.678182       0.341569E-001            NaN            NaN
  1219.90        500.000                 NaN   98.8636       0.305708                 NaN            NaN  0.130037                 NaN  0.667549       0.330785E-001            NaN            NaN
  1218.90        500.000                 NaN   98.8857       0.299737                 NaN            NaN  0.127465                 NaN  0.655169       0.319436E-001            NaN            NaN
  1217.89        500.000                 NaN   98.9056       0.294384                 NaN            NaN  0.124947                 NaN  0.644022       0.310451E-001            NaN            NaN
  1216.89        500.000                 NaN   98.9292       0.287046                 NaN            NaN  0.121668                 NaN  0.631768       0.303633E-001            NaN            NaN
  1215.88        500.000                 NaN   98.9445       0.284185                 NaN            NaN  0.119634                 NaN  0.622363       0.293365E-001            NaN            NaN
  1214.88        500.000                 NaN   98.9641       0.278064                 NaN            NaN  0.116795                 NaN  0.612257       0.287391E-001            NaN            NaN
  1213.88        500.000                 NaN   98.9833       0.273116                 NaN            NaN  0.114775                 NaN  0.601058       0.277311E-001            NaN            NaN
  1212.87        500.000                 NaN   99.0018       0.267848                 NaN            NaN  0.112698                 NaN  0.590860       0.268401E-001            NaN            NaN
  1211.87        500.000                 NaN   99.0177       0.263525                 NaN            NaN  0.109873                 NaN  0.582505       0.264426E-001            NaN            NaN
  1210.86        500.000                 NaN   99.0401       0.255290                 NaN            NaN  0.107022                 NaN  0.571835       0.257277E-001            NaN            NaN
  1209.86        500.000                 NaN   99.0506       0.255078                 NaN            NaN  0.105497                 NaN  0.563802       0.250185E-001            NaN            NaN
  1208.85        500.000                 NaN   99.0685       0.249267                 NaN            NaN  0.103503                 NaN  0.554481       0.242140E-001            NaN            NaN
  1207.85        500.000                 NaN   99.0831       0.246085                 NaN            NaN  0.101892                 NaN  0.545534       0.233540E-001            NaN            NaN
  1206.85        500.000                 NaN   99.0986       0.241465                 NaN            NaN  0.990452E-001            NaN  0.537788       0.231093E-001            NaN            NaN
  1205.84        500.000                 NaN   99.1139       0.237328                 NaN            NaN  0.977597E-001            NaN  0.528965       0.220795E-001            NaN            NaN
  1204.84        500.000                 NaN   99.1263       0.234370                 NaN            NaN  0.961076E-001            NaN  0.521549       0.216260E-001            NaN            NaN
  1203.83        500.000                 NaN   99.1418       0.228927                 NaN            NaN  0.927629E-001            NaN  0.514989       0.215477E-001            NaN            NaN
  1202.83        500.000                 NaN   99.1562       0.226032                 NaN            NaN  0.921512E-001            NaN  0.505188       0.204339E-001            NaN            NaN
  1201.83        500.000                 NaN   99.1680       0.222194                 NaN            NaN  0.900076E-001            NaN  0.499638       0.201259E-001            NaN            NaN
  1200.82        500.000                 NaN   99.1828       0.218598                 NaN            NaN  0.884398E-001            NaN  0.490638       0.194780E-001            NaN            NaN
  1199.82        500.000                 NaN   99.1971       0.214625                 NaN            NaN  0.869052E-001            NaN  0.482588       0.187881E-001            NaN            NaN
  1198.81        500.000                 NaN   92.1601       0.208981       0.687773                 NaN  0.633459                 NaN   3.15762       0.728098E-001   3.07922                 NaN
  1197.81        500.000                 NaN   91.0798       0.837428                 NaN            NaN  0.688329                 NaN   3.19389       0.995670E-001   4.10095                 NaN
  1196.81        500.000                 NaN   98.3593       0.447564                 NaN            NaN  0.681499E-001            NaN   1.09169                 NaN  0.332920E-001            NaN
  1195.80        500.000                 NaN   96.1198       0.499052                 NaN            NaN  0.323375                 NaN   1.56041       0.295939E-001   1.46775                 NaN
  1194.80        500.000                 NaN   93.6339       0.202613       0.532620                 NaN  0.489283                 NaN   2.58166       0.521255E-001   2.50775                 NaN
  1193.79        500.000                 NaN   91.1506       0.777777       0.236104                 NaN  0.660902                 NaN   3.59660       0.704461E-001   3.50763                 NaN
  1192.79        500.000                 NaN   85.0878       0.634262        1.05216                 NaN   1.13715                 NaN   6.07047       0.930852E-001   5.92504                 NaN
  1191.79        500.000                 NaN   80.3836        1.98209       0.112018                 NaN   1.35799                 NaN   8.16954       0.163434        7.83130                 NaN
  1190.78        500.000                 NaN            NaN   11.0754                 NaN            NaN   7.19480                 NaN   41.1896       0.616608        39.9236                 NaN
  1189.78        500.000                 NaN            NaN   11.0756                 NaN            NaN   7.19526                 NaN   41.1890       0.616478        39.9237                 NaN
  1188.77        500.000                 NaN            NaN   11.0759                 NaN            NaN   7.19570                 NaN   41.1884       0.616362        39.9237                 NaN
