|6.6.6
Archiving\03_Data\Deqfrac/QFM_m0.75/K22/K22_1.tab                     
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm           
  1581.14        2500.00                 NaN   99.1823       0.744869       0.728010E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1579.57        2500.00                 NaN   99.2079       0.722456       0.696130E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1578.01        2500.00                 NaN   99.2064       0.729594       0.639822E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        2500.00                 NaN   99.2098       0.715495       0.746757E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1574.87        2500.00                 NaN   99.2218       0.710634       0.675295E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1573.31        2500.00                 NaN   99.2253       0.709012       0.657106E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1571.74        2500.00                 NaN   99.2291       0.706170       0.646798E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1570.18        2500.00                 NaN   99.1538       0.770690       0.754683E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1568.61        2500.00                 NaN   99.3366       0.608861       0.545427E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1567.04        2500.00                 NaN   99.2506       0.688056       0.612997E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1565.48        2500.00                 NaN   99.2554       0.685695       0.589366E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        2500.00                 NaN   99.0654       0.855692       0.789388E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1562.34        2500.00                 NaN   99.4702       0.489677       0.400776E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1560.78        2500.00                 NaN   99.2733       0.668975       0.577534E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1559.21        2500.00                 NaN   99.2787       0.664593       0.566854E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1557.64        2500.00                 NaN   99.2880       0.658054       0.539805E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1556.08        2500.00                 NaN   99.2936       0.651482       0.549264E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1554.51        2500.00                 NaN   99.2965       0.651108       0.523920E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1552.94        2500.00                 NaN   99.3026       0.644832       0.525651E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        2500.00                 NaN   99.3067       0.642749       0.505543E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1549.81        2500.00                 NaN   99.3118       0.638547       0.496781E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1548.25        2500.00                 NaN   99.3153       0.636718       0.479840E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1546.68        2500.00                 NaN   99.3245       0.627667       0.477852E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1545.11        2500.00                 NaN   99.3259       0.628100       0.459677E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1543.55        2500.00                 NaN   99.3324       0.621712       0.458939E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1541.98        2500.00                 NaN   99.3373       0.616906       0.458305E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1540.41        2500.00                 NaN   99.3392       0.617783       0.429790E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        2500.00                 NaN   99.3453       0.613267       0.414337E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1537.28        2500.00                 NaN   99.3493       0.591411       0.592921E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1535.71        2500.00                 NaN   99.3521       0.626404       0.214787E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1534.15        2500.00                 NaN   99.3574       0.603052       0.395003E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1532.58        2500.00                 NaN   99.3623       0.599675       0.380271E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1531.02        2500.00                 NaN   99.3650       0.597910       0.371089E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1529.45        2500.00                 NaN   99.3686       0.596005       0.353893E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1527.88        2500.00                 NaN   99.9954       0.366399E-002  0.891976E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1526.32        2500.00                 NaN   98.7581        1.17373       0.681938E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1524.75        2500.00                 NaN   99.3802       0.585716       0.340532E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1523.18        2500.00                 NaN   99.5292       0.446087       0.247283E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1521.62        2500.00                 NaN   99.2427       0.718521       0.387550E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1520.05        2500.00                 NaN   99.3912       0.578881       0.299691E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1518.48        2500.00                 NaN   99.1881       0.772108       0.397951E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1516.92        2500.00                 NaN   99.8527       0.139485       0.779380E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1515.35        2500.00                 NaN   99.1519       0.811584       0.365217E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1513.78        2500.00                 NaN   99.4041       0.569541       0.263160E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1512.22        2500.00                 NaN   99.4057       0.569588       0.247232E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1510.65        2500.00                 NaN   99.3736       0.458410       0.156545E-001  0.152332                 NaN            NaN            NaN            NaN            NaN
  1509.09        2500.00                 NaN   99.0670                 NaN            NaN  0.780254       0.152780                 NaN            NaN            NaN            NaN
  1507.52        2500.00                 NaN   98.6908                 NaN  0.239135E-001  0.784009       0.501248                 NaN            NaN            NaN            NaN
  1505.95        2500.00                 NaN   98.7050                 NaN  0.562083E-001  0.789937       0.448868                 NaN            NaN            NaN            NaN
  1504.39        2500.00                 NaN   98.7183                 NaN  0.538353E-001  0.447309       0.780515                 NaN            NaN            NaN            NaN
  1502.82        2500.00                 NaN   98.7315                 NaN  0.521387E-001  0.443963       0.772374                 NaN            NaN            NaN            NaN
  1501.25        2500.00                 NaN   98.7443       0.580178E-002  0.500656E-001  0.434850       0.764934                 NaN            NaN            NaN            NaN
  1499.69        2500.00                 NaN   98.7578       0.846578E-001  0.462033E-001  0.765773       0.345535                 NaN            NaN            NaN            NaN
  1498.12        2500.00                 NaN   98.7684       0.288194E-001  0.456163E-001  0.751934       0.405193                 NaN            NaN            NaN            NaN
  1496.55        2500.00                 NaN   98.7813                 NaN  0.448134E-001  0.741610       0.432290                 NaN            NaN            NaN            NaN
  1494.99        2500.00                 NaN   98.7915       0.149623E-002  0.428961E-001  0.734320       0.429795                 NaN            NaN            NaN            NaN
  1493.42        2500.00                 NaN   98.8038                 NaN  0.413095E-001  0.428613       0.726292                 NaN            NaN            NaN            NaN
  1491.85        2500.00                 NaN   98.8123                 NaN  0.396874E-001  0.426193       0.721867                 NaN            NaN            NaN            NaN
  1490.29        2500.00                 NaN   98.8254       0.100458       0.347041E-001  0.721612       0.317798                 NaN            NaN            NaN            NaN
  1488.72        2500.00                 NaN   98.8358                 NaN  0.361734E-001  0.706377       0.421640                 NaN            NaN            NaN            NaN
  1487.16        2500.00                 NaN   98.8457                 NaN  0.345432E-001  0.700344       0.419385                 NaN            NaN            NaN            NaN
  1485.59        2500.00                 NaN   98.8555                 NaN  0.332936E-001  0.417060       0.694097                 NaN            NaN            NaN            NaN
  1484.02        2500.00                 NaN   98.8643                 NaN  0.317782E-001  0.415511       0.688378                 NaN            NaN            NaN            NaN
  1482.46        2500.00                 NaN   98.8725                 NaN  0.306014E-001  0.683347       0.413502                 NaN            NaN            NaN            NaN
  1480.89        2500.00                 NaN   98.8856                 NaN  0.286855E-001  0.675553       0.410167                 NaN            NaN            NaN            NaN
  1479.32        2500.00                 NaN   98.8924                 NaN  0.276701E-001  0.408497       0.671419                 NaN            NaN            NaN            NaN
  1477.76        2500.00                 NaN   98.9014                 NaN  0.262426E-001  0.406350       0.665984                 NaN            NaN            NaN            NaN
  1476.19        2500.00                 NaN   98.9087                 NaN  0.244273E-001  0.405277       0.661580                 NaN            NaN            NaN            NaN
  1474.62        2500.00                 NaN   98.9246       0.129661       0.175831E-001  0.268734       0.659386                 NaN            NaN            NaN            NaN
  1473.06        2500.00                 NaN   98.9272                 NaN  0.276395E-005  0.643584       0.429238                 NaN            NaN            NaN            NaN
  1471.49        2500.00                 NaN   98.9398                 NaN  0.429285E-001  0.650775       0.366529                 NaN            NaN            NaN            NaN
  1469.92        2500.00                 NaN   98.9438                 NaN  0.194973E-001  0.640697       0.396027                 NaN            NaN            NaN            NaN
  1468.36        2500.00                 NaN   98.9516                 NaN  0.182421E-001  0.394522       0.635629                 NaN            NaN            NaN            NaN
  1466.79        2500.00                 NaN   98.9600                 NaN  0.170575E-001  0.631012       0.391919                 NaN            NaN            NaN            NaN
  1465.23        2500.00                 NaN   98.9658                 NaN  0.160346E-001  0.627344       0.390830                 NaN            NaN            NaN            NaN
  1463.66        2500.00                 NaN   98.9764                 NaN  0.143568E-001  0.388257       0.620993                 NaN            NaN            NaN            NaN
  1462.09        2500.00                 NaN   98.9807                 NaN  0.136476E-001  0.619527       0.386115                 NaN            NaN            NaN            NaN
  1460.53        2500.00                 NaN   98.9894                 NaN  0.122751E-001  0.613791       0.384549                 NaN            NaN            NaN            NaN
  1458.96        2500.00                 NaN   98.9955                 NaN  0.112199E-001  0.610283       0.383045                 NaN            NaN            NaN            NaN
  1457.39        2500.00                 NaN   98.9995                 NaN  0.104142E-001  0.382802       0.607293                 NaN            NaN            NaN            NaN
  1455.83        2500.00                 NaN   99.0103                 NaN  0.929914E-003  0.390393       0.598344                 NaN            NaN            NaN            NaN
  1454.26        2500.00                 NaN   99.0626                 NaN  0.157620E-001  0.572609       0.348995                 NaN            NaN            NaN            NaN
  1452.69        2500.00                 NaN   98.9743                 NaN  0.713735E-002  0.394395       0.624186                 NaN            NaN            NaN            NaN
  1451.13        2500.00                 NaN   99.0285                 NaN  0.574835E-002  0.591616       0.374118                 NaN            NaN            NaN            NaN
  1449.56        2500.00                 NaN   99.0330                 NaN  0.486606E-002  0.373148       0.588977                 NaN            NaN            NaN            NaN
  1447.99        2500.00                 NaN   99.0389                 NaN  0.385155E-002  0.586010       0.371286                 NaN            NaN            NaN            NaN
  1446.43        2500.00                 NaN   98.6004                 NaN  0.765001E-001  0.478889       0.633049                 NaN  0.211112                 NaN            NaN
  1444.86        2500.00                 NaN   97.5427                 NaN  0.257012       0.733595       0.744031                 NaN  0.722614                 NaN            NaN
  1443.30        2500.00                 NaN   95.8183                 NaN  0.448752        1.27490        1.23004                 NaN   1.22796                 NaN            NaN
  1441.73        2500.00                 NaN   99.4353                 NaN  0.596217E-001  0.167337       0.172789                 NaN  0.164930                 NaN            NaN
  1440.16        2500.00                 NaN   97.6879                 NaN  0.252387       0.675469       0.703037                 NaN  0.681177                 NaN            NaN
  1438.60        2500.00                 NaN   97.7453                 NaN  0.248448       0.655572       0.687125                 NaN  0.663518                 NaN            NaN
  1437.03        2500.00                 NaN   97.7811                 NaN  0.247579       0.640232       0.677263                 NaN  0.653808                 NaN            NaN
  1435.46        2500.00                 NaN   97.8296                 NaN  0.247766       0.663778       0.619403                 NaN  0.639463                 NaN            NaN
  1433.90        2500.00                 NaN   97.8681                 NaN  0.245495       0.653092       0.605118                 NaN  0.628223                 NaN            NaN
  1432.33        2500.00                 NaN   97.9005                 NaN  0.244871       0.591605       0.644622                 NaN  0.618356                 NaN            NaN
  1430.76        2500.00                 NaN   97.9511                 NaN  0.242916       0.629731       0.572352                 NaN  0.603860                 NaN            NaN
  1429.20        2500.00                 NaN   97.9843                 NaN  0.241661       0.620638       0.559314                 NaN  0.594061                 NaN            NaN
  1427.63        2500.00                 NaN   98.0176                 NaN  0.240886       0.545481       0.611407                 NaN  0.584629                 NaN            NaN
  1426.07        2500.00                 NaN   98.0556                 NaN  0.239433       0.600369       0.531241                 NaN  0.573309                 NaN            NaN
  1424.50        2500.00                 NaN   98.0888                 NaN  0.238421       0.518337       0.590660                 NaN  0.563781                 NaN            NaN
  1422.93        2500.00                 NaN   98.1222                 NaN  0.237158       0.505252       0.581461                 NaN  0.553961                 NaN            NaN
  1421.37        2500.00                 NaN   98.1536                 NaN  0.236358       0.572501       0.492821                 NaN  0.544769                 NaN            NaN
  1419.80        2500.00                 NaN   98.1769                 NaN  0.237100       0.481094       0.566254                 NaN  0.538695                 NaN            NaN
  1418.23        2500.00                 NaN   98.2237                 NaN  0.232522       0.551811       0.468326                 NaN  0.523603                 NaN            NaN
  1416.67        2500.00                 NaN   98.2425                 NaN  0.233742       0.547860       0.457359                 NaN  0.518505                 NaN            NaN
  1415.10        2500.00                 NaN   98.2709                 NaN  0.232833       0.539760       0.446616                 NaN  0.509925                 NaN            NaN
  1413.53        2500.00                 NaN   98.2713                 NaN  0.174630       0.529227       0.521056                 NaN  0.503819                 NaN            NaN
  1411.97        2500.00                 NaN   98.3499                 NaN  0.291139       0.537236       0.328502                 NaN  0.493253                 NaN            NaN
  1410.40        2500.00                 NaN   98.3503                 NaN  0.230592       0.516789       0.415627                 NaN  0.486651                 NaN            NaN
  1408.83        2500.00                 NaN   98.3767                 NaN  0.229591       0.509622       0.405270                 NaN  0.478867                 NaN            NaN
  1407.27        2500.00                 NaN   98.4021                 NaN  0.228800       0.395971       0.501645                 NaN  0.471455                 NaN            NaN
  1405.70        2500.00                 NaN   98.4248                 NaN  0.228198       0.495857       0.386610                 NaN  0.464540                 NaN            NaN
  1404.14        2500.00                 NaN   98.4476                 NaN  0.227499       0.489548       0.377551                 NaN  0.457803                 NaN            NaN
  1402.57        2500.00                 NaN   98.4706                 NaN  0.226833       0.482152       0.369461                 NaN  0.450992                 NaN            NaN
  1401.00        2500.00                 NaN   98.4943                 NaN  0.225832       0.360037       0.475798                 NaN  0.443986                 NaN            NaN
  1399.44        2500.00                 NaN   98.5121                 NaN  0.226165       0.470522       0.352032                 NaN  0.439170                 NaN            NaN
  1397.87        2500.00                 NaN   98.5372                 NaN  0.223872       0.343920       0.464149                 NaN  0.430884                 NaN            NaN
  1396.30        2500.00                 NaN   98.5506                 NaN  0.224693       0.459530       0.337658                 NaN  0.427482                 NaN            NaN
  1394.74        2500.00                 NaN   98.5803                 NaN  0.222922       0.452287       0.326699                 NaN  0.417825                 NaN            NaN
  1393.17        2500.00                 NaN   98.5952                 NaN  0.222599       0.447058       0.321439                 NaN  0.413712                 NaN            NaN
  1391.60        2500.00                 NaN   98.6094                 NaN  0.223957       0.444016       0.312719                 NaN  0.409951                 NaN            NaN
  1390.04        2500.00                 NaN   98.6346                 NaN  0.219781       0.308013       0.436061                 NaN  0.401543                 NaN            NaN
  1388.47        2500.00                 NaN   98.6460                 NaN  0.219928       0.303430       0.432107                 NaN  0.398566                 NaN            NaN
  1386.90        2500.00                 NaN   98.6721                 NaN  0.221240       0.289733       0.426331                 NaN  0.390588                 NaN            NaN
  1385.34        2500.00                 NaN   98.6847                 NaN  0.219596       0.287142       0.421903                 NaN  0.386708                 NaN            NaN
  1383.77        2500.00                 NaN   98.7018                 NaN  0.218926       0.417137       0.280596                 NaN  0.381589                 NaN            NaN
  1382.21        2500.00                 NaN   98.7173                 NaN  0.218396       0.412715       0.274722                 NaN  0.376842                 NaN            NaN
  1380.64        2500.00                 NaN   98.7342                 NaN  0.217417       0.407533       0.269190                 NaN  0.371679                 NaN            NaN
  1379.07        2500.00                 NaN   98.7492                 NaN  0.216896       0.403754       0.263042                 NaN  0.367074                 NaN            NaN
  1377.51        2500.00                 NaN   98.7649                 NaN  0.216349       0.398929       0.257349                 NaN  0.362465                 NaN            NaN
  1375.94        2500.00                 NaN   98.7801                 NaN  0.215227       0.394760       0.252349                 NaN  0.357519                 NaN            NaN
  1374.37        2500.00                 NaN   98.7811                 NaN  0.218453       0.246559       0.395138                 NaN  0.358782                 NaN            NaN
  1372.81        2500.00                 NaN   98.8252                 NaN  0.209605       0.381116       0.241084                 NaN  0.343000                 NaN            NaN
  1371.24        2500.00                 NaN   98.8220                 NaN  0.213166       0.237261       0.382913                 NaN  0.344667                 NaN            NaN
  1369.67        2500.00                 NaN   98.8354                 NaN  0.212711       0.378711       0.232408                 NaN  0.340731                 NaN            NaN
  1368.11        2500.00                 NaN   98.8502                 NaN  0.211073       0.228242       0.374593                 NaN  0.335852                 NaN            NaN
  1366.54        2500.00                 NaN   98.8625                 NaN  0.210708       0.371155       0.223435                 NaN  0.332211                 NaN            NaN
  1364.97        2500.00                 NaN   98.8750                 NaN  0.209806       0.219587       0.367384                 NaN  0.328186                 NaN            NaN
  1363.41        2500.00                 NaN   98.8881                 NaN  0.209101       0.214856       0.363750                 NaN  0.324225                 NaN            NaN
  1361.84        2500.00                 NaN   98.9003                 NaN  0.207667       0.360203       0.211577                 NaN  0.320279                 NaN            NaN
  1360.28        2500.00                 NaN   98.9118                 NaN  0.207001       0.357136       0.207553                 NaN  0.316534                 NaN            NaN
  1358.71        2500.00                 NaN   98.9242                 NaN  0.205367       0.353153       0.204600                 NaN  0.312682                 NaN            NaN
  1357.14        2500.00                 NaN   98.9318                 NaN  0.206103       0.199887       0.351621                 NaN  0.310636                 NaN            NaN
  1355.58        2500.00                 NaN   98.9490                 NaN  0.202593       0.198715       0.344887                 NaN  0.304793                 NaN            NaN
  1354.01        2500.00                 NaN   98.9572                 NaN  0.202179       0.343086       0.195334                 NaN  0.302190                 NaN            NaN
  1352.44        2500.00                 NaN   98.9690                 NaN  0.201128       0.340117       0.191372                 NaN  0.298355                 NaN            NaN
  1350.88        2500.00                 NaN   98.9792                 NaN  0.200062       0.336907       0.188607                 NaN  0.295184                 NaN            NaN
  1349.31        2500.00                 NaN   98.9899                 NaN  0.198759       0.185871       0.333738                 NaN  0.291750                 NaN            NaN
  1347.74        2500.00                 NaN   98.9998                 NaN  0.197471       0.183639       0.330495                 NaN  0.288549                 NaN            NaN
  1346.18        2500.00                 NaN   99.0099                 NaN  0.196121       0.327543       0.181215                 NaN  0.285212                 NaN            NaN
  1344.61        2500.00                 NaN   99.0198                 NaN  0.195060       0.324404       0.178571                 NaN  0.282166                 NaN            NaN
  1343.05        2500.00                 NaN   99.0294                 NaN  0.193419       0.177162       0.321094                 NaN  0.278948                 NaN            NaN
  1341.48        2500.00                 NaN   99.0391                 NaN  0.191258       0.318215       0.175856                 NaN  0.275603                 NaN            NaN
  1339.91        2500.00                 NaN   99.0482                 NaN  0.190498       0.172811       0.315726                 NaN  0.272746                 NaN            NaN
  1338.35        2500.00                 NaN   99.0571                 NaN  0.188133       0.312281       0.172791                 NaN  0.269701                 NaN            NaN
  1336.78        2500.00                 NaN   99.0660                 NaN  0.187266       0.309763       0.170008                 NaN  0.266976                 NaN            NaN
  1335.21        2500.00                 NaN   99.0748                 NaN  0.185056       0.169588       0.306701                 NaN  0.263872                 NaN            NaN
  1333.65        2500.00                 NaN   99.0834                 NaN  0.183664       0.168136       0.303588                 NaN  0.261210                 NaN            NaN
  1332.08        2500.00                 NaN   99.0919                 NaN  0.181474       0.301771       0.166733                 NaN  0.258123                 NaN            NaN
  1330.51        2500.00                 NaN   99.1000                 NaN  0.179935       0.166042       0.298577                 NaN  0.255470                 NaN            NaN
  1328.95        2500.00                 NaN   99.1071                 NaN  0.177675       0.295934       0.166427                 NaN  0.252843                 NaN            NaN
  1327.38        2500.00                 NaN   99.1154                 NaN  0.175822       0.293069       0.165562                 NaN  0.250153                 NaN            NaN
  1325.81        2500.00                 NaN   99.1237                 NaN  0.173873       0.164982       0.289984                 NaN  0.247469                 NaN            NaN
  1324.25        2500.00                 NaN   99.1267                 NaN  0.175276       0.162318       0.288394                 NaN  0.247269                 NaN            NaN
  1322.68        2500.00                 NaN   99.1438                 NaN  0.166324       0.167105       0.282856                 NaN  0.239919                 NaN            NaN
  1321.12        2500.00                 NaN   99.1454                 NaN  0.167733       0.164471       0.282560                 NaN  0.239885                 NaN            NaN
  1319.55        2500.00                 NaN   99.1531                 NaN  0.165210       0.165075       0.279375                 NaN  0.237273                 NaN            NaN
  1317.98        2500.00                 NaN   99.1596                 NaN  0.162971       0.165748       0.276618                 NaN  0.235072                 NaN            NaN
  1316.42        2500.00                 NaN   99.1670                 NaN  0.160593       0.273706       0.166331                 NaN  0.232383                 NaN            NaN
  1314.85        2500.00                 NaN   99.1734                 NaN  0.158317       0.271258       0.166846                 NaN  0.230217                 NaN            NaN
  1313.28        2500.00                 NaN   99.1799                 NaN  0.155895       0.268585       0.167698                 NaN  0.227924                 NaN            NaN
  1311.72        2500.00                 NaN   99.1862                 NaN  0.153280       0.266002       0.168884                 NaN  0.225594                 NaN            NaN
  1310.15        2500.00                 NaN   99.1926                 NaN  0.151893       0.169473       0.261946                 NaN  0.224052                 NaN            NaN
  1308.58        2500.00                 NaN   99.1986                 NaN  0.147401       0.262013       0.171335                 NaN  0.220667                 NaN            NaN
  1307.02        2500.00                 NaN   99.2048                 NaN  0.145868       0.257411       0.172715                 NaN  0.219174                 NaN            NaN
  1305.45        2500.00                 NaN   99.2099                 NaN  0.142069       0.254815       0.176251                 NaN  0.217014                 NaN            NaN
  1303.88        2500.00                 NaN   99.2169                 NaN  0.140498       0.175344       0.252423                 NaN  0.214803                 NaN            NaN
  1302.32        2500.00                 NaN   99.2225                 NaN  0.137644       0.249506       0.177511                 NaN  0.212794                 NaN            NaN
  1300.75        2500.00                 NaN   99.2276                 NaN  0.135008       0.246842       0.179608                 NaN  0.210966                 NaN            NaN
  1299.19        2500.00                 NaN   99.2340                 NaN  0.132034       0.243797       0.181438                 NaN  0.208750                 NaN            NaN
  1297.62        2500.00                 NaN   99.2391                 NaN  0.129310       0.240953       0.183751                 NaN  0.206901                 NaN            NaN
  1296.05        2500.00                 NaN   99.2430                 NaN  0.126253       0.187215       0.238174                 NaN  0.205393                 NaN            NaN
  1294.49        2500.00                 NaN   99.2495                 NaN  0.123339       0.235914       0.188276                 NaN  0.202992                 NaN            NaN
  1292.92        2500.00                 NaN   99.2543                 NaN  0.121547       0.189672       0.232900                 NaN  0.201534                 NaN            NaN
  1291.35        2500.00                 NaN   99.2594                 NaN  0.116823       0.229495       0.194878                 NaN  0.199415                 NaN            NaN
  1289.79        2500.00                 NaN   99.2637                 NaN  0.115051       0.227151       0.196039                 NaN  0.198070                 NaN            NaN
  1288.22        2500.00                 NaN   99.2694                 NaN  0.112001       0.198026       0.224604                 NaN  0.195958                 NaN            NaN
  1286.65        2500.00                 NaN   99.2740                 NaN  0.108756       0.202119       0.220752                 NaN  0.194392                 NaN            NaN
  1285.09        2500.00                 NaN   97.1434                 NaN  0.368899       0.192822       0.497826                 NaN  0.440878        1.35613                 NaN
  1283.52        2500.00                 NaN   89.7664                 NaN   1.26519        1.46690       0.163289                 NaN   1.29469        6.04349                 NaN
  1281.95        2500.00                 NaN   89.5762                 NaN   1.29695       0.125689        1.51759                 NaN   1.31507        6.16853                 NaN
  1280.39        2500.00                 NaN   89.4390                 NaN   1.32782        1.56710       0.732366E-001            NaN   1.32930        6.26350                 NaN
  1278.82        2500.00       0.916220        79.4024                 NaN   1.47767        3.20286       0.412690                 NaN   2.43466        12.1535                 NaN
  1277.26        2500.00        8.01533                 NaN            NaN   2.58455        3.81835        15.3758                 NaN   11.0946        59.1113                 NaN
  1275.69        2500.00        8.00638                 NaN            NaN   2.61307        15.3214        3.84013                 NaN   11.1102        59.1088                 NaN
  1274.12        2500.00        7.99803                 NaN            NaN   2.64020        15.2597        3.86897                 NaN   11.1266        59.1066                 NaN
  1272.56        2500.00        7.98402                 NaN            NaN   2.68188        15.2177        3.87061                 NaN   11.1416        59.1042                 NaN
  1270.99        2500.00        7.97695                 NaN            NaN   2.70531        15.1695        3.88915                 NaN   11.1576        59.1015                 NaN
  1269.42        2500.00        7.96877                 NaN            NaN   2.73158        15.1217        3.90559                 NaN   11.1734        59.0989                 NaN
  1267.86        2500.00        7.96092                 NaN            NaN   2.75678        15.0747        3.92228                 NaN   11.1892        59.0961                 NaN
