|6.6.6
Archiving\03_Data\Deqfrac/QFM_m5/K22/K22_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        iron           an             San(TH)        ilm            ne             lc            
  1588.68        2500.00        99.2786       0.661785       0.595732E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.10        2500.00        99.2976       0.644713       0.577194E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.52        2500.00        99.2960       0.647603       0.563755E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.94        2500.00        99.3060       0.637156       0.568569E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.35        2500.00        99.3069       0.637307       0.557990E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1580.77        2500.00        99.3218       0.623603       0.546139E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.19        2500.00        99.4756       0.480976       0.433975E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1577.61        2500.00        99.0074       0.896099       0.964881E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.02        2500.00        99.5034       0.483238       0.134054E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.44        2500.00        99.3428       0.605498       0.517496E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.86        2500.00        99.3477       0.601574       0.507124E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.28        2500.00        99.3534       0.598596       0.480405E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.69        2500.00        99.2164       0.705473       0.781474E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.11        2500.00        99.5036       0.481143       0.152711E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.53        2500.00        99.3711       0.582591       0.463571E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.95        2500.00        99.3711       0.583878       0.450523E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.36        2500.00        99.3830       0.572705       0.443100E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.78        2500.00        99.3855       0.570981       0.435061E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.20        2500.00        99.5089       0.455263       0.358769E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.62        2500.00        99.2785       0.670971       0.505558E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.03        2500.00        99.3957       0.562771       0.415327E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.45        2500.00        99.3625       0.594080       0.434090E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.87        2500.00        99.4568       0.506922       0.362750E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.29        2500.00        99.4114       0.550998       0.375731E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1550.70        2500.00        99.4188       0.544407       0.368213E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.12        2500.00        99.4241       0.539013       0.368668E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.54        2500.00        99.4270       0.537166       0.358488E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.96        2500.00        99.4298       0.535124       0.350756E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.37        2500.00        99.4387       0.526910       0.344183E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.79        2500.00        99.4387       0.527466       0.338596E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.21        2500.00        99.4466       0.520484       0.329475E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.63        2500.00        99.4405       0.524261       0.352638E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.04        2500.00        99.4617       0.509048       0.292974E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.46        2500.00        99.4555       0.514513       0.299784E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.88        2500.00        99.4605       0.509587       0.299328E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.30        2500.00        99.3622       0.180582                 NaN  0.457251                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.71        2500.00        99.3084       0.704643E-001            NaN  0.621123                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.13        2500.00        99.3026                 NaN            NaN  0.697382                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.55        2500.00        99.3019                 NaN            NaN  0.698097                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.97        2500.00        99.2640       0.118250       0.134653E-002  0.616384                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.38        2500.00        99.0702                 NaN  0.657279E-001  0.864029                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.80        2500.00        99.6086                 NaN            NaN  0.391416                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.22        2500.00        99.2985                 NaN            NaN  0.701475                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.64        2500.00        99.3006                 NaN            NaN  0.699352                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.05        2500.00        99.2949                 NaN            NaN  0.705065                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.47        2500.00        99.2924                 NaN            NaN  0.707579                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.89        2500.00        99.2865                 NaN            NaN  0.713493                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.31        2500.00        99.2781                 NaN            NaN  0.721922                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.72        2500.00        99.2717                 NaN            NaN  0.728280                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.14        2500.00        99.0106                 NaN            NaN  0.549738       0.439639                 NaN            NaN            NaN            NaN            NaN            NaN
  1509.56        2500.00        98.8685                 NaN            NaN  0.434516       0.696948                 NaN            NaN            NaN            NaN            NaN            NaN
  1507.98        2500.00        98.8774                 NaN            NaN  0.692771       0.429832                 NaN            NaN            NaN            NaN            NaN            NaN
  1506.39        2500.00        98.8962                 NaN            NaN  0.680422       0.423367                 NaN            NaN            NaN            NaN            NaN            NaN
  1504.81        2500.00        98.9051                 NaN            NaN  0.420044       0.674899                 NaN            NaN            NaN            NaN            NaN            NaN
  1503.23        2500.00        98.9170                 NaN            NaN  0.668888       0.414082                 NaN            NaN            NaN            NaN            NaN            NaN
  1501.65        2500.00        98.9289                 NaN            NaN  0.410772       0.660362                 NaN            NaN            NaN            NaN            NaN            NaN
  1500.06        2500.00        98.9431                 NaN            NaN  0.652868       0.404067                 NaN            NaN            NaN            NaN            NaN            NaN
  1498.48        2500.00        98.9520                 NaN            NaN  0.400910       0.647138                 NaN            NaN            NaN            NaN            NaN            NaN
  1496.90        2500.00        98.9633                 NaN            NaN  0.395903       0.640775                 NaN            NaN            NaN            NaN            NaN            NaN
  1495.32        2500.00        98.9582                 NaN            NaN  0.399989       0.641858                 NaN            NaN            NaN            NaN            NaN            NaN
  1493.73        2500.00        98.9899                 NaN            NaN  0.385341       0.624760                 NaN            NaN            NaN            NaN            NaN            NaN
  1492.15        2500.00        99.0019                 NaN            NaN  0.380538       0.617588                 NaN            NaN            NaN            NaN            NaN            NaN
  1490.57        2500.00        99.2815                 NaN            NaN  0.271114       0.447336                 NaN            NaN            NaN            NaN            NaN            NaN
  1488.99        2500.00        98.7359                 NaN            NaN  0.482716       0.781340                 NaN            NaN            NaN            NaN            NaN            NaN
  1487.40        2500.00        99.0246                 NaN            NaN  0.370625       0.604737                 NaN            NaN            NaN            NaN            NaN            NaN
  1485.82        2500.00        99.0335                 NaN            NaN  0.599262       0.367260                 NaN            NaN            NaN            NaN            NaN            NaN
  1484.24        2500.00        99.0441                 NaN            NaN  0.592859       0.363074                 NaN            NaN            NaN            NaN            NaN            NaN
  1482.66        2500.00        99.0525                 NaN            NaN  0.359123       0.588382                 NaN            NaN            NaN            NaN            NaN            NaN
  1481.07        2500.00        99.0619                 NaN            NaN  0.582486       0.355602                 NaN            NaN            NaN            NaN            NaN            NaN
  1479.49        2500.00        99.0707                 NaN            NaN  0.351472       0.577829                 NaN            NaN            NaN            NaN            NaN            NaN
  1477.91        2500.00        99.1470                 NaN            NaN  0.322079       0.530887                 NaN            NaN            NaN            NaN            NaN            NaN
  1476.33        2500.00        99.0182                 NaN            NaN  0.612002       0.369454       0.343815E-003            NaN            NaN            NaN            NaN            NaN
  1474.74        2500.00        99.0710                 NaN            NaN  0.318286       0.602195       0.855929E-002            NaN            NaN            NaN            NaN            NaN
  1473.16        2500.00        99.0747                 NaN            NaN  0.310181       0.604807       0.102984E-001            NaN            NaN            NaN            NaN            NaN
  1471.58        2500.00        99.0842                 NaN            NaN  0.307736       0.598032       0.100735E-001            NaN            NaN            NaN            NaN            NaN
  1470.00        2500.00        99.0930                 NaN            NaN  0.592115       0.304916       0.993014E-002            NaN            NaN            NaN            NaN            NaN
  1468.41        2500.00        99.1020                 NaN            NaN  0.301306       0.586918       0.973793E-002            NaN            NaN            NaN            NaN            NaN
  1466.83        2500.00        99.1106                 NaN            NaN  0.298871       0.581019       0.953764E-002            NaN            NaN            NaN            NaN            NaN
  1465.25        2500.00        99.1190                 NaN            NaN  0.296112       0.575519       0.934847E-002            NaN            NaN            NaN            NaN            NaN
  1463.67        2500.00        99.1282                 NaN            NaN  0.293261       0.569367       0.916051E-002            NaN            NaN            NaN            NaN            NaN
  1462.08        2500.00        99.1358                 NaN            NaN  0.290690       0.564497       0.900224E-002            NaN            NaN            NaN            NaN            NaN
  1460.50        2500.00        99.1440                 NaN            NaN  0.559481       0.287665       0.882124E-002            NaN            NaN            NaN            NaN            NaN
  1458.92        2500.00        97.7384                 NaN            NaN  0.761968       0.812311       0.382932E-001  0.649071                 NaN            NaN            NaN            NaN
  1457.34        2500.00        96.5986                 NaN            NaN   1.14722        1.00266       0.622302E-001   1.18932                 NaN            NaN            NaN            NaN
  1455.75        2500.00        96.7446                 NaN            NaN   1.09852       0.958652       0.592127E-001   1.13905                 NaN            NaN            NaN            NaN
  1454.17        2500.00        96.8817                 NaN            NaN  0.917333        1.05313       0.564098E-001   1.09140                 NaN            NaN            NaN            NaN
  1452.59        2500.00        97.0086                 NaN            NaN   1.01095       0.879283       0.537972E-001   1.04738                 NaN            NaN            NaN            NaN
  1451.01        2500.00        97.1268                 NaN            NaN  0.971905       0.843727       0.513845E-001   1.00614                 NaN            NaN            NaN            NaN
  1449.42        2500.00        97.2372                 NaN            NaN  0.935277       0.810502       0.490874E-001  0.967957                 NaN            NaN            NaN            NaN
  1447.84        2500.00        97.3370                 NaN            NaN  0.781084       0.901848       0.470309E-001  0.933015                 NaN            NaN            NaN            NaN
  1446.26        2500.00        97.4383                 NaN            NaN  0.869490       0.749691       0.449387E-001  0.897617                 NaN            NaN            NaN            NaN
  1444.68        2500.00        97.5267                 NaN            NaN  0.840707       0.722261       0.430813E-001  0.867295                 NaN            NaN            NaN            NaN
  1443.09        2500.00        97.6112                 NaN            NaN  0.812481       0.697232       0.413755E-001  0.837671                 NaN            NaN            NaN            NaN
  1441.51        2500.00        97.6914                 NaN            NaN  0.672482       0.786775       0.396691E-001  0.809653                 NaN            NaN            NaN            NaN
  1439.93        2500.00        97.7673                 NaN            NaN  0.762071       0.649480       0.381186E-001  0.783048                 NaN            NaN            NaN            NaN
  1438.35        2500.00        97.8387                 NaN            NaN  0.738900       0.627795       0.366579E-001  0.757992                 NaN            NaN            NaN            NaN
  1436.76        2500.00        97.9056                 NaN            NaN  0.607253       0.717145       0.352388E-001  0.734754                 NaN            NaN            NaN            NaN
  1435.18        2500.00        97.9699                 NaN            NaN  0.696436       0.587588       0.339228E-001  0.712157                 NaN            NaN            NaN            NaN
  1433.60        2500.00        98.0305                 NaN            NaN  0.676482       0.569418       0.326927E-001  0.690913                 NaN            NaN            NaN            NaN
  1432.02        2500.00        98.0882                 NaN            NaN  0.657915       0.551769       0.315370E-001  0.670593                 NaN            NaN            NaN            NaN
  1430.43        2500.00        98.1425                 NaN            NaN  0.534813       0.640800       0.303179E-001  0.651585                 NaN            NaN            NaN            NaN
  1428.85        2500.00        98.1949                 NaN            NaN  0.623834       0.518847       0.292701E-001  0.633154                 NaN            NaN            NaN            NaN
  1427.27        2500.00        98.2444                 NaN            NaN  0.607855       0.503763       0.282572E-001  0.615741                 NaN            NaN            NaN            NaN
  1425.69        2500.00        98.2918                 NaN            NaN  0.593024       0.488875       0.272456E-001  0.599064                 NaN            NaN            NaN            NaN
  1424.10        2500.00        98.3373                 NaN            NaN  0.475272       0.578145       0.263494E-001  0.582956                 NaN            NaN            NaN            NaN
  1422.52        2500.00        98.3805                 NaN            NaN  0.461567       0.564753       0.254132E-001  0.567737                 NaN            NaN            NaN            NaN
  1420.94        2500.00        98.4219                 NaN            NaN  0.448976       0.551516       0.245747E-001  0.553005                 NaN            NaN            NaN            NaN
  1419.36        2500.00        98.4614                 NaN            NaN  0.539091       0.436681       0.236879E-001  0.539114                 NaN            NaN            NaN            NaN
  1417.78        2500.00        98.4990                 NaN            NaN  0.527346       0.424913       0.228836E-001  0.525821                 NaN            NaN            NaN            NaN
  1416.19        2500.00        98.5361                 NaN            NaN  0.413730       0.515443       0.221615E-001  0.512601                 NaN            NaN            NaN            NaN
  1414.61        2500.00        98.5701                 NaN            NaN  0.402976       0.504940       0.213883E-001  0.500605                 NaN            NaN            NaN            NaN
  1413.03        2500.00        98.6044                 NaN            NaN  0.493449       0.393071       0.207581E-001  0.488343                 NaN            NaN            NaN            NaN
  1411.45        2500.00        98.6367                 NaN            NaN  0.382189       0.484196       0.199926E-001  0.476895                 NaN            NaN            NaN            NaN
  1409.86        2500.00        98.6675                 NaN            NaN  0.474216       0.372943       0.194019E-001  0.465957                 NaN            NaN            NaN            NaN
  1408.28        2500.00        98.6976                 NaN            NaN  0.363380       0.465133       0.187317E-001  0.455205                 NaN            NaN            NaN            NaN
  1406.70        2500.00        98.7260                 NaN            NaN  0.354479       0.456277       0.181382E-001  0.445080                 NaN            NaN            NaN            NaN
  1405.12        2500.00        98.7539                 NaN            NaN  0.447655       0.345791       0.175364E-001  0.435076                 NaN            NaN            NaN            NaN
  1403.53        2500.00        98.7806                 NaN            NaN  0.439286       0.337549       0.169853E-001  0.425544                 NaN            NaN            NaN            NaN
  1401.95        2500.00        98.8062                 NaN            NaN  0.431538       0.329377       0.164590E-001  0.416377                 NaN            NaN            NaN            NaN
  1400.37        2500.00        98.8302                 NaN            NaN  0.321598       0.424346       0.158904E-001  0.407960                 NaN            NaN            NaN            NaN
  1398.79        2500.00        98.8562                 NaN            NaN  0.416103       0.313927       0.153674E-001  0.398414                 NaN            NaN            NaN            NaN
  1397.20        2500.00        98.8784                 NaN            NaN  0.306682       0.409484       0.148725E-001  0.390516                 NaN            NaN            NaN            NaN
  1395.62        2500.00        98.9005                 NaN            NaN  0.402766       0.299691       0.144093E-001  0.382589                 NaN            NaN            NaN            NaN
  1394.04        2500.00        98.9221                 NaN            NaN  0.396396       0.292668       0.139180E-001  0.374916                 NaN            NaN            NaN            NaN
  1392.46        2500.00        98.9435                 NaN            NaN  0.389957       0.285952       0.134427E-001  0.367110                 NaN            NaN            NaN            NaN
  1390.87        2500.00        98.9635                 NaN            NaN  0.279390       0.384229       0.129815E-001  0.359913                 NaN            NaN            NaN            NaN
  1389.29        2500.00        98.9823                 NaN            NaN  0.273548       0.378310       0.125653E-001  0.353266                 NaN            NaN            NaN            NaN
  1387.71        2500.00        99.0034                 NaN            NaN  0.266985       0.371969       0.121605E-001  0.345531                 NaN            NaN            NaN            NaN
  1386.13        2500.00        99.0198                 NaN            NaN  0.366775       0.262035       0.118115E-001  0.339552                 NaN            NaN            NaN            NaN
  1384.54        2500.00        99.0387                 NaN            NaN  0.361465       0.255682       0.113478E-001  0.332838                 NaN            NaN            NaN            NaN
  1382.96        2500.00        99.0550                 NaN            NaN  0.250131       0.357042       0.109636E-001  0.326861                 NaN            NaN            NaN            NaN
  1381.38        2500.00        99.0736                 NaN            NaN  0.351187       0.244391       0.106281E-001  0.320164                 NaN            NaN            NaN            NaN
  1379.80        2500.00        99.0894                 NaN            NaN  0.346585       0.239420       0.102230E-001  0.314414                 NaN            NaN            NaN            NaN
  1378.21        2500.00        99.1049                 NaN            NaN  0.234217       0.342143       0.988580E-002  0.308845                 NaN            NaN            NaN            NaN
  1376.63        2500.00        99.1199                 NaN            NaN  0.337666       0.229480       0.953939E-002  0.303372                 NaN            NaN            NaN            NaN
  1375.05        2500.00        99.1352                 NaN            NaN  0.224451       0.333357       0.919791E-002  0.297820                 NaN            NaN            NaN            NaN
  1373.47        2500.00        99.1495                 NaN            NaN  0.219904       0.329056       0.888161E-002  0.292637                 NaN            NaN            NaN            NaN
  1371.88        2500.00        99.1634                 NaN            NaN  0.215216       0.325297       0.852084E-002  0.287566                 NaN            NaN            NaN            NaN
  1370.30        2500.00        99.1774                 NaN            NaN  0.321264       0.210627       0.823027E-002  0.282462                 NaN            NaN            NaN            NaN
  1368.72        2500.00        99.1905                 NaN            NaN  0.206425       0.317406       0.793375E-002  0.277715                 NaN            NaN            NaN            NaN
  1367.14        2500.00        99.2036                 NaN            NaN  0.313922       0.201992       0.759960E-002  0.272916                 NaN            NaN            NaN            NaN
  1365.55        2500.00        99.2159                 NaN            NaN  0.310317       0.197953       0.734228E-002  0.268461                 NaN            NaN            NaN            NaN
  1363.97        2500.00        99.2283                 NaN            NaN  0.307128       0.193659       0.701876E-002  0.263905                 NaN            NaN            NaN            NaN
  1362.39        2500.00        99.2402                 NaN            NaN  0.189893       0.303358       0.681924E-002  0.259698                 NaN            NaN            NaN            NaN
  1360.81        2500.00        99.2528                 NaN            NaN  0.300179       0.185663       0.645261E-002  0.254902                 NaN            NaN            NaN            NaN
  1359.22        2500.00        99.2631                 NaN            NaN  0.296876       0.182620       0.623740E-002  0.251200                 NaN            NaN            NaN            NaN
  1357.64        2500.00        99.2740                 NaN            NaN  0.294216       0.178770       0.593647E-002  0.247115                 NaN            NaN            NaN            NaN
  1356.06        2500.00        99.2852                 NaN            NaN  0.174569       0.291391       0.568700E-002  0.243118                 NaN            NaN            NaN            NaN
  1354.48        2500.00        99.2955                 NaN            NaN  0.171358       0.288484       0.540739E-002  0.239279                 NaN            NaN            NaN            NaN
  1352.89        2500.00        99.3044                 NaN            NaN  0.286129       0.168023       0.519719E-002  0.236205                 NaN            NaN            NaN            NaN
  1351.31        2500.00        99.3168                 NaN            NaN  0.163913       0.282969       0.490094E-002  0.231368                 NaN            NaN            NaN            NaN
  1349.73        2500.00        99.3251                 NaN            NaN  0.280400       0.161331       0.469022E-002  0.228432                 NaN            NaN            NaN            NaN
  1348.15        2500.00        99.3346                 NaN            NaN  0.278093       0.157946       0.444823E-002  0.224930                 NaN            NaN            NaN            NaN
  1346.56        2500.00        99.3437                 NaN            NaN  0.154765       0.275734       0.422014E-002  0.221535                 NaN            NaN            NaN            NaN
  1344.98        2500.00        99.3528                 NaN            NaN  0.151648       0.273339       0.399428E-002  0.218194                 NaN            NaN            NaN            NaN
  1343.40        2500.00        99.3616                 NaN            NaN  0.148418       0.271131       0.378153E-002  0.215062                 NaN            NaN            NaN            NaN
  1341.82        2500.00        99.3698                 NaN            NaN  0.268802       0.145874       0.354255E-002  0.212024                 NaN            NaN            NaN            NaN
  1340.23        2500.00        99.3788                 NaN            NaN  0.142165       0.267189       0.328509E-002  0.208549                 NaN            NaN            NaN            NaN
  1338.65        2500.00        99.3866                 NaN            NaN  0.139838       0.264753       0.312113E-002  0.205733                 NaN            NaN            NaN            NaN
  1337.07        2500.00        99.3945                 NaN            NaN  0.262873       0.136878       0.290221E-002  0.202814                 NaN            NaN            NaN            NaN
  1335.49        2500.00        99.4021                 NaN            NaN  0.261077       0.134111       0.268876E-002  0.200002                 NaN            NaN            NaN            NaN
  1333.90        2500.00        99.4098                 NaN            NaN  0.259227       0.131355       0.248401E-002  0.197170                 NaN            NaN            NaN            NaN
  1332.32        2500.00        99.4173                 NaN            NaN  0.128492       0.257554       0.227099E-002  0.194407                 NaN            NaN            NaN            NaN
  1330.74        2500.00        99.4161                 NaN            NaN  0.126598       0.258867       0.223720E-002  0.196183                 NaN            NaN            NaN            NaN
  1329.16        2500.00        99.4394                 NaN            NaN  0.251305       0.122880       0.168982E-002  0.184702                 NaN            NaN            NaN            NaN
  1327.57        2500.00        99.4383                 NaN            NaN  0.120925       0.252440       0.169687E-002  0.186590                 NaN            NaN            NaN            NaN
  1325.99        2500.00        99.4451                 NaN            NaN  0.250929       0.118404       0.150630E-002  0.184088                 NaN            NaN            NaN            NaN
  1324.41        2500.00        99.4517                 NaN            NaN  0.249280       0.116116       0.132405E-002  0.181586                 NaN            NaN            NaN            NaN
  1322.83        2500.00        99.4579                 NaN            NaN  0.113748       0.247979       0.111940E-002  0.179272                 NaN            NaN            NaN            NaN
  1321.24        2500.00        99.4644                 NaN            NaN  0.246404       0.111333       0.977961E-003  0.176919                 NaN            NaN            NaN            NaN
  1319.66        2500.00        99.4707                 NaN            NaN  0.245315       0.108661       0.767635E-003  0.174598                 NaN            NaN            NaN            NaN
  1318.08        2500.00        99.4766                 NaN            NaN  0.106543       0.243984       0.580010E-003  0.172305                 NaN            NaN            NaN            NaN
  1316.50        2500.00        99.4825                 NaN            NaN  0.242375       0.104505       0.456759E-003  0.170155                 NaN            NaN            NaN            NaN
  1314.91        2500.00        99.4877                 NaN            NaN  0.102309       0.241591       0.229761E-003  0.168162                 NaN            NaN            NaN            NaN
  1313.33        2500.00        99.4939                 NaN            NaN  0.240442       0.997705E-001  0.590427E-004  0.165847                 NaN            NaN            NaN            NaN
  1311.75        2500.00        99.4990                 NaN            NaN  0.239133       0.977094E-001            NaN  0.164190                 NaN            NaN            NaN            NaN
  1310.17        2500.00        99.5048                 NaN            NaN  0.967215E-001  0.236184       0.711855E-004  0.162190                 NaN            NaN            NaN            NaN
  1308.58        2500.00        99.5099                 NaN            NaN  0.105608       0.216176       0.343802E-002  0.164908                 NaN            NaN            NaN            NaN
  1307.00        2500.00        99.5157                 NaN            NaN  0.232194       0.938377E-001            NaN  0.158280                 NaN            NaN            NaN            NaN
  1305.42        2500.00        99.5205                 NaN            NaN  0.915765E-001  0.230973                 NaN  0.156945                 NaN            NaN            NaN            NaN
  1303.84        2500.00        99.5257                 NaN            NaN  0.229002       0.901131E-001            NaN  0.155196                 NaN            NaN            NaN            NaN
  1302.25        2500.00        84.5181                 NaN            NaN   1.21273        1.96990       0.744000E-001   1.80125        10.4236                 NaN            NaN            NaN
  1300.67        2500.00        65.0035                 NaN            NaN   4.08563        2.71183       0.199478        3.93510        24.0644                 NaN            NaN            NaN
  1299.09        2500.00        66.7219                 NaN            NaN   2.58433        3.79134       0.206718        3.71804        22.9777                 NaN            NaN            NaN
  1297.51        2500.00        77.1274                 NaN            NaN   1.79191        2.58656       0.152071        2.56487        15.7772                 NaN            NaN            NaN
  1295.92        2500.00        82.4542                 NaN  0.422129        1.28552        1.55362       0.981488E-001   1.96303        12.2234                 NaN            NaN            NaN
  1294.34        2500.00        84.7967                 NaN   1.02678        1.62248                 NaN  0.512212E-001   1.68152        10.8212                 NaN            NaN            NaN
  1292.76        2500.00        87.7371                 NaN  0.837698        1.31105                 NaN  0.423427E-001   1.36362        8.70822                 NaN            NaN            NaN
  1291.18        2500.00        89.7786                 NaN  0.705267        1.09664                 NaN  0.360991E-001   1.14249        7.24095                 NaN            NaN            NaN
  1289.59        2500.00        91.2593                 NaN  0.608088       0.943848                 NaN  0.314266E-001  0.981701        6.17563                 NaN            NaN            NaN
