|6.6.6
Archiving\03_Data\Deqfrac/QFM_m5/K22/K22_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        iron           an             San(TH)        ilm            ne             lc            
  1580.77        2500.00        99.2274       0.708987       0.636555E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.19        2500.00        99.4023       0.547027       0.506242E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1577.61        2500.00        98.8686        1.01888       0.112479                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.02        2500.00        99.4344       0.549938       0.156462E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.44        2500.00        99.2504       0.689137       0.604146E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.86        2500.00        99.2559       0.684849       0.592284E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.28        2500.00        99.2623       0.681579       0.561259E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.69        2500.00        99.1051       0.803486       0.914106E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.11        2500.00        99.4338       0.548295       0.178623E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.53        2500.00        99.2819       0.663907       0.542236E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.95        2500.00        99.2816       0.665655       0.527338E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.36        2500.00        99.2952       0.652973       0.518696E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.78        2500.00        99.2979       0.651146       0.509450E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.20        2500.00        99.4384       0.519544       0.420771E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.62        2500.00        99.1752       0.765561       0.592472E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.03        2500.00        99.3088       0.642473       0.487168E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.45        2500.00        99.2707       0.678332       0.509239E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.87        2500.00        99.3785       0.578896       0.425703E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.29        2500.00        99.3266       0.629310       0.441051E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1550.70        2500.00        99.3347       0.622030       0.432485E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.12        2500.00        99.3406       0.616062       0.433170E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.54        2500.00        99.3438       0.614067       0.421364E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.96        2500.00        99.3467       0.612029       0.412609E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.37        2500.00        99.3568       0.602693       0.404966E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.79        2500.00        99.3567       0.603468       0.398508E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.21        2500.00        99.3656       0.595606       0.387936E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.63        2500.00        99.3584       0.600058       0.415214E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.04        2500.00        99.3826       0.582846       0.345241E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.46        2500.00        99.3754       0.589234       0.353422E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.88        2500.00        99.3809       0.583763       0.352990E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.30        2500.00        99.2720       0.206890                 NaN  0.521114                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.71        2500.00        99.2110       0.807667E-001            NaN  0.708249                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.13        2500.00        99.2047                 NaN            NaN  0.795331                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.55        2500.00        99.2034                 NaN            NaN  0.796578                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.97        2500.00        99.1591       0.135647       0.159174E-002  0.703664                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.38        2500.00        98.9368                 NaN  0.776309E-001  0.985585                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.80        2500.00        99.5527                 NaN            NaN  0.447329                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.22        2500.00        99.1983                 NaN            NaN  0.801705                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.64        2500.00        99.2005                 NaN            NaN  0.799518                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.05        2500.00        99.1936                 NaN            NaN  0.806419                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.47        2500.00        99.1904                 NaN            NaN  0.809576                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.89        2500.00        99.1833                 NaN            NaN  0.816692                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.31        2500.00        99.1734                 NaN            NaN  0.826583                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.72        2500.00        99.1655                 NaN            NaN  0.834455                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.14        2500.00        98.8685                 NaN            NaN  0.629936       0.501592                 NaN            NaN            NaN            NaN            NaN            NaN
  1509.56        2500.00        98.7067                 NaN            NaN  0.498001       0.795262                 NaN            NaN            NaN            NaN            NaN            NaN
  1507.98        2500.00        98.7163                 NaN            NaN  0.790858       0.492857                 NaN            NaN            NaN            NaN            NaN            NaN
  1506.39        2500.00        98.7373                 NaN            NaN  0.777015       0.485731                 NaN            NaN            NaN            NaN            NaN            NaN
  1504.81        2500.00        98.7468                 NaN            NaN  0.482183       0.771039                 NaN            NaN            NaN            NaN            NaN            NaN
  1503.23        2500.00        98.7598                 NaN            NaN  0.764634       0.475594                 NaN            NaN            NaN            NaN            NaN            NaN
  1501.65        2500.00        98.7728                 NaN            NaN  0.472135       0.755108                 NaN            NaN            NaN            NaN            NaN            NaN
  1500.06        2500.00        98.7884                 NaN            NaN  0.746907       0.464667                 NaN            NaN            NaN            NaN            NaN            NaN
  1498.48        2500.00        98.7980                 NaN            NaN  0.461342       0.740637                 NaN            NaN            NaN            NaN            NaN            NaN
  1496.90        2500.00        98.8106                 NaN            NaN  0.455777       0.733669                 NaN            NaN            NaN            NaN            NaN            NaN
  1495.32        2500.00        98.8042                 NaN            NaN  0.460656       0.735145                 NaN            NaN            NaN            NaN            NaN            NaN
  1493.73        2500.00        98.8397                 NaN            NaN  0.444193       0.716112                 NaN            NaN            NaN            NaN            NaN            NaN
  1492.15        2500.00        98.8530                 NaN            NaN  0.438870       0.708175                 NaN            NaN            NaN            NaN            NaN            NaN
  1490.57        2500.00        99.1732                 NaN            NaN  0.313343       0.513475                 NaN            NaN            NaN            NaN            NaN            NaN
  1488.99        2500.00        98.5466                 NaN            NaN  0.557083       0.896286                 NaN            NaN            NaN            NaN            NaN            NaN
  1487.40        2500.00        98.8774                 NaN            NaN  0.428189       0.694375                 NaN            NaN            NaN            NaN            NaN            NaN
  1485.82        2500.00        98.8871                 NaN            NaN  0.688363       0.424581                 NaN            NaN            NaN            NaN            NaN            NaN
  1484.24        2500.00        98.8987                 NaN            NaN  0.681334       0.419978                 NaN            NaN            NaN            NaN            NaN            NaN
  1482.66        2500.00        98.9078                 NaN            NaN  0.415639       0.676530                 NaN            NaN            NaN            NaN            NaN            NaN
  1481.07        2500.00        98.9181                 NaN            NaN  0.670048       0.411806                 NaN            NaN            NaN            NaN            NaN            NaN
  1479.49        2500.00        98.9277                 NaN            NaN  0.407294       0.665039                 NaN            NaN            NaN            NaN            NaN            NaN
  1477.91        2500.00        99.0151                 NaN            NaN  0.373493       0.611380                 NaN            NaN            NaN            NaN            NaN            NaN
  1476.33        2500.00        98.8655                 NaN            NaN  0.704966       0.428599       0.917430E-003            NaN            NaN            NaN            NaN            NaN
  1474.74        2500.00        98.9136                 NaN            NaN  0.369481       0.694039       0.228476E-001            NaN            NaN            NaN            NaN            NaN
  1473.16        2500.00        98.9148                 NaN            NaN  0.360307       0.697429       0.275012E-001            NaN            NaN            NaN            NaN            NaN
  1471.58        2500.00        98.9253                 NaN            NaN  0.357740       0.690069       0.269126E-001            NaN            NaN            NaN            NaN            NaN
  1470.00        2500.00        98.9351                 NaN            NaN  0.683628       0.354700       0.265415E-001            NaN            NaN            NaN            NaN            NaN
  1468.41        2500.00        98.9452                 NaN            NaN  0.350752       0.678043       0.260393E-001            NaN            NaN            NaN            NaN            NaN
  1466.83        2500.00        98.9546                 NaN            NaN  0.348195       0.671647       0.255152E-001            NaN            NaN            NaN            NaN            NaN
  1465.25        2500.00        98.9640                 NaN            NaN  0.345236       0.665733       0.250203E-001            NaN            NaN            NaN            NaN            NaN
  1463.67        2500.00        98.9743                 NaN            NaN  0.342170       0.659017       0.245283E-001            NaN            NaN            NaN            NaN            NaN
  1462.08        2500.00        98.9827                 NaN            NaN  0.339411       0.653800       0.241153E-001            NaN            NaN            NaN            NaN            NaN
  1460.50        2500.00        98.9918                 NaN            NaN  0.648398       0.336115       0.236410E-001            NaN            NaN            NaN            NaN            NaN
  1458.92        2500.00        97.4385                 NaN            NaN  0.890044       0.940970       0.102569       0.627888                 NaN            NaN            NaN            NaN
  1457.34        2500.00        96.1804                 NaN            NaN   1.34052        1.16172       0.166716        1.15067                 NaN            NaN            NaN            NaN
  1455.75        2500.00        96.3390                 NaN            NaN   1.28583        1.11254       0.158883        1.10373                 NaN            NaN            NaN            NaN
  1454.17        2500.00        96.4882                 NaN            NaN   1.06631        1.23477       0.151598        1.05916                 NaN            NaN            NaN            NaN
  1452.59        2500.00        96.6262                 NaN            NaN   1.18734        1.02365       0.144799        1.01796                 NaN            NaN            NaN            NaN
  1451.01        2500.00        96.7550                 NaN            NaN   1.14337       0.983769       0.138516       0.979320                 NaN            NaN            NaN            NaN
  1449.42        2500.00        96.8753                 NaN            NaN   1.10210       0.946510       0.132522       0.943531                 NaN            NaN            NaN            NaN
  1447.84        2500.00        96.9841                 NaN            NaN  0.913533        1.06444       0.127158       0.910777                 NaN            NaN            NaN            NaN
  1446.26        2500.00        97.0947                 NaN            NaN   1.02795       0.878149       0.121680       0.877472                 NaN            NaN            NaN            NaN
  1444.68        2500.00        97.1914                 NaN            NaN  0.995494       0.847281       0.116819       0.849019                 NaN            NaN            NaN            NaN
  1443.09        2500.00        97.2838                 NaN            NaN  0.963551       0.819109       0.112354       0.821155                 NaN            NaN            NaN            NaN
  1441.51        2500.00        97.3716                 NaN            NaN  0.791183       0.934577       0.107873       0.794778                 NaN            NaN            NaN            NaN
  1439.93        2500.00        97.4546                 NaN            NaN  0.906619       0.765233       0.103802       0.769704                 NaN            NaN            NaN            NaN
  1438.35        2500.00        97.5328                 NaN            NaN  0.880391       0.740728       0.999623E-001  0.746073                 NaN            NaN            NaN            NaN
  1436.76        2500.00        97.6063                 NaN            NaN  0.717515       0.855773       0.962241E-001  0.724159                 NaN            NaN            NaN            NaN
  1435.18        2500.00        97.6769                 NaN            NaN  0.832308       0.695253       0.927562E-001  0.702809                 NaN            NaN            NaN            NaN
  1433.60        2500.00        97.7434                 NaN            NaN  0.809637       0.674676       0.895124E-001  0.682728                 NaN            NaN            NaN            NaN
  1432.02        2500.00        97.8069                 NaN            NaN  0.788546       0.654638       0.864627E-001  0.663499                 NaN            NaN            NaN            NaN
  1430.43        2500.00        97.8666                 NaN            NaN  0.635420       0.769209       0.832296E-001  0.645511                 NaN            NaN            NaN            NaN
  1428.85        2500.00        97.9243                 NaN            NaN  0.749894       0.617262       0.804577E-001  0.628040                 NaN            NaN            NaN            NaN
  1427.27        2500.00        97.9789                 NaN            NaN  0.731727       0.600104       0.777734E-001  0.611528                 NaN            NaN            NaN            NaN
  1425.69        2500.00        98.0312                 NaN            NaN  0.714912       0.583146       0.750848E-001  0.595697                 NaN            NaN            NaN            NaN
  1424.10        2500.00        98.0814                 NaN            NaN  0.567654       0.697903       0.727068E-001  0.580386                 NaN            NaN            NaN            NaN
  1422.52        2500.00        98.1292                 NaN            NaN  0.552008       0.682712       0.702112E-001  0.565917                 NaN            NaN            NaN            NaN
  1420.94        2500.00        98.1749                 NaN            NaN  0.537642       0.667609       0.679785E-001  0.551891                 NaN            NaN            NaN            NaN
  1419.36        2500.00        98.2186                 NaN            NaN  0.653495       0.523604       0.656059E-001  0.538664                 NaN            NaN            NaN            NaN
  1417.78        2500.00        98.2603                 NaN            NaN  0.640139       0.510151       0.634554E-001  0.525998                 NaN            NaN            NaN            NaN
  1416.19        2500.00        98.3013                 NaN            NaN  0.497323       0.626490       0.615271E-001  0.513369                 NaN            NaN            NaN            NaN
  1414.61        2500.00        98.3390                 NaN            NaN  0.485026       0.614586       0.594511E-001  0.501930                 NaN            NaN            NaN            NaN
  1413.03        2500.00        98.3771                 NaN            NaN  0.601316       0.473660       0.577677E-001  0.490193                 NaN            NaN            NaN            NaN
  1411.45        2500.00        98.4130                 NaN            NaN  0.461135       0.590879       0.557026E-001  0.479242                 NaN            NaN            NaN            NaN
  1409.86        2500.00        98.4472                 NaN            NaN  0.579416       0.450504       0.541194E-001  0.468772                 NaN            NaN            NaN            NaN
  1408.28        2500.00        98.4807                 NaN            NaN  0.439486       0.569076       0.523101E-001  0.458462                 NaN            NaN            NaN            NaN
  1406.70        2500.00        98.5124                 NaN            NaN  0.429233       0.558934       0.507104E-001  0.448755                 NaN            NaN            NaN            NaN
  1405.12        2500.00        98.5435                 NaN            NaN  0.549073       0.419213       0.490831E-001  0.439145                 NaN            NaN            NaN            NaN
  1403.53        2500.00        98.5732                 NaN            NaN  0.539468       0.409707       0.475938E-001  0.429985                 NaN            NaN            NaN            NaN
  1401.95        2500.00        98.6018                 NaN            NaN  0.530601       0.400237       0.461702E-001  0.421171                 NaN            NaN            NaN            NaN
  1400.37        2500.00        98.6286                 NaN            NaN  0.391243       0.522457       0.446241E-001  0.413092                 NaN            NaN            NaN            NaN
  1398.79        2500.00        98.6577                 NaN            NaN  0.512899       0.382365       0.432027E-001  0.403848                 NaN            NaN            NaN            NaN
  1397.20        2500.00        98.6826                 NaN            NaN  0.373971       0.505359       0.418562E-001  0.396253                 NaN            NaN            NaN            NaN
  1395.62        2500.00        98.7073                 NaN            NaN  0.497661       0.365842       0.405960E-001  0.388607                 NaN            NaN            NaN            NaN
  1394.04        2500.00        98.7315                 NaN            NaN  0.490388       0.357678       0.392534E-001  0.381200                 NaN            NaN            NaN            NaN
  1392.46        2500.00        98.7555                 NaN            NaN  0.483011       0.349870       0.379528E-001  0.373640                 NaN            NaN            NaN            NaN
  1390.87        2500.00        98.7779                 NaN            NaN  0.342229       0.476494       0.366890E-001  0.366681                 NaN            NaN            NaN            NaN
  1389.29        2500.00        98.7990                 NaN            NaN  0.335450       0.469706       0.355492E-001  0.360264                 NaN            NaN            NaN            NaN
  1387.71        2500.00        98.8228                 NaN            NaN  0.327732       0.462327       0.344392E-001  0.352722                 NaN            NaN            NaN            NaN
  1386.13        2500.00        98.8412                 NaN            NaN  0.456366       0.322013       0.334849E-001  0.346955                 NaN            NaN            NaN            NaN
  1384.54        2500.00        98.8625                 NaN            NaN  0.450338       0.314555       0.322026E-001  0.340423                 NaN            NaN            NaN            NaN
  1382.96        2500.00        98.8809                 NaN            NaN  0.308024       0.445354       0.311435E-001  0.334628                 NaN            NaN            NaN            NaN
  1381.38        2500.00        98.9020                 NaN            NaN  0.438465       0.301281       0.302204E-001  0.328083                 NaN            NaN            NaN            NaN
  1379.80        2500.00        98.9197                 NaN            NaN  0.433250       0.295492       0.290969E-001  0.322493                 NaN            NaN            NaN            NaN
  1378.21        2500.00        98.9372                 NaN            NaN  0.289359       0.428162       0.281645E-001  0.317075                 NaN            NaN            NaN            NaN
  1376.63        2500.00        98.9542                 NaN            NaN  0.423037       0.283810       0.272038E-001  0.311742                 NaN            NaN            NaN            NaN
  1375.05        2500.00        98.9715                 NaN            NaN  0.277870       0.418088       0.262551E-001  0.306317                 NaN            NaN            NaN            NaN
  1373.47        2500.00        98.9877                 NaN            NaN  0.272525       0.413133       0.253762E-001  0.301258                 NaN            NaN            NaN            NaN
  1371.88        2500.00        99.0035                 NaN            NaN  0.266996       0.408879       0.243683E-001  0.296304                 NaN            NaN            NaN            NaN
  1370.30        2500.00        99.0194                 NaN            NaN  0.404219       0.261561       0.235593E-001  0.291303                 NaN            NaN            NaN            NaN
  1368.72        2500.00        99.0342                 NaN            NaN  0.256595       0.399784       0.227315E-001  0.286660                 NaN            NaN            NaN            NaN
  1367.14        2500.00        99.0491                 NaN            NaN  0.395837       0.251349       0.217941E-001  0.281952                 NaN            NaN            NaN            NaN
  1365.55        2500.00        99.0631                 NaN            NaN  0.391676       0.246563       0.210753E-001  0.277589                 NaN            NaN            NaN            NaN
  1363.97        2500.00        99.0772                 NaN            NaN  0.388090       0.241445       0.201648E-001  0.273113                 NaN            NaN            NaN            NaN
  1362.39        2500.00        99.0907                 NaN            NaN  0.236992       0.383664       0.196091E-001  0.268988                 NaN            NaN            NaN            NaN
  1360.81        2500.00        99.1052                 NaN            NaN  0.380073       0.231949       0.185713E-001  0.264243                 NaN            NaN            NaN            NaN
  1359.22        2500.00        99.1168                 NaN            NaN  0.376249       0.228358       0.179677E-001  0.260623                 NaN            NaN            NaN            NaN
  1357.64        2500.00        99.1292                 NaN            NaN  0.373282       0.223764       0.171157E-001  0.256598                 NaN            NaN            NaN            NaN
  1356.06        2500.00        99.1422                 NaN            NaN  0.218721       0.370061       0.164107E-001  0.252655                 NaN            NaN            NaN            NaN
  1354.48        2500.00        99.1539                 NaN            NaN  0.214905       0.366753       0.156172E-001  0.248869                 NaN            NaN            NaN            NaN
  1352.89        2500.00        99.1641                 NaN            NaN  0.364088       0.210941       0.150229E-001  0.245869                 NaN            NaN            NaN            NaN
  1351.31        2500.00        99.1784                 NaN            NaN  0.205956       0.360442       0.141785E-001  0.241028                 NaN            NaN            NaN            NaN
  1349.73        2500.00        99.1878                 NaN            NaN  0.357511       0.202913       0.135802E-001  0.238158                 NaN            NaN            NaN            NaN
  1348.15        2500.00        99.1987                 NaN            NaN  0.354922       0.198831       0.128903E-001  0.234691                 NaN            NaN            NaN            NaN
  1346.56        2500.00        99.2092                 NaN            NaN  0.195006       0.352253       0.122394E-001  0.231330                 NaN            NaN            NaN            NaN
  1344.98        2500.00        99.2196                 NaN            NaN  0.191253       0.349531       0.115938E-001  0.228017                 NaN            NaN            NaN            NaN
  1343.40        2500.00        99.2297                 NaN            NaN  0.187353       0.347023       0.109852E-001  0.224916                 NaN            NaN            NaN            NaN
  1341.82        2500.00        99.2391                 NaN            NaN  0.344409       0.184325       0.102992E-001  0.221909                 NaN            NaN            NaN            NaN
  1340.23        2500.00        99.2495                 NaN            NaN  0.179802       0.342658       0.955835E-002  0.218437                 NaN            NaN            NaN            NaN
  1338.65        2500.00        99.2584                 NaN            NaN  0.177005       0.339818       0.908847E-002  0.215647                 NaN            NaN            NaN            NaN
  1337.07        2500.00        99.2676                 NaN            NaN  0.337735       0.173418       0.845762E-002  0.212746                 NaN            NaN            NaN            NaN
  1335.49        2500.00        99.2764                 NaN            NaN  0.335744       0.170068       0.784169E-002  0.209950                 NaN            NaN            NaN            NaN
  1333.90        2500.00        99.2852                 NaN            NaN  0.333661       0.166725       0.725016E-002  0.207129                 NaN            NaN            NaN            NaN
  1332.32        2500.00        99.2939                 NaN            NaN  0.163241       0.331822       0.663349E-002  0.204375                 NaN            NaN            NaN            NaN
  1330.74        2500.00        99.2922                 NaN            NaN  0.160994       0.333859       0.653972E-002  0.206388                 NaN            NaN            NaN            NaN
  1329.16        2500.00        99.3199                 NaN            NaN  0.324340       0.156383       0.494346E-002  0.194452                 NaN            NaN            NaN            NaN
  1327.57        2500.00        99.3183                 NaN            NaN  0.154035       0.326113       0.496774E-002  0.196576                 NaN            NaN            NaN            NaN
  1325.99        2500.00        99.3261                 NaN            NaN  0.324458       0.150961       0.441310E-002  0.194076                 NaN            NaN            NaN            NaN
  1324.41        2500.00        99.3338                 NaN            NaN  0.322600       0.148168       0.388201E-002  0.191571                 NaN            NaN            NaN            NaN
  1322.83        2500.00        99.3410                 NaN            NaN  0.145283       0.321216       0.328440E-002  0.189260                 NaN            NaN            NaN            NaN
  1321.24        2500.00        99.3485                 NaN            NaN  0.319413       0.142302       0.287149E-002  0.186904                 NaN            NaN            NaN            NaN
  1319.66        2500.00        99.3558                 NaN            NaN  0.318320       0.139022       0.225555E-002  0.184577                 NaN            NaN            NaN            NaN
  1318.08        2500.00        99.3627                 NaN            NaN  0.136427       0.316856       0.170547E-002  0.182275                 NaN            NaN            NaN            NaN
  1316.50        2500.00        99.3696                 NaN            NaN  0.315014       0.133924       0.134402E-002  0.180121                 NaN            NaN            NaN            NaN
  1314.91        2500.00        99.3757                 NaN            NaN  0.131233       0.314297       0.676550E-003  0.178129                 NaN            NaN            NaN            NaN
  1313.33        2500.00        99.3829                 NaN            NaN  0.313059       0.128082       0.173977E-003  0.175792                 NaN            NaN            NaN            NaN
  1311.75        2500.00        99.3887                 NaN            NaN  0.311619       0.125542                 NaN  0.174150                 NaN            NaN            NaN            NaN
  1310.17        2500.00        99.3952                 NaN            NaN  0.124385       0.308053       0.210048E-003  0.172139                 NaN            NaN            NaN            NaN
  1308.58        2500.00        99.3966                 NaN            NaN  0.135921       0.282196       0.101517E-001  0.175139                 NaN            NaN            NaN            NaN
  1307.00        2500.00        99.4075                 NaN            NaN  0.303363       0.120883                 NaN  0.168216                 NaN            NaN            NaN            NaN
  1305.42        2500.00        99.4130                 NaN            NaN  0.118064       0.302005                 NaN  0.166903                 NaN            NaN            NaN            NaN
  1303.84        2500.00        99.4189                 NaN            NaN  0.299656       0.116270                 NaN  0.165149                 NaN            NaN            NaN            NaN
  1302.25        2500.00        83.6167                 NaN            NaN   1.54941        2.55202       0.218123        1.89906        10.1647                 NaN            NaN            NaN
  1300.67        2500.00        63.5375                 NaN            NaN   5.21546        3.41612       0.577854        4.09917        23.1539                 NaN            NaN            NaN
  1299.09        2500.00        65.3174                 NaN            NaN   3.25235        4.83122       0.599675        3.87839        22.1209                 NaN            NaN            NaN
  1297.51        2500.00        76.0042                 NaN            NaN   2.26566        3.30914       0.444071        2.69310        15.2838                 NaN            NaN            NaN
  1295.92        2500.00        81.5525                 NaN  0.591257        1.64739        1.96893       0.287691        2.06886        11.8834                 NaN            NaN            NaN
  1294.34        2500.00        84.0358                 NaN   1.43884        2.05827                 NaN  0.150450        1.77577        10.5409                 NaN            NaN            NaN
  1292.76        2500.00        87.0963                 NaN   1.17465        1.66460                 NaN  0.124599        1.44263        8.49723                 NaN            NaN            NaN
  1291.18        2500.00        89.2266                 NaN  0.989141        1.39303                 NaN  0.106371        1.21028        7.07462                 NaN            NaN            NaN
  1289.59        2500.00        90.7742                 NaN  0.852863        1.19929                 NaN  0.927011E-001   1.04101        6.03994                 NaN            NaN            NaN
  1288.01        2500.00        85.6264                 NaN   1.38181        1.75837                 NaN  0.142894        1.64561        9.44496                 NaN            NaN            NaN
