|6.6.6
Archiving\03_Data\eqfrac/QFM_m3.25/GRV/GRV_1.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Sp(TH)         Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1569.26        2500.00        98.9160                 NaN            NaN  0.815540E-002   1.07586                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.76        2500.00        98.8924                 NaN            NaN  0.117572E-001   1.09587                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.27        2500.00        98.8737                 NaN  0.157927E-005  0.117532E-001   1.11452                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.77        2500.00        98.8651                 NaN            NaN  0.116410E-001   1.12330                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.28        2500.00        98.8401                 NaN            NaN  0.116594E-001   1.14822                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.79        2500.00        98.8121                 NaN  0.174839E-005  0.116186E-001   1.17625                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.29        2500.00        98.7346                 NaN            NaN  0.119587E-001   1.25343                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.80        2500.00        98.7696                 NaN            NaN  0.112506E-001   1.21913                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.30        2500.00        98.6459                 NaN            NaN  0.116185E-001   1.34244                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.81        2500.00        98.2627                 NaN            NaN  0.108696E-001  0.669938        1.05653                 NaN            NaN            NaN            NaN            NaN            NaN
  1554.31        2500.00        98.1474                 NaN            NaN  0.103273E-001   1.47651       0.365778                 NaN            NaN            NaN            NaN            NaN            NaN
  1552.82        2500.00        98.1729                 NaN            NaN  0.101213E-001   1.45522       0.361773                 NaN            NaN            NaN            NaN            NaN            NaN
  1551.33        2500.00        98.2010                 NaN            NaN  0.990391E-002  0.357460        1.43164                 NaN            NaN            NaN            NaN            NaN            NaN
  1549.83        2500.00        98.2205                 NaN  0.404565E-001  0.948761E-002   1.46087       0.268699                 NaN            NaN            NaN            NaN            NaN            NaN
  1548.34        2500.00        98.2237                 NaN  0.168821       0.862973E-002   1.56564       0.332236E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1546.84        2500.00        98.2518                 NaN  0.174938       0.835389E-002   1.56491                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.35        2500.00        98.2789                 NaN  0.174872       0.811685E-002   1.53814                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        2500.00        98.2950                 NaN  0.192905       0.771290E-002   1.50434                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.36        2500.00        98.3564                 NaN  0.172792       0.760626E-002   1.46319                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.87        2500.00        98.3551                 NaN  0.167482       0.750578E-002   1.46990                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.37        2500.00        98.3606                 NaN  0.130961       0.771257E-002  0.146043        1.35466                 NaN            NaN            NaN            NaN            NaN            NaN
  1537.88        2500.00        98.3985                 NaN  0.161527       0.715532E-002   1.43285                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.39        2500.00        98.4232                 NaN  0.162504       0.691400E-002   1.40738                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.89        2500.00        98.4428                 NaN  0.157202       0.677033E-002   1.39322                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.40        2500.00        98.4322                 NaN  0.159126       0.662582E-002   1.40200                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.90        2500.00        96.9205                 NaN  0.313597       0.129982E-001   2.68711       0.657707E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1530.41        2500.00        99.9876                 NaN  0.123812E-001  0.171293E-004            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.92        2500.00        98.6744                 NaN  0.122737       0.548947E-002   1.18939       0.795641E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1527.42        2500.00        98.4874                 NaN  0.607391E-001  0.688157E-002  0.372048        1.07291                 NaN            NaN            NaN            NaN            NaN            NaN
  1525.93        2500.00        98.5805                 NaN  0.158233       0.552721E-002   1.25569                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.43        2500.00        98.5846                 NaN  0.151139       0.545929E-002   1.25876                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.94        2500.00        98.6041                 NaN  0.154062       0.525132E-002   1.23662                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.44        2500.00        98.6207                 NaN  0.152118       0.510300E-002   1.22204                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.95        2500.00        98.6372                 NaN  0.147744       0.496684E-002   1.21010                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.46        2500.00        98.6436                 NaN  0.131904       0.496219E-002   1.18537       0.341929E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1516.96        2500.00        98.6627                 NaN  0.130657       0.482075E-002  0.363366E-001   1.16548                 NaN            NaN            NaN            NaN            NaN            NaN
  1515.47        2500.00        98.6703                 NaN  0.119783       0.476665E-002  0.742196E-001   1.13092                 NaN            NaN            NaN            NaN            NaN            NaN
  1513.97        2500.00        98.6889                 NaN  0.116931       0.463755E-002  0.805677E-001   1.10899                 NaN            NaN            NaN            NaN            NaN            NaN
  1512.48        2500.00        98.7019                 NaN  0.114796       0.449476E-002  0.836661E-001   1.09514                 NaN            NaN            NaN            NaN            NaN            NaN
  1510.99        2500.00        98.7156                 NaN  0.112516       0.436478E-002  0.869037E-001   1.08064                 NaN            NaN            NaN            NaN            NaN            NaN
  1509.49        2500.00        98.7297                 NaN  0.110293       0.424783E-002  0.918408E-001   1.06394                 NaN            NaN            NaN            NaN            NaN            NaN
  1508.00        2500.00        98.7424                 NaN  0.107999       0.412763E-002   1.04838       0.970781E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1506.50        2500.00        98.7566                 NaN  0.105748       0.398901E-002  0.999100E-001   1.03377                 NaN            NaN            NaN            NaN            NaN            NaN
  1505.01        2500.00        98.7693                 NaN  0.103684       0.386873E-002  0.102770        1.02042                 NaN            NaN            NaN            NaN            NaN            NaN
  1503.52        2500.00        98.7811                 NaN  0.101615       0.374844E-002   1.00826       0.105277                 NaN            NaN            NaN            NaN            NaN            NaN
  1502.02        2500.00        98.7932                 NaN  0.995660E-001  0.363824E-002  0.108879       0.994747                 NaN            NaN            NaN            NaN            NaN            NaN
  1500.53        2500.00        98.8060                 NaN  0.974570E-001  0.352109E-002  0.978973       0.114056                 NaN            NaN            NaN            NaN            NaN            NaN
  1499.03        2500.00        98.8175                 NaN  0.954609E-001  0.341446E-002  0.966591       0.117005                 NaN            NaN            NaN            NaN            NaN            NaN
  1497.54        2500.00        98.8291                 NaN  0.935169E-001  0.330194E-002  0.953873       0.120206                 NaN            NaN            NaN            NaN            NaN            NaN
  1496.04        2500.00        98.8400                 NaN  0.916040E-001  0.319043E-002  0.122571       0.942587                 NaN            NaN            NaN            NaN            NaN            NaN
  1494.55        2500.00        98.8512                 NaN  0.896741E-001  0.309005E-002  0.126473       0.929546                 NaN            NaN            NaN            NaN            NaN            NaN
  1493.06        2500.00        98.8616                 NaN  0.879045E-001  0.298162E-002  0.128226       0.919338                 NaN            NaN            NaN            NaN            NaN            NaN
  1491.56        2500.00        98.8713                 NaN  0.861751E-001  0.288867E-002  0.907854       0.131788                 NaN            NaN            NaN            NaN            NaN            NaN
  1490.07        2500.00        98.8824                 NaN  0.842735E-001  0.279023E-002  0.895961       0.134616                 NaN            NaN            NaN            NaN            NaN            NaN
  1488.57        2500.00        98.8920                 NaN  0.825603E-001  0.268869E-002  0.885729       0.137016                 NaN            NaN            NaN            NaN            NaN            NaN
  1487.08        2500.00        98.9011                 NaN  0.807128E-001  0.258400E-002  0.877408       0.138243                 NaN            NaN            NaN            NaN            NaN            NaN
  1485.59        2500.00        98.9114                 NaN  0.146992       0.222530E-002  0.348910E-001  0.904482                 NaN            NaN            NaN            NaN            NaN            NaN
  1484.09        2500.00        98.9223                 NaN  0.197418E-001  0.257072E-002  0.822656       0.232749                 NaN            NaN            NaN            NaN            NaN            NaN
  1482.60        2500.00        98.9282                 NaN  0.648859E-001  0.236298E-002  0.166118       0.838462                 NaN            NaN            NaN            NaN            NaN            NaN
  1481.10        2500.00        98.9397                 NaN  0.745674E-001  0.222269E-002  0.147732       0.835753                 NaN            NaN            NaN            NaN            NaN            NaN
  1479.61        2500.00        98.9468                 NaN  0.727820E-001  0.214129E-002  0.150236       0.828025                 NaN            NaN            NaN            NaN            NaN            NaN
  1478.12        2500.00        98.9556                 NaN  0.711986E-001  0.205648E-002  0.152424       0.818748                 NaN            NaN            NaN            NaN            NaN            NaN
  1476.62        2500.00        98.9623                 NaN  0.697600E-001  0.197597E-002  0.154455       0.811524                 NaN            NaN            NaN            NaN            NaN            NaN
  1475.13        2500.00        98.9711                 NaN  0.682683E-001  0.189670E-002  0.799661       0.159100                 NaN            NaN            NaN            NaN            NaN            NaN
  1473.63        2500.00        98.9828                 NaN  0.666829E-001  0.180832E-002  0.791076       0.157638                 NaN            NaN            NaN            NaN            NaN            NaN
  1472.14        2500.00        98.9873                 NaN  0.653840E-001  0.173170E-002  0.159928       0.785659                 NaN            NaN            NaN            NaN            NaN            NaN
  1470.64        2500.00        98.9921                 NaN  0.641750E-001  0.166191E-002  0.781600       0.160466                 NaN            NaN            NaN            NaN            NaN            NaN
  1469.15        2500.00        99.0048                 NaN  0.624617E-001  0.157492E-002  0.162659       0.768535                 NaN            NaN            NaN            NaN            NaN            NaN
  1467.66        2500.00        99.0097                 NaN  0.611152E-001  0.150791E-002  0.762322       0.165305                 NaN            NaN            NaN            NaN            NaN            NaN
  1466.16        2500.00        99.0163                 NaN  0.599269E-001  0.143394E-002  0.165870       0.756470                 NaN            NaN            NaN            NaN            NaN            NaN
  1464.67        2500.00        99.0233                 NaN  0.586405E-001  0.136600E-002  0.167963       0.748773                 NaN            NaN            NaN            NaN            NaN            NaN
  1463.17        2500.00        99.0301                 NaN  0.572601E-001  0.128846E-002  0.168494       0.742826                 NaN            NaN            NaN            NaN            NaN            NaN
  1461.68        2500.00        99.0372                 NaN  0.559894E-001  0.122795E-002  0.170985       0.734591                 NaN            NaN            NaN            NaN            NaN            NaN
  1460.19        2500.00        99.0429                 NaN  0.547984E-001  0.115697E-002  0.729787       0.171354                 NaN            NaN            NaN            NaN            NaN            NaN
  1458.69        2500.00        99.0495                 NaN  0.534998E-001  0.108886E-002  0.172961       0.722961                 NaN            NaN            NaN            NaN            NaN            NaN
  1457.20        2500.00        99.0552                 NaN  0.523632E-001  0.103267E-002  0.717122       0.174311                 NaN            NaN            NaN            NaN            NaN            NaN
  1455.70        2500.00        99.0604                 NaN  0.511558E-001  0.967702E-003  0.175353       0.712091                 NaN            NaN            NaN            NaN            NaN            NaN
  1454.21        2500.00        99.0674                 NaN  0.499361E-001  0.905605E-003  0.176412       0.705321                 NaN            NaN            NaN            NaN            NaN            NaN
  1452.72        2500.00        99.0719                 NaN  0.488829E-001  0.846771E-003  0.177267       0.701092                 NaN            NaN            NaN            NaN            NaN            NaN
  1451.22        2500.00        99.0766                 NaN  0.478183E-001  0.786863E-003  0.178378       0.696444                 NaN            NaN            NaN            NaN            NaN            NaN
  1449.73        2500.00        99.0841                 NaN  0.464380E-001  0.729127E-003  0.179719       0.689034                 NaN            NaN            NaN            NaN            NaN            NaN
  1448.23        2500.00        99.0886                 NaN  0.453148E-001  0.675063E-003  0.180535       0.684923                 NaN            NaN            NaN            NaN            NaN            NaN
  1446.74        2500.00        99.0921                 NaN  0.443206E-001  0.617547E-003  0.181642       0.681290                 NaN            NaN            NaN            NaN            NaN            NaN
  1445.24        2500.00        99.0989                 NaN  0.431543E-001  0.564907E-003  0.675028       0.182323                 NaN            NaN            NaN            NaN            NaN            NaN
  1443.75        2500.00        99.1038                 NaN  0.422098E-001  0.508122E-003  0.182865       0.670604                 NaN            NaN            NaN            NaN            NaN            NaN
  1442.26        2500.00        99.1082                 NaN  0.409697E-001  0.464157E-003  0.666113       0.184227                 NaN            NaN            NaN            NaN            NaN            NaN
  1440.76        2500.00        99.1122                 NaN  0.401693E-001  0.411947E-003  0.662384       0.184855                 NaN            NaN            NaN            NaN            NaN            NaN
  1439.27        2500.00        99.1163                 NaN  0.389463E-001  0.365968E-003  0.658595       0.185759                 NaN            NaN            NaN            NaN            NaN            NaN
  1437.77        2500.00        99.1208                 NaN  0.380135E-001  0.301000E-003  0.654306       0.186623                 NaN            NaN            NaN            NaN            NaN            NaN
  1436.28        2500.00        99.1245                 NaN  0.368805E-001  0.271384E-003  0.187243       0.651132                 NaN            NaN            NaN            NaN            NaN            NaN
  1434.79        2500.00        99.1287                 NaN  0.358772E-001  0.225161E-003  0.647773       0.187470                 NaN            NaN            NaN            NaN            NaN            NaN
  1433.29        2500.00        99.1291                 NaN  0.347941E-001  0.188298E-003  0.188512       0.647444                 NaN            NaN            NaN            NaN            NaN            NaN
  1431.80        2500.00        99.1368                 NaN  0.338689E-001  0.140557E-003  0.640078       0.189091                 NaN            NaN            NaN            NaN            NaN            NaN
  1430.30        2500.00        99.1398                 NaN  0.327907E-001  0.102488E-003  0.637451       0.189873                 NaN            NaN            NaN            NaN            NaN            NaN
  1428.81        2500.00        99.1403                 NaN  0.320921E-001  0.565347E-004  0.637595       0.189908                 NaN            NaN            NaN            NaN            NaN            NaN
  1427.32        2500.00        99.1482                 NaN  0.305919E-001  0.280252E-004  0.192105       0.629063                 NaN            NaN            NaN            NaN            NaN            NaN
  1425.82        2500.00        99.1414                 NaN  0.242993E-001  0.118331E-002  0.623249       0.209882                 NaN            NaN            NaN            NaN            NaN            NaN
  1424.33        2500.00        99.1595                 NaN  0.334215E-001            NaN  0.630002       0.177062                 NaN            NaN            NaN            NaN            NaN            NaN
  1422.83        2500.00        98.7765                 NaN  0.128946                 NaN  0.688446       0.216764                 NaN            NaN  0.189329                 NaN            NaN            NaN
  1421.34        2500.00        97.8754                 NaN  0.376204                 NaN  0.262695       0.840247                 NaN            NaN  0.645490                 NaN            NaN            NaN
  1419.84        2500.00        97.9058                 NaN  0.375954                 NaN  0.246175       0.835685                 NaN            NaN  0.636415                 NaN            NaN            NaN
  1418.35        2500.00        97.9356                 NaN  0.375814                 NaN  0.830196       0.231170                 NaN            NaN  0.627227                 NaN            NaN            NaN
  1416.86        2500.00        97.9461                 NaN  0.378301                 NaN  0.219806       0.831722                 NaN            NaN  0.624062                 NaN            NaN            NaN
  1415.36        2500.00        98.0108                 NaN  0.372951                 NaN  0.195403       0.816629                 NaN            NaN  0.604184                 NaN            NaN            NaN
  1413.87        2500.00        98.0208                 NaN  0.375170                 NaN  0.182355       0.820273                 NaN            NaN  0.601409                 NaN            NaN            NaN
  1412.37        2500.00        98.0485                 NaN  0.375157                 NaN  0.817465       0.165657                 NaN            NaN  0.593266                 NaN            NaN            NaN
  1410.88        2500.00        98.0778                 NaN  0.374128                 NaN  0.809202       0.154867                 NaN            NaN  0.583990                 NaN            NaN            NaN
  1409.39        2500.00        98.1011                 NaN  0.374382                 NaN  0.808902       0.138812                 NaN            NaN  0.576839                 NaN            NaN            NaN
  1407.89        2500.00        98.1088                 NaN  0.380012                 NaN  0.119898       0.816695                 NaN            NaN  0.574576                 NaN            NaN            NaN
  1406.40        2500.00        98.1628                 NaN  0.367880                 NaN  0.795640       0.117237                 NaN            NaN  0.556457                 NaN            NaN            NaN
  1404.90        2500.00        98.1735                 NaN  0.373253                 NaN  0.802634       0.962640E-001            NaN            NaN  0.554374                 NaN            NaN            NaN
  1403.41        2500.00        98.2003                 NaN  0.372232                 NaN  0.798069       0.830043E-001            NaN            NaN  0.546356                 NaN            NaN            NaN
  1401.92        2500.00        98.2202                 NaN  0.371947                 NaN  0.797142       0.707989E-001            NaN            NaN  0.539865                 NaN            NaN            NaN
  1400.42        2500.00        98.2440                 NaN  0.371362                 NaN  0.795931       0.559577E-001            NaN            NaN  0.532763                 NaN            NaN            NaN
  1398.93        2500.00        98.2660                 NaN  0.370601                 NaN  0.794033       0.436967E-001            NaN            NaN  0.525719                 NaN            NaN            NaN
  1397.43        2500.00        98.2869                 NaN  0.369780                 NaN  0.793345       0.306776E-001            NaN            NaN  0.519249                 NaN            NaN            NaN
  1395.94        2500.00        98.3054                 NaN  0.369243                 NaN  0.794287       0.179011E-001            NaN            NaN  0.513120                 NaN            NaN            NaN
  1394.45        2500.00        98.3289                 NaN  0.367505                 NaN  0.570991E-002  0.792030                 NaN            NaN  0.505888                 NaN            NaN            NaN
  1392.95        2500.00        98.3367                 NaN  0.338558                 NaN  0.738407       0.875443E-001            NaN            NaN  0.498769                 NaN            NaN            NaN
  1391.46        2500.00        98.3604                 NaN  0.354497                 NaN  0.774261       0.170674E-001            NaN            NaN  0.493774                 NaN            NaN            NaN
  1389.96        2500.00        98.3838                 NaN  0.360727                 NaN  0.767771                 NaN            NaN            NaN  0.487702                 NaN            NaN            NaN
  1388.47        2500.00        98.3892                 NaN  0.351777                 NaN  0.774856                 NaN            NaN            NaN  0.484151                 NaN            NaN            NaN
  1386.97        2500.00        98.4238                 NaN  0.346012                 NaN  0.757274                 NaN            NaN            NaN  0.472942                 NaN            NaN            NaN
  1385.48        2500.00        98.4322                 NaN  0.343394                 NaN  0.754224                 NaN            NaN            NaN  0.470173                 NaN            NaN            NaN
  1383.99        2500.00        98.4547                 NaN  0.342151                 NaN  0.740668                 NaN            NaN            NaN  0.462441                 NaN            NaN            NaN
  1382.49        2500.00        98.4680                 NaN  0.340934                 NaN  0.732742                 NaN            NaN            NaN  0.458361                 NaN            NaN            NaN
  1381.00        2500.00        98.4903                 NaN  0.328270                 NaN  0.731968                 NaN            NaN            NaN  0.449512                 NaN            NaN            NaN
  1379.50        2500.00        98.4901                 NaN  0.337811                 NaN  0.721339                 NaN            NaN            NaN  0.450785                 NaN            NaN            NaN
  1378.01        2500.00        98.5130                 NaN  0.327882                 NaN  0.717288                 NaN            NaN            NaN  0.441873                 NaN            NaN            NaN
  1376.52        2500.00        98.5206                 NaN  0.326421                 NaN  0.714026                 NaN            NaN            NaN  0.438970                 NaN            NaN            NaN
  1375.02        2500.00        98.5425                 NaN  0.320791                 NaN  0.704594                 NaN            NaN            NaN  0.432119                 NaN            NaN            NaN
  1373.53        2500.00        98.5656                 NaN  0.323881                 NaN  0.685400                 NaN            NaN            NaN  0.425102                 NaN            NaN            NaN
  1372.03        2500.00        98.5731                 NaN  0.316381                 NaN  0.688927                 NaN            NaN            NaN  0.421581                 NaN            NaN            NaN
  1370.54        2500.00        98.5838                 NaN  0.298593                 NaN  0.702537                 NaN            NaN            NaN  0.415094                 NaN            NaN            NaN
  1369.05        2500.00        98.6032                 NaN  0.310076                 NaN  0.675972                 NaN            NaN            NaN  0.410714                 NaN            NaN            NaN
  1367.55        2500.00        98.6137                 NaN  0.306880                 NaN  0.672512                 NaN            NaN            NaN  0.406872                 NaN            NaN            NaN
  1366.06        2500.00        98.6288                 NaN  0.304602                 NaN  0.664481                 NaN            NaN            NaN  0.402089                 NaN            NaN            NaN
  1364.56        2500.00        98.6415                 NaN  0.299973                 NaN  0.661123                 NaN            NaN            NaN  0.397355                 NaN            NaN            NaN
  1363.07        2500.00        98.6571                 NaN  0.299504                 NaN  0.650861                 NaN            NaN            NaN  0.392552                 NaN            NaN            NaN
  1361.57        2500.00        98.6668                 NaN  0.294695                 NaN  0.650074                 NaN            NaN            NaN  0.388472                 NaN            NaN            NaN
  1360.08        2500.00        98.6793                 NaN  0.290496                 NaN  0.646190                 NaN            NaN            NaN  0.384003                 NaN            NaN            NaN
  1358.59        2500.00        98.6910                 NaN  0.289150                 NaN  0.639986                 NaN            NaN            NaN  0.379909                 NaN            NaN            NaN
  1357.09        2500.00        98.7014                 NaN  0.284424                 NaN  0.638477                 NaN            NaN            NaN  0.375709                 NaN            NaN            NaN
  1355.60        2500.00        98.7132                 NaN  0.281472                 NaN  0.633737                 NaN            NaN            NaN  0.371605                 NaN            NaN            NaN
  1354.10        2500.00        98.6168                 NaN  0.455134                 NaN  0.456728                 NaN            NaN            NaN  0.471384                 NaN            NaN            NaN
  1352.61        2500.00        98.8213                 NaN  0.113080                 NaN  0.800389                 NaN            NaN            NaN  0.265223                 NaN            NaN            NaN
  1351.12        2500.00        98.7474                 NaN  0.274272                 NaN  0.618781                 NaN            NaN            NaN  0.359540                 NaN            NaN            NaN
  1349.62        2500.00        98.7592                 NaN  0.270248                 NaN  0.614754                 NaN            NaN            NaN  0.355806                 NaN            NaN            NaN
  1348.13        2500.00        98.7682                 NaN  0.264219                 NaN  0.616202                 NaN            NaN            NaN  0.351352                 NaN            NaN            NaN
  1346.63        2500.00        98.7770                 NaN  0.260133                 NaN  0.614777                 NaN            NaN            NaN  0.348043                 NaN            NaN            NaN
  1345.14        2500.00        98.7876                 NaN  0.257178                 NaN  0.610905                 NaN            NaN            NaN  0.344267                 NaN            NaN            NaN
  1343.65        2500.00        98.7959                 NaN  0.256296                 NaN  0.606261                 NaN            NaN            NaN  0.341571                 NaN            NaN            NaN
  1342.15        2500.00        98.8082                 NaN  0.249834                 NaN  0.605367                 NaN            NaN            NaN  0.336615                 NaN            NaN            NaN
  1340.66        2500.00        98.8164                 NaN  0.245958                 NaN  0.603928                 NaN            NaN            NaN  0.333689                 NaN            NaN            NaN
  1339.16        2500.00        98.8257                 NaN  0.242365                 NaN  0.601721                 NaN            NaN            NaN  0.330249                 NaN            NaN            NaN
  1337.67        2500.00        98.8360                 NaN  0.242630                 NaN  0.594274                 NaN            NaN            NaN  0.327061                 NaN            NaN            NaN
  1336.17        2500.00        98.8431                 NaN  0.233540                 NaN  0.599837                 NaN            NaN            NaN  0.323519                 NaN            NaN            NaN
  1334.68        2500.00        98.8225                 NaN  0.230297                 NaN  0.606139                 NaN            NaN            NaN  0.326872       0.141571E-001            NaN            NaN
  1333.19        2500.00        98.7106                 NaN  0.214240                 NaN  0.652959                 NaN            NaN            NaN  0.348006       0.741939E-001            NaN            NaN
  1331.69        2500.00        98.7268                 NaN  0.214243                 NaN  0.641980                 NaN            NaN            NaN  0.344039       0.729189E-001            NaN            NaN
  1330.20        2500.00        98.7391                 NaN  0.211189                 NaN  0.637997                 NaN            NaN            NaN  0.340239       0.715092E-001            NaN            NaN
  1328.70        2500.00        98.7553                 NaN  0.210403                 NaN  0.628693                 NaN            NaN            NaN  0.335455       0.701326E-001            NaN            NaN
  1327.21        2500.00        98.7697                 NaN  0.207894                 NaN  0.621884                 NaN            NaN            NaN  0.331750       0.687818E-001            NaN            NaN
  1325.72        2500.00        98.7822                 NaN  0.208792                 NaN  0.612838                 NaN            NaN            NaN  0.328483       0.677334E-001            NaN            NaN
  1324.22        2500.00        98.7966                 NaN  0.211217                 NaN  0.598571                 NaN            NaN            NaN  0.326896       0.666813E-001            NaN            NaN
  1322.73        2500.00        98.8124                 NaN  0.194950                 NaN  0.612447                 NaN            NaN            NaN  0.316022       0.641598E-001            NaN            NaN
  1321.23        2500.00        98.8264                 NaN  0.197372                 NaN  0.597291                 NaN            NaN            NaN  0.315464       0.634572E-001            NaN            NaN
  1319.74        2500.00        98.8405                 NaN  0.195654                 NaN  0.590135                 NaN            NaN            NaN  0.311469       0.622114E-001            NaN            NaN
  1318.25        2500.00        98.8541                 NaN  0.191446                 NaN  0.585974                 NaN            NaN            NaN  0.307593       0.609366E-001            NaN            NaN
  1316.75        2500.00        98.8681                 NaN  0.188560                 NaN  0.580126                 NaN            NaN            NaN  0.303564       0.596181E-001            NaN            NaN
  1315.26        2500.00        98.8784                 NaN  0.189991                 NaN  0.571890                 NaN            NaN            NaN  0.300991       0.586967E-001            NaN            NaN
  1313.76        2500.00        98.8929                 NaN  0.183015                 NaN  0.570963                 NaN            NaN            NaN  0.295990       0.571408E-001            NaN            NaN
  1312.27        2500.00        98.9054                 NaN  0.180450                 NaN  0.565353                 NaN            NaN            NaN  0.292779       0.560274E-001            NaN            NaN
  1310.77        2500.00        98.9177                 NaN  0.177089                 NaN  0.561126                 NaN            NaN            NaN  0.289277       0.548099E-001            NaN            NaN
  1309.28        2500.00        98.9300                 NaN  0.174153                 NaN  0.556551                 NaN            NaN            NaN  0.285675       0.536672E-001            NaN            NaN
  1307.79        2500.00        98.9417                 NaN  0.171580                 NaN  0.551848                 NaN            NaN            NaN  0.282329       0.525315E-001            NaN            NaN
  1306.29        2500.00        98.9540                 NaN  0.168530                 NaN  0.547265                 NaN            NaN            NaN  0.278818       0.514010E-001            NaN            NaN
  1304.80        2500.00        98.9655                 NaN  0.165264                 NaN  0.543455                 NaN            NaN            NaN  0.275522       0.502322E-001            NaN            NaN
  1303.30        2500.00        98.9766                 NaN  0.159168                 NaN  0.543054                 NaN            NaN            NaN  0.272165       0.489952E-001            NaN            NaN
