|6.6.6
Archiving\03_Data\eqfracLP/QFM_m5/LAR/LAR_1.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        iron           O(HP)          an             San(TH)        San(TH)        ilm            q             
  1404.14        500.000                 NaN   98.7260                 NaN  0.390545       0.472048                 NaN  0.410957E-001            NaN  0.370344                 NaN            NaN            NaN            NaN
  1403.09        500.000                 NaN   98.8545                 NaN  0.424956       0.350815                 NaN  0.367671E-001            NaN  0.332962                 NaN            NaN            NaN            NaN
  1402.05        500.000                 NaN   98.8170                 NaN  0.362361       0.438755                 NaN  0.378968E-001            NaN  0.344024                 NaN            NaN            NaN            NaN
  1401.01        500.000                 NaN   98.8405                 NaN  0.431581       0.354315                 NaN  0.367130E-001            NaN  0.336935                 NaN            NaN            NaN            NaN
  1399.96        500.000                 NaN   98.8571                 NaN  0.349037       0.425715                 NaN  0.360079E-001            NaN  0.332154                 NaN            NaN            NaN            NaN
  1398.92        500.000                 NaN   98.8743                 NaN  0.419747       0.343560                 NaN  0.352478E-001            NaN  0.327188                 NaN            NaN            NaN            NaN
  1397.87        500.000                 NaN   98.8917                 NaN  0.413932       0.337811                 NaN  0.344956E-001            NaN  0.322103                 NaN            NaN            NaN            NaN
  1396.83        500.000                 NaN   98.9086                 NaN  0.408057       0.332501                 NaN  0.336921E-001            NaN  0.317193                 NaN            NaN            NaN            NaN
  1395.78        500.000                 NaN   98.9249                 NaN  0.402548       0.327000                 NaN  0.330063E-001            NaN  0.312509                 NaN            NaN            NaN            NaN
  1394.74        500.000                 NaN   98.9410                 NaN  0.397065       0.321872                 NaN  0.322992E-001            NaN  0.307730                 NaN            NaN            NaN            NaN
  1393.70        500.000                 NaN   98.9561                 NaN  0.316944       0.392022                 NaN  0.316181E-001            NaN  0.303341                 NaN            NaN            NaN            NaN
  1392.65        500.000                 NaN   98.9726                 NaN  0.386498       0.311593                 NaN  0.308805E-001            NaN  0.298464                 NaN            NaN            NaN            NaN
  1391.61        500.000                 NaN   98.9869                 NaN  0.306856       0.381716                 NaN  0.302326E-001            NaN  0.294310                 NaN            NaN            NaN            NaN
  1390.56        500.000                 NaN   99.7772                 NaN  0.675627E-001  0.836081E-001            NaN  0.667698E-002            NaN  0.650003E-001            NaN            NaN            NaN            NaN
  1389.52        500.000                 NaN   98.2434                 NaN  0.663923       0.531153                 NaN  0.514681E-001            NaN  0.510030                 NaN            NaN            NaN            NaN
  1388.47        500.000                 NaN   99.0288                 NaN  0.367574       0.293209                 NaN  0.283511E-001            NaN  0.282107                 NaN            NaN            NaN            NaN
  1387.43        500.000                 NaN   99.0433                 NaN  0.362841       0.288400                 NaN  0.277336E-001            NaN  0.277746                 NaN            NaN            NaN            NaN
  1386.39        500.000                 NaN   99.0562                 NaN  0.358403       0.284255                 NaN  0.271417E-001            NaN  0.273982                 NaN            NaN            NaN            NaN
  1385.34        500.000                 NaN   99.0684                 NaN  0.280296       0.354432                 NaN  0.265251E-001            NaN  0.270390                 NaN            NaN            NaN            NaN
  1384.30        500.000                 NaN   99.0810                 NaN  0.275962       0.350170                 NaN  0.260773E-001            NaN  0.266799                 NaN            NaN            NaN            NaN
  1383.25        500.000                 NaN   99.0949                 NaN  0.271592       0.345594                 NaN  0.253683E-001            NaN  0.262569                 NaN            NaN            NaN            NaN
  1382.21        500.000                 NaN   99.1057                 NaN  0.267794       0.342172                 NaN  0.248850E-001            NaN  0.259473                 NaN            NaN            NaN            NaN
  1381.16        500.000                 NaN   99.1178                 NaN  0.338190       0.263855                 NaN  0.243300E-001            NaN  0.255866                 NaN            NaN            NaN            NaN
  1380.12        500.000                 NaN   99.1287                 NaN  0.334353       0.260357                 NaN  0.238869E-001            NaN  0.252693                 NaN            NaN            NaN            NaN
  1379.08        500.000                 NaN   99.0237                 NaN  0.291465       0.375342                 NaN  0.264567E-001            NaN  0.283001                 NaN            NaN            NaN            NaN
  1378.03        500.000                 NaN   99.2686                 NaN  0.217790       0.281990                 NaN  0.196311E-001            NaN  0.211964                 NaN            NaN            NaN            NaN
  1376.99        500.000                 NaN   99.1623                 NaN  0.249229       0.323425                 NaN  0.222934E-001            NaN  0.242712                 NaN            NaN            NaN            NaN
  1375.94        500.000                 NaN   99.1727                 NaN  0.320063       0.245744                 NaN  0.217897E-001            NaN  0.239668                 NaN            NaN            NaN            NaN
  1374.90        500.000                 NaN   99.1833                 NaN  0.316605       0.242233                 NaN  0.213350E-001            NaN  0.236484                 NaN            NaN            NaN            NaN
  1373.85        500.000                 NaN   99.1934                 NaN  0.238811       0.313428                 NaN  0.208525E-001            NaN  0.233541                 NaN            NaN            NaN            NaN
  1372.81        500.000                 NaN   99.2035                 NaN  0.235387       0.310197                 NaN  0.203831E-001            NaN  0.230543                 NaN            NaN            NaN            NaN
  1371.77        500.000                 NaN   99.2125                 NaN  0.307322       0.232331                 NaN  0.199776E-001            NaN  0.227903                 NaN            NaN            NaN            NaN
  1370.72        500.000                 NaN   99.2230                 NaN  0.304017       0.228868                 NaN  0.194220E-001            NaN  0.224741                 NaN            NaN            NaN            NaN
  1369.68        500.000                 NaN   99.2320                 NaN  0.225835       0.301100                 NaN  0.190256E-001            NaN  0.222081                 NaN            NaN            NaN            NaN
  1368.63        500.000                 NaN   99.2410                 NaN  0.298130       0.222856                 NaN  0.185976E-001            NaN  0.219383                 NaN            NaN            NaN            NaN
  1367.59        500.000                 NaN   99.2498                 NaN  0.295405       0.219832                 NaN  0.181727E-001            NaN  0.216772                 NaN            NaN            NaN            NaN
  1366.54        500.000                 NaN   99.2591                 NaN  0.216783       0.292402                 NaN  0.177513E-001            NaN  0.214011                 NaN            NaN            NaN            NaN
  1365.50        500.000                 NaN   99.2672                 NaN  0.213933       0.289885                 NaN  0.173730E-001            NaN  0.211601                 NaN            NaN            NaN            NaN
  1364.46        500.000                 NaN   99.2761                 NaN  0.287050       0.210917                 NaN  0.169416E-001            NaN  0.208943                 NaN            NaN            NaN            NaN
  1363.41        500.000                 NaN   99.2840                 NaN  0.208355       0.284439                 NaN  0.165582E-001            NaN  0.206606                 NaN            NaN            NaN            NaN
  1362.37        500.000                 NaN   99.2926                 NaN  0.205368       0.281891                 NaN  0.161144E-001            NaN  0.204000                 NaN            NaN            NaN            NaN
  1361.32        500.000                 NaN   99.3004                 NaN  0.202762       0.279371                 NaN  0.157749E-001            NaN  0.201699                 NaN            NaN            NaN            NaN
  1360.28        500.000                 NaN   99.3082                 NaN  0.200029       0.276965                 NaN  0.153830E-001            NaN  0.199377                 NaN            NaN            NaN            NaN
  1359.23        500.000                 NaN   99.3156                 NaN  0.197666       0.274456                 NaN  0.150446E-001            NaN  0.197186                 NaN            NaN            NaN            NaN
  1358.19        500.000                 NaN   99.1358                 NaN  0.346388       0.250369                 NaN  0.187653E-001            NaN  0.248710                 NaN            NaN            NaN            NaN
  1357.15        500.000                 NaN   99.5188                 NaN  0.138206       0.194349                 NaN  0.102311E-001            NaN  0.138451                 NaN            NaN            NaN            NaN
  1356.10        500.000                 NaN   99.3366                 NaN  0.268865       0.189620                 NaN  0.138714E-001            NaN  0.191003                 NaN            NaN            NaN            NaN
  1355.06        500.000                 NaN   99.3471                 NaN  0.187371       0.264364                 NaN  0.135399E-001            NaN  0.187595                 NaN            NaN            NaN            NaN
  1354.01        500.000                 NaN   99.3521                 NaN  0.185280       0.263023                 NaN  0.132981E-001            NaN  0.186266                 NaN            NaN            NaN            NaN
  1352.97        500.000                 NaN   99.3597                 NaN  0.261039       0.182496                 NaN  0.128399E-001            NaN  0.183910                 NaN            NaN            NaN            NaN
  1351.92        500.000                 NaN   99.3657                 NaN  0.180223       0.259344                 NaN  0.125742E-001            NaN  0.182179                 NaN            NaN            NaN            NaN
  1350.88        500.000                 NaN   99.3728                 NaN  0.178015       0.256941                 NaN  0.121887E-001            NaN  0.180027                 NaN            NaN            NaN            NaN
  1349.84        500.000                 NaN   99.3794                 NaN  0.254977       0.175773                 NaN  0.118440E-001            NaN  0.178005                 NaN            NaN            NaN            NaN
  1348.79        500.000                 NaN   99.3852                 NaN  0.173469       0.253444                 NaN  0.115363E-001            NaN  0.176324                 NaN            NaN            NaN            NaN
  1347.75        500.000                 NaN   99.3925                 NaN  0.171162       0.251060                 NaN  0.112108E-001            NaN  0.174096                 NaN            NaN            NaN            NaN
  1346.70        500.000                 NaN   99.3983                 NaN  0.249547       0.168919                 NaN  0.108802E-001            NaN  0.172366                 NaN            NaN            NaN            NaN
  1345.66        500.000                 NaN   99.4042                 NaN  0.167073       0.247429                 NaN  0.106578E-001            NaN  0.170604                 NaN            NaN            NaN            NaN
  1344.61        500.000                 NaN   99.4101                 NaN  0.164723       0.245991                 NaN  0.103213E-001            NaN  0.168905                 NaN            NaN            NaN            NaN
  1343.57        500.000                 NaN   99.4146                 NaN  0.244572       0.163397                 NaN  0.996175E-002            NaN  0.167515                 NaN            NaN            NaN            NaN
  1342.53        500.000                 NaN   99.4240                 NaN  0.160002       0.241766                 NaN  0.962531E-002            NaN  0.164605                 NaN            NaN            NaN            NaN
  1341.48        500.000                 NaN   99.3083                 NaN  0.291322       0.191492                 NaN  0.113078E-001            NaN  0.197612                 NaN            NaN            NaN            NaN
  1340.44        500.000                 NaN   99.5536                 NaN  0.123612       0.188117                 NaN  0.719942E-002            NaN  0.127444                 NaN            NaN            NaN            NaN
  1339.39        500.000                 NaN   99.4379                 NaN  0.237696       0.154919                 NaN  0.895085E-002            NaN  0.160532                 NaN            NaN            NaN            NaN
  1338.35        500.000                 NaN   99.4455                 NaN  0.152772       0.235153                 NaN  0.849608E-002            NaN  0.158088                 NaN            NaN            NaN            NaN
  1337.30        500.000                 NaN   99.4498                 NaN  0.234131       0.150883                 NaN  0.827216E-002            NaN  0.156882                 NaN            NaN            NaN            NaN
  1336.26        500.000                 NaN   99.4550                 NaN  0.148988       0.232729                 NaN  0.796464E-002            NaN  0.155292                 NaN            NaN            NaN            NaN
  1335.22        500.000                 NaN   99.4601                 NaN  0.231162       0.147309                 NaN  0.768692E-002            NaN  0.153729                 NaN            NaN            NaN            NaN
  1334.17        500.000                 NaN   99.4653                 NaN  0.229744       0.145340                 NaN  0.740284E-002            NaN  0.152174                 NaN            NaN            NaN            NaN
  1333.13        500.000                 NaN   99.4702                 NaN  0.143542       0.228443                 NaN  0.711448E-002            NaN  0.150707                 NaN            NaN            NaN            NaN
  1332.08        500.000                 NaN   99.5187                 NaN  0.207983       0.130218                 NaN  0.628733E-002            NaN  0.136859                 NaN            NaN            NaN            NaN
  1331.04        500.000                 NaN   99.4362                 NaN  0.244720       0.151834                 NaN  0.710176E-002            NaN  0.160106                 NaN            NaN            NaN            NaN
  1329.99        500.000                 NaN   99.4845                 NaN  0.138329       0.224470                 NaN  0.630312E-002            NaN  0.146357                 NaN            NaN            NaN            NaN
  1328.95        500.000                 NaN   99.4894                 NaN  0.136623       0.223084                 NaN  0.602100E-002            NaN  0.144848                 NaN            NaN            NaN            NaN
  1327.91        500.000                 NaN   99.4940                 NaN  0.135023       0.221665                 NaN  0.581869E-002            NaN  0.143481                 NaN            NaN            NaN            NaN
  1326.86        500.000                 NaN   99.4984                 NaN  0.220555       0.133390                 NaN  0.550075E-002            NaN  0.142167                 NaN            NaN            NaN            NaN
  1325.82        500.000                 NaN   99.5032                 NaN  0.219174       0.131609                 NaN  0.528613E-002            NaN  0.140707                 NaN            NaN            NaN            NaN
  1324.77        500.000                 NaN   99.5074                 NaN  0.217923       0.130146                 NaN  0.507784E-002            NaN  0.139422                 NaN            NaN            NaN            NaN
  1323.73        500.000                 NaN   99.5120                 NaN  0.128274       0.216936                 NaN  0.476214E-002            NaN  0.138053                 NaN            NaN            NaN            NaN
  1322.68        500.000                 NaN   99.5162                 NaN  0.215573       0.126911                 NaN  0.457903E-002            NaN  0.136785                 NaN            NaN            NaN            NaN
  1321.64        500.000                 NaN   99.5203                 NaN  0.124996       0.214846                 NaN  0.427511E-002            NaN  0.135581                 NaN            NaN            NaN            NaN
  1320.60        500.000                 NaN   99.5241                 NaN  0.123708       0.213798                 NaN  0.397916E-002            NaN  0.134389                 NaN            NaN            NaN            NaN
  1319.55        500.000                 NaN   99.5289                 NaN  0.212348       0.122061                 NaN  0.381339E-002            NaN  0.132928                 NaN            NaN            NaN            NaN
  1318.51        500.000                 NaN   99.5327                 NaN  0.120557       0.211378                 NaN  0.357719E-002            NaN  0.131743                 NaN            NaN            NaN            NaN
  1317.46        500.000                 NaN   99.5364                 NaN  0.119249       0.210359                 NaN  0.335192E-002            NaN  0.130633                 NaN            NaN            NaN            NaN
  1316.42        500.000                 NaN   99.5405                 NaN  0.117665       0.209288                 NaN  0.311535E-002            NaN  0.129409                 NaN            NaN            NaN            NaN
  1315.37        500.000                 NaN   99.5746                 NaN  0.108217       0.194751                 NaN  0.266804E-002            NaN  0.119811                 NaN            NaN            NaN            NaN
  1314.33        500.000                 NaN   99.5177                 NaN  0.122295       0.221486                 NaN  0.281595E-002            NaN  0.135670                 NaN            NaN            NaN            NaN
  1313.29        500.000                 NaN   99.5519                 NaN  0.113040       0.206774                 NaN  0.235396E-002            NaN  0.125966                 NaN            NaN            NaN            NaN
  1312.24        500.000                 NaN   99.5556                 NaN  0.111756       0.205597                 NaN  0.218590E-002            NaN  0.124825                 NaN            NaN            NaN            NaN
  1311.20        500.000                 NaN   99.5589                 NaN  0.110598       0.204595                 NaN  0.201392E-002            NaN  0.123867                 NaN            NaN            NaN            NaN
  1310.15        500.000                 NaN   99.5628                 NaN  0.108888       0.203970                 NaN  0.171936E-002            NaN  0.122670                 NaN            NaN            NaN            NaN
  1309.11        500.000                 NaN   99.5662                 NaN  0.107969       0.202676                 NaN  0.155651E-002            NaN  0.121619                 NaN            NaN            NaN            NaN
  1308.06        500.000                 NaN   99.5693                 NaN  0.106311       0.202414                 NaN  0.124567E-002            NaN  0.120688                 NaN            NaN            NaN            NaN
  1307.02        500.000                 NaN   99.5732                 NaN  0.201229       0.105064                 NaN  0.105624E-002            NaN  0.119450                 NaN            NaN            NaN            NaN
  1305.98        500.000                 NaN   99.5765                 NaN  0.103621       0.200512                 NaN  0.881543E-003            NaN  0.118532                 NaN            NaN            NaN            NaN
  1304.93        500.000                 NaN   99.5786                 NaN  0.200176       0.102481                 NaN  0.712505E-003            NaN  0.118027                 NaN            NaN            NaN            NaN
  1303.89        500.000                 NaN   99.5840                 NaN  0.100820       0.198746                 NaN  0.340545E-003            NaN  0.116055                 NaN            NaN            NaN            NaN
  1302.84        500.000                 NaN   99.5861                 NaN  0.996858E-001  0.198385                 NaN  0.202384E-003            NaN  0.115605                 NaN            NaN            NaN            NaN
  1301.80        500.000                 NaN   99.5896                 NaN  0.197461       0.982702E-001            NaN  0.712863E-004            NaN  0.114580                 NaN            NaN            NaN            NaN
  1300.75        500.000                 NaN   99.5925                 NaN  0.196386       0.973574E-001            NaN            NaN            NaN  0.113712                 NaN            NaN            NaN            NaN
  1299.71        500.000                 NaN   99.5955                 NaN  0.195059       0.964369E-001            NaN  0.111775E-003            NaN  0.112931                 NaN            NaN            NaN            NaN
  1298.67        500.000                 NaN   99.5977                 NaN  0.189824       0.978558E-001            NaN  0.182186E-002            NaN  0.112833                 NaN            NaN            NaN            NaN
  1297.62        500.000                 NaN   99.6016                 NaN  0.192884       0.943221E-001            NaN            NaN            NaN  0.111176                 NaN            NaN            NaN            NaN
  1296.58        500.000                 NaN   99.0144                 NaN  0.300557       0.145048                 NaN            NaN            NaN  0.171974       0.368031                 NaN            NaN            NaN
  1295.53        500.000                 NaN   82.7609                 NaN   1.73988        2.95404                 NaN  0.129181                 NaN   1.90776        10.5083                 NaN            NaN            NaN
  1294.49        500.000                 NaN   84.8555                 NaN   1.53316        2.59926                 NaN  0.106670                 NaN   1.67624        9.22920                 NaN            NaN            NaN
  1293.44        500.000                 NaN   86.5415                 NaN   2.31848        1.36280                 NaN  0.883562E-001            NaN   1.49057        8.19829                 NaN            NaN            NaN
  1292.40        500.000                 NaN   87.8966                 NaN   1.22668        2.09128                 NaN  0.736273E-001            NaN   1.34150        7.37036                 NaN            NaN            NaN
  1291.36        500.000                 NaN   89.0286                 NaN   1.11163        1.90207                 NaN  0.616281E-001            NaN   1.21713        6.67894                 NaN            NaN            NaN
  1290.31        500.000                 NaN   89.9678                 NaN   1.01454        1.74684                 NaN  0.514284E-001            NaN   1.11405        6.10538                 NaN            NaN            NaN
  1289.27        500.000                 NaN   90.7846                 NaN   1.60863       0.932069                 NaN  0.433870E-001            NaN   1.02436        5.60699                 NaN            NaN            NaN
  1288.22        500.000                 NaN   91.4763                 NaN  0.858456        1.49507                 NaN  0.363504E-001            NaN  0.948799        5.18501                 NaN            NaN            NaN
  1287.18        500.000                 NaN   92.0774                 NaN  0.796333        1.39564                 NaN  0.299717E-001            NaN  0.882928        4.81775                 NaN            NaN            NaN
  1286.13        500.000                 NaN   92.5980                 NaN  0.741913        1.30937                 NaN  0.245297E-001            NaN  0.825859        4.50036                 NaN            NaN            NaN
  1285.09        500.000                 NaN   93.0600                 NaN  0.693331        1.23291                 NaN  0.198858E-001            NaN  0.775358        4.21852                 NaN            NaN            NaN
  1284.05        500.000                 NaN   93.4670                 NaN  0.650347        1.16574                 NaN  0.157038E-001            NaN  0.730780        3.97043                 NaN            NaN            NaN
  1283.00        500.000                 NaN   93.8345                 NaN   1.10567       0.611173                 NaN  0.120272E-001            NaN  0.690714        3.74588                 NaN            NaN            NaN
  1281.96        500.000                 NaN   94.1647                 NaN  0.575483        1.05168                 NaN  0.865529E-002            NaN  0.654572        3.54494                 NaN            NaN            NaN
  1280.91        500.000                 NaN   94.4588                 NaN   1.00317       0.543629                 NaN  0.600741E-002            NaN  0.622500        3.36593                 NaN            NaN            NaN
  1279.87        500.000                 NaN   69.1553                 NaN   3.38645        4.86867                 NaN  0.152003                 NaN   3.49369        18.9439                 NaN            NaN            NaN
  1278.82        500.000                 NaN   93.2035                 NaN   1.08093       0.732568                 NaN  0.310854E-001            NaN  0.765946        4.18593                 NaN            NaN            NaN
  1277.78        500.000                 NaN   96.8220                 NaN  0.334385       0.512869                 NaN  0.126596E-001            NaN  0.356315        1.96176                 NaN            NaN            NaN
  1276.74        500.000                 NaN   97.9867                 NaN  0.206339       0.329550                 NaN  0.688068E-002            NaN  0.224713        1.24579                 NaN            NaN            NaN
  1275.69        500.000                 NaN   98.5766                 NaN  0.236387       0.142233                 NaN  0.379644E-002            NaN  0.157911       0.883027                 NaN            NaN            NaN
  1274.65        500.000                 NaN   98.9080                 NaN  0.106736       0.183505                 NaN  0.229788E-002            NaN  0.120560       0.678857                 NaN            NaN            NaN
  1273.60        500.000                 NaN   99.0972                 NaN  0.858929E-001  0.153313                 NaN  0.135649E-002            NaN  0.991793E-001  0.563051                 NaN            NaN            NaN
  1272.56        500.000                 NaN   99.2402                 NaN  0.706140E-001  0.130183                 NaN  0.713689E-003            NaN  0.830675E-001  0.475211                 NaN            NaN            NaN
  1271.51        500.000                 NaN   99.3468                 NaN  0.112949       0.591594E-001            NaN  0.241728E-003            NaN  0.710908E-001  0.409738                 NaN            NaN            NaN
  1270.47        500.000                 NaN   99.4125                 NaN  0.466430E-001  0.106068                 NaN            NaN            NaN  0.642780E-001  0.370476                 NaN            NaN            NaN
  1269.43        500.000                 NaN   98.3065                 NaN  0.351083       0.558565E-001            NaN            NaN            NaN  0.196809        1.08978                 NaN            NaN            NaN
  1268.38        500.000                 NaN   99.9026                 NaN  0.547995E-001  0.165335E-001            NaN            NaN            NaN  0.260681E-001            NaN            NaN            NaN            NaN
  1267.34        500.000                 NaN   99.8914                 NaN  0.237983E-003            NaN            NaN  0.474211E-002            NaN  0.808547E-002  0.955447E-001            NaN            NaN            NaN
  1266.29        500.000                 NaN   94.9027        4.96352       0.234239E-001  0.925588E-002            NaN            NaN            NaN            NaN  0.101085                 NaN            NaN            NaN
  1265.25        500.000                 NaN   96.3957        2.86835       0.132781       0.400532E-001            NaN  0.220222E-002            NaN  0.636822E-001  0.497200                 NaN            NaN            NaN
  1264.20        500.000                 NaN   98.8443        1.12618       0.186048E-001            NaN            NaN            NaN            NaN            NaN  0.109190E-001            NaN            NaN            NaN
  1263.16        500.000                 NaN   96.5877        3.38908       0.882615E-003            NaN            NaN  0.109017E-001            NaN  0.114802E-001            NaN            NaN            NaN            NaN
  1262.12        500.000                 NaN   82.6676                 NaN  0.469185       0.424984        3.24581                 NaN            NaN   1.80306        11.3894                 NaN            NaN            NaN
  1261.07        500.000                 NaN   99.9174                 NaN  0.431575E-001  0.569523E-002            NaN            NaN            NaN  0.337370E-001            NaN            NaN            NaN            NaN
  1260.03        500.000                 NaN   99.9012                 NaN  0.987762E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1258.98        500.000                 NaN   99.9524                 NaN  0.425626E-001            NaN            NaN            NaN            NaN  0.503586E-002            NaN            NaN            NaN            NaN
  1257.94        500.000                 NaN   99.8439                 NaN  0.345004E-001            NaN            NaN            NaN            NaN  0.177732E-001  0.103839                 NaN            NaN            NaN
  1256.89        500.000                 NaN   99.6315                 NaN  0.861031E-001            NaN            NaN            NaN            NaN  0.463787E-001  0.235977                 NaN            NaN            NaN
  1255.85        500.000                 NaN   99.4516                 NaN  0.106992                 NaN            NaN            NaN            NaN  0.518874E-001  0.389552                 NaN            NaN            NaN
  1254.81        500.000                 NaN   99.8943                 NaN  0.419517E-001  0.116050E-001            NaN            NaN            NaN  0.274721E-001  0.246776E-001            NaN            NaN            NaN
  1253.76        500.000                 NaN   99.5497                 NaN  0.122461                 NaN            NaN            NaN            NaN  0.549648E-001  0.272860                 NaN            NaN            NaN
  1252.72        500.000                 NaN   99.8053                 NaN  0.289560E-001            NaN            NaN            NaN            NaN  0.176416E-001  0.148072                 NaN            NaN            NaN
  1251.67        500.000                 NaN   99.2632                 NaN  0.174122                 NaN            NaN            NaN            NaN  0.916626E-001  0.470977                 NaN            NaN            NaN
  1250.63        500.000                 NaN   99.8624                 NaN  0.689204E-001            NaN            NaN            NaN            NaN  0.249988E-001  0.436633E-001            NaN            NaN            NaN
  1249.58        500.000                 NaN   99.7721                 NaN  0.478074E-001            NaN            NaN            NaN            NaN  0.307400E-002  0.177030                 NaN            NaN            NaN
  1248.54        500.000                 NaN   99.4813                 NaN  0.878486E-001  0.499537E-001            NaN            NaN            NaN  0.608503E-001  0.320070                 NaN            NaN            NaN
  1247.50        500.000                 NaN   99.6601                 NaN  0.100989                 NaN            NaN            NaN            NaN  0.338360E-001  0.205089                 NaN            NaN            NaN
  1246.45        500.000                 NaN   99.6905                 NaN  0.947825E-001            NaN            NaN            NaN            NaN  0.395264E-001  0.175236                 NaN            NaN            NaN
  1245.41        500.000                 NaN   99.3193                 NaN  0.707694E-001  0.784289E-001            NaN            NaN            NaN  0.699246E-001  0.461569                 NaN            NaN            NaN
  1244.36        500.000                 NaN   99.1817                 NaN  0.585447E-001  0.193170                 NaN            NaN            NaN  0.855911E-001  0.481010                 NaN            NaN            NaN
  1243.32        500.000                 NaN   69.7965                 NaN   7.21873                 NaN            NaN            NaN            NaN   3.27195        18.2982                 NaN   1.41462                 NaN
  1242.27        500.000                 NaN   91.0426        8.11889       0.302421       0.235658                 NaN            NaN            NaN  0.236116                 NaN            NaN  0.642967E-001            NaN
  1241.23        500.000                 NaN   96.4094                 NaN  0.443237                 NaN            NaN            NaN            NaN  0.264850        2.75251                 NaN  0.130040                 NaN
  1240.19        500.000                 NaN   96.8292                 NaN  0.502577                 NaN            NaN            NaN            NaN  0.322264        2.16310                 NaN  0.182868                 NaN
  1239.14        500.000                 NaN   99.5572                 NaN  0.211821                 NaN            NaN            NaN            NaN  0.396639E-001  0.148961                 NaN  0.423854E-001            NaN
  1238.10        500.000                 NaN   97.6838                 NaN  0.368474                 NaN            NaN            NaN            NaN  0.217997        1.60050                 NaN  0.129224                 NaN
  1237.05        500.000                 NaN   97.8446                 NaN  0.419127                 NaN            NaN            NaN            NaN  0.220834        1.41052                 NaN  0.104876                 NaN
  1236.01        500.000                 NaN   98.0899                 NaN  0.430733                 NaN            NaN            NaN            NaN  0.202295        1.16273                 NaN  0.114314                 NaN
  1234.96        500.000                 NaN   99.5141                 NaN  0.137969                 NaN            NaN            NaN            NaN  0.395379E-001  0.274131                 NaN  0.342132E-001            NaN
  1233.92        500.000                 NaN   98.8232                 NaN  0.273062                 NaN            NaN            NaN            NaN  0.151632       0.651396                 NaN  0.100676                 NaN
  1232.88        500.000                 NaN   97.5753                 NaN  0.423676                 NaN            NaN            NaN            NaN  0.197728        1.71314                 NaN  0.901160E-001            NaN
  1231.83        500.000                 NaN   98.1575                 NaN  0.386130                 NaN            NaN            NaN            NaN  0.204535        1.15496                 NaN  0.968602E-001            NaN
  1230.79        500.000                 NaN   98.2163                 NaN  0.105923       0.343337                 NaN            NaN            NaN  0.237500        1.01363                 NaN  0.832981E-001            NaN
  1229.74        500.000                 NaN   98.6339                 NaN  0.221139                 NaN            NaN            NaN            NaN  0.927357E-001   1.00926                 NaN  0.429968E-001            NaN
  1228.70        500.000                 NaN   98.4445                 NaN  0.295581                 NaN            NaN            NaN            NaN  0.153222        1.02481                 NaN  0.819145E-001            NaN
  1227.65        500.000                 NaN   98.4445                 NaN  0.167616                 NaN            NaN            NaN            NaN  0.138475        1.13705                 NaN  0.112311                 NaN
  1226.61        500.000                 NaN   95.1526                 NaN   1.00478                 NaN            NaN            NaN            NaN  0.480340        3.11760                 NaN  0.244654                 NaN
