|6.6.6
Archiving\03_Data\eqfracLP/QFM_m5/LAR/LAR_3.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        iron           O(HP)          an             San(TH)        San(TH)        ilm            q             
  1369.68        500.000                 NaN   99.3573                 NaN  0.181681       0.239256                 NaN  0.663230E-002            NaN  0.215094                 NaN            NaN            NaN            NaN
  1368.63        500.000                 NaN   99.3653                 NaN  0.236703       0.179144                 NaN  0.647865E-002            NaN  0.212340                 NaN            NaN            NaN            NaN
  1367.59        500.000                 NaN   99.3731                 NaN  0.234347       0.176577                 NaN  0.632629E-002            NaN  0.209675                 NaN            NaN            NaN            NaN
  1366.54        500.000                 NaN   99.3812                 NaN  0.173999       0.231778                 NaN  0.617541E-002            NaN  0.206870                 NaN            NaN            NaN            NaN
  1365.50        500.000                 NaN   99.3884                 NaN  0.171586       0.229597                 NaN  0.603970E-002            NaN  0.204408                 NaN            NaN            NaN            NaN
  1364.46        500.000                 NaN   99.3962                 NaN  0.227170       0.169037                 NaN  0.588577E-002            NaN  0.201711                 NaN            NaN            NaN            NaN
  1363.41        500.000                 NaN   99.4032                 NaN  0.166856       0.224918                 NaN  0.574873E-002            NaN  0.199327                 NaN            NaN            NaN            NaN
  1362.37        500.000                 NaN   99.4107                 NaN  0.164341       0.222721                 NaN  0.559093E-002            NaN  0.196688                 NaN            NaN            NaN            NaN
  1361.32        500.000                 NaN   99.4175                 NaN  0.162138       0.220560                 NaN  0.546952E-002            NaN  0.194347                 NaN            NaN            NaN            NaN
  1360.28        500.000                 NaN   99.4244                 NaN  0.159832       0.218483                 NaN  0.533014E-002            NaN  0.191988                 NaN            NaN            NaN            NaN
  1359.23        500.000                 NaN   99.4309                 NaN  0.157833       0.216341                 NaN  0.520951E-002            NaN  0.189760                 NaN            NaN            NaN            NaN
  1358.19        500.000                 NaN   99.2816                 NaN  0.272868       0.199791                 NaN  0.649455E-002            NaN  0.239229                 NaN            NaN            NaN            NaN
  1357.15        500.000                 NaN   99.6004                 NaN  0.110154       0.152897                 NaN  0.353700E-002            NaN  0.133029                 NaN            NaN            NaN            NaN
  1356.10        500.000                 NaN   99.4493                 NaN  0.211416       0.151060                 NaN  0.479395E-002            NaN  0.183470                 NaN            NaN            NaN            NaN
  1355.06        500.000                 NaN   99.4583                 NaN  0.149180       0.207728                 NaN  0.467640E-002            NaN  0.180086                 NaN            NaN            NaN            NaN
  1354.01        500.000                 NaN   99.4628                 NaN  0.147401       0.206534                 NaN  0.458997E-002            NaN  0.178702                 NaN            NaN            NaN            NaN
  1352.97        500.000                 NaN   99.4694                 NaN  0.204795       0.145085                 NaN  0.442900E-002            NaN  0.176336                 NaN            NaN            NaN            NaN
  1351.92        500.000                 NaN   99.4746                 NaN  0.143176       0.203318                 NaN  0.433463E-002            NaN  0.174572                 NaN            NaN            NaN            NaN
  1350.88        500.000                 NaN   99.4808                 NaN  0.141321       0.201275                 NaN  0.419914E-002            NaN  0.172406                 NaN            NaN            NaN            NaN
  1349.84        500.000                 NaN   99.4865                 NaN  0.199580       0.139441                 NaN  0.407784E-002            NaN  0.170369                 NaN            NaN            NaN            NaN
  1348.79        500.000                 NaN   99.4916                 NaN  0.137514       0.198230                 NaN  0.396945E-002            NaN  0.168661                 NaN            NaN            NaN            NaN
  1347.75        500.000                 NaN   99.4979                 NaN  0.135592       0.196223                 NaN  0.385508E-002            NaN  0.166432                 NaN            NaN            NaN            NaN
  1346.70        500.000                 NaN   99.5030                 NaN  0.194885       0.133721                 NaN  0.373911E-002            NaN  0.164682                 NaN            NaN            NaN            NaN
  1345.66        500.000                 NaN   99.5082                 NaN  0.132176       0.193107                 NaN  0.366049E-002            NaN  0.162905                 NaN            NaN            NaN            NaN
  1344.61        500.000                 NaN   99.5132                 NaN  0.130213       0.191827                 NaN  0.354276E-002            NaN  0.161190                 NaN            NaN            NaN            NaN
  1343.57        500.000                 NaN   99.5172                 NaN  0.190567       0.129078                 NaN  0.341730E-002            NaN  0.159772                 NaN            NaN            NaN            NaN
  1342.53        500.000                 NaN   99.5252                 NaN  0.126311       0.188261                 NaN  0.329990E-002            NaN  0.156907                 NaN            NaN            NaN            NaN
  1341.48        500.000                 NaN   99.4301                 NaN  0.226687       0.151083                 NaN  0.387480E-002            NaN  0.188281                 NaN            NaN            NaN            NaN
  1340.44        500.000                 NaN   99.6325                 NaN  0.974345E-001  0.146243                 NaN  0.246478E-002            NaN  0.121321                 NaN            NaN            NaN            NaN
  1339.39        500.000                 NaN   99.5374                 NaN  0.184701       0.122055                 NaN  0.306326E-002            NaN  0.152768                 NaN            NaN            NaN            NaN
  1338.35        500.000                 NaN   99.5439                 NaN  0.120277       0.182578                 NaN  0.290592E-002            NaN  0.150358                 NaN            NaN            NaN            NaN
  1337.30        500.000                 NaN   99.5477                 NaN  0.181658       0.118708                 NaN  0.282770E-002            NaN  0.149129                 NaN            NaN            NaN            NaN
  1336.26        500.000                 NaN   99.5522                 NaN  0.117143       0.180432                 NaN  0.272101E-002            NaN  0.147536                 NaN            NaN            NaN            NaN
  1335.22        500.000                 NaN   99.5566                 NaN  0.179088       0.115744                 NaN  0.262462E-002            NaN  0.145972                 NaN            NaN            NaN            NaN
  1334.17        500.000                 NaN   99.5611                 NaN  0.177865       0.114115                 NaN  0.252618E-002            NaN  0.144417                 NaN            NaN            NaN            NaN
  1333.13        500.000                 NaN   99.5653                 NaN  0.112626       0.176727                 NaN  0.242641E-002            NaN  0.142948                 NaN            NaN            NaN            NaN
  1332.08        500.000                 NaN   99.6052                 NaN  0.160774       0.102101                 NaN  0.214303E-002            NaN  0.129740                 NaN            NaN            NaN            NaN
  1331.04        500.000                 NaN   99.5378                 NaN  0.189065       0.118984                 NaN  0.241954E-002            NaN  0.151713                 NaN            NaN            NaN            NaN
  1329.99        500.000                 NaN   99.5777                 NaN  0.108324       0.173279                 NaN  0.214608E-002            NaN  0.138600                 NaN            NaN            NaN            NaN
  1328.95        500.000                 NaN   99.5819                 NaN  0.106912       0.172087                 NaN  0.204889E-002            NaN  0.137099                 NaN            NaN            NaN            NaN
  1327.91        500.000                 NaN   99.5858                 NaN  0.105599       0.170879                 NaN  0.197895E-002            NaN  0.135734                 NaN            NaN            NaN            NaN
  1326.86        500.000                 NaN   99.5896                 NaN  0.169895       0.104244                 NaN  0.186979E-002            NaN  0.134421                 NaN            NaN            NaN            NaN
  1325.82        500.000                 NaN   99.5937                 NaN  0.168725       0.102789                 NaN  0.179586E-002            NaN  0.132972                 NaN            NaN            NaN            NaN
  1324.77        500.000                 NaN   99.5973                 NaN  0.167654       0.101585                 NaN  0.172416E-002            NaN  0.131690                 NaN            NaN            NaN            NaN
  1323.73        500.000                 NaN   99.6012                 NaN  0.100052       0.166769                 NaN  0.161610E-002            NaN  0.130330                 NaN            NaN            NaN            NaN
  1322.68        500.000                 NaN   99.6048                 NaN  0.165617       0.989296E-001            NaN  0.155312E-002            NaN  0.129067                 NaN            NaN            NaN            NaN
  1321.64        500.000                 NaN   99.6084                 NaN  0.973680E-001  0.164934                 NaN  0.144926E-002            NaN  0.127867                 NaN            NaN            NaN            NaN
  1320.60        500.000                 NaN   99.6117                 NaN  0.963019E-001  0.164003                 NaN  0.134822E-002            NaN  0.126679                 NaN            NaN            NaN            NaN
  1319.55        500.000                 NaN   99.6157                 NaN  0.162808       0.949662E-001            NaN  0.129137E-002            NaN  0.125239                 NaN            NaN            NaN            NaN
  1318.51        500.000                 NaN   99.6190                 NaN  0.937339E-001  0.161951                 NaN  0.121075E-002            NaN  0.124061                 NaN            NaN            NaN            NaN
  1317.46        500.000                 NaN   99.6222                 NaN  0.926598E-001  0.161059                 NaN  0.113391E-002            NaN  0.122956                 NaN            NaN            NaN            NaN
  1316.42        500.000                 NaN   99.6257                 NaN  0.913660E-001  0.160136                 NaN  0.105334E-002            NaN  0.121744                 NaN            NaN            NaN            NaN
  1315.37        500.000                 NaN   99.6536                 NaN  0.839785E-001  0.148897                 NaN  0.901612E-003            NaN  0.112657                 NaN            NaN            NaN            NaN
  1314.33        500.000                 NaN   99.6074                 NaN  0.948484E-001  0.169252                 NaN  0.951183E-003            NaN  0.127517                 NaN            NaN            NaN            NaN
  1313.29        500.000                 NaN   99.6354                 NaN  0.876072E-001  0.157887                 NaN  0.794677E-003            NaN  0.118333                 NaN            NaN            NaN            NaN
  1312.24        500.000                 NaN   99.6386                 NaN  0.865606E-001  0.156893                 NaN  0.737569E-003            NaN  0.117205                 NaN            NaN            NaN            NaN
  1311.20        500.000                 NaN   99.6414                 NaN  0.856139E-001  0.156032                 NaN  0.679195E-003            NaN  0.116249                 NaN            NaN            NaN            NaN
  1310.15        500.000                 NaN   99.6447                 NaN  0.842341E-001  0.155441                 NaN  0.579564E-003            NaN  0.115072                 NaN            NaN            NaN            NaN
  1309.11        500.000                 NaN   99.6476                 NaN  0.834746E-001  0.154365                 NaN  0.524408E-003            NaN  0.114032                 NaN            NaN            NaN            NaN
  1308.06        500.000                 NaN   99.6503                 NaN  0.821292E-001  0.154047                 NaN  0.419473E-003            NaN  0.113106                 NaN            NaN            NaN            NaN
  1307.02        500.000                 NaN   99.6536                 NaN  0.153057       0.811207E-001            NaN  0.355509E-003            NaN  0.111894                 NaN            NaN            NaN            NaN
  1305.98        500.000                 NaN   99.6563                 NaN  0.799605E-001  0.152415                 NaN  0.296564E-003            NaN  0.110982                 NaN            NaN            NaN            NaN
  1304.93        500.000                 NaN   99.6582                 NaN  0.152067       0.790260E-001            NaN  0.239580E-003            NaN  0.110459                 NaN            NaN            NaN            NaN
  1303.89        500.000                 NaN   99.6628                 NaN  0.777003E-001  0.150869                 NaN  0.114452E-003            NaN  0.108563                 NaN            NaN            NaN            NaN
  1302.84        500.000                 NaN   99.6646                 NaN  0.767816E-001  0.150500                 NaN  0.679856E-004            NaN  0.108094                 NaN            NaN            NaN            NaN
  1301.80        500.000                 NaN   99.6675                 NaN  0.149714       0.756457E-001            NaN  0.239353E-004            NaN  0.107087                 NaN            NaN            NaN            NaN
  1300.75        500.000                 NaN   99.6701                 NaN  0.148815       0.749000E-001            NaN            NaN            NaN  0.106227                 NaN            NaN            NaN            NaN
  1299.71        500.000                 NaN   99.6727                 NaN  0.147702       0.741429E-001            NaN  0.374940E-004            NaN  0.105450                 NaN            NaN            NaN            NaN
  1298.67        500.000                 NaN   99.6753                 NaN  0.143637       0.751847E-001            NaN  0.610836E-003            NaN  0.105312                 NaN            NaN            NaN            NaN
  1297.62        500.000                 NaN   99.6779                 NaN  0.145895       0.724376E-001            NaN            NaN            NaN  0.103718                 NaN            NaN            NaN            NaN
  1296.58        500.000                 NaN   99.1311                 NaN  0.227262       0.111364                 NaN            NaN            NaN  0.160437       0.369813                 NaN            NaN            NaN
  1295.53        500.000                 NaN   83.8649                 NaN   1.35079        2.25827                 NaN  0.437880E-001            NaN   1.80030        10.6820                 NaN            NaN            NaN
  1294.49        500.000                 NaN   85.8537                 NaN   1.18742        1.98183                 NaN  0.360785E-001            NaN   1.57842        9.36251                 NaN            NaN            NaN
  1293.44        500.000                 NaN   87.4501                 NaN   1.76362        1.05319                 NaN  0.298285E-001            NaN   1.40100        8.30226                 NaN            NaN            NaN
  1292.40        500.000                 NaN   88.7300                 NaN  0.946048        1.58753                 NaN  0.248159E-001            NaN   1.25889        7.45273                 NaN            NaN            NaN
  1291.36        500.000                 NaN   89.7970                 NaN  0.855763        1.44119                 NaN  0.207416E-001            NaN   1.14056        6.74470                 NaN            NaN            NaN
  1290.31        500.000                 NaN   90.6808                 NaN  0.779698        1.32122                 NaN  0.172864E-001            NaN   1.04264        6.15833                 NaN            NaN            NaN
  1289.27        500.000                 NaN   91.4483                 NaN   1.21478       0.715206                 NaN  0.145660E-001            NaN  0.957584        5.64959                 NaN            NaN            NaN
  1288.22        500.000                 NaN   92.0973                 NaN  0.657757        1.12734                 NaN  0.121903E-001            NaN  0.885998        5.21937                 NaN            NaN            NaN
  1287.18        500.000                 NaN   92.6609                 NaN  0.609264        1.05079                 NaN  0.100409E-001            NaN  0.823671        4.84536                 NaN            NaN            NaN
  1286.13        500.000                 NaN   93.1484                 NaN  0.566831       0.984444                 NaN  0.820997E-002            NaN  0.769719        4.52244                 NaN            NaN            NaN
  1285.09        500.000                 NaN   93.5806                 NaN  0.529015       0.925716                 NaN  0.664967E-002            NaN  0.722020        4.23595                 NaN            NaN            NaN
  1284.05        500.000                 NaN   93.9611                 NaN  0.495568       0.874132                 NaN  0.524676E-002            NaN  0.679947        3.98397                 NaN            NaN            NaN
  1283.00        500.000                 NaN   94.3046                 NaN  0.828049       0.465124                 NaN  0.401511E-002            NaN  0.642161        3.75605                 NaN            NaN            NaN
  1281.96        500.000                 NaN   94.6127                 NaN  0.437410       0.786627                 NaN  0.288718E-002            NaN  0.608100        3.55225                 NaN            NaN            NaN
  1280.91        500.000                 NaN   94.8871                 NaN  0.749520       0.412723                 NaN  0.200241E-002            NaN  0.577888        3.37081                 NaN            NaN            NaN
  1279.87        500.000                 NaN   71.0010                 NaN   2.61931        3.70683                 NaN  0.515722E-001            NaN   3.30140        19.3199                 NaN            NaN            NaN
  1278.82        500.000                 NaN   93.7435                 NaN  0.805576       0.554551                 NaN  0.103173E-001            NaN  0.708063        4.17795                 NaN            NaN            NaN
  1277.78        500.000                 NaN   97.0821                 NaN  0.252314       0.381040                 NaN  0.418728E-002            NaN  0.328262        1.95207                 NaN            NaN            NaN
  1276.74        500.000                 NaN   98.1517                 NaN  0.155567       0.244670                 NaN  0.227360E-002            NaN  0.206823        1.23893                 NaN            NaN            NaN
  1275.69        500.000                 NaN   98.6930                 NaN  0.175356       0.107144                 NaN  0.125363E-002            NaN  0.145246       0.877957                 NaN            NaN            NaN
  1274.65        500.000                 NaN   98.9969                 NaN  0.803734E-001  0.136102                 NaN  0.758482E-003            NaN  0.110849       0.674982                 NaN            NaN            NaN
  1273.60        500.000                 NaN   99.1700                 NaN  0.646528E-001  0.113669                 NaN  0.447681E-003            NaN  0.911793E-001  0.560012                 NaN            NaN            NaN
  1272.56        500.000                 NaN   99.3010                 NaN  0.531272E-001  0.964837E-001            NaN  0.235488E-003            NaN  0.763531E-001  0.472761                 NaN            NaN            NaN
  1271.51        500.000                 NaN   99.3987                 NaN  0.836745E-001  0.444860E-001            NaN  0.797470E-004            NaN  0.653356E-001  0.407749                 NaN            NaN            NaN
  1270.47        500.000                 NaN   99.4585                 NaN  0.350524E-001  0.785317E-001            NaN            NaN            NaN  0.590687E-001  0.368799                 NaN            NaN            NaN
  1269.43        500.000                 NaN   98.4313                 NaN  0.260083       0.420143E-001            NaN            NaN            NaN  0.180984        1.08566                 NaN            NaN            NaN
  1268.38        500.000                 NaN   99.9229                 NaN  0.409731E-001  0.121631E-001            NaN            NaN            NaN  0.239441E-001            NaN            NaN            NaN            NaN
  1267.34        500.000                 NaN   99.8958                 NaN  0.174421E-003            NaN            NaN  0.156319E-002            NaN  0.742577E-002  0.950048E-001            NaN            NaN            NaN
  1266.29        500.000                 NaN   94.8951        4.97972       0.175777E-001  0.705261E-002            NaN            NaN            NaN            NaN  0.100556                 NaN            NaN            NaN
  1265.25        500.000                 NaN   96.4230        2.89250       0.991169E-001  0.295449E-001            NaN  0.726288E-003            NaN  0.585177E-001  0.496595                 NaN            NaN            NaN
  1264.20        500.000                 NaN   98.8457        1.12974       0.137058E-001            NaN            NaN            NaN            NaN            NaN  0.108889E-001            NaN            NaN            NaN
  1263.16        500.000                 NaN   96.5782        3.40703       0.642267E-003            NaN            NaN  0.359334E-002            NaN  0.105438E-001            NaN            NaN            NaN            NaN
  1262.12        500.000                 NaN   83.7833                 NaN  0.355951       0.320769        2.41118                 NaN            NaN   1.67538        11.4534                 NaN            NaN            NaN
  1261.07        500.000                 NaN   99.9333                 NaN  0.314553E-001  0.428320E-002            NaN            NaN            NaN  0.309327E-001            NaN            NaN            NaN            NaN
  1260.03        500.000                 NaN   99.9275                 NaN  0.725107E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1258.98        500.000                 NaN   99.9643                 NaN  0.311199E-001            NaN            NaN            NaN            NaN  0.461608E-002            NaN            NaN            NaN            NaN
  1257.94        500.000                 NaN   99.8555                 NaN  0.251969E-001            NaN            NaN            NaN            NaN  0.162917E-001  0.102999                 NaN            NaN            NaN
  1256.89        500.000                 NaN   99.6605                 NaN  0.627783E-001            NaN            NaN            NaN            NaN  0.425189E-001  0.234165                 NaN            NaN            NaN
  1255.85        500.000                 NaN   99.4879                 NaN  0.777506E-001            NaN            NaN            NaN            NaN  0.475735E-001  0.386799                 NaN            NaN            NaN
  1254.81        500.000                 NaN   99.9111                 NaN  0.306238E-001  0.860827E-002            NaN            NaN            NaN  0.251811E-001  0.244848E-001            NaN            NaN            NaN
  1253.76        500.000                 NaN   99.5890                 NaN  0.898064E-001            NaN            NaN            NaN            NaN  0.503885E-001  0.270832                 NaN            NaN            NaN
  1252.72        500.000                 NaN   99.8154                 NaN  0.215183E-001            NaN            NaN            NaN            NaN  0.161688E-001  0.146934                 NaN            NaN            NaN
  1251.67        500.000                 NaN   99.3199                 NaN  0.127408                 NaN            NaN            NaN            NaN  0.840444E-001  0.468616                 NaN            NaN            NaN
  1250.63        500.000                 NaN   99.8827                 NaN  0.510515E-001            NaN            NaN            NaN            NaN  0.229108E-001  0.433216E-001            NaN            NaN            NaN
  1249.58        500.000                 NaN   99.7860                 NaN  0.354539E-001            NaN            NaN            NaN            NaN  0.281718E-002  0.175720                 NaN            NaN            NaN
  1248.54        500.000                 NaN   99.5256                 NaN  0.641450E-001  0.369844E-001            NaN            NaN            NaN  0.557793E-001  0.317469                 NaN            NaN            NaN
  1247.50        500.000                 NaN   99.6908                 NaN  0.747667E-001            NaN            NaN            NaN            NaN  0.310107E-001  0.203428                 NaN            NaN            NaN
  1246.45        500.000                 NaN   99.7200                 NaN  0.699687E-001            NaN            NaN            NaN            NaN  0.362240E-001  0.173798                 NaN            NaN            NaN
  1245.41        500.000                 NaN   99.3686                 NaN  0.516614E-001  0.579521E-001            NaN            NaN            NaN  0.640934E-001  0.457682                 NaN            NaN            NaN
  1244.36        500.000                 NaN   99.2588                 NaN  0.432709E-001  0.142408                 NaN            NaN            NaN  0.784622E-001  0.477069                 NaN            NaN            NaN
  1243.32        500.000                 NaN   72.2489                 NaN   5.42548                 NaN            NaN            NaN            NaN   3.05740        18.4973                 NaN  0.770926                 NaN
  1242.27        500.000                 NaN   91.2258        8.13714       0.220794       0.168988                 NaN            NaN            NaN  0.213390                 NaN            NaN  0.338890E-001            NaN
  1241.23        500.000                 NaN   96.6787                 NaN  0.323915                 NaN            NaN            NaN            NaN  0.239263        2.68959                 NaN  0.685124E-001            NaN
  1240.19        500.000                 NaN   97.1333                 NaN  0.367878                 NaN            NaN            NaN            NaN  0.290901        2.11162                 NaN  0.962676E-001            NaN
  1239.14        500.000                 NaN   99.6428                 NaN  0.154058                 NaN            NaN            NaN            NaN  0.357041E-001  0.145178                 NaN  0.222506E-001            NaN
  1238.10        500.000                 NaN   97.9093                 NaN  0.267254                 NaN            NaN            NaN            NaN  0.196352        1.55920                 NaN  0.678775E-001            NaN
  1237.05        500.000                 NaN   98.0663                 NaN  0.306358                 NaN            NaN            NaN            NaN  0.198721        1.37360                 NaN  0.550358E-001            NaN
  1236.01        500.000                 NaN   98.3154                 NaN  0.311441                 NaN            NaN            NaN            NaN  0.181853        1.13142                 NaN  0.599265E-001            NaN
  1234.96        500.000                 NaN   99.5806                 NaN  0.995465E-001            NaN            NaN            NaN            NaN  0.354730E-001  0.266470                 NaN  0.179002E-001            NaN
  1233.92        500.000                 NaN   98.9790                 NaN  0.199008                 NaN            NaN            NaN            NaN  0.136057       0.633259                 NaN  0.526779E-001            NaN
  1232.88        500.000                 NaN   97.8053                 NaN  0.305841                 NaN            NaN            NaN            NaN  0.177402        1.66433                 NaN  0.471475E-001            NaN
  1231.83        500.000                 NaN   98.3677                 NaN  0.277187                 NaN            NaN            NaN            NaN  0.183290        1.12116                 NaN  0.506148E-001            NaN
  1230.79        500.000                 NaN   98.4418                 NaN  0.764618E-001  0.242757                 NaN            NaN            NaN  0.212614       0.982917                 NaN  0.434829E-001            NaN
  1229.74        500.000                 NaN   98.7583                 NaN  0.159269                 NaN            NaN            NaN            NaN  0.828973E-001  0.977100                 NaN  0.224119E-001            NaN
  1228.70        500.000                 NaN   98.6159                 NaN  0.212658                 NaN            NaN            NaN            NaN  0.136928       0.991860                 NaN  0.426847E-001            NaN
  1227.65        500.000                 NaN   98.5974                 NaN  0.120512                 NaN            NaN            NaN            NaN  0.123648        1.10000                 NaN  0.584759E-001            NaN
