|6.6.6
Archiving\03_Data\eqfrac/QFM_m4.5/LAR/LAR_3.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        O(HP)          an             San(TH)        ilm            hed            q             
  1383.46        2500.00                 NaN   99.2012       0.296083       0.861893E-001            NaN  0.126981       0.289545                 NaN            NaN            NaN            NaN
  1382.37        2500.00                 NaN   99.2090       0.296106       0.779456E-001            NaN  0.129388       0.287596                 NaN            NaN            NaN            NaN
  1381.28        2500.00                 NaN   99.4855       0.199809       0.203251E-001            NaN  0.992935E-001  0.195098                 NaN            NaN            NaN            NaN
  1380.18        2500.00                 NaN   98.9543       0.387321       0.132265                 NaN  0.154581       0.371543                 NaN            NaN            NaN            NaN
  1379.09        2500.00                 NaN   99.2310       0.730922E-001  0.290960                 NaN  0.125766       0.279190                 NaN            NaN            NaN            NaN
  1378.00        2500.00                 NaN   99.2412       0.287992       0.707015E-001            NaN  0.124661       0.275465                 NaN            NaN            NaN            NaN
  1376.91        2500.00                 NaN   99.2482       0.287012       0.677550E-001            NaN  0.124140       0.272930                 NaN            NaN            NaN            NaN
  1375.81        2500.00                 NaN   99.2544       0.286065       0.654679E-001            NaN  0.123460       0.270635                 NaN            NaN            NaN            NaN
  1374.72        2500.00                 NaN   99.0685       0.788543E-001  0.361026                 NaN  0.153862       0.337776                 NaN            NaN            NaN            NaN
  1373.63        2500.00                 NaN   99.4616       0.207534       0.462884E-001            NaN  0.895036E-001  0.195095                 NaN            NaN            NaN            NaN
  1372.54        2500.00                 NaN   99.2767       0.585949E-001  0.281404                 NaN  0.120918       0.262401                 NaN            NaN            NaN            NaN
  1371.44        2500.00                 NaN   99.2840       0.570183E-001  0.279537                 NaN  0.119876       0.259607                 NaN            NaN            NaN            NaN
  1370.35        2500.00                 NaN   99.2905       0.278888       0.539283E-001            NaN  0.119422       0.257262                 NaN            NaN            NaN            NaN
  1369.26        2500.00                 NaN   99.2981       0.282281       0.390735E-001            NaN  0.124783       0.255786                 NaN            NaN            NaN            NaN
  1368.17        2500.00                 NaN   99.3049       0.268096       0.659500E-001            NaN  0.110511       0.250497                 NaN            NaN            NaN            NaN
  1367.07        2500.00                 NaN   99.3113       0.496249E-001  0.273065                 NaN  0.116482       0.249478                 NaN            NaN            NaN            NaN
  1365.98        2500.00                 NaN   99.3178       0.272072       0.476662E-001            NaN  0.115499       0.246945                 NaN            NaN            NaN            NaN
  1364.89        2500.00                 NaN   99.3232       0.444847E-001  0.272145                 NaN  0.115187       0.245008                 NaN            NaN            NaN            NaN
  1363.80        2500.00                 NaN   99.3307       0.268703       0.456180E-001            NaN  0.113114       0.241912                 NaN            NaN            NaN            NaN
  1362.70        2500.00                 NaN   99.3365       0.267919       0.429848E-001            NaN  0.112673       0.239874                 NaN            NaN            NaN            NaN
  1361.61        2500.00                 NaN   99.3428       0.266567       0.415181E-001            NaN  0.111641       0.237466                 NaN            NaN            NaN            NaN
  1360.52        2500.00                 NaN   99.3490       0.402068E-001  0.264958                 NaN  0.110693       0.235117                 NaN            NaN            NaN            NaN
  1359.43        2500.00                 NaN   99.3548       0.385550E-001  0.264011                 NaN  0.109748       0.232885                 NaN            NaN            NaN            NaN
  1358.33        2500.00                 NaN   99.3612       0.261758       0.376836E-001            NaN  0.108842       0.230518                 NaN            NaN            NaN            NaN
  1357.24        2500.00                 NaN   99.3668       0.261056       0.361203E-001            NaN  0.107719       0.228306                 NaN            NaN            NaN            NaN
  1356.15        2500.00                 NaN   99.3721       0.259756       0.352552E-001            NaN  0.106658       0.226194                 NaN            NaN            NaN            NaN
  1355.06        2500.00                 NaN   99.3774       0.336811E-001  0.258902                 NaN  0.105800       0.224175                 NaN            NaN            NaN            NaN
  1353.96        2500.00                 NaN   99.3835       0.332442E-001  0.257026                 NaN  0.104420       0.221764                 NaN            NaN            NaN            NaN
  1352.87        2500.00                 NaN   99.3892       0.270395E-001  0.258135                 NaN  0.105577       0.220008                 NaN            NaN            NaN            NaN
  1351.78        2500.00                 NaN   99.3940       0.354660E-001  0.252841                 NaN  0.100426       0.217249                 NaN            NaN            NaN            NaN
  1350.69        2500.00                 NaN   99.3994       0.300423E-001  0.253774                 NaN  0.101236       0.215523                 NaN            NaN            NaN            NaN
  1349.59        2500.00                 NaN   99.4048       0.292694E-001  0.252180                 NaN  0.100272       0.213453                 NaN            NaN            NaN            NaN
  1348.50        2500.00                 NaN   99.4099       0.286352E-001  0.250990                 NaN  0.990572E-001  0.211427                 NaN            NaN            NaN            NaN
  1347.41        2500.00                 NaN   99.4147       0.251939       0.239113E-001            NaN  0.995807E-001  0.209867                 NaN            NaN            NaN            NaN
  1346.32        2500.00                 NaN   99.4196       0.317813E-001  0.245469                 NaN  0.955881E-001  0.207551                 NaN            NaN            NaN            NaN
  1345.22        2500.00                 NaN   99.4253       0.248129       0.262629E-001            NaN  0.952917E-001  0.205039                 NaN            NaN            NaN            NaN
  1344.13        2500.00                 NaN   99.4297       0.246247       0.261862E-001            NaN  0.943835E-001  0.203498                 NaN            NaN            NaN            NaN
  1343.04        2500.00                 NaN   99.4338       0.244042       0.287194E-001            NaN  0.918625E-001  0.201581                 NaN            NaN            NaN            NaN
  1341.95        2500.00                 NaN   99.4390       0.245287       0.220761E-001            NaN  0.934313E-001  0.200210                 NaN            NaN            NaN            NaN
  1340.85        2500.00                 NaN   99.4431       0.243704       0.250659E-001            NaN  0.903192E-001  0.197860                 NaN            NaN            NaN            NaN
  1339.76        2500.00                 NaN   99.4475       0.243292       0.223435E-001            NaN  0.903254E-001  0.196537                 NaN            NaN            NaN            NaN
  1338.67        2500.00                 NaN   99.4527       0.239053       0.259438E-001            NaN  0.880309E-001  0.194263                 NaN            NaN            NaN            NaN
  1337.58        2500.00                 NaN   99.4564       0.234268E-001  0.241295                 NaN  0.865452E-001  0.192304                 NaN            NaN            NaN            NaN
  1336.48        2500.00                 NaN   99.4609       0.214184E-001  0.240510                 NaN  0.863045E-001  0.190864                 NaN            NaN            NaN            NaN
  1335.39        2500.00                 NaN   99.4654       0.249527E-001  0.237009                 NaN  0.837620E-001  0.188849                 NaN            NaN            NaN            NaN
  1334.30        2500.00                 NaN   99.4698       0.236187       0.238244E-001            NaN  0.830440E-001  0.187163                 NaN            NaN            NaN            NaN
  1333.21        2500.00                 NaN   99.4738       0.236958       0.215083E-001            NaN  0.821238E-001  0.185600                 NaN            NaN            NaN            NaN
  1332.11        2500.00                 NaN   99.4780       0.230566E-001  0.234547                 NaN  0.805725E-001  0.183795                 NaN            NaN            NaN            NaN
  1331.02        2500.00                 NaN   99.4798       0.234106E-001  0.234357                 NaN  0.792956E-001  0.183153                 NaN            NaN            NaN            NaN
  1329.93        2500.00                 NaN   99.4879       0.232527       0.214727E-001            NaN  0.782855E-001  0.179843                 NaN            NaN            NaN            NaN
  1328.84        2500.00                 NaN   99.4891       0.249820E-001  0.231047                 NaN  0.759038E-001  0.178934                 NaN            NaN            NaN            NaN
  1327.74        2500.00                 NaN   99.4933       0.220211E-001  0.231926                 NaN  0.753069E-001  0.177414                 NaN            NaN            NaN            NaN
  1326.65        2500.00                 NaN   99.4963       0.234409       0.178684E-001            NaN  0.750164E-001  0.176438                 NaN            NaN            NaN            NaN
  1325.56        2500.00                 NaN   99.4590       0.536496E-002  0.347764                 NaN  0.885057E-002  0.179011                 NaN            NaN            NaN            NaN
  1324.47        2500.00                 NaN   99.5137       0.237051                 NaN            NaN  0.787552E-001  0.170461                 NaN            NaN            NaN            NaN
  1323.37        2500.00                 NaN   99.5119       0.240179                 NaN            NaN  0.769570E-001  0.170948                 NaN            NaN            NaN            NaN
  1322.28        2500.00                 NaN   99.5102       0.224366       0.270943E-001            NaN  0.680222E-001  0.170339                 NaN            NaN            NaN            NaN
  1321.19        2500.00                 NaN   99.5213       0.235040                 NaN            NaN  0.761850E-001  0.167465                 NaN            NaN            NaN            NaN
  1320.10        2500.00                 NaN   99.5211       0.242051                 NaN            NaN  0.703365E-001  0.166496                 NaN            NaN            NaN            NaN
  1319.00        2500.00                 NaN   99.5223       0.153920E-001  0.231013                 NaN  0.658085E-001  0.165497                 NaN            NaN            NaN            NaN
  1317.91        2500.00                 NaN   99.5272       0.241605                 NaN            NaN  0.673201E-001  0.163857                 NaN            NaN            NaN            NaN
  1316.82        2500.00                 NaN   99.5298       0.237968       0.486727E-002            NaN  0.644355E-001  0.162922                 NaN            NaN            NaN            NaN
  1315.73        2500.00                 NaN   99.5333       0.240798                 NaN            NaN  0.649748E-001  0.160955                 NaN            NaN            NaN            NaN
  1314.63        2500.00                 NaN   99.5369       0.241058                 NaN            NaN  0.625454E-001  0.159527                 NaN            NaN            NaN            NaN
  1313.54        2500.00                 NaN   99.5379       0.244500                 NaN            NaN  0.588215E-001  0.158756                 NaN            NaN            NaN            NaN
  1312.45        2500.00                 NaN   99.5425       0.239994                 NaN            NaN  0.603204E-001  0.157213                 NaN            NaN            NaN            NaN
  1311.36        2500.00                 NaN   99.5425       0.247040                 NaN            NaN  0.540109E-001  0.156422                 NaN            NaN            NaN            NaN
  1310.26        2500.00                 NaN   99.5295       0.253212       0.340744E-001            NaN  0.256868E-001  0.157480                 NaN            NaN            NaN            NaN
  1309.17        2500.00                 NaN   99.5378       0.141658       0.129733                 NaN  0.351237E-001  0.155660                 NaN            NaN            NaN            NaN
  1308.08        2500.00                 NaN   91.3379        1.66712                 NaN            NaN  0.417693        1.17333        5.40396                 NaN            NaN            NaN
  1306.99        2500.00                 NaN   90.6646        1.80461                 NaN            NaN  0.435203        1.25676        5.83885                 NaN            NaN            NaN
  1305.89        2500.00                 NaN   91.1182        1.73016                 NaN            NaN  0.412422        1.19993        5.53931                 NaN            NaN            NaN
  1304.80        2500.00                 NaN   91.5273        1.66383                 NaN            NaN  0.391247        1.14833        5.26927                 NaN            NaN            NaN
  1303.71        2500.00                 NaN   91.8815        1.59796                 NaN            NaN  0.380398        1.10399        5.03612                 NaN            NaN            NaN
  1302.62        2500.00                 NaN   92.2075        1.56298                 NaN            NaN  0.351039        1.06340        4.81511                 NaN            NaN            NaN
  1301.52        2500.00                 NaN   92.5057        1.51244                 NaN            NaN  0.337698        1.02593        4.61823                 NaN            NaN            NaN
  1300.43        2500.00                 NaN   92.7741        1.47023                 NaN            NaN  0.323738       0.992311        4.43959                 NaN            NaN            NaN
  1299.34        2500.00                 NaN   93.0148        1.43838                 NaN            NaN  0.307162       0.962693        4.27692                 NaN            NaN            NaN
  1298.25        2500.00                 NaN   93.2574        1.39870                 NaN            NaN  0.295114       0.931987        4.11682                 NaN            NaN            NaN
  1297.15        2500.00                 NaN   93.4700        1.36284                 NaN            NaN  0.285008       0.905303        3.97680                 NaN            NaN            NaN
  1296.06        2500.00                 NaN   93.6607        1.33312                 NaN            NaN  0.275514       0.881736        3.84895                 NaN            NaN            NaN
  1294.97        2500.00                 NaN   89.6859        2.01120                 NaN            NaN  0.387429        1.41350        6.31504       0.186883                 NaN            NaN
  1293.88        2500.00                 NaN   89.2245        2.06318                 NaN            NaN  0.420856        1.47072        6.60685       0.213913                 NaN            NaN
  1292.78        2500.00                 NaN   89.4643        2.00004                 NaN            NaN  0.429828        1.43413        6.46388       0.207863                 NaN            NaN
  1291.69        2500.00                 NaN   89.6561        1.94726                 NaN            NaN  0.438526        1.40382        6.35158       0.202684                 NaN            NaN
  1290.60        2500.00                 NaN   89.8099        1.91572                 NaN            NaN  0.437374        1.37900        6.26046       0.197534                 NaN            NaN
  1289.51        2500.00                 NaN   89.8649        1.89979                 NaN            NaN  0.441500        1.36648        6.23286       0.194497                 NaN            NaN
  1288.42        2500.00                 NaN   89.8248        1.90193                 NaN            NaN  0.447237        1.36608        6.26686       0.193081                 NaN            NaN
  1287.32        2500.00                 NaN   89.6218        1.93403                 NaN            NaN  0.458733        1.38591        6.40496       0.194578                 NaN            NaN
  1286.23        2500.00                 NaN   88.7030        2.08249                 NaN            NaN  0.516533        1.49908        6.98957       0.209291                 NaN            NaN
  1285.14        2500.00                 NaN   87.5290        2.25103                 NaN            NaN  0.582081        1.64784        7.75917       0.230874                 NaN            NaN
  1284.05        2500.00                 NaN   88.3646        2.17907                 NaN            NaN  0.484605        1.50097        7.26398       0.206802                 NaN            NaN
  1282.95        2500.00                 NaN   83.8596        2.92218                 NaN            NaN  0.689714        2.07135        10.1698       0.287366                 NaN            NaN
  1281.86        2500.00                 NaN   79.1427        3.76281                 NaN            NaN  0.891989        2.62609        13.2134       0.362993                 NaN            NaN
  1280.77        2500.00                 NaN   65.9412        6.09863                 NaN            NaN   1.44372        4.23817        21.6939       0.584457                 NaN            NaN
  1279.68        2500.00                 NaN   69.2082        5.69271                 NaN            NaN   1.26414        3.83863        19.4805       0.515798                 NaN            NaN
  1278.58        2500.00                 NaN   71.3903        5.24745                 NaN            NaN   1.24806        3.57727        18.0477       0.489162                 NaN            NaN
  1277.49        2500.00                 NaN   82.6211        3.34421                 NaN            NaN  0.668344        2.17783        10.9108       0.277642                 NaN            NaN
  1276.40        2500.00                 NaN   85.3835        2.69663                 NaN            NaN  0.601139        1.91192        9.14304       0.263815                 NaN            NaN
  1275.31        2500.00                 NaN   87.0923        2.75961                 NaN            NaN  0.393477        1.56514        8.00413       0.185323                 NaN            NaN
  1274.21        2500.00                 NaN   89.7185        2.13122                 NaN            NaN  0.335077        1.31910        6.33154       0.164528                 NaN            NaN
  1273.12        2500.00                 NaN   89.9373        2.18345                 NaN            NaN  0.285364        1.29115        6.14450       0.158273                 NaN            NaN
  1272.03        2500.00                 NaN   93.5662        1.27921                 NaN            NaN  0.227324       0.897251        3.90525       0.124783                 NaN            NaN
  1270.94        2500.00                 NaN   88.5377        2.64120                 NaN            NaN  0.222475        1.41878        7.02476       0.155100                 NaN            NaN
  1269.84        2500.00                 NaN   94.2264        1.39157                 NaN            NaN  0.101169       0.749951        3.44551       0.854106E-001            NaN            NaN
  1268.75        2500.00                 NaN   93.3289        1.60175                 NaN            NaN  0.974938E-001  0.872243        4.00043       0.992145E-001            NaN            NaN
  1267.66        2500.00                 NaN   93.7513        1.55186                 NaN            NaN  0.611142E-001  0.818889        3.72596       0.908941E-001            NaN            NaN
  1266.57        2500.00                 NaN   94.4227        1.15853                 NaN            NaN  0.234799       0.783167        3.31677       0.840718E-001            NaN            NaN
  1265.47        2500.00                 NaN   94.6580        1.37888                 NaN            NaN            NaN  0.679660        3.20914       0.743513E-001            NaN            NaN
  1264.38        2500.00                 NaN   94.8328        1.35334                 NaN            NaN            NaN  0.676114        3.06378       0.739244E-001            NaN            NaN
  1263.29        2500.00                 NaN   94.4619        1.43706                 NaN            NaN            NaN  0.729691        3.29235       0.790295E-001            NaN            NaN
  1262.20        2500.00                 NaN   96.3254        1.02023                 NaN            NaN            NaN  0.494183        2.11436       0.458728E-001            NaN            NaN
  1261.10        2500.00                 NaN   95.8084        1.10721                 NaN            NaN            NaN  0.562476        2.46588       0.560307E-001            NaN            NaN
  1260.01        2500.00                 NaN   95.5549        1.13071                 NaN            NaN            NaN  0.567504        2.67851       0.683635E-001            NaN            NaN
  1258.92        2500.00                 NaN   96.7392       0.764567                 NaN            NaN            NaN  0.425236        2.01513       0.559181E-001            NaN            NaN
  1257.83        2500.00                 NaN   93.2072        1.91590                 NaN            NaN            NaN  0.953142        3.84464       0.791070E-001            NaN            NaN
  1256.73        2500.00                 NaN   98.9312       0.421428E-001            NaN            NaN  0.124281       0.149650       0.735627       0.170519E-001            NaN            NaN
  1255.64        2500.00                 NaN   98.3732       0.491304                 NaN            NaN            NaN  0.243290       0.872427       0.197733E-001            NaN            NaN
  1254.55        2500.00                 NaN   96.8064       0.852968                 NaN            NaN            NaN  0.417418        1.88698       0.362177E-001            NaN            NaN
  1253.46        2500.00                 NaN   97.1034       0.760201                 NaN            NaN            NaN  0.395731        1.70412       0.365664E-001            NaN            NaN
  1252.36        2500.00                 NaN   94.3687        1.23181       0.168210                 NaN            NaN  0.733459        3.41281       0.849696E-001            NaN            NaN
  1251.27        2500.00                 NaN   99.9168       0.325389E-001            NaN            NaN            NaN  0.165049E-001  0.326336E-001  0.148428E-002            NaN            NaN
  1250.18        2500.00                 NaN   99.8104       0.441920E-001            NaN            NaN            NaN  0.209438E-001  0.121597       0.289971E-002            NaN            NaN
  1249.09        2500.00                 NaN   95.7908        1.12023                 NaN            NaN            NaN  0.567866        2.46866       0.524558E-001            NaN            NaN
  1247.99        2500.00                 NaN   95.6164        1.02083                 NaN            NaN            NaN  0.543355        2.75215       0.673115E-001            NaN            NaN
  1246.90        2500.00                 NaN   98.9313       0.374597                 NaN            NaN            NaN  0.198258       0.491130       0.476297E-002            NaN            NaN
  1245.81        2500.00                 NaN   99.7088       0.781359E-001            NaN            NaN            NaN  0.384327E-001  0.174646                 NaN            NaN            NaN
  1244.72        2500.00                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1243.62        2500.00                 NaN   92.6342        1.89627                 NaN            NaN            NaN  0.998383        4.37896       0.922346E-001            NaN            NaN
  1242.53        2500.00                 NaN  100.0000       0.776257E-006            NaN            NaN            NaN            NaN  0.146440E-004            NaN            NaN            NaN
  1241.44        2500.00                 NaN  100.0000                 NaN            NaN            NaN  0.185768E-005  0.279069E-005            NaN            NaN  0.903466E-006            NaN
  1240.35        2500.00                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1239.25        2500.00                 NaN   99.9997       0.113498E-004  0.708769E-004            NaN            NaN  0.414586E-004  0.185361E-003  0.444631E-005            NaN            NaN
  1238.16        2500.00                 NaN   95.2904        1.29500                 NaN            NaN            NaN  0.740111        2.58632       0.881721E-001            NaN            NaN
  1237.07        2500.00                 NaN   96.6696       0.698165                 NaN            NaN            NaN  0.271938        2.33383       0.264527E-001            NaN            NaN
  1235.98        2500.00                 NaN   98.3460       0.238753                 NaN            NaN            NaN  0.647352E-001   1.30030       0.501819E-001            NaN            NaN
  1234.88        2500.00                 NaN   96.4724       0.211552       0.431444E-001            NaN            NaN  0.384252        2.79610       0.925161E-001            NaN            NaN
  1233.79        2500.00                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1232.70        2500.00                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1231.61        2500.00                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1230.51        2500.00                 NaN            NaN   12.4454                 NaN            NaN            NaN   8.57190        45.7617       0.523121                 NaN   32.6979     
  1229.42        2500.00                 NaN            NaN   12.4474                 NaN            NaN            NaN   8.57786        45.7550       0.522031                 NaN   32.6977     
  1228.33        2500.00                 NaN            NaN   12.4446                 NaN            NaN            NaN   8.57123        45.7616       0.523222                 NaN   32.6994     
  1227.24        2500.00                 NaN            NaN   12.4443                 NaN            NaN            NaN   8.57121        45.7612       0.523215                 NaN   32.7001     
  1226.14        2500.00                 NaN            NaN   12.4441                 NaN            NaN            NaN   8.57120        45.7608       0.523207                 NaN   32.7008     
  1225.05        2500.00                 NaN            NaN   12.4438                 NaN            NaN            NaN   8.57119        45.7603       0.523199                 NaN   32.7015     
  1223.96        2500.00                 NaN            NaN   12.4435                 NaN            NaN            NaN   8.57118        45.7599       0.523190                 NaN   32.7022     
  1222.87        2500.00                 NaN            NaN   12.4432                 NaN            NaN            NaN   8.57117        45.7595       0.523182                 NaN   32.7029     
  1221.77        2500.00                 NaN            NaN   12.4430                 NaN            NaN            NaN   8.57115        45.7591       0.523174                 NaN   32.7036     
  1220.68        2500.00                 NaN            NaN   12.4706                 NaN            NaN            NaN   8.65790        45.6670       0.510058                 NaN   32.6945     
  1219.59        2500.00                 NaN            NaN   12.4509                 NaN            NaN            NaN   8.59387        45.7327       0.519589                 NaN   32.7029     
  1218.50        2500.00                 NaN            NaN   12.4729                 NaN            NaN            NaN   8.66376        45.6578       0.509226                 NaN   32.6962     
  1217.40        2500.00                 NaN            NaN   12.4740                 NaN            NaN            NaN   8.66655        45.6535       0.508825                 NaN   32.6971     
  1216.31        2500.00                 NaN            NaN   1.79526        10.6689                 NaN            NaN   8.67471        45.6571       0.509727                 NaN   32.6943     
  1215.22        2500.00                 NaN            NaN   1.73604        10.7297                 NaN            NaN   8.67721        45.6524       0.509273                 NaN   32.6954     
  1214.13        2500.00                 NaN            NaN   12.4411       0.837588E-005            NaN            NaN   8.57107        45.7563       0.523117                 NaN   32.7084     
  1213.03        2500.00                 NaN            NaN   1.56577        10.9028                 NaN            NaN   8.68245        45.6432       0.508394                 NaN   32.6974     
  1211.94        2500.00                 NaN            NaN   1.49909        10.9712                 NaN            NaN   8.68505        45.6384       0.507921                 NaN   32.6984     
  1210.85        2500.00                 NaN            NaN   12.2164       0.238907                 NaN            NaN   8.60916        45.7099       0.517276                 NaN   32.7083     
  1209.76        2500.00                 NaN            NaN   11.7855       0.697357                 NaN            NaN   8.68791        45.6200       0.505730                 NaN   32.7034     
  1208.66        2500.00                 NaN            NaN   12.4848                 NaN            NaN            NaN   8.69232        45.6133       0.505108                 NaN   32.7044     
