|6.6.6
Archiving\03_Data\eqfrac/QFM_m4.5/LAR/LAR_1.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        O(HP)          an             San(TH)        ilm            hed            q             
  1369.26        2500.00                 NaN   99.1736       0.349357       0.491047E-001            NaN  0.173170       0.254764                 NaN            NaN            NaN            NaN
  1368.17        2500.00                 NaN   99.1817       0.332117       0.829650E-001            NaN  0.153563       0.249664                 NaN            NaN            NaN            NaN
  1367.07        2500.00                 NaN   99.1879       0.624908E-001  0.338649                 NaN  0.162122       0.248817                 NaN            NaN            NaN            NaN
  1365.98        2500.00                 NaN   99.1947       0.337741       0.600794E-001            NaN  0.161012       0.246458                 NaN            NaN            NaN            NaN
  1364.89        2500.00                 NaN   99.2002       0.561287E-001  0.338196                 NaN  0.160816       0.244693                 NaN            NaN            NaN            NaN
  1363.80        2500.00                 NaN   99.2082       0.334240       0.576118E-001            NaN  0.158191       0.241766                 NaN            NaN            NaN            NaN
  1362.70        2500.00                 NaN   99.2144       0.333586       0.543367E-001            NaN  0.157792       0.239894                 NaN            NaN            NaN            NaN
  1361.61        2500.00                 NaN   99.2210       0.332256       0.525361E-001            NaN  0.156601       0.237649                 NaN            NaN            NaN            NaN
  1360.52        2500.00                 NaN   99.2275       0.509259E-001  0.330583                 NaN  0.155502       0.235460                 NaN            NaN            NaN            NaN
  1359.43        2500.00                 NaN   99.2336       0.488801E-001  0.329731                 NaN  0.154409       0.233385                 NaN            NaN            NaN            NaN
  1358.33        2500.00                 NaN   99.2405       0.327207       0.478182E-001            NaN  0.153343       0.231173                 NaN            NaN            NaN            NaN
  1357.24        2500.00                 NaN   99.2463       0.326698       0.458812E-001            NaN  0.152002       0.229113                 NaN            NaN            NaN            NaN
  1356.15        2500.00                 NaN   99.2519       0.325409       0.448263E-001            NaN  0.150742       0.227149                 NaN            NaN            NaN            NaN
  1355.06        2500.00                 NaN   99.2574       0.428679E-001  0.324688                 NaN  0.149747       0.225278                 NaN            NaN            NaN            NaN
  1353.96        2500.00                 NaN   99.2640       0.423499E-001  0.322648                 NaN  0.148011       0.223009                 NaN            NaN            NaN            NaN
  1352.87        2500.00                 NaN   99.2699       0.344758E-001  0.324337                 NaN  0.149873       0.221397                 NaN            NaN            NaN            NaN
  1351.78        2500.00                 NaN   99.2751       0.452641E-001  0.318052                 NaN  0.142767       0.218771                 NaN            NaN            NaN            NaN
  1350.69        2500.00                 NaN   99.2807       0.383805E-001  0.319553                 NaN  0.144133       0.217184                 NaN            NaN            NaN            NaN
  1349.59        2500.00                 NaN   99.2865       0.374257E-001  0.317853                 NaN  0.142964       0.215247                 NaN            NaN            NaN            NaN
  1348.50        2500.00                 NaN   99.2919       0.366499E-001  0.316670                 NaN  0.141453       0.213353                 NaN            NaN            NaN            NaN
  1347.41        2500.00                 NaN   99.2968       0.318193       0.306338E-001            NaN  0.142407       0.211926                 NaN            NaN            NaN            NaN
  1346.32        2500.00                 NaN   99.3023       0.407527E-001  0.310349                 NaN  0.136901       0.209733                 NaN            NaN            NaN            NaN
  1345.22        2500.00                 NaN   99.3083       0.314011       0.337055E-001            NaN  0.136671       0.207338                 NaN            NaN            NaN            NaN
  1344.13        2500.00                 NaN   99.3129       0.311954       0.336399E-001            NaN  0.135569       0.205922                 NaN            NaN            NaN            NaN
  1343.04        2500.00                 NaN   99.3173       0.309529       0.369280E-001            NaN  0.132144       0.204123                 NaN            NaN            NaN            NaN
  1341.95        2500.00                 NaN   99.3227       0.311431       0.284147E-001            NaN  0.134590       0.202876                 NaN            NaN            NaN            NaN
  1340.85        2500.00                 NaN   99.3270       0.309737       0.322898E-001            NaN  0.130329       0.200633                 NaN            NaN            NaN            NaN
  1339.76        2500.00                 NaN   99.3318       0.309525       0.288043E-001            NaN  0.130480       0.199430                 NaN            NaN            NaN            NaN
  1338.67        2500.00                 NaN   99.3375       0.304405       0.334774E-001            NaN  0.127386       0.197260                 NaN            NaN            NaN            NaN
  1337.58        2500.00                 NaN   99.3413       0.302613E-001  0.307655                 NaN  0.125392       0.195406                 NaN            NaN            NaN            NaN
  1336.48        2500.00                 NaN   99.3461       0.276878E-001  0.306910                 NaN  0.125213       0.194076                 NaN            NaN            NaN            NaN
  1335.39        2500.00                 NaN   99.3511       0.322845E-001  0.302799                 NaN  0.121697       0.192160                 NaN            NaN            NaN            NaN
  1334.30        2500.00                 NaN   99.3557       0.302041       0.308535E-001            NaN  0.120828       0.190577                 NaN            NaN            NaN            NaN
  1333.21        2500.00                 NaN   99.3600       0.303336       0.278767E-001            NaN  0.119642       0.189115                 NaN            NaN            NaN            NaN
  1332.11        2500.00                 NaN   99.3646       0.299091E-001  0.300548                 NaN  0.117550       0.187405                 NaN            NaN            NaN            NaN
  1331.02        2500.00                 NaN   99.3662       0.303973E-001  0.300651                 NaN  0.115882       0.186879                 NaN            NaN            NaN            NaN
  1329.93        2500.00                 NaN   99.3753       0.298596       0.279024E-001            NaN  0.114523       0.183629                 NaN            NaN            NaN            NaN
  1328.84        2500.00                 NaN   99.3764       0.324910E-001  0.297036                 NaN  0.111218       0.182826                 NaN            NaN            NaN            NaN
  1327.74        2500.00                 NaN   99.3810       0.286618E-001  0.298454                 NaN  0.110480       0.181396                 NaN            NaN            NaN            NaN
  1326.65        2500.00                 NaN   99.3840       0.301967       0.232755E-001            NaN  0.110187       0.180522                 NaN            NaN            NaN            NaN
  1325.56        2500.00                 NaN   99.3434       0.691449E-002  0.453405                 NaN  0.130194E-001  0.183265                 NaN            NaN            NaN            NaN
  1324.47        2500.00                 NaN   99.4036       0.305749                 NaN            NaN  0.116020       0.174641                 NaN            NaN            NaN            NaN
  1323.37        2500.00                 NaN   99.4010       0.310181                 NaN            NaN  0.113540       0.175257                 NaN            NaN            NaN            NaN
  1322.28        2500.00                 NaN   99.3991       0.290272       0.354045E-001            NaN  0.100479       0.174751                 NaN            NaN            NaN            NaN
  1321.19        2500.00                 NaN   99.4114       0.304014                 NaN            NaN  0.112700       0.171922                 NaN            NaN            NaN            NaN
  1320.10        2500.00                 NaN   99.4110       0.313749                 NaN            NaN  0.104178       0.171042                 NaN            NaN            NaN            NaN
  1319.00        2500.00                 NaN   99.4123       0.201591E-001  0.299807                 NaN  0.975910E-001  0.170132                 NaN            NaN            NaN            NaN
  1317.91        2500.00                 NaN   99.4176       0.313832                 NaN            NaN  0.999871E-001  0.168560                 NaN            NaN            NaN            NaN
  1316.82        2500.00                 NaN   99.4206       0.309470       0.638377E-002            NaN  0.958406E-001  0.167711                 NaN            NaN            NaN            NaN
  1315.73        2500.00                 NaN   99.4241       0.313393                 NaN            NaN  0.967532E-001  0.165798                 NaN            NaN            NaN            NaN
  1314.63        2500.00                 NaN   99.4282       0.314140                 NaN            NaN  0.932657E-001  0.164438                 NaN            NaN            NaN            NaN
  1313.54        2500.00                 NaN   99.4293       0.319139                 NaN            NaN  0.878240E-001  0.163753                 NaN            NaN            NaN            NaN
  1312.45        2500.00                 NaN   99.4342       0.313376                 NaN            NaN  0.901918E-001  0.162271                 NaN            NaN            NaN            NaN
  1311.36        2500.00                 NaN   99.4343       0.323279                 NaN            NaN  0.808480E-001  0.161561                 NaN            NaN            NaN            NaN
  1310.26        2500.00                 NaN   99.4206       0.333474       0.446455E-001            NaN  0.384939E-001  0.162757                 NaN            NaN            NaN            NaN
  1309.17        2500.00                 NaN   99.4293       0.186787       0.170260                 NaN  0.527190E-001  0.160981                 NaN            NaN            NaN            NaN
  1308.08        2500.00                 NaN   90.8231        2.17344                 NaN            NaN  0.625551        1.20723        5.17069                 NaN            NaN            NaN
  1306.99        2500.00                 NaN   90.1216        2.35311                 NaN            NaN  0.653104        1.29167        5.58051                 NaN            NaN            NaN
  1305.89        2500.00                 NaN   90.5979        2.25715                 NaN            NaN  0.620445        1.23277        5.29175                 NaN            NaN            NaN
  1304.80        2500.00                 NaN   91.0278        2.17152                 NaN            NaN  0.589986        1.17928        5.03140                 NaN            NaN            NaN
  1303.71        2500.00                 NaN   91.3993        2.08600                 NaN            NaN  0.574974        1.13326        4.80649                 NaN            NaN            NaN
  1302.62        2500.00                 NaN   91.7419        2.04196                 NaN            NaN  0.531670        1.09115        4.59332                 NaN            NaN            NaN
  1301.52        2500.00                 NaN   92.0553        1.97646                 NaN            NaN  0.512552        1.05226        4.40340                 NaN            NaN            NaN
  1300.43        2500.00                 NaN   92.3374        1.92188                 NaN            NaN  0.492300        1.01737        4.23103                 NaN            NaN            NaN
  1299.34        2500.00                 NaN   92.5903        1.88111                 NaN            NaN  0.467964       0.986594        4.07403                 NaN            NaN            NaN
  1298.25        2500.00                 NaN   92.8456        1.82947                 NaN            NaN  0.450426       0.954755        3.91971                 NaN            NaN            NaN
  1297.15        2500.00                 NaN   93.0700        1.78261                 NaN            NaN  0.435720       0.927057        3.78459                 NaN            NaN            NaN
  1296.06        2500.00                 NaN   93.2701        1.74423                 NaN            NaN  0.421891       0.902565        3.66119                 NaN            NaN            NaN
  1294.97        2500.00                 NaN   89.0306        2.62092                 NaN            NaN  0.592806        1.44232        5.98698       0.326419                 NaN            NaN
  1293.88        2500.00                 NaN   88.5342        2.68619                 NaN            NaN  0.645296        1.50025        6.26055       0.373525                 NaN            NaN
  1292.78        2500.00                 NaN   88.7834        2.60381                 NaN            NaN  0.660740        1.46339        6.12562       0.363080                 NaN            NaN
  1291.69        2500.00                 NaN   88.9824        2.53502                 NaN            NaN  0.675774        1.43293        6.01975       0.354155                 NaN            NaN
  1290.60        2500.00                 NaN   89.1425        2.49464                 NaN            NaN  0.675654        1.40809        5.93387       0.345282                 NaN            NaN
  1289.51        2500.00                 NaN   89.1983        2.47434                 NaN            NaN  0.683700        1.39574        5.90781       0.340085                 NaN            NaN
  1288.42        2500.00                 NaN   89.1551        2.47768                 NaN            NaN  0.694132        1.39573        5.93969       0.337711                 NaN            NaN
  1287.32        2500.00                 NaN   88.9407        2.51979                 NaN            NaN  0.713497        1.41628        6.06939       0.340401                 NaN            NaN
  1286.23        2500.00                 NaN   87.9661        2.71231                 NaN            NaN  0.805182        1.53150        6.61889       0.366044                 NaN            NaN
  1285.14        2500.00                 NaN   86.7296        2.93299                 NaN            NaN  0.909368        1.68297        7.34145       0.403677                 NaN            NaN
  1284.05        2500.00                 NaN   87.6304        2.84041                 NaN            NaN  0.758130        1.53458        6.87452       0.361974                 NaN            NaN
  1282.95        2500.00                 NaN   82.9184        3.79893                 NaN            NaN   1.07881        2.11197        9.59024       0.501625                 NaN            NaN
  1281.86        2500.00                 NaN   78.0092        4.88137                 NaN            NaN   1.39592        2.66972        12.4120       0.631788                 NaN            NaN
  1280.77        2500.00                 NaN   64.4371        7.85645                 NaN            NaN   2.24850        4.27199        20.1773        1.00862                 NaN            NaN
  1279.68        2500.00                 NaN   67.7311        7.36474                 NaN            NaN   1.97884        3.87767        18.1555       0.892081                 NaN            NaN
  1278.58        2500.00                 NaN   69.9113        6.80456                 NaN            NaN   1.96672        3.62163        16.8479       0.847893                 NaN            NaN
  1277.49        2500.00                 NaN   81.5485        4.39673                 NaN            NaN   1.06142        2.22485        10.2829       0.485628                 NaN            NaN
  1276.40        2500.00                 NaN   84.4203        3.55922                 NaN            NaN  0.957621        1.95947        8.64045       0.462930                 NaN            NaN
  1275.31        2500.00                 NaN   86.1908        3.66230                 NaN            NaN  0.630526        1.60768        7.58278       0.325934                 NaN            NaN
  1274.21        2500.00                 NaN   88.9523        2.84208                 NaN            NaN  0.537784        1.35939        6.01814       0.290313                 NaN            NaN
  1273.12        2500.00                 NaN   89.1583        2.92108                 NaN            NaN  0.459627        1.33261        5.84863       0.279705                 NaN            NaN
  1272.03        2500.00                 NaN   93.0288        1.71957                 NaN            NaN  0.367324       0.930047        3.73278       0.221473                 NaN            NaN
  1270.94        2500.00                 NaN   87.6403        3.55923                 NaN            NaN  0.359381        1.46723        6.69921       0.274646                 NaN            NaN
  1269.84        2500.00                 NaN   93.7092        1.88781                 NaN            NaN  0.164538       0.780266        3.30600       0.152162                 NaN            NaN
  1268.75        2500.00                 NaN   92.7360        2.17903                 NaN            NaN  0.158742       0.908187        3.84119       0.176891                 NaN            NaN
  1267.66        2500.00                 NaN   93.1802        2.11904                 NaN            NaN  0.997410E-001  0.854255        3.58441       0.162367                 NaN            NaN
  1266.57        2500.00                 NaN   93.8613        1.58532                 NaN            NaN  0.383974       0.818878        3.20001       0.150529                 NaN            NaN
  1265.47        2500.00                 NaN   94.1582        1.89567                 NaN            NaN            NaN  0.712151        3.10054       0.133407                 NaN            NaN
  1264.38        2500.00                 NaN   94.3279        1.86513                 NaN            NaN            NaN  0.709548        2.96457       0.132851                 NaN            NaN
  1263.29        2500.00                 NaN   93.9130        1.98784                 NaN            NaN            NaN  0.766825        3.19010       0.142223                 NaN            NaN
  1262.20        2500.00                 NaN   95.9219        1.41894                 NaN            NaN            NaN  0.520969        2.05538       0.828150E-001            NaN            NaN
  1261.10        2500.00                 NaN   95.3628        1.54256                 NaN            NaN            NaN  0.593675        2.39967       0.101276                 NaN            NaN
  1260.01        2500.00                 NaN   95.0941        1.57163                 NaN            NaN            NaN  0.599878        2.61064       0.123754                 NaN            NaN
  1258.92        2500.00                 NaN   96.4153        1.06239                 NaN            NaN            NaN  0.450642        1.97015       0.101485                 NaN            NaN
  1257.83        2500.00                 NaN   92.4141        2.68192                 NaN            NaN            NaN   1.00858        3.75208       0.143358                 NaN            NaN
  1256.73        2500.00                 NaN   98.8191       0.591404E-001            NaN            NaN  0.207852       0.159623       0.723108       0.311495E-001            NaN            NaN
  1255.64        2500.00                 NaN   98.1509       0.694794                 NaN            NaN            NaN  0.259484       0.858669       0.361187E-001            NaN            NaN
  1254.55        2500.00                 NaN   96.4277        1.20522                 NaN            NaN            NaN  0.445200        1.85576       0.661573E-001            NaN            NaN
  1253.46        2500.00                 NaN   96.7526        1.07839                 NaN            NaN            NaN  0.422867        1.67925       0.669213E-001            NaN            NaN
  1252.36        2500.00                 NaN   93.7288        1.73910       0.233396                 NaN            NaN  0.783549        3.35965       0.155467                 NaN            NaN
  1251.27        2500.00                 NaN   99.9007       0.464982E-001            NaN            NaN            NaN  0.177510E-001  0.323442E-001  0.273411E-002            NaN            NaN
  1250.18        2500.00                 NaN   99.7901       0.614976E-001            NaN            NaN            NaN  0.225253E-001  0.120529       0.534156E-002            NaN            NaN
  1249.09        2500.00                 NaN   95.2594        1.59322                 NaN            NaN            NaN  0.609070        2.44190       0.963649E-001            NaN            NaN
  1247.99        2500.00                 NaN   95.0988        1.46331                 NaN            NaN            NaN  0.584305        2.72965       0.123981                 NaN            NaN
  1246.90        2500.00                 NaN   98.7529       0.534883                 NaN            NaN            NaN  0.214189       0.489216       0.881371E-002            NaN            NaN
  1245.81        2500.00                 NaN   99.6721       0.112027                 NaN            NaN            NaN  0.415867E-001  0.174309                 NaN            NaN            NaN
  1244.72        2500.00                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1243.62        2500.00                 NaN   91.6883        2.71579                 NaN            NaN            NaN   1.07527        4.35044       0.170156                 NaN            NaN
  1242.53        2500.00                 NaN  100.0000       0.112638E-005            NaN            NaN            NaN            NaN  0.146938E-004            NaN            NaN            NaN
  1241.44        2500.00                 NaN  100.0000                 NaN            NaN            NaN  0.317254E-005  0.303652E-005            NaN            NaN  0.128606E-005            NaN
  1240.35        2500.00                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1239.25        2500.00                 NaN   99.9996       0.165251E-004  0.101419E-003            NaN            NaN  0.451093E-004  0.185977E-003  0.828725E-005            NaN            NaN
  1238.16        2500.00                 NaN   94.5870        1.85827                 NaN            NaN            NaN  0.802640        2.58826       0.163803                 NaN            NaN
  1237.07        2500.00                 NaN   96.3115       0.997226                 NaN            NaN            NaN  0.296445        2.34543       0.493989E-001            NaN            NaN
  1235.98        2500.00                 NaN   98.1755       0.348818                 NaN            NaN            NaN  0.707569E-001   1.31094       0.939623E-001            NaN            NaN
  1234.88        2500.00                 NaN   96.2091       0.315770       0.630141E-001            NaN            NaN  0.419933        2.81901       0.173207                 NaN            NaN
  1233.79        2500.00                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1232.70        2500.00                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1231.61        2500.00                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1230.51        2500.00                 NaN            NaN   16.7076                 NaN            NaN            NaN   8.68725        42.7259       0.908274                 NaN   30.9709     
  1229.42        2500.00                 NaN            NaN   16.7092                 NaN            NaN            NaN   8.69340        42.7206       0.906406                 NaN   30.9704     
  1228.33        2500.00                 NaN            NaN   16.7075                 NaN            NaN            NaN   8.68659        42.7265       0.908477                 NaN   30.9710     
  1227.24        2500.00                 NaN            NaN   16.7075                 NaN            NaN            NaN   8.68659        42.7265       0.908479                 NaN   30.9710     
  1226.14        2500.00                 NaN            NaN   16.7075                 NaN            NaN            NaN   8.68659        42.7265       0.908479                 NaN   30.9710     
  1225.05        2500.00                 NaN            NaN   16.7075                 NaN            NaN            NaN   8.68659        42.7265       0.908479                 NaN   30.9710     
  1223.96        2500.00                 NaN            NaN   16.7075                 NaN            NaN            NaN   8.68659        42.7265       0.908479                 NaN   30.9710     
  1222.87        2500.00                 NaN            NaN   16.7075                 NaN            NaN            NaN   8.68659        42.7265       0.908479                 NaN   30.9710     
  1221.77        2500.00                 NaN            NaN   16.7075                 NaN            NaN            NaN   8.68659        42.7265       0.908479                 NaN   30.9710     
  1220.68        2500.00                 NaN            NaN   16.7254                 NaN            NaN            NaN   8.77567        42.6473       0.885833                 NaN   30.9657     
  1219.59        2500.00                 NaN            NaN   16.7137                 NaN            NaN            NaN   8.70990        42.7041       0.902309                 NaN   30.9700     
  1218.50        2500.00                 NaN            NaN   16.7283                 NaN            NaN            NaN   8.78164        42.6396       0.884417                 NaN   30.9661     
  1217.40        2500.00                 NaN            NaN   16.7296                 NaN            NaN            NaN   8.78448        42.6359       0.883734                 NaN   30.9663     
  1216.31        2500.00                 NaN            NaN   2.43040        14.2875                 NaN            NaN   8.79290        42.6403       0.885329                 NaN   30.9635     
  1215.22        2500.00                 NaN            NaN   2.35021        14.3696                 NaN            NaN   8.79544        42.6363       0.884554                 NaN   30.9638     
  1214.13        2500.00                 NaN            NaN   16.7075       0.112366E-004            NaN            NaN   8.68659        42.7265       0.908479                 NaN   30.9710     
  1213.03        2500.00                 NaN            NaN   2.12038        14.6029                 NaN            NaN   8.80077        42.6285       0.883054                 NaN   30.9644     
  1211.94        2500.00                 NaN            NaN   2.03010        14.6952                 NaN            NaN   8.80342        42.6243       0.882246                 NaN   30.9647     
  1210.85        2500.00                 NaN            NaN   16.3967       0.322677                 NaN            NaN   8.72559        42.6864       0.898415                 NaN   30.9702     
  1209.76        2500.00                 NaN            NaN   15.7977       0.942472                 NaN            NaN   8.80623        42.6074       0.878456                 NaN   30.9677     
  1208.66        2500.00                 NaN            NaN   16.7423                 NaN            NaN            NaN   8.81071        42.6015       0.877389                 NaN   30.9680     
  1207.57        2500.00                 NaN            NaN   16.7158                 NaN            NaN            NaN   8.69953        42.7080       0.904633                 NaN   30.9721     
  1206.48        2500.00                 NaN            NaN   16.7158                 NaN            NaN            NaN   8.69957        42.7079       0.904622                 NaN   30.9721     
  1205.39        2500.00                 NaN            NaN   15.9128       0.834378                 NaN            NaN   8.82031        42.5888       0.874989                 NaN   30.9687     
