|6.6.6
Archiving\03_Data\eqfrac/QFM_m1.5/Y98/Y98_3.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        O(HP)          an             ilm            Sp(TH)         San(TH)        q             
  1344.32        2500.00        99.0257                 NaN  0.432462                 NaN            NaN            NaN  0.172855       0.322042       0.469735E-001            NaN            NaN            NaN
  1343.10        2500.00        99.0285                 NaN  0.431742                 NaN            NaN            NaN  0.170703       0.320195       0.488745E-001            NaN            NaN            NaN
  1341.88        2500.00        99.0389                 NaN  0.426747                 NaN            NaN            NaN  0.169370       0.316905       0.481088E-001            NaN            NaN            NaN
  1340.66        2500.00        99.0505                 NaN  0.419702                 NaN            NaN            NaN  0.168982       0.313414       0.473562E-001            NaN            NaN            NaN
  1339.44        2500.00        99.0470                 NaN  0.444973                 NaN            NaN            NaN  0.133689       0.306439       0.179172E-001  0.500189E-001            NaN            NaN
  1338.22        2500.00        99.0572                 NaN  0.442979                 NaN            NaN            NaN  0.128791       0.302717       0.155887E-001  0.527496E-001            NaN            NaN
  1337.00        2500.00        99.0684                 NaN  0.440370                 NaN            NaN            NaN  0.124330       0.298399       0.130455E-001  0.554958E-001            NaN            NaN
  1335.78        2500.00        99.0791                 NaN  0.436062                 NaN            NaN            NaN  0.121831       0.294503       0.114634E-001  0.570093E-001            NaN            NaN
  1334.55        2500.00        99.0892                 NaN  0.431661                 NaN            NaN            NaN  0.120059       0.291352       0.107779E-001  0.569985E-001            NaN            NaN
  1333.33        2500.00        99.0960                 NaN  0.434622                 NaN            NaN            NaN  0.109903       0.287263       0.336552E-002  0.688386E-001            NaN            NaN
  1332.11        2500.00        99.1138                 NaN  0.414842                 NaN            NaN            NaN  0.125299       0.285471       0.169996E-001  0.435455E-001            NaN            NaN
  1330.89        2500.00        99.1198                 NaN  0.419269                 NaN            NaN            NaN  0.114155       0.281325       0.896121E-002  0.564877E-001            NaN            NaN
  1329.67        2500.00        99.1306                 NaN  0.413991                 NaN            NaN            NaN  0.113263       0.278088       0.913296E-002  0.549539E-001            NaN            NaN
  1328.45        2500.00        99.1400                 NaN  0.410204                 NaN            NaN            NaN  0.111630       0.275042       0.887121E-002  0.542484E-001            NaN            NaN
  1327.23        2500.00        99.1505                 NaN  0.405181                 NaN            NaN            NaN  0.110535       0.271827       0.884645E-002  0.531495E-001            NaN            NaN
  1326.01        2500.00        99.1598                 NaN  0.400993                 NaN            NaN            NaN  0.109611       0.268952       0.908327E-002  0.515931E-001            NaN            NaN
  1324.79        2500.00        99.1690                 NaN  0.397550                 NaN            NaN            NaN  0.106643       0.265879       0.748567E-002  0.534389E-001            NaN            NaN
  1323.57        2500.00        99.1807                 NaN  0.390843                 NaN            NaN            NaN  0.108219       0.262575       0.994924E-002  0.477549E-001            NaN            NaN
  1322.34        2500.00        99.1894                 NaN  0.387317                 NaN            NaN            NaN  0.106414       0.259788       0.936718E-002  0.477517E-001            NaN            NaN
  1321.12        2500.00        99.1980                 NaN  0.383157                 NaN            NaN            NaN  0.105935       0.257313       0.997751E-002  0.456678E-001            NaN            NaN
  1319.90        2500.00        99.2076                 NaN  0.378692                 NaN            NaN            NaN  0.104482       0.254301       0.962132E-002  0.453343E-001            NaN            NaN
  1318.68        2500.00        99.2172                 NaN  0.374420                 NaN            NaN            NaN  0.103869       0.251210       0.101999E-001  0.431175E-001            NaN            NaN
  1317.46        2500.00        99.2258                 NaN  0.370135                 NaN            NaN            NaN  0.103291       0.248733       0.106402E-001  0.414202E-001            NaN            NaN
  1316.24        2500.00        99.2345                 NaN  0.365814                 NaN            NaN            NaN  0.102883       0.246169       0.111704E-001  0.395128E-001            NaN            NaN
  1315.02        2500.00        99.2429                 NaN  0.362280                 NaN            NaN            NaN  0.101770       0.243501       0.112929E-001  0.382797E-001            NaN            NaN
  1313.80        2500.00        99.2515                 NaN  0.357784                 NaN            NaN            NaN  0.101588       0.240996       0.119383E-001  0.362222E-001            NaN            NaN
  1312.58        2500.00        99.2573                 NaN  0.361954                 NaN            NaN            NaN  0.898334E-001  0.237238       0.335133E-002  0.503720E-001            NaN            NaN
  1311.36        2500.00        99.2716                 NaN  0.341137                 NaN            NaN            NaN  0.111913       0.236983       0.222213E-001  0.161423E-001            NaN            NaN
  1310.13        2500.00        99.2763                 NaN  0.346023                 NaN            NaN            NaN  0.998259E-001  0.233479       0.132351E-001  0.311111E-001            NaN            NaN
  1308.91        2500.00        99.2839                 NaN  0.342325                 NaN            NaN            NaN  0.999187E-001  0.231302       0.143004E-001  0.282970E-001            NaN            NaN
  1307.69        2500.00        99.2921                 NaN  0.339300                 NaN            NaN            NaN  0.980743E-001  0.228407       0.137875E-001  0.282892E-001            NaN            NaN
  1306.47        2500.00        99.2993                 NaN  0.336154                 NaN            NaN            NaN  0.976596E-001  0.226395       0.146643E-001  0.258144E-001            NaN            NaN
  1305.25        2500.00        99.3075                 NaN  0.331531                 NaN            NaN            NaN  0.976512E-001  0.223953       0.150705E-001  0.242633E-001            NaN            NaN
  1304.03        2500.00        99.3150                 NaN  0.328108                 NaN            NaN            NaN  0.970809E-001  0.221640       0.155169E-001  0.226195E-001            NaN            NaN
  1302.81        2500.00        99.3227                 NaN  0.324138                 NaN            NaN            NaN  0.969695E-001  0.219403       0.162292E-001  0.205271E-001            NaN            NaN
  1301.59        2500.00        99.3291                 NaN  0.321484                 NaN            NaN            NaN  0.966133E-001  0.217460       0.168925E-001  0.184927E-001            NaN            NaN
  1300.37        2500.00        99.3368                 NaN  0.317768                 NaN            NaN            NaN  0.960199E-001  0.215117       0.171698E-001  0.171605E-001            NaN            NaN
  1299.15        2500.00        99.3437                 NaN  0.313583                 NaN            NaN            NaN  0.966081E-001  0.213315       0.182293E-001  0.145485E-001            NaN            NaN
  1297.92        2500.00        99.3508                 NaN  0.312374                 NaN            NaN            NaN  0.939315E-001  0.210478       0.174484E-001  0.149910E-001            NaN            NaN
  1296.70        2500.00        82.5148                 NaN   3.34243                 NaN            NaN            NaN  0.638388        2.43935                 NaN  0.734161        10.3308                 NaN
  1295.48        2500.00        75.5965                 NaN   4.63498                 NaN            NaN            NaN  0.858972        3.35889                 NaN  0.988374        14.5623                 NaN
  1294.26        2500.00        79.9979                 NaN   3.87526                 NaN            NaN            NaN  0.699441        2.77505                 NaN  0.791365        11.8610                 NaN
  1293.04        2500.00        83.0958                 NaN   3.26357                 NaN            NaN            NaN  0.693246        2.37576       0.819793E-001  0.515756        9.97391                 NaN
  1291.82        2500.00        85.1979                 NaN   2.77660                 NaN            NaN            NaN  0.795346        2.11605       0.211828       0.200436        8.70181                 NaN
  1290.60        2500.00        86.7917                 NaN   2.43897                 NaN            NaN            NaN  0.821851        1.91108       0.265681       0.361647E-001   7.73456                 NaN
  1289.38        2500.00        87.8753                 NaN   2.24822                 NaN            NaN            NaN  0.777025        1.76386       0.260681                 NaN   7.07494                 NaN
  1288.16        2500.00        89.0789                 NaN   2.03044                 NaN            NaN            NaN  0.722692        1.59851       0.231786                 NaN   6.33763                 NaN
  1286.94        2500.00        87.4568                 NaN   2.46601                 NaN            NaN            NaN  0.439764        1.79604       0.250139       0.131401        7.45987                 NaN
  1285.71        2500.00        93.6849                 NaN   1.67815                 NaN            NaN            NaN  0.291696       0.891736       0.777456E-001            NaN   3.37573                 NaN
  1284.49        2500.00        91.3608                 NaN   1.35300                 NaN            NaN            NaN  0.864294        1.35303       0.157453                 NaN   4.91146                 NaN
  1283.27        2500.00        91.4966                 NaN   1.74885                 NaN            NaN            NaN  0.469897        1.25303       0.173752                 NaN   4.85787                 NaN
  1282.05        2500.00        91.6686                 NaN   1.74405                 NaN            NaN            NaN  0.475593        1.25603       0.176931                 NaN   4.67879                 NaN
  1280.83        2500.00        91.8688                 NaN   1.47958                 NaN            NaN            NaN  0.576559        1.21429       0.166639                 NaN   4.69413                 NaN
  1279.61        2500.00        94.6556                 NaN  0.608995       0.183122E-001            NaN            NaN  0.281074       0.638877                 NaN  0.261664        3.53552                 NaN
  1278.39        2500.00        94.0198                 NaN  0.145812        2.08759                 NaN            NaN            NaN   1.01890       0.512373E-001            NaN   2.67661                 NaN
  1277.17        2500.00        87.6799                 NaN   1.14308        2.41106                 NaN            NaN            NaN   1.80518       0.203606                 NaN   6.75720                 NaN
  1275.95        2500.00        98.7854                 NaN            NaN            NaN            NaN            NaN  0.225379       0.214837       0.308000E-001            NaN  0.743554                 NaN
  1274.73        2500.00        98.8703                 NaN  0.427287                 NaN            NaN            NaN            NaN  0.159638       0.113769E-001            NaN  0.531389                 NaN
  1273.50        2500.00        99.1101                 NaN  0.768927E-001            NaN            NaN            NaN  0.723688E-001  0.156277       0.205553E-001            NaN  0.563844                 NaN
  1272.28        2500.00        99.0945                 NaN  0.128806       0.114007                 NaN            NaN            NaN  0.141018       0.202850E-001            NaN  0.501350                 NaN
  1271.06        2500.00        80.8533                 NaN   5.43501                 NaN            NaN            NaN  0.176079        2.77493       0.323351                 NaN   10.4373                 NaN
  1269.84        2500.00        88.6404                 NaN   2.79465       0.118351E-004            NaN            NaN  0.407455        1.89339       0.130549                 NaN   6.13351                 NaN
  1268.62        2500.00        99.2552                 NaN  0.677953                 NaN            NaN            NaN            NaN  0.313079E-001            NaN            NaN  0.355863E-001            NaN
  1267.40        2500.00        99.4760                 NaN            NaN            NaN            NaN            NaN            NaN  0.410532E-001  0.206592E-001            NaN  0.462286                 NaN
  1266.18        2500.00        95.3253                 NaN   1.08566                 NaN            NaN            NaN            NaN  0.840991       0.632901E-001            NaN   2.68473                 NaN
  1264.96        2500.00        95.6090                 NaN   1.89059       0.129255E-005            NaN            NaN            NaN  0.418352       0.441944E-001            NaN   2.03787                 NaN
  1263.74        2500.00        97.0250                 NaN  0.900454                 NaN            NaN            NaN            NaN  0.551417       0.525201E-001            NaN   1.47064                 NaN
  1262.52        2500.00        97.2868                 NaN  0.486701                 NaN            NaN            NaN            NaN  0.389478       0.114544                 NaN   1.72250                 NaN
  1261.29        2500.00        95.5581                 NaN   1.46987                 NaN            NaN            NaN            NaN  0.638469       0.756259E-002            NaN   2.32600                 NaN
  1260.07        2500.00        95.7743                 NaN   1.25299                 NaN            NaN            NaN            NaN  0.687810       0.117600                 NaN   2.16733                 NaN
  1258.85        2500.00        98.1536                 NaN  0.517487       0.167002                 NaN            NaN            NaN  0.225806                 NaN            NaN  0.936084                 NaN
  1257.63        2500.00        99.0180                 NaN  0.313298                 NaN            NaN            NaN            NaN  0.110890       0.307436E-002            NaN  0.554771                 NaN
  1256.41        2500.00        96.3742                 NaN  0.999102                 NaN            NaN            NaN            NaN  0.515009       0.599770E-001            NaN   2.05171                 NaN
  1255.19        2500.00        97.0751                 NaN  0.897277                 NaN            NaN            NaN            NaN  0.439693       0.404288E-001            NaN   1.54751                 NaN
  1253.97        2500.00        97.3801                 NaN  0.624343                 NaN            NaN            NaN            NaN  0.265217       0.671620E-001            NaN   1.66318                 NaN
  1252.75        2500.00        97.6989                 NaN  0.894106                 NaN            NaN            NaN            NaN  0.467877       0.256750E-002            NaN  0.936504                 NaN
  1251.53        2500.00        75.9901        11.5945        3.29142       0.298627       0.228825E-001  0.169394E-004            NaN   1.86994       0.178116                 NaN   6.75443                 NaN
  1250.31        2500.00        99.9320                 NaN            NaN            NaN            NaN            NaN            NaN  0.679657E-001            NaN            NaN            NaN            NaN
  1249.08        2500.00        99.8335                 NaN            NaN            NaN            NaN            NaN            NaN  0.163952       0.259203E-002            NaN            NaN            NaN
  1247.86        2500.00        99.1865                 NaN  0.343704                 NaN            NaN            NaN            NaN            NaN  0.131884E-001            NaN  0.456603                 NaN
  1246.64        2500.00        99.7002                 NaN  0.136694                 NaN            NaN            NaN            NaN            NaN  0.104456E-001            NaN  0.152635                 NaN
