|6.6.6
Archiving\03_Data\fracLP/QFM_m1.25/GRV/GRV_3.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         melt(TH)       melt(TH)       pxmn           Sp(TH)         O(HP)          O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1929.82        500.000        99.3232                 NaN  0.676779                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1927.32        500.000        99.3232                 NaN  0.676838                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1924.81        500.000        99.3231                 NaN  0.676896                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1922.31        500.000        99.3230                 NaN  0.676955                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.80        500.000        99.3230                 NaN  0.677013                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1917.29        500.000        99.3229                 NaN  0.677072                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1914.79        500.000        99.3229                 NaN  0.677130                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1912.28        500.000        99.3228                 NaN  0.677189                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1909.77        500.000        99.3228                 NaN  0.677247                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.27        500.000        99.3227                 NaN  0.677306                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1904.76        500.000        99.3226                 NaN  0.677365                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1902.26        500.000        99.3226                 NaN  0.677423                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1899.75        500.000        99.3225                 NaN  0.677482                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        500.000        99.3225                 NaN  0.677540                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        500.000        99.3224                 NaN  0.677599                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        500.000        99.3223                 NaN  0.677658                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        500.000        99.3223                 NaN  0.677717                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        500.000        99.3222                 NaN  0.677776                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        500.000        99.3222                 NaN  0.677834                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        500.000        99.3221                 NaN  0.677893                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        500.000        99.3220                 NaN  0.677952                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        500.000        99.3220                 NaN  0.678010                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        500.000        99.3219                 NaN  0.678069                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        500.000        99.3219                 NaN  0.678128                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        500.000        99.3218                 NaN  0.678187                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        500.000        99.3218                 NaN  0.678246                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        500.000        99.3217                 NaN  0.678305                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        500.000        99.3216                 NaN  0.678363                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        500.000        99.3216                 NaN  0.678422                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        500.000        99.3215                 NaN  0.678481                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        500.000        99.3215                 NaN  0.678540                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        500.000        99.3214                 NaN  0.678599                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        500.000        99.3213                 NaN  0.678658                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        500.000        99.3213                 NaN  0.678717                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        500.000        99.3212                 NaN  0.678776                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        500.000        99.3212                 NaN  0.678835                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        500.000        99.3211                 NaN  0.678894                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        500.000        99.3210                 NaN  0.678953                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        500.000        99.3210                 NaN  0.679012                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        500.000        99.3209                 NaN  0.679071                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        500.000        99.3209                 NaN  0.679130                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        500.000        99.3208                 NaN  0.679189                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        500.000        99.3208                 NaN  0.679248                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        500.000        99.3207                 NaN  0.679307                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        500.000        99.3206                 NaN  0.679366                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        500.000        99.3206                 NaN  0.679426                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        500.000        99.3205                 NaN  0.679485                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        500.000        99.3205                 NaN  0.679544                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        500.000        99.3115                 NaN  0.679616       0.891947E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        500.000        99.3092                 NaN  0.679751       0.110719E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        500.000        99.3090                 NaN  0.679901       0.111001E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        500.000        99.3089                 NaN  0.680052       0.110275E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        500.000        99.3089                 NaN  0.680201       0.109368E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        500.000        99.3088                 NaN  0.680350       0.108552E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        500.000        99.3087                 NaN  0.680499       0.107947E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        500.000        99.3087                 NaN  0.680647       0.106932E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        500.000        99.3086                 NaN  0.680794       0.106219E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        500.000        99.3085                 NaN  0.680940       0.105431E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        500.000        99.3085                 NaN  0.681086       0.104563E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        500.000        99.3084                 NaN  0.681231       0.103725E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        500.000        99.3083                 NaN  0.681375       0.103171E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        500.000        99.2967                 NaN  0.681536       0.217277E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        500.000        99.3183                 NaN  0.681743                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        500.000        99.3094                 NaN  0.681814       0.875036E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        500.000        99.3081                 NaN  0.681947       0.999442E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        500.000        99.3080                 NaN  0.682089       0.989953E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        500.000        99.3079                 NaN  0.682229       0.985223E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        500.000        99.3079                 NaN  0.682369       0.977392E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        500.000        99.3078                 NaN  0.682509       0.971039E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        500.000        99.3077                 NaN  0.682648       0.963529E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        500.000        99.3076                 NaN  0.682787       0.957359E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        500.000        99.0268                 NaN  0.683035       0.930985E-002  0.280821                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        500.000        99.4059                 NaN            NaN  0.928902E-002  0.584781                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        500.000        99.4019                 NaN            NaN  0.925334E-002  0.588806                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        500.000        99.3968                 NaN            NaN  0.926426E-002  0.593912                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        500.000        99.3934                 NaN            NaN  0.925117E-002  0.597367                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        500.000        99.3900                 NaN            NaN  0.921511E-002  0.600823                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        500.000        99.3854                 NaN            NaN  0.920946E-002  0.605364                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        500.000        99.3802                 NaN            NaN  0.922025E-002  0.610585                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        500.000        99.3679                 NaN            NaN  0.931811E-002  0.622812                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        500.000        99.3790                 NaN            NaN  0.904428E-002  0.612002                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        500.000        99.3881                 NaN            NaN  0.887261E-002  0.603012                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        500.000        99.3405                 NaN            NaN  0.947805E-002  0.650045                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        500.000        99.3566                 NaN            NaN  0.917729E-002  0.634173                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        500.000        98.8963                 NaN            NaN  0.156145E-001   1.08811                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        500.000        99.8325                 NaN            NaN  0.232685E-002  0.165203                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        500.000        99.3175                 NaN            NaN  0.950833E-002  0.672997                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        500.000        99.3425                 NaN            NaN  0.906719E-002  0.648428                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        500.000        99.3345                 NaN            NaN  0.912250E-002  0.656361                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        500.000        99.3679                 NaN            NaN  0.859857E-002  0.623551                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        500.000        99.2870                 NaN            NaN  0.961522E-002  0.703366                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        500.000        99.3207                 NaN            NaN  0.909288E-002  0.670224                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        500.000        99.3147                 NaN            NaN  0.911171E-002  0.676162                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        500.000        99.3139                 NaN            NaN  0.906477E-002  0.677059                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        500.000        99.3069                 NaN            NaN  0.908224E-002  0.683980                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        500.000        99.3042                 NaN            NaN  0.905743E-002  0.686699                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        500.000        99.3003                 NaN            NaN  0.906777E-002  0.690678                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        500.000        99.3035                 NaN            NaN  0.895845E-002  0.687564                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        500.000        99.2857                 NaN            NaN  0.913798E-002  0.705135                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        500.000        99.2897                 NaN            NaN  0.903234E-002  0.701311                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        500.000        99.1352                 NaN            NaN  0.109262E-001  0.853830                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        500.000        99.4434                 NaN            NaN  0.701330E-002  0.549599                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        500.000        99.2696                 NaN            NaN  0.913776E-002  0.721244                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        500.000        99.2781                 NaN            NaN  0.899084E-002  0.712868                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        500.000        99.2730                 NaN            NaN  0.902071E-002  0.717973                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        500.000        99.2733                 NaN            NaN  0.897354E-002  0.717772                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        500.000        99.2699                 NaN            NaN  0.897678E-002  0.721124                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        500.000        99.2656                 NaN            NaN  0.901615E-002  0.725400                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        500.000        99.2688                 NaN            NaN  0.893199E-002  0.722240                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        500.000        99.2659                 NaN            NaN  0.893671E-002  0.725117                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        500.000        99.2597                 NaN            NaN  0.899357E-002  0.731328                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        500.000        99.2680                 NaN            NaN  0.886631E-002  0.723101                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        500.000        98.5183                 NaN            NaN  0.178440E-001   1.46382                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        500.000        99.9693                 NaN            NaN  0.310243E-003  0.303675E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        500.000        99.9198                 NaN            NaN  0.966534E-003  0.791895E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        500.000        98.6507                 NaN            NaN  0.162579E-001   1.33301                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        500.000        99.2639                 NaN            NaN  0.887608E-002  0.727192                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        500.000        99.2649                 NaN            NaN  0.884913E-002  0.726226                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        500.000        99.2671                 NaN            NaN  0.882211E-002  0.724041                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        500.000        99.2667                 NaN            NaN  0.882624E-002  0.724424                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        500.000        99.2703                 NaN            NaN  0.878678E-002  0.720872                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        500.000        99.2718                 NaN            NaN  0.877567E-002  0.719472                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        500.000        99.2630                 NaN            NaN  0.872331E-002  0.711875                 NaN  0.163915E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        500.000        98.0727                 NaN            NaN  0.375840E-002  0.134276E-001            NaN   1.91014                 NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        500.000        97.9866                 NaN            NaN  0.424502E-002  0.106973E-002            NaN   2.00808                 NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        500.000        98.0004                 NaN            NaN  0.300249E-002  0.684023E-002            NaN   1.98978                 NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        500.000        98.4212                 NaN            NaN  0.267620E-002  0.844721E-002            NaN   1.56765                 NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        500.000        98.2008                 NaN            NaN  0.288543E-002            NaN            NaN   1.79629                 NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        500.000        98.2283                 NaN            NaN  0.273024E-002  0.954892E-005            NaN   1.76900                 NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        500.000        98.2562                 NaN            NaN  0.254140E-002  0.230929E-004            NaN   1.74122                 NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        500.000        98.2845                 NaN            NaN  0.236709E-002            NaN            NaN   1.71316                 NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        500.000        98.3129                 NaN            NaN  0.220601E-002            NaN            NaN   1.68487                 NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        500.000        98.3393                 NaN            NaN  0.203326E-002  0.226387E-005            NaN   1.65865                 NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        500.000        98.3625                 NaN            NaN  0.182445E-002            NaN            NaN   1.63572                 NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        500.000        98.3901                 NaN            NaN  0.165076E-002            NaN            NaN   1.60824                 NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        500.000        98.4130                 NaN            NaN  0.156753E-002            NaN            NaN   1.58547                 NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        500.000        98.4361                 NaN            NaN  0.139361E-002  0.136639E-005            NaN   1.56248                 NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        500.000        98.4571                 NaN            NaN  0.125388E-002            NaN            NaN   1.54162                 NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        500.000        98.4816                 NaN            NaN  0.115214E-002            NaN            NaN   1.51730                 NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        500.000        98.5017                 NaN            NaN  0.894647E-003            NaN            NaN   1.49738                 NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        500.000        98.5226                 NaN            NaN  0.757524E-003            NaN            NaN   1.47667                 NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        500.000        98.5420                 NaN            NaN  0.637093E-003            NaN            NaN   1.45738                 NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        500.000        98.5601                 NaN            NaN  0.443666E-003            NaN            NaN   1.43950                 NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        500.000        98.5806                 NaN            NaN  0.299161E-003            NaN            NaN   1.41908                 NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        500.000        98.5982                 NaN            NaN  0.167499E-003            NaN            NaN   1.40168                 NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        500.000        98.6161                 NaN            NaN  0.194324E-003            NaN            NaN   1.38367                 NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        500.000        98.6323                 NaN            NaN            NaN            NaN            NaN   1.36771                 NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        500.000        98.6497                 NaN            NaN  0.520118E-003  0.621937E-004            NaN   1.34973                 NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        500.000        98.6648                 NaN            NaN            NaN            NaN            NaN   1.33518                 NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        500.000        98.6797                 NaN            NaN            NaN            NaN            NaN   1.32034                 NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        500.000        98.6948                 NaN            NaN            NaN            NaN            NaN   1.30523                 NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        500.000        98.7102                 NaN            NaN            NaN            NaN            NaN   1.28978                 NaN            NaN            NaN            NaN            NaN            NaN
  1548.87        500.000        98.7238                 NaN            NaN            NaN            NaN            NaN   1.27621                 NaN            NaN            NaN            NaN            NaN            NaN
  1546.37        500.000        98.7357                 NaN            NaN            NaN            NaN            NaN   1.26429                 NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        500.000        98.7491                 NaN            NaN            NaN            NaN            NaN   1.25094                 NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        500.000        98.7602                 NaN            NaN            NaN            NaN            NaN   1.23979                 NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        500.000        98.7721                 NaN            NaN            NaN            NaN            NaN   1.22786                 NaN            NaN            NaN            NaN            NaN            NaN
  1536.34        500.000        98.7828                 NaN            NaN            NaN            NaN            NaN   1.21720                 NaN            NaN            NaN            NaN            NaN            NaN
  1533.83        500.000        98.7912                 NaN            NaN            NaN            NaN            NaN   1.20885                 NaN            NaN            NaN            NaN            NaN            NaN
  1531.33        500.000        98.8027                 NaN            NaN            NaN            NaN            NaN   1.19732                 NaN            NaN            NaN            NaN            NaN            NaN
  1528.82        500.000        98.8077                 NaN            NaN            NaN            NaN            NaN   1.19229                 NaN            NaN            NaN            NaN            NaN            NaN
  1526.32        500.000        98.6300                 NaN            NaN            NaN            NaN            NaN  0.383149       0.986835                 NaN            NaN            NaN            NaN            NaN
  1523.81        500.000        98.4324                 NaN            NaN            NaN            NaN            NaN            NaN   1.56760                 NaN            NaN            NaN            NaN            NaN
  1521.30        500.000        98.2998                 NaN            NaN  0.976681E-002            NaN            NaN            NaN   1.69047                 NaN            NaN            NaN            NaN            NaN
  1518.80        500.000        98.1686                 NaN            NaN  0.104777E-001            NaN            NaN            NaN   1.67587       0.145019                 NaN            NaN            NaN            NaN
  1516.29        500.000        97.3729                 NaN            NaN  0.105346E-001            NaN            NaN            NaN  0.692510        1.92403                 NaN            NaN            NaN            NaN
  1513.78        500.000        97.4415                 NaN            NaN  0.101119E-001            NaN            NaN            NaN  0.670116        1.87824                 NaN            NaN            NaN            NaN
  1511.28        500.000        97.5054                 NaN            NaN  0.973536E-002            NaN            NaN            NaN  0.649779        1.83506                 NaN            NaN            NaN            NaN
  1508.77        500.000        97.5663                 NaN            NaN  0.935154E-002            NaN            NaN            NaN   1.79567       0.628675                 NaN            NaN            NaN            NaN
  1506.27        500.000        97.6238                 NaN            NaN  0.740442E-002            NaN            NaN  0.118504        1.80773       0.442598                 NaN            NaN            NaN            NaN
  1503.76        500.000        97.6578                 NaN            NaN  0.220686E-002            NaN            NaN  0.478698        1.86134                 NaN            NaN            NaN            NaN            NaN
