|6.6.6
Archiving\03_Data\eqfrac/QFM_m4/TAY13/TAY13_3.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          16
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        San(TH)        ilm            pxmn           ne             lc            
  1555.80        2500.00                 NaN   99.4830       0.470282       0.467529E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.30        2500.00                 NaN   98.6823        1.18628       0.131381                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.79        2500.00                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.29        2500.00                 NaN   99.7610       0.213946       0.250651E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.79        2500.00                 NaN   99.5382       0.415072       0.467154E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.29        2500.00                 NaN   99.5044       0.445284       0.503528E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.78        2500.00                 NaN   99.5037       0.447157       0.491263E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.28        2500.00                 NaN   99.5163       0.435122       0.485463E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.78        2500.00                 NaN   99.5172       0.433986       0.488637E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.28        2500.00                 NaN   99.5185       0.435107       0.464186E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.78        2500.00                 NaN   99.5224       0.431511       0.461346E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.27        2500.00                 NaN   99.5115       0.437847       0.506190E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.77        2500.00                 NaN   99.5491       0.408885       0.420224E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.27        2500.00                 NaN   99.5342       0.422078       0.436846E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.77        2500.00                 NaN   99.5353       0.421780       0.429421E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.27        2500.00                 NaN   99.5417       0.416380       0.418896E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.76        2500.00                 NaN   99.5431       0.415978       0.409065E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.26        2500.00                 NaN   99.5467       0.412785       0.405527E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.76        2500.00                 NaN   99.5501       0.410128       0.397758E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.26        2500.00                 NaN   99.5532       0.407807       0.389749E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.75        2500.00                 NaN   99.5562       0.405325       0.384859E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.25        2500.00                 NaN   99.5596       0.402550       0.378244E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.75        2500.00                 NaN   99.5617       0.401249       0.370712E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.25        2500.00                 NaN   99.5658       0.398026       0.361952E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.75        2500.00                 NaN   99.5681       0.396408       0.354762E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.24        2500.00                 NaN   99.5682       0.398889       0.329365E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.74        2500.00                 NaN   99.5754       0.389339       0.352137E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.24        2500.00                 NaN   99.5771       0.389197       0.336960E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.74        2500.00                 NaN   99.5738       0.397649       0.285648E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.23        2500.00                 NaN   99.5832       0.385148       0.316131E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.73        2500.00                 NaN   99.5842       0.384737       0.310834E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.23        2500.00                 NaN   99.4404       0.515776       0.438689E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.73        2500.00                 NaN   99.7386       0.242998       0.184171E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.23        2500.00                 NaN   99.5919       0.379269       0.288521E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.72        2500.00                 NaN   99.5950       0.376201       0.287794E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.22        2500.00                 NaN   99.4965       0.216615E-001            NaN            NaN  0.481871                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.72        2500.00                 NaN   99.6925       0.841893E-002            NaN            NaN  0.299044                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.22        2500.00                 NaN   99.2822       0.683517E-003            NaN            NaN  0.717142                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.72        2500.00                 NaN   99.4894                 NaN            NaN            NaN  0.510641                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.21        2500.00                 NaN   99.4958       0.408663E-001            NaN            NaN  0.463344                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.71        2500.00                 NaN   99.4936                 NaN            NaN            NaN  0.506357                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.21        2500.00                 NaN   99.4961       0.353973E-001            NaN            NaN  0.468507                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1492.71        2500.00                 NaN   99.4930                 NaN            NaN            NaN  0.506957                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.20        2500.00                 NaN   99.4853                 NaN            NaN            NaN  0.514696                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.70        2500.00                 NaN   99.5034                 NaN            NaN            NaN  0.496577                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1488.20        2500.00                 NaN   99.4915                 NaN            NaN            NaN  0.508526                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.70        2500.00                 NaN   99.4937                 NaN            NaN            NaN  0.506294                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.20        2500.00                 NaN   99.4911                 NaN            NaN            NaN  0.508906                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.69        2500.00                 NaN   99.4914                 NaN            NaN            NaN  0.508622                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.19        2500.00                 NaN   99.4908                 NaN            NaN            NaN  0.509161                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1480.69        2500.00                 NaN   99.4876                 NaN            NaN            NaN  0.512359                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1479.19        2500.00                 NaN   99.4842                 NaN            NaN            NaN  0.515770                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1477.69        2500.00                 NaN   99.4820                 NaN            NaN            NaN  0.517967                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1476.18        2500.00                 NaN   99.4731                 NaN            NaN            NaN  0.526893                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1474.68        2500.00                 NaN   99.4763                 NaN            NaN            NaN  0.523740                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1473.18        2500.00                 NaN   99.4665                 NaN            NaN            NaN  0.533533                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1471.68        2500.00                 NaN   99.2975                 NaN            NaN            NaN  0.373096       0.329411                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1470.17        2500.00                 NaN   99.2400                 NaN            NaN            NaN  0.251620       0.508373                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1468.67        2500.00                 NaN   99.2481                 NaN            NaN            NaN  0.247952       0.503915                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1467.17        2500.00                 NaN   99.2534                 NaN            NaN            NaN  0.246611       0.500027                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1465.67        2500.00                 NaN   99.2595                 NaN            NaN            NaN  0.243568       0.496913                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1464.17        2500.00                 NaN   99.2655                 NaN            NaN            NaN  0.242335       0.492154                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1462.66        2500.00                 NaN   99.2721                 NaN            NaN            NaN  0.487547       0.240360                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1461.16        2500.00                 NaN   99.2781                 NaN            NaN            NaN  0.483632       0.238234                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1459.66        2500.00                 NaN   99.2836                 NaN            NaN            NaN  0.236522       0.479829                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1458.16        2500.00                 NaN   99.2895                 NaN            NaN            NaN  0.475930       0.234539                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1456.66        2500.00                 NaN   99.2953                 NaN            NaN            NaN  0.472728       0.231924                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1455.15        2500.00                 NaN   99.3005                 NaN            NaN            NaN  0.229843       0.469649                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1453.65        2500.00                 NaN   99.4211                 NaN            NaN            NaN  0.388300       0.190570                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1452.15        2500.00                 NaN   99.1933                 NaN            NaN            NaN  0.265552       0.541139                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1450.65        2500.00                 NaN   99.3180                 NaN            NaN            NaN  0.457345       0.224608                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1449.14        2500.00                 NaN   99.3222                 NaN            NaN            NaN  0.454945       0.222823                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1447.64        2500.00                 NaN   99.3267                 NaN            NaN            NaN  0.452333       0.221011                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1446.14        2500.00                 NaN   99.3317                 NaN            NaN            NaN  0.449507       0.218797                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1444.64        2500.00                 NaN   99.3370                 NaN            NaN            NaN  0.217915       0.445087                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1443.14        2500.00                 NaN   99.3416                 NaN  0.587123E-004            NaN  0.443214       0.215117                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1441.63        2500.00                 NaN   99.3455                 NaN            NaN            NaN  0.214229       0.440264                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1440.13        2500.00                 NaN   99.3497                 NaN            NaN            NaN  0.212319       0.437948                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1438.63        2500.00                 NaN   99.3549                 NaN            NaN            NaN  0.210440       0.434631                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1437.13        2500.00                 NaN   99.3595                 NaN            NaN            NaN  0.431279       0.209226                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1435.63        2500.00                 NaN   99.3639                 NaN            NaN            NaN  0.207151       0.428921                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1434.12        2500.00                 NaN   99.3676                 NaN            NaN            NaN  0.426858       0.205564                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1432.62        2500.00                 NaN   98.8986                 NaN            NaN            NaN  0.432486       0.419065       0.249893                 NaN            NaN            NaN            NaN            NaN            NaN
  1431.12        2500.00                 NaN   98.3067                 NaN  0.102444E-003            NaN  0.688193       0.437398       0.567566                 NaN            NaN            NaN            NaN            NaN            NaN
  1429.62        2500.00                 NaN   98.3392                 NaN            NaN            NaN  0.675991       0.428146       0.556650                 NaN            NaN            NaN            NaN            NaN            NaN
  1428.11        2500.00                 NaN   98.3674                 NaN  0.858413E-002            NaN  0.651179       0.424149       0.548737                 NaN            NaN            NaN            NaN            NaN            NaN
  1426.61        2500.00                 NaN   98.3559                 NaN  0.186274                 NaN  0.373651       0.495823       0.588316                 NaN            NaN            NaN            NaN            NaN            NaN
  1425.11        2500.00                 NaN   98.4061                 NaN  0.177383                 NaN  0.367243       0.480790       0.568478                 NaN            NaN            NaN            NaN            NaN            NaN
  1423.61        2500.00                 NaN   98.4802                 NaN  0.170559                 NaN  0.346319       0.459544       0.543331                 NaN            NaN            NaN            NaN            NaN            NaN
  1422.11        2500.00                 NaN   98.3970                 NaN  0.181846                 NaN  0.486660       0.361702       0.572808                 NaN            NaN            NaN            NaN            NaN            NaN
  1420.60        2500.00                 NaN   98.4833                 NaN  0.174230                 NaN  0.461688       0.338027       0.542709                 NaN            NaN            NaN            NaN            NaN            NaN
  1419.10        2500.00                 NaN   98.5105                 NaN  0.173202                 NaN  0.328249       0.454663       0.533432                 NaN            NaN            NaN            NaN            NaN            NaN
  1417.60        2500.00                 NaN   98.5360                 NaN  0.172143                 NaN  0.448320       0.318755       0.524818                 NaN            NaN            NaN            NaN            NaN            NaN
  1416.10        2500.00                 NaN   98.5654                 NaN  0.169806                 NaN  0.440160       0.310471       0.514193                 NaN            NaN            NaN            NaN            NaN            NaN
  1414.59        2500.00                 NaN   98.5881                 NaN  0.170059                 NaN  0.300308       0.434648       0.506898                 NaN            NaN            NaN            NaN            NaN            NaN
  1413.09        2500.00                 NaN   98.6150                 NaN  0.167324                 NaN  0.427654       0.292979       0.497019                 NaN            NaN            NaN            NaN            NaN            NaN
  1411.59        2500.00                 NaN   98.6367                 NaN  0.166918                 NaN  0.422917       0.283673       0.489785                 NaN            NaN            NaN            NaN            NaN            NaN
  1410.09        2500.00                 NaN   98.6600                 NaN  0.165783                 NaN  0.416974       0.275578       0.481715                 NaN            NaN            NaN            NaN            NaN            NaN
  1408.59        2500.00                 NaN   98.6813                 NaN  0.164657                 NaN  0.412006       0.267740       0.474300                 NaN            NaN            NaN            NaN            NaN            NaN
  1407.08        2500.00                 NaN   98.7039                 NaN  0.163487                 NaN  0.406534       0.259708       0.466401                 NaN            NaN            NaN            NaN            NaN            NaN
  1405.58        2500.00                 NaN   98.7250                 NaN  0.162383                 NaN  0.401272       0.252257       0.459065                 NaN            NaN            NaN            NaN            NaN            NaN
  1404.08        2500.00                 NaN   98.7447                 NaN  0.161951                 NaN  0.395005       0.245738       0.452569                 NaN            NaN            NaN            NaN            NaN            NaN
  1402.58        2500.00                 NaN   98.7680                 NaN  0.159499                 NaN  0.238785       0.389973       0.443712                 NaN            NaN            NaN            NaN            NaN            NaN
  1401.08        2500.00                 NaN   98.7861                 NaN  0.159303                 NaN  0.230281       0.386677       0.437675                 NaN            NaN            NaN            NaN            NaN            NaN
  1399.57        2500.00                 NaN   98.8047                 NaN  0.158220                 NaN  0.224151       0.381844       0.431094                 NaN            NaN            NaN            NaN            NaN            NaN
  1398.07        2500.00                 NaN   98.8237                 NaN  0.156934                 NaN  0.376271       0.218648       0.424447                 NaN            NaN            NaN            NaN            NaN            NaN
  1396.57        2500.00                 NaN   98.8429                 NaN  0.155650                 NaN  0.371758       0.212110       0.417588                 NaN            NaN            NaN            NaN            NaN            NaN
  1395.07        2500.00                 NaN   98.8620                 NaN  0.154674                 NaN  0.366454       0.205990       0.410910                 NaN            NaN            NaN            NaN            NaN            NaN
  1393.56        2500.00                 NaN   98.8790                 NaN  0.153637                 NaN  0.199530       0.362855       0.404937                 NaN            NaN            NaN            NaN            NaN            NaN
  1392.06        2500.00                 NaN   98.8956                 NaN  0.152559                 NaN  0.358841       0.193945       0.399050                 NaN            NaN            NaN            NaN            NaN            NaN
  1390.56        2500.00                 NaN   98.9122                 NaN  0.151509                 NaN  0.188437       0.354740       0.393098                 NaN            NaN            NaN            NaN            NaN            NaN
  1389.06        2500.00                 NaN   98.9285                 NaN  0.150719                 NaN  0.182421       0.350860       0.387488                 NaN            NaN            NaN            NaN            NaN            NaN
  1387.56        2500.00                 NaN   98.9457                 NaN  0.149007                 NaN  0.178192       0.345984       0.381160                 NaN            NaN            NaN            NaN            NaN            NaN
  1386.05        2500.00                 NaN   98.9604                 NaN  0.148161                 NaN  0.342913       0.172530       0.375954                 NaN            NaN            NaN            NaN            NaN            NaN
  1384.55        2500.00                 NaN   98.9756                 NaN  0.147277                 NaN  0.339534       0.166987       0.370620                 NaN            NaN            NaN            NaN            NaN            NaN
  1383.05        2500.00                 NaN   98.9916                 NaN  0.145771                 NaN  0.334613       0.163289       0.364769                 NaN            NaN            NaN            NaN            NaN            NaN
  1381.55        2500.00                 NaN   99.0052                 NaN  0.144629                 NaN  0.331610       0.158658       0.359901                 NaN            NaN            NaN            NaN            NaN            NaN
  1380.05        2500.00                 NaN   99.0198                 NaN  0.143672                 NaN  0.328130       0.153745       0.354679                 NaN            NaN            NaN            NaN            NaN            NaN
  1378.54        2500.00                 NaN   99.0332                 NaN  0.142362                 NaN  0.324632       0.150053       0.349762                 NaN            NaN            NaN            NaN            NaN            NaN
  1377.04        2500.00                 NaN   99.0470                 NaN  0.142160                 NaN  0.143459       0.322267       0.345070                 NaN            NaN            NaN            NaN            NaN            NaN
  1375.54        2500.00                 NaN   99.0612                 NaN  0.139032                 NaN  0.144140       0.316259       0.339345                 NaN            NaN            NaN            NaN            NaN            NaN
  1374.04        2500.00                 NaN   99.0741                 NaN  0.139356                 NaN  0.137332       0.314110       0.335122                 NaN            NaN            NaN            NaN            NaN            NaN
  1372.53        2500.00                 NaN   99.0864                 NaN  0.137303                 NaN  0.135353       0.310683       0.330248                 NaN            NaN            NaN            NaN            NaN            NaN
  1371.03        2500.00                 NaN   99.1000                 NaN  0.136462                 NaN  0.307772       0.130345       0.325469                 NaN            NaN            NaN            NaN            NaN            NaN
  1369.53        2500.00                 NaN   99.1074                 NaN  0.136502                 NaN  0.305984       0.126823       0.323318                 NaN            NaN            NaN            NaN            NaN            NaN
  1368.03        2500.00                 NaN   99.1296                 NaN  0.132781                 NaN  0.123408       0.300046       0.314210                 NaN            NaN            NaN            NaN            NaN            NaN
  1366.53        2500.00                 NaN   99.1365                 NaN  0.132933                 NaN  0.298532       0.119893       0.312166                 NaN            NaN            NaN            NaN            NaN            NaN
  1365.02        2500.00                 NaN   99.1478                 NaN  0.131189                 NaN  0.118268       0.294915       0.307804                 NaN            NaN            NaN            NaN            NaN            NaN
  1363.52        2500.00                 NaN   99.1590                 NaN  0.130064                 NaN  0.115047       0.292148       0.303753                 NaN            NaN            NaN            NaN            NaN            NaN
  1362.02        2500.00                 NaN   99.1697                 NaN  0.128988                 NaN  0.112309       0.289204       0.299790                 NaN            NaN            NaN            NaN            NaN            NaN
  1360.52        2500.00                 NaN   99.1804                 NaN  0.127110                 NaN  0.286343       0.110433       0.295681                 NaN            NaN            NaN            NaN            NaN            NaN
  1359.02        2500.00                 NaN   99.1919                 NaN  0.125838                 NaN  0.282999       0.107845       0.291428                 NaN            NaN            NaN            NaN            NaN            NaN
  1357.51        2500.00                 NaN   99.2020                 NaN  0.124575                 NaN  0.105047       0.280710       0.287666                 NaN            NaN            NaN            NaN            NaN            NaN
  1356.01        2500.00                 NaN   99.2124                 NaN  0.123181                 NaN  0.277763       0.102887       0.283809                 NaN            NaN            NaN            NaN            NaN            NaN
  1354.51        2500.00                 NaN   99.2221                 NaN  0.122607                 NaN  0.275673       0.992899E-001  0.280373                 NaN            NaN            NaN            NaN            NaN            NaN
  1353.01        2500.00                 NaN   99.2333                 NaN  0.119562                 NaN  0.996807E-001  0.271959       0.275545                 NaN            NaN            NaN            NaN            NaN            NaN
  1351.50        2500.00                 NaN   99.2416                 NaN  0.118887                 NaN  0.270130       0.966576E-001  0.272696                 NaN            NaN            NaN            NaN            NaN            NaN
  1350.00        2500.00                 NaN   99.2516                 NaN  0.117145                 NaN  0.266249       0.961726E-001  0.268805                 NaN            NaN            NaN            NaN            NaN            NaN
  1348.50        2500.00                 NaN   99.2610                 NaN  0.115778                 NaN  0.941400E-001  0.263796       0.265324                 NaN            NaN            NaN            NaN            NaN            NaN
  1347.00        2500.00                 NaN   99.2701                 NaN  0.114405                 NaN  0.261491       0.922121E-001  0.261809                 NaN            NaN            NaN            NaN            NaN            NaN
  1345.50        2500.00                 NaN   99.2793                 NaN  0.113207                 NaN  0.902776E-001  0.258728       0.258513                 NaN            NaN            NaN            NaN            NaN            NaN
  1343.99        2500.00                 NaN   99.2883                 NaN  0.111133                 NaN  0.255568       0.902323E-001  0.254755                 NaN            NaN            NaN            NaN            NaN            NaN
  1342.49        2500.00                 NaN   99.2972                 NaN  0.109663                 NaN  0.253084       0.886587E-001  0.251409                 NaN            NaN            NaN            NaN            NaN            NaN
  1340.99        2500.00                 NaN   99.3052                 NaN  0.107919                 NaN  0.250420       0.881618E-001  0.248296                 NaN            NaN            NaN            NaN            NaN            NaN
  1339.49        2500.00                 NaN   99.3133                 NaN  0.106306                 NaN  0.247912       0.873306E-001  0.245137                 NaN            NaN            NaN            NaN            NaN            NaN
  1337.98        2500.00                 NaN   99.3214                 NaN  0.104669                 NaN  0.245273       0.866596E-001  0.241990                 NaN            NaN            NaN            NaN            NaN            NaN
  1336.48        2500.00                 NaN   99.3296                 NaN  0.102952                 NaN  0.242448       0.862355E-001  0.238759                 NaN            NaN            NaN            NaN            NaN            NaN
  1334.98        2500.00                 NaN   99.3375                 NaN  0.101447                 NaN  0.240194       0.851827E-001  0.235724                 NaN            NaN            NaN            NaN            NaN            NaN
  1333.48        2500.00                 NaN   99.3445                 NaN  0.994688E-001            NaN  0.237627       0.854851E-001  0.232935                 NaN            NaN            NaN            NaN            NaN            NaN
  1331.98        2500.00                 NaN   99.3550                 NaN  0.109257                 NaN  0.245764       0.590701E-001  0.230870                 NaN            NaN            NaN            NaN            NaN            NaN
  1330.47        2500.00                 NaN   99.3581                 NaN  0.872130E-001            NaN  0.103896       0.224729       0.226055                 NaN            NaN            NaN            NaN            NaN            NaN
  1328.97        2500.00                 NaN   99.3676                 NaN  0.920768E-001            NaN  0.226236       0.908586E-001  0.223232                 NaN            NaN            NaN            NaN            NaN            NaN
  1327.47        2500.00                 NaN   99.3747                 NaN  0.927657E-001            NaN  0.226224       0.851893E-001  0.221087                 NaN            NaN            NaN            NaN            NaN            NaN
