|6.6.6
Archiving\03_Data\eqfrac/QFM_m1.25/KHA22/KHA22_1.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ne             lc             ilm           
  1505.69        2500.00                 NaN   99.5261       0.451712       0.221589E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.22        2500.00                 NaN   99.5307       0.446966       0.223176E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.75        2500.00                 NaN   99.5229       0.457569       0.195621E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.28        2500.00                 NaN   99.5433       0.435300       0.214438E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.81        2500.00                 NaN   99.5378       0.442266       0.199808E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.34        2500.00                 NaN   99.5364       0.441228       0.223826E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.87        2500.00                 NaN   99.5470       0.435564       0.174345E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.40        2500.00                 NaN   99.5432       0.438058       0.187361E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.93        2500.00                 NaN   99.5499       0.432836       0.172783E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1492.46        2500.00                 NaN   99.4420       0.677534E-001            NaN  0.490212                 NaN            NaN            NaN            NaN            NaN            NaN
  1490.99        2500.00                 NaN   99.5837       0.407814E-002            NaN  0.412190                 NaN            NaN            NaN            NaN            NaN            NaN
  1489.52        2500.00                 NaN   99.2387                 NaN  0.424655E-002  0.757089                 NaN            NaN            NaN            NaN            NaN            NaN
  1488.05        2500.00                 NaN   99.4079                 NaN            NaN  0.592149                 NaN            NaN            NaN            NaN            NaN            NaN
  1486.58        2500.00                 NaN   99.1370                 NaN            NaN  0.862999                 NaN            NaN            NaN            NaN            NaN            NaN
  1485.11        2500.00                 NaN   99.8416                 NaN            NaN  0.158399                 NaN            NaN            NaN            NaN            NaN            NaN
  1483.64        2500.00                 NaN   99.2467                 NaN            NaN  0.357557E-002  0.749701                 NaN            NaN            NaN            NaN            NaN
  1482.17        2500.00                 NaN   99.3843                 NaN            NaN  0.584798       0.309522E-001            NaN            NaN            NaN            NaN            NaN
  1480.70        2500.00                 NaN   99.1079                 NaN            NaN  0.378648       0.513406                 NaN            NaN            NaN            NaN            NaN
  1479.23        2500.00                 NaN   99.1144                 NaN            NaN  0.375025       0.510616                 NaN            NaN            NaN            NaN            NaN
  1477.76        2500.00                 NaN   99.1224                 NaN            NaN  0.506539       0.371051                 NaN            NaN            NaN            NaN            NaN
  1476.29        2500.00                 NaN   99.1301                 NaN            NaN  0.501551       0.368332                 NaN            NaN            NaN            NaN            NaN
  1474.82        2500.00                 NaN   98.8136                 NaN            NaN  0.685364       0.501010                 NaN            NaN            NaN            NaN            NaN
  1473.35        2500.00                 NaN   99.4702       0.508671E-001            NaN  0.309659       0.169273                 NaN            NaN            NaN            NaN            NaN
  1471.88        2500.00                 NaN   99.1518                 NaN            NaN  0.358494       0.489738                 NaN            NaN            NaN            NaN            NaN
  1470.41        2500.00                 NaN   99.1584                 NaN            NaN  0.485891       0.355713                 NaN            NaN            NaN            NaN            NaN
  1468.94        2500.00                 NaN   99.1650                 NaN            NaN  0.352160       0.482858                 NaN            NaN            NaN            NaN            NaN
  1467.47        2500.00                 NaN   99.1733       0.432243E-001            NaN  0.481166       0.302333                 NaN            NaN            NaN            NaN            NaN
  1466.00        2500.00                 NaN   99.1779       0.174106E-002            NaN  0.344405       0.475955                 NaN            NaN            NaN            NaN            NaN
  1464.53        2500.00                 NaN   99.1856                 NaN            NaN  0.343542       0.470849                 NaN            NaN            NaN            NaN            NaN
  1463.06        2500.00                 NaN   99.1921       0.587286E-002            NaN  0.468098       0.333958                 NaN            NaN            NaN            NaN            NaN
  1461.59        2500.00                 NaN   99.1986       0.283820E-001  0.140553E-004  0.306799       0.466233                 NaN            NaN            NaN            NaN            NaN
  1460.12        2500.00                 NaN   99.2034       0.274372E-001            NaN  0.305462       0.463652                 NaN            NaN            NaN            NaN            NaN
  1458.65        2500.00                 NaN   99.2114       0.267404E-001            NaN  0.459033       0.302791                 NaN            NaN            NaN            NaN            NaN
  1457.18        2500.00                 NaN   99.2166       0.238994E-001            NaN  0.303443       0.456099                 NaN            NaN            NaN            NaN            NaN
  1455.71        2500.00                 NaN   99.2226       0.240322E-001            NaN  0.300479       0.452928                 NaN            NaN            NaN            NaN            NaN
  1454.24        2500.00                 NaN   99.2315       0.259377E-001  0.128744E-001  0.452563       0.277174                 NaN            NaN            NaN            NaN            NaN
  1452.77        2500.00                 NaN   99.2341       0.120731E-001            NaN  0.307707       0.446098                 NaN            NaN            NaN            NaN            NaN
  1451.30        2500.00                 NaN   99.2402       0.211264E-001            NaN  0.295412       0.443300                 NaN            NaN            NaN            NaN            NaN
  1449.83        2500.00                 NaN   99.2454       0.208731E-001            NaN  0.440312       0.293379                 NaN            NaN            NaN            NaN            NaN
  1448.36        2500.00                 NaN   99.2503       0.200327E-001            NaN  0.437768       0.291856                 NaN            NaN            NaN            NaN            NaN
  1446.89        2500.00                 NaN   99.2559       0.208294E-001            NaN  0.288231       0.435005                 NaN            NaN            NaN            NaN            NaN
  1445.42        2500.00                 NaN   99.2618       0.183711E-001            NaN  0.288414       0.431408                 NaN            NaN            NaN            NaN            NaN
  1443.95        2500.00                 NaN   99.3831       0.166459E-001            NaN  0.239225       0.361066                 NaN            NaN            NaN            NaN            NaN
  1442.48        2500.00                 NaN   99.1553       0.210139E-001  0.109064E-005  0.494385       0.329267                 NaN            NaN            NaN            NaN            NaN
  1441.01        2500.00                 NaN   99.3013                 NaN  0.105714       0.447703       0.145286                 NaN            NaN            NaN            NaN            NaN
  1439.54        2500.00                 NaN   99.2827       0.148744E-001            NaN  0.420063       0.282329                 NaN            NaN            NaN            NaN            NaN
  1438.07        2500.00                 NaN   99.2878       0.173648E-001            NaN  0.277202       0.417673                 NaN            NaN            NaN            NaN            NaN
  1436.60        2500.00                 NaN   99.2916       0.183818E-001            NaN  0.415952       0.274040                 NaN            NaN            NaN            NaN            NaN
  1435.13        2500.00                 NaN   99.2963       0.168837E-001            NaN  0.413354       0.273493                 NaN            NaN            NaN            NaN            NaN
  1433.66        2500.00                 NaN   99.3000       0.189195E-001            NaN  0.411385       0.269674                 NaN            NaN            NaN            NaN            NaN
  1432.19        2500.00                 NaN   99.3069       0.182970E-001            NaN  0.266809       0.408031                 NaN            NaN            NaN            NaN            NaN
  1430.72        2500.00                 NaN   99.3104       0.187178E-001            NaN  0.406291       0.264546                 NaN            NaN            NaN            NaN            NaN
  1429.25        2500.00                 NaN   99.3139       0.184781E-001  0.309818E-005  0.263171       0.404414                 NaN            NaN            NaN            NaN            NaN
  1427.78        2500.00                 NaN   98.9316                 NaN            NaN  0.463817       0.410975       0.193633                 NaN            NaN            NaN            NaN
  1426.31        2500.00                 NaN   98.4349       0.663613E-001  0.454278E-001  0.570467       0.430606       0.452268                 NaN            NaN            NaN            NaN
  1424.84        2500.00                 NaN   98.4465                 NaN  0.152118       0.492880       0.442769       0.465721                 NaN            NaN            NaN            NaN
  1423.37        2500.00                 NaN   98.4715                 NaN  0.151079       0.483188       0.435790       0.458418                 NaN            NaN            NaN            NaN
  1421.90        2500.00                 NaN   98.4961                 NaN  0.150314       0.473494       0.428899       0.451222                 NaN            NaN            NaN            NaN
  1420.43        2500.00                 NaN   98.5228                 NaN  0.148411       0.421386       0.464370       0.443077                 NaN            NaN            NaN            NaN
  1418.96        2500.00                 NaN   98.5449                 NaN  0.148044       0.455115       0.415285       0.436668                 NaN            NaN            NaN            NaN
  1417.49        2500.00                 NaN   98.5696                 NaN  0.146523       0.446006       0.408723       0.429194                 NaN            NaN            NaN            NaN
  1416.02        2500.00                 NaN   98.5927                 NaN  0.145410       0.401814       0.437719       0.422348                 NaN            NaN            NaN            NaN
  1414.55        2500.00                 NaN   98.6145                 NaN  0.144370       0.395566       0.429716       0.415848                 NaN            NaN            NaN            NaN
  1413.08        2500.00                 NaN   98.6337                 NaN  0.144153       0.390888       0.420861       0.410348                 NaN            NaN            NaN            NaN
  1411.61        2500.00                 NaN   98.6594                 NaN  0.141860       0.414152       0.382118       0.402487                 NaN            NaN            NaN            NaN
  1410.14        2500.00                 NaN   98.6754                 NaN  0.141570       0.406811       0.378369       0.397829                 NaN            NaN            NaN            NaN
  1408.67        2500.00                 NaN   98.6977                 NaN  0.140484       0.398201       0.372725       0.390889                 NaN            NaN            NaN            NaN
  1407.20        2500.00                 NaN   98.7149                 NaN  0.140305       0.366801       0.391719       0.386237                 NaN            NaN            NaN            NaN
  1405.73        2500.00                 NaN   98.7381                 NaN  0.137596       0.385456       0.360175       0.378653                 NaN            NaN            NaN            NaN
  1404.26        2500.00                 NaN   98.7540                 NaN  0.137619       0.356119       0.377990       0.374224                 NaN            NaN            NaN            NaN
  1402.79        2500.00                 NaN   98.7717                 NaN  0.137097       0.371095       0.351366       0.368786                 NaN            NaN            NaN            NaN
  1401.32        2500.00                 NaN   98.9392                 NaN  0.278051       0.436995                 NaN  0.345770                 NaN            NaN            NaN            NaN
  1399.85        2500.00                 NaN   98.6566                 NaN            NaN  0.252523       0.713517       0.377370                 NaN            NaN            NaN            NaN
  1398.38        2500.00                 NaN   98.8230                 NaN  0.124754       0.335049       0.365224       0.352004                 NaN            NaN            NaN            NaN
  1396.91        2500.00                 NaN   98.8398                 NaN  0.133041       0.346776       0.332107       0.348300                 NaN            NaN            NaN            NaN
  1395.44        2500.00                 NaN   98.8561                 NaN  0.132257       0.340876       0.327433       0.343330                 NaN            NaN            NaN            NaN
  1393.97        2500.00                 NaN   98.8710                 NaN  0.132252       0.333622       0.324128       0.339006                 NaN            NaN            NaN            NaN
  1392.50        2500.00                 NaN   98.8878                 NaN  0.129998       0.330245       0.318140       0.333825                 NaN            NaN            NaN            NaN
  1391.03        2500.00                 NaN   98.9016                 NaN  0.129468       0.315251       0.324306       0.329344                 NaN            NaN            NaN            NaN
  1389.56        2500.00                 NaN   98.9172                 NaN  0.128627       0.309859       0.319436       0.324839                 NaN            NaN            NaN            NaN
  1388.09        2500.00                 NaN   98.9306                 NaN  0.128112       0.314091       0.306458       0.320722                 NaN            NaN            NaN            NaN
  1386.62        2500.00                 NaN   98.9349                 NaN  0.129900       0.306013       0.309051       0.320121                 NaN            NaN            NaN            NaN
  1385.15        2500.00                 NaN   98.9656                 NaN  0.123627       0.295805       0.305743       0.309211                 NaN            NaN            NaN            NaN
  1383.68        2500.00                 NaN   98.9724                 NaN  0.125326       0.299891       0.294483       0.307940                 NaN            NaN            NaN            NaN
  1382.21        2500.00                 NaN   98.9847                 NaN  0.124840       0.291145       0.295039       0.304233                 NaN            NaN            NaN            NaN
  1380.74        2500.00                 NaN   98.9947                 NaN  0.124787       0.288653       0.290650       0.301215                 NaN            NaN            NaN            NaN
  1379.27        2500.00                 NaN   99.0122                 NaN  0.121924       0.287077       0.283299       0.295457                 NaN            NaN            NaN            NaN
  1377.80        2500.00                 NaN   99.0225                 NaN  0.122259       0.282240       0.280394       0.292620                 NaN            NaN            NaN            NaN
  1376.33        2500.00                 NaN   99.0343                 NaN  0.121289       0.278567       0.276822       0.289003                 NaN            NaN            NaN            NaN
  1374.86        2500.00                 NaN   99.0460                 NaN  0.120664       0.273647       0.274342       0.285371                 NaN            NaN            NaN            NaN
  1373.39        2500.00                 NaN   99.0577                 NaN  0.119368       0.270024       0.271219       0.281700                 NaN            NaN            NaN            NaN
  1371.92        2500.00                 NaN   99.0687                 NaN  0.118872       0.267072       0.266965       0.278397                 NaN            NaN            NaN            NaN
  1370.45        2500.00                 NaN   99.0804                 NaN  0.117667       0.263530       0.263706       0.274736                 NaN            NaN            NaN            NaN
  1368.98        2500.00                 NaN   99.0906                 NaN  0.117304       0.260983       0.259599       0.271541                 NaN            NaN            NaN            NaN
  1367.51        2500.00                 NaN   99.1019                 NaN  0.116098       0.257379       0.256585       0.268013                 NaN            NaN            NaN            NaN
  1366.04        2500.00                 NaN   99.1111                 NaN  0.116057       0.254520       0.252592       0.265681                 NaN            NaN            NaN            NaN
  1364.57        2500.00                 NaN   99.1249                 NaN  0.113813       0.250617       0.249970       0.260658                 NaN            NaN            NaN            NaN
  1363.10        2500.00                 NaN   99.1312                 NaN  0.113447       0.247619       0.248573       0.259172                 NaN            NaN            NaN            NaN
  1361.63        2500.00                 NaN   99.1436                 NaN  0.112505       0.246183       0.243015       0.254709                 NaN            NaN            NaN            NaN
  1360.16        2500.00                 NaN   99.1527                 NaN  0.111925       0.242809       0.240296       0.252243                 NaN            NaN            NaN            NaN
  1358.69        2500.00                 NaN   99.1614                 NaN  0.111559       0.237369       0.239949       0.249712                 NaN            NaN            NaN            NaN
  1357.22        2500.00                 NaN   99.1714                 NaN  0.109840       0.237275       0.235214       0.246256                 NaN            NaN            NaN            NaN
  1355.75        2500.00                 NaN   99.1806                 NaN  0.109018       0.234745       0.232228       0.243425                 NaN            NaN            NaN            NaN
  1354.28        2500.00                 NaN   99.1883                 NaN  0.108548       0.232303       0.229784       0.241022                 NaN            NaN            NaN            NaN
  1352.81        2500.00                 NaN   99.1969                 NaN  0.107607       0.227509       0.229630       0.238332                 NaN            NaN            NaN            NaN
  1351.34        2500.00                 NaN   99.2079                 NaN  0.106104       0.224431       0.226827       0.234763                 NaN            NaN            NaN            NaN
  1349.87        2500.00                 NaN   99.2150                 NaN  0.105238       0.222769       0.224424       0.232602                 NaN            NaN            NaN            NaN
  1348.40        2500.00                 NaN   99.2226                 NaN  0.105627       0.222673       0.218637       0.230456                 NaN            NaN            NaN            NaN
  1346.93        2500.00                 NaN   99.2328                 NaN  0.102603       0.218901       0.218921       0.226734                 NaN            NaN            NaN            NaN
  1345.46        2500.00                 NaN   99.2396                 NaN  0.103376       0.214937       0.217144       0.224931                 NaN            NaN            NaN            NaN
  1343.99        2500.00                 NaN   99.2480                 NaN  0.101426       0.214554       0.214003       0.222028                 NaN            NaN            NaN            NaN
  1342.52        2500.00                 NaN   99.2555                 NaN  0.100810       0.211363       0.212601       0.219765                 NaN            NaN            NaN            NaN
  1341.05        2500.00                 NaN   99.2634                 NaN  0.996915E-001  0.209933       0.209718       0.217280                 NaN            NaN            NaN            NaN
  1339.58        2500.00                 NaN   99.2704                 NaN  0.987532E-001  0.207687       0.208196       0.214979                 NaN            NaN            NaN            NaN
  1338.11        2500.00                 NaN   99.2762                 NaN  0.100584       0.201993       0.207740       0.213510                 NaN            NaN            NaN            NaN
  1336.64        2500.00                 NaN   99.2872                 NaN  0.948500E-001  0.206908       0.201624       0.209372                 NaN            NaN            NaN            NaN
  1335.17        2500.00                 NaN   99.2900                 NaN  0.956553E-001  0.201323       0.204233       0.208822                 NaN            NaN            NaN            NaN
  1333.70        2500.00                 NaN   99.3020                 NaN  0.939020E-001  0.200239       0.199378       0.204442                 NaN            NaN            NaN            NaN
  1332.23        2500.00                 NaN   99.3063                 NaN  0.937355E-001  0.199475       0.196993       0.203450                 NaN            NaN            NaN            NaN
  1330.76        2500.00                 NaN   99.3128                 NaN  0.922478E-001  0.194841       0.198720       0.201374                 NaN            NaN            NaN            NaN
  1329.29        2500.00                 NaN   99.3133                 NaN  0.953776E-001  0.194988       0.193984       0.202391                 NaN            NaN            NaN            NaN
  1327.82        2500.00                 NaN   99.3336                 NaN  0.866504E-001  0.197863       0.188219       0.193620                 NaN            NaN            NaN            NaN
  1326.35        2500.00                 NaN   99.3326                 NaN  0.891367E-001  0.194663       0.188633       0.194937                 NaN            NaN            NaN            NaN
  1324.88        2500.00                 NaN   99.3396                 NaN  0.884001E-001  0.186438       0.192759       0.192813                 NaN            NaN            NaN            NaN
  1323.41        2500.00                 NaN   99.3455                 NaN  0.868157E-001  0.184329       0.192555       0.190769                 NaN            NaN            NaN            NaN
  1321.94        2500.00                 NaN   99.3517                 NaN  0.861000E-001  0.182503       0.190891       0.188836                 NaN            NaN            NaN            NaN
  1320.47        2500.00                 NaN   99.3577                 NaN  0.847179E-001  0.190156       0.180664       0.186804                 NaN            NaN            NaN            NaN
  1319.00        2500.00                 NaN   99.3635                 NaN  0.835541E-001  0.178770       0.189240       0.184933                 NaN            NaN            NaN            NaN
  1317.53        2500.00                 NaN   99.3694                 NaN  0.825527E-001  0.177023       0.187999       0.183031                 NaN            NaN            NaN            NaN
  1316.06        2500.00                 NaN   99.3752                 NaN  0.814771E-001  0.175002       0.187162       0.181174                 NaN            NaN            NaN            NaN
  1314.59        2500.00                 NaN   99.3779                 NaN  0.801917E-001  0.189283       0.172174       0.180470                 NaN            NaN            NaN            NaN
  1313.12        2500.00                 NaN   84.1059                 NaN   1.94295        2.04993       0.325562        2.00266        9.57299                 NaN            NaN            NaN
  1311.65        2500.00                 NaN   82.7131                 NaN   2.17484        2.28111       0.186800        2.16702        10.4772                 NaN            NaN            NaN
  1310.18        2500.00                 NaN   84.8383                 NaN   1.97140        2.07409       0.297738E-001   1.91072        9.17575                 NaN            NaN            NaN
  1308.71        2500.00                 NaN   86.5202                 NaN   1.77011        1.87145                 NaN   1.70682        8.13144                 NaN            NaN            NaN
  1307.24        2500.00                 NaN   87.9247                 NaN   1.58586        1.69855                 NaN   1.53545        7.25546                 NaN            NaN            NaN
  1305.77        2500.00                 NaN   89.1104                 NaN   1.43406        1.54546                 NaN   1.39038        6.51975                 NaN            NaN            NaN
  1304.30        2500.00                 NaN   90.1114                 NaN   1.30698        1.41553                 NaN   1.26789        5.89824                 NaN            NaN            NaN
  1302.83        2500.00                 NaN   90.9671                 NaN   1.19840        1.30461                 NaN   1.16302        5.36684                 NaN            NaN            NaN
  1301.36        2500.00                 NaN   91.7127                 NaN   1.10275        1.20829                 NaN   1.07116        4.90507                 NaN            NaN            NaN
  1299.89        2500.00                 NaN   92.3639                 NaN   1.02052        1.12232                 NaN  0.990855        4.50241                 NaN            NaN            NaN
  1298.42        2500.00                 NaN   92.9351                 NaN  0.947463        1.04864                 NaN  0.920291        4.14854                 NaN            NaN            NaN
  1296.95        2500.00                 NaN   93.4345                 NaN  0.884205       0.983398                 NaN  0.858479        3.83944                 NaN            NaN            NaN
  1295.48        2500.00                 NaN   93.8749                 NaN  0.826765       0.929485                 NaN  0.804052        3.56479                 NaN            NaN            NaN
  1294.01        2500.00                 NaN   94.2829                 NaN  0.775519       0.873215                 NaN  0.752835        3.31558                 NaN            NaN            NaN
  1292.53        2500.00                 NaN   94.6335                 NaN  0.729443       0.830819                 NaN  0.709183        3.09706                 NaN            NaN            NaN
  1291.06        2500.00                 NaN   94.9460                 NaN  0.689719       0.791692                 NaN  0.670238        2.90235                 NaN            NaN            NaN
  1289.59        2500.00                 NaN   95.2322                 NaN  0.651793       0.755917                 NaN  0.634255        2.72582                 NaN            NaN            NaN
  1288.12        2500.00       0.673095        90.8956                 NaN  0.588148        1.59132                 NaN   1.09795        5.15385                 NaN            NaN            NaN
  1286.65        2500.00       0.964023        89.4672                 NaN  0.508221        1.87460                 NaN   1.23489        5.95106                 NaN            NaN            NaN
  1285.18        2500.00       0.867455        90.5957                 NaN  0.454021        1.67481                 NaN   1.09773        5.31030                 NaN            NaN            NaN
  1283.71        2500.00       0.786801        91.5232                 NaN  0.409667        1.51262                 NaN  0.985529        4.78221                 NaN            NaN            NaN
  1282.24        2500.00       0.720294        92.2894                 NaN  0.370962        1.38089                 NaN  0.892383        4.34608                 NaN            NaN            NaN
  1280.77        2500.00       0.667183        92.8886                 NaN  0.344105        1.27521                 NaN  0.819817        4.00513                 NaN            NaN            NaN
  1279.30        2500.00        1.07932        86.6384                 NaN  0.332014        2.58145                 NaN   1.79023        7.57854                 NaN            NaN            NaN
  1277.83        2500.00       0.340710        98.5548                 NaN  0.479267       0.166227E-001            NaN            NaN  0.608552                 NaN            NaN            NaN
  1276.36        2500.00       0.313252        96.6947                 NaN  0.101987       0.669066                 NaN  0.264710        1.95631                 NaN            NaN            NaN
  1274.89        2500.00       0.685831        92.9152                 NaN  0.336061        1.29516                 NaN  0.817404        3.95039                 NaN            NaN            NaN
  1273.42        2500.00       0.511207        94.7270                 NaN  0.238904       0.979529                 NaN  0.595454        2.94787                 NaN            NaN            NaN
  1271.95        2500.00       0.232672        97.3033                 NaN  0.112467       0.536995                 NaN  0.275267        1.53934                 NaN            NaN            NaN
  1270.48        2500.00       0.398310        95.8793                 NaN  0.182077       0.789484                 NaN  0.454647        2.29616                 NaN            NaN            NaN
