|6.6.6
Archiving\03_Data\eqfracLP/QFM_m4.75/TAY13/TAY13_3.tab                    
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             iron           San(TH)        ilm            q             
  1513.28        500.000        99.5480                 NaN  0.452029                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.86        500.000        99.5666                 NaN  0.433448                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.44        500.000        99.5682                 NaN  0.431804                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.01        500.000        99.5716                 NaN  0.428355                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.59        500.000        99.5745                 NaN  0.425504                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.17        500.000        99.5777                 NaN  0.422328                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.75        500.000        99.5086                 NaN  0.491354                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.33        500.000        99.7506                 NaN  0.249384                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.91        500.000        99.4918       0.214636E-001  0.486773                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.48        500.000        99.5890       0.127105E-004  0.411013                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.06        500.000        99.5959       0.319780E-001  0.372099                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.64        500.000        99.5944       0.456358E-002  0.401065                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.22        500.000        99.5959                 NaN  0.404074                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.80        500.000        99.5981                 NaN  0.401893                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.37        500.000        99.6026                 NaN  0.397400                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.95        500.000        99.6244                 NaN  0.375619                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.53        500.000        99.5845                 NaN  0.415459                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.11        500.000        99.6131                 NaN  0.386936                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.69        500.000        99.6121       0.158339E-001  0.372033                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.27        500.000        99.6140                 NaN  0.385979                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.84        500.000        99.6170                 NaN  0.383024                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.42        500.000        99.6196                 NaN  0.380432                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.00        500.000        99.6210                 NaN  0.379028                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1480.58        500.000        99.6231                 NaN  0.376862                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1479.16        500.000        99.5937                 NaN  0.234779       0.171545                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1477.73        500.000        99.6290                 NaN  0.371039                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1476.31        500.000        99.5544                 NaN  0.365965E-001  0.409042                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1474.89        500.000        99.5516                 NaN  0.112294E-001  0.437129                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1473.47        500.000        99.5528                 NaN  0.880756E-002  0.438421                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1472.05        500.000        99.5544                 NaN  0.694967E-002  0.438614                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1470.63        500.000        99.5560                 NaN  0.403991E-002  0.439940                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1469.20        500.000        99.7106                 NaN            NaN  0.289403                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1467.78        500.000        99.4023                 NaN  0.847488E-003  0.596868                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1466.36        500.000        99.5632                 NaN  0.293537E-001  0.407453                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1464.94        500.000        99.5609                 NaN  0.223196E-002  0.436844                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1463.52        500.000        99.5707                 NaN  0.571820E-001  0.372130                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1462.09        500.000        99.5552                 NaN            NaN  0.444816                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1460.67        500.000        99.5647                 NaN            NaN  0.435277                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1459.25        500.000        99.5668                 NaN  0.473335E-001  0.385911                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1457.83        500.000        99.5651                 NaN            NaN  0.434851                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1456.41        500.000        99.5649                 NaN            NaN  0.435076                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1454.99        500.000        99.5655                 NaN            NaN  0.434490                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1453.56        500.000        99.5648                 NaN            NaN  0.435239                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1452.14        500.000        99.5657                 NaN            NaN  0.434324                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1450.72        500.000        99.5644                 NaN            NaN  0.435626                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1449.30        500.000        99.5634                 NaN            NaN  0.436561                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1447.88        500.000        99.5066                 NaN            NaN  0.493362                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1446.45        500.000        99.6199                 NaN            NaN  0.380138                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1445.03        500.000        99.5565                 NaN            NaN  0.443515                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1443.61        500.000        99.5571                 NaN            NaN  0.442886                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1442.19        500.000        99.3746                 NaN            NaN  0.285718       0.339638                 NaN            NaN            NaN            NaN            NaN            NaN
  1440.77        500.000        99.3931                 NaN            NaN  0.390735       0.216142                 NaN            NaN            NaN            NaN            NaN            NaN
  1439.35        500.000        99.2700                 NaN            NaN  0.259471       0.470566                 NaN            NaN            NaN            NaN            NaN            NaN
  1437.92        500.000        99.3413                 NaN            NaN  0.233361       0.425379                 NaN            NaN            NaN            NaN            NaN            NaN
  1436.50        500.000        99.3487                 NaN            NaN  0.231743       0.419508                 NaN            NaN            NaN            NaN            NaN            NaN
  1435.08        500.000        99.3537                 NaN            NaN  0.416865       0.229441                 NaN            NaN            NaN            NaN            NaN            NaN
  1433.66        500.000        99.3590                 NaN            NaN  0.413925       0.227056                 NaN            NaN            NaN            NaN            NaN            NaN
  1432.24        500.000        99.3678                 NaN            NaN  0.224700       0.407548                 NaN            NaN            NaN            NaN            NaN            NaN
  1430.81        500.000        99.3709                 NaN            NaN  0.222380       0.406757                 NaN            NaN            NaN            NaN            NaN            NaN
  1429.39        500.000        99.3775                 NaN            NaN  0.401896       0.220589                 NaN            NaN            NaN            NaN            NaN            NaN
  1427.97        500.000        99.3824                 NaN            NaN  0.218087       0.399463                 NaN            NaN            NaN            NaN            NaN            NaN
  1426.55        500.000        99.3879                 NaN            NaN  0.216022       0.396114                 NaN            NaN            NaN            NaN            NaN            NaN
  1425.13        500.000        99.3933                 NaN            NaN  0.392282       0.214404                 NaN            NaN            NaN            NaN            NaN            NaN
  1423.71        500.000        99.4962                 NaN            NaN  0.176621       0.327181                 NaN            NaN            NaN            NaN            NaN            NaN
  1422.28        500.000        99.3059                 NaN            NaN  0.449253       0.244869                 NaN            NaN            NaN            NaN            NaN            NaN
  1420.86        500.000        99.4100                 NaN            NaN  0.381962       0.208072                 NaN            NaN            NaN            NaN            NaN            NaN
  1419.44        500.000        98.3239                 NaN            NaN  0.477315       0.660085                 NaN  0.538663                 NaN            NaN            NaN            NaN
  1418.02        500.000        98.2683                 NaN            NaN  0.474502       0.684559                 NaN  0.572620                 NaN            NaN            NaN            NaN
  1416.60        500.000        98.3013                 NaN            NaN  0.464946       0.671640                 NaN  0.562127                 NaN            NaN            NaN            NaN
  1415.17        500.000        98.3394                 NaN            NaN  0.656476       0.454372                 NaN  0.549767                 NaN            NaN            NaN            NaN
  1413.75        500.000        98.3711                 NaN            NaN  0.446044       0.643319                 NaN  0.539536                 NaN            NaN            NaN            NaN
  1412.33        500.000        98.4030                 NaN            NaN  0.630507       0.437177                 NaN  0.529300                 NaN            NaN            NaN            NaN
  1410.91        500.000        98.4328                 NaN            NaN  0.428564       0.619010                 NaN  0.519623                 NaN            NaN            NaN            NaN
  1409.49        500.000        98.4652                 NaN            NaN  0.420024       0.605683                 NaN  0.509064                 NaN            NaN            NaN            NaN
  1408.07        500.000        98.4935                 NaN            NaN  0.411982       0.594504                 NaN  0.499976                 NaN            NaN            NaN            NaN
  1406.64        500.000        98.5222                 NaN            NaN  0.583270       0.403768                 NaN  0.490783                 NaN            NaN            NaN            NaN
  1405.22        500.000        98.5494                 NaN            NaN  0.572580       0.396275                 NaN  0.481727                 NaN            NaN            NaN            NaN
  1403.80        500.000        98.5760                 NaN            NaN  0.388802       0.562017                 NaN  0.473156                 NaN            NaN            NaN            NaN
  1402.38        500.000        98.6024                 NaN            NaN  0.551404       0.381804                 NaN  0.464423                 NaN            NaN            NaN            NaN
  1400.96        500.000        98.6258                 NaN            NaN  0.542508       0.374645                 NaN  0.457091                 NaN            NaN            NaN            NaN
  1399.53        500.000        98.6505                 NaN            NaN  0.532423       0.368216                 NaN  0.448866                 NaN            NaN            NaN            NaN
  1398.11        500.000        98.6767                 NaN            NaN  0.522526       0.360611                 NaN  0.440200                 NaN            NaN            NaN            NaN
  1396.69        500.000        98.6976                 NaN            NaN  0.354891       0.514182                 NaN  0.433352                 NaN            NaN            NaN            NaN
  1395.27        500.000        98.7200                 NaN            NaN  0.505158       0.348856                 NaN  0.425953                 NaN            NaN            NaN            NaN
  1393.85        500.000        98.7427                 NaN            NaN  0.342061       0.496644                 NaN  0.418573                 NaN            NaN            NaN            NaN
  1392.42        500.000        98.7621                 NaN            NaN  0.488649       0.337067                 NaN  0.412204                 NaN            NaN            NaN            NaN
  1391.00        500.000        98.7847                 NaN            NaN  0.329748       0.480837                 NaN  0.404698                 NaN            NaN            NaN            NaN
  1389.58        500.000        98.8055                 NaN            NaN  0.324188       0.472429                 NaN  0.397873                 NaN            NaN            NaN            NaN
  1388.16        500.000        98.8227                 NaN            NaN  0.318651       0.466241                 NaN  0.392414                 NaN            NaN            NaN            NaN
  1386.74        500.000        98.8463                 NaN            NaN  0.456376       0.313103                 NaN  0.384231                 NaN            NaN            NaN            NaN
  1385.32        500.000        98.8622                 NaN            NaN  0.308046       0.450594                 NaN  0.379200                 NaN            NaN            NaN            NaN
  1383.89        500.000        98.8799                 NaN            NaN  0.443831       0.302996                 NaN  0.373253                 NaN            NaN            NaN            NaN
  1382.47        500.000        98.8991                 NaN            NaN  0.297464       0.436547                 NaN  0.366929                 NaN            NaN            NaN            NaN
  1381.05        500.000        98.9144                 NaN            NaN  0.430806       0.292896                 NaN  0.361850                 NaN            NaN            NaN            NaN
  1379.63        500.000        98.9324                 NaN            NaN  0.288024       0.423735                 NaN  0.355868                 NaN            NaN            NaN            NaN
  1378.21        500.000        98.9487                 NaN            NaN  0.417685       0.283181                 NaN  0.350410                 NaN            NaN            NaN            NaN
  1376.78        500.000        98.9645                 NaN            NaN  0.411675       0.278613                 NaN  0.345175                 NaN            NaN            NaN            NaN
  1375.36        500.000        98.9795                 NaN            NaN  0.273644       0.406508                 NaN  0.340338                 NaN            NaN            NaN            NaN
  1373.94        500.000        98.9968                 NaN            NaN  0.399964       0.268805                 NaN  0.334382                 NaN            NaN            NaN            NaN
  1372.52        500.000        99.0107                 NaN            NaN  0.394635       0.264966                 NaN  0.329730                 NaN            NaN            NaN            NaN
  1371.10        500.000        99.0247                 NaN            NaN  0.261168       0.389034                 NaN  0.325067                 NaN            NaN            NaN            NaN
  1369.68        500.000        99.0396                 NaN            NaN  0.256812       0.383539                 NaN  0.320036                 NaN            NaN            NaN            NaN
  1368.25        500.000        99.0541                 NaN            NaN  0.252900       0.377813                 NaN  0.315219                 NaN            NaN            NaN            NaN
  1366.83        500.000        99.0672                 NaN            NaN  0.373136       0.248932                 NaN  0.310768                 NaN            NaN            NaN            NaN
  1365.41        500.000        99.0804                 NaN            NaN  0.245662       0.367595                 NaN  0.306339                 NaN            NaN            NaN            NaN
  1363.99        500.000        99.0940                 NaN            NaN  0.241089       0.363169                 NaN  0.301722                 NaN            NaN            NaN            NaN
  1362.57        500.000        99.1060                 NaN            NaN  0.358657       0.237628                 NaN  0.297700                 NaN            NaN            NaN            NaN
  1361.14        500.000        99.1185                 NaN            NaN  0.354032       0.233999                 NaN  0.293471                 NaN            NaN            NaN            NaN
  1359.72        500.000        99.1301                 NaN            NaN  0.350041       0.230268                 NaN  0.289603                 NaN            NaN            NaN            NaN
  1358.30        500.000        99.1438                 NaN            NaN  0.226770       0.344505                 NaN  0.284927                 NaN            NaN            NaN            NaN
  1356.88        500.000        99.1552                 NaN            NaN  0.340482       0.223259                 NaN  0.281048                 NaN            NaN            NaN            NaN
  1355.46        500.000        99.1661                 NaN            NaN  0.220228       0.336318                 NaN  0.277344                 NaN            NaN            NaN            NaN
  1354.04        500.000        99.1773                 NaN            NaN  0.332492       0.216583                 NaN  0.273593                 NaN            NaN            NaN            NaN
  1352.61        500.000        99.1881                 NaN            NaN  0.328054       0.213944                 NaN  0.269934                 NaN            NaN            NaN            NaN
  1351.19        500.000        99.1999                 NaN            NaN  0.209997       0.324217                 NaN  0.265931                 NaN            NaN            NaN            NaN
  1349.77        500.000        99.2097                 NaN            NaN  0.320019       0.207599                 NaN  0.262679                 NaN            NaN            NaN            NaN
  1348.35        500.000        99.2209                 NaN            NaN  0.203738       0.316591                 NaN  0.258803                 NaN            NaN            NaN            NaN
  1346.93        500.000        99.2294                 NaN            NaN  0.201313       0.313363                 NaN  0.255930                 NaN            NaN            NaN            NaN
  1345.50        500.000        99.2417                 NaN            NaN  0.197703       0.308900                 NaN  0.251708                 NaN            NaN            NaN            NaN
  1344.08        500.000        99.2506                 NaN            NaN  0.305751       0.194927                 NaN  0.248689                 NaN            NaN            NaN            NaN
  1342.66        500.000        99.2598                 NaN            NaN  0.192486       0.302220                 NaN  0.245503                 NaN            NaN            NaN            NaN
  1341.24        500.000        99.2693                 NaN            NaN  0.298898       0.189499                 NaN  0.242293                 NaN            NaN            NaN            NaN
  1339.82        500.000        99.2768                 NaN            NaN  0.189419       0.292574                 NaN  0.240448       0.756737E-003            NaN            NaN            NaN
  1338.40        500.000        99.2743                 NaN            NaN  0.207740       0.264922                 NaN  0.246621       0.640682E-002            NaN            NaN            NaN
  1336.97        500.000        99.2824                 NaN            NaN  0.208024       0.257453                 NaN  0.244839       0.732683E-002            NaN            NaN            NaN
  1335.55        500.000        99.2934                 NaN            NaN  0.254877       0.204113                 NaN  0.240637       0.696873E-002            NaN            NaN            NaN
  1334.13        500.000        99.3033       0.421875E-004            NaN  0.200403       0.252594                 NaN  0.236998       0.664450E-002            NaN            NaN            NaN
  1332.71        500.000        99.3132                 NaN            NaN  0.250565       0.196549                 NaN  0.233370       0.634388E-002            NaN            NaN            NaN
  1331.29        500.000        99.3300       0.169519E-001            NaN  0.199457       0.220051                 NaN  0.228844       0.473643E-002            NaN            NaN            NaN
  1329.86        500.000        99.3587       0.723904E-001            NaN  0.120894       0.222115                 NaN  0.224665       0.122539E-002            NaN            NaN            NaN
  1328.44        500.000        99.3764       0.101036                 NaN  0.646234E-001  0.235882                 NaN  0.222024                 NaN            NaN            NaN            NaN
  1327.02        500.000        99.3794       0.754985E-001            NaN  0.215284       0.112977                 NaN  0.216855                 NaN            NaN            NaN            NaN
  1325.60        500.000        99.3904       0.870658E-001            NaN  0.857352E-001  0.221887                 NaN  0.214912                 NaN            NaN            NaN            NaN
  1324.18        500.000        99.3984       0.862879E-001            NaN  0.219491       0.837535E-001            NaN  0.212040                 NaN            NaN            NaN            NaN
  1322.76        500.000        99.4069       0.863765E-001            NaN  0.218165       0.794378E-001            NaN  0.209140                 NaN            NaN            NaN            NaN
  1321.33        500.000        99.4144       0.841277E-001            NaN  0.811018E-001  0.214425                 NaN  0.205965                 NaN            NaN            NaN            NaN
  1319.91        500.000        99.4215       0.833933E-001            NaN  0.212234       0.793262E-001            NaN  0.203528                 NaN            NaN            NaN            NaN
  1318.49        500.000        99.4297       0.829001E-001            NaN  0.210126       0.767171E-001            NaN  0.200589                 NaN            NaN            NaN            NaN
  1317.07        500.000        99.4368       0.816941E-001            NaN  0.757310E-001  0.207889                 NaN  0.197877                 NaN            NaN            NaN            NaN
  1315.65        500.000        99.4442       0.811083E-001            NaN  0.734979E-001  0.206015                 NaN  0.195201                 NaN            NaN            NaN            NaN
  1314.22        500.000        99.4506       0.794681E-001            NaN  0.203504       0.737276E-001            NaN  0.192682                 NaN            NaN            NaN            NaN
  1312.80        500.000        99.4573       0.806339E-001            NaN  0.693774E-001  0.201787                 NaN  0.190864                 NaN            NaN            NaN            NaN
  1311.38        500.000        99.4659       0.782993E-001            NaN  0.694617E-001  0.199198                 NaN  0.187181                 NaN            NaN            NaN            NaN
  1309.96        500.000        99.4731       0.754299E-001            NaN  0.720284E-001  0.195456                 NaN  0.183944                 NaN            NaN            NaN            NaN
  1308.54        500.000        99.4784       0.761251E-001            NaN  0.680483E-001  0.194992                 NaN  0.182457                 NaN            NaN            NaN            NaN
  1307.12        500.000        99.4846       0.739616E-001            NaN  0.191516       0.699595E-001            NaN  0.179996                 NaN            NaN            NaN            NaN
  1305.69        500.000        99.4911       0.730785E-001            NaN  0.684230E-001  0.189916                 NaN  0.177491                 NaN            NaN            NaN            NaN
  1304.27        500.000        99.4972       0.721767E-001            NaN  0.675937E-001  0.187786                 NaN  0.175254                 NaN            NaN            NaN            NaN
  1302.85        500.000        99.5036       0.710512E-001            NaN  0.185652       0.668354E-001            NaN  0.172843                 NaN            NaN            NaN            NaN
  1301.43        500.000        99.5094       0.695161E-001            NaN  0.183059       0.675054E-001            NaN  0.170535                 NaN            NaN            NaN            NaN
  1300.01        500.000        99.5149       0.681681E-001            NaN  0.180474       0.680174E-001            NaN  0.168468                 NaN            NaN            NaN            NaN
  1298.58        500.000        99.5214       0.676220E-001            NaN  0.178997       0.658792E-001            NaN  0.166097                 NaN            NaN            NaN            NaN
  1297.16        500.000        99.5267       0.657907E-001            NaN  0.176778       0.668519E-001            NaN  0.163880                 NaN            NaN            NaN            NaN
  1295.74        500.000        99.5322       0.642620E-001            NaN  0.679072E-001  0.173809                 NaN  0.161788                 NaN            NaN            NaN            NaN
  1294.32        500.000        99.5377       0.633299E-001            NaN  0.671944E-001  0.172045                 NaN  0.159694                 NaN            NaN            NaN            NaN
  1292.90        500.000        99.5431       0.619437E-001            NaN  0.169485       0.677918E-001            NaN  0.157636                 NaN            NaN            NaN            NaN
  1291.48        500.000        99.5484       0.608284E-001            NaN  0.167799       0.673964E-001            NaN  0.155608                 NaN            NaN            NaN            NaN
  1290.05        500.000        93.3849                 NaN            NaN   1.07126       0.614751                 NaN  0.823110                 NaN   4.10595                 NaN            NaN
  1288.63        500.000        89.5738                 NaN            NaN  0.927526        1.59860                 NaN   1.23642                 NaN   6.66367                 NaN            NaN
  1287.21        500.000        90.6804                 NaN            NaN   1.42500       0.838346                 NaN   1.11149                 NaN   5.94473                 NaN            NaN
  1285.79        500.000        91.5685                 NaN            NaN   1.28756       0.765697                 NaN   1.01157                 NaN   5.36668                 NaN            NaN
  1284.37        500.000        92.2052                 NaN            NaN   1.05128       0.808091                 NaN  0.954351       0.193444E-001   4.96174                 NaN            NaN
  1282.94        500.000        92.9217                 NaN            NaN  0.736077       0.957302                 NaN  0.869678       0.163495E-001   4.49888                 NaN            NaN
  1281.52        500.000        93.5257                 NaN            NaN  0.886911       0.669081                 NaN  0.797261       0.126552E-001   4.10836                 NaN            NaN
  1280.10        500.000        94.0292                 NaN            NaN  0.611678       0.829953                 NaN  0.736721       0.950857E-002   3.78291                 NaN            NaN
  1278.68        500.000        94.4662                 NaN            NaN  0.781839       0.559910                 NaN  0.684257       0.688224E-002   3.50086                 NaN            NaN
  1277.26        500.000        94.8404                 NaN            NaN  0.741505       0.514481                 NaN  0.639063       0.468868E-002   3.25988                 NaN            NaN
  1275.83        500.000        95.1723                 NaN            NaN  0.472751       0.708180                 NaN  0.598765       0.248410E-002   3.04553                 NaN            NaN
  1274.41        500.000        95.4573                 NaN            NaN  0.434929       0.681129                 NaN  0.564259       0.724131E-003   2.86169                 NaN            NaN
  1272.99        500.000        95.7148                 NaN            NaN  0.404669       0.650563                 NaN  0.533499                 NaN   2.69644                 NaN            NaN
  1271.57        500.000        95.9392                 NaN            NaN  0.381621       0.619698                 NaN  0.507128                 NaN   2.55231                 NaN            NaN
  1270.15        500.000        96.1498                 NaN            NaN  0.591593       0.358606                 NaN  0.482199                 NaN   2.41783                 NaN            NaN
  1268.73        500.000        96.3351                 NaN            NaN  0.569582       0.335998                 NaN  0.460039                 NaN   2.29923                 NaN            NaN
  1267.30        500.000        96.5108                 NaN            NaN  0.552562       0.309356                 NaN  0.438837                 NaN   2.18849                 NaN            NaN
  1265.88        500.000        96.7432                 NaN            NaN  0.163030       0.623628                 NaN  0.413123                 NaN   2.05700                 NaN            NaN
  1264.46        500.000        96.8585                 NaN            NaN  0.766663                 NaN            NaN  0.398193                 NaN   1.97665                 NaN            NaN
  1263.04        500.000        96.8214                 NaN            NaN  0.821326                 NaN            NaN  0.397534                 NaN   1.95970                 NaN            NaN
  1261.62        500.000        97.0704                 NaN            NaN  0.727257                 NaN            NaN  0.370141                 NaN   1.83216                 NaN            NaN
  1260.19        500.000        97.1890                 NaN            NaN  0.697482                 NaN            NaN  0.356635                 NaN   1.75690                 NaN            NaN
  1258.77        500.000        97.2945                 NaN            NaN  0.671986                 NaN            NaN  0.343433                 NaN   1.69007                 NaN            NaN
  1257.35        500.000        97.3986                 NaN            NaN  0.646250                 NaN            NaN  0.330009                 NaN   1.62519                 NaN            NaN
  1255.93        500.000        97.4939                 NaN            NaN  0.623067                 NaN            NaN  0.317408                 NaN   1.56564                 NaN            NaN
  1254.51        500.000        97.5826                 NaN            NaN  0.601196                 NaN            NaN  0.306432                 NaN   1.50976                 NaN            NaN
  1253.09        500.000        97.6669                 NaN            NaN  0.577902                 NaN            NaN  0.297514                 NaN   1.45765                 NaN            NaN
