|6.6.6
Archiving\03_Data\eqfracLP/QFM_m4.75/TAY13/TAY13_1.tab                    
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             iron           San(TH)        ilm            q             
  1482.00        500.000        99.5505                 NaN  0.449454                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1480.58        500.000        99.5529                 NaN  0.447051                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1479.16        500.000        99.5188                 NaN  0.278566       0.202622                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1477.73        500.000        99.5596                 NaN  0.440411                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1476.31        500.000        99.4730                 NaN  0.434565E-001  0.483551                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1474.89        500.000        99.4696                 NaN  0.133426E-001  0.517083                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1473.47        500.000        99.4708                 NaN  0.104674E-001  0.518721                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1472.05        500.000        99.4725                 NaN  0.826325E-002  0.519209                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1470.63        500.000        99.4741                 NaN  0.480622E-002  0.521112                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1469.20        500.000        99.6571                 NaN            NaN  0.342905                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1467.78        500.000        99.2917                 NaN  0.100910E-002  0.707267                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1466.36        500.000        99.4818                 NaN  0.349656E-001  0.483212                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1464.94        500.000        99.4790                 NaN  0.266021E-002  0.518342                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1463.52        500.000        99.4900                 NaN  0.681899E-001  0.441831                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1462.09        500.000        99.4718                 NaN            NaN  0.528155                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1460.67        500.000        99.4828                 NaN            NaN  0.517203                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1459.25        500.000        99.4847                 NaN  0.565187E-001  0.458753                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1457.83        500.000        99.4828                 NaN            NaN  0.517180                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1456.41        500.000        99.4823                 NaN            NaN  0.517702                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1454.99        500.000        99.4827                 NaN            NaN  0.517324                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1453.56        500.000        99.4815                 NaN            NaN  0.518496                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1452.14        500.000        99.4824                 NaN            NaN  0.517623                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1450.72        500.000        99.4806                 NaN            NaN  0.519444                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1449.30        500.000        99.4792                 NaN            NaN  0.520786                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1447.88        500.000        99.4113                 NaN            NaN  0.588738                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1446.45        500.000        99.5460                 NaN            NaN  0.453969                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1445.03        500.000        99.4700                 NaN            NaN  0.529975                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1443.61        500.000        99.4706                 NaN            NaN  0.529379                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1442.19        500.000        99.2561                 NaN            NaN  0.341635       0.402252                 NaN            NaN            NaN            NaN            NaN            NaN
  1440.77        500.000        99.2783                 NaN            NaN  0.463044       0.258621                 NaN            NaN            NaN            NaN            NaN            NaN
  1439.35        500.000        99.1313                 NaN            NaN  0.310694       0.557992                 NaN            NaN            NaN            NaN            NaN            NaN
  1437.92        500.000        99.2158                 NaN            NaN  0.279589       0.504652                 NaN            NaN            NaN            NaN            NaN            NaN
  1436.50        500.000        99.2242                 NaN            NaN  0.277866       0.497974                 NaN            NaN            NaN            NaN            NaN            NaN
  1435.08        500.000        99.2297                 NaN            NaN  0.495084       0.275264                 NaN            NaN            NaN            NaN            NaN            NaN
  1433.66        500.000        99.2355                 NaN            NaN  0.491873       0.272593                 NaN            NaN            NaN            NaN            NaN            NaN
  1432.24        500.000        99.2454                 NaN            NaN  0.269975       0.484602                 NaN            NaN            NaN            NaN            NaN            NaN
  1430.81        500.000        99.2486                 NaN            NaN  0.267410       0.483975                 NaN            NaN            NaN            NaN            NaN            NaN
  1429.39        500.000        99.2562                 NaN            NaN  0.478398       0.265432                 NaN            NaN            NaN            NaN            NaN            NaN
  1427.97        500.000        99.2615                 NaN            NaN  0.262618       0.475838                 NaN            NaN            NaN            NaN            NaN            NaN
  1426.55        500.000        99.2676                 NaN            NaN  0.260312       0.472125                 NaN            NaN            NaN            NaN            NaN            NaN
  1425.13        500.000        99.2736                 NaN            NaN  0.467822       0.258602                 NaN            NaN            NaN            NaN            NaN            NaN
  1423.71        500.000        99.3962                 NaN            NaN  0.213206       0.390559                 NaN            NaN            NaN            NaN            NaN            NaN
  1422.28        500.000        99.1680                 NaN            NaN  0.536320       0.295632                 NaN            NaN            NaN            NaN            NaN            NaN
  1420.86        500.000        99.2922                 NaN            NaN  0.456316       0.251467                 NaN            NaN            NaN            NaN            NaN            NaN
  1419.44        500.000        98.0985                 NaN            NaN  0.570250       0.797858                 NaN  0.533411                 NaN            NaN            NaN            NaN
  1418.02        500.000        98.0368                 NaN            NaN  0.567446       0.828406                 NaN  0.567388                 NaN            NaN            NaN            NaN
  1416.60        500.000        98.0720                 NaN            NaN  0.556675       0.813944                 NaN  0.557388                 NaN            NaN            NaN            NaN
  1415.17        500.000        98.1134                 NaN            NaN  0.796516       0.544577                 NaN  0.545529                 NaN            NaN            NaN            NaN
  1413.75        500.000        98.1474                 NaN            NaN  0.535238       0.781615                 NaN  0.535762                 NaN            NaN            NaN            NaN
  1412.33        500.000        98.1818                 NaN            NaN  0.767036       0.525223                 NaN  0.525980                 NaN            NaN            NaN            NaN
  1410.91        500.000        98.2137                 NaN            NaN  0.515474       0.754120                 NaN  0.516739                 NaN            NaN            NaN            NaN
  1409.49        500.000        98.2488                 NaN            NaN  0.505772       0.738825                 NaN  0.506613                 NaN            NaN            NaN            NaN
  1408.07        500.000        98.2793                 NaN            NaN  0.496661       0.726140                 NaN  0.497933                 NaN            NaN            NaN            NaN
  1406.64        500.000        98.3102                 NaN            NaN  0.713336       0.487311                 NaN  0.489139                 NaN            NaN            NaN            NaN
  1405.22        500.000        98.3395                 NaN            NaN  0.701193       0.478858                 NaN  0.480470                 NaN            NaN            NaN            NaN
  1403.80        500.000        98.3682                 NaN            NaN  0.470356       0.689190                 NaN  0.472273                 NaN            NaN            NaN            NaN
  1402.38        500.000        98.3966                 NaN            NaN  0.677060       0.462412                 NaN  0.463903                 NaN            NaN            NaN            NaN
  1400.96        500.000        98.4218                 NaN            NaN  0.667001       0.454309                 NaN  0.456920                 NaN            NaN            NaN            NaN
  1399.53        500.000        98.4484                 NaN            NaN  0.655507       0.447035                 NaN  0.449036                 NaN            NaN            NaN            NaN
  1398.11        500.000        98.4769                 NaN            NaN  0.644136       0.438285                 NaN  0.440700                 NaN            NaN            NaN            NaN
  1396.69        500.000        98.4992                 NaN            NaN  0.431852       0.634733                 NaN  0.434170                 NaN            NaN            NaN            NaN
  1395.27        500.000        98.5235                 NaN            NaN  0.624425       0.425009                 NaN  0.427081                 NaN            NaN            NaN            NaN
  1393.85        500.000        98.5481                 NaN            NaN  0.417203       0.614680                 NaN  0.420001                 NaN            NaN            NaN            NaN
  1392.42        500.000        98.5689                 NaN            NaN  0.605592       0.411583                 NaN  0.413925                 NaN            NaN            NaN            NaN
  1391.00        500.000        98.5935                 NaN            NaN  0.403140       0.596689                 NaN  0.406698                 NaN            NaN            NaN            NaN
  1389.58        500.000        98.6161                 NaN            NaN  0.396792       0.586990                 NaN  0.400146                 NaN            NaN            NaN            NaN
  1388.16        500.000        98.6345                 NaN            NaN  0.390488       0.580019                 NaN  0.394957                 NaN            NaN            NaN            NaN
  1386.74        500.000        98.6603                 NaN            NaN  0.568517       0.384132                 NaN  0.387019                 NaN            NaN            NaN            NaN
  1385.32        500.000        98.6773                 NaN            NaN  0.378367       0.562044                 NaN  0.382244                 NaN            NaN            NaN            NaN
  1383.89        500.000        98.6965                 NaN            NaN  0.554345       0.372591                 NaN  0.376538                 NaN            NaN            NaN            NaN
  1382.47        500.000        98.7174                 NaN            NaN  0.366216       0.545950                 NaN  0.370444                 NaN            NaN            NaN            NaN
  1381.05        500.000        98.7338                 NaN            NaN  0.539523       0.361044                 NaN  0.365597                 NaN            NaN            NaN            NaN
  1379.63        500.000        98.7534                 NaN            NaN  0.355452       0.531317                 NaN  0.359831                 NaN            NaN            NaN            NaN
  1378.21        500.000        98.7711                 NaN            NaN  0.524413       0.349871                 NaN  0.354586                 NaN            NaN            NaN            NaN
  1376.78        500.000        98.7883                 NaN            NaN  0.517523       0.344623                 NaN  0.349559                 NaN            NaN            NaN            NaN
  1375.36        500.000        98.8045                 NaN            NaN  0.338882       0.511715                 NaN  0.344927                 NaN            NaN            NaN            NaN
  1373.94        500.000        98.8235                 NaN            NaN  0.504113       0.333268                 NaN  0.339154                 NaN            NaN            NaN            NaN
  1372.52        500.000        98.8383                 NaN            NaN  0.498084       0.328929                 NaN  0.334695                 NaN            NaN            NaN            NaN
  1371.10        500.000        98.8535                 NaN            NaN  0.324607       0.491647                 NaN  0.330217                 NaN            NaN            NaN            NaN
  1369.68        500.000        98.8698                 NaN            NaN  0.319542       0.485287                 NaN  0.325359                 NaN            NaN            NaN            NaN
  1368.25        500.000        98.8856                 NaN            NaN  0.315044       0.478629                 NaN  0.320711                 NaN            NaN            NaN            NaN
  1366.83        500.000        98.8997                 NaN            NaN  0.473353       0.310479                 NaN  0.316428                 NaN            NaN            NaN            NaN
  1365.41        500.000        98.9142                 NaN            NaN  0.306757       0.466882                 NaN  0.312160                 NaN            NaN            NaN            NaN
  1363.99        500.000        98.9290                 NaN            NaN  0.301400       0.461882                 NaN  0.307694                 NaN            NaN            NaN            NaN
  1362.57        500.000        98.9420                 NaN            NaN  0.456750       0.297436                 NaN  0.303829                 NaN            NaN            NaN            NaN
  1361.14        500.000        98.9556                 NaN            NaN  0.451444       0.293242                 NaN  0.299745                 NaN            NaN            NaN            NaN
  1359.72        500.000        98.9681                 NaN            NaN  0.446947       0.288897                 NaN  0.296025                 NaN            NaN            NaN            NaN
  1358.30        500.000        98.9834                 NaN            NaN  0.284829       0.440333                 NaN  0.291472                 NaN            NaN            NaN            NaN
  1356.88        500.000        98.9957                 NaN            NaN  0.435777       0.280763                 NaN  0.287727                 NaN            NaN            NaN            NaN
  1355.46        500.000        99.0076                 NaN            NaN  0.277281       0.431014                 NaN  0.284155                 NaN            NaN            NaN            NaN
  1354.04        500.000        99.0198                 NaN            NaN  0.426658       0.273002                 NaN  0.280530                 NaN            NaN            NaN            NaN
  1352.61        500.000        99.0315                 NaN            NaN  0.421487       0.270010                 NaN  0.276992                 NaN            NaN            NaN            NaN
  1351.19        500.000        99.0445                 NaN            NaN  0.265328       0.417060                 NaN  0.273097                 NaN            NaN            NaN            NaN
  1349.77        500.000        99.0553                 NaN            NaN  0.412162       0.262614                 NaN  0.269966                 NaN            NaN            NaN            NaN
  1348.35        500.000        99.0675                 NaN            NaN  0.258035       0.408285                 NaN  0.266189                 NaN            NaN            NaN            NaN
  1346.93        500.000        99.0767                 NaN            NaN  0.255252       0.404649                 NaN  0.263437                 NaN            NaN            NaN            NaN
  1345.50        500.000        99.0904                 NaN            NaN  0.250952       0.399316                 NaN  0.259293                 NaN            NaN            NaN            NaN
  1344.08        500.000        99.1001                 NaN            NaN  0.395775       0.247738                 NaN  0.256380                 NaN            NaN            NaN            NaN
  1342.66        500.000        99.1101                 NaN            NaN  0.244932       0.391693                 NaN  0.253290                 NaN            NaN            NaN            NaN
  1341.24        500.000        99.1205                 NaN            NaN  0.387867       0.241415                 NaN  0.250172                 NaN            NaN            NaN            NaN
  1339.82        500.000        99.1277                 NaN            NaN  0.241588       0.380127                 NaN  0.248458       0.217431E-002            NaN            NaN            NaN
  1338.40        500.000        99.1167                 NaN            NaN  0.265256       0.344601                 NaN  0.255037       0.184237E-001            NaN            NaN            NaN
  1336.97        500.000        99.1243                 NaN            NaN  0.265933       0.335285                 NaN  0.253419       0.210888E-001            NaN            NaN            NaN
  1335.55        500.000        99.1370                 NaN            NaN  0.332367       0.261241                 NaN  0.249293       0.200769E-001            NaN            NaN            NaN
  1334.13        500.000        99.1484       0.605634E-004            NaN  0.256814       0.329802                 NaN  0.245742       0.191606E-001            NaN            NaN            NaN
  1332.71        500.000        99.1598                 NaN            NaN  0.327567       0.252166                 NaN  0.242194       0.183106E-001            NaN            NaN            NaN
  1331.29        500.000        99.1799       0.244208E-001            NaN  0.256222       0.288040                 NaN  0.237709       0.136837E-001            NaN            NaN            NaN
  1329.86        500.000        99.2143       0.104484                 NaN  0.158448       0.285678                 NaN  0.233585       0.354361E-002            NaN            NaN            NaN
  1328.44        500.000        99.2342       0.146099                 NaN  0.848151E-001  0.303788                 NaN  0.231050                 NaN            NaN            NaN            NaN
  1327.02        500.000        99.2387       0.109387                 NaN  0.277570       0.148455                 NaN  0.225867                 NaN            NaN            NaN            NaN
  1325.60        500.000        99.2504       0.126367                 NaN  0.112796       0.286435                 NaN  0.224039                 NaN            NaN            NaN            NaN
  1324.18        500.000        99.2593       0.125457                 NaN  0.283702       0.110333                 NaN  0.221238                 NaN            NaN            NaN            NaN
  1322.76        500.000        99.2688       0.125810                 NaN  0.282246       0.104751                 NaN  0.218402                 NaN            NaN            NaN            NaN
  1321.33        500.000        99.2770       0.122765                 NaN  0.107102       0.277819                 NaN  0.215274                 NaN            NaN            NaN            NaN
  1319.91        500.000        99.2850       0.121908                 NaN  0.275330       0.104898                 NaN  0.212910                 NaN            NaN            NaN            NaN
  1318.49        500.000        99.2942       0.121383                 NaN  0.272879       0.101565                 NaN  0.210017                 NaN            NaN            NaN            NaN
  1317.07        500.000        99.3021       0.119838                 NaN  0.100383       0.270326                 NaN  0.207356                 NaN            NaN            NaN            NaN
  1315.65        500.000        99.3104       0.119178                 NaN  0.975323E-001  0.268185                 NaN  0.204727                 NaN            NaN            NaN            NaN
  1314.22        500.000        99.3175       0.116998                 NaN  0.265277       0.979726E-001            NaN  0.202258                 NaN            NaN            NaN            NaN
  1312.80        500.000        99.3250       0.118912                 NaN  0.922891E-001  0.263254                 NaN  0.200520                 NaN            NaN            NaN            NaN
  1311.38        500.000        99.3349       0.115578                 NaN  0.924912E-001  0.260183                 NaN  0.196818                 NaN            NaN            NaN            NaN
  1309.96        500.000        99.3431       0.111622                 NaN  0.960499E-001  0.255699                 NaN  0.193577                 NaN            NaN            NaN            NaN
  1308.54        500.000        99.3488       0.112825                 NaN  0.908500E-001  0.255360                 NaN  0.192173                 NaN            NaN            NaN            NaN
  1307.12        500.000        99.3558       0.109826                 NaN  0.251102       0.935126E-001            NaN  0.189740                 NaN            NaN            NaN            NaN
  1305.69        500.000        99.3632       0.108679                 NaN  0.915707E-001  0.249293                 NaN  0.187256                 NaN            NaN            NaN            NaN
  1304.27        500.000        99.3701       0.107534                 NaN  0.905585E-001  0.246779                 NaN  0.185049                 NaN            NaN            NaN            NaN
  1302.85        500.000        99.3774       0.106024                 NaN  0.244237       0.896384E-001            NaN  0.182654                 NaN            NaN            NaN            NaN
  1301.43        500.000        99.3839       0.103925                 NaN  0.241141       0.906556E-001            NaN  0.180363                 NaN            NaN            NaN            NaN
  1300.01        500.000        99.3901       0.102101                 NaN  0.237986       0.914579E-001            NaN  0.178323                 NaN            NaN            NaN            NaN
  1298.58        500.000        99.3977       0.101419                 NaN  0.236301       0.886617E-001            NaN  0.175957                 NaN            NaN            NaN            NaN
  1297.16        500.000        99.4037       0.988443E-001            NaN  0.233672       0.900790E-001            NaN  0.173749                 NaN            NaN            NaN            NaN
  1295.74        500.000        99.4100       0.966963E-001            NaN  0.916087E-001  0.230003                 NaN  0.171669                 NaN            NaN            NaN            NaN
  1294.32        500.000        99.4163       0.954571E-001            NaN  0.907467E-001  0.227922                 NaN  0.169583                 NaN            NaN            NaN            NaN
  1292.90        500.000        99.4225       0.935202E-001            NaN  0.224778       0.916562E-001            NaN  0.167532                 NaN            NaN            NaN            NaN
  1291.48        500.000        99.4285       0.919791E-001            NaN  0.222802       0.912195E-001            NaN  0.165508                 NaN            NaN            NaN            NaN
  1290.05        500.000        92.8297                 NaN            NaN   1.44572       0.814005                 NaN  0.871764                 NaN   4.03877                 NaN            NaN
  1288.63        500.000        88.7718                 NaN            NaN   1.22795        2.15634                 NaN   1.30616                 NaN   6.53771                 NaN            NaN
  1287.21        500.000        89.9426                 NaN            NaN   1.92788        1.11356                 NaN   1.17578                 NaN   5.84016                 NaN            NaN
  1285.79        500.000        90.8824                 NaN            NaN   1.74697        1.02044                 NaN   1.07143                 NaN   5.27879                 NaN            NaN
  1284.37        500.000        91.5347                 NaN            NaN   1.42992        1.08002                 NaN   1.01204       0.571269E-001   4.88620                 NaN            NaN
  1282.94        500.000        92.2983                 NaN            NaN  0.986867        1.30561                 NaN  0.923676       0.483592E-001   4.43715                 NaN            NaN
  1281.52        500.000        92.9441                 NaN            NaN   1.21274       0.899784                 NaN  0.848001       0.374884E-001   4.05784                 NaN            NaN
  1280.10        500.000        93.4830                 NaN            NaN  0.825044        1.13764                 NaN  0.784680       0.282067E-001   3.74141                 NaN            NaN
  1278.68        500.000        93.9514                 NaN            NaN   1.07414       0.757376                 NaN  0.729751       0.204432E-001   3.46689                 NaN            NaN
  1277.26        500.000        94.3527                 NaN            NaN   1.02091       0.697855                 NaN  0.682397       0.139452E-001   3.23218                 NaN            NaN
  1275.83        500.000        94.7090                 NaN            NaN  0.643114       0.977196                 NaN  0.640130       0.739738E-002   3.02320                 NaN            NaN
  1274.41        500.000        95.0150                 NaN            NaN  0.593297       0.941708                 NaN  0.603930       0.215894E-002   2.84390                 NaN            NaN
  1272.99        500.000        95.2911                 NaN            NaN  0.553499       0.901103                 NaN  0.571645                 NaN   2.68262                 NaN            NaN
  1271.57        500.000        95.5308                 NaN            NaN  0.523432       0.859874                 NaN  0.543981                 NaN   2.54196                 NaN            NaN
  1270.15        500.000        95.7561                 NaN            NaN  0.822265       0.493200                 NaN  0.517807                 NaN   2.41063                 NaN            NaN
  1268.73        500.000        95.9543                 NaN            NaN  0.792938       0.463434                 NaN  0.494545                 NaN   2.29481                 NaN            NaN
  1267.30        500.000        96.1430                 NaN            NaN  0.770336       0.427760                 NaN  0.472265                 NaN   2.18664                 NaN            NaN
  1265.88        500.000        96.4006                 NaN            NaN  0.226169       0.870524                 NaN  0.445103                 NaN   2.05757                 NaN            NaN
  1264.46        500.000        96.5208                 NaN            NaN   1.07072                 NaN            NaN  0.429431                 NaN   1.97907                 NaN            NaN
  1263.04        500.000        96.4604                 NaN            NaN   1.14675                 NaN            NaN  0.429082                 NaN   1.96373                 NaN            NaN
  1261.62        500.000        96.7429                 NaN            NaN   1.01875                 NaN            NaN  0.400042                 NaN   1.83832                 NaN            NaN
  1260.19        500.000        96.8703                 NaN            NaN  0.979238                 NaN            NaN  0.385854                 NaN   1.76465                 NaN            NaN
  1258.77        500.000        96.9835                 NaN            NaN  0.945273                 NaN            NaN  0.371962                 NaN   1.69930                 NaN            NaN
  1257.35        500.000        97.0958                 NaN            NaN  0.910629                 NaN            NaN  0.357801                 NaN   1.63576                 NaN            NaN
  1255.93        500.000        97.1987                 NaN            NaN  0.879367                 NaN            NaN  0.344498                 NaN   1.57745                 NaN            NaN
  1254.51        500.000        97.2944                 NaN            NaN  0.849994                 NaN            NaN  0.332930                 NaN   1.52271                 NaN            NaN
  1253.09        500.000        97.3858                 NaN            NaN  0.819017                 NaN            NaN  0.323577                 NaN   1.47165                 NaN            NaN
  1251.66        500.000        97.4686                 NaN            NaN  0.798782                 NaN            NaN  0.311420                 NaN   1.42118                 NaN            NaN
