|6.6.6
Archiving\03_Data\frac/QFM_m5/KHA22/KHA22_1.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          17
T(K)           P(bar)         melt(TH)       mang           iron           Ni             pxmn           O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            ne             lc            
  1809.52        2500.00        99.4968                 NaN            NaN            NaN            NaN  0.487861       0.153239E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        2500.00        99.4980                 NaN            NaN            NaN            NaN  0.486792       0.152471E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        2500.00        99.4965                 NaN            NaN            NaN            NaN  0.488220       0.152451E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        2500.00        99.4982                 NaN            NaN            NaN            NaN  0.486646       0.151448E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        2500.00        99.4989                 NaN            NaN            NaN            NaN  0.485966       0.150949E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        2500.00        99.4964                 NaN            NaN            NaN            NaN  0.488510       0.151277E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        2500.00        99.4997                 NaN            NaN            NaN            NaN  0.485348       0.149744E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        2500.00        99.4983                 NaN            NaN            NaN            NaN  0.486704       0.149834E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        2500.00        99.4980                 NaN            NaN            NaN            NaN  0.487055       0.149536E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        2500.00        99.4973                 NaN            NaN            NaN            NaN  0.487789       0.149163E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        2500.00        99.4979                 NaN            NaN            NaN            NaN  0.487310       0.148305E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        2500.00        99.4954                 NaN            NaN            NaN            NaN  0.489720       0.148871E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        2500.00        99.4981                 NaN            NaN            NaN            NaN  0.487148       0.147304E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        2500.00        99.4245                 NaN            NaN            NaN            NaN  0.556071       0.194544E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        2500.00        99.5628                 NaN            NaN            NaN            NaN  0.427239       0.998108E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        2500.00        99.4881                 NaN            NaN            NaN            NaN  0.497051       0.148735E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        2500.00        99.4717                 NaN            NaN            NaN            NaN  0.513028       0.152435E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        2500.00        99.5251                 NaN            NaN            NaN            NaN  0.461309       0.136136E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        2500.00        99.4924                 NaN            NaN            NaN            NaN  0.493052       0.145387E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        2500.00        99.4911                 NaN            NaN            NaN            NaN  0.494370       0.145090E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        2500.00        99.4893                 NaN            NaN            NaN            NaN  0.496194       0.144990E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        2500.00        99.4903                 NaN            NaN            NaN            NaN  0.495315       0.143935E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        2500.00        99.4877                 NaN            NaN            NaN            NaN  0.497862       0.144072E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        2500.00        99.4869                 NaN            NaN            NaN            NaN  0.498715       0.143394E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        2500.00        99.4820                 NaN            NaN            NaN            NaN  0.503623       0.144189E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        2500.00        99.4857                 NaN            NaN            NaN            NaN  0.500038       0.142430E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        2500.00        99.4842                 NaN            NaN            NaN            NaN  0.501617       0.142026E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        2500.00        99.4821                 NaN            NaN            NaN            NaN  0.503738       0.142102E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        2500.00        99.4796                 NaN            NaN            NaN            NaN  0.506195       0.141854E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        2500.00        99.4765                 NaN            NaN            NaN            NaN  0.509292       0.142319E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        2500.00        99.4645                 NaN            NaN            NaN            NaN  0.520874       0.145991E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        2500.00        99.4921                 NaN            NaN            NaN            NaN  0.494306       0.135671E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        2500.00        99.4738                 NaN            NaN            NaN            NaN  0.512110       0.140995E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        2500.00        99.4725                 NaN            NaN            NaN            NaN  0.513451       0.140165E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        2500.00        99.4702                 NaN            NaN            NaN            NaN  0.515742       0.140215E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        2500.00        99.4712                 NaN            NaN            NaN            NaN  0.514917       0.139173E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        2500.00        99.4673                 NaN            NaN            NaN            NaN  0.518783       0.139422E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        2500.00        99.4661                 NaN            NaN            NaN            NaN  0.520032       0.138922E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        2500.00        99.4637                 NaN            NaN            NaN            NaN  0.522438       0.138983E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        2500.00        99.4616                 NaN            NaN            NaN            NaN  0.524563       0.138748E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        2500.00        99.1319                 NaN            NaN            NaN            NaN  0.844978       0.231212E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        2500.00        99.8008                 NaN            NaN            NaN            NaN  0.195081       0.412333E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        2500.00        99.4450                 NaN            NaN            NaN            NaN  0.540939       0.141062E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        2500.00        99.4563                 NaN            NaN            NaN            NaN  0.530021       0.137028E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        2500.00        99.4554                 NaN            NaN            NaN            NaN  0.530910       0.136455E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        2500.00        99.4520                 NaN            NaN            NaN            NaN  0.534307       0.136559E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        2500.00        99.4497                 NaN            NaN            NaN            NaN  0.536672       0.136624E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        2500.00        99.4484                 NaN            NaN            NaN            NaN  0.537945       0.136107E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        2500.00        99.4467                 NaN            NaN            NaN            NaN  0.539721       0.135881E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        2500.00        99.4448                 NaN            NaN            NaN            NaN  0.541645       0.135667E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        2500.00        99.4433                 NaN            NaN            NaN            NaN  0.543126       0.135411E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        2500.00        99.4422                 NaN            NaN            NaN            NaN  0.544335       0.135101E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        2500.00        99.4289                 NaN            NaN            NaN            NaN  0.557029       0.140995E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        2500.00        99.4509                 NaN            NaN            NaN            NaN  0.536259       0.128819E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        2500.00        99.4374                 NaN            NaN            NaN            NaN  0.549196       0.134319E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        2500.00        99.4358                 NaN            NaN            NaN            NaN  0.550787       0.134370E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        2500.00        99.4349                 NaN            NaN            NaN            NaN  0.551697       0.133714E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        2500.00        99.4316                 NaN            NaN            NaN            NaN  0.554954       0.134069E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        2500.00        99.4319                 NaN            NaN            NaN            NaN  0.554722       0.133351E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        2500.00        99.4303                 NaN            NaN            NaN            NaN  0.556356       0.133112E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        2500.00        98.6657                 NaN            NaN            NaN            NaN  0.346174                 NaN  0.988162                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        2500.00        98.0632                 NaN            NaN            NaN            NaN  0.171333                 NaN   1.76549                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        2500.00        98.0969                 NaN            NaN            NaN            NaN  0.166999                 NaN   1.73610                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        2500.00        98.1127                 NaN            NaN            NaN            NaN  0.161853                 NaN   1.72542                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        2500.00        98.1882                 NaN            NaN            NaN            NaN  0.156911                 NaN   1.65485                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        2500.00        98.2224                 NaN            NaN            NaN            NaN  0.155369                 NaN   1.62226                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        2500.00        98.2431                 NaN            NaN            NaN            NaN  0.151809                 NaN   1.60511                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        2500.00        98.2690                 NaN            NaN            NaN            NaN  0.147957                 NaN   1.58304                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        2500.00        98.3197                 NaN            NaN            NaN            NaN  0.144905                 NaN   1.53542                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        2500.00        98.3456                 NaN            NaN            NaN            NaN  0.140146                 NaN   1.51428                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        2500.00        98.3566                 NaN            NaN            NaN            NaN  0.133236                 NaN   1.51021                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        2500.00        98.4139                 NaN            NaN            NaN            NaN  0.133721                 NaN   1.45242                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        2500.00        98.4353                 NaN            NaN            NaN            NaN  0.131540                 NaN   1.43317                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        2500.00        98.4618                 NaN            NaN            NaN            NaN  0.129198                 NaN   1.40898                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        2500.00        98.4877                 NaN            NaN            NaN            NaN  0.127213                 NaN   1.38507                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        2500.00        98.5141                 NaN            NaN            NaN            NaN  0.120547                 NaN   1.36540                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        2500.00        98.5419                 NaN            NaN            NaN            NaN  0.120594                 NaN   1.33751                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        2500.00        98.5175                 NaN            NaN            NaN            NaN  0.120418                 NaN   1.36208                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        2500.00        98.6396                 NaN            NaN            NaN            NaN  0.107168                 NaN   1.25324                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        2500.00        98.6144                 NaN            NaN            NaN            NaN  0.110040                 NaN   1.27553                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        2500.00        97.8523                 NaN            NaN            NaN            NaN  0.177448                 NaN   1.97022                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        2500.00        99.4632                 NaN            NaN            NaN            NaN  0.430471E-001            NaN  0.493762                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        2500.00        98.6813                 NaN            NaN            NaN            NaN  0.101106                 NaN   1.21761                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        2500.00        98.6999                 NaN            NaN            NaN            NaN  0.105992                 NaN   1.19412                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        2500.00        98.7223                 NaN            NaN            NaN            NaN  0.879476E-001            NaN   1.18974                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        2500.00        98.7405                 NaN            NaN            NaN            NaN  0.923176E-001            NaN   1.16721                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        2500.00        98.7610                 NaN            NaN            NaN            NaN  0.901075E-001            NaN   1.14894                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        2500.00        98.7731                 NaN            NaN            NaN            NaN  0.859570E-001            NaN   1.14093                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        2500.00        98.8022                 NaN            NaN            NaN            NaN  0.855773E-001            NaN   1.11224                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        2500.00        98.8137                 NaN            NaN            NaN            NaN  0.807209E-001            NaN   1.10557                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        2500.00        98.8309                 NaN            NaN            NaN            NaN  0.794859E-001            NaN   1.08961                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        2500.00        98.8510                 NaN            NaN            NaN            NaN  0.780869E-001            NaN   1.07094                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        2500.00        98.8663                 NaN            NaN            NaN            NaN  0.744456E-001            NaN   1.05928                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        2500.00        98.8787                 NaN            NaN            NaN            NaN  0.714160E-001            NaN   1.04992                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        2500.00        98.9002                 NaN            NaN            NaN            NaN  0.603384E-001            NaN   1.03941                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        2500.00        98.9134                 NaN            NaN            NaN            NaN  0.774704E-001            NaN   1.00913                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        2500.00        98.9299                 NaN            NaN            NaN            NaN  0.661134E-001            NaN   1.00402                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        2500.00        98.9385                 NaN            NaN            NaN            NaN  0.647982E-001            NaN  0.996694                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        2500.00        98.9587                 NaN            NaN            NaN            NaN  0.591042E-001            NaN  0.982240                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
