|6.6.6
Archiving\03_Data\Dfrac/QFM_m4.5/T13/T13_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         melt(TH)       iron           Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1759.40        2500.00        99.3884                 NaN            NaN  0.602180       0.941637E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        2500.00        99.3848                 NaN            NaN  0.605803       0.942581E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        2500.00        99.3805                 NaN            NaN  0.610063       0.944455E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        2500.00        99.3791                 NaN            NaN  0.611490       0.939508E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        2500.00        99.3745                 NaN            NaN  0.616070       0.940675E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        2500.00        99.3718                 NaN            NaN  0.618783       0.940392E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        2500.00        99.3679                 NaN            NaN  0.622737       0.939784E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        2500.00        99.3643                 NaN            NaN  0.626302       0.940658E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        2500.00        99.3619                 NaN            NaN  0.628729       0.937602E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        2500.00        99.4175                 NaN            NaN  0.573994       0.849917E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        2500.00        99.9770                 NaN            NaN  0.226433E-001  0.336415E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        2500.00        98.6742                 NaN            NaN   1.30665       0.191986E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        2500.00        99.3482                 NaN            NaN  0.642464       0.936615E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        2500.00        99.3455                 NaN            NaN  0.645138       0.935756E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        2500.00        99.3411                 NaN            NaN  0.649585       0.936235E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        2500.00        99.3340                 NaN            NaN  0.656581       0.941814E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        2500.00        99.3406                 NaN            NaN  0.650122       0.925747E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        2500.00        99.3793                 NaN            NaN  0.611963       0.869078E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        2500.00        99.2833                 NaN            NaN  0.706720       0.100108E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        2500.00        99.3275                 NaN            NaN  0.663149       0.932499E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        2500.00        99.3271                 NaN            NaN  0.663645       0.928481E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        2500.00        99.3224                 NaN            NaN  0.668250       0.931204E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        2500.00        99.3202                 NaN            NaN  0.670503       0.932025E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        2500.00        99.3180                 NaN            NaN  0.672665       0.931265E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        2500.00        99.3167                 NaN            NaN  0.674057       0.928428E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        2500.00        99.3143                 NaN            NaN  0.676434       0.929438E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        2500.00        99.3123                 NaN            NaN  0.678420       0.928636E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        2500.00        99.3049                 NaN            NaN  0.685675       0.939713E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        2500.00        99.3148                 NaN            NaN  0.675982       0.917669E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        2500.00        99.3084                 NaN            NaN  0.682317       0.925646E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        2500.00        99.3021                 NaN            NaN  0.688533       0.933415E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        2500.00        99.3109                 NaN            NaN  0.679958       0.918208E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        2500.00        99.3058                 NaN            NaN  0.684966       0.924339E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        2500.00        99.3056                 NaN            NaN  0.685202       0.921840E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        2500.00        99.3052                 NaN            NaN  0.685626       0.921142E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        2500.00        99.3041                 NaN            NaN  0.686679       0.921953E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        2500.00        99.3062                 NaN            NaN  0.684610       0.917728E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        2500.00        99.3057                 NaN            NaN  0.685148       0.916850E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        2500.00        99.3058                 NaN            NaN  0.684986       0.917189E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        2500.00        99.3081                 NaN            NaN  0.682732       0.913499E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        2500.00        99.0511                 NaN            NaN  0.936288       0.125807E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        2500.00        99.5493                 NaN            NaN  0.444698       0.597530E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        2500.00        99.3277                 NaN            NaN  0.663463       0.888455E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        2500.00        99.0245                 NaN            NaN  0.559280       0.490485E-002  0.411330                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        2500.00        98.2936                 NaN            NaN  0.247220                 NaN   1.45922                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        2500.00        98.3230                 NaN            NaN  0.241898                 NaN   1.43508                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        2500.00        98.3571                 NaN            NaN  0.235818                 NaN   1.40713                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        2500.00        98.3891                 NaN            NaN  0.232330                 NaN   1.37858                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        2500.00        98.4177                 NaN            NaN  0.226497                 NaN   1.35582                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        2500.00        98.4432                 NaN            NaN  0.222915                 NaN   1.33389                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        2500.00        98.4790                 NaN            NaN  0.216842                 NaN   1.30420                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        2500.00        98.5026                 NaN            NaN  0.212211                 NaN   1.28520                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        2500.00        98.5280                 NaN            NaN  0.210368                 NaN   1.26160                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        2500.00        98.5601                 NaN            NaN  0.205194                 NaN   1.23466                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        2500.00        98.5837                 NaN            NaN  0.197461                 NaN   1.21879                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        2500.00        98.5071                 NaN            NaN  0.200158                 NaN   1.29273                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        2500.00        98.7328                 NaN            NaN  0.206252                 NaN   1.06095                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        2500.00        98.6542                 NaN            NaN  0.171686                 NaN   1.17414                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        2500.00        98.6763                 NaN            NaN  0.183006                 NaN   1.14074                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        2500.00        98.6975                 NaN            NaN  0.178818                 NaN   1.12370                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        2500.00        98.7157                 NaN            NaN  0.175780                 NaN   1.10855                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        2500.00        98.7412                 NaN            NaN  0.170777                 NaN   1.08799                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        2500.00        98.7439                 NaN            NaN  0.170985                 NaN   1.08516                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        2500.00        98.7936                 NaN            NaN  0.162401                 NaN   1.04404                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        2500.00        98.7997                 NaN            NaN  0.160058                 NaN   1.04023                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        2500.00        98.8173                 NaN            NaN  0.157018                 NaN   1.02572                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        2500.00        98.8352                 NaN            NaN  0.154189                 NaN   1.01057                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        2500.00        98.8493                 NaN            NaN  0.150283                 NaN   1.00041                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        2500.00        98.8720                 NaN            NaN  0.147578                 NaN  0.980472                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        2500.00        98.8864                 NaN            NaN  0.144841                 NaN  0.968770                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        2500.00        98.9023                 NaN            NaN  0.141017                 NaN  0.956682                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        2500.00        98.9192                 NaN            NaN  0.139578                 NaN  0.941225                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        2500.00        98.9186                 NaN            NaN  0.129324                 NaN  0.952070                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        2500.00        98.9583                 NaN            NaN  0.133553                 NaN  0.908179                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        2500.00        98.9652                 NaN            NaN  0.129211                 NaN  0.905607                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        2500.00        98.9776                 NaN            NaN  0.127059                 NaN  0.895368                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        2500.00        98.9907                 NaN            NaN  0.123816                 NaN  0.885517                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        2500.00        98.8884                 NaN            NaN  0.136647                 NaN  0.974971                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        2500.00        99.1371                 NaN            NaN  0.102439                 NaN  0.760451                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        2500.00        99.0306                 NaN            NaN  0.117895                 NaN  0.851479                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        2500.00        99.0474                 NaN            NaN  0.114687                 NaN  0.837879                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        2500.00        99.0576                 NaN            NaN  0.111480                 NaN  0.830964                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        2500.00        99.0680                 NaN            NaN  0.108592                 NaN  0.823372                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        2500.00        99.0802                 NaN            NaN  0.105250                 NaN  0.814504                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.87        2500.00        99.0924                 NaN            NaN  0.103944                 NaN  0.803661                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.37        2500.00        99.1004                 NaN            NaN  0.994893E-001            NaN  0.800132                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        2500.00        99.1148                 NaN            NaN  0.991277E-001            NaN  0.786041                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        2500.00        99.1219                 NaN            NaN  0.966732E-001            NaN  0.781430                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        2500.00        99.1348                 NaN            NaN  0.927873E-001            NaN  0.772405                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.34        2500.00        99.1463                 NaN            NaN  0.937733E-001            NaN  0.759948                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.83        2500.00        99.1540                 NaN            NaN  0.897663E-001            NaN  0.756226                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.33        2500.00        99.1650                 NaN            NaN  0.892906E-001            NaN  0.745681                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.82        2500.00        99.1720                 NaN            NaN  0.845943E-001            NaN  0.743438                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.32        2500.00        99.1814                 NaN            NaN  0.832789E-001            NaN  0.735342                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.81        2500.00        99.1795                 NaN            NaN  0.746802E-001            NaN  0.695474       0.503182E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1521.30        2500.00        98.8997                 NaN            NaN  0.331982E-001            NaN  0.374467       0.692632                 NaN            NaN            NaN            NaN            NaN            NaN
  1518.80        2500.00        99.1922                 NaN            NaN  0.170654E-002            NaN            NaN  0.806046                 NaN            NaN            NaN            NaN            NaN            NaN
  1516.29        2500.00        99.0096                 NaN            NaN  0.899379E-003            NaN  0.113512E-001  0.978138                 NaN            NaN            NaN            NaN            NaN            NaN
  1513.78        2500.00        99.0115                 NaN            NaN  0.275241E-003            NaN            NaN  0.988234                 NaN            NaN            NaN            NaN            NaN            NaN
  1511.28        2500.00        99.0145                 NaN            NaN            NaN            NaN            NaN  0.985515                 NaN            NaN            NaN            NaN            NaN            NaN
