|6.6.6
Archiving\03_Data\eqfrac/QFM_m2.25/KHA22/KHA22_3.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            Sp(TH)         ne             lc            
  1548.35        2500.00        99.5133       0.332557E-001  0.453491                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.88        2500.00        99.5183       0.466552E-001  0.435018                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.40        2500.00        99.5213       0.325565E-001  0.446115                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.92        2500.00        99.5246       0.434184E-001  0.432021                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.44        2500.00        99.5248       0.240278E-001  0.451208                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.96        2500.00        99.5346       0.374735E-001  0.427961                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.49        2500.00        99.5357       0.341610E-001  0.430123                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.01        2500.00        99.5387       0.328905E-001  0.428428                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.53        2500.00        99.5428       0.329986E-001  0.424235                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.05        2500.00        99.5455       0.333338E-001  0.421194                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.57        2500.00        99.5504       0.317482E-001  0.417858                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.10        2500.00        99.3325       0.475907E-001  0.619912                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.62        2500.00        99.7773       0.148969E-001  0.207781                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.14        2500.00        99.7663       0.189184E-001  0.214763                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.66        2500.00        99.3542       0.404150E-001  0.605422                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.18        2500.00        99.0134       0.356812E-001  0.950891                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.71        2500.00        99.9960                 NaN  0.399570E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.23        2500.00        99.6662       0.208138E-001  0.313016                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.75        2500.00        99.5734       0.272533E-001  0.399316                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.27        2500.00        99.5783       0.364112E-001  0.385325                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.79        2500.00        99.5786       0.841311E-002  0.412951                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.32        2500.00        99.7045       0.251887E-001  0.270265                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.84        2500.00        99.4599       0.290048E-001  0.511114                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.36        2500.00        99.5891       0.227810E-001  0.388162                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.88        2500.00        99.5867       0.211093E-001  0.392160                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.40        2500.00        99.5937       0.218430E-001  0.384460                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.93        2500.00        99.5940       0.206816E-001  0.385295                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.45        2500.00        99.2763       0.387143E-001  0.684954                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.97        2500.00        99.9248       0.351313E-002  0.716882E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.49        2500.00        99.6015       0.185417E-001  0.379931                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.01        2500.00        99.6048       0.188120E-001  0.376419                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.54        2500.00        99.6066       0.173503E-001  0.376021                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.06        2500.00        99.5906       0.926346E-002  0.319379       0.807674E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.58        2500.00        99.4948                 NaN  0.705104E-002  0.498178                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.10        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.62        2500.00        98.9925       0.665600E-005            NaN   1.00744                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.15        2500.00        99.4217       0.166933E-001  0.932244E-001  0.468373                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.67        2500.00        99.5857                 NaN            NaN  0.414337                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1492.19        2500.00        99.4981                 NaN            NaN  0.501895                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.71        2500.00        99.4970                 NaN            NaN  0.502968                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.23        2500.00        99.4956                 NaN            NaN  0.504393                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.75        2500.00        99.5979       0.372223E-005            NaN  0.402087                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.28        2500.00        99.3903                 NaN            NaN  0.609690                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.80        2500.00        99.4925                 NaN            NaN  0.507504                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.32        2500.00        99.4915                 NaN            NaN  0.508471                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1481.84        2500.00        99.3721                 NaN            NaN  0.207830       0.420064                 NaN            NaN            NaN            NaN            NaN            NaN
  1480.36        2500.00        99.2418                 NaN            NaN  0.443972       0.314252                 NaN            NaN            NaN            NaN            NaN            NaN
  1478.89        2500.00        99.2519                 NaN            NaN  0.437624       0.310513                 NaN            NaN            NaN            NaN            NaN            NaN
  1477.41        2500.00        99.2569                 NaN            NaN  0.308053       0.435072                 NaN            NaN            NaN            NaN            NaN            NaN
  1475.93        2500.00        99.2642                 NaN            NaN  0.305051       0.430732                 NaN            NaN            NaN            NaN            NaN            NaN
  1474.45        2500.00        99.2711                 NaN            NaN  0.427198       0.301677                 NaN            NaN            NaN            NaN            NaN            NaN
  1472.97        2500.00        99.2774                 NaN            NaN  0.423338       0.299274                 NaN            NaN            NaN            NaN            NaN            NaN
  1471.50        2500.00        99.2837                 NaN            NaN  0.296147       0.420176                 NaN            NaN            NaN            NaN            NaN            NaN
  1470.02        2500.00        99.2898                 NaN            NaN  0.293373       0.416857                 NaN            NaN            NaN            NaN            NaN            NaN
  1468.54        2500.00        99.2960                 NaN            NaN  0.413188       0.290799                 NaN            NaN            NaN            NaN            NaN            NaN
  1467.06        2500.00        99.3035       0.215067E-005            NaN  0.408733       0.287728                 NaN            NaN            NaN            NaN            NaN            NaN
  1465.58        2500.00        99.3089       0.549983E-004            NaN  0.406057       0.285005                 NaN            NaN            NaN            NaN            NaN            NaN
  1464.11        2500.00        99.3145                 NaN            NaN  0.403222       0.282250                 NaN            NaN            NaN            NaN            NaN            NaN
  1462.63        2500.00        99.3207                 NaN            NaN  0.399551       0.279781                 NaN            NaN            NaN            NaN            NaN            NaN
  1461.15        2500.00        99.3266                 NaN  0.362009E-001  0.237759       0.399419                 NaN            NaN            NaN            NaN            NaN            NaN
  1459.67        2500.00        99.3332       0.121183E-005            NaN  0.392446       0.274303                 NaN            NaN            NaN            NaN            NaN            NaN
  1458.19        2500.00        99.3376                 NaN            NaN  0.390009       0.272438                 NaN            NaN            NaN            NaN            NaN            NaN
  1456.72        2500.00        99.3434                 NaN            NaN  0.269709       0.386929                 NaN            NaN            NaN            NaN            NaN            NaN
  1455.24        2500.00        99.3488                 NaN            NaN  0.267116       0.384063                 NaN            NaN            NaN            NaN            NaN            NaN
  1453.76        2500.00        99.3538                 NaN            NaN  0.264843       0.381340                 NaN            NaN            NaN            NaN            NaN            NaN
  1452.28        2500.00        99.3595                 NaN            NaN  0.378280       0.262189                 NaN            NaN            NaN            NaN            NaN            NaN
  1450.80        2500.00        99.3646                 NaN            NaN  0.259833       0.375561                 NaN            NaN            NaN            NaN            NaN            NaN
  1449.33        2500.00        99.3698                 NaN            NaN  0.257508       0.372666                 NaN            NaN            NaN            NaN            NaN            NaN
  1447.85        2500.00        98.9791                 NaN            NaN  0.417414       0.603485                 NaN            NaN            NaN            NaN            NaN            NaN
  1446.37        2500.00        99.7757                 NaN            NaN  0.916814E-001  0.132667                 NaN            NaN            NaN            NaN            NaN            NaN
  1444.89        2500.00        99.3834                 NaN            NaN  0.250441       0.366202                 NaN            NaN            NaN            NaN            NaN            NaN
  1443.41        2500.00        99.3904                 NaN            NaN  0.361294       0.248292                 NaN            NaN            NaN            NaN            NaN            NaN
  1441.94        2500.00        99.3941                 NaN            NaN  0.246193       0.359696                 NaN            NaN            NaN            NaN            NaN            NaN
  1440.46        2500.00        99.3989                 NaN            NaN  0.244395       0.356657                 NaN            NaN            NaN            NaN            NaN            NaN
  1438.98        2500.00        99.4019                 NaN            NaN  0.242038       0.356046                 NaN            NaN            NaN            NaN            NaN            NaN
  1437.50        2500.00        99.4089                 NaN            NaN  0.239531       0.351545                 NaN            NaN            NaN            NaN            NaN            NaN
  1436.02        2500.00        99.4124       0.159987E-005            NaN  0.237516       0.350096                 NaN            NaN            NaN            NaN            NaN            NaN
  1434.55        2500.00        99.4161                 NaN            NaN  0.348258       0.235650                 NaN            NaN            NaN            NaN            NaN            NaN
  1433.07        2500.00        99.4208                 NaN            NaN  0.233472       0.345681                 NaN            NaN            NaN            NaN            NaN            NaN
  1431.59        2500.00        98.8274                 NaN            NaN  0.361454       0.488755       0.322342                 NaN            NaN            NaN            NaN            NaN
  1430.11        2500.00        98.5571                 NaN            NaN  0.605476       0.363947       0.473434                 NaN            NaN            NaN            NaN            NaN
  1428.63        2500.00        98.5828                 NaN            NaN  0.595134       0.356948       0.465168                 NaN            NaN            NaN            NaN            NaN
  1427.16        2500.00        98.6062       0.197106E-001            NaN  0.355020       0.557661       0.461382                 NaN            NaN            NaN            NaN            NaN
  1425.68        2500.00        98.6215       0.120253                 NaN  0.409226       0.373175       0.475892                 NaN            NaN            NaN            NaN            NaN
  1424.20        2500.00        98.6489       0.981967E-001            NaN  0.429123       0.361109       0.462676                 NaN            NaN            NaN            NaN            NaN
  1422.72        2500.00        98.6706       0.139150                 NaN  0.365327       0.361674       0.463247                 NaN            NaN            NaN            NaN            NaN
  1421.24        2500.00        98.6943       0.116932                 NaN  0.354014       0.383382       0.451380                 NaN            NaN            NaN            NaN            NaN
  1419.76        2500.00        98.7169       0.115683                 NaN  0.348226       0.375354       0.443840                 NaN            NaN            NaN            NaN            NaN
  1418.29        2500.00        98.7401       0.114639                 NaN  0.367203       0.342062       0.436032                 NaN            NaN            NaN            NaN            NaN
  1416.81        2500.00        98.7616       0.113371                 NaN  0.336241       0.360078       0.428752                 NaN            NaN            NaN            NaN            NaN
  1415.33        2500.00        98.7826       0.112320                 NaN  0.330486       0.352792       0.421770                 NaN            NaN            NaN            NaN            NaN
  1413.85        2500.00        98.8040       0.111443                 NaN  0.345102       0.325049       0.414423                 NaN            NaN            NaN            NaN            NaN
  1412.37        2500.00        98.8232       0.110280                 NaN  0.319820       0.338752       0.407969                 NaN            NaN            NaN            NaN            NaN
  1410.90        2500.00        98.8709       0.107021                 NaN  0.307479       0.322872       0.391752                 NaN            NaN            NaN            NaN            NaN
  1409.42        2500.00        98.8319       0.110819                 NaN  0.334824       0.317424       0.405042                 NaN            NaN            NaN            NaN            NaN
  1407.94        2500.00        98.8809       0.107221                 NaN  0.319280       0.304166       0.388437                 NaN            NaN            NaN            NaN            NaN
  1406.46        2500.00        98.8987       0.106232                 NaN  0.313182       0.299601       0.382313                 NaN            NaN            NaN            NaN            NaN
  1404.98        2500.00        98.9165       0.105339                 NaN  0.306453       0.295427       0.376275                 NaN            NaN            NaN            NaN            NaN
  1403.51        2500.00        98.9332       0.104531                 NaN  0.300849       0.290815       0.370620                 NaN            NaN            NaN            NaN            NaN
  1402.03        2500.00        98.9505       0.103239                 NaN  0.295873       0.285690       0.364696                 NaN            NaN            NaN            NaN            NaN
  1400.55        2500.00        98.9670       0.102293                 NaN  0.281633       0.290026       0.359066                 NaN            NaN            NaN            NaN            NaN
  1399.07        2500.00        98.9855       0.103105                 NaN  0.276814       0.280670       0.353959                 NaN            NaN            NaN            NaN            NaN
  1397.59        2500.00        99.2529       0.763487E-001            NaN  0.201762       0.209187       0.259790                 NaN            NaN            NaN            NaN            NaN
  1396.12        2500.00        98.7551       0.122317                 NaN  0.352817       0.337986       0.431801                 NaN            NaN            NaN            NaN            NaN
  1394.64        2500.00        99.0273       0.990398E-001            NaN  0.265527       0.269619       0.338490                 NaN            NaN            NaN            NaN            NaN
  1393.16        2500.00        99.0429       0.976673E-001            NaN  0.265345       0.261015       0.333026                 NaN            NaN            NaN            NaN            NaN
  1391.68        2500.00        99.0563       0.969273E-001            NaN  0.257464       0.260839       0.328447                 NaN            NaN            NaN            NaN            NaN
  1390.20        2500.00        99.0701       0.961975E-001            NaN  0.254096       0.255919       0.323715                 NaN            NaN            NaN            NaN            NaN
  1388.73        2500.00        99.0826       0.957150E-001            NaN  0.250948       0.251260       0.319471                 NaN            NaN            NaN            NaN            NaN
  1387.25        2500.00        99.0983       0.940540E-001            NaN  0.245903       0.248023       0.313730                 NaN            NaN            NaN            NaN            NaN
  1385.77        2500.00        99.1097       0.933252E-001            NaN  0.243287       0.243703       0.309959                 NaN            NaN            NaN            NaN            NaN
  1384.29        2500.00        99.1226       0.924858E-001            NaN  0.239139       0.240100       0.305660                 NaN            NaN            NaN            NaN            NaN
  1382.81        2500.00        99.1357       0.916835E-001            NaN  0.235461       0.236247       0.300954                 NaN            NaN            NaN            NaN            NaN
  1381.34        2500.00        99.1470       0.908405E-001            NaN  0.231697       0.233413       0.297071                 NaN            NaN            NaN            NaN            NaN
  1379.86        2500.00        99.1595       0.899839E-001            NaN  0.229960       0.227976       0.292626                 NaN            NaN            NaN            NaN            NaN
  1378.38        2500.00        99.1703       0.889110E-001            NaN  0.224835       0.226682       0.289251                 NaN            NaN            NaN            NaN            NaN
  1376.90        2500.00        99.0137       0.106647                 NaN  0.266611       0.269233       0.343776                 NaN            NaN            NaN            NaN            NaN
  1375.42        2500.00        99.3676       0.686511E-001            NaN  0.169779       0.174348       0.219656                 NaN            NaN            NaN            NaN            NaN
  1373.95        2500.00        99.2045       0.865926E-001            NaN  0.217457       0.214492       0.276987                 NaN            NaN            NaN            NaN            NaN
  1372.47        2500.00        99.2030       0.209142                 NaN  0.294054                 NaN  0.293790                 NaN            NaN            NaN            NaN            NaN
  1370.99        2500.00        99.2416                 NaN            NaN  0.142878       0.360691       0.254802                 NaN            NaN            NaN            NaN            NaN
  1369.51        2500.00        99.2312       0.462299E-001            NaN  0.196806       0.264893       0.260888                 NaN            NaN            NaN            NaN            NaN
  1368.03        2500.00        99.2460       0.815636E-001            NaN  0.205289       0.205258       0.261907                 NaN            NaN            NaN            NaN            NaN
  1366.56        2500.00        99.2557       0.823553E-001            NaN  0.203204       0.199739       0.259008                 NaN            NaN            NaN            NaN            NaN
  1365.08        2500.00        99.2650       0.812400E-001            NaN  0.200914       0.197288       0.255516                 NaN            NaN            NaN            NaN            NaN
  1363.60        2500.00        99.2742       0.806799E-001            NaN  0.198706       0.194053       0.252342                 NaN            NaN            NaN            NaN            NaN
  1362.12        2500.00        99.2837       0.797522E-001            NaN  0.195807       0.191782       0.248987                 NaN            NaN            NaN            NaN            NaN
  1360.64        2500.00        99.2908       0.793076E-001            NaN  0.189431       0.193599       0.246891                 NaN            NaN            NaN            NaN            NaN
  1359.16        2500.00        98.9640       0.116883                 NaN  0.276086       0.282626       0.360355                 NaN            NaN            NaN            NaN            NaN
  1357.69        2500.00        99.6505       0.378625E-001            NaN  0.948345E-001  0.967489E-001  0.120045                 NaN            NaN            NaN            NaN            NaN
  1356.21        2500.00        99.3189       0.763172E-001            NaN  0.185954       0.182357       0.236513                 NaN            NaN            NaN            NaN            NaN
  1354.73        2500.00        99.3274       0.754969E-001            NaN  0.183515       0.180109       0.233437                 NaN            NaN            NaN            NaN            NaN
  1353.25        2500.00        99.3354       0.747593E-001            NaN  0.181467       0.177764       0.230600                 NaN            NaN            NaN            NaN            NaN
  1351.77        2500.00        99.3442       0.735377E-001            NaN  0.178483       0.176362       0.227414                 NaN            NaN            NaN            NaN            NaN
  1350.30        2500.00        99.3517       0.728769E-001            NaN  0.173948       0.176775       0.224718                 NaN            NaN            NaN            NaN            NaN
  1348.82        2500.00        99.3594       0.724344E-001            NaN  0.174725       0.171420       0.222018                 NaN            NaN            NaN            NaN            NaN
  1347.34        2500.00        99.3676       0.709436E-001            NaN  0.170131       0.172427       0.218868                 NaN            NaN            NaN            NaN            NaN
  1345.86        2500.00        99.3745       0.704064E-001            NaN  0.168372       0.170138       0.216541                 NaN            NaN            NaN            NaN            NaN
  1344.38        2500.00        99.3809       0.695502E-001            NaN  0.166864       0.168325       0.214313                 NaN            NaN            NaN            NaN            NaN
  1342.91        2500.00        99.3862       0.715785E-001            NaN  0.168811       0.160044       0.213323                 NaN            NaN            NaN            NaN            NaN
  1341.43        2500.00        99.4008       0.633121E-001            NaN  0.169175       0.161025       0.205682                 NaN            NaN            NaN            NaN            NaN
  1339.95        2500.00        99.4031       0.664713E-001            NaN  0.161773       0.162519       0.206111                 NaN            NaN            NaN            NaN            NaN
  1338.47        2500.00        99.4105       0.660051E-001            NaN  0.159524       0.160333       0.203592                 NaN            NaN            NaN            NaN            NaN
  1336.99        2500.00        99.4170       0.645225E-001            NaN  0.157791       0.159748       0.200940                 NaN            NaN            NaN            NaN            NaN
  1335.52        2500.00        99.4218       0.651442E-001            NaN  0.156575       0.156731       0.199715                 NaN            NaN            NaN            NaN            NaN
  1334.04        2500.00        99.4322       0.619717E-001            NaN  0.152810       0.157691       0.195311                 NaN            NaN            NaN            NaN            NaN
  1332.56        2500.00        99.4362       0.618822E-001            NaN  0.151925       0.156023       0.194016                 NaN            NaN            NaN            NaN            NaN
  1331.08        2500.00        99.4430       0.611078E-001            NaN  0.154271       0.150058       0.191539                 NaN            NaN            NaN            NaN            NaN
  1329.60        2500.00        99.4454       0.603228E-001            NaN  0.154838       0.148454       0.190941                 NaN            NaN            NaN            NaN            NaN
  1328.13        2500.00        99.4572       0.582723E-001            NaN  0.152211       0.146417       0.185868                 NaN            NaN            NaN            NaN            NaN
  1326.65        2500.00        99.4608       0.584414E-001            NaN  0.144793       0.150986       0.184987                 NaN            NaN            NaN            NaN            NaN
  1325.17        2500.00        99.4667       0.575149E-001            NaN  0.142674       0.150164       0.182904                 NaN            NaN            NaN            NaN            NaN
  1323.69        2500.00        99.4724       0.562154E-001            NaN  0.141008       0.149754       0.180621                 NaN            NaN            NaN            NaN            NaN
  1322.21        2500.00        99.4777       0.553927E-001            NaN  0.139440       0.148762       0.178723                 NaN            NaN            NaN            NaN            NaN
  1320.74        2500.00        99.4834       0.544460E-001            NaN  0.137487       0.148032       0.176634                 NaN            NaN            NaN            NaN            NaN
  1319.26        2500.00        99.4887       0.584924E-001            NaN  0.138398       0.138187       0.176240                 NaN            NaN            NaN            NaN            NaN
  1317.78        2500.00        99.4936       0.484242E-001            NaN  0.155410       0.130758       0.171790                 NaN            NaN            NaN            NaN            NaN
  1316.30        2500.00        82.4540        1.45980                 NaN   1.93921       0.339643        2.21521        11.5922                 NaN            NaN            NaN            NaN
  1314.82        2500.00        81.4404        1.58886                 NaN  0.198978        2.11279        2.33185        12.3271                 NaN            NaN            NaN            NaN
  1313.35        2500.00        84.0231        1.41249                 NaN   1.89467       0.439965E-001   2.01802        10.6078                 NaN            NaN            NaN            NaN
  1311.87        2500.00        86.0354        1.24502                 NaN   1.69271                 NaN   1.77285        9.25405                 NaN            NaN            NaN            NaN
  1310.39        2500.00        87.6602        1.10038                 NaN   1.50799                 NaN   1.57405        8.15741                 NaN            NaN            NaN            NaN
  1308.91        2500.00        88.9895       0.980850                 NaN   1.35957                 NaN   1.41150        7.25863                 NaN            NaN            NaN            NaN
  1307.43        2500.00        90.0985       0.884413                 NaN   1.23075                 NaN   1.27557        6.51071                 NaN            NaN            NaN            NaN
  1305.96        2500.00        91.0373       0.802642                 NaN   1.12236                 NaN   1.16012        5.87757                 NaN            NaN            NaN            NaN
  1304.48        2500.00        91.8450       0.732103                 NaN   1.02875                 NaN   1.06028        5.33387                 NaN            NaN            NaN            NaN
  1303.00        2500.00        92.5392       0.673178                 NaN  0.945636                 NaN  0.974106        4.86788                 NaN            NaN            NaN            NaN
  1301.52        2500.00        93.1325       0.620582                 NaN  0.879747                 NaN  0.901111        4.46608                 NaN            NaN            NaN            NaN
  1300.04        2500.00        93.6538       0.576149                 NaN  0.818095                 NaN  0.836298        4.11569                 NaN            NaN            NaN            NaN
  1298.57        2500.00        94.1127       0.535496                 NaN  0.767342                 NaN  0.779377        3.80513                 NaN            NaN            NaN            NaN
  1297.09        2500.00        94.5179       0.500488                 NaN  0.720247                 NaN  0.728705        3.53265                 NaN            NaN            NaN            NaN
  1295.61        2500.00        94.8761       0.468675                 NaN  0.681622                 NaN  0.684220        3.28941                 NaN            NaN            NaN            NaN
  1294.13        2500.00        95.1959       0.440665                 NaN  0.645976                 NaN  0.644179        3.07331                 NaN            NaN            NaN            NaN
  1292.65        2500.00        95.4737       0.416204                 NaN  0.617099                 NaN  0.609847        2.88315                 NaN            NaN            NaN            NaN
  1291.17        2500.00        95.7367       0.392387                 NaN  0.588172                 NaN  0.576330        2.70637                 NaN            NaN            NaN            NaN
  1289.70        2500.00        95.1401       0.406027                 NaN  0.664875                 NaN  0.652275        3.07889       0.578784E-001            NaN            NaN            NaN
  1288.22        2500.00        93.5491       0.456941                 NaN  0.860646                 NaN  0.852770        4.08687       0.193646                 NaN            NaN            NaN
  1286.74        2500.00        94.0968       0.422535                 NaN  0.791265                 NaN  0.781556        3.73022       0.177598                 NaN            NaN            NaN
  1285.26        2500.00        94.5651       0.392529                 NaN  0.732809                 NaN  0.720798        3.42501       0.163750                 NaN            NaN            NaN
  1283.78        2500.00        94.9674       0.366100                 NaN  0.683246                 NaN  0.668414        3.16302       0.151788                 NaN            NaN            NaN
  1282.31        2500.00        95.3125       0.343420                 NaN  0.641895                 NaN  0.623741        2.93714       0.141296                 NaN            NaN            NaN
  1280.83        2500.00        95.6178       0.322414                 NaN  0.605914                 NaN  0.583722        2.73795       0.132158                 NaN            NaN            NaN
  1279.35        2500.00        95.8917       0.302712                 NaN  0.572733                 NaN  0.548227        2.56070       0.123925                 NaN            NaN            NaN
  1277.87        2500.00        95.9806       0.298863                 NaN  0.559210                 NaN  0.536800        2.50290       0.121589                 NaN            NaN            NaN
  1276.39        2500.00        96.1621       0.264177                 NaN  0.550702                 NaN  0.510552        2.39398       0.118473                 NaN            NaN            NaN
  1274.92        2500.00        96.2852       0.168176                 NaN  0.602623                 NaN  0.458937        2.29741                 NaN  0.187658                 NaN            NaN
  1273.44        2500.00        95.9987       0.150031                 NaN  0.654619                 NaN  0.489172        2.49406                 NaN  0.213426                 NaN            NaN
  1271.96        2500.00        96.3398       0.133596                 NaN  0.607519                 NaN  0.444472        2.27805                 NaN  0.196559                 NaN            NaN
  1270.48        2500.00        96.4288       0.133416                 NaN  0.592477                 NaN  0.434136        2.22036                 NaN  0.190810                 NaN            NaN
  1269.00        2500.00        96.3005       0.138426                 NaN  0.612633                 NaN  0.453900        2.29071                 NaN  0.203844                 NaN            NaN
