|6.6.6
Archiving\03_Data\DfracLP/QFM_m2.5/K22/K22_3.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          16
T(K)           P(bar)         melt(TH)       melt(TH)       Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1892.23        500.000        98.9376                 NaN            NaN   1.04173       0.206951E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        500.000        99.9416                 NaN            NaN  0.572731E-001  0.108941E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        500.000        99.4658                 NaN            NaN  0.523804       0.104128E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        500.000        99.4456                 NaN            NaN  0.543614       0.108294E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        500.000        99.4538                 NaN            NaN  0.535458       0.106951E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        500.000        99.2963                 NaN            NaN  0.689791       0.139128E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        500.000        99.7085                 NaN            NaN  0.285836       0.571167E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        500.000        99.3758                 NaN            NaN  0.611847       0.123306E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        500.000        99.4691                 NaN            NaN  0.520440       0.104697E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        500.000        99.4687                 NaN            NaN  0.520760       0.105036E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        500.000        99.4720                 NaN            NaN  0.517524       0.104741E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        500.000        99.4739                 NaN            NaN  0.515701       0.104428E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        500.000        99.4765                 NaN            NaN  0.513086       0.103901E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        500.000        99.4781                 NaN            NaN  0.511559       0.103902E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        500.000        99.4806                 NaN            NaN  0.509074       0.103335E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        500.000        99.2995                 NaN            NaN  0.686544       0.139591E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        500.000        99.6620                 NaN            NaN  0.331299       0.665817E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        500.000        99.4892                 NaN            NaN  0.500632       0.101454E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        500.000        99.4877                 NaN            NaN  0.502083       0.102065E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        500.000        99.4886                 NaN            NaN  0.501199       0.101770E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        500.000        99.4898                 NaN            NaN  0.500051       0.101606E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        500.000        99.4924                 NaN            NaN  0.497518       0.100980E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        500.000        99.4927                 NaN            NaN  0.497234       0.101056E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        500.000        99.4933                 NaN            NaN  0.496592       0.100696E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        500.000        99.4951                 NaN            NaN  0.494827       0.100270E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        500.000        99.4953                 NaN            NaN  0.494666       0.100228E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        500.000        99.4961                 NaN            NaN  0.493899       0.997459E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        500.000        99.4974                 NaN            NaN  0.492699       0.994719E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        500.000        99.4972                 NaN            NaN  0.492873       0.992923E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        500.000        99.4972                 NaN            NaN  0.492922       0.990681E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        500.000        99.4987                 NaN            NaN  0.491449       0.986510E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        500.000        99.4979                 NaN            NaN  0.492275       0.985469E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        500.000        99.4978                 NaN            NaN  0.492362       0.983647E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        500.000        99.4983                 NaN            NaN  0.491904       0.979496E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        500.000        99.4978                 NaN            NaN  0.492398       0.978564E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        500.000        99.4972                 NaN            NaN  0.493007       0.976496E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        500.000        99.4972                 NaN            NaN  0.493028       0.973037E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        500.000        99.4966                 NaN            NaN  0.493718       0.970205E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        500.000        99.4947                 NaN            NaN  0.495536       0.972309E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        500.000        99.4960                 NaN            NaN  0.494343       0.964483E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        500.000        99.4944                 NaN            NaN  0.495945       0.964109E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        500.000        99.4457                 NaN            NaN  0.543722       0.105609E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        500.000        99.5402                 NaN            NaN  0.451129       0.868538E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        500.000        99.4902                 NaN            NaN  0.500166       0.964141E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        500.000        99.4918                 NaN            NaN  0.498711       0.952068E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        500.000        99.4881                 NaN            NaN  0.502316       0.955194E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        500.000        99.5055                 NaN            NaN  0.485259       0.920269E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        500.000        99.4664                 NaN            NaN  0.523776       0.984574E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        500.000        99.4829                 NaN            NaN  0.507627       0.951999E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        500.000        99.4827                 NaN            NaN  0.507818       0.945432E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        500.000        99.5298                 NaN            NaN  0.461696       0.855002E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        500.000        99.4272                 NaN            NaN  0.562444       0.103598E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        500.000        99.4769                 NaN            NaN  0.513727       0.941687E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        500.000        99.4739                 NaN            NaN  0.516702       0.942486E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        500.000        99.5740                 NaN            NaN  0.418390       0.760045E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        500.000        99.7566                 NaN            NaN  0.239091       0.433432E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        500.000        99.0786                 NaN            NaN  0.905149       0.162268E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        500.000        99.4645                 NaN            NaN  0.526166       0.936231E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        500.000        99.4605                 NaN            NaN  0.530184       0.935243E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        500.000        99.4612                 NaN            NaN  0.529524       0.929625E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        500.000        99.4558                 NaN            NaN  0.534864       0.932218E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        500.000        99.4542                 NaN            NaN  0.536535       0.929610E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        500.000        99.4832                 NaN            NaN  0.508085       0.876042E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        500.000        99.4160                 NaN            NaN  0.574202       0.983237E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        500.000        99.4478                 NaN            NaN  0.542918       0.923922E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        500.000        99.0426                 NaN            NaN  0.941587       0.157894E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        500.000        99.8402                 NaN            NaN  0.157207       0.261707E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        500.000        99.4362                 NaN            NaN  0.554564       0.923459E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        500.000        99.4302                 NaN            NaN  0.560490       0.931174E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        500.000        99.0137                 NaN            NaN  0.970286       0.160516E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        500.000        99.9031                 NaN            NaN  0.954600E-001  0.144323E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        500.000        99.3732                 NaN            NaN  0.616785       0.100436E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        500.000        99.4240                 NaN            NaN  0.566844       0.915144E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        500.000        99.4187                 NaN            NaN  0.572116       0.920463E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        500.000        99.4253                 NaN            NaN  0.565682       0.900746E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        500.000        99.4010                 NaN            NaN  0.589623       0.936191E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        500.000        99.4147                 NaN            NaN  0.576184       0.908292E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        500.000        99.1540                 NaN            NaN  0.832949       0.130202E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        500.000        99.6594                 NaN            NaN  0.335401       0.522079E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        500.000        99.4019                 NaN            NaN  0.588934       0.912594E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        500.000        99.3978                 NaN            NaN  0.593037       0.914386E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        500.000        99.3976                 NaN            NaN  0.593321       0.909774E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        500.000        99.3966                 NaN            NaN  0.594344       0.907127E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        500.000        97.9512                 NaN            NaN   2.01837       0.304270E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        500.000        99.9982                 NaN            NaN            NaN  0.175475E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        500.000        99.6224                 NaN            NaN  0.373772       0.380461E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        500.000        99.3823                 NaN            NaN  0.608576       0.908019E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        500.000        99.3827                 NaN            NaN  0.608254       0.903696E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        500.000        99.3801                 NaN            NaN  0.610860       0.904070E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        500.000        99.3784                 NaN            NaN  0.612582       0.903080E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        500.000        99.3766                 NaN            NaN  0.614417       0.902082E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        500.000        99.3742                 NaN            NaN  0.616716       0.903842E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        500.000        99.3762                 NaN            NaN  0.614824       0.897097E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        500.000        99.3729                 NaN            NaN  0.618080       0.900462E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        500.000        99.3730                 NaN            NaN  0.618027       0.898594E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        500.000        99.3694                 NaN            NaN  0.621571       0.901957E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        500.000        99.3746                 NaN            NaN  0.616539       0.890964E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        500.000        99.3712                 NaN            NaN  0.619839       0.893852E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        500.000        99.3709                 NaN            NaN  0.620158       0.891948E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        500.000        99.3718                 NaN            NaN  0.619282       0.890921E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        500.000        99.3715                 NaN            NaN  0.619637       0.890202E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        500.000        99.3720                 NaN            NaN  0.619145       0.889086E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        500.000        99.3955                 NaN            NaN  0.595897       0.858368E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        500.000        99.3519                 NaN            NaN  0.638953       0.916427E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        500.000        99.3724                 NaN            NaN  0.618716       0.889376E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        500.000        99.3778                 NaN            NaN  0.613414       0.878266E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        500.000        99.3779                 NaN            NaN  0.613257       0.879745E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        500.000        99.3790                 NaN            NaN  0.612219       0.878703E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        500.000        99.3777                 NaN            NaN  0.613548       0.879079E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        500.000        99.3840                 NaN            NaN  0.607321       0.871861E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        500.000        99.3053                 NaN            NaN  0.561981       0.727181E-002  0.125471                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        500.000        98.4152                 NaN            NaN  0.784537E-001            NaN   1.50638                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        500.000        98.4455                 NaN            NaN  0.765457E-001            NaN   1.47799                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        500.000        98.4754                 NaN            NaN  0.709777E-001            NaN   1.45362                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        500.000        98.4877                 NaN            NaN  0.674475E-001            NaN   1.44484                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        500.000        98.5413                 NaN            NaN  0.657262E-001            NaN   1.39301                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        500.000        97.2387                 NaN            NaN  0.112096                 NaN   2.64923                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        500.000        99.8050                 NaN            NaN  0.114423E-001            NaN  0.183607                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        500.000        98.7222                 NaN            NaN  0.528523E-001            NaN   1.22491                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        500.000        98.6287                 NaN            NaN  0.517931E-001            NaN   1.31950                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        500.000        98.6608                 NaN            NaN  0.501580E-001            NaN   1.28901                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        500.000        98.6501                 NaN            NaN  0.561193E-001            NaN   1.29378                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        500.000        98.7388                 NaN            NaN  0.464844E-001            NaN   1.21467                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        500.000        98.7239                 NaN            NaN  0.423548E-001            NaN   1.23376                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        500.000        98.7363                 NaN            NaN  0.424095E-001            NaN   1.22131                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        500.000        98.7619                 NaN            NaN  0.361437E-001            NaN   1.20199                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        500.000        98.8013                 NaN            NaN  0.361270E-001            NaN   1.16262                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        500.000        98.8040                 NaN            NaN  0.306554E-001            NaN   1.16536                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        500.000        98.8195                 NaN            NaN  0.285651E-001            NaN   1.15194                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        500.000        98.3841                 NaN            NaN  0.122869E-001            NaN   1.60364                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        500.000        99.3104                 NaN            NaN  0.285471E-001            NaN  0.661099                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        500.000        98.8765                 NaN            NaN  0.257147E-001            NaN   1.09778                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        500.000        98.8944                 NaN            NaN  0.218650E-001            NaN   1.08373                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        500.000        98.9157                 NaN            NaN  0.199601E-001            NaN   1.06431                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        500.000        98.9246                 NaN            NaN  0.166026E-001            NaN   1.05879                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        500.000        98.9441                 NaN            NaN  0.153247E-001            NaN   1.04054                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.87        500.000        98.9571                 NaN            NaN  0.130675E-001            NaN   1.02982                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.37        500.000        98.9718                 NaN            NaN  0.110846E-001            NaN   1.01712                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        500.000        98.9743                 NaN            NaN  0.121865E-001            NaN   1.01355                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        500.000        99.0095                 NaN            NaN  0.705723E-003            NaN  0.989826                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        500.000        99.0111                 NaN            NaN  0.276062E-002            NaN  0.986098                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.34        500.000        99.0256                 NaN            NaN  0.376666E-002            NaN  0.970585                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.83        500.000        99.0461                 NaN            NaN  0.389063E-001            NaN  0.914966                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
