|6.6.6
Archiving\03_Data\eqfrac/QFM_m3.25/Y98/Y98_1.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          16
T(K)           P(bar)         melt(TH)       melt(TH)       melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        O(HP)          Sp(TH)         an             ilm            San(TH)        q              hed           
  1452.99        2500.00        99.1954                 NaN            NaN  0.539411       0.263707                 NaN            NaN  0.147122E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1451.77        2500.00        99.1984                 NaN            NaN  0.542585       0.247677                 NaN            NaN  0.113103E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1450.55        2500.00        99.2017                 NaN            NaN  0.540236       0.246989                 NaN            NaN  0.110325E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1449.33        2500.00        98.5700                 NaN            NaN  0.643960       0.368982                 NaN            NaN  0.126794                 NaN  0.290271                 NaN            NaN            NaN            NaN
  1448.11        2500.00        97.7520                 NaN            NaN  0.567690       0.758632                 NaN            NaN  0.250507                 NaN  0.671136                 NaN            NaN            NaN            NaN
  1446.89        2500.00        97.7459                 NaN            NaN  0.782394       0.463294                 NaN            NaN  0.323203                 NaN  0.685226                 NaN            NaN            NaN            NaN
  1445.67        2500.00        97.8008                 NaN            NaN  0.492136       0.758416                 NaN            NaN  0.285504                 NaN  0.663097                 NaN            NaN            NaN            NaN
  1444.44        2500.00        97.8340                 NaN            NaN  0.477693       0.749932                 NaN            NaN  0.284986                 NaN  0.653401                 NaN            NaN            NaN            NaN
  1443.22        2500.00        97.8698                 NaN            NaN  0.741189       0.462286                 NaN            NaN  0.284108                 NaN  0.642614                 NaN            NaN            NaN            NaN
  1442.00        2500.00        97.9025                 NaN            NaN  0.733002       0.447990                 NaN            NaN  0.283433                 NaN  0.633118                 NaN            NaN            NaN            NaN
  1440.78        2500.00        97.9344                 NaN            NaN  0.434296       0.724838                 NaN            NaN  0.282892                 NaN  0.623540                 NaN            NaN            NaN            NaN
  1439.56        2500.00        97.9637                 NaN            NaN  0.718866       0.418453                 NaN            NaN  0.283831                 NaN  0.615148                 NaN            NaN            NaN            NaN
  1438.34        2500.00        97.9968                 NaN            NaN  0.408933       0.709177                 NaN            NaN  0.280089                 NaN  0.604953                 NaN            NaN            NaN            NaN
  1437.12        2500.00        98.0031                 NaN            NaN  0.397084       0.708348                 NaN            NaN  0.285652                 NaN  0.605850                 NaN            NaN            NaN            NaN
  1435.90        2500.00        98.0702                 NaN            NaN  0.374427       0.697522                 NaN            NaN  0.276911                 NaN  0.580982                 NaN            NaN            NaN            NaN
  1434.68        2500.00        98.0796                 NaN            NaN  0.690988       0.368187                 NaN            NaN  0.280455                 NaN  0.580774                 NaN            NaN            NaN            NaN
  1433.46        2500.00        98.1084                 NaN            NaN  0.684445       0.355034                 NaN            NaN  0.279764                 NaN  0.572342                 NaN            NaN            NaN            NaN
  1432.23        2500.00        98.1344                 NaN            NaN  0.343104       0.678223                 NaN            NaN  0.279510                 NaN  0.564796                 NaN            NaN            NaN            NaN
  1431.01        2500.00        98.1641                 NaN            NaN  0.332912       0.669370                 NaN            NaN  0.278305                 NaN  0.555324                 NaN            NaN            NaN            NaN
  1429.79        2500.00        98.1832                 NaN            NaN  0.321581       0.666590                 NaN            NaN  0.278929                 NaN  0.549728                 NaN            NaN            NaN            NaN
  1428.57        2500.00        98.2095                 NaN            NaN  0.310306       0.659450                 NaN            NaN  0.278553                 NaN  0.542176                 NaN            NaN            NaN            NaN
  1427.35        2500.00        98.2340                 NaN            NaN  0.298817       0.655127                 NaN            NaN  0.277512                 NaN  0.534517                 NaN            NaN            NaN            NaN
  1426.13        2500.00        98.2556                 NaN            NaN  0.650647       0.287698                 NaN            NaN  0.277705                 NaN  0.528367                 NaN            NaN            NaN            NaN
  1424.91        2500.00        98.2783                 NaN            NaN  0.644978       0.277752                 NaN            NaN  0.277562                 NaN  0.521417                 NaN            NaN            NaN            NaN
  1423.69        2500.00        98.2998                 NaN            NaN  0.266254       0.641702                 NaN            NaN  0.277100                 NaN  0.515101                 NaN            NaN            NaN            NaN
  1422.47        2500.00        98.3217                 NaN            NaN  0.636184       0.256638                 NaN            NaN  0.276999                 NaN  0.508480                 NaN            NaN            NaN            NaN
  1421.25        2500.00        98.3426                 NaN            NaN  0.632360       0.245949                 NaN            NaN  0.276666                 NaN  0.502445                 NaN            NaN            NaN            NaN
  1420.02        2500.00        98.3625                 NaN            NaN  0.628331       0.236989                 NaN            NaN  0.276044                 NaN  0.496118                 NaN            NaN            NaN            NaN
  1418.80        2500.00        98.3632                 NaN            NaN  0.233755       0.627200                 NaN            NaN  0.278804                 NaN  0.497033                 NaN            NaN            NaN            NaN
  1417.58        2500.00        98.4262                 NaN            NaN  0.210503       0.614137                 NaN            NaN  0.272674                 NaN  0.476455                 NaN            NaN            NaN            NaN
  1416.36        2500.00        98.4171                 NaN            NaN  0.618645       0.207572                 NaN            NaN  0.276955                 NaN  0.479720                 NaN            NaN            NaN            NaN
  1415.14        2500.00        98.4434                 NaN            NaN  0.200700       0.610275                 NaN            NaN  0.273984                 NaN  0.471612                 NaN            NaN            NaN            NaN
  1413.92        2500.00        98.4578                 NaN            NaN  0.608858       0.190712                 NaN            NaN  0.275203                 NaN  0.467449                 NaN            NaN            NaN            NaN
  1412.70        2500.00        98.4750                 NaN            NaN  0.605486       0.182393                 NaN            NaN  0.274968                 NaN  0.462182                 NaN            NaN            NaN            NaN
  1411.48        2500.00        98.4900                 NaN            NaN  0.604474       0.172803                 NaN            NaN  0.274781                 NaN  0.457903                 NaN            NaN            NaN            NaN
  1410.26        2500.00        98.5109                 NaN            NaN  0.599420       0.164556                 NaN            NaN  0.273907                 NaN  0.451225                 NaN            NaN            NaN            NaN
  1409.04        2500.00        98.5252                 NaN            NaN  0.597731       0.155618                 NaN            NaN  0.274479                 NaN  0.447017                 NaN            NaN            NaN            NaN
  1407.81        2500.00        98.5436                 NaN            NaN  0.592733       0.149465                 NaN            NaN  0.272999                 NaN  0.441159                 NaN            NaN            NaN            NaN
  1406.59        2500.00        98.5578                 NaN            NaN  0.591453       0.140333                 NaN            NaN  0.273415                 NaN  0.437033                 NaN            NaN            NaN            NaN
  1405.37        2500.00        98.5749                 NaN            NaN  0.132361       0.588120                 NaN            NaN  0.272847                 NaN  0.431768                 NaN            NaN            NaN            NaN
  1404.15        2500.00        98.5836                 NaN            NaN  0.127406       0.587915                 NaN            NaN  0.272166                 NaN  0.428889                 NaN            NaN            NaN            NaN
  1402.93        2500.00        98.6092                 NaN            NaN  0.113668       0.583146                 NaN            NaN  0.272638                 NaN  0.421345                 NaN            NaN            NaN            NaN
  1401.71        2500.00        98.6184                 NaN            NaN  0.109071       0.582220                 NaN            NaN  0.271891                 NaN  0.418444                 NaN            NaN            NaN            NaN
  1400.49        2500.00        98.6314                 NaN            NaN  0.103201       0.580611                 NaN            NaN  0.270608                 NaN  0.414195                 NaN            NaN            NaN            NaN
  1399.27        2500.00        98.6484                 NaN            NaN  0.578960       0.916719E-001            NaN            NaN  0.271750                 NaN  0.409215                 NaN            NaN            NaN            NaN
  1398.05        2500.00        98.6572                 NaN            NaN  0.876290E-001  0.576005                 NaN            NaN  0.272576                 NaN  0.406593                 NaN            NaN            NaN            NaN
  1396.83        2500.00        98.6783                 NaN            NaN  0.570167       0.844646E-001            NaN            NaN  0.267703                 NaN  0.399386                 NaN            NaN            NaN            NaN
  1395.60        2500.00        98.6896                 NaN            NaN  0.741611E-001  0.571116                 NaN            NaN  0.268993                 NaN  0.396119                 NaN            NaN            NaN            NaN
  1394.38        2500.00        98.6977                 NaN            NaN  0.570588       0.686460E-001            NaN            NaN  0.269081                 NaN  0.393976                 NaN            NaN            NaN            NaN
  1393.16        2500.00        98.7163                 NaN            NaN  0.568860       0.592240E-001            NaN            NaN  0.268026                 NaN  0.387565                 NaN            NaN            NaN            NaN
  1391.94        2500.00        98.7270                 NaN            NaN  0.567195       0.541086E-001            NaN            NaN  0.267305                 NaN  0.384435                 NaN            NaN            NaN            NaN
  1390.72        2500.00        98.7380                 NaN            NaN  0.566542       0.477593E-001            NaN            NaN  0.266813                 NaN  0.380933                 NaN            NaN            NaN            NaN
  1389.50        2500.00        98.7473                 NaN            NaN  0.567659       0.398049E-001            NaN            NaN  0.267177                 NaN  0.378052                 NaN            NaN            NaN            NaN
  1388.28        2500.00        98.7648                 NaN            NaN  0.562606       0.361263E-001            NaN            NaN  0.264282                 NaN  0.372194                 NaN            NaN            NaN            NaN
  1387.06        2500.00        98.7751                 NaN            NaN  0.562141       0.294618E-001            NaN            NaN  0.264226                 NaN  0.369081                 NaN            NaN            NaN            NaN
  1385.84        2500.00        98.7858                 NaN            NaN  0.237036E-001  0.561274                 NaN            NaN  0.263606                 NaN  0.365659                 NaN            NaN            NaN            NaN
  1384.62        2500.00        98.7964                 NaN            NaN  0.560284       0.182532E-001            NaN            NaN  0.262802                 NaN  0.362307                 NaN            NaN            NaN            NaN
  1383.39        2500.00        98.8082                 NaN            NaN  0.560065       0.119191E-001            NaN            NaN  0.261504                 NaN  0.358358                 NaN            NaN            NaN            NaN
  1382.17        2500.00        98.7741                 NaN            NaN  0.541217                 NaN            NaN            NaN  0.308826                 NaN  0.375892                 NaN            NaN            NaN            NaN
  1380.95        2500.00        98.8741                 NaN            NaN  0.706182E-002  0.576552                 NaN            NaN  0.211492                 NaN  0.330754                 NaN            NaN            NaN            NaN
  1379.73        2500.00        98.8258                 NaN            NaN  0.113855       0.492122                 NaN            NaN  0.221765                 NaN  0.346436                 NaN            NaN            NaN            NaN
  1378.51        2500.00        98.8503                 NaN            NaN  0.545920                 NaN            NaN            NaN  0.258808                 NaN  0.344948                 NaN            NaN            NaN            NaN
  1377.29        2500.00        98.8577                 NaN            NaN  0.549492                 NaN            NaN            NaN  0.251480                 NaN  0.341301                 NaN            NaN            NaN            NaN
  1376.07        2500.00        98.8609                 NaN            NaN  0.410155E-001  0.523654                 NaN            NaN  0.236655                 NaN  0.337782                 NaN            NaN            NaN            NaN
  1374.85        2500.00        98.8794                 NaN            NaN  0.537381                 NaN            NaN            NaN  0.248962                 NaN  0.334245                 NaN            NaN            NaN            NaN
  1373.63        2500.00        98.8861                 NaN            NaN  0.536303                 NaN            NaN            NaN  0.246078                 NaN  0.331499                 NaN            NaN            NaN            NaN
  1372.41        2500.00        98.8977                 NaN            NaN  0.529247                 NaN            NaN            NaN  0.245111                 NaN  0.327957                 NaN            NaN            NaN            NaN
  1371.18        2500.00        98.9039                 NaN            NaN  0.532921                 NaN            NaN            NaN  0.238398                 NaN  0.324765                 NaN            NaN            NaN            NaN
  1369.96        2500.00        98.9138                 NaN            NaN  0.525031                 NaN            NaN            NaN  0.239188                 NaN  0.321981                 NaN            NaN            NaN            NaN
  1368.74        2500.00        98.9224                 NaN            NaN  0.521258                 NaN            NaN            NaN  0.237510                 NaN  0.318824                 NaN            NaN            NaN            NaN
  1367.52        2500.00        98.9315                 NaN            NaN  0.517265                 NaN            NaN            NaN  0.235394                 NaN  0.315811                 NaN            NaN            NaN            NaN
  1366.30        2500.00        98.9384                 NaN            NaN  0.519054                 NaN            NaN            NaN  0.229875                 NaN  0.312720                 NaN            NaN            NaN            NaN
  1365.08        2500.00        98.9466                 NaN            NaN  0.515487                 NaN            NaN            NaN  0.228213                 NaN  0.309686                 NaN            NaN            NaN            NaN
  1363.86        2500.00        98.9548                 NaN            NaN  0.510647                 NaN            NaN            NaN  0.227295                 NaN  0.307234                 NaN            NaN            NaN            NaN
  1362.64        2500.00        98.9645                 NaN            NaN  0.507347                 NaN            NaN            NaN  0.224409                 NaN  0.303776                 NaN            NaN            NaN            NaN
  1361.42        2500.00        98.9714                 NaN            NaN  0.503722                 NaN            NaN            NaN  0.223338                 NaN  0.301520                 NaN            NaN            NaN            NaN
  1360.20        2500.00        98.9799                 NaN            NaN  0.499325                 NaN            NaN            NaN  0.222454                 NaN  0.298290                 NaN            NaN            NaN            NaN
  1358.97        2500.00        98.9862                 NaN            NaN  0.500087                 NaN            NaN            NaN  0.217934                 NaN  0.295752                 NaN            NaN            NaN            NaN
  1357.75        2500.00        98.9940                 NaN            NaN  0.495805                 NaN            NaN            NaN  0.217031                 NaN  0.293125                 NaN            NaN            NaN            NaN
  1356.53        2500.00        99.0004                 NaN            NaN  0.494167                 NaN            NaN            NaN  0.214724                 NaN  0.290755                 NaN            NaN            NaN            NaN
  1355.31        2500.00        99.0110                 NaN            NaN  0.488067                 NaN            NaN            NaN  0.213592                 NaN  0.287378                 NaN            NaN            NaN            NaN
  1354.09        2500.00        99.0145                 NaN            NaN  0.492412                 NaN            NaN            NaN  0.207698                 NaN  0.285432                 NaN            NaN            NaN            NaN
  1352.87        2500.00        99.0202                 NaN            NaN  0.490005                 NaN            NaN            NaN  0.206200                 NaN  0.283570                 NaN            NaN            NaN            NaN
  1351.65        2500.00        99.0312                 NaN            NaN  0.488568                 NaN            NaN            NaN  0.201405                 NaN  0.278790                 NaN            NaN            NaN            NaN
  1350.43        2500.00        99.0102                 NaN            NaN  0.465413                 NaN            NaN            NaN  0.233067                 NaN  0.291281                 NaN            NaN            NaN            NaN
  1349.21        2500.00        99.0676                 NaN            NaN  0.481956                 NaN            NaN            NaN  0.186529                 NaN  0.263935                 NaN            NaN            NaN            NaN
  1347.99        2500.00        99.0502                 NaN            NaN  0.480315                 NaN            NaN            NaN  0.197092                 NaN  0.272419                 NaN            NaN            NaN            NaN
  1346.76        2500.00        99.0623                 NaN            NaN  0.499031                 NaN            NaN            NaN  0.174095                 NaN  0.264576                 NaN            NaN            NaN            NaN
  1345.54        2500.00        99.0482                 NaN            NaN  0.462329                 NaN            NaN            NaN  0.214387                 NaN  0.275132                 NaN            NaN            NaN            NaN
  1344.32        2500.00        99.0684                 NaN            NaN  0.477976                 NaN            NaN            NaN  0.188198                 NaN  0.265419                 NaN            NaN            NaN            NaN
  1343.10        2500.00        99.0732                 NaN            NaN  0.477361                 NaN            NaN            NaN  0.185811                 NaN  0.263673                 NaN            NaN            NaN            NaN
  1341.88        2500.00        99.0776                 NaN            NaN  0.479880                 NaN            NaN            NaN  0.180606                 NaN  0.261864                 NaN            NaN            NaN            NaN
  1340.66        2500.00        99.0894                 NaN            NaN  0.469325                 NaN            NaN            NaN  0.183383                 NaN  0.257851                 NaN            NaN            NaN            NaN
  1339.44        2500.00        99.0909                 NaN            NaN  0.474514                 NaN            NaN            NaN  0.177726                 NaN  0.256874                 NaN            NaN            NaN            NaN
  1338.22        2500.00        99.0998                 NaN            NaN  0.465732                 NaN            NaN            NaN  0.180047                 NaN  0.254451                 NaN            NaN            NaN            NaN
  1337.00        2500.00        99.1046                 NaN            NaN  0.465300                 NaN            NaN            NaN  0.177540                 NaN  0.252583                 NaN            NaN            NaN            NaN
  1335.78        2500.00        99.1105                 NaN            NaN  0.466098                 NaN            NaN            NaN  0.173130                 NaN  0.250305                 NaN            NaN            NaN            NaN
  1334.55        2500.00        99.1148                 NaN            NaN  0.466319                 NaN            NaN            NaN  0.170469                 NaN  0.248367                 NaN            NaN            NaN            NaN
  1333.33        2500.00        99.1204                 NaN            NaN  0.463321                 NaN            NaN            NaN  0.169837                 NaN  0.246412                 NaN            NaN            NaN            NaN
  1332.11        2500.00        99.1249                 NaN            NaN  0.462807                 NaN            NaN            NaN  0.167594                 NaN  0.244729                 NaN            NaN            NaN            NaN
  1330.89        2500.00        99.1311                 NaN            NaN  0.463193                 NaN            NaN            NaN  0.163401                 NaN  0.242334                 NaN            NaN            NaN            NaN
  1329.67        2500.00        99.1358                 NaN            NaN  0.461992                 NaN            NaN            NaN  0.161557                 NaN  0.240608                 NaN            NaN            NaN            NaN
  1328.45        2500.00        99.1404                 NaN            NaN  0.462916                 NaN            NaN            NaN  0.157956                 NaN  0.238734                 NaN            NaN            NaN            NaN
  1327.23        2500.00        99.1050                 NaN            NaN  0.479394                 NaN            NaN            NaN  0.149011                 NaN  0.245074       0.215388E-001            NaN            NaN            NaN
  1326.01        2500.00        99.0508                 NaN            NaN  0.498167                 NaN            NaN            NaN  0.141173                 NaN  0.255480       0.543499E-001            NaN            NaN            NaN
  1324.79        2500.00        99.0614                 NaN            NaN  0.490278                 NaN            NaN            NaN  0.141824                 NaN  0.252908       0.536267E-001            NaN            NaN            NaN
  1323.57        2500.00        99.0705                 NaN            NaN  0.483467                 NaN            NaN            NaN  0.142709                 NaN  0.250474       0.528719E-001            NaN            NaN            NaN
  1322.34        2500.00        99.0788                 NaN            NaN  0.480519                 NaN            NaN            NaN  0.140592                 NaN  0.248087       0.520229E-001            NaN            NaN            NaN
  1321.12        2500.00        99.0873                 NaN            NaN  0.476287                 NaN            NaN            NaN  0.139632                 NaN  0.245630       0.511789E-001            NaN            NaN            NaN
  1319.90        2500.00        99.0960                 NaN            NaN  0.470542                 NaN            NaN            NaN  0.139512                 NaN  0.243451       0.504756E-001            NaN            NaN            NaN
  1318.68        2500.00        99.1049                 NaN            NaN  0.467799                 NaN            NaN            NaN  0.137121                 NaN  0.240621       0.495457E-001            NaN            NaN            NaN
  1317.46        2500.00        99.1123                 NaN            NaN  0.463142                 NaN            NaN            NaN  0.137055                 NaN  0.238671       0.488716E-001            NaN            NaN            NaN
  1316.24        2500.00        99.1212                 NaN            NaN  0.459480                 NaN            NaN            NaN  0.135028                 NaN  0.236239       0.480061E-001            NaN            NaN            NaN
  1315.02        2500.00        99.1286                 NaN            NaN  0.458372                 NaN            NaN            NaN  0.132063                 NaN  0.233901       0.471075E-001            NaN            NaN            NaN
  1313.80        2500.00        99.1370                 NaN            NaN  0.453525                 NaN            NaN            NaN  0.131415                 NaN  0.231693       0.463987E-001            NaN            NaN            NaN
  1312.58        2500.00        99.1449                 NaN            NaN  0.449957                 NaN            NaN            NaN  0.130089                 NaN  0.229415       0.456262E-001            NaN            NaN            NaN
  1311.36        2500.00        99.1524                 NaN            NaN  0.445152                 NaN            NaN            NaN  0.129961                 NaN  0.227557       0.449756E-001            NaN            NaN            NaN
  1310.13        2500.00        99.1590                 NaN            NaN  0.444605                 NaN            NaN            NaN  0.127129                 NaN  0.225121       0.441138E-001            NaN            NaN            NaN
  1308.91        2500.00        99.1678                 NaN            NaN  0.440955                 NaN            NaN            NaN  0.125025                 NaN  0.222908       0.433229E-001            NaN            NaN            NaN
  1307.69        2500.00        99.1749                 NaN            NaN  0.438421                 NaN            NaN            NaN  0.123224                 NaN  0.220962       0.424966E-001            NaN            NaN            NaN
  1306.47        2500.00        99.1831                 NaN            NaN  0.434910                 NaN            NaN            NaN  0.121531                 NaN  0.218503       0.419573E-001            NaN            NaN            NaN
  1305.25        2500.00        99.1889                 NaN            NaN  0.433258                 NaN            NaN            NaN  0.119766                 NaN  0.216953       0.411325E-001            NaN            NaN            NaN
  1304.03        2500.00        99.1963                 NaN            NaN  0.431744                 NaN            NaN            NaN  0.116968                 NaN  0.214691       0.402481E-001            NaN            NaN            NaN
  1302.81        2500.00        99.2028                 NaN            NaN  0.430455                 NaN            NaN            NaN  0.114506                 NaN  0.212683       0.395429E-001            NaN            NaN            NaN
  1301.59        2500.00        81.5405                 NaN            NaN   4.17259                 NaN            NaN            NaN   1.33509                 NaN   2.47777       0.651863        9.82218                 NaN            NaN
  1300.37        2500.00        74.7129                 NaN            NaN   5.58017                 NaN            NaN            NaN   1.92103                 NaN   3.34906       0.874172        13.5626                 NaN            NaN
  1299.15        2500.00        76.6102                 NaN            NaN   5.20326                 NaN            NaN            NaN   1.83164                 NaN   3.10193       0.792482        12.4605                 NaN            NaN
  1297.92        2500.00        78.2634                 NaN            NaN   4.87565                 NaN            NaN            NaN   1.75249                 NaN   2.88673       0.721677        11.5001                 NaN            NaN
  1296.70        2500.00        79.8402                 NaN            NaN   4.57792                 NaN            NaN            NaN   1.64901                 NaN   2.68113       0.656011        10.5957                 NaN            NaN
  1295.48        2500.00        81.2396                 NaN            NaN   4.31619                 NaN            NaN            NaN   1.55010                 NaN   2.49805       0.598509        9.79753                 NaN            NaN
  1294.26        2500.00        82.5527                 NaN            NaN   4.03596                 NaN            NaN            NaN   1.46979                 NaN   2.32532       0.548232        9.06797                 NaN            NaN
  1293.04        2500.00        83.4599                 NaN            NaN   3.90308                 NaN            NaN            NaN   1.38173                 NaN   2.20637       0.508702        8.54025                 NaN            NaN
  1291.82        2500.00        84.7647                 NaN            NaN   3.67358                 NaN            NaN            NaN   1.23264                 NaN   2.03486       0.461555        7.83269                 NaN            NaN
  1290.60        2500.00        85.2139                 NaN            NaN   3.59107                 NaN            NaN            NaN   1.22360                 NaN   1.97884       0.439473        7.55307                 NaN            NaN
  1289.38        2500.00        87.6560                 NaN            NaN   2.96214                 NaN            NaN            NaN   1.05135                 NaN   1.64739       0.367965        6.31517                 NaN            NaN
  1288.16        2500.00        87.2772                 NaN            NaN   3.20721                 NaN            NaN            NaN   1.05635                 NaN   1.69837       0.363258        6.39765                 NaN            NaN
  1286.94        2500.00        89.0917                 NaN            NaN   2.63479                 NaN            NaN            NaN  0.767017                 NaN   1.46243       0.340220        5.70382                 NaN            NaN
  1285.71        2500.00        89.1543                 NaN            NaN   2.84014                 NaN            NaN            NaN   1.00140                 NaN   1.44945       0.280096        5.27461                 NaN            NaN
  1284.49        2500.00        70.3933                 NaN            NaN   7.63877                 NaN            NaN            NaN   2.35174                 NaN   3.96966       0.829187        14.8173                 NaN            NaN
  1283.27        2500.00        99.4761                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.768513E-002  0.509366E-001  0.465326                 NaN            NaN
  1282.05        2500.00        99.7939                 NaN            NaN  0.141203                 NaN            NaN            NaN            NaN            NaN  0.648871E-001            NaN            NaN            NaN            NaN
  1280.83        2500.00        96.5523                 NaN            NaN   1.06188                 NaN            NaN            NaN  0.311810                 NaN  0.476128       0.578528E-001   1.53999                 NaN            NaN
  1279.61        2500.00        92.3629                 NaN            NaN   2.03974                 NaN            NaN            NaN  0.531827                 NaN   1.02203       0.210347        3.83311                 NaN            NaN
  1278.39        2500.00        92.2988                 NaN            NaN   2.05210                 NaN            NaN            NaN  0.532741                 NaN   1.02674       0.214356        3.87524                 NaN            NaN
  1277.17        2500.00        93.2123                 NaN            NaN   1.84506                 NaN            NaN            NaN  0.458280                 NaN  0.910302       0.182278        3.39177                 NaN            NaN
  1275.95        2500.00        89.6753                 NaN            NaN   2.34531                 NaN            NaN            NaN  0.880406                 NaN   1.44212       0.318809        5.33806                 NaN            NaN
  1274.73        2500.00        93.2650                 NaN            NaN   2.28623                 NaN            NaN            NaN  0.165268                 NaN  0.860499       0.192127        3.23092                 NaN            NaN
  1273.50        2500.00        97.9635                 NaN            NaN  0.562565                 NaN            NaN            NaN  0.206437                 NaN  0.228417       0.912874E-002   1.02999                 NaN            NaN
  1272.28        2500.00        83.6704                 NaN            NaN   4.44729                 NaN            NaN            NaN  0.643384                 NaN   2.24842       0.508081        8.48238                 NaN            NaN
  1271.06        2500.00        2.24472        96.5681       0.998665                 NaN            NaN            NaN            NaN  0.141889                 NaN  0.427182E-001  0.385677E-002            NaN            NaN            NaN
