|6.6.6
Archiving\03_Data\fracLP/QFM_m2.5/KHA22/KHA22_3.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          18
T(K)           P(bar)         melt(TH)       melt(TH)       melt(TH)       mang           Ni             O(HP)          Sp(TH)         Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1952.38        500.000        99.7752                 NaN            NaN  0.211064       0.137000E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1949.87        500.000        99.7752                 NaN            NaN  0.211075       0.137002E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1947.37        500.000        99.7752                 NaN            NaN  0.211086       0.137005E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1944.86        500.000        99.7752                 NaN            NaN  0.211097       0.137008E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.36        500.000        99.7752                 NaN            NaN  0.211109       0.137011E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.85        500.000        99.7752                 NaN            NaN  0.211120       0.137014E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1937.34        500.000        99.7752                 NaN            NaN  0.211131       0.137017E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1934.84        500.000        99.7752                 NaN            NaN  0.211142       0.137020E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.33        500.000        99.7751                 NaN            NaN  0.211153       0.137023E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.82        500.000        99.7751                 NaN            NaN  0.211165       0.137026E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1927.32        500.000        99.7751                 NaN            NaN  0.211176       0.137030E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1924.81        500.000        99.7751                 NaN            NaN  0.211187       0.137033E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1922.31        500.000        99.7751                 NaN            NaN  0.211198       0.137036E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.80        500.000        99.7751                 NaN            NaN  0.211210       0.137039E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1917.29        500.000        99.7751                 NaN            NaN  0.211221       0.137042E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1914.79        500.000        99.2377                 NaN            NaN  0.211303       0.112676E-001  0.539750                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1912.28        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1909.77        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.27        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1904.76        500.000        99.8432                 NaN            NaN            NaN            NaN  0.156782                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1902.26        500.000        99.4266                 NaN            NaN            NaN            NaN  0.573437                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1899.75        500.000        99.4298                 NaN            NaN            NaN            NaN  0.570185                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        500.000        99.4328                 NaN            NaN            NaN            NaN  0.567249                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        500.000        99.4356                 NaN            NaN            NaN            NaN  0.564396                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        500.000        99.4410                 NaN            NaN            NaN            NaN  0.559004                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        500.000        99.4439                 NaN            NaN            NaN            NaN  0.556127                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        500.000        99.4468                 NaN            NaN            NaN            NaN  0.553163                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        500.000        99.4470                 NaN            NaN            NaN            NaN  0.552964                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        500.000        99.4575                 NaN            NaN            NaN            NaN  0.542549                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        500.000        99.3350                 NaN            NaN            NaN            NaN  0.664974                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        500.000        99.5821                 NaN            NaN            NaN            NaN  0.417907                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        500.000        99.4630                 NaN            NaN            NaN            NaN  0.537023                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        500.000        99.4643                 NaN            NaN            NaN            NaN  0.535707                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        500.000        99.4690                 NaN            NaN            NaN            NaN  0.531048                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        500.000        99.4700                 NaN            NaN            NaN            NaN  0.529983                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        500.000        99.4733                 NaN            NaN            NaN            NaN  0.526714                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        500.000        99.4753                 NaN            NaN            NaN            NaN  0.524288       0.380517E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        500.000        99.4684                 NaN            NaN            NaN            NaN  0.520801       0.108405E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        500.000        99.4693                 NaN            NaN            NaN            NaN  0.519878       0.108190E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        500.000        99.4705                 NaN            NaN            NaN            NaN  0.518660       0.108567E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        500.000        99.4764                 NaN            NaN            NaN            NaN  0.512908       0.106642E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        500.000        99.4725                 NaN            NaN            NaN            NaN  0.516704       0.108301E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        500.000        99.4708                 NaN            NaN            NaN            NaN  0.518285       0.109187E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        500.000        99.4913                 NaN            NaN            NaN            NaN  0.498403       0.103206E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        500.000        99.4815                 NaN            NaN            NaN            NaN  0.507941       0.105931E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        500.000        99.4836                 NaN            NaN            NaN            NaN  0.505860       0.105677E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        500.000        99.4851                 NaN            NaN            NaN            NaN  0.504385       0.105252E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        500.000        99.4845                 NaN            NaN            NaN            NaN  0.504885       0.105676E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        500.000        99.4891                 NaN            NaN            NaN            NaN  0.500438       0.104166E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        500.000        99.4897                 NaN            NaN            NaN            NaN  0.499922       0.104099E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        500.000        99.4905                 NaN            NaN            NaN            NaN  0.499077       0.103955E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        500.000        99.4914                 NaN            NaN            NaN            NaN  0.498195       0.103556E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        500.000        99.4926                 NaN            NaN            NaN            NaN  0.497105       0.103209E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        500.000        99.4924                 NaN            NaN            NaN            NaN  0.497299       0.103302E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        500.000        99.4957                 NaN            NaN            NaN            NaN  0.494040       0.102267E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        500.000        99.4952                 NaN            NaN            NaN            NaN  0.494558       0.102195E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        500.000        99.4964                 NaN            NaN            NaN            NaN  0.493408       0.101799E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        500.000        99.4933                 NaN            NaN            NaN            NaN  0.496440       0.102243E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        500.000        99.5000                 NaN            NaN            NaN            NaN  0.489954       0.100482E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        500.000        99.4972                 NaN            NaN            NaN            NaN  0.492672       0.101012E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        500.000        99.4981                 NaN            NaN            NaN            NaN  0.491852       0.100599E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        500.000        99.4980                 NaN            NaN            NaN            NaN  0.491954       0.100355E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        500.000        99.4988                 NaN            NaN            NaN            NaN  0.491228       0.997963E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        500.000        99.4965                 NaN            NaN            NaN            NaN  0.493530       0.100187E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        500.000        99.5004                 NaN            NaN            NaN            NaN  0.489713       0.988230E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        500.000        99.4992                 NaN            NaN            NaN            NaN  0.490742       0.100727E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        500.000        99.4983                 NaN            NaN            NaN            NaN  0.491914       0.973629E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        500.000        99.4984                 NaN            NaN            NaN            NaN  0.491788       0.984157E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        500.000        99.4979                 NaN            NaN            NaN            NaN  0.492291       0.982188E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        500.000        99.4812                 NaN            NaN            NaN            NaN  0.508634       0.101534E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        500.000        99.5248                 NaN            NaN            NaN            NaN  0.465944       0.922439E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        500.000        99.4870                 NaN            NaN            NaN            NaN  0.503122       0.990301E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        500.000        99.4962                 NaN            NaN            NaN            NaN  0.494015       0.973710E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        500.000        99.4956                 NaN            NaN            NaN            NaN  0.494720       0.967158E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        500.000        99.4963                 NaN            NaN            NaN            NaN  0.494105       0.961415E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        500.000        99.4943                 NaN            NaN            NaN            NaN  0.496098       0.961149E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        500.000        99.4935                 NaN            NaN            NaN            NaN  0.496900       0.959048E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        500.000        99.4914                 NaN            NaN            NaN            NaN  0.498993       0.961210E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        500.000        99.5293                 NaN            NaN            NaN            NaN  0.461871       0.879315E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        500.000        99.4537                 NaN            NaN            NaN            NaN  0.536111       0.101961E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        500.000        99.4896                 NaN            NaN            NaN            NaN  0.500926       0.947891E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        500.000        99.4890                 NaN            NaN            NaN            NaN  0.501544       0.943230E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        500.000        99.4863                 NaN            NaN            NaN            NaN  0.504204       0.945639E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        500.000        99.4859                 NaN            NaN            NaN            NaN  0.504710       0.940058E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        500.000        99.4856                 NaN            NaN            NaN            NaN  0.505007       0.937777E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        500.000        99.4841                 NaN            NaN            NaN            NaN  0.506505       0.935668E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        500.000        99.4806                 NaN            NaN            NaN            NaN  0.510058       0.935262E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        500.000        99.8022                 NaN            NaN            NaN            NaN  0.194193       0.356102E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        500.000        99.1575                 NaN            NaN            NaN            NaN  0.827429       0.150341E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        500.000        99.4802                 NaN            NaN            NaN            NaN  0.510578       0.922903E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        500.000        99.4767                 NaN            NaN            NaN            NaN  0.514101       0.922983E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        500.000        99.4746                 NaN            NaN            NaN            NaN  0.516182       0.922664E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        500.000        98.9196                 NaN            NaN            NaN            NaN   1.06152       0.188883E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        500.000        99.9997                 NaN            NaN            NaN            NaN            NaN  0.316238E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        500.000        99.4851                 NaN            NaN            NaN            NaN  0.506615       0.827406E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        500.000        99.4798                 NaN            NaN            NaN            NaN  0.511043       0.918157E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        500.000        99.4672                 NaN            NaN            NaN            NaN  0.523697       0.911312E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        500.000        99.4646                 NaN            NaN            NaN            NaN  0.526312       0.908649E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        500.000        99.4651                 NaN            NaN            NaN            NaN  0.525838       0.903426E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        500.000        99.4626                 NaN            NaN            NaN            NaN  0.528388       0.904890E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        500.000        99.4607                 NaN            NaN            NaN            NaN  0.530247       0.902783E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        500.000        99.4591                 NaN            NaN            NaN            NaN  0.531861       0.899439E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        500.000        99.4586                 NaN            NaN            NaN            NaN  0.532383       0.896845E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        500.000        99.4562                 NaN            NaN            NaN            NaN  0.534855       0.896652E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        500.000        99.4557                 NaN            NaN            NaN            NaN  0.535346       0.893580E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        500.000        99.4540                 NaN            NaN            NaN            NaN  0.537073       0.891599E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        500.000        99.4518                 NaN            NaN            NaN            NaN  0.539333       0.891318E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        500.000        99.4444                 NaN            NaN            NaN            NaN  0.546551       0.901755E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        500.000        99.4577                 NaN            NaN            NaN            NaN  0.533566       0.873478E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        500.000        99.4479                 NaN            NaN            NaN            NaN  0.543219       0.885237E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        500.000        99.4488                 NaN            NaN            NaN            NaN  0.542409       0.880966E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        500.000        99.8559                 NaN            NaN            NaN            NaN  0.141839       0.228549E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        500.000        99.0387                 NaN            NaN            NaN            NaN  0.946020       0.152780E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        500.000        99.4453                 NaN            NaN            NaN            NaN  0.545991       0.875719E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        500.000        99.4446                 NaN            NaN            NaN            NaN  0.546682       0.873824E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        500.000        99.4434                 NaN            NaN            NaN            NaN  0.547834       0.872540E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        500.000        99.4435                 NaN            NaN            NaN            NaN  0.547853       0.867946E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        500.000        99.4422                 NaN            NaN            NaN            NaN  0.549140       0.868597E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        500.000        99.4432                 NaN            NaN            NaN            NaN  0.548162       0.863242E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        500.000        99.4414                 NaN            NaN            NaN            NaN  0.550008       0.864106E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        500.000        99.4408                 NaN            NaN            NaN            NaN  0.550573       0.862527E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        500.000        99.4439                 NaN            NaN            NaN            NaN  0.547570       0.856410E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        500.000        99.4424                 NaN            NaN            NaN            NaN  0.549006       0.855373E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        500.000       0.452153        97.4080       0.166476E-001            NaN            NaN   2.07560       0.148139E-001  0.179024E-001  0.149359E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        500.000        99.8000                 NaN            NaN            NaN            NaN  0.196885       0.313360E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        500.000        99.8801                 NaN            NaN            NaN            NaN  0.118090       0.183043E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        500.000        99.0421                 NaN            NaN            NaN            NaN  0.943286       0.146328E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        500.000        99.4490                 NaN            NaN            NaN            NaN  0.542635       0.840483E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        500.000        99.4330                 NaN            NaN            NaN            NaN  0.558367       0.863266E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        500.000        99.4669                 NaN            NaN            NaN            NaN  0.524963       0.810323E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        500.000        99.4533                 NaN            NaN            NaN            NaN  0.538358       0.830332E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        500.000        99.4545                 NaN            NaN            NaN            NaN  0.537259       0.828399E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        500.000        99.3464                 NaN            NaN            NaN            NaN  0.643848       0.979373E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        500.000        99.5631                 NaN            NaN            NaN            NaN  0.430222       0.672699E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        500.000        99.4595                 NaN            NaN            NaN            NaN  0.532291       0.819955E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        500.000        99.4605                 NaN            NaN            NaN            NaN  0.531362       0.817781E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        500.000        99.4496                 NaN            NaN            NaN            NaN  0.542042       0.835184E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        500.000        99.4788                 NaN            NaN            NaN            NaN  0.513248       0.793282E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        500.000        99.4684                 NaN            NaN            NaN            NaN  0.523563       0.807978E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        500.000        99.4701                 NaN            NaN            NaN            NaN  0.521841       0.805579E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        500.000        99.4527                 NaN            NaN            NaN            NaN  0.538992       0.835245E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        500.000        99.4951                 NaN            NaN            NaN            NaN  0.497224       0.769574E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        500.000        98.9161                 NaN            NaN            NaN            NaN  0.165543                 NaN            NaN  0.918321                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        500.000        98.7646                 NaN            NaN            NaN            NaN  0.589777E-001            NaN            NaN   1.17645                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        500.000        98.7871                 NaN            NaN            NaN            NaN  0.579251E-001            NaN            NaN   1.15499                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        500.000        98.8055                 NaN            NaN            NaN            NaN  0.542245E-001            NaN            NaN   1.14024                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        500.000        98.8313                 NaN            NaN            NaN            NaN  0.538678E-001            NaN            NaN   1.11487                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
