|6.6.6
Archiving\03_Data\frac/QFM_m4.25/LAR/LAR_3.tab                            
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         melt(TH)       melt(TH)       pxmn           Sp(TH)         O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1724.31        2500.00        99.2639                 NaN  0.736107                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        2500.00        99.2638                 NaN  0.736165                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        2500.00        99.2638                 NaN  0.736223                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        2500.00        99.2637                 NaN  0.736282                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        2500.00        99.2637                 NaN  0.736340                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        2500.00        99.2636                 NaN  0.736399                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        2500.00        99.2635                 NaN  0.736457                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        2500.00        99.2635                 NaN  0.736516                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        2500.00        99.2634                 NaN  0.736574                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        2500.00        99.2634                 NaN  0.736633                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        2500.00        99.2633                 NaN  0.736691                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        2500.00        99.2633                 NaN  0.736750                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        2500.00        99.2632                 NaN  0.736809                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        2500.00        99.2631                 NaN  0.736867                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        2500.00        99.2631                 NaN  0.736926                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        2500.00        99.2630                 NaN  0.736985                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        2500.00        99.2630                 NaN  0.737043                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        2500.00        99.2629                 NaN  0.737102                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        2500.00        99.2628                 NaN  0.737161                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        2500.00        99.2624                 NaN  0.737220       0.364487E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        2500.00        99.2547                 NaN  0.737293       0.800849E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        2500.00        99.2547                 NaN  0.737423       0.792178E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        2500.00        99.2546                 NaN  0.737551       0.786939E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        2500.00        99.2545                 NaN  0.737679       0.780436E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        2500.00        99.2545                 NaN  0.737807       0.774101E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        2500.00        99.2544                 NaN  0.737934       0.771043E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        2500.00        99.2506                 NaN  0.738067       0.112827E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        2500.00        99.2578                 NaN  0.738214       0.397289E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        2500.00        99.2543                 NaN  0.738313       0.737868E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        2500.00        99.2541                 NaN  0.738437       0.742636E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        2500.00        99.2541                 NaN  0.738562       0.736783E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        2500.00        99.2540                 NaN  0.738686       0.730861E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        2500.00        99.2539                 NaN  0.738809       0.724673E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        2500.00        99.1706                 NaN  0.738959       0.729478E-002  0.831554E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        2500.00        99.4267                 NaN            NaN  0.795273E-002  0.565376                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        2500.00        99.3902                 NaN            NaN  0.845400E-002  0.601363                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        2500.00        99.4699                 NaN            NaN  0.734421E-002  0.522729                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        2500.00        99.4341                 NaN            NaN  0.784842E-002  0.558061                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        2500.00        99.4348                 NaN            NaN  0.783269E-002  0.557396                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        2500.00        99.4383                 NaN            NaN  0.777957E-002  0.553939                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        2500.00        99.4409                 NaN            NaN  0.774531E-002  0.551362                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        2500.00        99.4431                 NaN            NaN  0.771149E-002  0.549205                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        2500.00        99.4455                 NaN            NaN  0.768842E-002  0.546844                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        2500.00        99.4482                 NaN            NaN  0.764596E-002  0.544161                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        2500.00        99.4509                 NaN            NaN  0.761118E-002  0.541486                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        2500.00        99.4561                 NaN            NaN  0.753429E-002  0.536362                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        2500.00        99.0838                 NaN            NaN  0.127199E-001  0.903476                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        2500.00        99.8360                 NaN            NaN  0.226579E-002  0.161761                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        2500.00        99.5852                 NaN            NaN  0.575164E-002  0.409039                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        2500.00        99.3455                 NaN            NaN  0.906843E-002  0.645435                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        2500.00        99.4666                 NaN            NaN  0.743198E-002  0.525992                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        2500.00        99.4756                 NaN            NaN  0.730862E-002  0.517120                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        2500.00        99.4799                 NaN            NaN  0.722749E-002  0.512871                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        2500.00        99.4795                 NaN            NaN  0.722705E-002  0.513270                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        2500.00        99.4856                 NaN            NaN  0.715728E-002  0.507221                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        2500.00        99.4660                 NaN            NaN  0.745651E-002  0.526560                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        2500.00        99.5137                 NaN            NaN  0.677890E-002  0.479478                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        2500.00        99.4943                 NaN            NaN  0.705385E-002  0.498670                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        2500.00        99.4984                 NaN            NaN  0.701780E-002  0.494542                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        2500.00        99.5040                 NaN            NaN  0.693256E-002  0.489058                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        2500.00        99.5043                 NaN            NaN  0.693603E-002  0.488755                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        2500.00        99.4283                 NaN            NaN  0.827052E-002  0.563469                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        2500.00        99.6053                 NaN            NaN  0.532097E-002  0.389330                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        2500.00        99.4864                 NaN            NaN  0.711456E-002  0.506447                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        2500.00        99.5458                 NaN            NaN  0.639159E-002  0.447810                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        2500.00        99.5253                 NaN            NaN  0.669130E-002  0.468056                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        2500.00        99.5305                 NaN            NaN  0.662796E-002  0.462850                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        2500.00        99.5339                 NaN            NaN  0.658228E-002  0.459526                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        2500.00        99.5379                 NaN            NaN  0.653271E-002  0.455524                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        2500.00        99.5411                 NaN            NaN  0.649009E-002  0.452407                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.87        2500.00        99.2264                 NaN            NaN            NaN  0.185387       0.588251                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.37        2500.00        99.1304                 NaN            NaN            NaN  0.984855E-001  0.771128                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        2500.00        99.1419                 NaN            NaN            NaN  0.978655E-001  0.760198                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        2500.00        99.1523                 NaN            NaN            NaN  0.954330E-001  0.752306                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        2500.00        99.1626                 NaN            NaN            NaN  0.936554E-001  0.743734                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.34        2500.00        99.1731                 NaN            NaN            NaN  0.922217E-001  0.734672                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.83        2500.00        99.1816                 NaN            NaN            NaN  0.889229E-001  0.729474                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.33        2500.00        99.1926                 NaN            NaN            NaN  0.889714E-001  0.718394                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.82        2500.00        98.0180                 NaN            NaN            NaN  0.632294E-001  0.963816       0.954954                 NaN            NaN            NaN            NaN            NaN            NaN
  1526.32        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.81        2500.00        99.2735                 NaN            NaN            NaN  0.212979E-005  0.162069E-001  0.710333                 NaN            NaN            NaN            NaN            NaN            NaN
  1521.30        2500.00        99.0355                 NaN            NaN            NaN            NaN  0.297649E-001  0.934692                 NaN            NaN            NaN            NaN            NaN            NaN
  1518.80        2500.00        99.0414                 NaN            NaN            NaN  0.118103E-005  0.524469E-001  0.906199                 NaN            NaN            NaN            NaN            NaN            NaN
  1516.29        2500.00        99.0447                 NaN            NaN            NaN            NaN  0.441035E-001  0.911198                 NaN            NaN            NaN            NaN            NaN            NaN
  1513.78        2500.00        99.0471                 NaN            NaN            NaN            NaN  0.372132E-001  0.915679                 NaN            NaN            NaN            NaN            NaN            NaN
  1511.28        2500.00        99.0436                 NaN            NaN  0.196382E-002            NaN            NaN  0.954414                 NaN            NaN            NaN            NaN            NaN            NaN
  1508.77        2500.00        99.0360                 NaN            NaN  0.702606E-002            NaN            NaN  0.956940                 NaN            NaN            NaN            NaN            NaN            NaN
  1506.27        2500.00        99.0390                 NaN            NaN  0.690881E-002            NaN            NaN  0.954122                 NaN            NaN            NaN            NaN            NaN            NaN
  1503.76        2500.00        99.0407                 NaN            NaN  0.679309E-002  0.832974E-004            NaN  0.952419                 NaN            NaN            NaN            NaN            NaN            NaN
