|6.6.6
Archiving\03_Data\eqfrac/QFM_m0.75/ALH/ALH_3.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        Sp(TH)         an             San(TH)        ilm            q             
  1511.41        2500.00        99.5510       0.414792       0.342036E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.02        2500.00        99.5210       0.311070       0.208754E-001  0.147087                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.63        2500.00        99.4170       0.796243E-001  0.578191E-002  0.497621                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.24        2500.00        99.4124                 NaN  0.877879E-002  0.578828                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.85        2500.00        99.4068                 NaN            NaN  0.593159                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.46        2500.00        99.4104                 NaN            NaN  0.589583                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.07        2500.00        99.4048                 NaN            NaN  0.595211                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.68        2500.00        99.4027                 NaN            NaN  0.597322                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.29        2500.00        99.1050                 NaN  0.645254E-001  0.830426                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.90        2500.00        99.7115                 NaN            NaN  0.288473                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.51        2500.00        99.3928                 NaN            NaN  0.607231                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.12        2500.00        99.3859                 NaN            NaN  0.614095                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.73        2500.00        99.3787                 NaN            NaN  0.621277                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.34        2500.00        99.3680                 NaN            NaN  0.720706E-002  0.624749                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.95        2500.00        99.0719                 NaN            NaN  0.562812       0.365255                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.56        2500.00        99.0615                 NaN            NaN  0.348925       0.589581                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.17        2500.00        99.0733                 NaN            NaN  0.346436       0.580241                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.78        2500.00        99.0775                 NaN            NaN  0.577333       0.345199                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.39        2500.00        99.0842                 NaN            NaN  0.342104       0.573723                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.01        2500.00        99.0907                 NaN            NaN  0.568156       0.341148                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.62        2500.00        99.1023                 NaN            NaN  0.337386       0.560351                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.23        2500.00        99.1056                 NaN            NaN  0.559103       0.335335                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1480.84        2500.00        99.1136                 NaN            NaN  0.553576       0.332821                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1479.45        2500.00        99.1187                 NaN            NaN  0.549498       0.331831                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1478.06        2500.00        99.1261                 NaN            NaN  0.544135       0.329792                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1476.67        2500.00        98.8588                 NaN            NaN  0.710665       0.430556                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1475.28        2500.00        99.8591                 NaN  0.319925E-002  0.901388E-001  0.475293E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1473.89        2500.00        99.9197                 NaN  0.998285E-002  0.546431E-001  0.156692E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1472.50        2500.00        97.9372                 NaN  0.393591E-001  0.723262        1.30020                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1471.11        2500.00        99.1638                 NaN  0.362549E-001  0.537680       0.262226                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1469.72        2500.00        99.1684                 NaN  0.351882E-001  0.533723       0.262727                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1468.33        2500.00        99.1747                 NaN  0.339014E-001  0.529686       0.261735                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1466.94        2500.00        99.1748                 NaN  0.333687E-001  0.528543       0.263240                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1465.55        2500.00        99.1893                 NaN  0.313266E-001  0.518113       0.261274                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1464.16        2500.00        99.5155                 NaN  0.189492E-001  0.310318       0.155236                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1462.77        2500.00        98.8692                 NaN  0.418923E-001  0.367907       0.721021                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1461.38        2500.00        99.2001                 NaN  0.289329E-001  0.509640       0.261329                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1459.99        2500.00        98.9784                 NaN  0.364451E-001  0.652310       0.332836                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1458.60        2500.00        99.4419                 NaN  0.181311E-001  0.186174       0.353782                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1457.21        2500.00        99.2154                 NaN  0.257970E-001  0.498240       0.260528                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1455.82        2500.00        99.2201                 NaN  0.248131E-001  0.260666       0.494467                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1454.43        2500.00        99.2246                 NaN  0.231481E-001  0.263159       0.488310                 NaN            NaN  0.800430E-003            NaN            NaN            NaN            NaN
  1453.04        2500.00        99.2302                 NaN  0.229055E-001  0.487061       0.259856                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1451.65        2500.00        99.2343                 NaN  0.218522E-001  0.483108       0.260434                 NaN            NaN  0.284886E-003            NaN            NaN            NaN            NaN
  1450.26        2500.00        99.2372                 NaN  0.214010E-001  0.258920       0.482440                 NaN            NaN  0.687208E-004            NaN            NaN            NaN            NaN
  1448.87        2500.00        99.0257                 NaN  0.253144E-001  0.337096       0.610751                 NaN            NaN  0.117233E-002            NaN            NaN            NaN            NaN
  1447.48        2500.00        99.4651                 NaN  0.130601E-001  0.334705       0.186497                 NaN            NaN  0.618628E-003            NaN            NaN            NaN            NaN
  1446.09        2500.00        99.2507                 NaN  0.179719E-001  0.468954       0.261556                 NaN            NaN  0.847554E-003            NaN            NaN            NaN            NaN
  1444.70        2500.00        99.2345                 NaN  0.266244       0.498261                 NaN            NaN            NaN  0.103507E-002            NaN            NaN            NaN            NaN
  1443.31        2500.00        99.3354                 NaN            NaN  0.168158       0.496374                 NaN            NaN  0.837343E-004            NaN            NaN            NaN            NaN
  1441.92        2500.00        99.2601                 NaN            NaN  0.454797       0.284311                 NaN            NaN  0.772406E-003            NaN            NaN            NaN            NaN
  1440.53        2500.00        99.2637                 NaN            NaN  0.282772       0.452753                 NaN            NaN  0.738721E-003            NaN            NaN            NaN            NaN
  1439.14        2500.00        99.2671                 NaN            NaN  0.281491       0.450647                 NaN            NaN  0.724163E-003            NaN            NaN            NaN            NaN
  1437.76        2500.00        98.8794                 NaN            NaN  0.691103       0.428475                 NaN            NaN  0.104792E-002            NaN            NaN            NaN            NaN
  1436.37        2500.00        99.6682                 NaN            NaN  0.128532       0.202976                 NaN            NaN  0.293932E-003            NaN            NaN            NaN            NaN
  1434.98        2500.00        99.2785                 NaN            NaN  0.277369       0.443480                 NaN            NaN  0.628151E-003            NaN            NaN            NaN            NaN
  1433.59        2500.00        99.2805                 NaN            NaN  0.275891       0.442976                 NaN            NaN  0.591271E-003            NaN            NaN            NaN            NaN
  1432.20        2500.00        99.2881                 NaN            NaN  0.438287       0.272981                 NaN            NaN  0.596508E-003            NaN            NaN            NaN            NaN
  1430.81        2500.00        99.2895                 NaN            NaN  0.437453       0.272491                 NaN            NaN  0.555500E-003            NaN            NaN            NaN            NaN
  1429.42        2500.00        99.2900                 NaN            NaN  0.271992       0.437468                 NaN            NaN  0.535875E-003            NaN            NaN            NaN            NaN
  1428.03        2500.00        99.2975                 NaN            NaN  0.268999       0.433000                 NaN            NaN  0.519811E-003            NaN            NaN            NaN            NaN
  1426.64        2500.00        99.2991                 NaN            NaN  0.432088       0.268337                 NaN            NaN  0.496808E-003            NaN            NaN            NaN            NaN
  1425.25        2500.00        99.3015                 NaN            NaN  0.267338       0.430741                 NaN            NaN  0.459464E-003            NaN            NaN            NaN            NaN
  1423.86        2500.00        99.3047                 NaN            NaN  0.429125       0.265759                 NaN            NaN  0.466327E-003            NaN            NaN            NaN            NaN
  1422.47        2500.00        99.3065                 NaN            NaN  0.264838       0.428259                 NaN            NaN  0.445326E-003            NaN            NaN            NaN            NaN
  1421.08        2500.00        99.3160                 NaN  0.148099E-001  0.240054       0.428691                 NaN            NaN  0.408430E-003            NaN            NaN            NaN            NaN
  1419.69        2500.00        99.3132                 NaN            NaN  0.262118       0.424284                 NaN            NaN  0.393642E-003            NaN            NaN            NaN            NaN
  1418.30        2500.00        99.3156                 NaN  0.331521E-002  0.424718       0.256034                 NaN            NaN  0.373476E-003            NaN            NaN            NaN            NaN
  1416.91        2500.00        99.3186                 NaN            NaN  0.421714       0.259281                 NaN            NaN  0.364195E-003            NaN            NaN            NaN            NaN
  1415.52        2500.00        98.5585                 NaN  0.728153E-001  0.469783       0.459448                 NaN            NaN            NaN  0.439455                 NaN            NaN            NaN
  1414.13        2500.00        98.6050                 NaN  0.195663       0.274161       0.456333                 NaN            NaN            NaN  0.468862                 NaN            NaN            NaN
  1412.74        2500.00        98.3879                 NaN  0.229172       0.525523       0.314703                 NaN            NaN            NaN  0.542700                 NaN            NaN            NaN
  1411.35        2500.00        98.5219                 NaN  0.212686       0.286668       0.478993                 NaN            NaN  0.161080E-002  0.498166                 NaN            NaN            NaN
  1409.96        2500.00        98.5555                 NaN  0.210487       0.274182       0.472340                 NaN            NaN            NaN  0.487503                 NaN            NaN            NaN
  1408.57        2500.00        98.5716                 NaN  0.210660       0.266143       0.469954                 NaN            NaN            NaN  0.481646                 NaN            NaN            NaN
  1407.18        2500.00        98.5863                 NaN  0.211166       0.466606       0.258598                 NaN            NaN            NaN  0.477351                 NaN            NaN            NaN
  1405.79        2500.00        98.6050                 NaN  0.210897       0.461392       0.251378                 NaN            NaN            NaN  0.471358                 NaN            NaN            NaN
  1404.40        2500.00        98.6232                 NaN  0.210550       0.456804       0.244014                 NaN            NaN            NaN  0.465473                 NaN            NaN            NaN
  1403.01        2500.00        98.6405                 NaN  0.210142       0.452425       0.237037                 NaN            NaN            NaN  0.459857                 NaN            NaN            NaN
  1401.62        2500.00        98.6584                 NaN  0.210042       0.229561       0.447892                 NaN            NaN            NaN  0.454122                 NaN            NaN            NaN
  1400.23        2500.00        98.6733                 NaN  0.209910       0.223132       0.444362                 NaN            NaN            NaN  0.449275                 NaN            NaN            NaN
  1398.84        2500.00        98.6890                 NaN  0.209835       0.440934       0.215940                 NaN            NaN            NaN  0.444333                 NaN            NaN            NaN
  1397.45        2500.00        98.7091                 NaN  0.208658       0.434937       0.209807                 NaN            NaN            NaN  0.437472                 NaN            NaN            NaN
  1396.06        2500.00        98.7211                 NaN  0.209565       0.203144       0.432188                 NaN            NaN            NaN  0.434025                 NaN            NaN            NaN
  1394.67        2500.00        98.7391                 NaN  0.208144       0.197698       0.427517                 NaN            NaN            NaN  0.427577                 NaN            NaN            NaN
  1393.28        2500.00        98.7538                 NaN  0.208157       0.191454       0.423559                 NaN            NaN            NaN  0.423020                 NaN            NaN            NaN
  1391.90        2500.00        98.7683                 NaN  0.208040       0.419907       0.185329                 NaN            NaN            NaN  0.418448                 NaN            NaN            NaN
  1390.51        2500.00        98.7783                 NaN  0.208797       0.178960       0.418375                 NaN            NaN            NaN  0.415565                 NaN            NaN            NaN
  1389.12        2500.00        98.7995                 NaN  0.206525       0.174633       0.411505                 NaN            NaN            NaN  0.407862                 NaN            NaN            NaN
  1387.73        2500.00        98.8109                 NaN  0.207033       0.409113       0.168395                 NaN            NaN            NaN  0.404522                 NaN            NaN            NaN
  1386.34        2500.00        98.8241                 NaN  0.206680       0.163030       0.406126                 NaN            NaN            NaN  0.400082                 NaN            NaN            NaN
  1384.95        2500.00        98.8382                 NaN  0.206590       0.156907       0.402637                 NaN            NaN            NaN  0.395703                 NaN            NaN            NaN
  1383.56        2500.00        98.8505                 NaN  0.205578       0.153545       0.399329                 NaN            NaN            NaN  0.391012                 NaN            NaN            NaN
  1382.17        2500.00        98.8630                 NaN  0.205464       0.147659       0.396790                 NaN            NaN            NaN  0.387124                 NaN            NaN            NaN
  1380.78        2500.00        98.8749                 NaN  0.205266       0.393638       0.143099                 NaN            NaN            NaN  0.383122                 NaN            NaN            NaN
  1379.39        2500.00        98.8878                 NaN  0.204502       0.390360       0.138563                 NaN            NaN            NaN  0.378760                 NaN            NaN            NaN
  1378.00        2500.00        98.8998                 NaN  0.204157       0.133782       0.387443                 NaN            NaN            NaN  0.374827                 NaN            NaN            NaN
  1376.61        2500.00        98.6382                 NaN  0.255442       0.157550       0.482864                 NaN            NaN            NaN  0.465942                 NaN            NaN            NaN
  1375.22        2500.00        99.2034                 NaN  0.150732       0.283942       0.911850E-001            NaN            NaN            NaN  0.270777                 NaN            NaN            NaN
  1373.83        2500.00        98.9344                 NaN  0.202565       0.378947       0.120965                 NaN            NaN            NaN  0.363136                 NaN            NaN            NaN
  1372.44        2500.00        98.9451                 NaN  0.202067       0.117052       0.376321                 NaN            NaN            NaN  0.359477                 NaN            NaN            NaN
  1371.05        2500.00        98.9545                 NaN  0.202270       0.373787       0.112952                 NaN            NaN            NaN  0.356464                 NaN            NaN            NaN
  1369.66        2500.00        98.9672                 NaN  0.200187       0.110083       0.370980                 NaN            NaN            NaN  0.351599                 NaN            NaN            NaN
  1368.27        2500.00        98.9762                 NaN  0.200294       0.105977       0.368853                 NaN            NaN            NaN  0.348680                 NaN            NaN            NaN
  1366.88        2500.00        98.9872                 NaN  0.199327       0.365985       0.102554                 NaN            NaN            NaN  0.344929                 NaN            NaN            NaN
  1365.49        2500.00        98.9972                 NaN  0.198760       0.990356E-001  0.363466                 NaN            NaN            NaN  0.341492                 NaN            NaN            NaN
  1364.10        2500.00        98.8104                 NaN  0.276846E-001  0.191073       0.614850                 NaN            NaN            NaN  0.355948                 NaN            NaN            NaN
  1362.71        2500.00        99.1106                 NaN  0.202561       0.383019                 NaN            NaN            NaN            NaN  0.303832                 NaN            NaN            NaN
  1361.32        2500.00        99.0473                 NaN  0.232407       0.385733                 NaN            NaN            NaN            NaN  0.334546                 NaN            NaN            NaN
  1359.93        2500.00        99.0560                 NaN  0.231400       0.381531                 NaN            NaN            NaN            NaN  0.331091                 NaN            NaN            NaN
  1358.54        2500.00        99.0614                 NaN  0.228385       0.381553                 NaN            NaN            NaN            NaN  0.328658                 NaN            NaN            NaN
  1357.15        2500.00        99.0742                 NaN  0.224501       0.378119                 NaN            NaN            NaN            NaN  0.323199                 NaN            NaN            NaN
  1355.76        2500.00        99.0749                 NaN  0.216261       0.370033       0.180598E-001            NaN            NaN            NaN  0.320724                 NaN            NaN            NaN
  1354.37        2500.00        99.0771                 NaN  0.202489       0.487322E-001  0.355420                 NaN            NaN            NaN  0.316211                 NaN            NaN            NaN
  1352.98        2500.00        99.0777                 NaN  0.190294       0.344645       0.747032E-001            NaN            NaN            NaN  0.312685                 NaN            NaN            NaN
  1351.59        2500.00        99.0878                 NaN  0.188598       0.341084       0.736313E-001            NaN            NaN            NaN  0.308848                 NaN            NaN            NaN
  1350.20        2500.00        99.0928                 NaN  0.185114       0.337928       0.774866E-001            NaN            NaN            NaN  0.306694                 NaN            NaN            NaN
  1348.81        2500.00        99.1080                 NaN  0.189282       0.338315       0.622124E-001            NaN            NaN            NaN  0.302163                 NaN            NaN            NaN
  1347.42        2500.00        99.1112                 NaN  0.185161       0.335118       0.683206E-001            NaN            NaN            NaN  0.300193                 NaN            NaN            NaN
  1346.04        2500.00        99.1186                 NaN  0.183742       0.333307       0.670045E-001            NaN            NaN            NaN  0.297395                 NaN            NaN            NaN
  1344.65        2500.00        97.5565                 NaN  0.251038       0.365001       0.923027                 NaN            NaN  0.148824       0.755587                 NaN            NaN            NaN
  1343.26        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1341.87        2500.00        99.4753                 NaN  0.856696E-001  0.226630                 NaN            NaN            NaN  0.441638E-001  0.168267                 NaN            NaN            NaN
  1340.48        2500.00        98.9593                 NaN  0.733672E-001  0.141629       0.415470                 NaN            NaN  0.980735E-001  0.312149                 NaN            NaN            NaN
  1339.09        2500.00        98.9639                 NaN  0.685707E-001  0.141314       0.416551                 NaN            NaN  0.100237       0.309466                 NaN            NaN            NaN
  1337.70        2500.00        98.9738                 NaN  0.657195E-001  0.413601       0.140621                 NaN            NaN  0.100254       0.305993                 NaN            NaN            NaN
  1336.31        2500.00        98.9837                 NaN  0.630266E-001  0.139830       0.410688                 NaN            NaN  0.100142       0.302570                 NaN            NaN            NaN
  1334.92        2500.00        98.9937                 NaN  0.603748E-001  0.407789       0.138956                 NaN            NaN  0.999723E-001  0.299180                 NaN            NaN            NaN
  1333.53        2500.00        99.0067                 NaN  0.587553E-001  0.138076       0.402348                 NaN            NaN  0.987788E-001  0.295335                 NaN            NaN            NaN
  1332.14        2500.00        99.0182                 NaN  0.568534E-001  0.398052       0.137172                 NaN            NaN  0.979524E-001  0.291795                 NaN            NaN            NaN
  1330.75        2500.00        99.0301                 NaN  0.555254E-001  0.135568       0.393529                 NaN            NaN  0.969278E-001  0.288329                 NaN            NaN            NaN
  1329.36        2500.00        99.0417                 NaN  0.531158E-001  0.388968       0.135774                 NaN            NaN  0.959429E-001  0.284519                 NaN            NaN            NaN
  1327.97        2500.00        99.0538                 NaN  0.518294E-001  0.135551       0.383225                 NaN            NaN  0.944862E-001  0.281129                 NaN            NaN            NaN
  1326.58        2500.00        99.0659                 NaN  0.504340E-001  0.378051       0.134744                 NaN            NaN  0.932675E-001  0.277565                 NaN            NaN            NaN
  1325.19        2500.00        99.0782                 NaN  0.495219E-001  0.372172       0.134141                 NaN            NaN  0.917177E-001  0.274233                 NaN            NaN            NaN
  1323.80        2500.00        99.0898                 NaN  0.472111E-001  0.367103       0.134771                 NaN            NaN  0.905992E-001  0.270498                 NaN            NaN            NaN
  1322.41        2500.00        99.1016                 NaN  0.462485E-001  0.133911       0.361872                 NaN            NaN  0.891699E-001  0.267173                 NaN            NaN            NaN
  1321.02        2500.00        99.1125                 NaN  0.443466E-001  0.356087       0.135248                 NaN            NaN  0.878760E-001  0.263946                 NaN            NaN            NaN
  1319.63        2500.00        99.1234                 NaN  0.429540E-001  0.351554       0.134844                 NaN            NaN  0.865631E-001  0.260695                 NaN            NaN            NaN
  1318.24        2500.00        99.1348                 NaN  0.414915E-001  0.345848       0.135226                 NaN            NaN  0.852515E-001  0.257399                 NaN            NaN            NaN
  1316.85        2500.00        99.1457                 NaN  0.401145E-001  0.135520       0.340481                 NaN            NaN  0.839519E-001  0.254221                 NaN            NaN            NaN
  1315.46        2500.00        99.1595                 NaN  0.853885E-001  0.357674       0.581069E-001            NaN            NaN  0.785492E-001  0.260786                 NaN            NaN            NaN
  1314.07        2500.00        99.1664                 NaN  0.100238E-005  0.311383       0.198090                 NaN            NaN  0.844107E-001  0.239702                 NaN            NaN            NaN
  1312.68        2500.00        99.1749                 NaN  0.266015E-001  0.320759       0.152942                 NaN            NaN  0.810742E-001  0.243724                 NaN            NaN            NaN
  1311.29        2500.00        99.1871                 NaN  0.341096E-001  0.319795       0.138051                 NaN            NaN  0.788861E-001  0.242043                 NaN            NaN            NaN
  1309.90        2500.00        99.1967                 NaN  0.323408E-001  0.313859       0.140354                 NaN            NaN  0.775449E-001  0.239214                 NaN            NaN            NaN
  1308.51        2500.00        99.2064                 NaN  0.306329E-001  0.308615       0.141719                 NaN            NaN  0.763745E-001  0.236274                 NaN            NaN            NaN
  1307.12        2500.00        99.2160                 NaN  0.290758E-001  0.142529       0.303718                 NaN            NaN  0.752237E-001  0.233460                 NaN            NaN            NaN
  1305.73        2500.00        99.2253                 NaN  0.274343E-001  0.144017       0.298481                 NaN            NaN  0.740538E-001  0.230759                 NaN            NaN            NaN
  1304.34        2500.00        99.2341                 NaN  0.259637E-001  0.145494       0.293552                 NaN            NaN  0.728135E-001  0.228055                 NaN            NaN            NaN
  1302.95        2500.00        99.2430                 NaN  0.240928E-001  0.147545       0.288190                 NaN            NaN  0.717572E-001  0.225431                 NaN            NaN            NaN
  1301.56        2500.00        99.2515                 NaN  0.224327E-001  0.149078       0.283465                 NaN            NaN  0.706444E-001  0.222915                 NaN            NaN            NaN
  1300.18        2500.00        99.2604                 NaN  0.210199E-001  0.278552       0.150210                 NaN            NaN  0.695542E-001  0.220236                 NaN            NaN            NaN
  1298.79        2500.00        99.2689                 NaN  0.196057E-001  0.273746       0.151529                 NaN            NaN  0.684202E-001  0.217767                 NaN            NaN            NaN
  1297.40        2500.00        99.2766                 NaN  0.175007E-001  0.268726       0.154352                 NaN            NaN  0.674780E-001  0.215367                 NaN            NaN            NaN
  1296.01        2500.00        74.5563                 NaN  0.648355       0.706880        4.11263                 NaN            NaN   1.31157        3.35847        15.3058                 NaN            NaN
  1294.62        2500.00        65.8307                 NaN  0.714594        5.28586        1.31498                 NaN            NaN   1.71376        4.45243        20.6877                 NaN            NaN
  1293.23        2500.00        72.9106                 NaN  0.460468        1.35889        4.07885                 NaN            NaN   1.33753        3.54262        16.3110                 NaN            NaN
  1291.84        2500.00        77.5207                 NaN  0.305049        1.37072        3.29021                 NaN            NaN   1.09350        2.94978        13.4700                 NaN            NaN
  1290.45        2500.00        79.7266                 NaN  0.744247E-001   1.66823        2.83276                 NaN            NaN  0.979889        2.65727        12.0608                 NaN            NaN
  1289.06        2500.00        83.8623                 NaN  0.566926       0.443786        2.57342                 NaN            NaN  0.708018        2.19279        9.65275                 NaN            NaN
  1287.67        2500.00        85.0081                 NaN            NaN   1.49346        1.94246                 NaN            NaN  0.707603        1.97537        8.87304                 NaN            NaN
  1286.28        2500.00        86.6333                 NaN            NaN   1.68944        1.40117                 NaN            NaN  0.617567        1.77136        7.88716                 NaN            NaN
  1284.89        2500.00        87.5443                 NaN            NaN   1.37745        1.52618                 NaN            NaN  0.562558        1.65941        7.33011                 NaN            NaN
  1283.50        2500.00        88.5507                 NaN            NaN   1.37093        1.31158                 NaN            NaN  0.506863        1.53099        6.72892                 NaN            NaN
  1282.11        2500.00        89.2651                 NaN  0.151567E-005   1.28699        1.25168                 NaN            NaN  0.462857        1.44215        6.29124                 NaN            NaN
  1280.72        2500.00        89.9099                 NaN            NaN   1.13187        1.26114                 NaN            NaN  0.426467        1.35956        5.91110                 NaN            NaN
  1279.33        2500.00        90.5191                 NaN            NaN   1.22661        1.02603                 NaN            NaN  0.393513        1.28101        5.55376                 NaN            NaN
  1277.94        2500.00        90.9590                 NaN            NaN   1.21757       0.935140                 NaN            NaN  0.366330        1.22522        5.29673                 NaN            NaN
