|6.6.6
Archiving\03_Data\eqfrac/QFM_m2.25/WD94/WD94_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1498.36        2500.00                 NaN   99.5166                 NaN  0.432024       0.279960E-001  0.233931E-001            NaN            NaN            NaN            NaN            NaN
  1496.85        2500.00                 NaN   99.4520                 NaN  0.190015                 NaN  0.357980                 NaN            NaN            NaN            NaN            NaN
  1495.34        2500.00                 NaN   99.3957                 NaN  0.344780E-001  0.233913E-002  0.567445                 NaN            NaN            NaN            NaN            NaN
  1493.83        2500.00                 NaN   99.4097                 NaN  0.130598       0.297415E-001  0.429968                 NaN            NaN            NaN            NaN            NaN
  1492.32        2500.00                 NaN   99.4190                 NaN            NaN  0.400930E-005  0.580954                 NaN            NaN            NaN            NaN            NaN
  1490.81        2500.00                 NaN   99.3635                 NaN            NaN            NaN  0.636548                 NaN            NaN            NaN            NaN            NaN
  1489.30        2500.00                 NaN   99.3872                 NaN            NaN            NaN  0.612832                 NaN            NaN            NaN            NaN            NaN
  1487.79        2500.00                 NaN   99.3988                 NaN            NaN            NaN  0.601200                 NaN            NaN            NaN            NaN            NaN
  1486.28        2500.00                 NaN   99.3939                 NaN            NaN  0.186271E-005  0.606083                 NaN            NaN            NaN            NaN            NaN
  1484.77        2500.00                 NaN   99.3904                 NaN            NaN            NaN  0.609561                 NaN            NaN            NaN            NaN            NaN
  1483.26        2500.00                 NaN   99.3887                 NaN            NaN            NaN  0.611332                 NaN            NaN            NaN            NaN            NaN
  1481.75        2500.00                 NaN   99.3866                 NaN            NaN            NaN  0.613351                 NaN            NaN            NaN            NaN            NaN
  1480.24        2500.00                 NaN   99.3922                 NaN            NaN            NaN  0.607847                 NaN            NaN            NaN            NaN            NaN
  1478.73        2500.00                 NaN   99.3662                 NaN            NaN            NaN  0.633827                 NaN            NaN            NaN            NaN            NaN
  1477.22        2500.00                 NaN   99.3726                 NaN            NaN            NaN  0.627370                 NaN            NaN            NaN            NaN            NaN
  1475.71        2500.00                 NaN   99.3685                 NaN            NaN            NaN  0.631470                 NaN            NaN            NaN            NaN            NaN
  1474.20        2500.00                 NaN   99.3615                 NaN            NaN            NaN  0.638538                 NaN            NaN            NaN            NaN            NaN
  1472.68        2500.00                 NaN   99.1732                 NaN            NaN            NaN  0.391085       0.435733                 NaN            NaN            NaN            NaN
  1471.17        2500.00                 NaN   99.0825                 NaN            NaN            NaN  0.606533       0.311002                 NaN            NaN            NaN            NaN
  1469.66        2500.00                 NaN   99.0904                 NaN            NaN            NaN  0.601185       0.308456                 NaN            NaN            NaN            NaN
  1468.15        2500.00                 NaN   99.0968                 NaN            NaN            NaN  0.305637       0.597594                 NaN            NaN            NaN            NaN
  1466.64        2500.00                 NaN   99.1027                 NaN            NaN            NaN  0.593783       0.303547                 NaN            NaN            NaN            NaN
  1465.13        2500.00                 NaN   99.1114                 NaN            NaN            NaN  0.587214       0.301376                 NaN            NaN            NaN            NaN
  1463.62        2500.00                 NaN   99.1181                 NaN            NaN            NaN  0.583104       0.298809                 NaN            NaN            NaN            NaN
  1462.11        2500.00                 NaN   99.1249                 NaN            NaN            NaN  0.578834       0.296238                 NaN            NaN            NaN            NaN
  1460.60        2500.00                 NaN   99.1304                 NaN            NaN            NaN  0.575107       0.294492                 NaN            NaN            NaN            NaN
  1459.09        2500.00                 NaN   99.1370                 NaN            NaN            NaN  0.571243       0.291729                 NaN            NaN            NaN            NaN
  1457.58        2500.00                 NaN   99.1426                 NaN            NaN            NaN  0.565977       0.291407                 NaN            NaN            NaN            NaN
  1456.07        2500.00                 NaN   99.1497                 NaN            NaN            NaN  0.288219       0.562071                 NaN            NaN            NaN            NaN
  1454.56        2500.00                 NaN   99.1545                 NaN            NaN            NaN  0.284854       0.560660                 NaN            NaN            NaN            NaN
  1453.05        2500.00                 NaN   99.1628                 NaN            NaN            NaN  0.285155       0.552064                 NaN            NaN            NaN            NaN
  1451.54        2500.00                 NaN   99.1670                 NaN            NaN            NaN  0.281711       0.551250                 NaN            NaN            NaN            NaN
  1450.03        2500.00                 NaN   99.1734                 NaN            NaN            NaN  0.546868       0.279688                 NaN            NaN            NaN            NaN
  1448.52        2500.00                 NaN   99.1648                 NaN            NaN            NaN  0.295698       0.539529                 NaN            NaN            NaN            NaN
  1447.01        2500.00                 NaN   99.1970                 NaN            NaN            NaN  0.546140       0.256829                 NaN            NaN            NaN            NaN
  1445.50        2500.00                 NaN   99.1885                 NaN            NaN            NaN  0.538057       0.273426                 NaN            NaN            NaN            NaN
  1443.99        2500.00                 NaN   99.1936                 NaN            NaN            NaN  0.534126       0.272324                 NaN            NaN            NaN            NaN
  1442.48        2500.00                 NaN   99.1990                 NaN            NaN            NaN  0.270340       0.530682                 NaN            NaN            NaN            NaN
  1440.97        2500.00                 NaN   99.2047                 NaN            NaN            NaN  0.526851       0.268459                 NaN            NaN            NaN            NaN
  1439.46        2500.00                 NaN   99.2088                 NaN            NaN            NaN  0.266756       0.524444                 NaN            NaN            NaN            NaN
  1437.95        2500.00                 NaN   99.2127                 NaN            NaN            NaN  0.522754       0.264524                 NaN            NaN            NaN            NaN
  1436.44        2500.00                 NaN   99.2189                 NaN            NaN            NaN  0.518196       0.262934                 NaN            NaN            NaN            NaN
  1434.93        2500.00                 NaN   99.2226                 NaN            NaN  0.204234E-005  0.516703       0.260670                 NaN            NaN            NaN            NaN
  1433.42        2500.00                 NaN   99.2273                 NaN            NaN            NaN  0.513271       0.259423                 NaN            NaN            NaN            NaN
  1431.91        2500.00                 NaN   99.2316                 NaN            NaN            NaN  0.510384       0.257975                 NaN            NaN            NaN            NaN
  1430.40        2500.00                 NaN   99.2363                 NaN            NaN            NaN  0.508035       0.255647                 NaN            NaN            NaN            NaN
  1428.89        2500.00                 NaN   98.5335                 NaN            NaN  0.372255E-001  0.529698       0.554918       0.344661                 NaN            NaN            NaN
  1427.38        2500.00                 NaN   98.0888                 NaN            NaN  0.244732       0.477719       0.602179       0.586522                 NaN            NaN            NaN
  1425.87        2500.00                 NaN   98.1222                 NaN            NaN  0.243898       0.464114       0.593287       0.576456                 NaN            NaN            NaN
  1424.36        2500.00                 NaN   98.1555                 NaN            NaN  0.242241       0.583648       0.452220       0.566372                 NaN            NaN            NaN
  1422.85        2500.00                 NaN   98.1827                 NaN            NaN  0.242455       0.579388       0.437305       0.558175                 NaN            NaN            NaN
  1421.34        2500.00                 NaN   98.2165                 NaN            NaN  0.240076       0.427172       0.568635       0.547658                 NaN            NaN            NaN
  1419.83        2500.00                 NaN   98.2485                 NaN            NaN  0.239382       0.415413       0.558493       0.538167                 NaN            NaN            NaN
  1418.32        2500.00                 NaN   98.2771                 NaN            NaN  0.238197       0.551955       0.403249       0.529544                 NaN            NaN            NaN
  1416.81        2500.00                 NaN   98.3031                 NaN            NaN  0.238355       0.545466       0.390902       0.522183                 NaN            NaN            NaN
  1415.30        2500.00                 NaN   98.3332                 NaN            NaN  0.235644       0.536172       0.382648       0.512357                 NaN            NaN            NaN
  1413.79        2500.00                 NaN   98.3606                 NaN            NaN  0.235228       0.529868       0.369983       0.504354                 NaN            NaN            NaN
  1412.28        2500.00                 NaN   98.3842                 NaN            NaN  0.234643       0.524105       0.360162       0.496925                 NaN            NaN            NaN
  1410.77        2500.00                 NaN   98.4090                 NaN            NaN  0.233896       0.349973       0.517762       0.489377                 NaN            NaN            NaN
  1409.26        2500.00                 NaN   98.4332                 NaN            NaN  0.233005       0.511492       0.340324       0.481992                 NaN            NaN            NaN
  1407.75        2500.00                 NaN   98.4569                 NaN            NaN  0.232176       0.330631       0.505507       0.474784                 NaN            NaN            NaN
  1406.24        2500.00                 NaN   98.4756                 NaN            NaN  0.232843       0.321807       0.500090       0.469687                 NaN            NaN            NaN
  1404.73        2500.00                 NaN   98.5087                 NaN            NaN  0.228954       0.491848       0.312141       0.458344                 NaN            NaN            NaN
  1403.22        2500.00                 NaN   98.5248                 NaN            NaN  0.229737       0.303508       0.487965       0.453962                 NaN            NaN            NaN
  1401.71        2500.00                 NaN   98.5463                 NaN            NaN  0.228870       0.482660       0.294892       0.447323                 NaN            NaN            NaN
  1400.20        2500.00                 NaN   98.5677                 NaN            NaN  0.228046       0.286720       0.476805       0.440753                 NaN            NaN            NaN
  1398.69        2500.00                 NaN   98.5878                 NaN            NaN  0.227201       0.471416       0.279071       0.434546                 NaN            NaN            NaN
  1397.18        2500.00                 NaN   98.6096                 NaN            NaN  0.226470       0.465242       0.270802       0.427909                 NaN            NaN            NaN
  1395.67        2500.00                 NaN   98.6271                 NaN            NaN  0.225952       0.461736       0.262778       0.422455                 NaN            NaN            NaN
  1394.16        2500.00                 NaN   99.1158                 NaN            NaN  0.148232       0.294484       0.167980       0.273545                 NaN            NaN            NaN
  1392.65        2500.00                 NaN   98.1921                 NaN            NaN  0.300828       0.611982       0.340310       0.554733                 NaN            NaN            NaN
  1391.14        2500.00                 NaN   98.6407                 NaN            NaN  0.200302       0.296255       0.446954       0.415822                 NaN            NaN            NaN
  1389.63        2500.00                 NaN   98.7392                 NaN            NaN  0.250493       0.445066       0.174432       0.390784                 NaN            NaN            NaN
  1388.12        2500.00                 NaN   98.7243                 NaN            NaN  0.216587       0.235807       0.432180       0.391172                 NaN            NaN            NaN
  1386.60        2500.00                 NaN   98.7057                 NaN            NaN  0.202909       0.433588       0.260105       0.397680                 NaN            NaN            NaN
  1385.09        2500.00                 NaN   98.7846                 NaN            NaN  0.240699       0.173090       0.427485       0.374159                 NaN            NaN            NaN
  1383.58        2500.00                 NaN   98.7735                 NaN            NaN  0.216963       0.422704       0.210418       0.376382                 NaN            NaN            NaN
  1382.07        2500.00                 NaN   98.7843                 NaN            NaN  0.217665       0.204178       0.420662       0.373210                 NaN            NaN            NaN
  1380.56        2500.00                 NaN   98.8000                 NaN            NaN  0.216909       0.198098       0.416636       0.368347                 NaN            NaN            NaN
  1379.05        2500.00                 NaN   98.8152                 NaN            NaN  0.215937       0.192305       0.412997       0.363538                 NaN            NaN            NaN
  1377.54        2500.00                 NaN   98.8309                 NaN            NaN  0.214942       0.408618       0.186945       0.358575                 NaN            NaN            NaN
  1376.03        2500.00                 NaN   98.8450                 NaN            NaN  0.213833       0.404867       0.182265       0.354071                 NaN            NaN            NaN
  1374.52        2500.00                 NaN   98.8350                 NaN            NaN  0.219531       0.414048       0.172908       0.358529                 NaN            NaN            NaN
  1373.01        2500.00                 NaN   98.8936                 NaN            NaN  0.204238       0.389139       0.176203       0.336853                 NaN            NaN            NaN
  1371.50        2500.00                 NaN   98.8875                 NaN            NaN  0.211417       0.167014       0.393290       0.340747                 NaN            NaN            NaN
  1369.99        2500.00                 NaN   98.8994                 NaN            NaN  0.209310       0.390301       0.164342       0.336612                 NaN            NaN            NaN
  1368.48        2500.00                 NaN   98.9151                 NaN            NaN  0.207871       0.159065       0.386406       0.331548                 NaN            NaN            NaN
  1366.97        2500.00                 NaN   98.9248                 NaN            NaN  0.207144       0.155699       0.383922       0.328432                 NaN            NaN            NaN
  1365.46        2500.00                 NaN   98.9400                 NaN            NaN  0.205912       0.379892       0.150621       0.323568                 NaN            NaN            NaN
  1363.95        2500.00                 NaN   98.9521                 NaN            NaN  0.204195       0.376353       0.147721       0.319659                 NaN            NaN            NaN
  1362.44        2500.00                 NaN   98.9635                 NaN            NaN  0.203061       0.143657       0.373783       0.316017                 NaN            NaN            NaN
  1360.93        2500.00                 NaN   98.9764                 NaN            NaN  0.201557       0.370215       0.140164       0.311708                 NaN            NaN            NaN
  1359.42        2500.00                 NaN   98.9876                 NaN            NaN  0.200344       0.136919       0.367093       0.308044                 NaN            NaN            NaN
  1357.91        2500.00                 NaN   98.9995                 NaN            NaN  0.198862       0.134105       0.363316       0.304233                 NaN            NaN            NaN
  1356.40        2500.00                 NaN   99.0106                 NaN            NaN  0.197435       0.131127       0.360320       0.300556                 NaN            NaN            NaN
  1354.89        2500.00                 NaN   99.0219                 NaN            NaN  0.195962       0.128225       0.357008       0.296892                 NaN            NaN            NaN
  1353.38        2500.00                 NaN   99.0330                 NaN            NaN  0.194126       0.125883       0.353826       0.293172                 NaN            NaN            NaN
  1351.87        2500.00                 NaN   99.0434                 NaN            NaN  0.192661       0.123007       0.351236       0.289746                 NaN            NaN            NaN
  1350.36        2500.00                 NaN   99.0514                 NaN            NaN  0.192704       0.117465       0.351111       0.287311                 NaN            NaN            NaN
  1348.85        2500.00                 NaN   99.0654                 NaN            NaN  0.187087       0.343505       0.122099       0.281909                 NaN            NaN            NaN
  1347.34        2500.00                 NaN   99.0742                 NaN            NaN  0.187208       0.341538       0.117649       0.279372                 NaN            NaN            NaN
  1345.83        2500.00                 NaN   99.0844                 NaN            NaN  0.185807       0.114469       0.339207       0.276080                 NaN            NaN            NaN
  1344.32        2500.00                 NaN   99.0942                 NaN            NaN  0.183710       0.113461       0.335900       0.272692                 NaN            NaN            NaN
  1342.81        2500.00                 NaN   99.1032                 NaN            NaN  0.181533       0.332539       0.113127       0.269590                 NaN            NaN            NaN
  1341.30        2500.00                 NaN   99.1134                 NaN            NaN  0.180014       0.110729       0.329562       0.266305                 NaN            NaN            NaN
  1339.79        2500.00                 NaN   99.1222                 NaN            NaN  0.177814       0.110203       0.326554       0.263210                 NaN            NaN            NaN
  1338.28        2500.00                 NaN   99.1318                 NaN            NaN  0.175610       0.109432       0.323180       0.259975                 NaN            NaN            NaN
  1336.77        2500.00                 NaN   99.1404                 NaN            NaN  0.173848       0.320712       0.107935       0.257070                 NaN            NaN            NaN
  1335.26        2500.00                 NaN   99.1472                 NaN            NaN  0.174155       0.321036       0.102425       0.255210                 NaN            NaN            NaN
  1333.75        2500.00                 NaN   99.1587                 NaN            NaN  0.166705       0.313360       0.111182       0.250080                 NaN            NaN            NaN
  1332.24        2500.00                 NaN   99.1660                 NaN            NaN  0.167108       0.107059       0.311662       0.248153                 NaN            NaN            NaN
  1330.73        2500.00                 NaN   99.1735                 NaN            NaN  0.164961       0.106289       0.309671       0.245561                 NaN            NaN            NaN
  1329.22        2500.00                 NaN   99.1805                 NaN            NaN  0.163942       0.104503       0.307762       0.243290                 NaN            NaN            NaN
  1327.71        2500.00                 NaN   99.1920                 NaN            NaN  0.158664       0.109413       0.300924       0.238995                 NaN            NaN            NaN
  1326.20        2500.00                 NaN   99.1985                 NaN            NaN  0.157729       0.299590       0.107231       0.236950                 NaN            NaN            NaN
  1324.69        2500.00                 NaN   99.2059                 NaN            NaN  0.155495       0.296905       0.107389       0.234319                 NaN            NaN            NaN
  1323.18        2500.00                 NaN   99.2132                 NaN            NaN  0.152693       0.109020       0.293310       0.231775                 NaN            NaN            NaN
  1321.67        2500.00                 NaN   99.2204                 NaN            NaN  0.150432       0.108737       0.291272       0.229185                 NaN            NaN            NaN
  1320.16        2500.00                 NaN   99.2285                 NaN            NaN  0.147487       0.110266       0.287422       0.226340                 NaN            NaN            NaN
  1318.65        2500.00                 NaN   99.2354                 NaN            NaN  0.145285       0.110737       0.284541       0.224021                 NaN            NaN            NaN
  1317.14        2500.00                 NaN   99.2424                 NaN            NaN  0.142481       0.112724       0.280864       0.221522                 NaN            NaN            NaN
  1315.63        2500.00                 NaN   99.2491                 NaN            NaN  0.139590       0.278641       0.113652       0.219009                 NaN            NaN            NaN
  1314.12        2500.00                 NaN   99.2561                 NaN            NaN  0.137292       0.275028       0.114929       0.216683                 NaN            NaN            NaN
  1312.61        2500.00                 NaN   99.2628                 NaN            NaN  0.134659       0.272046       0.116259       0.214261                 NaN            NaN            NaN
  1311.10        2500.00                 NaN   99.2694                 NaN            NaN  0.132303       0.269070       0.117228       0.212005                 NaN            NaN            NaN
  1309.59        2500.00                 NaN   87.0193                 NaN            NaN   1.19755       0.508853        2.19466        1.71046        7.36918                 NaN            NaN
  1308.08        2500.00                 NaN   84.0902                 NaN            NaN   1.44133        2.75554       0.532620        2.06711        9.11315                 NaN            NaN
  1306.57        2500.00                 NaN   85.3536                 NaN            NaN   1.32934        2.66653       0.395964        1.91138        8.34317                 NaN            NaN
  1305.06        2500.00                 NaN   86.4185                 NaN            NaN   1.23273        2.61077       0.264300        1.78025        7.69349                 NaN            NaN
  1303.55        2500.00                 NaN   87.3407                 NaN            NaN   1.14855        2.59393       0.118055        1.66654        7.13222                 NaN            NaN
  1302.04        2500.00                 NaN   88.1080                 NaN            NaN   1.06095        2.60098                 NaN   1.57209        6.65797                 NaN            NaN
  1300.52        2500.00                 NaN   88.7972                 NaN            NaN  0.970708        2.51338                 NaN   1.48697        6.23170                 NaN            NaN
  1299.01        2500.00                 NaN   89.4074                 NaN            NaN  0.909359        2.41281                 NaN   1.41142        5.85903                 NaN            NaN
  1297.50        2500.00                 NaN   89.9531                 NaN            NaN  0.837783        2.34242                 NaN   1.34402        5.52272                 NaN            NaN
  1295.99        2500.00                 NaN   90.4452                 NaN            NaN  0.793045        2.25367                 NaN   1.28293        5.22515                 NaN            NaN
  1294.48        2500.00                 NaN   90.8928                 NaN            NaN  0.741949        2.18481                 NaN   1.22754        4.95288                 NaN            NaN
  1292.97        2500.00                 NaN   86.0718                 NaN            NaN   1.09957        3.02305                 NaN   1.84743        7.58299       0.375143                 NaN
  1291.46        2500.00                 NaN   83.3066                 NaN            NaN   1.33814        3.46950                 NaN   2.19666        9.08818       0.600868                 NaN
  1289.95        2500.00                 NaN   83.9657                 NaN            NaN   1.33646        3.29480                 NaN   2.10615        8.72510       0.571741                 NaN
  1288.44        2500.00                 NaN   82.4799                 NaN            NaN   1.56305        3.50820                 NaN   2.30475        9.52209       0.622033                 NaN
  1286.93        2500.00                 NaN   78.2844                 NaN            NaN   2.49277        3.48425                 NaN   2.88120        12.0699       0.787490                 NaN
  1285.42        2500.00                 NaN   88.6932                 NaN            NaN  0.264251        3.65867                 NaN   1.56671        5.43267       0.384495                 NaN
  1283.91        2500.00                 NaN   88.4458                 NaN            NaN   1.00241        2.19362                 NaN   1.35096        6.67672       0.330482                 NaN
  1282.40        2500.00                 NaN   83.0999                 NaN            NaN   1.51071        3.32552                 NaN   2.16550        9.32985       0.568487                 NaN
  1280.89        2500.00                 NaN   79.5032                 NaN            NaN   1.78534        3.99387                 NaN   2.58864        11.4468       0.682167                 NaN
  1279.38        2500.00                 NaN   70.4228                 NaN            NaN   2.55820        5.72537                 NaN   3.68180        16.6593       0.952477                 NaN
  1277.87        2500.00                 NaN   44.4482                 NaN            NaN   4.92715        10.6087                 NaN   6.80422        31.4593        1.75249                 NaN
  1276.36        2500.00                 NaN   4.23418                 NaN            NaN   6.75279        9.35488        11.6940        11.6707        53.4642        2.82919                 NaN
