|6.6.6
Archiving\03_Data\eqfrac/QFM_m3/Y98/Y98_1.tab                             
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        O(HP)          Sp(TH)         an             ilm            San(TH)        q             
  1390.72        2500.00        98.7350       0.538416E-001  0.560626       0.269364                 NaN  0.381176                 NaN            NaN            NaN
  1389.50        2500.00        98.7480       0.558420       0.489762E-001  0.267837                 NaN  0.376727                 NaN            NaN            NaN
  1388.28        2500.00        98.7581       0.558177       0.426561E-001  0.267540                 NaN  0.373565                 NaN            NaN            NaN
  1387.06        2500.00        98.7654       0.559218       0.368211E-001  0.267417                 NaN  0.371180                 NaN            NaN            NaN
  1385.84        2500.00        98.7856       0.554502       0.298475E-001  0.265334                 NaN  0.364696                 NaN            NaN            NaN
  1384.62        2500.00        98.7926       0.554665       0.251318E-001  0.265063                 NaN  0.362562                 NaN            NaN            NaN
  1383.39        2500.00        98.8048       0.553264       0.186958E-001  0.264513                 NaN  0.358751                 NaN            NaN            NaN
  1382.17        2500.00        98.8146       0.133060E-001  0.553412       0.263251                 NaN  0.355454                 NaN            NaN            NaN
  1380.95        2500.00        98.8251       0.721711E-002  0.552693       0.262737                 NaN  0.352252                 NaN            NaN            NaN
  1379.73        2500.00        98.8361       0.356632E-002  0.551128       0.260928                 NaN  0.348274                 NaN            NaN            NaN
  1378.51        2500.00        98.8448       0.550079                 NaN  0.259777                 NaN  0.345373                 NaN            NaN            NaN
  1377.29        2500.00        98.8317       0.440177       0.191350       0.197254                 NaN  0.339548                 NaN            NaN            NaN
  1376.07        2500.00        98.8661       0.542118                 NaN  0.253880                 NaN  0.337936                 NaN            NaN            NaN
  1374.85        2500.00        98.8744       0.530896                 NaN  0.258732                 NaN  0.335969                 NaN            NaN            NaN
  1373.63        2500.00        98.8845       0.532775                 NaN  0.251080                 NaN  0.331643                 NaN            NaN            NaN
  1372.41        2500.00        98.8804       0.524290                 NaN  0.259379                 NaN  0.335927                 NaN            NaN            NaN
  1371.18        2500.00        98.9139       0.526613                 NaN  0.240548                 NaN  0.318939                 NaN            NaN            NaN
  1369.96        2500.00        98.9098       0.523019                 NaN  0.244460                 NaN  0.322708                 NaN            NaN            NaN
  1368.74        2500.00        98.9176       0.523777                 NaN  0.239161                 NaN  0.319503                 NaN            NaN            NaN
  1367.52        2500.00        98.9270       0.518597                 NaN  0.238131                 NaN  0.316249                 NaN            NaN            NaN
  1366.30        2500.00        98.9355       0.513544                 NaN  0.237441                 NaN  0.313508                 NaN            NaN            NaN
  1365.08        2500.00        98.9418       0.513318                 NaN  0.234031                 NaN  0.310861                 NaN            NaN            NaN
  1363.86        2500.00        98.9515       0.509202                 NaN  0.231725                 NaN  0.307588                 NaN            NaN            NaN
  1362.64        2500.00        98.9589       0.504597                 NaN  0.231345                 NaN  0.305152                 NaN            NaN            NaN
  1361.42        2500.00        98.9653       0.500206                 NaN  0.231549                 NaN  0.302946                 NaN            NaN            NaN
  1360.20        2500.00        98.9765       0.498150                 NaN  0.226516                 NaN  0.298867                 NaN            NaN            NaN
  1358.97        2500.00        98.9822       0.499142                 NaN  0.222120                 NaN  0.296494                 NaN            NaN            NaN
  1357.75        2500.00        98.9906       0.495294                 NaN  0.220360                 NaN  0.293714                 NaN            NaN            NaN
  1356.53        2500.00        98.9968       0.493865                 NaN  0.218145                 NaN  0.291143                 NaN            NaN            NaN
  1355.31        2500.00        99.0040       0.491845                 NaN  0.215551                 NaN  0.288650                 NaN            NaN            NaN
  1354.09        2500.00        99.0109       0.486710                 NaN  0.216067                 NaN  0.286299                 NaN            NaN            NaN
  1352.87        2500.00        99.0187       0.488414                 NaN  0.209904                 NaN  0.282941                 NaN            NaN            NaN
  1351.65        2500.00        99.0076       0.488346                 NaN  0.215263                 NaN  0.288755                 NaN            NaN            NaN
  1350.43        2500.00        99.0490       0.479224                 NaN  0.200826                 NaN  0.270971                 NaN            NaN            NaN
  1349.21        2500.00        99.0386       0.482388                 NaN  0.203405                 NaN  0.275605                 NaN            NaN            NaN
  1347.99        2500.00        99.0490       0.490183                 NaN  0.190094                 NaN  0.270681                 NaN            NaN            NaN
  1346.76        2500.00        99.0469       0.469839                 NaN  0.209447                 NaN  0.273813                 NaN            NaN            NaN
  1345.54        2500.00        99.0574       0.475517                 NaN  0.197928                 NaN  0.269110                 NaN            NaN            NaN
  1344.32        2500.00        99.0571       0.493210                 NaN  0.182604                 NaN  0.267107                 NaN            NaN            NaN
  1343.10        2500.00        99.0720       0.472144                 NaN  0.192547                 NaN  0.263288                 NaN            NaN            NaN
  1341.88        2500.00        99.0767       0.468948                 NaN  0.192166                 NaN  0.262158                 NaN            NaN            NaN
  1340.66        2500.00        99.0827       0.468510                 NaN  0.188979                 NaN  0.259827                 NaN            NaN            NaN
  1339.44        2500.00        99.0888       0.468177                 NaN  0.185348                 NaN  0.257687                 NaN            NaN            NaN
  1338.22        2500.00        99.0931       0.469509                 NaN  0.182005                 NaN  0.255341                 NaN            NaN            NaN
  1337.00        2500.00        99.1001       0.464884                 NaN  0.181749                 NaN  0.253282                 NaN            NaN            NaN
  1335.78        2500.00        99.1048       0.464947                 NaN  0.178834                 NaN  0.251397                 NaN            NaN            NaN
  1334.55        2500.00        99.1105       0.461495                 NaN  0.178469                 NaN  0.249492                 NaN            NaN            NaN
  1333.33        2500.00        99.1143       0.465232                 NaN  0.172923                 NaN  0.247505                 NaN            NaN            NaN
  1332.11        2500.00        99.1189       0.461077                 NaN  0.172933                 NaN  0.247084                 NaN            NaN            NaN
  1330.89        2500.00        99.1280       0.465736                 NaN  0.164937                 NaN  0.241293                 NaN            NaN            NaN
  1329.67        2500.00        99.0417       0.495401                 NaN  0.156979                 NaN  0.259809       0.461275E-001            NaN            NaN
  1328.45        2500.00        99.0275       0.500910                 NaN  0.152395                 NaN  0.261941       0.572844E-001            NaN            NaN
  1327.23        2500.00        99.0373       0.494335                 NaN  0.152630                 NaN  0.259222       0.564690E-001            NaN            NaN
  1326.01        2500.00        99.0471       0.488361                 NaN  0.152226                 NaN  0.256704       0.556270E-001            NaN            NaN
  1324.79        2500.00        99.0563       0.480549                 NaN  0.153743                 NaN  0.254401       0.549653E-001            NaN            NaN
  1323.57        2500.00        99.0654       0.477975                 NaN  0.150916                 NaN  0.251730       0.539574E-001            NaN            NaN
  1322.34        2500.00        99.0730       0.474301                 NaN  0.149995                 NaN  0.249570       0.531691E-001            NaN            NaN
  1321.12        2500.00        99.0835       0.469125                 NaN  0.148510                 NaN  0.246587       0.522688E-001            NaN            NaN
  1319.90        2500.00        99.0907       0.458586                 NaN  0.151545                 NaN  0.247007       0.521799E-001            NaN            NaN
  1318.68        2500.00        99.1030       0.464650                 NaN  0.143078                 NaN  0.239208       0.500608E-001            NaN            NaN
  1317.46        2500.00        99.1084       0.457486                 NaN  0.144678                 NaN  0.239559       0.498369E-001            NaN            NaN
  1316.24        2500.00        99.1166       0.454232                 NaN  0.142872                 NaN  0.237328       0.490139E-001            NaN            NaN
  1315.02        2500.00        99.1249       0.451811                 NaN  0.140219                 NaN  0.234892       0.481383E-001            NaN            NaN
  1313.80        2500.00        99.1330       0.446948                 NaN  0.139868                 NaN  0.232702       0.474417E-001            NaN            NaN
  1312.58        2500.00        99.1408       0.444854                 NaN  0.137315                 NaN  0.230427       0.465615E-001            NaN            NaN
  1311.36        2500.00        99.1478       0.441857                 NaN  0.136055                 NaN  0.228451       0.458234E-001            NaN            NaN
  1310.13        2500.00        99.1565       0.438489                 NaN  0.134082                 NaN  0.225902       0.450503E-001            NaN            NaN
  1308.91        2500.00        99.1654       0.433402                 NaN  0.132931                 NaN  0.223996       0.443137E-001            NaN            NaN
  1307.69        2500.00        99.1717       0.431640                 NaN  0.131698                 NaN  0.221438       0.435640E-001            NaN            NaN
  1306.47        2500.00        99.1787       0.428243                 NaN  0.130304                 NaN  0.219897       0.428916E-001            NaN            NaN
  1305.25        2500.00        99.1862       0.426582                 NaN  0.127842                 NaN  0.217395       0.420202E-001            NaN            NaN
  1304.03        2500.00        99.1927       0.424743                 NaN  0.125626                 NaN  0.215585       0.413166E-001            NaN            NaN
  1302.81        2500.00        99.2001       0.423728                 NaN  0.122215                 NaN  0.213451       0.404954E-001            NaN            NaN
  1301.59        2500.00        90.9253        2.16206                 NaN  0.702372                 NaN   1.27578       0.330828        4.60367                 NaN
  1300.37        2500.00        73.8593        5.69242                 NaN   2.03018                 NaN   3.46445       0.917184        14.0365                 NaN
  1299.15        2500.00        75.8274        5.29004                 NaN   1.95022                 NaN   3.20857       0.831939        12.8919                 NaN
  1297.92        2500.00        77.6181        4.94861                 NaN   1.84811                 NaN   2.97611       0.754717        11.8544                 NaN
  1296.70        2500.00        79.3108        4.62223                 NaN   1.74432                 NaN   2.75545       0.683656        10.8836                 NaN
  1295.48        2500.00        80.7514        4.35936                 NaN   1.63804                 NaN   2.56748       0.623681        10.0601                 NaN
  1294.26        2500.00        82.1039        4.10315                 NaN   1.53687                 NaN   2.39015       0.569169        9.29674                 NaN
  1293.04        2500.00        82.3754        4.02887                 NaN   1.48662                 NaN   2.36153       0.565048        9.18257                 NaN
  1291.82        2500.00        85.2613        3.52698                 NaN   1.25532                 NaN   1.96389       0.447937        7.54457                 NaN
  1290.60        2500.00        86.1755        3.26781                 NaN   1.26639                 NaN   1.85567       0.410946        7.02365                 NaN
  1289.38        2500.00        85.0854        3.51233                 NaN   1.29119                 NaN   1.99788       0.461955        7.65120                 NaN
  1288.16        2500.00        88.7042        2.74445                 NaN   1.02021                 NaN   1.50992       0.320423        5.70082                 NaN
  1286.94        2500.00        88.2256        2.92971                 NaN  0.982840                 NaN   1.57951       0.341914        5.94046                 NaN
  1285.71        2500.00        89.4338        2.65056                 NaN  0.879479                 NaN   1.41698       0.303345        5.31587                 NaN
  1284.49        2500.00        89.7331        2.59830                 NaN  0.841772                 NaN   1.37807       0.292938        5.15584                 NaN
  1283.27        2500.00        87.9746        2.88839                 NaN   1.00827                 NaN   1.62904       0.356949        6.14280                 NaN
  1282.05        2500.00        93.7790        1.74232                 NaN  0.470256                 NaN  0.821615       0.166023        3.02082                 NaN
  1280.83        2500.00        91.4604        2.23771                 NaN  0.674184                 NaN   1.14544       0.235739        4.24650                 NaN
  1279.61        2500.00        91.7893        2.15002                 NaN  0.629219                 NaN   1.10166       0.229062        4.10073                 NaN
  1278.39        2500.00        91.9965        2.07693                 NaN  0.616484                 NaN   1.07337       0.224212        4.01255                 NaN
  1277.17        2500.00        93.2567        1.81288                 NaN  0.501160                 NaN  0.904217       0.182339        3.34270                 NaN
  1275.95        2500.00        88.1916        2.67243                 NaN   1.07948                 NaN   1.64212       0.351325        6.06308                 NaN
  1274.73        2500.00        98.5983       0.757955                 NaN            NaN            NaN  0.130734       0.157484E-001  0.497244                 NaN
  1273.50        2500.00        94.0673        1.70726                 NaN  0.334135                 NaN  0.788056       0.160043        2.94324                 NaN
  1272.28        2500.00        90.3860        3.14337                 NaN            NaN            NaN   1.53270       0.297274        4.64070                 NaN
  1271.06        2500.00        96.1180       0.981383                 NaN            NaN            NaN  0.505408       0.219195E-001   2.37324                 NaN
  1269.84        2500.00        93.9845        1.76321                 NaN            NaN            NaN  0.750605       0.187686        3.31402                 NaN
  1268.62        2500.00        96.0968        1.33098                 NaN            NaN            NaN  0.489415       0.118517        1.96433                 NaN
  1267.40        2500.00        94.8679        1.73672                 NaN            NaN            NaN  0.656218       0.138717        2.60044                 NaN
  1266.18        2500.00        95.8780        1.39102                 NaN   1.36445                 NaN  0.485006       0.867260E-001  0.794750                 NaN
  1264.96        2500.00        96.4232                 NaN            NaN  0.494841                 NaN  0.357844       0.111334        2.61278                 NaN
  1263.74        2500.00        94.8936       0.867474                 NaN  0.682010                 NaN  0.634004       0.146248        2.77663                 NaN
  1262.52        2500.00        96.4659                 NaN            NaN   1.25617                 NaN  0.586599       0.592489E-001   1.63209                 NaN
  1261.29        2500.00        93.3704        2.89010                 NaN            NaN            NaN  0.951302       0.860958E-001   2.70211                 NaN
  1260.07        2500.00        95.9966        1.28282                 NaN            NaN            NaN  0.480832       0.123420        2.11629                 NaN
  1258.85        2500.00        95.9962        1.30243                 NaN            NaN            NaN  0.485234       0.117583        2.09859                 NaN
  1257.63        2500.00        95.9912        1.32354                 NaN            NaN            NaN  0.491099       0.111596        2.08259                 NaN
  1256.41        2500.00        95.9668        1.35086                 NaN            NaN            NaN  0.500460       0.105205        2.07665                 NaN
  1255.19        2500.00        96.3244        1.18803                 NaN            NaN            NaN  0.474801       0.905299E-001   1.92223                 NaN
  1253.97        2500.00        93.8388        1.44897                 NaN            NaN            NaN  0.806963       0.213339        3.69196                 NaN
  1252.75        2500.00        98.0561       0.132622       0.542334                 NaN            NaN  0.240726       0.347911E-001  0.993458                 NaN
  1251.53        2500.00        96.8453        1.05746                 NaN            NaN            NaN  0.372906       0.907637E-001   1.63356                 NaN
  1250.31        2500.00        97.2986       0.911193                 NaN            NaN            NaN  0.356082       0.664724E-001   1.36762                 NaN
  1249.08        2500.00        81.9632                 NaN            NaN   2.69222                 NaN   1.83659       0.704765        12.7073       0.959460E-001
  1247.86        2500.00        95.2028        3.90281                 NaN            NaN            NaN  0.894409                 NaN            NaN            NaN
  1246.64        2500.00        98.3403                 NaN            NaN            NaN            NaN  0.477773                 NaN   1.18191                 NaN
  1245.42        2500.00        99.4459       0.543271                 NaN            NaN            NaN            NaN  0.108326E-001            NaN            NaN
  1244.20        2500.00        99.7119                 NaN            NaN            NaN            NaN  0.410205E-001            NaN            NaN  0.247124     
  1242.98        2500.00        98.7886       0.844015       0.330909                 NaN            NaN  0.364724E-001            NaN            NaN            NaN
  1241.76        2500.00        99.8987                 NaN            NaN            NaN            NaN  0.736434E-001  0.276290E-001            NaN            NaN
  1240.54        2500.00        99.5575       0.422314                 NaN            NaN            NaN  0.202205E-001            NaN            NaN            NaN
  1239.32        2500.00        99.3106       0.536605                 NaN            NaN            NaN  0.152790                 NaN            NaN            NaN
  1238.10        2500.00        99.5470       0.315087                 NaN            NaN            NaN  0.137926                 NaN            NaN            NaN
  1236.87        2500.00        61.5912                 NaN            NaN   2.73818                 NaN   3.44560       0.657873        19.5887        11.9784     
  1235.65        2500.00        92.7634        6.59963                 NaN            NaN            NaN  0.616199                 NaN  0.207830E-001            NaN
  1234.43        2500.00        99.3797       0.406136                 NaN            NaN            NaN  0.106704                 NaN  0.107484                 NaN
  1233.21        2500.00        95.9693       0.543808       0.368283                 NaN            NaN  0.419618                 NaN   2.69901                 NaN
  1231.99        2500.00        62.4094                 NaN            NaN   1.63891                 NaN   2.93360       0.630174        18.3245        14.0635     
  1230.77        2500.00        80.7344        9.04096                 NaN            NaN            NaN   1.81044                 NaN   5.51115        2.90310     
  1229.55        2500.00       0.309798E-004   8.75882                 NaN   3.81551                 NaN   7.77009        1.53066        45.4442        32.6807     
  1228.33        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1227.11        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1225.89        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1224.66        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1223.44        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1222.22        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1221.00        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1219.78        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1218.56        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1217.34        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1216.12        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1214.90        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1213.68        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1212.45        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1211.23        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1210.01        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1208.79        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1207.57        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1206.35        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1205.13        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1203.91        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1202.69        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1201.47        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1200.24        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1199.02        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1197.80        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1196.58        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1195.36        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1194.14        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1192.92        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1191.70        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1190.48        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1189.26        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1188.03        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1186.81        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1185.59        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1184.37        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1183.15        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1181.93        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1180.71        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1179.49        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1178.27        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
