|6.6.6
Archiving\03_Data\eqfracLP/QFM_m1.75/KHA22/KHA22_3.tab                    
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1502.92        500.000                 NaN   99.5942                 NaN            NaN  0.400685       0.513307E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.54        500.000                 NaN   99.5950                 NaN            NaN  0.404955                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.16        500.000                 NaN   99.7567                 NaN            NaN  0.243274                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.78        500.000                 NaN   99.4437                 NaN            NaN  0.536225       0.200737E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.40        500.000                 NaN   99.1496                 NaN            NaN  0.850369                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.01        500.000                 NaN   99.9998                 NaN            NaN            NaN  0.171749E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.63        500.000                 NaN   99.6795                 NaN            NaN  0.320484                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.25        500.000                 NaN   99.6216                 NaN            NaN  0.308252       0.701738E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.87        500.000                 NaN   99.6113                 NaN            NaN  0.388674                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.49        500.000                 NaN   99.6155                 NaN            NaN  0.384493                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.11        500.000                 NaN   99.8147                 NaN            NaN            NaN  0.185349                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.72        500.000                 NaN   99.4553                 NaN            NaN  0.544705       0.388303E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.34        500.000                 NaN   99.6196                 NaN            NaN  0.380446                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.96        500.000                 NaN   99.6253                 NaN            NaN  0.374655                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.58        500.000                 NaN   99.6263                 NaN            NaN  0.373669                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.20        500.000                 NaN   99.6295                 NaN            NaN  0.370475                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1480.82        500.000                 NaN   99.6328                 NaN            NaN  0.367163                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1479.43        500.000                 NaN   99.6339                 NaN            NaN  0.366076                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1478.05        500.000                 NaN   99.6358                 NaN            NaN  0.364222                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1476.67        500.000                 NaN   99.6373                 NaN            NaN  0.362669       0.238726E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1475.29        500.000                 NaN   99.6374                 NaN            NaN  0.362645                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1473.91        500.000                 NaN   99.6431                 NaN            NaN  0.356858                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1472.53        500.000                 NaN   99.6441                 NaN            NaN  0.355903                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1471.14        500.000                 NaN   99.6454                 NaN            NaN  0.354611                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1469.76        500.000                 NaN   99.6473                 NaN            NaN  0.352688                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1468.38        500.000                 NaN   99.6447                 NaN            NaN  0.355265                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1467.00        500.000                 NaN   99.6566                 NaN            NaN  0.343426                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1465.62        500.000                 NaN   99.6423                 NaN            NaN  0.301572                 NaN  0.561391E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1464.24        500.000                 NaN   99.5939                 NaN            NaN  0.109926                 NaN  0.296195                 NaN            NaN            NaN            NaN            NaN            NaN
  1462.85        500.000                 NaN   99.5575                 NaN            NaN            NaN            NaN  0.442491                 NaN            NaN            NaN            NaN            NaN            NaN
  1461.47        500.000                 NaN   99.5692                 NaN            NaN            NaN            NaN  0.430837                 NaN            NaN            NaN            NaN            NaN            NaN
  1460.09        500.000                 NaN   99.5627                 NaN            NaN            NaN            NaN  0.437348                 NaN            NaN            NaN            NaN            NaN            NaN
  1458.71        500.000                 NaN   99.5681                 NaN            NaN  0.699035E-001            NaN  0.362025                 NaN            NaN            NaN            NaN            NaN            NaN
  1457.33        500.000                 NaN   99.5651                 NaN            NaN            NaN            NaN  0.434921                 NaN            NaN            NaN            NaN            NaN            NaN
  1455.95        500.000                 NaN   99.5645                 NaN            NaN            NaN            NaN  0.435483                 NaN            NaN            NaN            NaN            NaN            NaN
  1454.56        500.000                 NaN   99.5640                 NaN            NaN            NaN            NaN  0.436008                 NaN            NaN            NaN            NaN            NaN            NaN
  1453.18        500.000                 NaN   99.5646                 NaN            NaN            NaN            NaN  0.435433                 NaN            NaN            NaN            NaN            NaN            NaN
  1451.80        500.000                 NaN   99.3490                 NaN            NaN            NaN            NaN  0.317532       0.333455                 NaN            NaN            NaN            NaN            NaN
  1450.42        500.000                 NaN   99.3213                 NaN            NaN            NaN            NaN  0.382514       0.296184                 NaN            NaN            NaN            NaN            NaN
  1449.04        500.000                 NaN   99.3263                 NaN            NaN  0.110490                 NaN  0.387245       0.175988                 NaN            NaN            NaN            NaN            NaN
  1447.66        500.000                 NaN   99.3389                 NaN            NaN            NaN            NaN  0.288979       0.372168                 NaN            NaN            NaN            NaN            NaN
  1446.27        500.000                 NaN   99.3413                 NaN            NaN            NaN            NaN  0.372019       0.286633                 NaN            NaN            NaN            NaN            NaN
  1444.89        500.000                 NaN   99.3471                 NaN            NaN            NaN            NaN  0.283834       0.369064                 NaN            NaN            NaN            NaN            NaN
  1443.51        500.000                 NaN   99.3518                 NaN            NaN            NaN            NaN  0.281102       0.367091                 NaN            NaN            NaN            NaN            NaN
  1442.13        500.000                 NaN   99.3605                 NaN            NaN  0.796687E-003            NaN  0.361765       0.276907                 NaN            NaN            NaN            NaN            NaN
  1440.75        500.000                 NaN   99.3683                 NaN            NaN  0.388980E-001            NaN  0.359795       0.233047                 NaN            NaN            NaN            NaN            NaN
  1439.37        500.000                 NaN   99.3714                 NaN            NaN            NaN            NaN  0.271832       0.356795                 NaN            NaN            NaN            NaN            NaN
  1437.98        500.000                 NaN   99.3782                 NaN            NaN            NaN            NaN  0.269130       0.352661                 NaN            NaN            NaN            NaN            NaN
  1436.60        500.000                 NaN   99.3832                 NaN            NaN            NaN            NaN  0.350426       0.266400                 NaN            NaN            NaN            NaN            NaN
  1435.22        500.000                 NaN   99.3892                 NaN            NaN            NaN            NaN  0.347178       0.263629                 NaN            NaN            NaN            NaN            NaN
  1433.84        500.000                 NaN   99.3942                 NaN            NaN            NaN            NaN  0.260644       0.345128                 NaN            NaN            NaN            NaN            NaN
  1432.46        500.000                 NaN   99.4018                 NaN            NaN  0.246687E-001            NaN  0.232299       0.341219                 NaN            NaN            NaN            NaN            NaN
  1431.08        500.000                 NaN   99.4071                 NaN            NaN            NaN            NaN  0.255247       0.337659                 NaN            NaN            NaN            NaN            NaN
  1429.69        500.000                 NaN   99.4110                 NaN            NaN  0.593037E-002            NaN  0.247153       0.335916                 NaN            NaN            NaN            NaN            NaN
  1428.31        500.000                 NaN   99.4168                 NaN            NaN            NaN            NaN  0.250353       0.332889                 NaN            NaN            NaN            NaN            NaN
  1426.93        500.000                 NaN   99.4195                 NaN            NaN  0.167690E-001            NaN  0.231038       0.332722                 NaN            NaN            NaN            NaN            NaN
  1425.55        500.000                 NaN   99.4303                 NaN            NaN  0.275034E-002            NaN  0.241710       0.325260                 NaN            NaN            NaN            NaN            NaN
  1424.17        500.000                 NaN   99.4329                 NaN            NaN  0.116864E-001            NaN  0.324641       0.230732                 NaN            NaN            NaN            NaN            NaN
  1422.79        500.000                 NaN   99.4375                 NaN            NaN  0.100856E-001            NaN  0.322287       0.230159                 NaN            NaN            NaN            NaN            NaN
  1421.40        500.000                 NaN   99.4420                 NaN            NaN  0.987174E-002            NaN  0.228162       0.319959                 NaN            NaN            NaN            NaN            NaN
  1420.02        500.000                 NaN   99.4482                 NaN            NaN  0.110231E-001            NaN  0.224129       0.316608                 NaN            NaN            NaN            NaN            NaN
  1418.64        500.000                 NaN   99.4525                 NaN            NaN  0.104080E-001            NaN  0.314482       0.222609                 NaN            NaN            NaN            NaN            NaN
  1417.26        500.000                 NaN   98.9343                 NaN            NaN            NaN            NaN  0.446921       0.356262                 NaN  0.262536                 NaN            NaN            NaN
  1415.88        500.000                 NaN   98.5390                 NaN            NaN  0.579733E-003            NaN  0.384611       0.609300                 NaN  0.466462                 NaN            NaN            NaN
  1414.50        500.000                 NaN   98.5660                 NaN            NaN            NaN            NaN  0.377386       0.598549                 NaN  0.458028                 NaN            NaN            NaN
  1413.11        500.000                 NaN   98.5938                 NaN            NaN            NaN            NaN  0.587047       0.369954                 NaN  0.449151                 NaN            NaN            NaN
  1411.73        500.000                 NaN   98.6215                 NaN            NaN            NaN            NaN  0.362218       0.575645                 NaN  0.440628                 NaN            NaN            NaN
  1410.35        500.000                 NaN   98.6454                 NaN            NaN            NaN            NaN  0.355206       0.565924                 NaN  0.433499                 NaN            NaN            NaN
  1408.97        500.000                 NaN   98.6731                 NaN            NaN            NaN            NaN  0.554178       0.348226                 NaN  0.424541                 NaN            NaN            NaN
  1407.59        500.000                 NaN   98.6963                 NaN            NaN            NaN            NaN  0.341569       0.544787                 NaN  0.417327                 NaN            NaN            NaN
  1406.21        500.000                 NaN   98.7181                 NaN            NaN            NaN            NaN  0.335994       0.535460                 NaN  0.410458                 NaN            NaN            NaN
  1404.82        500.000                 NaN   98.7427                 NaN            NaN            NaN            NaN  0.525643       0.328820                 NaN  0.402831                 NaN            NaN            NaN
  1403.44        500.000                 NaN   98.7628                 NaN            NaN            NaN            NaN  0.323481       0.517170                 NaN  0.396574                 NaN            NaN            NaN
  1402.06        500.000                 NaN   98.7860                 NaN            NaN            NaN            NaN  0.316953       0.507735                 NaN  0.389277                 NaN            NaN            NaN
  1400.68        500.000                 NaN   98.8061                 NaN            NaN            NaN            NaN  0.311521       0.499362                 NaN  0.382975                 NaN            NaN            NaN
  1399.30        500.000                 NaN   98.8266                 NaN            NaN            NaN            NaN  0.305643       0.491238                 NaN  0.376554                 NaN            NaN            NaN
  1397.92        500.000                 NaN   98.8471                 NaN            NaN            NaN            NaN  0.483037       0.299810                 NaN  0.370088                 NaN            NaN            NaN
  1396.53        500.000                 NaN   98.8645                 NaN            NaN            NaN            NaN  0.475808       0.295077                 NaN  0.364654                 NaN            NaN            NaN
  1395.15        500.000                 NaN   98.9512                 NaN            NaN            NaN            NaN  0.437833       0.274005                 NaN  0.336946                 NaN            NaN            NaN
  1393.77        500.000                 NaN   98.8355                 NaN            NaN            NaN            NaN  0.488747       0.302036                 NaN  0.373760                 NaN            NaN            NaN
  1392.39        500.000                 NaN   98.9212                 NaN            NaN            NaN            NaN  0.452691       0.279406                 NaN  0.346727                 NaN            NaN            NaN
  1391.01        500.000                 NaN   98.9382                 NaN            NaN            NaN            NaN  0.445731       0.274645                 NaN  0.341396                 NaN            NaN            NaN
  1389.63        500.000                 NaN   98.9550                 NaN            NaN            NaN            NaN  0.270219       0.438843                 NaN  0.335955                 NaN            NaN            NaN
  1388.24        500.000                 NaN   98.9707                 NaN            NaN            NaN            NaN  0.265616       0.432581                 NaN  0.331058                 NaN            NaN            NaN
  1386.86        500.000                 NaN   98.9884                 NaN            NaN            NaN            NaN  0.260920       0.425269                 NaN  0.325417                 NaN            NaN            NaN
  1385.48        500.000                 NaN   99.0031                 NaN            NaN            NaN            NaN  0.419263       0.256881                 NaN  0.320710                 NaN            NaN            NaN
  1384.10        500.000                 NaN   99.0181                 NaN            NaN            NaN            NaN  0.252655       0.413215                 NaN  0.316047                 NaN            NaN            NaN
  1382.72        500.000                 NaN   99.0343                 NaN            NaN            NaN            NaN  0.406942       0.247946                 NaN  0.310791                 NaN            NaN            NaN
  1381.34        500.000                 NaN   99.0485                 NaN            NaN            NaN            NaN  0.401079       0.244109                 NaN  0.306303                 NaN            NaN            NaN
  1379.95        500.000                 NaN   99.0633                 NaN            NaN            NaN            NaN  0.395160       0.239965                 NaN  0.301623                 NaN            NaN            NaN
  1378.57        500.000                 NaN   99.0762                 NaN            NaN            NaN            NaN  0.389909       0.236312                 NaN  0.297619                 NaN            NaN            NaN
  1377.19        500.000                 NaN   99.0902                 NaN            NaN            NaN            NaN  0.232651       0.384156                 NaN  0.293002                 NaN            NaN            NaN
  1375.81        500.000                 NaN   99.1036                 NaN            NaN            NaN            NaN  0.378878       0.228695                 NaN  0.288836                 NaN            NaN            NaN
  1374.43        500.000                 NaN   99.1158                 NaN            NaN            NaN            NaN  0.225211       0.373991                 NaN  0.285002                 NaN            NaN            NaN
  1373.05        500.000                 NaN   99.1300                 NaN            NaN            NaN            NaN  0.368329       0.221351                 NaN  0.280293                 NaN            NaN            NaN
  1371.66        500.000                 NaN   99.1416                 NaN            NaN            NaN            NaN  0.363751       0.217901                 NaN  0.276702                 NaN            NaN            NaN
  1370.28        500.000                 NaN   99.1535                 NaN            NaN            NaN            NaN  0.358948       0.214734                 NaN  0.272812                 NaN            NaN            NaN
  1368.90        500.000                 NaN   99.1663                 NaN            NaN            NaN            NaN  0.353782       0.211225                 NaN  0.268719                 NaN            NaN            NaN
  1367.52        500.000                 NaN   99.1776                 NaN            NaN            NaN            NaN  0.349430       0.207832                 NaN  0.265108                 NaN            NaN            NaN
  1366.14        500.000                 NaN   99.1889                 NaN            NaN            NaN            NaN  0.344820       0.204813                 NaN  0.261471                 NaN            NaN            NaN
  1364.76        500.000                 NaN   99.1994                 NaN            NaN            NaN            NaN  0.201809       0.340641                 NaN  0.258137                 NaN            NaN            NaN
  1363.38        500.000                 NaN   99.2113                 NaN            NaN            NaN            NaN  0.198668       0.335807                 NaN  0.254262                 NaN            NaN            NaN
  1361.99        500.000                 NaN   99.2217                 NaN            NaN            NaN            NaN  0.195501       0.331890                 NaN  0.250901                 NaN            NaN            NaN
  1360.61        500.000                 NaN   99.2319                 NaN            NaN            NaN            NaN  0.327679       0.192869                 NaN  0.247591                 NaN            NaN            NaN
  1359.23        500.000                 NaN   99.2433                 NaN            NaN            NaN            NaN  0.323167       0.189652                 NaN  0.243874                 NaN            NaN            NaN
  1357.85        500.000                 NaN   99.2522                 NaN            NaN            NaN            NaN  0.319672       0.186976                 NaN  0.241127                 NaN            NaN            NaN
  1356.47        500.000                 NaN   99.2625                 NaN            NaN            NaN            NaN  0.184303       0.315491                 NaN  0.237712                 NaN            NaN            NaN
  1355.09        500.000                 NaN   99.2719                 NaN            NaN            NaN            NaN  0.311938       0.181457                 NaN  0.234742                 NaN            NaN            NaN
  1353.70        500.000                 NaN   99.2815                 NaN            NaN            NaN            NaN  0.178894       0.308000                 NaN  0.231635                 NaN            NaN            NaN
  1352.32        500.000                 NaN   99.2902                 NaN            NaN            NaN            NaN  0.176334       0.304570                 NaN  0.228882                 NaN            NaN            NaN
  1350.94        500.000                 NaN   99.3006                 NaN            NaN            NaN            NaN  0.173350       0.300639                 NaN  0.225440                 NaN            NaN            NaN
  1349.56        500.000                 NaN   99.3086                 NaN            NaN            NaN            NaN  0.297392       0.171095                 NaN  0.222902                 NaN            NaN            NaN
  1348.18        500.000                 NaN   99.3180                 NaN            NaN            NaN            NaN  0.168639       0.293538                 NaN  0.219789                 NaN            NaN            NaN
  1346.80        500.000                 NaN   99.3263                 NaN            NaN            NaN            NaN  0.166224       0.290319                 NaN  0.217122                 NaN            NaN            NaN
  1345.41        500.000                 NaN   99.3344                 NaN            NaN            NaN            NaN  0.163976       0.287086                 NaN  0.214530                 NaN            NaN            NaN
  1344.03        500.000                 NaN   99.3427                 NaN            NaN            NaN            NaN  0.283724       0.161810                 NaN  0.211787                 NaN            NaN            NaN
  1342.65        500.000                 NaN   99.3504                 NaN            NaN            NaN            NaN  0.159373       0.280852                 NaN  0.209339                 NaN            NaN            NaN
  1341.27        500.000                 NaN   99.3602                 NaN            NaN            NaN            NaN  0.156760       0.276955                 NaN  0.206055                 NaN            NaN            NaN
  1339.89        500.000                 NaN   99.3673                 NaN            NaN            NaN            NaN  0.274069       0.154786                 NaN  0.203807                 NaN            NaN            NaN
  1338.51        500.000                 NaN   99.3745                 NaN            NaN            NaN            NaN  0.152699       0.271319                 NaN  0.201447                 NaN            NaN            NaN
  1337.12        500.000                 NaN   99.3817                 NaN            NaN            NaN            NaN  0.268590       0.150620                 NaN  0.199139                 NaN            NaN            NaN
  1335.74        500.000                 NaN   99.3901                 NaN            NaN            NaN            NaN  0.148268       0.265204                 NaN  0.196381                 NaN            NaN            NaN
  1334.36        500.000                 NaN   99.3969                 NaN            NaN            NaN            NaN  0.146370       0.262522                 NaN  0.194220                 NaN            NaN            NaN
  1332.98        500.000                 NaN   99.4039                 NaN            NaN            NaN            NaN  0.144430       0.259725                 NaN  0.191936                 NaN            NaN            NaN
  1331.60        500.000                 NaN   99.4110                 NaN            NaN            NaN            NaN  0.142709       0.256542                 NaN  0.189744                 NaN            NaN            NaN
  1330.22        500.000                 NaN   99.4194                 NaN            NaN            NaN            NaN  0.139749       0.254088                 NaN  0.186775                 NaN            NaN            NaN
  1328.83        500.000                 NaN   99.4250                 NaN            NaN            NaN            NaN  0.251465       0.138431                 NaN  0.185068                 NaN            NaN            NaN
  1327.45        500.000                 NaN   99.4317                 NaN            NaN            NaN            NaN  0.136601       0.248857                 NaN  0.182891                 NaN            NaN            NaN
  1326.07        500.000                 NaN   99.4382                 NaN            NaN            NaN            NaN  0.134759       0.246345                 NaN  0.180727                 NaN            NaN            NaN
  1324.69        500.000                 NaN   99.4450                 NaN            NaN            NaN            NaN  0.243685       0.132729                 NaN  0.178576                 NaN            NaN            NaN
  1323.31        500.000                 NaN   99.4513                 NaN            NaN            NaN            NaN  0.241151       0.131077                 NaN  0.176444                 NaN            NaN            NaN
  1321.93        500.000                 NaN   99.4573                 NaN            NaN            NaN            NaN  0.238859       0.129318                 NaN  0.174540                 NaN            NaN            NaN
  1320.54        500.000                 NaN   99.4630                 NaN            NaN            NaN            NaN  0.236541       0.127746                 NaN  0.172747                 NaN            NaN            NaN
  1319.16        500.000                 NaN   99.4701                 NaN            NaN            NaN            NaN  0.233720       0.125946                 NaN  0.170264                 NaN            NaN            NaN
  1317.78        500.000                 NaN   99.4720                 NaN            NaN            NaN            NaN  0.233056       0.125225                 NaN  0.169759                 NaN            NaN            NaN
  1316.40        500.000                 NaN   99.4848                 NaN            NaN            NaN            NaN  0.227879       0.121847                 NaN  0.165480                 NaN            NaN            NaN
  1315.02        500.000                 NaN   99.4870                 NaN            NaN            NaN            NaN  0.120987       0.227166                 NaN  0.164801                 NaN            NaN            NaN
  1313.64        500.000                 NaN   99.4927                 NaN            NaN            NaN            NaN  0.224880       0.119437                 NaN  0.162965                 NaN            NaN            NaN
  1312.25        500.000                 NaN   99.4979                 NaN            NaN            NaN            NaN  0.222870       0.117960                 NaN  0.161263                 NaN            NaN            NaN
  1310.87        500.000                 NaN   99.5038                 NaN            NaN            NaN            NaN  0.116397       0.220463                 NaN  0.159305                 NaN            NaN            NaN
  1309.49        500.000                 NaN   99.5093                 NaN            NaN            NaN            NaN  0.114881       0.218309                 NaN  0.157545                 NaN            NaN            NaN
  1308.11        500.000                 NaN   99.5146                 NaN            NaN            NaN            NaN  0.113377       0.216248                 NaN  0.155813                 NaN            NaN            NaN
  1306.73        500.000                 NaN   99.5199                 NaN            NaN            NaN            NaN  0.214187       0.111880                 NaN  0.154063                 NaN            NaN            NaN
  1305.35        500.000                 NaN   99.5248                 NaN            NaN            NaN            NaN  0.212305       0.110382                 NaN  0.152547                 NaN            NaN            NaN
  1303.96        500.000                 NaN   99.5302                 NaN            NaN            NaN            NaN  0.210094       0.108950                 NaN  0.150711                 NaN            NaN            NaN
  1302.58        500.000                 NaN   99.5334                 NaN            NaN            NaN            NaN  0.209311       0.107449                 NaN  0.149808                 NaN            NaN            NaN
  1301.20        500.000                 NaN   99.5415                 NaN            NaN            NaN            NaN  0.106471       0.205159                 NaN  0.146832                 NaN            NaN            NaN
  1299.82        500.000                 NaN   99.5443                 NaN            NaN            NaN            NaN  0.204459       0.105107                 NaN  0.146099                 NaN            NaN            NaN
  1298.44        500.000                 NaN   99.5498                 NaN            NaN            NaN            NaN  0.103683       0.202270                 NaN  0.144255                 NaN            NaN            NaN
  1297.06        500.000                 NaN   99.5545                 NaN            NaN            NaN            NaN  0.102341       0.200430                 NaN  0.142778                 NaN            NaN            NaN
  1295.67        500.000                 NaN   99.5591                 NaN            NaN            NaN            NaN  0.198677       0.100914                 NaN  0.141271                 NaN            NaN            NaN
  1294.29        500.000                 NaN   86.4371                 NaN            NaN            NaN  0.743145E-001   1.05032        2.18410                 NaN   1.54387        8.71026                 NaN            NaN
  1292.91        500.000                 NaN   79.0987                 NaN            NaN            NaN  0.117192        1.59208        3.27857                 NaN   2.33518        13.5783                 NaN            NaN
  1291.53        500.000                 NaN   81.7673                 NaN            NaN            NaN  0.773363E-001   2.90074        1.39592                 NaN   2.05109        11.8076                 NaN            NaN
  1290.15        500.000                 NaN   83.4981                 NaN            NaN            NaN  0.336289E-001   2.69228        1.25961                 NaN   1.86853        10.6478                 NaN            NaN
  1288.77        500.000                 NaN   85.8374                 NaN            NaN            NaN  0.525103E-001   2.26905        1.10651                 NaN   1.61582        9.11867                 NaN            NaN
  1287.38        500.000                 NaN   86.8993                 NaN            NaN            NaN  0.681503E-002   1.00354        2.18089                 NaN   1.50293        8.40655                 NaN            NaN
  1286.00        500.000                 NaN   88.0897                 NaN            NaN            NaN            NaN  0.914353        1.99836                 NaN   1.37495        7.62264                 NaN            NaN
  1284.62        500.000                 NaN   89.0921                 NaN            NaN            NaN  0.487533E-002   1.82589       0.844011                 NaN   1.26750        6.96562                 NaN            NaN
  1283.24        500.000                 NaN   89.9422                 NaN            NaN            NaN            NaN  0.777912        1.69817                 NaN   1.17587        6.40585                 NaN            NaN
