|6.6.6
Archiving\03_Data\eqfracLP/QFM_m1.75/KHA22/KHA22_1.tab                    
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1529.17        500.000                 NaN   99.4505                 NaN            NaN  0.536161       0.133860E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.79        500.000                 NaN   99.4529                 NaN            NaN  0.534537       0.125295E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.41        500.000                 NaN   99.4581                 NaN            NaN  0.530257       0.116546E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.03        500.000                 NaN   99.4621                 NaN            NaN  0.525404       0.125275E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.65        500.000                 NaN   99.4673                 NaN            NaN  0.521152       0.115216E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.27        500.000                 NaN   99.4654                 NaN            NaN  0.523129       0.114409E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.88        500.000                 NaN   99.4781                 NaN            NaN  0.512598       0.932118E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.50        500.000                 NaN   99.1323                 NaN            NaN  0.858793       0.886024E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.12        500.000                 NaN   99.8230                 NaN            NaN  0.171965       0.503734E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.74        500.000                 NaN   99.4965                 NaN            NaN  0.493348       0.101030E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.36        500.000                 NaN   99.4733                 NaN            NaN  0.519002       0.767209E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.98        500.000                 NaN   99.4948                 NaN            NaN  0.505158                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.59        500.000                 NaN   99.4954                 NaN            NaN  0.492780       0.118515E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.21        500.000                 NaN   97.5492       0.269056       0.177529        2.00423                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.83        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.45        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.07        500.000                 NaN   99.9175                 NaN            NaN  0.825310E-001  0.998140E-006            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.69        500.000                 NaN   99.5127                 NaN            NaN  0.487331                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.30        500.000                 NaN   99.5102                 NaN            NaN  0.483505       0.632153E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.92        500.000                 NaN   99.5208                 NaN            NaN  0.472999       0.620872E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.54        500.000                 NaN   99.5218                 NaN            NaN  0.478194                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.16        500.000                 NaN   99.7126                 NaN            NaN  0.287410                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.78        500.000                 NaN   99.3424                 NaN            NaN  0.633325       0.243016E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.40        500.000                 NaN   98.9958                 NaN            NaN   1.00424                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.01        500.000                 NaN   99.9998                 NaN            NaN            NaN  0.208389E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.63        500.000                 NaN   99.6210                 NaN            NaN  0.378964                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.25        500.000                 NaN   99.5503                 NaN            NaN  0.364612       0.851200E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.87        500.000                 NaN   99.5402                 NaN            NaN  0.459827                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.49        500.000                 NaN   99.5450                 NaN            NaN  0.455031                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.11        500.000                 NaN   99.7747                 NaN            NaN            NaN  0.225305                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.72        500.000                 NaN   99.3549                 NaN            NaN  0.645048       0.472425E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.34        500.000                 NaN   99.5493                 NaN            NaN  0.450714                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.96        500.000                 NaN   99.5559                 NaN            NaN  0.444055                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.58        500.000                 NaN   99.5570                 NaN            NaN  0.442982                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.20        500.000                 NaN   99.5606                 NaN            NaN  0.439352                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1480.82        500.000                 NaN   99.5645                 NaN            NaN  0.435495                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1479.43        500.000                 NaN   99.5656                 NaN            NaN  0.434415                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1478.05        500.000                 NaN   99.5677                 NaN            NaN  0.432291                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1476.67        500.000                 NaN   99.5695                 NaN            NaN  0.430493       0.291283E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1475.29        500.000                 NaN   99.5694                 NaN            NaN  0.430569                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1473.91        500.000                 NaN   99.5761                 NaN            NaN  0.423920                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1472.53        500.000                 NaN   99.5771                 NaN            NaN  0.422864                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1471.14        500.000                 NaN   99.5786                 NaN            NaN  0.421432                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1469.76        500.000                 NaN   99.5807                 NaN            NaN  0.419282                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1468.38        500.000                 NaN   99.5776                 NaN            NaN  0.422423                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1467.00        500.000                 NaN   99.5914                 NaN            NaN  0.408577                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1465.62        500.000                 NaN   99.5747                 NaN            NaN  0.358831                 NaN  0.664430E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1464.24        500.000                 NaN   99.5185                 NaN            NaN  0.130848                 NaN  0.350694                 NaN            NaN            NaN            NaN            NaN            NaN
  1462.85        500.000                 NaN   99.4760                 NaN            NaN            NaN            NaN  0.523965                 NaN            NaN            NaN            NaN            NaN            NaN
  1461.47        500.000                 NaN   99.4895                 NaN            NaN            NaN            NaN  0.510481                 NaN            NaN            NaN            NaN            NaN            NaN
  1460.09        500.000                 NaN   99.4816                 NaN            NaN            NaN            NaN  0.518445                 NaN            NaN            NaN            NaN            NaN            NaN
  1458.71        500.000                 NaN   99.4874                 NaN            NaN  0.833341E-001            NaN  0.429288                 NaN            NaN            NaN            NaN            NaN            NaN
  1457.33        500.000                 NaN   99.4840                 NaN            NaN            NaN            NaN  0.515998                 NaN            NaN            NaN            NaN            NaN            NaN
  1455.95        500.000                 NaN   99.4832                 NaN            NaN            NaN            NaN  0.516844                 NaN            NaN            NaN            NaN            NaN            NaN
  1454.56        500.000                 NaN   99.4823                 NaN            NaN            NaN            NaN  0.517684                 NaN            NaN            NaN            NaN            NaN            NaN
  1453.18        500.000                 NaN   99.4827                 NaN            NaN            NaN            NaN  0.517347                 NaN            NaN            NaN            NaN            NaN            NaN
  1451.80        500.000                 NaN   99.2280                 NaN            NaN            NaN            NaN  0.377340       0.394678                 NaN            NaN            NaN            NaN            NaN
  1450.42        500.000                 NaN   99.1949                 NaN            NaN            NaN            NaN  0.452938       0.352191                 NaN            NaN            NaN            NaN            NaN
  1449.04        500.000                 NaN   99.1997                 NaN            NaN  0.132147                 NaN  0.458764       0.209390                 NaN            NaN            NaN            NaN            NaN
  1447.66        500.000                 NaN   99.2148                 NaN            NaN            NaN            NaN  0.344019       0.441152                 NaN            NaN            NaN            NaN            NaN
  1446.27        500.000                 NaN   99.2174                 NaN            NaN            NaN            NaN  0.441211       0.341422                 NaN            NaN            NaN            NaN            NaN
  1444.89        500.000                 NaN   99.2237                 NaN            NaN            NaN            NaN  0.338331       0.437937                 NaN            NaN            NaN            NaN            NaN
  1443.51        500.000                 NaN   99.2289                 NaN            NaN            NaN            NaN  0.335279       0.435823                 NaN            NaN            NaN            NaN            NaN
  1442.13        500.000                 NaN   99.2388                 NaN            NaN  0.955844E-003            NaN  0.429731       0.330472                 NaN            NaN            NaN            NaN            NaN
  1440.75        500.000                 NaN   99.2474                 NaN            NaN  0.467008E-001            NaN  0.427628       0.278311                 NaN            NaN            NaN            NaN            NaN
  1439.37        500.000                 NaN   99.2509                 NaN            NaN            NaN            NaN  0.324812       0.424268                 NaN            NaN            NaN            NaN            NaN
  1437.98        500.000                 NaN   99.2586                 NaN            NaN            NaN            NaN  0.321797       0.419568                 NaN            NaN            NaN            NaN            NaN
  1436.60        500.000                 NaN   99.2640                 NaN            NaN            NaN            NaN  0.417185       0.318792                 NaN            NaN            NaN            NaN            NaN
  1435.22        500.000                 NaN   99.2708                 NaN            NaN            NaN            NaN  0.413522       0.315662                 NaN            NaN            NaN            NaN            NaN
  1433.84        500.000                 NaN   99.2765                 NaN            NaN            NaN            NaN  0.312227       0.411250                 NaN            NaN            NaN            NaN            NaN
  1432.46        500.000                 NaN   99.2850                 NaN            NaN  0.297302E-001            NaN  0.278476       0.406817                 NaN            NaN            NaN            NaN            NaN
  1431.08        500.000                 NaN   99.2910                 NaN            NaN            NaN            NaN  0.306173       0.402797                 NaN            NaN            NaN            NaN            NaN
  1429.69        500.000                 NaN   99.2952                 NaN            NaN  0.715682E-002            NaN  0.296674       0.400952                 NaN            NaN            NaN            NaN            NaN
  1428.31        500.000                 NaN   99.3017                 NaN            NaN            NaN            NaN  0.300699       0.397565                 NaN            NaN            NaN            NaN            NaN
  1426.93        500.000                 NaN   99.3045                 NaN            NaN  0.202665E-001            NaN  0.277697       0.397571                 NaN            NaN            NaN            NaN            NaN
  1425.55        500.000                 NaN   99.3171                 NaN            NaN  0.332547E-002            NaN  0.290698       0.388855                 NaN            NaN            NaN            NaN            NaN
  1424.17        500.000                 NaN   99.3199                 NaN            NaN  0.141384E-001            NaN  0.388308       0.277656                 NaN            NaN            NaN            NaN            NaN
  1422.79        500.000                 NaN   99.3249                 NaN            NaN  0.122114E-001            NaN  0.385729       0.277176                 NaN            NaN            NaN            NaN            NaN
  1421.40        500.000                 NaN   99.3299                 NaN            NaN  0.119601E-001            NaN  0.274948       0.383145                 NaN            NaN            NaN            NaN            NaN
  1420.02        500.000                 NaN   99.3371                 NaN            NaN  0.133625E-001            NaN  0.270246       0.379322                 NaN            NaN            NaN            NaN            NaN
  1418.64        500.000                 NaN   99.3418                 NaN            NaN  0.126257E-001            NaN  0.376989       0.268598                 NaN            NaN            NaN            NaN            NaN
  1417.26        500.000                 NaN   98.7698                 NaN            NaN            NaN            NaN  0.539427       0.427159                 NaN  0.263634                 NaN            NaN            NaN
  1415.88        500.000                 NaN   98.3334                 NaN            NaN  0.704034E-003            NaN  0.461397       0.735928                 NaN  0.468533                 NaN            NaN            NaN
  1414.50        500.000                 NaN   98.3626                 NaN            NaN            NaN            NaN  0.453177       0.723797                 NaN  0.460387                 NaN            NaN            NaN
  1413.11        500.000                 NaN   98.3928                 NaN            NaN            NaN            NaN  0.710752       0.444698                 NaN  0.451784                 NaN            NaN            NaN
  1411.73        500.000                 NaN   98.4230                 NaN            NaN            NaN            NaN  0.435816       0.697671                 NaN  0.443525                 NaN            NaN            NaN
  1410.35        500.000                 NaN   98.4489                 NaN            NaN            NaN            NaN  0.427764       0.686642                 NaN  0.436658                 NaN            NaN            NaN
  1408.97        500.000                 NaN   98.4792                 NaN            NaN            NaN            NaN  0.673113       0.419788                 NaN  0.427939                 NaN            NaN            NaN
  1407.59        500.000                 NaN   98.5043                 NaN            NaN            NaN            NaN  0.412176       0.662519                 NaN  0.420964                 NaN            NaN            NaN
  1406.21        500.000                 NaN   98.5279                 NaN            NaN            NaN            NaN  0.405833       0.651912                 NaN  0.414327                 NaN            NaN            NaN
  1404.82        500.000                 NaN   98.5548                 NaN            NaN            NaN            NaN  0.640682       0.397560                 NaN  0.406918                 NaN            NaN            NaN
  1403.44        500.000                 NaN   98.5765                 NaN            NaN            NaN            NaN  0.391534       0.631055                 NaN  0.400880                 NaN            NaN            NaN
  1402.06        500.000                 NaN   98.6020                 NaN            NaN            NaN            NaN  0.383965       0.620266                 NaN  0.393784                 NaN            NaN            NaN
  1400.68        500.000                 NaN   98.6238                 NaN            NaN            NaN            NaN  0.377771       0.610718                 NaN  0.387683                 NaN            NaN            NaN
  1399.30        500.000                 NaN   98.6461                 NaN            NaN            NaN            NaN  0.370984       0.601475                 NaN  0.381453                 NaN            NaN            NaN
  1397.92        500.000                 NaN   98.6685                 NaN            NaN            NaN            NaN  0.592068       0.364254                 NaN  0.375169                 NaN            NaN            NaN
  1396.53        500.000                 NaN   98.6873                 NaN            NaN            NaN            NaN  0.583934       0.358856                 NaN  0.369921                 NaN            NaN            NaN
  1395.15        500.000                 NaN   98.7863                 NaN            NaN            NaN            NaN  0.538072       0.333580                 NaN  0.342077                 NaN            NaN            NaN
  1393.77        500.000                 NaN   98.6514                 NaN            NaN            NaN            NaN  0.600968       0.367978                 NaN  0.379656                 NaN            NaN            NaN
  1392.39        500.000                 NaN   98.7494                 NaN            NaN            NaN            NaN  0.557357       0.340790                 NaN  0.352484                 NaN            NaN            NaN
  1391.01        500.000                 NaN   98.7680                 NaN            NaN            NaN            NaN  0.549396       0.335305                 NaN  0.347309                 NaN            NaN            NaN
  1389.63        500.000                 NaN   98.7863                 NaN            NaN            NaN            NaN  0.330221       0.541512                 NaN  0.342014                 NaN            NaN            NaN
  1388.24        500.000                 NaN   98.8034                 NaN            NaN            NaN            NaN  0.324927       0.534398                 NaN  0.337266                 NaN            NaN            NaN
  1386.86        500.000                 NaN   98.8228                 NaN            NaN            NaN            NaN  0.319485       0.525931                 NaN  0.331753                 NaN            NaN            NaN
  1385.48        500.000                 NaN   98.8389                 NaN            NaN            NaN            NaN  0.519074       0.314837                 NaN  0.327184                 NaN            NaN            NaN
  1384.10        500.000                 NaN   98.8553                 NaN            NaN            NaN            NaN  0.309938       0.512138                 NaN  0.322653                 NaN            NaN            NaN
  1382.72        500.000                 NaN   98.8731                 NaN            NaN            NaN            NaN  0.504931       0.304444                 NaN  0.317511                 NaN            NaN            NaN
  1381.34        500.000                 NaN   98.8887                 NaN            NaN            NaN            NaN  0.498160       0.300023                 NaN  0.313145                 NaN            NaN            NaN
  1379.95        500.000                 NaN   98.9048                 NaN            NaN            NaN            NaN  0.491387       0.295235                 NaN  0.308575                 NaN            NaN            NaN
  1378.57        500.000                 NaN   98.9189                 NaN            NaN            NaN            NaN  0.485358       0.291026                 NaN  0.304691                 NaN            NaN            NaN
  1377.19        500.000                 NaN   98.9343                 NaN            NaN            NaN            NaN  0.286784       0.478746                 NaN  0.300174                 NaN            NaN            NaN
  1375.81        500.000                 NaN   98.9490                 NaN            NaN            NaN            NaN  0.472678       0.282166                 NaN  0.296112                 NaN            NaN            NaN
  1374.43        500.000                 NaN   98.9624                 NaN            NaN            NaN            NaN  0.278135       0.467047                 NaN  0.292384                 NaN            NaN            NaN
  1373.05        500.000                 NaN   98.9781                 NaN            NaN            NaN            NaN  0.460500       0.273608                 NaN  0.287753                 NaN            NaN            NaN
  1371.66        500.000                 NaN   98.9909                 NaN            NaN            NaN            NaN  0.455256       0.269629                 NaN  0.284263                 NaN            NaN            NaN
  1370.28        500.000                 NaN   99.0038                 NaN            NaN            NaN            NaN  0.449777       0.265967                 NaN  0.280460                 NaN            NaN            NaN
  1368.90        500.000                 NaN   99.0180                 NaN            NaN            NaN            NaN  0.443709       0.261846                 NaN  0.276444                 NaN            NaN            NaN
  1367.52        500.000                 NaN   99.0305                 NaN            NaN            NaN            NaN  0.438747       0.257877                 NaN  0.272917                 NaN            NaN            NaN
  1366.14        500.000                 NaN   99.0428                 NaN            NaN            NaN            NaN  0.433419       0.254379                 NaN  0.269358                 NaN            NaN            NaN
  1364.76        500.000                 NaN   99.0544                 NaN            NaN            NaN            NaN  0.250883       0.428619                 NaN  0.266105                 NaN            NaN            NaN
  1363.38        500.000                 NaN   99.0675                 NaN            NaN            NaN            NaN  0.247212       0.422997                 NaN  0.262291                 NaN            NaN            NaN
  1361.99        500.000                 NaN   99.0790                 NaN            NaN            NaN            NaN  0.243507       0.418515                 NaN  0.259001                 NaN            NaN            NaN
  1360.61        500.000                 NaN   99.0902                 NaN            NaN            NaN            NaN  0.413579       0.240420                 NaN  0.255758                 NaN            NaN            NaN
  1359.23        500.000                 NaN   99.1029                 NaN            NaN            NaN            NaN  0.408353       0.236662                 NaN  0.252090                 NaN            NaN            NaN
  1357.85        500.000                 NaN   99.1127                 NaN            NaN            NaN            NaN  0.404373       0.233537                 NaN  0.249419                 NaN            NaN            NaN
  1356.47        500.000                 NaN   99.1240                 NaN            NaN            NaN            NaN  0.230407       0.399499                 NaN  0.246054                 NaN            NaN            NaN
  1355.09        500.000                 NaN   99.1343                 NaN            NaN            NaN            NaN  0.395445       0.227078                 NaN  0.243144                 NaN            NaN            NaN
  1353.70        500.000                 NaN   99.1450                 NaN            NaN            NaN            NaN  0.224062       0.390837                 NaN  0.240087                 NaN            NaN            NaN
  1352.32        500.000                 NaN   99.1547                 NaN            NaN            NaN            NaN  0.221058       0.386874                 NaN  0.237394                 NaN            NaN            NaN
  1350.94        500.000                 NaN   99.1663                 NaN            NaN            NaN            NaN  0.217492       0.382273                 NaN  0.233981                 NaN            NaN            NaN
  1349.56        500.000                 NaN   99.1750                 NaN            NaN            NaN            NaN  0.378590       0.214892                 NaN  0.231501                 NaN            NaN            NaN
  1348.18        500.000                 NaN   99.1856                 NaN            NaN            NaN            NaN  0.211980       0.373991                 NaN  0.228421                 NaN            NaN            NaN
  1346.80        500.000                 NaN   99.1948                 NaN            NaN            NaN            NaN  0.209151       0.370292                 NaN  0.225799                 NaN            NaN            NaN
  1345.41        500.000                 NaN   99.2037                 NaN            NaN            NaN            NaN  0.206514       0.366564                 NaN  0.223252                 NaN            NaN            NaN
  1344.03        500.000                 NaN   99.2128                 NaN            NaN            NaN            NaN  0.362630       0.203978                 NaN  0.220544                 NaN            NaN            NaN
  1342.65        500.000                 NaN   99.2215                 NaN            NaN            NaN            NaN  0.201071       0.359313                 NaN  0.218139                 NaN            NaN            NaN
  1341.27        500.000                 NaN   99.2325                 NaN            NaN            NaN            NaN  0.197944       0.354651                 NaN  0.214858                 NaN            NaN            NaN
  1339.89        500.000                 NaN   99.2404                 NaN            NaN            NaN            NaN  0.351303       0.195643                 NaN  0.212654                 NaN            NaN            NaN
  1338.51        500.000                 NaN   99.2483                 NaN            NaN            NaN            NaN  0.193191       0.348199                 NaN  0.210329                 NaN            NaN            NaN
  1337.12        500.000                 NaN   99.2561                 NaN            NaN            NaN            NaN  0.345056       0.190739                 NaN  0.208055                 NaN            NaN            NaN
  1335.74        500.000                 NaN   99.2658                 NaN            NaN            NaN            NaN  0.187910       0.341008                 NaN  0.205308                 NaN            NaN            NaN
  1334.36        500.000                 NaN   99.2732                 NaN            NaN            NaN            NaN  0.185677       0.337905                 NaN  0.203181                 NaN            NaN            NaN
  1332.98        500.000                 NaN   99.2811                 NaN            NaN            NaN            NaN  0.183369       0.334607                 NaN  0.200921                 NaN            NaN            NaN
  1331.60        500.000                 NaN   99.2891                 NaN            NaN            NaN            NaN  0.181325       0.330791                 NaN  0.198755                 NaN            NaN            NaN
  1330.22        500.000                 NaN   99.2985                 NaN            NaN            NaN            NaN  0.177748       0.327991                 NaN  0.195771                 NaN            NaN            NaN
  1328.83        500.000                 NaN   99.3047                 NaN            NaN            NaN            NaN  0.324906       0.176239                 NaN  0.194107                 NaN            NaN            NaN
  1327.45        500.000                 NaN   99.3121                 NaN            NaN            NaN            NaN  0.174052       0.321899                 NaN  0.191946                 NaN            NaN            NaN
  1326.07        500.000                 NaN   99.3194                 NaN            NaN            NaN            NaN  0.171850       0.318970                 NaN  0.189796                 NaN            NaN            NaN
  1324.69        500.000                 NaN   99.3272                 NaN            NaN            NaN            NaN  0.315764       0.169407                 NaN  0.187656                 NaN            NaN            NaN
  1323.31        500.000                 NaN   99.3342                 NaN            NaN            NaN            NaN  0.312836       0.167462                 NaN  0.185533                 NaN            NaN            NaN
  1321.93        500.000                 NaN   99.3408                 NaN            NaN            NaN            NaN  0.310155       0.165362                 NaN  0.183648                 NaN            NaN            NaN
  1320.54        500.000                 NaN   99.3472                 NaN            NaN            NaN            NaN  0.307451       0.163480                 NaN  0.181875                 NaN            NaN            NaN
  1319.16        500.000                 NaN   99.3552                 NaN            NaN            NaN            NaN  0.304063       0.161325                 NaN  0.179374                 NaN            NaN            NaN
  1317.78        500.000                 NaN   99.3570                 NaN            NaN            NaN            NaN  0.303480       0.160536                 NaN  0.178953                 NaN            NaN            NaN
  1316.40        500.000                 NaN   99.3720                 NaN            NaN            NaN            NaN  0.297060       0.156354                 NaN  0.174553                 NaN            NaN            NaN
  1315.02        500.000                 NaN   99.3743                 NaN            NaN            NaN            NaN  0.155389       0.296411                 NaN  0.173944                 NaN            NaN            NaN
  1313.64        500.000                 NaN   99.3807                 NaN            NaN            NaN            NaN  0.293697       0.153528                 NaN  0.172113                 NaN            NaN            NaN
  1312.25        500.000                 NaN   99.3864                 NaN            NaN            NaN            NaN  0.291390       0.151772                 NaN  0.170421                 NaN            NaN            NaN
  1310.87        500.000                 NaN   99.3932                 NaN            NaN            NaN            NaN  0.149877       0.288466                 NaN  0.168455                 NaN            NaN            NaN
  1309.49        500.000                 NaN   99.3993                 NaN            NaN            NaN            NaN  0.148065       0.285911                 NaN  0.166697                 NaN            NaN            NaN
  1308.11        500.000                 NaN   99.4053                 NaN            NaN            NaN            NaN  0.146247       0.283470                 NaN  0.164965                 NaN            NaN            NaN
  1306.73        500.000                 NaN   99.4113                 NaN            NaN            NaN            NaN  0.281052       0.144432                 NaN  0.163212                 NaN            NaN            NaN
  1305.35        500.000                 NaN   99.4168                 NaN            NaN            NaN            NaN  0.278851       0.142635                 NaN  0.161704                 NaN            NaN            NaN
  1303.96        500.000                 NaN   99.4231                 NaN            NaN            NaN            NaN  0.276176       0.140887                 NaN  0.159854                 NaN            NaN            NaN
  1302.58        500.000                 NaN   99.4265                 NaN            NaN            NaN            NaN  0.275452       0.139082                 NaN  0.158991                 NaN            NaN            NaN
  1301.20        500.000                 NaN   99.4360                 NaN            NaN            NaN            NaN  0.137918       0.270201                 NaN  0.155928                 NaN            NaN            NaN
  1299.82        500.000                 NaN   99.4389                 NaN            NaN            NaN            NaN  0.269571       0.136286                 NaN  0.155242                 NaN            NaN            NaN
  1298.44        500.000                 NaN   99.4452                 NaN            NaN            NaN            NaN  0.134543       0.266898                 NaN  0.153374                 NaN            NaN            NaN
  1297.06        500.000                 NaN   99.4505                 NaN            NaN            NaN            NaN  0.132901       0.264678                 NaN  0.151894                 NaN            NaN            NaN
  1295.67        500.000                 NaN   99.4559                 NaN            NaN            NaN            NaN  0.262607       0.131160                 NaN  0.150379                 NaN            NaN            NaN
  1294.29        500.000                 NaN   85.5216                 NaN            NaN            NaN  0.106039        1.35380        2.86444                 NaN   1.62726        8.52686                 NaN            NaN
  1292.91        500.000                 NaN   77.8432                 NaN            NaN            NaN  0.167370        2.04434        4.28806                 NaN   2.44635        13.2107                 NaN            NaN
  1291.53        500.000                 NaN   80.6259                 NaN            NaN            NaN  0.111348        3.80987        1.79879                 NaN   2.15158        11.5025                 NaN            NaN
  1290.15        500.000                 NaN   82.4345                 NaN            NaN            NaN  0.487825E-001   3.54842        1.62750                 NaN   1.96146        10.3793                 NaN            NaN
  1288.77        500.000                 NaN   84.8873                 NaN            NaN            NaN  0.766892E-001   3.00266        1.43488                 NaN   1.69847        8.90001                 NaN            NaN
  1287.38        500.000                 NaN   86.0025                 NaN            NaN            NaN  0.100129E-001   1.30451        2.89436                 NaN   1.58053        8.20814                 NaN            NaN
  1286.00        500.000                 NaN   87.2549                 NaN            NaN            NaN            NaN   1.19153        2.65964                 NaN   1.44689        7.44704                 NaN            NaN
  1284.62        500.000                 NaN   88.3102                 NaN            NaN            NaN  0.724464E-002   2.43671        1.10244                 NaN   1.33462        6.80876                 NaN            NaN
  1283.24        500.000                 NaN   89.2057                 NaN            NaN            NaN            NaN   1.01843        2.27225                 NaN   1.23885        6.26472                 NaN            NaN
