|6.6.6
Archiving\03_Data\eqfracLP/QFM_m5/TAY13/TAY13_1.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        iron           O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        q              ilm           
  1543.34        500.000                 NaN   99.3902       0.592737                 NaN  0.171099E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.91        500.000                 NaN   99.3177       0.614202       0.153478E-001  0.527334E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.48        500.000                 NaN   99.4715       0.528526                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.05        500.000                 NaN   99.4073       0.592728                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.62        500.000                 NaN   99.4085       0.581208                 NaN  0.103241E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.19        500.000                 NaN   99.4054       0.571223                 NaN  0.233560E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.76        500.000                 NaN   99.4173       0.567319                 NaN  0.153383E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.33        500.000                 NaN   99.4316       0.568405                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.90        500.000                 NaN   99.4269       0.570436                 NaN  0.267607E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.47        500.000                 NaN   99.3391       0.648558                 NaN  0.123671E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.04        500.000                 NaN   99.6076       0.310571                 NaN  0.818171E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.61        500.000                 NaN   99.2888       0.711185                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.18        500.000                 NaN   99.5227       0.467862                 NaN  0.942569E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.75        500.000                 NaN   99.4495       0.550518                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.32        500.000                 NaN   99.4516       0.548390                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.90        500.000                 NaN   99.4548       0.545160                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.47        500.000                 NaN   99.4602       0.539789                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.04        500.000                 NaN   99.4633       0.536726                 NaN  0.225661E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.61        500.000                 NaN   99.4645       0.535544                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.18        500.000                 NaN   99.4937       0.361319                 NaN  0.144975                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.75        500.000                 NaN   99.4745       0.525499                 NaN  0.245958E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.32        500.000                 NaN   99.4006       0.599433                 NaN  0.964042E-006            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.89        500.000                 NaN   99.7808       0.219213                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.46        500.000                 NaN   99.2664       0.733630                 NaN  0.203113E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.03        500.000                 NaN   99.4205       0.579527                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.60        500.000                 NaN   99.3042       0.445805                 NaN  0.249978                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.17        500.000                 NaN   99.7952       0.204754                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.74        500.000                 NaN   98.8059        1.19415                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.31        500.000                 NaN   99.9976       0.236985E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.88        500.000                 NaN   99.6985       0.301530                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.45        500.000                 NaN   99.5185       0.481519                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.02        500.000                 NaN   99.5140       0.486041                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.59        500.000                 NaN   99.5159       0.484102                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.16        500.000                 NaN   99.5008       0.499226                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.73        500.000                 NaN   99.5388       0.461186                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.30        500.000                 NaN   99.5243       0.475739                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.87        500.000                 NaN   99.5280       0.471973                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.44        500.000                 NaN   99.5299       0.470063                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.01        500.000                 NaN   99.5328       0.467150                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.58        500.000                 NaN   99.5367       0.463293                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.15        500.000                 NaN   99.5389       0.461113                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.72        500.000                 NaN   99.5428       0.457228                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.29        500.000                 NaN   99.5440       0.456047                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1481.86        500.000                 NaN   99.5472       0.452789                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1480.43        500.000                 NaN   99.5513       0.448749                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1479.00        500.000                 NaN   99.4958       0.204822                 NaN            NaN  0.299395                 NaN            NaN            NaN            NaN            NaN            NaN
  1477.57        500.000                 NaN   99.4515       0.140168E-001            NaN            NaN  0.534490                 NaN            NaN            NaN            NaN            NaN            NaN
  1476.14        500.000                 NaN   99.4542       0.107292E-001            NaN            NaN  0.535110                 NaN            NaN            NaN            NaN            NaN            NaN
  1474.71        500.000                 NaN   99.4535       0.700296E-002            NaN            NaN  0.539523                 NaN            NaN            NaN            NaN            NaN            NaN
  1473.28        500.000                 NaN   99.4572       0.473991E-002            NaN            NaN  0.538043                 NaN            NaN            NaN            NaN            NaN            NaN
  1471.85        500.000                 NaN   99.4515                 NaN            NaN            NaN  0.548473                 NaN            NaN            NaN            NaN            NaN            NaN
  1470.42        500.000                 NaN   99.4648       0.686043E-001            NaN            NaN  0.466559                 NaN            NaN            NaN            NaN            NaN            NaN
  1468.99        500.000                 NaN   99.4594       0.625839E-004            NaN            NaN  0.540568                 NaN            NaN            NaN            NaN            NaN            NaN
  1467.56        500.000                 NaN   99.4616                 NaN            NaN            NaN  0.538433                 NaN            NaN            NaN            NaN            NaN            NaN
  1466.13        500.000                 NaN   99.4613                 NaN            NaN            NaN  0.538723                 NaN            NaN            NaN            NaN            NaN            NaN
  1464.70        500.000                 NaN   99.4611       0.747039E-002            NaN            NaN  0.531428                 NaN            NaN            NaN            NaN            NaN            NaN
  1463.27        500.000                 NaN   99.4651       0.627655E-001            NaN            NaN  0.472103                 NaN            NaN            NaN            NaN            NaN            NaN
  1461.84        500.000                 NaN   99.4596                 NaN            NaN            NaN  0.540442                 NaN            NaN            NaN            NaN            NaN            NaN
  1460.41        500.000                 NaN   99.4639                 NaN            NaN            NaN  0.536114                 NaN            NaN            NaN            NaN            NaN            NaN
  1458.98        500.000                 NaN   99.4591                 NaN            NaN            NaN  0.540893                 NaN            NaN            NaN            NaN            NaN            NaN
  1457.55        500.000                 NaN   99.4582       0.366902E-003            NaN            NaN  0.541398                 NaN            NaN            NaN            NaN            NaN            NaN
  1456.12        500.000                 NaN   99.4597                 NaN            NaN            NaN  0.540268                 NaN            NaN            NaN            NaN            NaN            NaN
  1454.69        500.000                 NaN   99.4554                 NaN            NaN            NaN  0.544643                 NaN            NaN            NaN            NaN            NaN            NaN
  1453.26        500.000                 NaN   99.2965                 NaN            NaN            NaN  0.435202       0.268299                 NaN            NaN            NaN            NaN            NaN
  1451.83        500.000                 NaN   99.1567                 NaN            NaN            NaN  0.509242       0.334093                 NaN            NaN            NaN            NaN            NaN
  1450.40        500.000                 NaN   99.1641                 NaN            NaN            NaN  0.330834       0.505092                 NaN            NaN            NaN            NaN            NaN
  1448.97        500.000                 NaN   99.1717                 NaN            NaN            NaN  0.327744       0.500601                 NaN            NaN            NaN            NaN            NaN
  1447.54        500.000                 NaN   99.1800                 NaN            NaN            NaN  0.496310       0.323700                 NaN            NaN            NaN            NaN            NaN
  1446.11        500.000                 NaN   99.1877                 NaN            NaN            NaN  0.320499       0.491828                 NaN            NaN            NaN            NaN            NaN
  1444.68        500.000                 NaN   99.1952                 NaN            NaN            NaN  0.487488       0.317329                 NaN            NaN            NaN            NaN            NaN
  1443.25        500.000                 NaN   99.2021                 NaN            NaN            NaN  0.313529       0.484407                 NaN            NaN            NaN            NaN            NaN
  1441.82        500.000                 NaN   99.2097                 NaN            NaN            NaN  0.311046       0.479237                 NaN            NaN            NaN            NaN            NaN
  1440.39        500.000                 NaN   99.2175                 NaN            NaN            NaN  0.475441       0.307072                 NaN            NaN            NaN            NaN            NaN
  1438.96        500.000                 NaN   99.2230                 NaN            NaN            NaN  0.305086       0.471876                 NaN            NaN            NaN            NaN            NaN
  1437.53        500.000                 NaN   99.2333                 NaN            NaN            NaN  0.300557       0.466105                 NaN            NaN            NaN            NaN            NaN
  1436.10        500.000                 NaN   99.2351                 NaN            NaN            NaN  0.298529       0.466421                 NaN            NaN            NaN            NaN            NaN
  1434.67        500.000                 NaN   99.2479                 NaN            NaN            NaN  0.457422       0.294711                 NaN            NaN            NaN            NaN            NaN
  1433.24        500.000                 NaN   99.2524       0.113684E-001            NaN            NaN  0.280176       0.456074                 NaN            NaN            NaN            NaN            NaN
  1431.81        500.000                 NaN   99.2584                 NaN            NaN            NaN  0.289067       0.452583                 NaN            NaN            NaN            NaN            NaN
  1430.38        500.000                 NaN   99.2654                 NaN            NaN            NaN  0.447848       0.286710                 NaN            NaN            NaN            NaN            NaN
  1428.95        500.000                 NaN   99.2714                 NaN            NaN            NaN  0.444925       0.283663                 NaN            NaN            NaN            NaN            NaN
  1427.53        500.000                 NaN   99.2772                 NaN            NaN            NaN  0.280862       0.441893                 NaN            NaN            NaN            NaN            NaN
  1426.10        500.000                 NaN   99.2824                 NaN            NaN            NaN  0.279100       0.438472                 NaN            NaN            NaN            NaN            NaN
  1424.67        500.000                 NaN   98.3947                 NaN            NaN            NaN  0.678635       0.529643                 NaN  0.397004                 NaN            NaN            NaN
  1423.24        500.000                 NaN   98.0125                 NaN            NaN            NaN  0.564377       0.851099                 NaN  0.571989                 NaN            NaN            NaN
  1421.81        500.000                 NaN   98.0558                 NaN            NaN            NaN  0.832774       0.551609                 NaN  0.559845                 NaN            NaN            NaN
  1420.38        500.000                 NaN   98.0918                 NaN            NaN            NaN  0.541532       0.816608                 NaN  0.550047                 NaN            NaN            NaN
  1418.95        500.000                 NaN   98.1342                 NaN            NaN            NaN  0.528619       0.799621                 NaN  0.537529                 NaN            NaN            NaN
  1417.52        500.000                 NaN   98.1703                 NaN            NaN            NaN  0.518547       0.783669                 NaN  0.527509                 NaN            NaN            NaN
  1416.09        500.000                 NaN   98.2036                 NaN            NaN            NaN  0.509151       0.769222                 NaN  0.517982                 NaN            NaN            NaN
  1414.66        500.000                 NaN   98.2403                 NaN            NaN            NaN  0.753713       0.498308                 NaN  0.507725                 NaN            NaN            NaN
  1413.23        500.000                 NaN   98.2730                 NaN            NaN            NaN  0.739750       0.488899                 NaN  0.498382                 NaN            NaN            NaN
  1411.80        500.000                 NaN   98.2252                 NaN  0.249952E-001            NaN  0.522241       0.707783                 NaN  0.519818                 NaN            NaN            NaN
  1410.37        500.000                 NaN   98.1551                 NaN  0.587493E-001            NaN  0.568404       0.667353                 NaN  0.550345                 NaN            NaN            NaN
  1408.94        500.000                 NaN   98.1996                 NaN  0.569252E-001            NaN  0.554419       0.651989                 NaN  0.537112                 NaN            NaN            NaN
  1407.51        500.000                 NaN   98.2410                 NaN  0.550288E-001            NaN  0.540960       0.638052                 NaN  0.524939                 NaN            NaN            NaN
  1406.08        500.000                 NaN   98.2810                 NaN  0.535642E-001            NaN  0.528894       0.623594                 NaN  0.512928                 NaN            NaN            NaN
  1404.65        500.000                 NaN   98.3251                 NaN  0.514823E-001            NaN  0.514224       0.609340                 NaN  0.499853                 NaN            NaN            NaN
  1403.22        500.000                 NaN   98.3594                 NaN  0.500098E-001            NaN  0.503565       0.597248                 NaN  0.489785                 NaN            NaN            NaN
  1401.79        500.000                 NaN   98.3970                 NaN  0.484792E-001            NaN  0.584557       0.491417                 NaN  0.478500                 NaN            NaN            NaN
  1400.36        500.000                 NaN   98.4314                 NaN  0.469287E-001            NaN  0.573053       0.480396                 NaN  0.468229                 NaN            NaN            NaN
  1398.93        500.000                 NaN   98.4652                 NaN  0.455465E-001            NaN  0.561342       0.469692                 NaN  0.458261                 NaN            NaN            NaN
  1397.50        500.000                 NaN   98.4976                 NaN  0.440576E-001            NaN  0.459221       0.550630                 NaN  0.448474                 NaN            NaN            NaN
  1396.07        500.000                 NaN   98.5293                 NaN  0.428294E-001            NaN  0.449194       0.539635                 NaN  0.439019                 NaN            NaN            NaN
  1394.64        500.000                 NaN   98.5595                 NaN  0.414513E-001            NaN  0.439373       0.529629                 NaN  0.430018                 NaN            NaN            NaN
  1393.21        500.000                 NaN   98.5889                 NaN  0.402212E-001            NaN  0.519627       0.430064                 NaN  0.421203                 NaN            NaN            NaN
  1391.78        500.000                 NaN   98.6163                 NaN  0.390860E-001            NaN  0.421436       0.510039                 NaN  0.413106                 NaN            NaN            NaN
  1390.35        500.000                 NaN   98.6453                 NaN  0.377433E-001            NaN  0.500962       0.411811                 NaN  0.404192                 NaN            NaN            NaN
  1388.92        500.000                 NaN   98.6714                 NaN  0.367178E-001            NaN  0.403349       0.492127                 NaN  0.396410                 NaN            NaN            NaN
  1387.49        500.000                 NaN   98.6968                 NaN  0.355463E-001            NaN  0.483682       0.395221                 NaN  0.388727                 NaN            NaN            NaN
  1386.06        500.000                 NaN   98.7218                 NaN  0.344653E-001            NaN  0.386945       0.475586                 NaN  0.381225                 NaN            NaN            NaN
  1384.63        500.000                 NaN   98.7450                 NaN  0.332984E-001            NaN  0.379136       0.468432                 NaN  0.374149                 NaN            NaN            NaN
  1383.20        500.000                 NaN   98.7699                 NaN  0.323529E-001            NaN  0.371575       0.459529                 NaN  0.366660                 NaN            NaN            NaN
  1381.77        500.000                 NaN   98.7917                 NaN  0.314186E-001            NaN  0.364266       0.452490                 NaN  0.360137                 NaN            NaN            NaN
  1380.34        500.000                 NaN   98.8139                 NaN  0.304409E-001            NaN  0.357117       0.445139                 NaN  0.353357                 NaN            NaN            NaN
  1378.91        500.000                 NaN   98.8356                 NaN  0.294971E-001            NaN  0.349994       0.438152                 NaN  0.346806                 NaN            NaN            NaN
  1377.48        500.000                 NaN   98.8561                 NaN  0.285914E-001            NaN  0.431426       0.343252                 NaN  0.340583                 NaN            NaN            NaN
  1376.05        500.000                 NaN   98.8761                 NaN  0.276911E-001            NaN  0.424986       0.336676                 NaN  0.334552                 NaN            NaN            NaN
  1374.62        500.000                 NaN   98.8960                 NaN  0.268075E-001            NaN  0.330236       0.418535                 NaN  0.328447                 NaN            NaN            NaN
  1373.19        500.000                 NaN   98.9147                 NaN  0.259154E-001            NaN  0.323948       0.412628                 NaN  0.322840                 NaN            NaN            NaN
  1371.76        500.000                 NaN   98.9335                 NaN  0.251263E-001            NaN  0.406590       0.317813                 NaN  0.317002                 NaN            NaN            NaN
  1370.33        500.000                 NaN   98.9514                 NaN  0.242344E-001            NaN  0.311574       0.401182                 NaN  0.311591                 NaN            NaN            NaN
  1368.90        500.000                 NaN   98.9690                 NaN  0.235267E-001            NaN  0.306208       0.395030                 NaN  0.306191                 NaN            NaN            NaN
  1367.47        500.000                 NaN   98.9858                 NaN  0.227206E-001            NaN  0.389965       0.300426                 NaN  0.301085                 NaN            NaN            NaN
  1366.04        500.000                 NaN   99.0027                 NaN  0.220580E-001            NaN  0.295027       0.384249                 NaN  0.295920                 NaN            NaN            NaN
  1364.61        500.000                 NaN   99.0189                 NaN  0.211907E-001            NaN  0.289475       0.379475                 NaN  0.290978                 NaN            NaN            NaN
  1363.18        500.000                 NaN   99.0349                 NaN  0.204877E-001            NaN  0.374320       0.284277                 NaN  0.286006                 NaN            NaN            NaN
  1361.75        500.000                 NaN   99.0499                 NaN  0.197340E-001            NaN  0.370047       0.278861                 NaN  0.281430                 NaN            NaN            NaN
  1360.32        500.000                 NaN   99.0651                 NaN  0.191882E-001            NaN  0.274244       0.364678                 NaN  0.276788                 NaN            NaN            NaN
  1358.89        500.000                 NaN   99.0786                 NaN  0.185003E-001            NaN  0.269628       0.360684                 NaN  0.272591                 NaN            NaN            NaN
  1357.46        500.000                 NaN   99.0947                 NaN  0.176229E-001            NaN  0.264191       0.355927                 NaN  0.267532                 NaN            NaN            NaN
  1356.03        500.000                 NaN   99.1081                 NaN  0.170653E-001            NaN  0.259662       0.351638                 NaN  0.263504                 NaN            NaN            NaN
  1354.60        500.000                 NaN   99.1212                 NaN  0.164380E-001            NaN  0.347580       0.255237                 NaN  0.259536                 NaN            NaN            NaN
  1353.17        500.000                 NaN   99.1349                 NaN  0.157959E-001            NaN  0.250659       0.343421                 NaN  0.255244                 NaN            NaN            NaN
  1351.74        500.000                 NaN   99.1474                 NaN  0.152598E-001            NaN  0.339589       0.246307                 NaN  0.251431                 NaN            NaN            NaN
  1350.31        500.000                 NaN   99.1604                 NaN  0.144710E-001            NaN  0.335465       0.242402                 NaN  0.247283                 NaN            NaN            NaN
  1348.88        500.000                 NaN   99.1730                 NaN  0.139356E-001            NaN  0.237768       0.331874                 NaN  0.243447                 NaN            NaN            NaN
  1347.45        500.000                 NaN   99.1842                 NaN  0.133942E-001            NaN  0.328429       0.233968                 NaN  0.239998                 NaN            NaN            NaN
  1346.02        500.000                 NaN   99.1971                 NaN  0.127437E-001            NaN  0.324737       0.229420                 NaN  0.236008                 NaN            NaN            NaN
  1344.59        500.000                 NaN   99.2078                 NaN  0.122125E-001            NaN  0.321535       0.225818                 NaN  0.232658                 NaN            NaN            NaN
  1343.16        500.000                 NaN   99.2195                 NaN  0.116518E-001            NaN  0.318053       0.221754                 NaN  0.229082                 NaN            NaN            NaN
  1341.73        500.000                 NaN   99.2302                 NaN  0.110819E-001            NaN  0.314901       0.218068                 NaN  0.225738                 NaN            NaN            NaN
  1340.30        500.000                 NaN   99.2412                 NaN  0.105928E-001            NaN  0.214325       0.311571                 NaN  0.222311                 NaN            NaN            NaN
  1338.87        500.000                 NaN   99.2518                 NaN  0.100304E-001            NaN  0.210675       0.308487                 NaN  0.218999                 NaN            NaN            NaN
  1337.44        500.000                 NaN   99.2617                 NaN  0.952179E-002            NaN  0.207322       0.305511                 NaN  0.215906                 NaN            NaN            NaN
  1336.01        500.000                 NaN   99.2718                 NaN  0.893064E-002            NaN  0.203744       0.302757                 NaN  0.212735                 NaN            NaN            NaN
  1334.58        500.000                 NaN   99.2811                 NaN  0.848655E-002            NaN  0.200410       0.300097                 NaN  0.209885                 NaN            NaN            NaN
  1333.15        500.000                 NaN   99.2925                 NaN  0.789113E-002            NaN  0.196434       0.296880                 NaN  0.206291                 NaN            NaN            NaN
  1331.73        500.000                 NaN   99.3010                 NaN  0.751328E-002            NaN  0.193361       0.294400                 NaN  0.203720                 NaN            NaN            NaN
  1330.30        500.000                 NaN   99.3093                 NaN  0.680357E-002            NaN  0.292317       0.190506                 NaN  0.201029                 NaN            NaN            NaN
  1328.87        500.000                 NaN   99.3199                 NaN  0.633694E-002            NaN  0.289746       0.186360                 NaN  0.197685                 NaN            NaN            NaN
  1327.44        500.000                 NaN   99.3281                 NaN  0.598825E-002            NaN  0.286877       0.183821                 NaN  0.195170                 NaN            NaN            NaN
  1326.01        500.000                 NaN   99.3368                 NaN  0.550962E-002            NaN  0.284619       0.180591                 NaN  0.192471                 NaN            NaN            NaN
  1324.58        500.000                 NaN   99.3452                 NaN  0.500538E-002            NaN  0.177490       0.282466                 NaN  0.189854                 NaN            NaN            NaN
  1323.15        500.000                 NaN   99.3537                 NaN  0.456533E-002            NaN  0.174652       0.279895                 NaN  0.187146                 NaN            NaN            NaN
  1321.72        500.000                 NaN   99.3609                 NaN  0.402123E-002            NaN  0.278449       0.171687                 NaN  0.184975                 NaN            NaN            NaN
  1320.29        500.000                 NaN   99.3700                 NaN  0.365553E-002            NaN  0.275691       0.168633                 NaN  0.182017                 NaN            NaN            NaN
  1318.86        500.000                 NaN   99.3780                 NaN  0.316243E-002            NaN  0.165768       0.273548                 NaN  0.179483                 NaN            NaN            NaN
  1317.43        500.000                 NaN   99.3851                 NaN  0.276030E-002            NaN  0.271698       0.163104                 NaN  0.177336                 NaN            NaN            NaN
  1316.00        500.000                 NaN   99.3927                 NaN  0.226494E-002            NaN  0.269819       0.160333                 NaN  0.174905                 NaN            NaN            NaN
  1314.57        500.000                 NaN   99.4000                 NaN  0.205104E-002            NaN  0.267381       0.157880                 NaN  0.172694                 NaN            NaN            NaN
  1313.14        500.000                 NaN   99.4078                 NaN  0.141374E-002            NaN  0.154778       0.265888                 NaN  0.170158                 NaN            NaN            NaN
  1311.71        500.000                 NaN   99.4143                 NaN  0.105089E-002            NaN  0.152432       0.264117                 NaN  0.168143                 NaN            NaN            NaN
  1310.28        500.000                 NaN   99.4214                 NaN  0.590523E-003            NaN  0.262347       0.149801                 NaN  0.165862                 NaN            NaN            NaN
  1308.85        500.000                 NaN   99.4281                 NaN  0.201041E-003            NaN  0.260732       0.147166                 NaN  0.163766                 NaN            NaN            NaN
  1307.42        500.000                 NaN   99.4350                 NaN            NaN            NaN  0.258706       0.144541                 NaN  0.161761                 NaN            NaN            NaN
  1305.99        500.000                 NaN   99.4413                 NaN            NaN            NaN  0.143068       0.255843                 NaN  0.159763                 NaN            NaN            NaN
  1304.56        500.000                 NaN   99.4465                 NaN  0.153971E-002            NaN  0.249953       0.143328                 NaN  0.158674                 NaN            NaN            NaN
  1303.13        500.000                 NaN   99.4540                 NaN            NaN            NaN  0.139253       0.250747                 NaN  0.156022                 NaN            NaN            NaN
  1301.70        500.000                 NaN   99.4598                 NaN            NaN            NaN  0.137482       0.248434                 NaN  0.154296                 NaN            NaN            NaN
  1300.27        500.000                 NaN   99.4613                 NaN  0.119076E-001            NaN  0.217186       0.152443                 NaN  0.157123                 NaN            NaN            NaN
  1298.84        500.000                 NaN   99.4722                 NaN            NaN            NaN  0.133762       0.243444                 NaN  0.150606                 NaN            NaN            NaN
  1297.41        500.000                 NaN   99.4779                 NaN            NaN            NaN  0.241017       0.132135                 NaN  0.148933                 NaN            NaN            NaN
  1295.98        500.000                 NaN   99.4834                 NaN            NaN            NaN  0.238933       0.130393                 NaN  0.147274                 NaN            NaN            NaN
  1294.55        500.000                 NaN   93.5433                 NaN            NaN            NaN  0.663625        1.29265                 NaN  0.766142        3.73425                 NaN            NaN
  1293.12        500.000                 NaN   87.8161                 NaN  0.221203E-001            NaN   1.21128        2.22393                 NaN   1.36373        7.36281                 NaN            NaN
  1291.69        500.000                 NaN   89.4214                 NaN  0.225021E-001            NaN   1.06754        1.91112                 NaN   1.18996        6.38753                 NaN            NaN
  1290.26        500.000                 NaN   90.6747                 NaN  0.149964E-001            NaN   1.68665       0.943999                 NaN   1.05148        5.62822                 NaN            NaN
  1288.83        500.000                 NaN   91.6655                 NaN  0.950108E-002            NaN  0.846476        1.50807                 NaN  0.941788        5.02869                 NaN            NaN
  1287.40        500.000                 NaN   92.4656                 NaN  0.525711E-002            NaN   1.36406       0.766830                 NaN  0.853208        4.54510                 NaN            NaN
  1285.97        500.000                 NaN   93.1269                 NaN  0.215611E-002            NaN  0.702537        1.24256                 NaN  0.779759        4.14612                 NaN            NaN
  1284.54        500.000                 NaN   93.6851                 NaN  0.185103E-002            NaN   1.13423       0.651238                 NaN  0.718154        3.80942                 NaN            NaN
  1283.11        500.000                 NaN   94.1620                 NaN            NaN            NaN   1.04554       0.604598                 NaN  0.664870        3.52303                 NaN            NaN
  1281.68        500.000                 NaN   94.5756                 NaN            NaN            NaN  0.964559       0.566008                 NaN  0.618900        3.27490                 NaN            NaN
  1280.25        500.000                 NaN   94.9325                 NaN            NaN            NaN  0.533164       0.894892                 NaN  0.579214        3.06024                 NaN            NaN
