|6.6.6
Archiving\03_Data\eqfracLP/QFM_m5/TAY13/TAY13_3.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        iron           O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        q              ilm           
  1501.88        500.000                 NaN   99.7446       0.255407                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.45        500.000                 NaN   99.5923       0.407741                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.02        500.000                 NaN   99.5885       0.411530                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.59        500.000                 NaN   99.5903       0.409747                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.16        500.000                 NaN   99.5774       0.422558                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.73        500.000                 NaN   99.6099       0.390086                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.30        500.000                 NaN   99.5976       0.402379                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.87        500.000                 NaN   99.6010       0.398993                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.44        500.000                 NaN   99.6027       0.397252                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.01        500.000                 NaN   99.6052       0.394791                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.58        500.000                 NaN   99.6087       0.391324                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.15        500.000                 NaN   99.6106       0.389385                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.72        500.000                 NaN   99.6140       0.385985                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.29        500.000                 NaN   99.6151       0.384920                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1481.86        500.000                 NaN   99.6181       0.381938                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1480.43        500.000                 NaN   99.6215       0.378486                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1479.00        500.000                 NaN   99.5737       0.172694                 NaN            NaN  0.253602                 NaN            NaN            NaN            NaN            NaN            NaN
  1477.57        500.000                 NaN   99.5356       0.118133E-001            NaN            NaN  0.452545                 NaN            NaN            NaN            NaN            NaN            NaN
  1476.14        500.000                 NaN   99.5380       0.903892E-002            NaN            NaN  0.452922                 NaN            NaN            NaN            NaN            NaN            NaN
  1474.71        500.000                 NaN   99.5377       0.589651E-002            NaN            NaN  0.456395                 NaN            NaN            NaN            NaN            NaN            NaN
  1473.28        500.000                 NaN   99.5410       0.398962E-002            NaN            NaN  0.455018                 NaN            NaN            NaN            NaN            NaN            NaN
  1471.85        500.000                 NaN   99.5363                 NaN            NaN            NaN  0.463683                 NaN            NaN            NaN            NaN            NaN            NaN
  1470.42        500.000                 NaN   99.5481       0.576897E-001            NaN            NaN  0.394208                 NaN            NaN            NaN            NaN            NaN            NaN
  1468.99        500.000                 NaN   99.5435       0.526092E-004            NaN            NaN  0.456453                 NaN            NaN            NaN            NaN            NaN            NaN
  1467.56        500.000                 NaN   99.5455                 NaN            NaN            NaN  0.454517                 NaN            NaN            NaN            NaN            NaN            NaN
  1466.13        500.000                 NaN   99.5455                 NaN            NaN            NaN  0.454472                 NaN            NaN            NaN            NaN            NaN            NaN
  1464.70        500.000                 NaN   99.5456       0.627260E-002            NaN            NaN  0.448125                 NaN            NaN            NaN            NaN            NaN            NaN
  1463.27        500.000                 NaN   99.5495       0.526521E-001            NaN            NaN  0.397852                 NaN            NaN            NaN            NaN            NaN            NaN
  1461.84        500.000                 NaN   99.5447                 NaN            NaN            NaN  0.455293                 NaN            NaN            NaN            NaN            NaN            NaN
  1460.41        500.000                 NaN   99.5485                 NaN            NaN            NaN  0.451453                 NaN            NaN            NaN            NaN            NaN            NaN
  1458.98        500.000                 NaN   99.5447                 NaN            NaN            NaN  0.455278                 NaN            NaN            NaN            NaN            NaN            NaN
  1457.55        500.000                 NaN   99.5442       0.307289E-003            NaN            NaN  0.455511                 NaN            NaN            NaN            NaN            NaN            NaN
  1456.12        500.000                 NaN   99.5457                 NaN            NaN            NaN  0.454258                 NaN            NaN            NaN            NaN            NaN            NaN
  1454.69        500.000                 NaN   99.5423                 NaN            NaN            NaN  0.457733                 NaN            NaN            NaN            NaN            NaN            NaN
  1453.26        500.000                 NaN   99.4074                 NaN            NaN            NaN  0.365683       0.226886                 NaN            NaN            NaN            NaN            NaN
  1451.83        500.000                 NaN   99.2889                 NaN            NaN            NaN  0.430511       0.280577                 NaN            NaN            NaN            NaN            NaN
  1450.40        500.000                 NaN   99.2956                 NaN            NaN            NaN  0.277670       0.426773                 NaN            NaN            NaN            NaN            NaN
  1448.97        500.000                 NaN   99.3024                 NaN            NaN            NaN  0.274869       0.422699                 NaN            NaN            NaN            NaN            NaN
  1447.54        500.000                 NaN   99.3099                 NaN            NaN            NaN  0.418856       0.271278                 NaN            NaN            NaN            NaN            NaN
  1446.11        500.000                 NaN   99.3167                 NaN            NaN            NaN  0.268452       0.414881                 NaN            NaN            NaN            NaN            NaN
  1444.68        500.000                 NaN   99.3234                 NaN            NaN            NaN  0.410978       0.265604                 NaN            NaN            NaN            NaN            NaN
  1443.25        500.000                 NaN   99.3297                 NaN            NaN            NaN  0.262204       0.408099                 NaN            NaN            NaN            NaN            NaN
  1441.82        500.000                 NaN   99.3365                 NaN            NaN            NaN  0.259966       0.403532                 NaN            NaN            NaN            NaN            NaN
  1440.39        500.000                 NaN   99.3434                 NaN            NaN            NaN  0.400102       0.256477                 NaN            NaN            NaN            NaN            NaN
  1438.96        500.000                 NaN   99.3484                 NaN            NaN            NaN  0.254639       0.396952                 NaN            NaN            NaN            NaN            NaN
  1437.53        500.000                 NaN   99.3574                 NaN            NaN            NaN  0.250704       0.391846                 NaN            NaN            NaN            NaN            NaN
  1436.10        500.000                 NaN   99.3593                 NaN            NaN            NaN  0.248832       0.391898                 NaN            NaN            NaN            NaN            NaN
  1434.67        500.000                 NaN   99.3704                 NaN            NaN            NaN  0.384132       0.245488                 NaN            NaN            NaN            NaN            NaN
  1433.24        500.000                 NaN   99.3747       0.941862E-002            NaN            NaN  0.233186       0.382701                 NaN            NaN            NaN            NaN            NaN
  1431.81        500.000                 NaN   99.3800                 NaN            NaN            NaN  0.240402       0.379587                 NaN            NaN            NaN            NaN            NaN
  1430.38        500.000                 NaN   99.3863                 NaN            NaN            NaN  0.375426       0.238323                 NaN            NaN            NaN            NaN            NaN
  1428.95        500.000                 NaN   99.3917                 NaN            NaN            NaN  0.372732       0.235603                 NaN            NaN            NaN            NaN            NaN
  1427.53        500.000                 NaN   99.3969                 NaN            NaN            NaN  0.233118       0.369966                 NaN            NaN            NaN            NaN            NaN
  1426.10        500.000                 NaN   99.4016                 NaN            NaN            NaN  0.231475       0.366958                 NaN            NaN            NaN            NaN            NaN
  1424.67        500.000                 NaN   98.5961                 NaN            NaN            NaN  0.562747       0.443175                 NaN  0.397985                 NaN            NaN            NaN
  1423.24        500.000                 NaN   98.2498                 NaN            NaN            NaN  0.471898       0.705128                 NaN  0.573193                 NaN            NaN            NaN
  1421.81        500.000                 NaN   98.2896                 NaN            NaN            NaN  0.689095       0.460724                 NaN  0.560588                 NaN            NaN            NaN
  1420.38        500.000                 NaN   98.3230                 NaN            NaN            NaN  0.451766       0.674890                 NaN  0.550353                 NaN            NaN            NaN
  1418.95        500.000                 NaN   98.3622                 NaN            NaN            NaN  0.440516       0.659903                 NaN  0.537408                 NaN            NaN            NaN
  1417.52        500.000                 NaN   98.3955                 NaN            NaN            NaN  0.431636       0.645900                 NaN  0.526980                 NaN            NaN            NaN
  1416.09        500.000                 NaN   98.4264                 NaN            NaN            NaN  0.423339       0.633151                 NaN  0.517061                 NaN            NaN            NaN
  1414.66        500.000                 NaN   98.4601                 NaN            NaN            NaN  0.619604       0.413879                 NaN  0.506425                 NaN            NaN            NaN
  1413.23        500.000                 NaN   98.4904                 NaN            NaN            NaN  0.607330       0.405596                 NaN  0.496718                 NaN            NaN            NaN
  1411.80        500.000                 NaN   98.4601                 NaN  0.897001E-002            NaN  0.432812       0.580402                 NaN  0.517694                 NaN            NaN            NaN
  1410.37        500.000                 NaN   98.4142                 NaN  0.210633E-001            NaN  0.470568       0.546607                 NaN  0.547595                 NaN            NaN            NaN
  1408.94        500.000                 NaN   98.4542                 NaN  0.203840E-001            NaN  0.458367       0.533240                 NaN  0.533790                 NaN            NaN            NaN
  1407.51        500.000                 NaN   98.4916                 NaN  0.196808E-001            NaN  0.446639       0.521044                 NaN  0.521073                 NaN            NaN            NaN
  1406.08        500.000                 NaN   98.5277                 NaN  0.191338E-001            NaN  0.436081       0.508566                 NaN  0.508552                 NaN            NaN            NaN
  1404.65        500.000                 NaN   98.5670                 NaN  0.183678E-001            NaN  0.423414       0.496174                 NaN  0.495009                 NaN            NaN            NaN
  1403.22        500.000                 NaN   98.5980                 NaN  0.178212E-001            NaN  0.414090       0.485628                 NaN  0.484480                 NaN            NaN            NaN
  1401.79        500.000                 NaN   98.6317                 NaN  0.172553E-001            NaN  0.474649       0.403575                 NaN  0.472775                 NaN            NaN            NaN
  1400.36        500.000                 NaN   98.6626                 NaN  0.166838E-001            NaN  0.464617       0.394010                 NaN  0.462102                 NaN            NaN            NaN
  1398.93        500.000                 NaN   98.6928                 NaN  0.161735E-001            NaN  0.454520       0.384720                 NaN  0.451754                 NaN            NaN            NaN
  1397.50        500.000                 NaN   98.7219                 NaN  0.156267E-001            NaN  0.375655       0.445197                 NaN  0.441613                 NaN            NaN            NaN
  1396.07        500.000                 NaN   98.7503                 NaN  0.151737E-001            NaN  0.366999       0.435726                 NaN  0.431824                 NaN            NaN            NaN
  1394.64        500.000                 NaN   98.7773                 NaN  0.146688E-001            NaN  0.358511       0.427050                 NaN  0.422506                 NaN            NaN            NaN
  1393.21        500.000                 NaN   98.8035                 NaN  0.142174E-001            NaN  0.418417       0.350476                 NaN  0.413394                 NaN            NaN            NaN
  1391.78        500.000                 NaN   98.8280                 NaN  0.138007E-001            NaN  0.343004       0.410161                 NaN  0.405011                 NaN            NaN            NaN
  1390.35        500.000                 NaN   98.8538                 NaN  0.133118E-001            NaN  0.402290       0.334759                 NaN  0.395846                 NaN            NaN            NaN
  1388.92        500.000                 NaN   98.8771                 NaN  0.129358E-001            NaN  0.327487       0.394686                 NaN  0.387813                 NaN            NaN            NaN
  1387.49        500.000                 NaN   98.8997                 NaN  0.125094E-001            NaN  0.387385       0.320480                 NaN  0.379896                 NaN            NaN            NaN
  1386.06        500.000                 NaN   98.9219                 NaN  0.121159E-001            NaN  0.313396       0.380393                 NaN  0.372176                 NaN            NaN            NaN
  1384.63        500.000                 NaN   98.9426                 NaN  0.116931E-001            NaN  0.306693       0.374142                 NaN  0.364890                 NaN            NaN            NaN
  1383.20        500.000                 NaN   98.9646                 NaN  0.113489E-001            NaN  0.300211       0.366596                 NaN  0.357218                 NaN            NaN            NaN
  1381.77        500.000                 NaN   98.9840                 NaN  0.110096E-001            NaN  0.293958       0.360512                 NaN  0.350506                 NaN            NaN            NaN
  1380.34        500.000                 NaN   99.0037                 NaN  0.106558E-001            NaN  0.287857       0.354190                 NaN  0.343561                 NaN            NaN            NaN
  1378.91        500.000                 NaN   99.0229                 NaN  0.103146E-001            NaN  0.281781       0.348194                 NaN  0.336853                 NaN            NaN            NaN
  1377.48        500.000                 NaN   99.0411                 NaN  0.998760E-002            NaN  0.342416       0.276023                 NaN  0.330480                 NaN            NaN            NaN
  1376.05        500.000                 NaN   99.0587                 NaN  0.966323E-002            NaN  0.336878       0.270416                 NaN  0.324309                 NaN            NaN            NaN
  1374.62        500.000                 NaN   99.0763                 NaN  0.934536E-002            NaN  0.264946       0.331340                 NaN  0.318080                 NaN            NaN            NaN
  1373.19        500.000                 NaN   99.0928                 NaN  0.902529E-002            NaN  0.259589       0.326256                 NaN  0.312347                 NaN            NaN            NaN
  1371.76        500.000                 NaN   99.1094                 NaN  0.874172E-002            NaN  0.321089       0.254387                 NaN  0.306404                 NaN            NaN            NaN
  1370.33        500.000                 NaN   99.1252                 NaN  0.842306E-002            NaN  0.249107       0.316409                 NaN  0.300887                 NaN            NaN            NaN
  1368.90        500.000                 NaN   99.1407                 NaN  0.816904E-002            NaN  0.244536       0.311201                 NaN  0.295394                 NaN            NaN            NaN
  1367.47        500.000                 NaN   99.1554                 NaN  0.788145E-002            NaN  0.306820       0.239660                 NaN  0.290196                 NaN            NaN            NaN
  1366.04        500.000                 NaN   99.1703                 NaN  0.764419E-002            NaN  0.235094       0.301982                 NaN  0.284953                 NaN            NaN            NaN
  1364.61        500.000                 NaN   99.1845                 NaN  0.733657E-002            NaN  0.230400       0.297851                 NaN  0.279936                 NaN            NaN            NaN
  1363.18        500.000                 NaN   99.1985                 NaN  0.708643E-002            NaN  0.293456       0.226015                 NaN  0.274901                 NaN            NaN            NaN
  1361.75        500.000                 NaN   99.2117                 NaN  0.681930E-002            NaN  0.289747       0.221463                 NaN  0.270258                 NaN            NaN            NaN
  1360.32        500.000                 NaN   99.2250                 NaN  0.662447E-002            NaN  0.217571       0.285235                 NaN  0.265562                 NaN            NaN            NaN
  1358.89        500.000                 NaN   99.2369                 NaN  0.638105E-002            NaN  0.213670       0.281769                 NaN  0.261302                 NaN            NaN            NaN
  1357.46        500.000                 NaN   99.2509                 NaN  0.607282E-002            NaN  0.209130       0.277705                 NaN  0.256226                 NaN            NaN            NaN
  1356.03        500.000                 NaN   99.2626                 NaN  0.587528E-002            NaN  0.205326       0.274055                 NaN  0.252147                 NaN            NaN            NaN
  1354.60        500.000                 NaN   99.2740                 NaN  0.565418E-002            NaN  0.270581       0.201612                 NaN  0.248134                 NaN            NaN            NaN
  1353.17        500.000                 NaN   99.2859                 NaN  0.542844E-002            NaN  0.197788       0.267037                 NaN  0.243821                 NaN            NaN            NaN
  1351.74        500.000                 NaN   99.2969                 NaN  0.523951E-002            NaN  0.263766       0.194152                 NaN  0.239974                 NaN            NaN            NaN
  1350.31        500.000                 NaN   99.3081                 NaN  0.496427E-002            NaN  0.260237       0.190863                 NaN  0.235815                 NaN            NaN            NaN
  1348.88        500.000                 NaN   99.3191                 NaN  0.477640E-002            NaN  0.187023       0.257174                 NaN  0.231962                 NaN            NaN            NaN
  1347.45        500.000                 NaN   99.3289                 NaN  0.458686E-002            NaN  0.254220       0.183843                 NaN  0.228486                 NaN            NaN            NaN
  1346.02        500.000                 NaN   99.3400                 NaN  0.436029E-002            NaN  0.251076       0.180079                 NaN  0.224501                 NaN            NaN            NaN
  1344.59        500.000                 NaN   99.3493                 NaN  0.417498E-002            NaN  0.248320       0.177079                 NaN  0.221133                 NaN            NaN            NaN
  1343.16        500.000                 NaN   99.3594                 NaN  0.397990E-002            NaN  0.245372       0.173704                 NaN  0.217558                 NaN            NaN            NaN
  1341.73        500.000                 NaN   99.3687                 NaN  0.378204E-002            NaN  0.242668       0.170641                 NaN  0.214210                 NaN            NaN            NaN
  1340.30        500.000                 NaN   99.3782                 NaN  0.361210E-002            NaN  0.167552       0.239846                 NaN  0.210789                 NaN            NaN            NaN
  1338.87        500.000                 NaN   99.3874                 NaN  0.341750E-002            NaN  0.164530       0.237210                 NaN  0.207485                 NaN            NaN            NaN
  1337.44        500.000                 NaN   99.3959                 NaN  0.324153E-002            NaN  0.161752       0.234668                 NaN  0.204395                 NaN            NaN            NaN
  1336.01        500.000                 NaN   99.4046                 NaN  0.303780E-002            NaN  0.158792       0.232287                 NaN  0.201236                 NaN            NaN            NaN
  1334.58        500.000                 NaN   99.4127                 NaN  0.288441E-002            NaN  0.156042       0.230009                 NaN  0.198387                 NaN            NaN            NaN
  1333.15        500.000                 NaN   99.4224                 NaN  0.267987E-002            NaN  0.152791       0.227299                 NaN  0.194840                 NaN            NaN            NaN
  1331.73        500.000                 NaN   99.4297                 NaN  0.254953E-002            NaN  0.150262       0.225174                 NaN  0.192266                 NaN            NaN            NaN
  1330.30        500.000                 NaN   99.4369                 NaN  0.230687E-002            NaN  0.223291       0.147874                 NaN  0.189585                 NaN            NaN            NaN
  1328.87        500.000                 NaN   99.4459                 NaN  0.214697E-002            NaN  0.221130       0.144531                 NaN  0.186292                 NaN            NaN            NaN
  1327.44        500.000                 NaN   99.4530                 NaN  0.202725E-002            NaN  0.218718       0.142426                 NaN  0.183786                 NaN            NaN            NaN
  1326.01        500.000                 NaN   99.4605                 NaN  0.186378E-002            NaN  0.216772       0.139789                 NaN  0.181112                 NaN            NaN            NaN
  1324.58        500.000                 NaN   99.4676                 NaN  0.169191E-002            NaN  0.137248       0.214909                 NaN  0.178519                 NaN            NaN            NaN
  1323.15        500.000                 NaN   99.4749                 NaN  0.154200E-002            NaN  0.134930       0.212733                 NaN  0.175847                 NaN            NaN            NaN
  1321.72        500.000                 NaN   99.4811                 NaN  0.135720E-002            NaN  0.211391       0.132502                 NaN  0.173683                 NaN            NaN            NaN
  1320.29        500.000                 NaN   99.4888                 NaN  0.123285E-002            NaN  0.209110       0.130038                 NaN  0.170784                 NaN            NaN            NaN
  1318.86        500.000                 NaN   99.4957                 NaN  0.106576E-002            NaN  0.127702       0.207268                 NaN  0.168289                 NaN            NaN            NaN
  1317.43        500.000                 NaN   99.5017                 NaN  0.929557E-003            NaN  0.205660       0.125532                 NaN  0.166160                 NaN            NaN            NaN
  1316.00        500.000                 NaN   99.5082                 NaN  0.762185E-003            NaN  0.204019       0.123278                 NaN  0.163769                 NaN            NaN            NaN
  1314.57        500.000                 NaN   99.5144                 NaN  0.689707E-003            NaN  0.202008       0.121294                 NaN  0.161589                 NaN            NaN            NaN
  1313.14        500.000                 NaN   99.5210                 NaN  0.475059E-003            NaN  0.118789       0.200654                 NaN  0.159108                 NaN            NaN            NaN
  1311.71        500.000                 NaN   99.5265                 NaN  0.352882E-003            NaN  0.116884       0.199127                 NaN  0.157118                 NaN            NaN            NaN
  1310.28        500.000                 NaN   99.5326                 NaN  0.198153E-003            NaN  0.197588       0.114759                 NaN  0.154883                 NaN            NaN            NaN
  1308.85        500.000                 NaN   99.5383                 NaN  0.674135E-004            NaN  0.196184       0.112635                 NaN  0.152825                 NaN            NaN            NaN
  1307.42        500.000                 NaN   99.5441                 NaN            NaN            NaN  0.194490       0.110551                 NaN  0.150856                 NaN            NaN            NaN
  1305.99        500.000                 NaN   99.5497                 NaN            NaN            NaN  0.109299       0.192135                 NaN  0.148895                 NaN            NaN            NaN
  1304.56        500.000                 NaN   99.5548                 NaN  0.515229E-003            NaN  0.187506       0.109404                 NaN  0.147785                 NaN            NaN            NaN
  1303.13        500.000                 NaN   99.5606                 NaN            NaN            NaN  0.106193       0.187960                 NaN  0.145220                 NaN            NaN            NaN
  1301.70        500.000                 NaN   99.5657                 NaN            NaN            NaN  0.104749       0.186031                 NaN  0.143521                 NaN            NaN            NaN
  1300.27        500.000                 NaN   99.5715                 NaN  0.397644E-002            NaN  0.162458       0.116034                 NaN  0.146057                 NaN            NaN            NaN
  1298.84        500.000                 NaN   99.5764                 NaN            NaN            NaN  0.101733       0.181953                 NaN  0.139902                 NaN            NaN            NaN
  1297.41        500.000                 NaN   99.5813                 NaN            NaN            NaN  0.179982       0.100406                 NaN  0.138262                 NaN            NaN            NaN
  1295.98        500.000                 NaN   99.5861                 NaN            NaN            NaN  0.178229       0.989873E-001            NaN  0.136635                 NaN            NaN            NaN
  1294.55        500.000                 NaN   94.0697                 NaN            NaN            NaN  0.505338       0.966965                 NaN  0.713462        3.74451                 NaN            NaN
  1293.12        500.000                 NaN   88.7192                 NaN  0.742343E-002            NaN  0.924416        1.66687                 NaN   1.27420        7.40792                 NaN            NaN
  1291.69        500.000                 NaN   90.2336                 NaN  0.753246E-002            NaN  0.811887        1.42701                 NaN   1.10907        6.41086                 NaN            NaN
  1290.26        500.000                 NaN   91.4101                 NaN  0.500857E-002            NaN   1.25506       0.715630                 NaN  0.977816        5.63633                 NaN            NaN
  1288.83        500.000                 NaN   92.3383                 NaN  0.316675E-002            NaN  0.639831        1.11861                 NaN  0.874058        5.02600                 NaN            NaN
  1287.40        500.000                 NaN   93.0865                 NaN  0.174895E-002            NaN   1.00879       0.578036                 NaN  0.790401        4.53449                 NaN            NaN
  1285.97        500.000                 NaN   93.7041                 NaN  0.716057E-003            NaN  0.528196       0.916387                 NaN  0.721134        4.12952                 NaN            NaN
  1284.54        500.000                 NaN   94.2254                 NaN  0.613732E-003            NaN  0.834251       0.488398                 NaN  0.663099        3.78819                 NaN            NaN
  1283.11        500.000                 NaN   94.6694                 NaN            NaN            NaN  0.767109       0.452364                 NaN  0.612965        3.49813                 NaN            NaN
  1281.68        500.000                 NaN   95.0546                 NaN            NaN            NaN  0.705993       0.422535                 NaN  0.569753        3.24709                 NaN            NaN
  1280.25        500.000                 NaN   95.3870                 NaN            NaN            NaN  0.397112       0.653395                 NaN  0.532473        3.03006                 NaN            NaN
