|6.6.6
Archiving\03_Data\Deqfrac/QFM_m1/WD94/WD94_1.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q              hed           
  1584.13        2500.00                 NaN   99.1772       0.721266       0.101522                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.55        2500.00                 NaN   99.5574       0.387309       0.552726E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1580.98        2500.00                 NaN   98.8194        1.03586       0.144763                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.40        2500.00                 NaN   99.1982       0.703930       0.978208E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1577.83        2500.00                 NaN   99.2055       0.698341       0.961359E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.25        2500.00                 NaN   99.2116       0.684025       0.104350                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.68        2500.00                 NaN   99.2190       0.697483       0.835185E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.10        2500.00                 NaN   99.2236       0.684598       0.918045E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.53        2500.00                 NaN   99.2339       0.675924       0.902049E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.95        2500.00                 NaN   99.2374       0.672240       0.904047E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.38        2500.00                 NaN   99.2459       0.666278       0.878118E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.81        2500.00                 NaN   99.2509       0.662008       0.870779E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.23        2500.00                 NaN   99.2560       0.658954       0.850105E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.66        2500.00                 NaN   99.2617       0.654273       0.840758E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.08        2500.00                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.51        2500.00                 NaN   98.5426        1.29370       0.163712                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.93        2500.00                 NaN   99.1649       0.737021       0.980519E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.36        2500.00                 NaN   99.4055       0.528523       0.659346E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.78        2500.00                 NaN   99.2910       0.630370       0.785914E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.21        2500.00                 NaN   99.2963       0.626824       0.768274E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.64        2500.00                 NaN   99.3006       0.623668       0.757584E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.06        2500.00                 NaN   98.0014        1.74602       0.252584                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.49        2500.00                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.91        2500.00                 NaN   99.9987                 NaN  0.129780E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.34        2500.00                 NaN   99.2837       0.644247       0.720392E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.76        2500.00                 NaN   99.3633       0.571367       0.653597E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.19        2500.00                 NaN   99.3312       0.600765       0.680226E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.61        2500.00                 NaN   99.3316       0.601951       0.664177E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.04        2500.00                 NaN   99.3410       0.594392       0.646530E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.47        2500.00                 NaN   99.3450       0.590078       0.648729E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.89        2500.00                 NaN   99.3496       0.586237       0.641159E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.32        2500.00                 NaN   99.3552       0.581151       0.636931E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.74        2500.00                 NaN   99.3584       0.579725       0.618820E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.17        2500.00                 NaN   99.3608       0.580480       0.587630E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.59        2500.00                 NaN   99.3656       0.563527       0.708550E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.02        2500.00                 NaN   99.3677       0.587105       0.452132E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.44        2500.00                 NaN   99.3743       0.569458       0.562862E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.87        2500.00                 NaN   99.3783       0.566158       0.555823E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.30        2500.00                 NaN   99.3809       0.564764       0.543357E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.72        2500.00                 NaN   99.3840       0.562069       0.539594E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.15        2500.00                 NaN   99.3902       0.557485       0.523022E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.57        2500.00                 NaN   99.3923       0.556639       0.511002E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.00        2500.00                 NaN   99.3955       0.554592       0.499246E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.42        2500.00                 NaN   99.3982       0.554204       0.476006E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.85        2500.00                 NaN   99.3900       0.560320       0.496349E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.27        2500.00                 NaN   99.4183       0.537220       0.444990E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.70        2500.00                 NaN   99.4086       0.545708       0.457095E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.13        2500.00                 NaN   99.4121       0.541473       0.464505E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.55        2500.00                 NaN   99.4166       0.538411       0.450031E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.98        2500.00                 NaN   99.4190       0.538125       0.428536E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.40        2500.00                 NaN   99.4185       0.542561       0.389417E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.83        2500.00                 NaN   99.4224       0.538669       0.389139E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.25        2500.00                 NaN   99.4264       0.534541       0.390707E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.68        2500.00                 NaN   99.4247       0.540524       0.348241E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.10        2500.00                 NaN   99.4323       0.531928       0.357859E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.53        2500.00                 NaN   99.4333       0.530292       0.363965E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.96        2500.00                 NaN   99.4039       0.421430       0.252926E-001  0.149350                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.38        2500.00                 NaN   99.4253                 NaN  0.221749E-001  0.552514                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1492.81        2500.00                 NaN   99.8039                 NaN            NaN  0.196116                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.23        2500.00                 NaN   98.1632                 NaN            NaN  0.281978        1.55477                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.66        2500.00                 NaN   98.7596                 NaN            NaN  0.845914       0.394517                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1488.08        2500.00                 NaN   98.9334                 NaN  0.147052E-002  0.332015       0.733081                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.51        2500.00                 NaN   98.6217                 NaN  0.866568E-001  0.983209       0.308439                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.93        2500.00                 NaN   98.7935                 NaN  0.757263E-001  0.271496       0.859304                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.36        2500.00                 NaN   98.2565                 NaN  0.165828        1.33645       0.241222                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1481.79        2500.00                 NaN   99.3726                 NaN  0.646645E-002  0.269119       0.351857                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1480.21        2500.00                 NaN   98.8223                 NaN  0.391251E-001  0.822423       0.316193                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1478.64        2500.00                 NaN   98.8314                 NaN  0.682194E-001  0.267350       0.833067                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1477.06        2500.00                 NaN   98.2103                 NaN  0.100539       0.409918        1.27920                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1475.49        2500.00                 NaN   99.5962                 NaN  0.232811E-001  0.922823E-001  0.288280                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1473.91        2500.00                 NaN   98.7560                 NaN  0.679307E-001  0.880485       0.295615                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1472.34        2500.00                 NaN   98.8686                 NaN  0.607236E-001  0.800417       0.270299                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1470.76        2500.00                 NaN   98.2151                 NaN  0.948792E-001   1.26609       0.423933                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1469.19        2500.00                 NaN   99.7652                 NaN  0.129369E-001  0.167758       0.540888E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1467.61        2500.00                 NaN   98.6747                 NaN  0.659529E-001  0.328405       0.930970                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1466.04        2500.00                 NaN   98.9073                 NaN  0.536051E-001  0.270221       0.768924                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1464.47        2500.00                 NaN   98.9067                 NaN  0.527385E-001  0.270266       0.770273                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1462.89        2500.00                 NaN   98.9081                 NaN  0.515923E-001  0.270344       0.769999                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1461.32        2500.00                 NaN   98.9253                 NaN  0.494641E-001  0.270362       0.754901                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1459.74        2500.00                 NaN   98.9283                 NaN  0.481362E-001  0.753207       0.270398                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1458.17        2500.00                 NaN   98.2582                 NaN  0.770349E-001  0.416275        1.24847                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1456.59        2500.00                 NaN   99.6248                 NaN  0.158364E-001  0.263572       0.957795E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1455.02        2500.00                 NaN   98.9458                 NaN  0.438122E-001  0.740326       0.270056                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1453.44        2500.00                 NaN   98.9504                 NaN  0.425820E-001  0.271144       0.735901                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1451.87        2500.00                 NaN   98.9568                 NaN  0.408807E-001  0.270370       0.731990                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1450.30        2500.00                 NaN   98.9634                 NaN  0.395722E-001  0.726817       0.270165                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1448.72        2500.00                 NaN   98.9670                 NaN  0.382690E-001  0.724247       0.270450                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1447.15        2500.00                 NaN   98.9723                 NaN  0.368572E-001  0.270501       0.720327                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1445.57        2500.00                 NaN   98.9771                 NaN  0.354497E-001  0.717082       0.270373                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1444.00        2500.00                 NaN   98.9810                 NaN  0.341878E-001  0.713960       0.270813                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1442.42        2500.00                 NaN   98.9854                 NaN  0.327939E-001  0.711664       0.270151                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1440.85        2500.00                 NaN   98.3292                 NaN  0.165073       0.406894       0.791443                 NaN            NaN  0.307415                 NaN            NaN            NaN            NaN
  1439.27        2500.00                 NaN   97.2389                 NaN  0.393865       0.918936       0.621301                 NaN            NaN  0.827038                 NaN            NaN            NaN            NaN
  1437.70        2500.00                 NaN   97.2951                 NaN  0.392734       0.593861       0.908629                 NaN            NaN  0.809661                 NaN            NaN            NaN            NaN
  1436.13        2500.00                 NaN   97.3362                 NaN  0.394094       0.573733       0.898278                 NaN            NaN  0.797654                 NaN            NaN            NaN            NaN
  1434.55        2500.00                 NaN   97.3890                 NaN  0.393490       0.549047       0.885965                 NaN            NaN  0.782478                 NaN            NaN            NaN            NaN
  1432.98        2500.00                 NaN   97.4298                 NaN  0.394365       0.528417       0.877172                 NaN            NaN  0.770256                 NaN            NaN            NaN            NaN
  1431.40        2500.00                 NaN   97.4810                 NaN  0.393014       0.862563       0.508681                 NaN            NaN  0.754751                 NaN            NaN            NaN            NaN
  1429.83        2500.00                 NaN   97.5200                 NaN  0.394594       0.487436       0.854645                 NaN            NaN  0.743352                 NaN            NaN            NaN            NaN
  1428.25        2500.00                 NaN   97.5674                 NaN  0.393010       0.841679       0.468833                 NaN            NaN  0.729099                 NaN            NaN            NaN            NaN
  1426.68        2500.00                 NaN   97.6045                 NaN  0.394462       0.450019       0.832684                 NaN            NaN  0.718302                 NaN            NaN            NaN            NaN
  1425.10        2500.00                 NaN   97.6448                 NaN  0.394708       0.823546       0.430608                 NaN            NaN  0.706372                 NaN            NaN            NaN            NaN
  1423.53        2500.00                 NaN   97.6812                 NaN  0.395350       0.412562       0.815347                 NaN            NaN  0.695558                 NaN            NaN            NaN            NaN
  1421.96        2500.00                 NaN   97.7207                 NaN  0.395322       0.805605       0.394608                 NaN            NaN  0.683802                 NaN            NaN            NaN            NaN
  1420.38        2500.00                 NaN   97.7547                 NaN  0.396601       0.796910       0.378153                 NaN            NaN  0.673626                 NaN            NaN            NaN            NaN
  1418.81        2500.00                 NaN   97.7919                 NaN  0.396086       0.789253       0.360207                 NaN            NaN  0.662513                 NaN            NaN            NaN            NaN
  1417.23        2500.00                 NaN   97.8188                 NaN  0.399180       0.785591       0.341322                 NaN            NaN  0.655096                 NaN            NaN            NaN            NaN
  1415.66        2500.00                 NaN   97.8645                 NaN  0.395359       0.770465       0.328989                 NaN            NaN  0.640665                 NaN            NaN            NaN            NaN
  1414.08        2500.00                 NaN   97.8758                 NaN  0.401664       0.311114       0.773373                 NaN            NaN  0.638036                 NaN            NaN            NaN            NaN
  1412.51        2500.00                 NaN   97.9313                 NaN  0.395802       0.755376       0.297229                 NaN            NaN  0.620296                 NaN            NaN            NaN            NaN
  1410.93        2500.00                 NaN   97.9489                 NaN  0.399776       0.282080       0.753632                 NaN            NaN  0.615650                 NaN            NaN            NaN            NaN
  1409.36        2500.00                 NaN   97.9772                 NaN  0.400633       0.747518       0.267582                 NaN            NaN  0.607065                 NaN            NaN            NaN            NaN
  1407.79        2500.00                 NaN   98.0062                 NaN  0.401090       0.741560       0.252731                 NaN            NaN  0.598445                 NaN            NaN            NaN            NaN
  1406.21        2500.00                 NaN   98.0342                 NaN  0.401862       0.734970       0.238980                 NaN            NaN  0.590034                 NaN            NaN            NaN            NaN
  1404.64        2500.00                 NaN   98.0613                 NaN  0.401904       0.728628       0.226141                 NaN            NaN  0.582057                 NaN            NaN            NaN            NaN
  1403.06        2500.00                 NaN   98.0884                 NaN  0.403370       0.723261       0.211386                 NaN            NaN  0.573544                 NaN            NaN            NaN            NaN
  1401.49        2500.00                 NaN   98.1128                 NaN  0.403556       0.198928       0.718494                 NaN            NaN  0.566197                 NaN            NaN            NaN            NaN
  1399.91        2500.00                 NaN   98.1358                 NaN  0.404417       0.186526       0.714105                 NaN            NaN  0.559172                 NaN            NaN            NaN            NaN
  1398.34        2500.00                 NaN   98.1615                 NaN  0.405162       0.707958       0.173526                 NaN            NaN  0.551876                 NaN            NaN            NaN            NaN
  1396.76        2500.00                 NaN   98.1850                 NaN  0.405078       0.703487       0.162363                 NaN            NaN  0.544109                 NaN            NaN            NaN            NaN
  1395.19        2500.00                 NaN   98.2071                 NaN  0.405886       0.698602       0.150831                 NaN            NaN  0.537567                 NaN            NaN            NaN            NaN
  1393.62        2500.00                 NaN   97.9891                 NaN  0.362951       0.649188       0.405476                 NaN            NaN  0.593310                 NaN            NaN            NaN            NaN
  1392.04        2500.00                 NaN   98.4465                 NaN  0.409318       0.677929                 NaN            NaN            NaN  0.466216                 NaN            NaN            NaN            NaN
  1390.47        2500.00                 NaN   98.2819                 NaN  0.420605       0.703165       0.778083E-001            NaN            NaN  0.516502                 NaN            NaN            NaN            NaN
  1388.89        2500.00                 NaN   98.3087                 NaN  0.440302       0.722121       0.175784E-001            NaN            NaN  0.511269                 NaN            NaN            NaN            NaN
  1387.32        2500.00                 NaN   98.3134                 NaN  0.407493       0.678264       0.961302E-001            NaN            NaN  0.504752                 NaN            NaN            NaN            NaN
  1385.74        2500.00                 NaN   98.3345                 NaN  0.407015       0.673708       0.866020E-001            NaN            NaN  0.498190                 NaN            NaN            NaN            NaN
  1384.17        2500.00                 NaN   98.3531                 NaN  0.407376       0.669931       0.772486E-001            NaN            NaN  0.492317                 NaN            NaN            NaN            NaN
  1382.59        2500.00                 NaN   98.3697                 NaN  0.407780       0.667388       0.681347E-001            NaN            NaN  0.487041                 NaN            NaN            NaN            NaN
  1381.02        2500.00                 NaN   98.3924                 NaN  0.406599       0.661816       0.591056E-001            NaN            NaN  0.480107                 NaN            NaN            NaN            NaN
  1379.45        2500.00                 NaN   98.4092                 NaN  0.406954       0.658592       0.504331E-001            NaN            NaN  0.474778                 NaN            NaN            NaN            NaN
  1377.87        2500.00                 NaN   98.4277                 NaN  0.406317       0.416633E-001  0.655287                 NaN            NaN  0.469004                 NaN            NaN            NaN            NaN
  1376.30        2500.00                 NaN   98.4438                 NaN  0.406061       0.340034E-001  0.652442                 NaN            NaN  0.463688                 NaN            NaN            NaN            NaN
  1374.72        2500.00                 NaN   98.4616                 NaN  0.405323       0.648704       0.264080E-001            NaN            NaN  0.458006                 NaN            NaN            NaN            NaN
  1373.15        2500.00                 NaN   98.4779                 NaN  0.404252       0.645217       0.199315E-001            NaN            NaN  0.452713                 NaN            NaN            NaN            NaN
  1371.57        2500.00                 NaN   98.4940                 NaN  0.403815       0.641837       0.126699E-001            NaN            NaN  0.447630                 NaN            NaN            NaN            NaN
  1370.00        2500.00                 NaN   98.5110                 NaN  0.402535       0.639036E-002  0.637935                 NaN            NaN  0.442093                 NaN            NaN            NaN            NaN
  1368.42        2500.00                 NaN   98.5249                 NaN  0.397877       0.630487       0.973282E-002            NaN            NaN  0.437016                 NaN            NaN            NaN            NaN
  1366.85        2500.00                 NaN   98.5406                 NaN  0.398202       0.629091                 NaN            NaN            NaN  0.432119                 NaN            NaN            NaN            NaN
  1365.27        2500.00                 NaN   98.5552                 NaN  0.391906       0.735769E-002  0.618939                 NaN            NaN  0.426632                 NaN            NaN            NaN            NaN
  1363.70        2500.00                 NaN   98.5699                 NaN  0.394178       0.613722                 NaN            NaN            NaN  0.422218                 NaN            NaN            NaN            NaN
  1362.13        2500.00                 NaN   98.5832                 NaN  0.387863       0.611884                 NaN            NaN            NaN  0.417102                 NaN            NaN            NaN            NaN
  1360.55        2500.00                 NaN   98.5977                 NaN  0.384887       0.605274                 NaN            NaN            NaN  0.412169                 NaN            NaN            NaN            NaN
  1358.98        2500.00                 NaN   98.6110                 NaN  0.381707       0.599844                 NaN            NaN            NaN  0.407401                 NaN            NaN            NaN            NaN
  1357.40        2500.00                 NaN   98.6232                 NaN  0.378409       0.595428                 NaN            NaN            NaN  0.403006                 NaN            NaN            NaN            NaN
  1355.83        2500.00                 NaN   98.6360                 NaN  0.374226       0.591543                 NaN            NaN            NaN  0.398247                 NaN            NaN            NaN            NaN
  1354.25        2500.00                 NaN   98.6499                 NaN  0.374771       0.581320                 NaN            NaN            NaN  0.394032                 NaN            NaN            NaN            NaN
  1352.68        2500.00                 NaN   98.6646                 NaN  0.368526       0.578395                 NaN            NaN            NaN  0.388462                 NaN            NaN            NaN            NaN
  1351.10        2500.00                 NaN   98.6704                 NaN  0.355951       0.213752E-001  0.567583                 NaN            NaN  0.384659                 NaN            NaN            NaN            NaN
  1349.53        2500.00                 NaN   97.8945                 NaN  0.618006       0.867191                 NaN            NaN            NaN  0.620313                 NaN            NaN            NaN            NaN
  1347.96        2500.00                 NaN   99.4410                 NaN  0.144333       0.267613                 NaN            NaN            NaN  0.147053                 NaN            NaN            NaN            NaN
  1346.38        2500.00                 NaN   98.7128                 NaN  0.354059       0.561901                 NaN            NaN            NaN  0.371266                 NaN            NaN            NaN            NaN
  1344.81        2500.00                 NaN   98.7229                 NaN  0.352049       0.557355                 NaN            NaN            NaN  0.367698                 NaN            NaN            NaN            NaN
  1343.23        2500.00                 NaN   98.7365                 NaN  0.347560       0.553074                 NaN            NaN            NaN  0.362877                 NaN            NaN            NaN            NaN
  1341.66        2500.00                 NaN   98.7474                 NaN  0.344904       0.548524                 NaN            NaN            NaN  0.359191                 NaN            NaN            NaN            NaN
  1340.08        2500.00                 NaN   98.7580                 NaN  0.343126       0.543293                 NaN            NaN            NaN  0.355616                 NaN            NaN            NaN            NaN
  1338.51        2500.00                 NaN   98.7699                 NaN  0.338792       0.540095                 NaN            NaN            NaN  0.351216                 NaN            NaN            NaN            NaN
  1336.93        2500.00                 NaN   98.7801                 NaN  0.335349       0.536987                 NaN            NaN            NaN  0.347564                 NaN            NaN            NaN            NaN
  1335.36        2500.00                 NaN   98.7913                 NaN  0.331545       0.533423                 NaN            NaN            NaN  0.343713                 NaN            NaN            NaN            NaN
  1333.79        2500.00                 NaN   98.7953                 NaN  0.334548       0.527383                 NaN            NaN            NaN  0.342814                 NaN            NaN            NaN            NaN
  1332.21        2500.00                 NaN   98.8157                 NaN  0.321831       0.528472                 NaN            NaN            NaN  0.334010                 NaN            NaN            NaN            NaN
  1330.64        2500.00                 NaN   98.8225                 NaN  0.321411       0.523507                 NaN            NaN            NaN  0.332549                 NaN            NaN            NaN            NaN
  1329.06        2500.00                 NaN   98.8320                 NaN  0.317635       0.521249                 NaN            NaN            NaN  0.329117                 NaN            NaN            NaN            NaN
  1327.49        2500.00                 NaN   98.8429                 NaN  0.313933       0.517660                 NaN            NaN            NaN  0.325490                 NaN            NaN            NaN            NaN
