|6.6.6
Archiving\03_Data\eqfracLP/QFM_m5/GRV/GRV_1.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          16
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          iron           Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1467.32        500.000                 NaN   98.9977                 NaN            NaN            NaN  0.115288E-001  0.639652       0.351103                 NaN            NaN            NaN            NaN            NaN            NaN
  1465.88        500.000                 NaN   99.0110                 NaN  0.557452E-001            NaN  0.110618E-001  0.288717       0.633511                 NaN            NaN            NaN            NaN            NaN            NaN
  1464.44        500.000                 NaN   99.0195                 NaN            NaN            NaN  0.109608E-001  0.344169       0.625338                 NaN            NaN            NaN            NaN            NaN            NaN
  1463.00        500.000                 NaN   99.0337                 NaN            NaN            NaN  0.103146E-001  0.615538       0.340442                 NaN            NaN            NaN            NaN            NaN            NaN
  1461.56        500.000                 NaN   99.0423                 NaN            NaN            NaN  0.100449E-001  0.337397       0.610236                 NaN            NaN            NaN            NaN            NaN            NaN
  1460.13        500.000                 NaN   99.0530                 NaN            NaN            NaN  0.962087E-002  0.603075       0.334311                 NaN            NaN            NaN            NaN            NaN            NaN
  1458.69        500.000                 NaN   98.8934                 NaN            NaN            NaN  0.111320E-001  0.704601       0.390854                 NaN            NaN            NaN            NaN            NaN            NaN
  1457.25        500.000                 NaN   99.2428                 NaN            NaN            NaN  0.728776E-002  0.268309       0.481630                 NaN            NaN            NaN            NaN            NaN            NaN
  1455.81        500.000                 NaN   99.0839                 NaN            NaN            NaN  0.855294E-002  0.324613       0.582902                 NaN            NaN            NaN            NaN            NaN            NaN
  1454.37        500.000                 NaN   99.0908                 NaN            NaN            NaN  0.822202E-002  0.322253       0.578677                 NaN            NaN            NaN            NaN            NaN            NaN
  1452.94        500.000                 NaN   99.1053                 NaN            NaN            NaN  0.780737E-002  0.318393       0.568524                 NaN            NaN            NaN            NaN            NaN            NaN
  1451.50        500.000                 NaN   99.1125                 NaN            NaN            NaN  0.755549E-002  0.564085       0.315860                 NaN            NaN            NaN            NaN            NaN            NaN
  1450.06        500.000                 NaN   99.1213                 NaN            NaN            NaN  0.720556E-002  0.558640       0.312897                 NaN            NaN            NaN            NaN            NaN            NaN
  1448.62        500.000                 NaN   99.1286                 NaN            NaN            NaN  0.695684E-002  0.310331       0.554067                 NaN            NaN            NaN            NaN            NaN            NaN
  1447.19        500.000                 NaN   99.1426                 NaN            NaN            NaN  0.649719E-002  0.306455       0.544477                 NaN            NaN            NaN            NaN            NaN            NaN
  1445.75        500.000                 NaN   99.1490                 NaN            NaN            NaN  0.623773E-002  0.540351       0.304417                 NaN            NaN            NaN            NaN            NaN            NaN
  1444.31        500.000                 NaN   99.1568                 NaN            NaN            NaN  0.605275E-002  0.301724       0.535408                 NaN            NaN            NaN            NaN            NaN            NaN
  1442.87        500.000                 NaN   99.1650                 NaN            NaN            NaN  0.566440E-002  0.299140       0.530167                 NaN            NaN            NaN            NaN            NaN            NaN
  1441.43        500.000                 NaN   99.1759                 NaN            NaN            NaN  0.533747E-002  0.295954       0.522789                 NaN            NaN            NaN            NaN            NaN            NaN
  1440.00        500.000                 NaN   99.1827                 NaN            NaN            NaN  0.501669E-002  0.293883       0.518385                 NaN            NaN            NaN            NaN            NaN            NaN
  1438.56        500.000       0.421225E-003   99.1910                 NaN            NaN            NaN  0.462905E-002  0.512194       0.291731                 NaN            NaN            NaN            NaN            NaN            NaN
  1437.12        500.000       0.134430E-002   99.1990                 NaN            NaN            NaN  0.412573E-002  0.290306       0.505251                 NaN            NaN            NaN            NaN            NaN            NaN
  1435.68        500.000       0.177749E-002   99.2060                 NaN            NaN            NaN  0.365212E-002  0.500108       0.288491                 NaN            NaN            NaN            NaN            NaN            NaN
  1434.24        500.000       0.171901E-002   99.2166                 NaN            NaN            NaN  0.337770E-002  0.492887       0.285406                 NaN            NaN            NaN            NaN            NaN            NaN
  1432.81        500.000       0.166134E-002   99.2228                 NaN            NaN            NaN  0.317162E-002  0.489236       0.283107                 NaN            NaN            NaN            NaN            NaN            NaN
  1431.37        500.000       0.160165E-002   99.2302                 NaN            NaN            NaN  0.293227E-002  0.484669       0.280602                 NaN            NaN            NaN            NaN            NaN            NaN
  1429.93        500.000       0.154601E-002   99.2378                 NaN            NaN            NaN  0.265532E-002  0.479783       0.278217                 NaN            NaN            NaN            NaN            NaN            NaN
  1428.49        500.000       0.149087E-002   99.2453                 NaN            NaN            NaN  0.240836E-002  0.275718       0.475083                 NaN            NaN            NaN            NaN            NaN            NaN
  1427.05        500.000       0.143412E-002   99.2526                 NaN            NaN            NaN  0.215523E-002  0.273252       0.470561                 NaN            NaN            NaN            NaN            NaN            NaN
  1425.62        500.000       0.138218E-002   99.2593                 NaN            NaN            NaN  0.194146E-002  0.466367       0.271015                 NaN            NaN            NaN            NaN            NaN            NaN
  1424.18        500.000       0.132954E-002   99.2660                 NaN            NaN            NaN  0.172918E-002  0.268720       0.462255                 NaN            NaN            NaN            NaN            NaN            NaN
  1422.74        500.000       0.127836E-002   99.2733                 NaN            NaN            NaN  0.148635E-002  0.266322       0.457660                 NaN            NaN            NaN            NaN            NaN            NaN
  1421.30        500.000       0.123076E-002   99.2801                 NaN            NaN            NaN  0.122296E-002  0.264008       0.453484                 NaN            NaN            NaN            NaN            NaN            NaN
  1419.87        500.000                 NaN   98.4941                 NaN            NaN            NaN  0.384093E-001  0.603146       0.514253                 NaN            NaN  0.350095                 NaN            NaN            NaN
  1418.43        500.000                 NaN   97.9109                 NaN            NaN            NaN  0.660093E-001  0.700087       0.707828                 NaN            NaN  0.615153                 NaN            NaN            NaN
  1416.99        500.000                 NaN   97.9732                 NaN            NaN            NaN  0.635334E-001  0.687558       0.678690                 NaN            NaN  0.597052                 NaN            NaN            NaN
  1415.55        500.000                 NaN   98.0205                 NaN            NaN            NaN  0.616193E-001  0.672633       0.661780                 NaN            NaN  0.583445                 NaN            NaN            NaN
  1414.11        500.000                 NaN   98.0705                 NaN            NaN            NaN  0.596748E-001  0.656516       0.644278                 NaN            NaN  0.569031                 NaN            NaN            NaN
  1412.68        500.000                 NaN   98.1175                 NaN            NaN            NaN  0.578329E-001  0.627890       0.641315                 NaN            NaN  0.555453                 NaN            NaN            NaN
  1411.24        500.000                 NaN   98.1630                 NaN            NaN            NaN  0.560364E-001  0.611821       0.626950                 NaN            NaN  0.542174                 NaN            NaN            NaN
  1409.80        500.000                 NaN   98.2065                 NaN            NaN            NaN  0.543083E-001  0.612911       0.596707                 NaN            NaN  0.529572                 NaN            NaN            NaN
  1408.36        500.000                 NaN   98.2489                 NaN            NaN            NaN  0.526702E-001  0.599006       0.582120                 NaN            NaN  0.517325                 NaN            NaN            NaN
  1406.92        500.000                 NaN   98.2890                 NaN            NaN            NaN  0.511598E-001  0.568049       0.586163                 NaN            NaN  0.505636                 NaN            NaN            NaN
  1405.49        500.000                 NaN   98.3271                 NaN            NaN            NaN  0.496501E-001  0.573968       0.554765                 NaN            NaN  0.494488                 NaN            NaN            NaN
  1404.05        500.000                 NaN   98.3636                 NaN            NaN            NaN  0.482351E-001  0.561975       0.542346                 NaN            NaN  0.483855                 NaN            NaN            NaN
  1402.61        500.000                 NaN   98.3981                 NaN            NaN            NaN  0.469453E-001  0.551145       0.529748                 NaN            NaN  0.474016                 NaN            NaN            NaN
  1401.17        500.000                 NaN   98.4382                 NaN            NaN            NaN  0.452760E-001  0.537405       0.517157                 NaN            NaN  0.461930                 NaN            NaN            NaN
  1399.73        500.000                 NaN   98.4687                 NaN            NaN            NaN  0.440972E-001  0.527509       0.506562                 NaN            NaN  0.453135                 NaN            NaN            NaN
  1398.30        500.000                 NaN   98.5008                 NaN            NaN            NaN  0.428482E-001  0.517296       0.495318                 NaN            NaN  0.443738                 NaN            NaN            NaN
  1396.86        500.000                 NaN   98.5313                 NaN            NaN            NaN  0.415997E-001  0.485243       0.507158                 NaN            NaN  0.434720                 NaN            NaN            NaN
  1395.42        500.000                 NaN   98.5625                 NaN            NaN            NaN  0.403977E-001  0.474812       0.496743                 NaN            NaN  0.425563                 NaN            NaN            NaN
  1393.98        500.000                 NaN   98.5907                 NaN            NaN            NaN  0.392674E-001  0.465041       0.487633                 NaN            NaN  0.417319                 NaN            NaN            NaN
  1392.55        500.000                 NaN   98.6193                 NaN            NaN            NaN  0.380816E-001  0.455696       0.478136                 NaN            NaN  0.408815                 NaN            NaN            NaN
  1391.11        500.000                 NaN   98.6464                 NaN            NaN            NaN  0.370810E-001  0.468985       0.446736                 NaN            NaN  0.400828                 NaN            NaN            NaN
  1389.67        500.000                 NaN   98.6729                 NaN            NaN            NaN  0.359945E-001  0.460388       0.437690                 NaN            NaN  0.392987                 NaN            NaN            NaN
  1388.23        500.000                 NaN   98.6981                 NaN            NaN            NaN  0.349668E-001  0.429339       0.452047                 NaN            NaN  0.385530                 NaN            NaN            NaN
  1386.79        500.000                 NaN   98.7234                 NaN            NaN            NaN  0.339570E-001  0.443683       0.420962                 NaN            NaN  0.378023                 NaN            NaN            NaN
  1385.36        500.000                 NaN   98.7466                 NaN            NaN            NaN  0.330176E-001  0.413414       0.435696                 NaN            NaN  0.371274                 NaN            NaN            NaN
  1383.92        500.000                 NaN   98.7715                 NaN            NaN            NaN  0.320622E-001  0.427523       0.405163                 NaN            NaN  0.363776                 NaN            NaN            NaN
  1382.48        500.000                 NaN   98.7935                 NaN            NaN            NaN  0.310678E-001  0.419923       0.398368                 NaN            NaN  0.357165                 NaN            NaN            NaN
  1381.04        500.000                 NaN   98.8156                 NaN            NaN            NaN  0.302161E-001  0.412606       0.390956                 NaN            NaN  0.350623                 NaN            NaN            NaN
  1379.60        500.000                 NaN   98.8367                 NaN            NaN            NaN  0.292918E-001  0.405338       0.384426                 NaN            NaN  0.344265                 NaN            NaN            NaN
  1378.17        500.000                 NaN   98.8572                 NaN            NaN            NaN  0.284625E-001  0.377556       0.398561                 NaN            NaN  0.338218                 NaN            NaN            NaN
  1376.73        500.000                 NaN   98.8785                 NaN            NaN            NaN  0.276039E-001  0.391185       0.370932                 NaN            NaN  0.331828                 NaN            NaN            NaN
  1375.29        500.000                 NaN   98.8977                 NaN            NaN            NaN  0.268209E-001  0.364967       0.384481                 NaN            NaN  0.326038                 NaN            NaN            NaN
  1373.85        500.000                 NaN   97.9561                 NaN            NaN            NaN  0.263327E-001  0.621279       0.770559                 NaN            NaN  0.625733                 NaN            NaN            NaN
  1372.41        500.000                 NaN   97.2960                 NaN            NaN            NaN  0.220680E-001   1.04634       0.796299                 NaN            NaN  0.839288                 NaN            NaN            NaN
  1370.98        500.000                 NaN   95.0615                 NaN            NaN            NaN            NaN   1.91287        1.47034                 NaN            NaN   1.55530                 NaN            NaN            NaN
  1369.54        500.000                 NaN   94.8134                 NaN            NaN            NaN            NaN   1.51652        2.01873                 NaN            NaN   1.65138                 NaN            NaN            NaN
  1368.10        500.000                 NaN   96.3080                 NaN            NaN            NaN            NaN   1.22745        1.34403                 NaN            NaN   1.12048                 NaN            NaN            NaN
  1366.66        500.000                 NaN   98.8643                 NaN            NaN            NaN            NaN  0.431873       0.348282                 NaN            NaN  0.355504                 NaN            NaN            NaN
  1365.23        500.000                 NaN   99.2078                 NaN            NaN            NaN            NaN  0.248522       0.297284                 NaN            NaN  0.246394                 NaN            NaN            NaN
  1363.79        500.000                 NaN   76.1808        18.0976                 NaN            NaN  0.505953        1.24912        2.35280                 NaN            NaN   1.61375                 NaN            NaN            NaN
  1362.35        500.000                 NaN   85.5163        12.9157                 NaN            NaN  0.814165E-001  0.634676       0.392009                 NaN            NaN  0.459960                 NaN            NaN            NaN
  1360.91        500.000                 NaN   88.9174        10.3788                 NaN            NaN  0.366815E-001  0.286857       0.174333                 NaN            NaN  0.205932                 NaN            NaN            NaN
  1359.47        500.000       0.188120E-002   91.1978        8.28427                 NaN            NaN  0.266265E-001  0.222933       0.116126                 NaN            NaN  0.150405                 NaN            NaN            NaN
  1358.04        500.000       0.576653E-002   93.7600        5.72309                 NaN            NaN  0.257017E-001  0.911678E-001  0.246135                 NaN            NaN  0.148152                 NaN            NaN            NaN
  1356.60        500.000       0.219155E-002   95.0607        4.71854                 NaN            NaN  0.111393E-001  0.103442       0.408002E-001            NaN            NaN  0.631611E-001            NaN            NaN            NaN
  1355.16        500.000       0.115005E-002   95.7145        4.15196                 NaN            NaN  0.681593E-002  0.615727E-001  0.258311E-001            NaN            NaN  0.381275E-001            NaN            NaN            NaN
  1353.72        500.000       0.670251E-003   96.1175        3.78872                 NaN            NaN  0.483764E-002  0.190313E-001  0.424950E-001            NaN            NaN  0.267264E-001            NaN            NaN            NaN
  1352.28        500.000       0.394671E-003   96.3881        3.54006                 NaN            NaN  0.374497E-002  0.319053E-001  0.153424E-001            NaN            NaN  0.204312E-001            NaN            NaN            NaN
  1350.85        500.000       0.207770E-003   96.5761        3.36574                 NaN            NaN  0.306904E-002  0.131530E-001  0.252278E-001            NaN            NaN  0.165226E-001            NaN            NaN            NaN
  1349.41        500.000       0.912932E-002   99.3767                 NaN            NaN            NaN  0.193435E-001  0.361195       0.640391E-001            NaN            NaN  0.169598                 NaN            NaN            NaN
  1347.97        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1346.53        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1345.09        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1343.66        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1342.22        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1340.78        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1339.34        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1337.91        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1336.47        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1335.03        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1333.59        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1332.15        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1330.72        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1329.28        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1327.84        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1326.40        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1324.96        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1323.53        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1322.09        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1320.65        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1319.21        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
