|6.6.6
Archiving\03_Data\eqfracLP/QFM_m5/GRV/GRV_3.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          16
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          iron           Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1532.02        500.000                 NaN   98.2503                 NaN  0.511596                 NaN  0.175015E-001   1.22065                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.58        500.000                 NaN   98.2900                 NaN  0.499882                 NaN  0.169904E-001   1.19318                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.15        500.000                 NaN   98.3289                 NaN  0.490776                 NaN  0.166333E-001   1.16366                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.71        500.000                 NaN   98.3660                 NaN  0.480480                 NaN  0.161977E-001   1.13736                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.27        500.000                 NaN   98.4016                 NaN  0.470197                 NaN  0.157944E-001   1.11239                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.83        500.000                 NaN   98.4352                 NaN  0.459094                 NaN  0.153516E-001   1.09040                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.39        500.000                 NaN   98.4713                 NaN  0.450003                 NaN  0.150081E-001   1.06369                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.96        500.000                 NaN   98.5027                 NaN  0.439292                 NaN  0.146343E-001   1.04333                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.52        500.000                 NaN   98.5356                 NaN  0.427351                 NaN  0.141708E-001   1.02291                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.08        500.000                 NaN   98.5649                 NaN  0.417286                 NaN  0.138145E-001   1.00405                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.64        500.000                 NaN   98.5927                 NaN  0.406363                 NaN  0.134507E-001  0.987471                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.20        500.000                 NaN   98.6241                 NaN  0.397213                 NaN  0.130942E-001  0.965612                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.77        500.000                 NaN   98.6502                 NaN  0.388625                 NaN  0.127978E-001  0.948363                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.33        500.000                 NaN   98.6761                 NaN  0.379094                 NaN  0.124809E-001  0.932320                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.89        500.000                 NaN   98.7037                 NaN  0.370030                 NaN  0.121492E-001  0.914149                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.45        500.000                 NaN   98.7270                 NaN  0.362018                 NaN  0.118261E-001  0.899181                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.01        500.000                 NaN   98.7514                 NaN  0.352548                 NaN  0.115218E-001  0.884499                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.58        500.000                 NaN   98.7748                 NaN  0.344379                 NaN  0.112521E-001  0.869585                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.14        500.000                 NaN   98.7975                 NaN  0.336248                 NaN  0.109738E-001  0.855325                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.70        500.000                 NaN   98.8193                 NaN  0.328680                 NaN  0.107074E-001  0.841303                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.26        500.000                 NaN   98.8400                 NaN  0.320753                 NaN  0.104375E-001  0.828800                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.83        500.000                 NaN   98.8611                 NaN  0.313561                 NaN  0.101879E-001  0.815137                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.39        500.000                 NaN   98.8803                 NaN  0.305899                 NaN  0.991757E-002  0.803863                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.95        500.000                 NaN   98.8998                 NaN  0.299014                 NaN  0.971863E-002  0.791432                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.51        500.000                 NaN   98.9190                 NaN  0.291269                 NaN  0.943749E-002  0.780291                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.07        500.000                 NaN   98.9350                 NaN  0.285746                 NaN  0.930910E-002  0.769982                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.64        500.000                 NaN   98.9528                 NaN  0.278054                 NaN  0.904102E-002  0.760079                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.20        500.000                 NaN   98.8641                 NaN  0.299208                 NaN  0.966246E-002  0.827046                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.76        500.000                 NaN   99.0952                 NaN  0.224503                 NaN  0.757967E-002  0.176232E-001  0.655097                 NaN            NaN            NaN            NaN            NaN            NaN
  1490.32        500.000                 NaN   98.9548                 NaN  0.794604E-001            NaN  0.724427E-002  0.268042       0.690404                 NaN            NaN            NaN            NaN            NaN            NaN
  1488.88        500.000                 NaN   98.9925                 NaN  0.601867E-001            NaN  0.680586E-002  0.660922       0.279611                 NaN            NaN            NaN            NaN            NaN            NaN
  1487.45        500.000                 NaN   98.6936                 NaN  0.746211E-001            NaN  0.875038E-002  0.366290       0.856713                 NaN            NaN            NaN            NaN            NaN            NaN
  1486.01        500.000                 NaN   99.3084                 NaN  0.343009E-001            NaN  0.450903E-002  0.452375       0.200435                 NaN            NaN            NaN            NaN            NaN            NaN
  1484.57        500.000                 NaN   99.0195                 NaN  0.441607E-001            NaN  0.632575E-002  0.640563       0.289458                 NaN            NaN            NaN            NaN            NaN            NaN
  1483.13        500.000                 NaN   99.0331                 NaN  0.379724E-001            NaN  0.609646E-002  0.630617       0.292241                 NaN            NaN            NaN            NaN            NaN            NaN
  1481.69        500.000                 NaN   99.0441                 NaN  0.327444E-001            NaN  0.595186E-002  0.294575       0.622642                 NaN            NaN            NaN            NaN            NaN            NaN
  1480.26        500.000                 NaN   99.0576                 NaN  0.255894E-001            NaN  0.572283E-002  0.298768       0.612309                 NaN            NaN            NaN            NaN            NaN            NaN
  1478.82        500.000                 NaN   99.0693                 NaN  0.211808E-001            NaN  0.551854E-002  0.299956       0.604022                 NaN            NaN            NaN            NaN            NaN            NaN
  1477.38        500.000                 NaN   99.0806                 NaN  0.172656E-001            NaN  0.535504E-002  0.596382       0.300381                 NaN            NaN            NaN            NaN            NaN            NaN
  1475.94        500.000                 NaN   99.0923                 NaN  0.116838E-001            NaN  0.519032E-002  0.587425       0.303380                 NaN            NaN            NaN            NaN            NaN            NaN
  1474.51        500.000                 NaN   99.1033                 NaN  0.731265E-002            NaN  0.503435E-002  0.304741       0.579598                 NaN            NaN            NaN            NaN            NaN            NaN
  1473.07        500.000                 NaN   99.1142                 NaN  0.347444E-002            NaN  0.486820E-002  0.572034       0.305432                 NaN            NaN            NaN            NaN            NaN            NaN
  1471.63        500.000                 NaN   99.1245                 NaN  0.875907E-003            NaN  0.470100E-002  0.565103       0.304777                 NaN            NaN            NaN            NaN            NaN            NaN
  1470.19        500.000                 NaN   99.1377                 NaN  0.416731E-001            NaN  0.454409E-002  0.257549       0.558499                 NaN            NaN            NaN            NaN            NaN            NaN
  1468.75        500.000                 NaN   99.1463                 NaN            NaN            NaN  0.439728E-002  0.550194       0.299100                 NaN            NaN            NaN            NaN            NaN            NaN
  1467.32        500.000                 NaN   99.1561                 NaN            NaN            NaN  0.423660E-002  0.543620       0.296078                 NaN            NaN            NaN            NaN            NaN            NaN
  1465.88        500.000                 NaN   99.1680                 NaN  0.467171E-001            NaN  0.406299E-002  0.243257       0.538010                 NaN            NaN            NaN            NaN            NaN            NaN
  1464.44        500.000                 NaN   99.1754                 NaN            NaN            NaN  0.402392E-002  0.289802       0.530805                 NaN            NaN            NaN            NaN            NaN            NaN
  1463.00        500.000                 NaN   99.1877                 NaN            NaN            NaN  0.378483E-002  0.522080       0.286412                 NaN            NaN            NaN            NaN            NaN            NaN
  1461.56        500.000                 NaN   99.1954                 NaN            NaN            NaN  0.368409E-002  0.283627       0.517265                 NaN            NaN            NaN            NaN            NaN            NaN
  1460.13        500.000                 NaN   99.2048                 NaN            NaN            NaN  0.352683E-002  0.510843       0.280805                 NaN            NaN            NaN            NaN            NaN            NaN
  1458.69        500.000                 NaN   99.0712                 NaN            NaN            NaN  0.407955E-002  0.596590       0.328104                 NaN            NaN            NaN            NaN            NaN            NaN
  1457.25        500.000                 NaN   99.3651                 NaN            NaN            NaN  0.266821E-002  0.224942       0.407314                 NaN            NaN            NaN            NaN            NaN            NaN
  1455.81        500.000                 NaN   99.2321                 NaN            NaN            NaN  0.313076E-002  0.272003       0.492765                 NaN            NaN            NaN            NaN            NaN            NaN
  1454.37        500.000                 NaN   99.2383                 NaN            NaN            NaN  0.300818E-002  0.269795       0.488885                 NaN            NaN            NaN            NaN            NaN            NaN
  1452.94        500.000                 NaN   99.2508                 NaN            NaN            NaN  0.285507E-002  0.266358       0.479975                 NaN            NaN            NaN            NaN            NaN            NaN
  1451.50        500.000                 NaN   99.2573                 NaN            NaN            NaN  0.276163E-002  0.475915       0.264028                 NaN            NaN            NaN            NaN            NaN            NaN
  1450.06        500.000                 NaN   99.2650                 NaN            NaN            NaN  0.263246E-002  0.471003       0.261330                 NaN            NaN            NaN            NaN            NaN            NaN
  1448.62        500.000                 NaN   99.2716                 NaN            NaN            NaN  0.254037E-002  0.258998       0.466834                 NaN            NaN            NaN            NaN            NaN            NaN
  1447.19        500.000                 NaN   99.2836                 NaN            NaN            NaN  0.237136E-002  0.255540       0.458453                 NaN            NaN            NaN            NaN            NaN            NaN
  1445.75        500.000                 NaN   99.2894                 NaN            NaN            NaN  0.227558E-002  0.454682       0.253638                 NaN            NaN            NaN            NaN            NaN            NaN
  1444.31        500.000                 NaN   99.2964                 NaN            NaN            NaN  0.220704E-002  0.251197       0.450235                 NaN            NaN            NaN            NaN            NaN            NaN
  1442.87        500.000                 NaN   99.3036                 NaN            NaN            NaN  0.206445E-002  0.248851       0.445499                 NaN            NaN            NaN            NaN            NaN            NaN
  1441.43        500.000                 NaN   99.3130                 NaN            NaN            NaN  0.194435E-002  0.245990       0.439029                 NaN            NaN            NaN            NaN            NaN            NaN
  1440.00        500.000                 NaN   99.3191                 NaN            NaN            NaN  0.182663E-002  0.244058       0.435036                 NaN            NaN            NaN            NaN            NaN            NaN
  1438.56        500.000       0.261091E-003   99.3264                 NaN            NaN            NaN  0.168468E-002  0.429552       0.242084                 NaN            NaN            NaN            NaN            NaN            NaN
  1437.12        500.000       0.833218E-003   99.3335                 NaN            NaN            NaN  0.150079E-002  0.240710       0.423458                 NaN            NaN            NaN            NaN            NaN            NaN
  1435.68        500.000       0.110157E-002   99.3397                 NaN            NaN            NaN  0.132788E-002  0.418857       0.238999                 NaN            NaN            NaN            NaN            NaN            NaN
  1434.24        500.000       0.106539E-002   99.3489                 NaN            NaN            NaN  0.122751E-002  0.412541       0.236258                 NaN            NaN            NaN            NaN            NaN            NaN
  1432.81        500.000       0.102963E-002   99.3544                 NaN            NaN            NaN  0.115207E-002  0.409223       0.234160                 NaN            NaN            NaN            NaN            NaN            NaN
  1431.37        500.000       0.992584E-003   99.3609                 NaN            NaN            NaN  0.106463E-002  0.405134       0.231900                 NaN            NaN            NaN            NaN            NaN            NaN
  1429.93        500.000       0.958121E-003   99.3676                 NaN            NaN            NaN  0.963620E-003  0.400784       0.229738                 NaN            NaN            NaN            NaN            NaN            NaN
  1428.49        500.000       0.923975E-003   99.3741                 NaN            NaN            NaN  0.873583E-003  0.227498       0.396591                 NaN            NaN            NaN            NaN            NaN            NaN
  1427.05        500.000       0.888730E-003   99.3805                 NaN            NaN            NaN  0.781399E-003  0.225268       0.392559                 NaN            NaN            NaN            NaN            NaN            NaN
  1425.62        500.000       0.856527E-003   99.3864                 NaN            NaN            NaN  0.703564E-003  0.388806       0.223243                 NaN            NaN            NaN            NaN            NaN            NaN
  1424.18        500.000       0.823878E-003   99.3922                 NaN            NaN            NaN  0.626342E-003  0.221172       0.385129                 NaN            NaN            NaN            NaN            NaN            NaN
  1422.74        500.000       0.792144E-003   99.3986                 NaN            NaN            NaN  0.538131E-003  0.219022       0.381047                 NaN            NaN            NaN            NaN            NaN            NaN
  1421.30        500.000       0.762652E-003   99.4045                 NaN            NaN            NaN  0.442564E-003  0.216932       0.377318                 NaN            NaN            NaN            NaN            NaN            NaN
  1419.87        500.000                 NaN   98.7104                 NaN            NaN            NaN  0.139001E-001  0.501769       0.422433                 NaN            NaN  0.351524                 NaN            NaN            NaN
  1418.43        500.000                 NaN   98.1958                 NaN            NaN            NaN  0.238753E-001  0.574587       0.588402                 NaN            NaN  0.617351                 NaN            NaN            NaN
  1416.99        500.000                 NaN   98.2519                 NaN            NaN            NaN  0.229497E-001  0.570696       0.556068                 NaN            NaN  0.598426                 NaN            NaN            NaN
  1415.55        500.000                 NaN   98.2949                 NaN            NaN            NaN  0.222297E-001  0.557475       0.541309                 NaN            NaN  0.584060                 NaN            NaN            NaN
  1414.11        500.000                 NaN   98.3401                 NaN            NaN            NaN  0.215007E-001  0.543313       0.526131                 NaN            NaN  0.568925                 NaN            NaN            NaN
  1412.68        500.000                 NaN   98.3827                 NaN            NaN            NaN  0.208106E-001  0.511912       0.529947                 NaN            NaN  0.554665                 NaN            NaN            NaN
  1411.24        500.000                 NaN   98.4238                 NaN            NaN            NaN  0.201387E-001  0.497992       0.517318                 NaN            NaN  0.540743                 NaN            NaN            NaN
  1409.80        500.000                 NaN   98.4631                 NaN            NaN            NaN  0.194931E-001  0.504970       0.484922                 NaN            NaN  0.527533                 NaN            NaN            NaN
  1408.36        500.000                 NaN   98.5013                 NaN            NaN            NaN  0.188816E-001  0.492831       0.472298                 NaN            NaN  0.514712                 NaN            NaN            NaN
  1406.92        500.000                 NaN   98.5375                 NaN            NaN            NaN  0.183175E-001  0.460154       0.481576                 NaN            NaN  0.502481                 NaN            NaN            NaN
  1405.49        500.000                 NaN   98.5719                 NaN            NaN            NaN  0.177552E-001  0.470886       0.448673                 NaN            NaN  0.490819                 NaN            NaN            NaN
  1404.05        500.000                 NaN   98.6047                 NaN            NaN            NaN  0.172282E-001  0.460395       0.437940                 NaN            NaN  0.479700                 NaN            NaN            NaN
  1402.61        500.000                 NaN   98.6358                 NaN            NaN            NaN  0.167472E-001  0.450910       0.427104                 NaN            NaN  0.469395                 NaN            NaN            NaN
  1401.17        500.000                 NaN   98.6717                 NaN            NaN            NaN  0.161322E-001  0.439013       0.416297                 NaN            NaN  0.456892                 NaN            NaN            NaN
  1399.73        500.000                 NaN   98.6992                 NaN            NaN            NaN  0.156935E-001  0.430335       0.407135                 NaN            NaN  0.447678                 NaN            NaN            NaN
  1398.30        500.000                 NaN   98.7280                 NaN            NaN            NaN  0.152309E-001  0.421415       0.397492                 NaN            NaN  0.437892                 NaN            NaN            NaN
  1396.86        500.000                 NaN   98.7553                 NaN            NaN            NaN  0.147697E-001  0.388800       0.412575                 NaN            NaN  0.428506                 NaN            NaN            NaN
  1395.42        500.000                 NaN   98.7833                 NaN            NaN            NaN  0.143262E-001  0.379868       0.403550                 NaN            NaN  0.419005                 NaN            NaN            NaN
  1393.98        500.000                 NaN   98.8086                 NaN            NaN            NaN  0.139092E-001  0.371489       0.395611                 NaN            NaN  0.410428                 NaN            NaN            NaN
  1392.55        500.000                 NaN   98.8341                 NaN            NaN            NaN  0.134736E-001  0.363465       0.387367                 NaN            NaN  0.401617                 NaN            NaN            NaN
  1391.11        500.000                 NaN   98.8583                 NaN            NaN            NaN  0.131046E-001  0.379441       0.355794                 NaN            NaN  0.393336                 NaN            NaN            NaN
  1389.67        500.000                 NaN   98.8820                 NaN            NaN            NaN  0.127061E-001  0.371988       0.348068                 NaN            NaN  0.385218                 NaN            NaN            NaN
  1388.23        500.000                 NaN   98.9045                 NaN            NaN            NaN  0.123295E-001  0.340917       0.364759                 NaN            NaN  0.377497                 NaN            NaN            NaN
  1386.79        500.000                 NaN   98.9270                 NaN            NaN            NaN  0.119600E-001  0.357528       0.333776                 NaN            NaN  0.369747                 NaN            NaN            NaN
  1385.36        500.000                 NaN   98.9477                 NaN            NaN            NaN  0.116162E-001  0.327311       0.350626                 NaN            NaN  0.362756                 NaN            NaN            NaN
  1383.92        500.000                 NaN   98.9698                 NaN            NaN            NaN  0.112676E-001  0.343598       0.320319                 NaN            NaN  0.355050                 NaN            NaN            NaN
  1382.48        500.000                 NaN   98.9894                 NaN            NaN            NaN  0.109061E-001  0.337042       0.314470                 NaN            NaN  0.348230                 NaN            NaN            NaN
  1381.04        500.000                 NaN   99.0090                 NaN            NaN            NaN  0.105956E-001  0.330739       0.308182                 NaN            NaN  0.341492                 NaN            NaN            NaN
  1379.60        500.000                 NaN   99.0277                 NaN            NaN            NaN  0.102604E-001  0.324481       0.302590                 NaN            NaN  0.334951                 NaN            NaN            NaN
  1378.17        500.000                 NaN   99.0459                 NaN            NaN            NaN  0.995920E-002  0.296761       0.318649                 NaN            NaN  0.328728                 NaN            NaN            NaN
  1376.73        500.000                 NaN   99.0647                 NaN            NaN            NaN  0.964845E-002  0.312356       0.291137                 NaN            NaN  0.322186                 NaN            NaN            NaN
  1375.29        500.000                 NaN   99.0817                 NaN            NaN            NaN  0.936486E-002  0.286055       0.306608                 NaN            NaN  0.316242                 NaN            NaN            NaN
  1373.85        500.000                 NaN   98.2832                 NaN            NaN            NaN  0.919146E-002  0.486684       0.614200                 NaN            NaN  0.606760                 NaN            NaN            NaN
  1372.41        500.000                 NaN   97.7237                 NaN            NaN            NaN  0.769283E-002  0.832885       0.622923                 NaN            NaN  0.812815                 NaN            NaN            NaN
  1370.98        500.000                 NaN   95.8234                 NaN            NaN            NaN            NaN   1.52178        1.14961                 NaN            NaN   1.50522                 NaN            NaN            NaN
  1369.54        500.000                 NaN   95.6264                 NaN            NaN            NaN            NaN   1.18172        1.60033                 NaN            NaN   1.59157                 NaN            NaN            NaN
  1368.10        500.000                 NaN   96.9174                 NaN            NaN            NaN            NaN  0.950149        1.05867                 NaN            NaN   1.07381                 NaN            NaN            NaN
  1366.66        500.000                 NaN   99.0552                 NaN            NaN            NaN            NaN  0.338143       0.267979                 NaN            NaN  0.338681                 NaN            NaN            NaN
  1365.23        500.000                 NaN   99.3422                 NaN            NaN            NaN            NaN  0.190941       0.232427                 NaN            NaN  0.234437                 NaN            NaN            NaN
  1363.79        500.000                 NaN   77.4827        18.0127                 NaN            NaN  0.173720       0.979022        1.81223                 NaN            NaN   1.53970                 NaN            NaN            NaN
  1362.35        500.000                 NaN   86.0412        12.7107                 NaN            NaN  0.276260E-001  0.483131       0.303623                 NaN            NaN  0.433713                 NaN            NaN            NaN
  1360.91        500.000                 NaN   89.2502        10.1914                 NaN            NaN  0.124118E-001  0.217750       0.134645                 NaN            NaN  0.193645                 NaN            NaN            NaN
  1359.47        500.000       0.107755E-002   91.4606        8.12940                 NaN            NaN  0.899926E-002  0.169029       0.895858E-001            NaN            NaN  0.141275                 NaN            NaN            NaN
  1358.04        500.000       0.330147E-002   93.9799        5.61228                 NaN            NaN  0.867995E-002  0.702863E-001  0.186497                 NaN            NaN  0.139056                 NaN            NaN            NaN
  1356.60        500.000       0.125367E-002   95.2019        4.62414                 NaN            NaN  0.375832E-002  0.783008E-001  0.314255E-001            NaN            NaN  0.592283E-001            NaN            NaN            NaN
  1355.16        500.000       0.657656E-003   95.8258        4.06899                 NaN            NaN  0.229872E-002  0.465855E-001  0.198875E-001            NaN            NaN  0.357407E-001            NaN            NaN            NaN
  1353.72        500.000       0.383187E-003   96.2122        3.71396                 NaN            NaN  0.163114E-002  0.146479E-001  0.321398E-001            NaN            NaN  0.250484E-001            NaN            NaN            NaN
  1352.28        500.000       0.225585E-003   96.4719        3.47152                 NaN            NaN  0.126251E-002  0.241227E-001  0.118056E-001            NaN            NaN  0.191460E-001            NaN            NaN            NaN
  1350.85        500.000       0.118730E-003   96.6521        3.30209                 NaN            NaN  0.103451E-002  0.101185E-001  0.190680E-001            NaN            NaN  0.154819E-001            NaN            NaN            NaN
  1349.41        500.000       0.521762E-002   99.5070                 NaN            NaN            NaN  0.652204E-002  0.273014       0.492706E-001            NaN            NaN  0.158964                 NaN            NaN            NaN
  1347.97        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1346.53        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1345.09        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1343.66        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1342.22        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1340.78        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1339.34        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1337.91        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1336.47        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1335.03        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1333.59        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1332.15        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1330.72        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1329.28        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1327.84        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1326.40        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1324.96        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1323.53        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1322.09        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1320.65        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1319.21        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
