|6.6.6
Archiving\03_Data\eqfrac/QFM_m1.75/TAY13/TAY13_3.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q              hed           
  1575.23        2500.00                 NaN   99.4100       0.522033       0.680031E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.74        2500.00                 NaN   99.4160       0.516360       0.676324E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.24        2500.00                 NaN   99.4007       0.531118       0.682306E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.75        2500.00                 NaN   99.4441       0.493442       0.624925E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.26        2500.00                 NaN   99.2908       0.700994       0.822317E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.76        2500.00                 NaN   99.5730       0.306281       0.120685                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.27        2500.00                 NaN   99.4402       0.497429       0.623428E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.77        2500.00                 NaN   99.4438       0.495124       0.610928E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.28        2500.00                 NaN   99.4503       0.488867       0.608814E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.79        2500.00                 NaN   99.4514       0.488713       0.599021E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.29        2500.00                 NaN   99.4315       0.506530       0.620015E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.80        2500.00                 NaN   99.4918       0.452431       0.557195E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.30        2500.00                 NaN   99.4681       0.474554       0.573811E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.81        2500.00                 NaN   99.4721       0.471059       0.568367E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.31        2500.00                 NaN   99.4762       0.468197       0.556016E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.82        2500.00                 NaN   99.4797       0.465437       0.548657E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.33        2500.00                 NaN   99.4847       0.460016       0.553290E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.83        2500.00                 NaN   99.4894       0.456560       0.540410E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.34        2500.00                 NaN   99.4925       0.455569       0.519673E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.84        2500.00                 NaN   99.4958       0.452904       0.513388E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.35        2500.00                 NaN   99.5003       0.448872       0.508423E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        2500.00                 NaN   99.5024       0.447524       0.500825E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.36        2500.00                 NaN   99.5089       0.441368       0.497477E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.87        2500.00                 NaN   99.5123       0.438442       0.492973E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.37        2500.00                 NaN   99.5158       0.436349       0.478091E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.88        2500.00                 NaN   99.5184       0.432943       0.486272E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.39        2500.00                 NaN   99.5244       0.429160       0.464397E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.89        2500.00                 NaN   99.5251       0.429953       0.449340E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.40        2500.00                 NaN   99.5273       0.427686       0.450273E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.90        2500.00                 NaN   99.5332       0.422805       0.440031E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.41        2500.00                 NaN   99.5354       0.421147       0.434860E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.92        2500.00                 NaN   99.5415       0.416486       0.419654E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.42        2500.00                 NaN   99.5425       0.415920       0.416093E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.93        2500.00                 NaN   99.5441       0.415991       0.399264E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.43        2500.00                 NaN   99.5482       0.412427       0.393694E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.94        2500.00                 NaN   99.5517       0.408394       0.399115E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.44        2500.00                 NaN   99.5555       0.404846       0.396536E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.95        2500.00                 NaN   99.5575       0.404569       0.379767E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.46        2500.00                 NaN   99.5607       0.402488       0.368137E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.96        2500.00                 NaN   99.5624       0.401912       0.357251E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.47        2500.00                 NaN   99.5659       0.398927       0.351441E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.97        2500.00                 NaN   99.5684       0.397469       0.340872E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.48        2500.00                 NaN   99.5711       0.395615       0.332958E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.99        2500.00                 NaN   99.5818       0.385270       0.329584E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.49        2500.00                 NaN   99.5686       0.398824       0.326076E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.00        2500.00                 NaN   99.5792       0.389583       0.312603E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.50        2500.00                 NaN   99.5814       0.388131       0.304721E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.01        2500.00                 NaN   99.5839       0.386206       0.298831E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.52        2500.00                 NaN   99.5879       0.381734       0.303818E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.02        2500.00                 NaN   99.5884       0.383357       0.282050E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.53        2500.00                 NaN   99.5919       0.380356       0.277139E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.03        2500.00                 NaN   99.5938       0.378505       0.276802E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.54        2500.00                 NaN   99.5959       0.377763       0.263554E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.04        2500.00                 NaN   99.1812       0.777137       0.416989E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.55        2500.00                 NaN   99.9977                 NaN  0.227974E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.06        2500.00                 NaN   99.6182       0.357597       0.242211E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.56        2500.00                 NaN   99.9219       0.781170E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.07        2500.00                 NaN   99.2907       0.662707       0.465755E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1488.57        2500.00                 NaN   99.5210       0.604043E-001  0.691378E-003            NaN  0.417922                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.08        2500.00                 NaN   99.4926       0.421138E-002  0.623030E-002            NaN  0.497002                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.59        2500.00                 NaN   99.4932       0.683619E-001            NaN            NaN  0.438430                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.09        2500.00                 NaN   99.4894                 NaN            NaN            NaN  0.510581                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.60        2500.00                 NaN   99.3021                 NaN  0.121552E-005            NaN  0.697900                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1481.10        2500.00                 NaN   99.6723                 NaN            NaN            NaN  0.327713                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1479.61        2500.00                 NaN   99.4846                 NaN            NaN            NaN  0.515405                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1478.12        2500.00                 NaN   99.4842                 NaN  0.173920E-005            NaN  0.515821                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1476.62        2500.00                 NaN   99.4798                 NaN            NaN            NaN  0.520234                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1475.13        2500.00                 NaN   99.4773                 NaN            NaN            NaN  0.522717                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1473.63        2500.00                 NaN   99.4718                 NaN            NaN            NaN  0.528156                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1472.14        2500.00                 NaN   99.4728                 NaN            NaN            NaN  0.527215                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1470.64        2500.00                 NaN   99.3460                 NaN            NaN            NaN  0.404692       0.249313                 NaN            NaN            NaN            NaN            NaN            NaN
  1469.15        2500.00                 NaN   99.2279                 NaN            NaN            NaN  0.267773       0.504370                 NaN            NaN            NaN            NaN            NaN            NaN
  1467.66        2500.00                 NaN   99.2328                 NaN            NaN            NaN  0.266130       0.501116                 NaN            NaN            NaN            NaN            NaN            NaN
  1466.16        2500.00                 NaN   99.2430                 NaN            NaN            NaN  0.263198       0.493758                 NaN            NaN            NaN            NaN            NaN            NaN
  1464.67        2500.00                 NaN   99.2474                 NaN            NaN            NaN  0.261293       0.491286                 NaN            NaN            NaN            NaN            NaN            NaN
  1463.17        2500.00                 NaN   99.2539                 NaN            NaN            NaN  0.487128       0.259002                 NaN            NaN            NaN            NaN            NaN            NaN
  1461.68        2500.00                 NaN   99.2573                 NaN            NaN            NaN  0.257381       0.485353                 NaN            NaN            NaN            NaN            NaN            NaN
  1460.19        2500.00                 NaN   99.2630                 NaN            NaN            NaN  0.255382       0.481594                 NaN            NaN            NaN            NaN            NaN            NaN
  1458.69        2500.00                 NaN   99.2714                 NaN            NaN            NaN  0.253683       0.474915                 NaN            NaN            NaN            NaN            NaN            NaN
  1457.20        2500.00                 NaN   99.2791                 NaN            NaN            NaN  0.250373       0.470494                 NaN            NaN            NaN            NaN            NaN            NaN
  1455.70        2500.00                 NaN   99.2817                 NaN            NaN            NaN  0.249172       0.469143                 NaN            NaN            NaN            NaN            NaN            NaN
  1454.21        2500.00                 NaN   99.2876                 NaN            NaN            NaN  0.247344       0.465084                 NaN            NaN            NaN            NaN            NaN            NaN
  1452.72        2500.00                 NaN   99.2923                 NaN            NaN            NaN  0.462408       0.245248                 NaN            NaN            NaN            NaN            NaN            NaN
  1451.22        2500.00                 NaN   99.2972                 NaN            NaN            NaN  0.243679       0.459077                 NaN            NaN            NaN            NaN            NaN            NaN
  1449.73        2500.00                 NaN   99.3021                 NaN            NaN            NaN  0.456028       0.241921                 NaN            NaN            NaN            NaN            NaN            NaN
  1448.23        2500.00                 NaN   99.3073                 NaN  0.825065E-006            NaN  0.453547       0.239144                 NaN            NaN            NaN            NaN            NaN            NaN
  1446.74        2500.00                 NaN   99.3131                 NaN            NaN            NaN  0.237688       0.449170                 NaN            NaN            NaN            NaN            NaN            NaN
  1445.24        2500.00                 NaN   99.4400                 NaN            NaN            NaN  0.192897       0.367138                 NaN            NaN            NaN            NaN            NaN            NaN
  1443.75        2500.00                 NaN   99.1988                 NaN            NaN            NaN  0.523821       0.277398                 NaN            NaN            NaN            NaN            NaN            NaN
  1442.26        2500.00                 NaN   99.3314                 NaN  0.217135E-001            NaN  0.449860       0.197039                 NaN            NaN            NaN            NaN            NaN            NaN
  1440.76        2500.00                 NaN   99.3351                 NaN  0.934627E-002            NaN  0.214816       0.440760                 NaN            NaN            NaN            NaN            NaN            NaN
  1439.27        2500.00                 NaN   99.3360                 NaN  0.305958E-005            NaN  0.229237       0.434798                 NaN            NaN            NaN            NaN            NaN            NaN
  1437.77        2500.00                 NaN   99.3407                 NaN  0.318037E-002            NaN  0.433482       0.222683                 NaN            NaN            NaN            NaN            NaN            NaN
  1436.28        2500.00                 NaN   99.3479                 NaN  0.198046E-001            NaN  0.194050       0.438213                 NaN            NaN            NaN            NaN            NaN            NaN
  1434.79        2500.00                 NaN   99.3563                 NaN  0.188521E-001            NaN  0.192803       0.432015                 NaN            NaN            NaN            NaN            NaN            NaN
  1433.29        2500.00                 NaN   99.3579                 NaN  0.185650E-001            NaN  0.192217       0.431272                 NaN            NaN            NaN            NaN            NaN            NaN
  1431.80        2500.00                 NaN   99.3613                 NaN  0.177510E-001            NaN  0.191687       0.429279                 NaN            NaN            NaN            NaN            NaN            NaN
  1430.30        2500.00                 NaN   99.3658                 NaN  0.169543E-001            NaN  0.425618       0.191594                 NaN            NaN            NaN            NaN            NaN            NaN
  1428.81        2500.00                 NaN   99.3694                 NaN  0.162325E-001            NaN  0.191034       0.423305                 NaN            NaN            NaN            NaN            NaN            NaN
  1427.32        2500.00                 NaN   99.3729                 NaN  0.154890E-001            NaN  0.420641       0.190970                 NaN            NaN            NaN            NaN            NaN            NaN
  1425.82        2500.00                 NaN   98.5501                 NaN  0.153781                 NaN  0.355794       0.473732                 NaN  0.466566                 NaN            NaN            NaN            NaN
  1424.33        2500.00                 NaN   98.3761                 NaN  0.186595                 NaN  0.386208       0.480108                 NaN  0.571008                 NaN            NaN            NaN            NaN
  1422.83        2500.00                 NaN   98.4048                 NaN  0.185389                 NaN  0.375639       0.472743                 NaN  0.561467                 NaN            NaN            NaN            NaN
  1421.34        2500.00                 NaN   98.4622                 NaN  0.180899                 NaN  0.358153       0.457113                 NaN  0.541682                 NaN            NaN            NaN            NaN
  1419.84        2500.00                 NaN   98.4284                 NaN  0.188048                 NaN  0.464210       0.364247                 NaN  0.555106                 NaN            NaN            NaN            NaN
  1418.35        2500.00                 NaN   98.4991                 NaN  0.180243                 NaN  0.341683       0.450537                 NaN  0.528425                 NaN            NaN            NaN            NaN
  1416.86        2500.00                 NaN   98.5138                 NaN  0.180846                 NaN  0.445175       0.335713                 NaN  0.524438                 NaN            NaN            NaN            NaN
  1415.36        2500.00                 NaN   98.5382                 NaN  0.180141                 NaN  0.439199       0.325895                 NaN  0.516546                 NaN            NaN            NaN            NaN
  1413.87        2500.00                 NaN   98.5633                 NaN  0.178552                 NaN  0.317953       0.432459                 NaN  0.507778                 NaN            NaN            NaN            NaN
  1412.37        2500.00                 NaN   96.0529                 NaN  0.571332                 NaN  0.708477        1.25461                 NaN   1.41273                 NaN            NaN            NaN            NaN
  1410.88        2500.00                 NaN  100.0000                 NaN  0.207047E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1409.39        2500.00                 NaN   99.7473                 NaN  0.134880E-001            NaN  0.101683       0.607041E-001            NaN  0.768437E-001            NaN            NaN            NaN            NaN
  1407.89        2500.00                 NaN   98.6590                 NaN  0.119978                 NaN  0.366960       0.389770                 NaN  0.464286                 NaN            NaN            NaN            NaN
  1406.40        2500.00                 NaN   98.6836                 NaN  0.172211                 NaN  0.276921       0.401155                 NaN  0.466109                 NaN            NaN            NaN            NaN
  1404.90        2500.00                 NaN   98.7002                 NaN  0.172214                 NaN  0.269581       0.397136                 NaN  0.460907                 NaN            NaN            NaN            NaN
  1403.41        2500.00                 NaN   98.7329                 NaN  0.170314                 NaN  0.258975       0.388032                 NaN  0.449781                 NaN            NaN            NaN            NaN
  1401.92        2500.00                 NaN   98.7270                 NaN  0.172530                 NaN  0.257508       0.391285                 NaN  0.451698                 NaN            NaN            NaN            NaN
  1400.42        2500.00                 NaN   98.7604                 NaN  0.169798                 NaN  0.247702       0.381767                 NaN  0.440299                 NaN            NaN            NaN            NaN
  1398.93        2500.00                 NaN   98.7797                 NaN  0.168822                 NaN  0.377105       0.240689                 NaN  0.433707                 NaN            NaN            NaN            NaN
  1397.43        2500.00                 NaN   98.7958                 NaN  0.168341                 NaN  0.373554       0.234295                 NaN  0.428001                 NaN            NaN            NaN            NaN
  1395.94        2500.00                 NaN   98.8162                 NaN  0.167144                 NaN  0.367622       0.228029                 NaN  0.421044                 NaN            NaN            NaN            NaN
  1394.45        2500.00                 NaN   98.8338                 NaN  0.166266                 NaN  0.363332       0.221612                 NaN  0.414970                 NaN            NaN            NaN            NaN
  1392.95        2500.00                 NaN   98.8498                 NaN  0.165464                 NaN  0.359535       0.215818                 NaN  0.409377                 NaN            NaN            NaN            NaN
  1391.46        2500.00                 NaN   98.8675                 NaN  0.164926                 NaN  0.209150       0.355050                 NaN  0.403381                 NaN            NaN            NaN            NaN
  1389.96        2500.00                 NaN   98.8826                 NaN  0.164302                 NaN  0.203723       0.351078                 NaN  0.398262                 NaN            NaN            NaN            NaN
  1388.47        2500.00                 NaN   98.9014                 NaN  0.163323                 NaN  0.197506       0.346196                 NaN  0.391533                 NaN            NaN            NaN            NaN
  1386.97        2500.00                 NaN   98.9189                 NaN  0.160711                 NaN  0.193647       0.341645                 NaN  0.385101                 NaN            NaN            NaN            NaN
  1385.48        2500.00                 NaN   98.9305                 NaN  0.161185                 NaN  0.338686       0.188075                 NaN  0.381555                 NaN            NaN            NaN            NaN
  1383.99        2500.00                 NaN   98.9338                 NaN  0.159433                 NaN  0.341130       0.184213                 NaN  0.381457                 NaN            NaN            NaN            NaN
  1382.49        2500.00                 NaN   98.9783                 NaN  0.159697                 NaN  0.172555       0.325422                 NaN  0.363977                 NaN            NaN            NaN            NaN
  1381.00        2500.00                 NaN   98.9770                 NaN  0.172128                 NaN  0.333623       0.149556                 NaN  0.367698                 NaN            NaN            NaN            NaN
  1379.50        2500.00                 NaN   98.9909                 NaN  0.142538                 NaN  0.316751       0.192563                 NaN  0.357273                 NaN            NaN            NaN            NaN
  1378.01        2500.00                 NaN   99.0029                 NaN  0.156794                 NaN  0.320676       0.163651                 NaN  0.355958                 NaN            NaN            NaN            NaN
  1376.52        2500.00                 NaN   99.0183                 NaN  0.155038                 NaN  0.316081       0.160209                 NaN  0.350331                 NaN            NaN            NaN            NaN
  1375.02        2500.00                 NaN   99.0314                 NaN  0.154797                 NaN  0.154233       0.313530                 NaN  0.346058                 NaN            NaN            NaN            NaN
  1373.53        2500.00                 NaN   99.0447                 NaN  0.153041                 NaN  0.309547       0.151698                 NaN  0.341053                 NaN            NaN            NaN            NaN
  1372.03        2500.00                 NaN   99.0576                 NaN  0.152298                 NaN  0.306022       0.147482                 NaN  0.336621                 NaN            NaN            NaN            NaN
  1370.54        2500.00                 NaN   99.0688                 NaN  0.151262                 NaN  0.303514       0.143922                 NaN  0.332500                 NaN            NaN            NaN            NaN
  1369.05        2500.00                 NaN   99.0812                 NaN  0.151032                 NaN  0.300090       0.139094                 NaN  0.328634                 NaN            NaN            NaN            NaN
  1367.55        2500.00                 NaN   99.0960                 NaN  0.150261                 NaN  0.296558       0.133775                 NaN  0.323426                 NaN            NaN            NaN            NaN
  1366.06        2500.00                 NaN   99.1060                 NaN  0.146772                 NaN  0.293518       0.135100                 NaN  0.318569                 NaN            NaN            NaN            NaN
  1364.56        2500.00                 NaN   99.1168                 NaN  0.146843                 NaN  0.130131       0.291099                 NaN  0.315103                 NaN            NaN            NaN            NaN
  1363.07        2500.00                 NaN   99.1257                 NaN  0.146756                 NaN  0.289478       0.125694                 NaN  0.312384                 NaN            NaN            NaN            NaN
  1361.57        2500.00                 NaN   99.1045                 NaN  0.152513                 NaN  0.295936       0.126721                 NaN  0.320333                 NaN            NaN            NaN            NaN
  1360.08        2500.00                 NaN   99.1901                 NaN  0.135715                 NaN  0.269480       0.116682                 NaN  0.288071                 NaN            NaN            NaN            NaN
  1358.59        2500.00                 NaN   99.1589                 NaN  0.143311                 NaN  0.117058       0.280305                 NaN  0.300391                 NaN            NaN            NaN            NaN
  1357.09        2500.00                 NaN   99.1738                 NaN  0.140112                 NaN  0.116176       0.275801                 NaN  0.294106                 NaN            NaN            NaN            NaN
  1355.60        2500.00                 NaN   99.1817                 NaN  0.140275                 NaN  0.112626       0.273734                 NaN  0.291661                 NaN            NaN            NaN            NaN
  1354.10        2500.00                 NaN   99.1917                 NaN  0.138962                 NaN  0.110571       0.270792                 NaN  0.288006                 NaN            NaN            NaN            NaN
  1352.61        2500.00                 NaN   99.2013                 NaN  0.137629                 NaN  0.268650       0.108040                 NaN  0.284390                 NaN            NaN            NaN            NaN
  1351.12        2500.00                 NaN   99.2104                 NaN  0.136570                 NaN  0.266287       0.105621                 NaN  0.281073                 NaN            NaN            NaN            NaN
  1349.62        2500.00                 NaN   99.2216                 NaN  0.134846                 NaN  0.104402       0.262290                 NaN  0.276900                 NaN            NaN            NaN            NaN
  1348.13        2500.00                 NaN   99.2303                 NaN  0.133743                 NaN  0.259813       0.102474                 NaN  0.273717                 NaN            NaN            NaN            NaN
  1346.63        2500.00                 NaN   99.2395                 NaN  0.132272                 NaN  0.257406       0.100569                 NaN  0.270297                 NaN            NaN            NaN            NaN
  1345.14        2500.00                 NaN   99.2487                 NaN  0.130890                 NaN  0.989981E-001  0.254577                 NaN  0.266812                 NaN            NaN            NaN            NaN
  1343.65        2500.00                 NaN   99.2567                 NaN  0.129537                 NaN  0.977315E-001  0.252262                 NaN  0.263759                 NaN            NaN            NaN            NaN
  1342.15        2500.00                 NaN   99.2652                 NaN  0.128014                 NaN  0.959108E-001  0.250318                 NaN  0.260527                 NaN            NaN            NaN            NaN
  1340.66        2500.00                 NaN   99.2743                 NaN  0.126626                 NaN  0.953275E-001  0.246456                 NaN  0.257293                 NaN            NaN            NaN            NaN
  1339.16        2500.00                 NaN   99.2820                 NaN  0.126124                 NaN  0.245784       0.917123E-001            NaN  0.254375                 NaN            NaN            NaN            NaN
  1337.67        2500.00                 NaN   99.2910                 NaN  0.122525                 NaN  0.241305       0.946404E-001            NaN  0.250508                 NaN            NaN            NaN            NaN
  1336.17        2500.00                 NaN   99.2994                 NaN  0.122074                 NaN  0.914409E-001  0.239445                 NaN  0.247597                 NaN            NaN            NaN            NaN
  1334.68        2500.00                 NaN   99.3069                 NaN  0.120449                 NaN  0.236965       0.909517E-001            NaN  0.244693                 NaN            NaN            NaN            NaN
  1333.19        2500.00                 NaN   99.3145                 NaN  0.118857                 NaN  0.903174E-001  0.234583                 NaN  0.241728                 NaN            NaN            NaN            NaN
  1331.69        2500.00                 NaN   99.3222                 NaN  0.117567                 NaN  0.891824E-001  0.232238                 NaN  0.238855                 NaN            NaN            NaN            NaN
  1330.20        2500.00                 NaN   99.3293                 NaN  0.115746                 NaN  0.890639E-001  0.229837                 NaN  0.236060                 NaN            NaN            NaN            NaN
  1328.70        2500.00                 NaN   99.3369                 NaN  0.114005                 NaN  0.227171       0.888711E-001            NaN  0.233086                 NaN            NaN            NaN            NaN
  1327.21        2500.00                 NaN   99.3441                 NaN  0.112477                 NaN  0.224668       0.883896E-001            NaN  0.230328                 NaN            NaN            NaN            NaN
  1325.72        2500.00                 NaN   99.3510                 NaN  0.110688                 NaN  0.222267       0.884258E-001            NaN  0.227618                 NaN            NaN            NaN            NaN
  1324.22        2500.00                 NaN   99.3576                 NaN  0.108804                 NaN  0.219937       0.887053E-001            NaN  0.224983                 NaN            NaN            NaN            NaN
  1322.73        2500.00                 NaN   99.3646                 NaN  0.107230                 NaN  0.217603       0.883500E-001            NaN  0.222266                 NaN            NaN            NaN            NaN
  1321.23        2500.00                 NaN   99.3205                 NaN  0.633188E-001            NaN  0.185753       0.195231                 NaN  0.235176                 NaN            NaN            NaN            NaN
  1319.74        2500.00                 NaN   99.4234                 NaN  0.138764                 NaN  0.227852       0.803172E-002            NaN  0.201984                 NaN            NaN            NaN            NaN
  1318.25        2500.00                 NaN   99.3886                 NaN  0.108562                 NaN  0.218269       0.703719E-001            NaN  0.214198                 NaN            NaN            NaN            NaN
  1316.75        2500.00                 NaN   99.3905                 NaN  0.100140                 NaN  0.207266       0.900479E-001            NaN  0.212030                 NaN            NaN            NaN            NaN
  1315.26        2500.00                 NaN   99.3966                 NaN  0.982734E-001            NaN  0.205209       0.903153E-001            NaN  0.209637                 NaN            NaN            NaN            NaN
  1313.76        2500.00                 NaN   99.4029                 NaN  0.964715E-001            NaN  0.911861E-001  0.202338                 NaN  0.207094                 NaN            NaN            NaN            NaN
