|6.6.6
Archiving\03_Data\eqfrac/QFM_m1.75/TAY13/TAY13_1.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q              hed           
  1569.26        2500.00                 NaN   99.1859       0.804378       0.974228E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.76        2500.00                 NaN   99.5057       0.351313       0.143025                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.27        2500.00                 NaN   99.3555       0.570621       0.738853E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.77        2500.00                 NaN   99.3594       0.568178       0.724432E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.28        2500.00                 NaN   99.3666       0.561216       0.722284E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.79        2500.00                 NaN   99.3676       0.561259       0.711026E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.29        2500.00                 NaN   99.3445       0.581877       0.736183E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.80        2500.00                 NaN   99.4139       0.519915       0.662004E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.30        2500.00                 NaN   99.3862       0.545621       0.682217E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.81        2500.00                 NaN   99.3906       0.541747       0.676057E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.31        2500.00                 NaN   99.3953       0.538554       0.661547E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.82        2500.00                 NaN   99.3991       0.535619       0.653272E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.33        2500.00                 NaN   99.4044       0.529693       0.659045E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.83        2500.00                 NaN   99.4098       0.525814       0.644008E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.34        2500.00                 NaN   99.4133       0.524771       0.619644E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.84        2500.00                 NaN   99.4169       0.521862       0.612393E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.35        2500.00                 NaN   99.4219       0.517397       0.606789E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        2500.00                 NaN   99.4242       0.516020       0.598206E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.36        2500.00                 NaN   99.4314       0.509168       0.594462E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.87        2500.00                 NaN   99.4352       0.505902       0.589295E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.37        2500.00                 NaN   99.4391       0.503742       0.571834E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.88        2500.00                 NaN   99.4417       0.500064       0.582093E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.39        2500.00                 NaN   99.4487       0.495685       0.555964E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.89        2500.00                 NaN   99.4494       0.496808       0.538310E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.40        2500.00                 NaN   99.4516       0.494385       0.539755E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.90        2500.00                 NaN   99.4583       0.488908       0.527696E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.41        2500.00                 NaN   99.4608       0.487084       0.521472E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.92        2500.00                 NaN   99.4678       0.481863       0.503697E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.42        2500.00                 NaN   99.4687       0.481343       0.499682E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.93        2500.00                 NaN   99.4704       0.481593       0.479820E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.43        2500.00                 NaN   99.4750       0.477689       0.473363E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.94        2500.00                 NaN   99.4787       0.473233       0.480205E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.44        2500.00                 NaN   99.4831       0.469195       0.477186E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.95        2500.00                 NaN   99.4852       0.469059       0.457270E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.46        2500.00                 NaN   99.4889       0.466746       0.443451E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.96        2500.00                 NaN   99.4907       0.466205       0.430542E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.47        2500.00                 NaN   99.4946       0.462978       0.423856E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.97        2500.00                 NaN   99.4975       0.461334       0.411254E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.48        2500.00                 NaN   99.5004       0.459389       0.401986E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.99        2500.00                 NaN   99.5126       0.447585       0.398034E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.49        2500.00                 NaN   99.4971       0.463448       0.394117E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.00        2500.00                 NaN   99.5094       0.452837       0.377933E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.50        2500.00                 NaN   99.5118       0.451313       0.368626E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.01        2500.00                 NaN   99.5146       0.449205       0.361669E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.52        2500.00                 NaN   99.5190       0.444199       0.367927E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.02        2500.00                 NaN   99.5197       0.446137       0.341630E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.53        2500.00                 NaN   99.5235       0.442883       0.335975E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.03        2500.00                 NaN   99.5256       0.440836       0.335752E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.54        2500.00                 NaN   99.5279       0.440092       0.319781E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.04        2500.00                 NaN   99.0444       0.905017       0.505613E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.55        2500.00                 NaN   99.9972                 NaN  0.277280E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.06        2500.00                 NaN   99.5535       0.417091       0.294416E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.56        2500.00                 NaN   99.9088       0.911924E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.07        2500.00                 NaN   99.1704       0.772991       0.566384E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1488.57        2500.00                 NaN   99.4432       0.705180E-001  0.841829E-003            NaN  0.485402                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.08        2500.00                 NaN   99.4100       0.491847E-002  0.758545E-002            NaN  0.577477                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.59        2500.00                 NaN   99.4104       0.798872E-001            NaN            NaN  0.509684                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.09        2500.00                 NaN   99.4062                 NaN            NaN            NaN  0.593751                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.60        2500.00                 NaN   99.1881                 NaN  0.148421E-005            NaN  0.811928                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1481.10        2500.00                 NaN   99.6185                 NaN            NaN            NaN  0.381508                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1479.61        2500.00                 NaN   99.3999                 NaN            NaN            NaN  0.600057                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1478.12        2500.00                 NaN   99.3990                 NaN  0.212811E-005            NaN  0.600984                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1476.62        2500.00                 NaN   99.3938                 NaN            NaN            NaN  0.606248                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1475.13        2500.00                 NaN   99.3906                 NaN            NaN            NaN  0.609424                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1473.63        2500.00                 NaN   99.3841                 NaN            NaN            NaN  0.615868                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1472.14        2500.00                 NaN   99.3847                 NaN            NaN            NaN  0.615251                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1470.64        2500.00                 NaN   99.2389                 NaN            NaN            NaN  0.472392       0.288739                 NaN            NaN            NaN            NaN            NaN            NaN
  1469.15        2500.00                 NaN   99.1030                 NaN            NaN            NaN  0.312705       0.584306                 NaN            NaN            NaN            NaN            NaN            NaN
  1467.66        2500.00                 NaN   99.1081                 NaN            NaN            NaN  0.311000       0.580855                 NaN            NaN            NaN            NaN            NaN            NaN
  1466.16        2500.00                 NaN   99.1197                 NaN            NaN            NaN  0.307721       0.572541                 NaN            NaN            NaN            NaN            NaN            NaN
  1464.67        2500.00                 NaN   99.1244                 NaN            NaN            NaN  0.305667       0.569951                 NaN            NaN            NaN            NaN            NaN            NaN
  1463.17        2500.00                 NaN   99.1314                 NaN            NaN            NaN  0.565400       0.303167                 NaN            NaN            NaN            NaN            NaN            NaN
  1461.68        2500.00                 NaN   99.1349                 NaN            NaN            NaN  0.301513       0.563591                 NaN            NaN            NaN            NaN            NaN            NaN
  1460.19        2500.00                 NaN   99.1412                 NaN            NaN            NaN  0.299283       0.559481                 NaN            NaN            NaN            NaN            NaN            NaN
  1458.69        2500.00                 NaN   99.1504                 NaN            NaN            NaN  0.297507       0.552051                 NaN            NaN            NaN            NaN            NaN            NaN
  1457.20        2500.00                 NaN   99.1590                 NaN            NaN            NaN  0.293812       0.547205                 NaN            NaN            NaN            NaN            NaN            NaN
  1455.70        2500.00                 NaN   99.1616                 NaN            NaN            NaN  0.292566       0.545861                 NaN            NaN            NaN            NaN            NaN            NaN
  1454.21        2500.00                 NaN   99.1679                 NaN            NaN            NaN  0.290638       0.541476                 NaN            NaN            NaN            NaN            NaN            NaN
  1452.72        2500.00                 NaN   99.1730                 NaN            NaN            NaN  0.538639       0.288360                 NaN            NaN            NaN            NaN            NaN            NaN
  1451.22        2500.00                 NaN   99.1783                 NaN            NaN            NaN  0.286708       0.535010                 NaN            NaN            NaN            NaN            NaN            NaN
  1449.73        2500.00                 NaN   99.1834                 NaN            NaN            NaN  0.531793       0.284810                 NaN            NaN            NaN            NaN            NaN            NaN
  1448.23        2500.00                 NaN   99.1891                 NaN  0.102433E-005            NaN  0.529128       0.281727                 NaN            NaN            NaN            NaN            NaN            NaN
  1446.74        2500.00                 NaN   99.1955                 NaN            NaN            NaN  0.280172       0.524299                 NaN            NaN            NaN            NaN            NaN            NaN
  1445.24        2500.00                 NaN   99.3435                 NaN            NaN            NaN  0.227601       0.428910                 NaN            NaN            NaN            NaN            NaN            NaN
  1443.75        2500.00                 NaN   99.0607                 NaN            NaN            NaN  0.611932       0.327372                 NaN            NaN            NaN            NaN            NaN            NaN
  1442.26        2500.00                 NaN   99.2142                 NaN  0.270662E-001            NaN  0.525962       0.232730                 NaN            NaN            NaN            NaN            NaN            NaN
  1440.76        2500.00                 NaN   99.2190                 NaN  0.116567E-001            NaN  0.253839       0.515546                 NaN            NaN            NaN            NaN            NaN            NaN
  1439.27        2500.00                 NaN   99.2200                 NaN  0.382131E-005            NaN  0.271109       0.508890                 NaN            NaN            NaN            NaN            NaN            NaN
  1437.77        2500.00                 NaN   99.2248                 NaN  0.397475E-002            NaN  0.507665       0.263569                 NaN            NaN            NaN            NaN            NaN            NaN
  1436.28        2500.00                 NaN   99.2319                 NaN  0.247760E-001            NaN  0.229800       0.513518                 NaN            NaN            NaN            NaN            NaN            NaN
  1434.79        2500.00                 NaN   99.2414                 NaN  0.236062E-001            NaN  0.228485       0.506475                 NaN            NaN            NaN            NaN            NaN            NaN
  1433.29        2500.00                 NaN   99.2428                 NaN  0.232717E-001            NaN  0.227971       0.505939                 NaN            NaN            NaN            NaN            NaN            NaN
  1431.80        2500.00                 NaN   99.2463                 NaN  0.222722E-001            NaN  0.227499       0.503879                 NaN            NaN            NaN            NaN            NaN            NaN
  1430.30        2500.00                 NaN   99.2513                 NaN  0.212960E-001            NaN  0.499900       0.227548                 NaN            NaN            NaN            NaN            NaN            NaN
  1428.81        2500.00                 NaN   99.2551                 NaN  0.204059E-001            NaN  0.227051       0.497470                 NaN            NaN            NaN            NaN            NaN            NaN
  1427.32        2500.00                 NaN   99.2588                 NaN  0.194910E-001            NaN  0.494625       0.227131                 NaN            NaN            NaN            NaN            NaN            NaN
  1425.82        2500.00                 NaN   98.3731                 NaN  0.193714                 NaN  0.423335       0.557199                 NaN  0.452632                 NaN            NaN            NaN            NaN
  1424.33        2500.00                 NaN   98.1850                 NaN  0.235492                 NaN  0.460043       0.565242                 NaN  0.554214                 NaN            NaN            NaN            NaN
  1422.83        2500.00                 NaN   98.2150                 NaN  0.234501                 NaN  0.447994       0.557153                 NaN  0.545303                 NaN            NaN            NaN            NaN
  1421.34        2500.00                 NaN   98.2773                 NaN  0.229214                 NaN  0.427706       0.539347                 NaN  0.526440                 NaN            NaN            NaN            NaN
  1419.84        2500.00                 NaN   98.2381                 NaN  0.238493                 NaN  0.548159       0.435426                 NaN  0.539809                 NaN            NaN            NaN            NaN
  1418.35        2500.00                 NaN   98.3146                 NaN  0.229323                 NaN  0.409039       0.532774                 NaN  0.514227                 NaN            NaN            NaN            NaN
  1416.86        2500.00                 NaN   98.3294                 NaN  0.230553                 NaN  0.526968       0.402404                 NaN  0.510683                 NaN            NaN            NaN            NaN
  1415.36        2500.00                 NaN   98.3550                 NaN  0.230112                 NaN  0.520448       0.391102                 NaN  0.503340                 NaN            NaN            NaN            NaN
  1413.87        2500.00                 NaN   98.3811                 NaN  0.228596                 NaN  0.382081       0.513064                 NaN  0.495137                 NaN            NaN            NaN            NaN
  1412.37        2500.00                 NaN   95.5454                 NaN  0.736125                 NaN  0.853198        1.48943                 NaN   1.37589                 NaN            NaN            NaN            NaN
  1410.88        2500.00                 NaN  100.0000                 NaN  0.267403E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1409.39        2500.00                 NaN   99.7122                 NaN  0.173949E-001            NaN  0.122855       0.723694E-001            NaN  0.752122E-001            NaN            NaN            NaN            NaN
  1407.89        2500.00                 NaN   98.4833                 NaN  0.154797                 NaN  0.443183       0.464609                 NaN  0.454067                 NaN            NaN            NaN            NaN
  1406.40        2500.00                 NaN   98.5076                 NaN  0.222693                 NaN  0.334909       0.478628                 NaN  0.456173                 NaN            NaN            NaN            NaN
  1404.90        2500.00                 NaN   98.5246                 NaN  0.223127                 NaN  0.326469       0.474407                 NaN  0.451409                 NaN            NaN            NaN            NaN
  1403.41        2500.00                 NaN   98.5598                 NaN  0.221164                 NaN  0.314080       0.464164                 NaN  0.440840                 NaN            NaN            NaN            NaN
  1401.92        2500.00                 NaN   98.5515                 NaN  0.224405                 NaN  0.312594       0.468419                 NaN  0.443036                 NaN            NaN            NaN            NaN
  1400.42        2500.00                 NaN   98.5878                 NaN  0.221316                 NaN  0.301105       0.457577                 NaN  0.432187                 NaN            NaN            NaN            NaN
  1398.93        2500.00                 NaN   98.6080                 NaN  0.220491                 NaN  0.452498       0.292947                 NaN  0.426038                 NaN            NaN            NaN            NaN
  1397.43        2500.00                 NaN   98.6244                 NaN  0.220387                 NaN  0.448826       0.285589                 NaN  0.420752                 NaN            NaN            NaN            NaN
  1395.94        2500.00                 NaN   98.6461                 NaN  0.219199                 NaN  0.442161       0.278296                 NaN  0.414231                 NaN            NaN            NaN            NaN
  1394.45        2500.00                 NaN   98.6646                 NaN  0.218483                 NaN  0.437514       0.270794                 NaN  0.408570                 NaN            NaN            NaN            NaN
  1392.95        2500.00                 NaN   98.6811                 NaN  0.217927                 NaN  0.433502       0.264090                 NaN  0.403376                 NaN            NaN            NaN            NaN
  1391.46        2500.00                 NaN   98.6998                 NaN  0.217634                 NaN  0.256237       0.428559                 NaN  0.397780                 NaN            NaN            NaN            NaN
  1389.96        2500.00                 NaN   98.7156                 NaN  0.217263                 NaN  0.249928       0.424190                 NaN  0.393042                 NaN            NaN            NaN            NaN
  1388.47        2500.00                 NaN   98.7356                 NaN  0.216380                 NaN  0.242548       0.418767                 NaN  0.386709                 NaN            NaN            NaN            NaN
  1386.97        2500.00                 NaN   98.7540                 NaN  0.213344                 NaN  0.238159       0.413852                 NaN  0.380658                 NaN            NaN            NaN            NaN
  1385.48        2500.00                 NaN   98.7657                 NaN  0.214477                 NaN  0.410780       0.231633                 NaN  0.377453                 NaN            NaN            NaN            NaN
  1383.99        2500.00                 NaN   98.7690                 NaN  0.212263                 NaN  0.414059       0.227063                 NaN  0.377658                 NaN            NaN            NaN            NaN
  1382.49        2500.00                 NaN   98.8173                 NaN  0.213364                 NaN  0.213074       0.395640                 NaN  0.360653                 NaN            NaN            NaN            NaN
  1381.00        2500.00                 NaN   98.8140                 NaN  0.230375                 NaN  0.406088       0.184920                 NaN  0.364634                 NaN            NaN            NaN            NaN
  1379.50        2500.00                 NaN   98.8299                 NaN  0.191152                 NaN  0.386008       0.238403                 NaN  0.354583                 NaN            NaN            NaN            NaN
  1378.01        2500.00                 NaN   98.8415                 NaN  0.210742                 NaN  0.391273       0.202884                 NaN  0.353566                 NaN            NaN            NaN            NaN
  1376.52        2500.00                 NaN   98.8580                 NaN  0.208798                 NaN  0.386119       0.198868                 NaN  0.348265                 NaN            NaN            NaN            NaN
  1375.02        2500.00                 NaN   98.8717                 NaN  0.208869                 NaN  0.191670       0.383414                 NaN  0.344303                 NaN            NaN            NaN            NaN
  1373.53        2500.00                 NaN   98.8857                 NaN  0.206855                 NaN  0.379056       0.188798                 NaN  0.339606                 NaN            NaN            NaN            NaN
  1372.03        2500.00                 NaN   98.8993                 NaN  0.206281                 NaN  0.375198       0.183790                 NaN  0.335473                 NaN            NaN            NaN            NaN
  1370.54        2500.00                 NaN   98.9108                 NaN  0.205363                 NaN  0.372581       0.179606                 NaN  0.331644                 NaN            NaN            NaN            NaN
  1369.05        2500.00                 NaN   98.9241                 NaN  0.205312                 NaN  0.368738       0.173811                 NaN  0.328065                 NaN            NaN            NaN            NaN
  1367.55        2500.00                 NaN   98.9399                 NaN  0.204704                 NaN  0.364882       0.167360                 NaN  0.323140                 NaN            NaN            NaN            NaN
  1366.06        2500.00                 NaN   98.9501                 NaN  0.200404                 NaN  0.361659       0.169246                 NaN  0.318555                 NaN            NaN            NaN            NaN
  1364.56        2500.00                 NaN   98.9614                 NaN  0.200941                 NaN  0.163240       0.359077                 NaN  0.315357                 NaN            NaN            NaN            NaN
  1363.07        2500.00                 NaN   98.9707                 NaN  0.201077                 NaN  0.357483       0.157860                 NaN  0.312903                 NaN            NaN            NaN            NaN
  1361.57        2500.00                 NaN   98.9442                 NaN  0.209520                 NaN  0.365840       0.159287                 NaN  0.321133                 NaN            NaN            NaN            NaN
  1360.08        2500.00                 NaN   99.0435                 NaN  0.186805                 NaN  0.333677       0.146956                 NaN  0.289064                 NaN            NaN            NaN            NaN
  1358.59        2500.00                 NaN   99.0057                 NaN  0.197563                 NaN  0.147608       0.347478                 NaN  0.301664                 NaN            NaN            NaN            NaN
  1357.09        2500.00                 NaN   99.0218                 NaN  0.193616                 NaN  0.146683       0.342303                 NaN  0.295608                 NaN            NaN            NaN            NaN
  1355.60        2500.00                 NaN   99.0299                 NaN  0.194219                 NaN  0.142380       0.340141                 NaN  0.293403                 NaN            NaN            NaN            NaN
  1354.10        2500.00                 NaN   99.0404                 NaN  0.192785                 NaN  0.139971       0.336880                 NaN  0.289976                 NaN            NaN            NaN            NaN
  1352.61        2500.00                 NaN   99.0505                 NaN  0.191297                 NaN  0.334681       0.136938                 NaN  0.286583                 NaN            NaN            NaN            NaN
  1351.12        2500.00                 NaN   99.0601                 NaN  0.190228                 NaN  0.332128       0.134068                 NaN  0.283486                 NaN            NaN            NaN            NaN
  1349.62        2500.00                 NaN   99.0722                 NaN  0.188128                 NaN  0.132657       0.327503                 NaN  0.279520                 NaN            NaN            NaN            NaN
  1348.13        2500.00                 NaN   99.0813                 NaN  0.186984                 NaN  0.324810       0.130397                 NaN  0.276547                 NaN            NaN            NaN            NaN
  1346.63        2500.00                 NaN   99.0911                 NaN  0.185255                 NaN  0.322230       0.128130                 NaN  0.273329                 NaN            NaN            NaN            NaN
  1345.14        2500.00                 NaN   99.1009                 NaN  0.183693                 NaN  0.126278       0.319051                 NaN  0.270040                 NaN            NaN            NaN            NaN
  1343.65        2500.00                 NaN   99.1092                 NaN  0.182161                 NaN  0.124837       0.316572                 NaN  0.267183                 NaN            NaN            NaN            NaN
  1342.15        2500.00                 NaN   99.1183                 NaN  0.180369                 NaN  0.122671       0.314532                 NaN  0.264139                 NaN            NaN            NaN            NaN
  1340.66        2500.00                 NaN   99.1281                 NaN  0.178729                 NaN  0.122066       0.310025                 NaN  0.261089                 NaN            NaN            NaN            NaN
  1339.16        2500.00                 NaN   99.1361                 NaN  0.178390                 NaN  0.309558       0.117610                 NaN  0.258353                 NaN            NaN            NaN            NaN
  1337.67        2500.00                 NaN   99.1460                 NaN  0.173606                 NaN  0.304294       0.121494                 NaN  0.254647                 NaN            NaN            NaN            NaN
  1336.17        2500.00                 NaN   99.1550                 NaN  0.173272                 NaN  0.117523       0.302290                 NaN  0.251907                 NaN            NaN            NaN            NaN
  1334.68        2500.00                 NaN   99.1630                 NaN  0.171291                 NaN  0.299533       0.117045                 NaN  0.249170                 NaN            NaN            NaN            NaN
  1333.19        2500.00                 NaN   99.1710                 NaN  0.169359                 NaN  0.116377       0.296890                 NaN  0.246365                 NaN            NaN            NaN            NaN
  1331.69        2500.00                 NaN   99.1792                 NaN  0.167828                 NaN  0.115051       0.294265                 NaN  0.243649                 NaN            NaN            NaN            NaN
  1330.20        2500.00                 NaN   99.1868                 NaN  0.165541                 NaN  0.115043       0.291621                 NaN  0.241007                 NaN            NaN            NaN            NaN
  1328.70        2500.00                 NaN   99.1950                 NaN  0.163351                 NaN  0.288543       0.114938                 NaN  0.238177                 NaN            NaN            NaN            NaN
  1327.21        2500.00                 NaN   99.2028                 NaN  0.161438                 NaN  0.285724       0.114455                 NaN  0.235564                 NaN            NaN            NaN            NaN
  1325.72        2500.00                 NaN   99.2102                 NaN  0.159180                 NaN  0.283017       0.114643                 NaN  0.232995                 NaN            NaN            NaN            NaN
  1324.22        2500.00                 NaN   99.2172                 NaN  0.156771                 NaN  0.280408       0.115153                 NaN  0.230496                 NaN            NaN            NaN            NaN
  1322.73        2500.00                 NaN   99.2247                 NaN  0.154800                 NaN  0.277740       0.114819                 NaN  0.227909                 NaN            NaN            NaN            NaN
  1321.23        2500.00                 NaN   99.1757                 NaN  0.918479E-001            NaN  0.241630       0.249477                 NaN  0.241337                 NaN            NaN            NaN            NaN
  1319.74        2500.00                 NaN   99.2895                 NaN  0.201012                 NaN  0.291520       0.104641E-001            NaN  0.207480                 NaN            NaN            NaN            NaN
  1318.25        2500.00                 NaN   99.2508                 NaN  0.157537                 NaN  0.279615       0.917935E-001            NaN  0.220207                 NaN            NaN            NaN            NaN
  1316.75        2500.00                 NaN   99.2528                 NaN  0.145591                 NaN  0.265814       0.117581                 NaN  0.218164                 NaN            NaN            NaN            NaN
  1315.26        2500.00                 NaN   99.2594                 NaN  0.143129                 NaN  0.263520       0.118085                 NaN  0.215887                 NaN            NaN            NaN            NaN
  1313.76        2500.00                 NaN   99.2663                 NaN  0.140737                 NaN  0.119351       0.260118                 NaN  0.213450                 NaN            NaN            NaN            NaN
  1312.27        2500.00                 NaN   99.2726                 NaN  0.137637                 NaN  0.257659       0.121037                 NaN  0.211094                 NaN            NaN            NaN            NaN
