|6.6.6
Archiving\03_Data\frac/QFM_m5/EETA/EETA_3.tab                             
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          16
T(K)           P(bar)         melt(TH)       melt(TH)       pxmn           iron           Ni             Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1957.39        2500.00        97.7146                 NaN  0.790603        1.48345       0.113497E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1954.89        2500.00        97.7069                 NaN  0.790705        1.49105       0.113504E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1952.38        2500.00        97.6993                 NaN  0.790807        1.49859       0.113511E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1949.87        2500.00        97.6916                 NaN  0.790909        1.50612       0.113517E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1947.37        2500.00        97.6841                 NaN  0.791010        1.51357       0.113524E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1944.86        2500.00        97.6765                 NaN  0.791110        1.52101       0.113530E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.36        2500.00        97.6690                 NaN  0.791211        1.52844       0.113536E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.85        2500.00        97.6615                 NaN  0.791312        1.53582       0.113543E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1937.34        2500.00        97.6541                 NaN  0.791412        1.54318       0.113549E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1934.84        2500.00        97.6466                 NaN  0.791512        1.55053       0.113556E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.33        2500.00        97.6392                 NaN  0.791612        1.55781       0.113562E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.82        2500.00        97.6318                 NaN  0.791711        1.56509       0.113568E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1927.32        2500.00        97.6245                 NaN  0.791810        1.57231       0.113575E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1924.81        2500.00        97.6172                 NaN  0.791909        1.57952       0.113581E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1922.31        2500.00        97.6099                 NaN  0.792008        1.58671       0.113587E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.80        2500.00        97.6027                 NaN  0.792107        1.59388       0.113593E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1917.29        2500.00        97.5895                 NaN  0.792250        1.60694       0.113606E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1914.79        2500.00        97.5883                 NaN  0.792303        1.60806       0.113606E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1912.28        2500.00        97.5811                 NaN  0.792401        1.61514       0.113612E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1909.77        2500.00        97.5740                 NaN  0.792499        1.62214       0.113618E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.27        2500.00        97.5669                 NaN  0.792596        1.62914       0.113624E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1904.76        2500.00        97.5598                 NaN  0.792693        1.63611       0.113630E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1902.26        2500.00        97.5528                 NaN  0.792790        1.64305       0.113636E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1899.75        2500.00        97.5458                 NaN  0.792887        1.64996       0.113642E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        2500.00        97.5388                 NaN  0.792984        1.65684       0.113648E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        2500.00        97.5318                 NaN  0.793080        1.66372       0.113654E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        2500.00        97.5249                 NaN  0.793176        1.67052       0.113660E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        2500.00        97.5180                 NaN  0.793272        1.67731       0.113666E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        2500.00        97.5112                 NaN  0.793367        1.68407       0.113672E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        2500.00        97.5043                 NaN  0.793463        1.69082       0.113678E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        2500.00        97.4976                 NaN  0.793558        1.69752       0.113684E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        2500.00        97.4908                 NaN  0.793653        1.70419       0.113690E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        2500.00        97.4841                 NaN  0.793747        1.71083       0.113696E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        2500.00        97.4773                 NaN  0.793842        1.71745       0.113701E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        2500.00        97.4707                 NaN  0.793936        1.72402       0.113707E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        2500.00        97.4631                 NaN  0.794037        1.73148       0.113714E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        2500.00        97.4574                 NaN  0.794124        1.73712       0.113719E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        2500.00        97.4508                 NaN  0.794218        1.74362       0.113724E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        2500.00        97.4490                 NaN  0.794275        1.74531       0.113725E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        2500.00        97.4377                 NaN  0.794404        1.75653       0.113736E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        2500.00        97.4312                 NaN  0.794497        1.76292       0.113741E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        2500.00        97.4247                 NaN  0.794590        1.76930       0.113747E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        2500.00        97.4183                 NaN  0.794682        1.77565       0.113752E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        2500.00        97.4119                 NaN  0.794774        1.78197       0.113758E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        2500.00        97.4055                 NaN  0.794866        1.78826       0.113764E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        2500.00        97.3991                 NaN  0.794958        1.79453       0.113769E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        2500.00        97.3928                 NaN  0.795050        1.80076       0.113775E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        2500.00        97.3737                 NaN  0.795237        1.81967       0.113794E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        2500.00        97.3802                 NaN  0.795232        1.81315       0.113785E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        2500.00        97.3740                 NaN  0.795323        1.81931       0.113791E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        2500.00        97.3654                 NaN  0.795432        1.82781       0.113799E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        2500.00        97.3616                 NaN  0.795505        1.83156       0.113802E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        2500.00        97.3555                 NaN  0.795595        1.83757       0.113807E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        2500.00        97.3529                 NaN  0.795658        1.84002       0.113809E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        2500.00        97.3438                 NaN  0.795770        1.84904       0.113817E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        2500.00        97.3372                 NaN  0.795864        1.85557       0.113823E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        2500.00        97.3311                 NaN  0.795954        1.86152       0.113828E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        2500.00        97.3384                 NaN  0.795944        1.85432       0.113819E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        2500.00        97.3191                 NaN  0.796132        1.87335       0.113839E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        2500.00        97.3132                 NaN  0.796221        1.87918       0.113844E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        2500.00        97.3073                 NaN  0.796309        1.88501       0.113849E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        2500.00        97.3014                 NaN  0.796398        1.89082       0.113854E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        2500.00        97.2955                 NaN  0.796486        1.89659       0.113859E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        2500.00        97.2897                 NaN  0.796574        1.90234       0.113865E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        2500.00        97.2839                 NaN  0.796662        1.90806       0.113870E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        2500.00        97.2781                 NaN  0.796749        1.91374       0.113875E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        2500.00        97.2724                 NaN  0.796837        1.91939       0.113880E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        2500.00        97.3120                 NaN  0.796581        1.88005       0.113836E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        2500.00        97.2610                 NaN  0.797011        1.93062       0.113890E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        2500.00        97.2553                 NaN  0.797097        1.93619       0.113895E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        2500.00        97.2497                 NaN  0.797184        1.94173       0.113900E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        2500.00        97.2441                 NaN  0.797270        1.94725       0.113905E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        2500.00        97.2385                 NaN  0.797356        1.95273       0.113910E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        2500.00        97.2330                 NaN  0.797442        1.95819       0.113915E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        2500.00        97.2275                 NaN  0.797528        1.96362       0.113920E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        2500.00        97.2220                 NaN  0.797613        1.96902       0.113924E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        2500.00        97.2165                 NaN  0.797699        1.97439       0.113929E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        2500.00        97.2111                 NaN  0.797784        1.97973       0.113934E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        2500.00        97.2057                 NaN  0.797869        1.98505       0.113939E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        2500.00        97.2003                 NaN  0.797953        1.99034       0.113944E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        2500.00        97.1949                 NaN  0.798038        1.99562       0.113948E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        2500.00        97.1897                 NaN  0.798122        2.00082       0.113953E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        2500.00        97.1844                 NaN  0.798206        2.00602       0.113958E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        2500.00        97.1791                 NaN  0.798290        2.01119       0.113963E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        2500.00        97.1739                 NaN  0.798374        2.01635       0.113967E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        2500.00        97.1687                 NaN  0.798457        2.02145       0.113972E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        2500.00        97.1635                 NaN  0.798541        2.02656       0.113977E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        2500.00        97.1584                 NaN  0.798624        2.03159       0.113981E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        2500.00        97.1533                 NaN  0.798707        2.03662       0.113986E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        2500.00        97.1482                 NaN  0.798789        2.04162       0.113990E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        2500.00        97.1431                 NaN  0.798872        2.04659       0.113995E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        2500.00        97.1381                 NaN  0.798954        2.05155       0.113999E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        2500.00        97.1331                 NaN  0.799036        2.05645       0.114004E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        2500.00        97.1281                 NaN  0.799118        2.06134       0.114008E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        2500.00        97.1232                 NaN  0.799200        2.06621       0.114013E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        2500.00        97.1183                 NaN  0.799281        2.07102       0.114017E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        2500.00        97.1134                 NaN  0.799363        2.07582       0.114022E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        2500.00        97.1086                 NaN  0.799444        2.08059       0.114026E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        2500.00        97.1037                 NaN  0.799525        2.08533       0.114031E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        2500.00        97.0989                 NaN  0.799605        2.09006       0.114035E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        2500.00        97.0942                 NaN  0.799686        2.09474       0.114039E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        2500.00        97.0894                 NaN  0.799766        2.09941       0.114044E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        2500.00        97.0846                 NaN  0.799847        2.10411       0.114048E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        2500.00        97.0800                 NaN  0.799926        2.10862       0.114052E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        2500.00        97.0754                 NaN  0.800006        2.11320       0.114057E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        2500.00        97.0708                 NaN  0.800086        2.11774       0.114061E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        2500.00        97.0662                 NaN  0.800165        2.12226       0.114065E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        2500.00        97.0616                 NaN  0.800244        2.12674       0.114069E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        2500.00        97.0571                 NaN  0.800323        2.13120       0.114074E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        2500.00        97.0526                 NaN  0.800402        2.13563       0.114078E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        2500.00        97.0476                 NaN  0.800484        2.14052       0.114082E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        2500.00        97.0436                 NaN  0.800559        2.14441       0.114086E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        2500.00        97.0392                 NaN  0.800637        2.14875       0.114090E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        2500.00        97.0348                 NaN  0.800715        2.15306       0.114094E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        2500.00        97.0305                 NaN  0.800793        2.15735       0.114098E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        2500.00        97.0261                 NaN  0.800871        2.16161       0.114102E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        2500.00        97.0218                 NaN  0.800948        2.16585       0.114106E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        2500.00        97.0300                 NaN  0.800929        2.15762       0.114097E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        2500.00        97.0090                 NaN  0.801131        2.17842       0.114119E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        2500.00        97.0091                 NaN  0.801179        2.17835       0.114118E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        2500.00        97.0048                 NaN  0.801256        2.18250       0.114122E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        2500.00        97.0006                 NaN  0.801333        2.18663       0.114126E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        2500.00        96.9966                 NaN  0.801409        2.19062       0.114130E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        2500.00        96.9925                 NaN  0.801485        2.19463       0.114134E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        2500.00        96.9884                 NaN  0.801561        2.19864       0.114138E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        2500.00        96.9843                 NaN  0.801637        2.20261       0.114142E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        2500.00        96.9803                 NaN  0.801712        2.20654       0.114146E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        2500.00        96.9763                 NaN  0.801788        2.21046       0.114150E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        2500.00        96.9724                 NaN  0.801863        2.21433       0.114153E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        2500.00        96.9684                 NaN  0.801938        2.21820       0.114157E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        2500.00        96.9645                 NaN  0.802013        2.22202       0.114161E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        2500.00        96.9606                 NaN  0.802087        2.22581       0.114165E-001  0.992933E-004            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        2500.00        96.9533                 NaN  0.802166        2.22921       0.114169E-001  0.392445E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        2500.00        96.9458                 NaN  0.802279        2.23227       0.114178E-001  0.823250E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        2500.00        96.9328                 NaN  0.802458        2.23798       0.114197E-001  0.153304E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        2500.00        96.9463                 NaN  0.802630        2.23869       0.114215E-001  0.945721E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        2500.00        96.9362                 NaN  0.802718        2.24163       0.114220E-001  0.807101E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        2500.00        96.9331                 NaN  0.802863        2.24468       0.114234E-001  0.795849E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        2500.00        96.9299                 NaN  0.803008        2.24772       0.114248E-001  0.791110E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        2500.00        95.9379                 NaN  0.804036        2.25114       0.114387E-001            NaN  0.995481                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        2500.00        98.7114                 NaN            NaN  0.101124E-002            NaN            NaN   1.28759                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        2500.00        98.7284                 NaN            NaN            NaN            NaN            NaN   1.27165                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        2500.00        98.7559                 NaN            NaN            NaN            NaN            NaN   1.24415                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        2500.00        98.7703                 NaN            NaN  0.152773E-002            NaN            NaN   1.22822                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        2500.00        98.7933                 NaN            NaN  0.975147E-004            NaN            NaN   1.20659                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        2500.00        98.8034                 NaN            NaN  0.881784E-003            NaN            NaN   1.19568                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        2500.00        98.8290                 NaN            NaN  0.329897E-003            NaN            NaN   1.17069                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        2500.00        98.8448                 NaN            NaN            NaN            NaN            NaN   1.15524                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        2500.00        98.8599                 NaN            NaN            NaN            NaN            NaN   1.14014                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        2500.00        98.8778                 NaN            NaN            NaN            NaN            NaN   1.12220                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        2500.00        98.8924                 NaN            NaN            NaN            NaN            NaN   1.10758                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        2500.00        98.9114                 NaN            NaN            NaN            NaN            NaN   1.08863                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        2500.00        98.9241                 NaN            NaN            NaN            NaN            NaN   1.07590                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        2500.00        98.9378                 NaN            NaN            NaN            NaN            NaN   1.06218                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        2500.00        98.9488                 NaN            NaN            NaN            NaN            NaN   1.05124                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        2500.00        98.9718                 NaN            NaN            NaN            NaN            NaN   1.02821                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        2500.00        98.9806                 NaN            NaN            NaN            NaN            NaN   1.01941                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        2500.00        98.9952                 NaN            NaN  0.631637E-003            NaN            NaN   1.00416                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        2500.00        99.0085                 NaN            NaN            NaN            NaN            NaN  0.991490                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        2500.00        99.0202                 NaN            NaN            NaN            NaN            NaN  0.979762                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        2500.00        99.0348                 NaN            NaN            NaN            NaN            NaN  0.965150                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        2500.00        99.0458                 NaN            NaN            NaN            NaN            NaN  0.954218                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        2500.00        99.0572                 NaN            NaN            NaN            NaN            NaN  0.942828                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.87        2500.00        99.0662                 NaN            NaN            NaN            NaN            NaN  0.933756                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.37        2500.00        99.0783                 NaN            NaN            NaN            NaN            NaN  0.921680                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
