|6.6.6
Archiving\03_Data\frac/QFM_m5/EETA/EETA_1.tab                             
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          16
T(K)           P(bar)         melt(TH)       melt(TH)       pxmn           iron           Ni             Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1776.94        2500.00        94.0483                 NaN  0.982443        4.93714       0.321518E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        2500.00        94.0346                 NaN  0.982480        4.95079       0.321531E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        2500.00        94.0209                 NaN  0.982518        4.96438       0.321543E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        2500.00        94.0074                 NaN  0.982556        4.97789       0.321555E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        2500.00        93.9939                 NaN  0.982593        4.99131       0.321568E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        2500.00        93.9805                 NaN  0.982630        5.00467       0.321580E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        2500.00        93.9672                 NaN  0.982667        5.01796       0.321592E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        2500.00        93.9540                 NaN  0.982703        5.03117       0.321604E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        2500.00        93.9407                 NaN  0.982740        5.04437       0.321616E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        2500.00        93.9277                 NaN  0.982776        5.05736       0.321627E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        2500.00        93.9147                 NaN  0.982812        5.07037       0.321639E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        2500.00        93.9017                 NaN  0.982848        5.08328       0.321651E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        2500.00        93.8888                 NaN  0.982883        5.09616       0.321663E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        2500.00        93.8760                 NaN  0.982919        5.10889       0.321674E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        2500.00        93.8632                 NaN  0.982954        5.12166       0.321686E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        2500.00        93.8506                 NaN  0.982989        5.13421       0.321697E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        2500.00        93.8380                 NaN  0.983023        5.14677       0.321709E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        2500.00        93.8255                 NaN  0.983058        5.15926       0.321720E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        2500.00        93.8131                 NaN  0.983092        5.17166       0.321731E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        2500.00        93.8007                 NaN  0.983127        5.18404       0.321742E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        2500.00        93.7884                 NaN  0.983161        5.19627       0.321753E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        2500.00        93.7762                 NaN  0.983194        5.20847       0.321764E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        2500.00        93.7640                 NaN  0.983228        5.22061       0.321775E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        2500.00        93.7520                 NaN  0.983261        5.23261       0.321786E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        2500.00        93.7399                 NaN  0.983294        5.24458       0.321797E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        2500.00        93.7280                 NaN  0.983327        5.25647       0.321808E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        2500.00        93.7162                 NaN  0.983360        5.26830       0.321819E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        2500.00        93.7043                 NaN  0.983393        5.28009       0.321829E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        2500.00        93.6927                 NaN  0.983425        5.29173       0.321840E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        2500.00        93.6810                 NaN  0.983457        5.30337       0.321850E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        2500.00        93.6692                 NaN  0.983489        5.31509       0.321861E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        2500.00        93.6580                 NaN  0.983521        5.32633       0.321871E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        2500.00        93.6465                 NaN  0.983552        5.33772       0.321881E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        2500.00        93.6352                 NaN  0.983583        5.34904       0.321892E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        2500.00        93.6239                 NaN  0.983614        5.36028       0.321902E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        2500.00        93.6127                 NaN  0.983645        5.37145       0.321912E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        2500.00        93.6016                 NaN  0.983676        5.38254       0.321922E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        2500.00        93.5905                 NaN  0.983706        5.39357       0.321932E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        2500.00        93.5783                 NaN  0.983740        5.40576       0.321943E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        2500.00        93.5686                 NaN  0.983767        5.41540       0.321952E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        2500.00        93.5578                 NaN  0.983797        5.42620       0.321962E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        2500.00        93.5471                 NaN  0.983826        5.43692       0.321971E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        2500.00        93.5364                 NaN  0.983856        5.44758       0.321981E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        2500.00        93.5257                 NaN  0.983885        5.45819       0.321990E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        2500.00        93.5152                 NaN  0.983914        5.46872       0.322000E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        2500.00        93.5360                 NaN  0.983857        5.44794       0.321981E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        2500.00        93.4837                 NaN  0.984001        5.50010       0.322028E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        2500.00        93.4840                 NaN  0.984000        5.49978       0.322028E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        2500.00        93.4737                 NaN  0.984028        5.51010       0.322037E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        2500.00        93.4634                 NaN  0.984057        5.52034       0.322047E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        2500.00        93.4535                 NaN  0.984084        5.53025       0.322056E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        2500.00        93.4435                 NaN  0.984111        5.54022       0.322065E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        2500.00        93.4335                 NaN  0.984139        5.55015       0.322074E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        2500.00        93.4236                 NaN  0.984166        5.56000       0.322082E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        2500.00        93.4138                 NaN  0.984193        5.56976       0.322091E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        2500.00        93.4041                 NaN  0.984220        5.57947       0.322100E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        2500.00        93.3945                 NaN  0.984246        5.58909       0.322109E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        2500.00        93.3848                 NaN  0.984273        5.59869       0.322117E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        2500.00        93.3753                 NaN  0.984299        5.60816       0.322126E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        2500.00        93.3658                 NaN  0.984325        5.61754       0.322134E-001  0.150153E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        2500.00        93.3516                 NaN  0.984349        5.62591       0.322142E-001  0.593342E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        2500.00        93.3374                 NaN  0.984427        5.63349       0.322168E-001  0.124449E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        2500.00        93.3123                 NaN  0.984587        5.64776       0.322220E-001  0.231635E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        2500.00        93.3317                 NaN  0.984817        5.64985       0.322296E-001  0.142914E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        2500.00        93.3137                 NaN  0.984851        5.65706       0.322307E-001  0.121935E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        2500.00        93.3060                 NaN  0.984990        5.66473       0.322352E-001  0.120232E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        2500.00        93.2983                 NaN  0.985128        5.67236       0.322397E-001  0.119506E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        2500.00        92.2195                 NaN  0.985251        5.67464       0.322437E-001            NaN   1.08834                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        2500.00        98.5348                 NaN            NaN  0.264794E-002            NaN            NaN   1.46252                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        2500.00        98.5552                 NaN            NaN            NaN            NaN            NaN   1.44478                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        2500.00        98.5858                 NaN            NaN            NaN            NaN            NaN   1.41422                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        2500.00        98.5990                 NaN            NaN  0.400411E-002            NaN            NaN   1.39699                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        2500.00        98.6268                 NaN            NaN  0.255667E-003            NaN            NaN   1.37294                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        2500.00        98.6364                 NaN            NaN  0.231258E-002            NaN            NaN   1.36132                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        2500.00        98.6661                 NaN            NaN  0.865484E-003            NaN            NaN   1.33307                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        2500.00        98.6840                 NaN            NaN            NaN            NaN            NaN   1.31603                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        2500.00        98.7006                 NaN            NaN            NaN            NaN            NaN   1.29937                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        2500.00        98.7205                 NaN            NaN            NaN            NaN            NaN   1.27946                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        2500.00        98.7366                 NaN            NaN            NaN            NaN            NaN   1.26335                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        2500.00        98.7577                 NaN            NaN            NaN            NaN            NaN   1.24230                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        2500.00        98.7717                 NaN            NaN            NaN            NaN            NaN   1.22827                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        2500.00        98.7871                 NaN            NaN            NaN            NaN            NaN   1.21286                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        2500.00        98.7989                 NaN            NaN            NaN            NaN            NaN   1.20110                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        2500.00        98.8247                 NaN            NaN            NaN            NaN            NaN   1.17534                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        2500.00        98.8343                 NaN            NaN            NaN            NaN            NaN   1.16567                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        2500.00        98.8493                 NaN            NaN  0.166272E-002            NaN            NaN   1.14908                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        2500.00        98.8652                 NaN            NaN            NaN            NaN            NaN   1.13482                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        2500.00        98.8781                 NaN            NaN            NaN            NaN            NaN   1.12185                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        2500.00        98.8944                 NaN            NaN            NaN            NaN            NaN   1.10555                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        2500.00        98.9061                 NaN            NaN            NaN            NaN            NaN   1.09392                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        2500.00        98.9192                 NaN            NaN            NaN            NaN            NaN   1.08078                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.87        2500.00        98.9292                 NaN            NaN            NaN            NaN            NaN   1.07080                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.37        2500.00        98.9424                 NaN            NaN            NaN            NaN            NaN   1.05765                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
