|6.6.6
Archiving\03_Data\eqfrac/QFM_m2.75/EETA/EETA_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Opx(TH)        Sp(TH)         O(HP)          an             San(TH)        ilm            q             
  1351.65        2500.00        99.2928       0.317383                 NaN            NaN            NaN            NaN  0.136844       0.252955                 NaN            NaN            NaN
  1350.49        2500.00        98.9781       0.426139                 NaN            NaN            NaN            NaN  0.220494       0.375248                 NaN            NaN            NaN
  1349.34        2500.00        99.6354       0.150542       0.280666E-001            NaN            NaN            NaN  0.624120E-001  0.123614                 NaN            NaN            NaN
  1348.18        2500.00        99.3136       0.316243                 NaN            NaN            NaN            NaN  0.126542       0.243610                 NaN            NaN            NaN
  1347.02        2500.00        99.3169       0.309667                 NaN            NaN            NaN            NaN  0.130379       0.243069                 NaN            NaN            NaN
  1345.87        2500.00        99.3215       0.310401                 NaN            NaN            NaN            NaN  0.127222       0.240885                 NaN            NaN            NaN
  1344.71        2500.00        99.3274       0.307910                 NaN            NaN            NaN            NaN  0.125978       0.238682                 NaN            NaN            NaN
  1343.55        2500.00        99.3330       0.303936                 NaN            NaN            NaN            NaN  0.126343       0.236730                 NaN            NaN            NaN
  1342.40        2500.00        99.3394       0.301089                 NaN            NaN            NaN            NaN  0.125312       0.234213                 NaN            NaN            NaN
  1341.24        2500.00        99.3445       0.303511                 NaN            NaN            NaN            NaN  0.120526       0.231506                 NaN            NaN            NaN
  1340.08        2500.00        99.3502       0.299269                 NaN            NaN            NaN            NaN  0.120834       0.229663                 NaN            NaN            NaN
  1338.93        2500.00        99.3540       0.302079                 NaN            NaN            NaN            NaN  0.116472       0.227433                 NaN            NaN            NaN
  1337.77        2500.00        99.3595       0.298879                 NaN            NaN            NaN            NaN  0.116221       0.225432                 NaN            NaN            NaN
  1336.61        2500.00        99.3661       0.294458                 NaN            NaN            NaN            NaN  0.116284       0.223186                 NaN            NaN            NaN
  1335.46        2500.00        99.3604       0.255906       0.677288E-001            NaN            NaN            NaN  0.948773E-001  0.221104                 NaN            NaN            NaN
  1334.30        2500.00        99.3754       0.294429                 NaN            NaN            NaN            NaN  0.111228       0.218926                 NaN            NaN            NaN
  1333.14        2500.00        99.3818       0.287509                 NaN            NaN            NaN            NaN  0.113579       0.217133                 NaN            NaN            NaN
  1331.98        2500.00        99.3852       0.291578                 NaN            NaN            NaN            NaN  0.108414       0.214807                 NaN            NaN            NaN
  1330.83        2500.00        99.3585       0.319015       0.823672E-001            NaN            NaN            NaN  0.291877E-001  0.210899                 NaN            NaN            NaN
  1329.67        2500.00        99.3833       0.293489                 NaN            NaN            NaN            NaN  0.109192       0.214054                 NaN            NaN            NaN
  1328.51        2500.00        99.3999       0.284403                 NaN            NaN            NaN            NaN  0.106395       0.209260                 NaN            NaN            NaN
  1327.36        2500.00        99.3835       0.235082       0.907809E-001            NaN            NaN            NaN  0.803232E-001  0.210314                 NaN            NaN            NaN
  1326.20        2500.00        99.4150       0.279441                 NaN            NaN            NaN            NaN  0.102558       0.203012                 NaN            NaN            NaN
  1325.04        2500.00        99.4134       0.279774                 NaN            NaN            NaN            NaN  0.103003       0.203860                 NaN            NaN            NaN
  1323.89        2500.00        99.4174       0.281233                 NaN            NaN            NaN            NaN  0.993240E-001  0.202024                 NaN            NaN            NaN
  1322.73        2500.00        99.4196       0.284672                 NaN            NaN            NaN            NaN  0.956225E-001  0.200106                 NaN            NaN            NaN
  1321.57        2500.00        99.4255       0.281439                 NaN            NaN            NaN            NaN  0.950087E-001  0.198047                 NaN            NaN            NaN
  1320.42        2500.00        99.4303       0.278451                 NaN            NaN            NaN            NaN  0.947683E-001  0.196466                 NaN            NaN            NaN
  1319.26        2500.00        99.4340       0.278734                 NaN            NaN            NaN            NaN  0.925568E-001  0.194729                 NaN            NaN            NaN
  1318.10        2500.00        99.4385       0.275484                 NaN            NaN            NaN            NaN  0.929379E-001  0.193057                 NaN            NaN            NaN
  1316.95        2500.00        99.4416       0.278189                 NaN            NaN            NaN            NaN  0.887778E-001  0.191472                 NaN            NaN            NaN
  1315.79        2500.00        99.4450       0.278063                 NaN            NaN            NaN            NaN  0.870331E-001  0.189882                 NaN            NaN            NaN
  1314.63        2500.00        99.4498       0.274684                 NaN            NaN            NaN            NaN  0.873986E-001  0.188071                 NaN            NaN            NaN
  1313.48        2500.00        99.4520       0.278967                 NaN            NaN            NaN            NaN  0.823193E-001  0.186696                 NaN            NaN            NaN
  1312.32        2500.00        99.4562       0.276476                 NaN            NaN            NaN            NaN  0.822917E-001  0.185063                 NaN            NaN            NaN
  1311.16        2500.00        99.4548       0.280857                 NaN            NaN            NaN            NaN  0.781836E-001  0.186127                 NaN            NaN            NaN
  1310.01        2500.00        99.4649       0.279589                 NaN            NaN            NaN            NaN  0.755494E-001  0.179967                 NaN            NaN            NaN
  1308.85        2500.00        99.4650       0.278666                 NaN            NaN            NaN            NaN  0.754181E-001  0.180940                 NaN            NaN            NaN
  1307.69        2500.00        99.4677       0.281299                 NaN            NaN            NaN            NaN  0.717365E-001  0.179240                 NaN            NaN            NaN
  1306.54        2500.00        99.4684       0.287129                 NaN            NaN            NaN            NaN  0.661497E-001  0.178346                 NaN            NaN            NaN
  1305.38        2500.00        97.4585       0.637280                 NaN            NaN            NaN            NaN  0.166526       0.433952        1.30371                 NaN            NaN
  1304.22        2500.00        90.4176        1.92132                 NaN            NaN            NaN            NaN  0.486263        1.33257        5.84230                 NaN            NaN
  1303.07        2500.00        90.8868        1.85233                 NaN            NaN            NaN            NaN  0.457055        1.27348        5.53033                 NaN            NaN
  1301.91        2500.00        91.3118        1.78979                 NaN            NaN            NaN            NaN  0.430943        1.22005        5.24739                 NaN            NaN
  1300.75        2500.00        91.6888        1.73707                 NaN            NaN            NaN            NaN  0.406132        1.17277        4.99521                 NaN            NaN
  1299.60        2500.00        90.3706        1.96200                 NaN            NaN            NaN            NaN  0.464986        1.35919        5.78260       0.606512E-001            NaN
  1298.44        2500.00        82.0512        3.38274                 NaN            NaN            NaN            NaN  0.853727        2.51200        10.8213       0.379119                 NaN
  1297.28        2500.00        83.2011        3.14801                 NaN            NaN            NaN            NaN  0.845334        2.35603        10.0974       0.352149                 NaN
  1296.13        2500.00        84.4276        2.91933                 NaN            NaN            NaN            NaN  0.811444        2.18981        9.32878       0.323056                 NaN
  1294.97        2500.00        85.5915        2.72095                 NaN            NaN            NaN            NaN  0.761435        2.03161        8.59933       0.295142                 NaN
  1293.81        2500.00        86.6542        2.54214                 NaN            NaN            NaN            NaN  0.711454        1.88651        7.93577       0.269935                 NaN
  1292.66        2500.00        87.6125        2.38154                 NaN            NaN            NaN            NaN  0.664053        1.75541        7.33899       0.247552                 NaN
  1291.50        2500.00        88.4849        2.23693                 NaN            NaN            NaN            NaN  0.616951        1.63547        6.79838       0.227391                 NaN
  1290.34        2500.00        89.2702        2.10819                 NaN            NaN            NaN            NaN  0.571828        1.52730        6.31307       0.209451                 NaN
  1289.19        2500.00        89.7553        2.01003                 NaN            NaN            NaN            NaN  0.558091        1.45960        6.01761       0.199348                 NaN
  1288.03        2500.00        88.7461        2.13811                 NaN            NaN            NaN            NaN  0.589509        1.61168        6.68657       0.228082                 NaN
  1286.87        2500.00        91.1726        1.69671                 NaN            NaN            NaN            NaN  0.533088        1.28242        5.15082       0.164404                 NaN
  1285.72        2500.00        91.5247        1.76482                 NaN            NaN            NaN            NaN  0.398733        1.21489        4.93909       0.157775                 NaN
  1284.56        2500.00        91.5477        1.07649                 NaN            NaN            NaN            NaN  0.721875        1.17822        5.29225       0.183461                 NaN
  1283.40        2500.00        95.4269        1.77620                 NaN            NaN            NaN            NaN            NaN  0.685374        2.06392       0.475656E-001            NaN
  1282.25        2500.00        93.4341        1.47166                 NaN            NaN            NaN            NaN  0.242982       0.926173        3.80214       0.122980                 NaN
  1281.09        2500.00        87.0585        2.67931                 NaN            NaN            NaN            NaN  0.650255        1.88397        7.48876       0.239158                 NaN
  1279.93        2500.00        99.8508       0.393818E-001            NaN            NaN            NaN            NaN  0.718643E-005  0.176325E-001  0.852878E-001  0.691576E-002            NaN
  1278.77        2500.00        99.5989       0.750486E-001            NaN            NaN            NaN            NaN  0.234988E-001  0.597478E-001  0.237473       0.532379E-002            NaN
  1277.62        2500.00        97.4289       0.197462       0.591459                 NaN            NaN            NaN            NaN  0.378021        1.37259       0.316105E-001            NaN
  1276.46        2500.00        86.7074        3.29804                 NaN            NaN            NaN            NaN  0.362489        1.88788        7.52287       0.221275                 NaN
  1275.30        2500.00        94.5300        1.21765                 NaN            NaN            NaN            NaN  0.238861       0.794462        3.12568       0.933871E-001            NaN
  1274.15        2500.00        93.5794        1.37668                 NaN            NaN            NaN            NaN  0.265387       0.938623        3.72163       0.118249                 NaN
  1272.99        2500.00        95.4074        1.16152                 NaN            NaN            NaN            NaN  0.133717       0.650992        2.56870       0.776883E-001            NaN
  1271.83        2500.00        96.2750       0.922362                 NaN            NaN            NaN            NaN  0.943196E-001  0.518990        2.13513       0.542284E-001            NaN
  1270.68        2500.00        92.1893        1.77589                 NaN            NaN            NaN            NaN  0.301077        1.14420        4.44169       0.147801                 NaN
  1269.52        2500.00        97.6998       0.678642                 NaN            NaN            NaN            NaN            NaN  0.285912        1.31811       0.175563E-001            NaN
  1268.36        2500.00        85.4642       0.576030        3.48232                 NaN            NaN            NaN            NaN   2.10152        8.17183       0.204144                 NaN
  1267.21        2500.00        99.7912       0.920292E-001            NaN            NaN            NaN            NaN            NaN  0.114177                 NaN  0.261095E-002            NaN
  1266.05        2500.00        99.9263       0.693892E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.429014E-002            NaN
  1264.89        2500.00        99.5873                 NaN            NaN            NaN            NaN            NaN  0.161488E-001  0.287409E-001  0.364528       0.327452E-002            NaN
  1263.74        2500.00        98.8305       0.304836                 NaN            NaN            NaN            NaN            NaN  0.128553       0.721279       0.148691E-001            NaN
  1262.58        2500.00        92.7730        2.26329                 NaN            NaN            NaN            NaN            NaN   1.04067        3.83003       0.929910E-001            NaN
  1261.42        2500.00        95.8263        1.16685                 NaN            NaN            NaN            NaN            NaN  0.579370        2.36541       0.620302E-001            NaN
  1260.27        2500.00        98.1172       0.518773                 NaN            NaN            NaN            NaN            NaN  0.267593        1.07142       0.250318E-001            NaN
  1259.11        2500.00        97.8597       0.639823                 NaN            NaN            NaN            NaN            NaN  0.328736        1.13360       0.381277E-001            NaN
  1257.95        2500.00        93.2758        1.81195                 NaN            NaN            NaN            NaN            NaN  0.937258        3.90283       0.721919E-001            NaN
  1256.80        2500.00        96.1664       0.636678                 NaN            NaN            NaN            NaN  0.152543       0.571984        2.39446       0.779342E-001            NaN
  1255.64        2500.00        97.5536       0.389766                 NaN            NaN            NaN            NaN            NaN  0.330274        1.67390       0.524762E-001            NaN
  1254.48        2500.00        96.9924       0.715030                 NaN            NaN            NaN            NaN            NaN  0.403484        1.84204       0.470536E-001            NaN
  1253.33        2500.00        96.6811        1.50344                 NaN            NaN            NaN            NaN            NaN  0.467971        1.33365       0.138507E-001            NaN
  1252.17        2500.00        97.2960       0.758783                 NaN            NaN            NaN            NaN            NaN  0.372522        1.54885       0.238878E-001            NaN
  1251.01        2500.00        95.5757        1.31954                 NaN            NaN            NaN            NaN            NaN  0.620685        2.43508       0.490036E-001            NaN
  1249.86        2500.00        98.6707       0.304747       0.101129                 NaN            NaN            NaN            NaN  0.250320       0.633065       0.400641E-001            NaN
  1248.70        2500.00        97.5997       0.466584                 NaN            NaN            NaN            NaN            NaN  0.248677        1.66096       0.240778E-001            NaN
  1247.54        2500.00        97.5982       0.627603                 NaN            NaN            NaN            NaN            NaN  0.325827        1.41338       0.350179E-001            NaN
  1246.39        2500.00        98.5847       0.516478                 NaN            NaN            NaN            NaN            NaN  0.317956       0.544364       0.365195E-001            NaN
  1245.23        2500.00        96.7203       0.710836                 NaN            NaN            NaN            NaN            NaN  0.326194        2.21601       0.266192E-001            NaN
  1244.07        2500.00        97.7030       0.652101                 NaN            NaN            NaN            NaN            NaN  0.346555        1.25598       0.424031E-001            NaN
  1242.92        2500.00        96.5750       0.914487       0.135452E-005            NaN            NaN            NaN            NaN  0.521824        1.93590       0.527732E-001            NaN
  1241.76        2500.00        98.7924       0.186902                 NaN            NaN            NaN            NaN            NaN  0.101965       0.918764                 NaN            NaN
  1240.60        2500.00        98.7004       0.296841                 NaN            NaN            NaN            NaN            NaN  0.115878       0.832231       0.546656E-001            NaN
  1239.45        2500.00        89.5611        2.48306                 NaN            NaN            NaN            NaN            NaN   1.25448        6.57593       0.125412                 NaN
  1238.29        2500.00        97.2047       0.807295                 NaN            NaN            NaN            NaN            NaN  0.451933        1.51052       0.255222E-001            NaN
  1237.13        2500.00        99.7303                 NaN            NaN            NaN            NaN            NaN            NaN  0.269737                 NaN            NaN            NaN
  1235.98        2500.00        99.8812                 NaN            NaN            NaN            NaN            NaN            NaN  0.892611E-001            NaN  0.295559E-001            NaN
  1234.82        2500.00        98.7299       0.325943                 NaN            NaN            NaN            NaN            NaN  0.546953       0.397243                 NaN            NaN
  1233.66        2500.00        99.2124       0.288601                 NaN            NaN            NaN            NaN            NaN            NaN  0.134285                 NaN  0.364763     
  1232.51        2500.00        97.7022       0.312621                 NaN            NaN            NaN            NaN            NaN            NaN   1.33233       0.273731E-002  0.650123     
  1231.35        2500.00        98.2478       0.266492                 NaN            NaN            NaN            NaN            NaN            NaN   1.02767       0.295675E-002  0.455099     
  1230.19        2500.00        90.5156        1.08053                 NaN            NaN            NaN            NaN            NaN  0.641131        4.54324       0.604992E-001   3.15897     
  1229.03        2500.00                 NaN  0.344695E-001   11.5585                 NaN            NaN            NaN            NaN   8.43094        46.3454       0.600005        33.0306     
  1227.88        2500.00                 NaN  0.503357E-001   11.5431                 NaN            NaN            NaN            NaN   8.43352        46.3420       0.599741        33.0313     
  1226.72        2500.00                 NaN  0.662289E-001   11.5276                 NaN            NaN            NaN            NaN   8.43605        46.3385       0.599482        33.0321     
  1225.56        2500.00                 NaN  0.798096E-001   11.5112                 NaN            NaN            NaN            NaN   8.43350        46.3434       0.599859        33.0323     
  1224.41        2500.00                 NaN  0.110603        11.4820                 NaN            NaN            NaN            NaN   8.43555        46.3392       0.599385        33.0332     
  1223.25        2500.00                 NaN  0.161354        11.4312                 NaN            NaN            NaN            NaN   8.43758        46.3369       0.599200        33.0338     
  1222.09        2500.00                 NaN  0.190528        11.4018                 NaN            NaN            NaN            NaN   8.43964        46.3346       0.599100        33.0343     
  1220.94        2500.00                 NaN   10.7896       0.800722                 NaN            NaN            NaN            NaN   8.42874        46.3441       0.600136        33.0367     
  1219.78        2500.00                 NaN   11.5996                 NaN            NaN            NaN            NaN            NaN   8.42508        46.3367       0.598416        33.0402     
  1218.62        2500.00                 NaN  0.391397        11.1999                 NaN            NaN            NaN            NaN   8.44342        46.3298       0.598851        33.0366     
  1217.47        2500.00                 NaN  0.281391        11.3122                 NaN            NaN            NaN            NaN   8.45166        46.3194       0.597716        33.0376     
  1216.31        2500.00                 NaN   11.6031                 NaN            NaN            NaN            NaN            NaN   8.43443        46.3224       0.597199        33.0428     
  1215.15        2500.00                 NaN   11.5988                 NaN            NaN            NaN            NaN            NaN   8.47638        46.2907       0.596693        33.0375     
  1214.00        2500.00                 NaN  0.450674E-001   11.5513                 NaN            NaN            NaN            NaN   8.48075        46.2874       0.596962        33.0385     
