|6.6.6
Archiving\03_Data\eqfrac/QFM_m2.75/EETA/EETA_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Opx(TH)        Sp(TH)         O(HP)          an             San(TH)        ilm            q             
  1369.00        2500.00        99.0467       0.295805E-001  0.419786                 NaN            NaN            NaN  0.214404       0.289507                 NaN            NaN            NaN
  1367.84        2500.00        99.0591       0.259148E-001  0.418033                 NaN            NaN            NaN  0.212231       0.284676                 NaN            NaN            NaN
  1366.69        2500.00        99.0643       0.417651       0.233861E-001            NaN            NaN            NaN  0.211529       0.283153                 NaN            NaN            NaN
  1365.53        2500.00        99.0728       0.208999E-001  0.415464                 NaN            NaN            NaN  0.210438       0.280359                 NaN            NaN            NaN
  1364.37        2500.00        99.0803       0.164183E-001  0.415814                 NaN            NaN            NaN  0.209601       0.277914                 NaN            NaN            NaN
  1363.22        2500.00        99.0056       0.194376       0.142084                 NaN            NaN            NaN  0.302603       0.355292                 NaN            NaN            NaN
  1362.06        2500.00        99.1609       0.123026E-001  0.562755                 NaN            NaN            NaN  0.720579E-001  0.191940                 NaN            NaN            NaN
  1360.90        2500.00        99.1050       0.415627                 NaN            NaN            NaN            NaN  0.209253       0.270082                 NaN            NaN            NaN
  1359.75        2500.00        98.9308       0.168080       0.394629                 NaN            NaN            NaN  0.190601       0.315867                 NaN            NaN            NaN
  1358.59        2500.00        99.2822       0.334829                 NaN            NaN            NaN            NaN  0.167604       0.215396                 NaN            NaN            NaN
  1357.43        2500.00        99.1253       0.407976                 NaN            NaN            NaN            NaN  0.203779       0.262923                 NaN            NaN            NaN
  1356.28        2500.00        99.1325       0.404289                 NaN            NaN            NaN            NaN  0.202673       0.260587                 NaN            NaN            NaN
  1355.12        2500.00        99.1412       0.395243                 NaN            NaN            NaN            NaN  0.204897       0.258656                 NaN            NaN            NaN
  1353.96        2500.00        99.1472       0.400781                 NaN            NaN            NaN            NaN  0.197025       0.255007                 NaN            NaN            NaN
  1352.81        2500.00        99.1523       0.398525                 NaN            NaN            NaN            NaN  0.195832       0.253336                 NaN            NaN            NaN
  1351.65        2500.00        99.1587       0.396015                 NaN            NaN            NaN            NaN  0.194110       0.251157                 NaN            NaN            NaN
  1350.49        2500.00        98.7838       0.530210                 NaN            NaN            NaN            NaN  0.313195       0.372771                 NaN            NaN            NaN
  1349.34        2500.00        99.5640       0.188418       0.356678E-001            NaN            NaN            NaN  0.888648E-001  0.123001                 NaN            NaN            NaN
  1348.18        2500.00        99.1812       0.396007                 NaN            NaN            NaN            NaN  0.180312       0.242432                 NaN            NaN            NaN
  1347.02        2500.00        99.1836       0.388154                 NaN            NaN            NaN            NaN  0.186152       0.242075                 NaN            NaN            NaN
  1345.87        2500.00        99.1884       0.389607                 NaN            NaN            NaN            NaN  0.181921       0.240083                 NaN            NaN            NaN
  1344.71        2500.00        99.1946       0.386901                 NaN            NaN            NaN            NaN  0.180443       0.238069                 NaN            NaN            NaN
  1343.55        2500.00        99.2002       0.382175                 NaN            NaN            NaN            NaN  0.181316       0.236303                 NaN            NaN            NaN
  1342.40        2500.00        99.2070       0.378972                 NaN            NaN            NaN            NaN  0.180096       0.233971                 NaN            NaN            NaN
  1341.24        2500.00        99.2124       0.382676                 NaN            NaN            NaN            NaN  0.173467       0.231443                 NaN            NaN            NaN
  1340.08        2500.00        99.2184       0.377603                 NaN            NaN            NaN            NaN  0.174189       0.229777                 NaN            NaN            NaN
  1338.93        2500.00        99.2223       0.381812                 NaN            NaN            NaN            NaN  0.168169       0.227720                 NaN            NaN            NaN
  1337.77        2500.00        99.2279       0.378131                 NaN            NaN            NaN            NaN  0.168078       0.225890                 NaN            NaN            NaN
  1336.61        2500.00        99.2350       0.372818                 NaN            NaN            NaN            NaN  0.168408       0.223813                 NaN            NaN            NaN
  1335.46        2500.00        99.2288       0.324602       0.870837E-001            NaN            NaN            NaN  0.137606       0.221890                 NaN            NaN            NaN
  1334.30        2500.00        99.2448       0.373755                 NaN            NaN            NaN            NaN  0.161605       0.219875                 NaN            NaN            NaN
  1333.14        2500.00        99.2514       0.365071                 NaN            NaN            NaN            NaN  0.165292       0.218243                 NaN            NaN            NaN
  1331.98        2500.00        99.2550       0.370976                 NaN            NaN            NaN            NaN  0.157996       0.216070                 NaN            NaN            NaN
  1330.83        2500.00        99.2281       0.412020       0.105020                 NaN            NaN            NaN  0.426134E-001  0.212286                 NaN            NaN            NaN
  1329.67        2500.00        99.2508       0.373992                 NaN            NaN            NaN            NaN  0.159625       0.215626                 NaN            NaN            NaN
  1328.51        2500.00        99.2704       0.362849                 NaN            NaN            NaN            NaN  0.155818       0.210965                 NaN            NaN            NaN
  1327.36        2500.00        99.2517       0.300734       0.117529                 NaN            NaN            NaN  0.117832       0.212184                 NaN            NaN            NaN
  1326.20        2500.00        99.2870       0.357350                 NaN            NaN            NaN            NaN  0.150628       0.204982                 NaN            NaN            NaN
  1325.04        2500.00        99.2844       0.358117                 NaN            NaN            NaN            NaN  0.151532       0.205994                 NaN            NaN            NaN
  1323.89        2500.00        99.2888       0.360597                 NaN            NaN            NaN            NaN  0.146327       0.204297                 NaN            NaN            NaN
  1322.73        2500.00        99.2909       0.365503                 NaN            NaN            NaN            NaN  0.141103       0.202513                 NaN            NaN            NaN
  1321.57        2500.00        99.2973       0.361703                 NaN            NaN            NaN            NaN  0.140390       0.200584                 NaN            NaN            NaN
  1320.42        2500.00        99.3024       0.358167                 NaN            NaN            NaN            NaN  0.140254       0.199137                 NaN            NaN            NaN
  1319.26        2500.00        99.3063       0.359001                 NaN            NaN            NaN            NaN  0.137162       0.197527                 NaN            NaN            NaN
  1318.10        2500.00        99.3110       0.355057                 NaN            NaN            NaN            NaN  0.137957       0.195983                 NaN            NaN            NaN
  1316.95        2500.00        99.3143       0.359199                 NaN            NaN            NaN            NaN  0.131947       0.194523                 NaN            NaN            NaN
  1315.79        2500.00        99.3180       0.359420                 NaN            NaN            NaN            NaN  0.129537       0.193056                 NaN            NaN            NaN
  1314.63        2500.00        99.3229       0.355361                 NaN            NaN            NaN            NaN  0.130350       0.191362                 NaN            NaN            NaN
  1313.48        2500.00        99.3254       0.361562                 NaN            NaN            NaN            NaN  0.122885       0.190107                 NaN            NaN            NaN
  1312.32        2500.00        99.3297       0.358637                 NaN            NaN            NaN            NaN  0.123043       0.188588                 NaN            NaN            NaN
  1311.16        2500.00        99.3279       0.365166                 NaN            NaN            NaN            NaN  0.117087       0.189817                 NaN            NaN            NaN
  1310.01        2500.00        99.3394       0.363629                 NaN            NaN            NaN            NaN  0.113290       0.183676                 NaN            NaN            NaN
  1308.85        2500.00        99.3391       0.362852                 NaN            NaN            NaN            NaN  0.113243       0.184808                 NaN            NaN            NaN
  1307.69        2500.00        99.3421       0.366853                 NaN            NaN            NaN            NaN  0.107873       0.183210                 NaN            NaN            NaN
  1306.54        2500.00        99.3428       0.375218                 NaN            NaN            NaN            NaN  0.995926E-001  0.182434                 NaN            NaN            NaN
  1305.38        2500.00        97.2336       0.831928                 NaN            NaN            NaN            NaN  0.250910       0.443587        1.24000                 NaN            NaN
  1304.22        2500.00        89.8817        2.50071                 NaN            NaN            NaN            NaN  0.731549        1.35568        5.53031                 NaN            NaN
  1303.07        2500.00        90.3735        2.41217                 NaN            NaN            NaN            NaN  0.689150        1.29451        5.23064                 NaN            NaN
  1301.91        2500.00        90.8189        2.33181                 NaN            NaN            NaN            NaN  0.651193        1.23919        4.95894                 NaN            NaN
  1300.75        2500.00        91.2139        2.26433                 NaN            NaN            NaN            NaN  0.614824        1.19020        4.71671                 NaN            NaN
  1299.60        2500.00        89.8107        2.55334                 NaN            NaN            NaN            NaN  0.704627        1.37670        5.44944       0.105152                 NaN
  1298.44        2500.00        81.0312        4.36896                 NaN            NaN            NaN            NaN   1.29035        2.52742        10.1291       0.652912                 NaN
  1297.28        2500.00        82.2156        4.06851                 NaN            NaN            NaN            NaN   1.28305        2.37146        9.45468       0.606722                 NaN
  1296.13        2500.00        83.4829        3.77783                 NaN            NaN            NaN            NaN   1.23658        2.20563        8.74013       0.556980                 NaN
  1294.97        2500.00        84.6883        3.52708                 NaN            NaN            NaN            NaN   1.16486        2.04795        8.06252       0.509275                 NaN
  1293.81        2500.00        85.7902        3.30127                 NaN            NaN            NaN            NaN   1.09243        1.90343        7.44644       0.466212                 NaN
  1292.66        2500.00        86.7849        3.09837                 NaN            NaN            NaN            NaN   1.02326        1.77291        6.89261       0.427985                 NaN
  1291.50        2500.00        87.6920        2.91593                 NaN            NaN            NaN            NaN  0.953879        1.65355        6.39108       0.393560                 NaN
  1290.34        2500.00        88.5095        2.75372                 NaN            NaN            NaN            NaN  0.886931        1.54596        5.94096       0.362930                 NaN
  1289.19        2500.00        89.0080        2.62995                 NaN            NaN            NaN            NaN  0.868831        1.47898        5.66840       0.345793                 NaN
  1288.03        2500.00        87.9580        2.79562                 NaN            NaN            NaN            NaN  0.918493        1.63347        6.29874       0.395733                 NaN
  1286.87        2500.00        90.4836        2.22936                 NaN            NaN            NaN            NaN  0.833924        1.30305        4.86408       0.285977                 NaN
  1285.72        2500.00        90.8691        2.32548                 NaN            NaN            NaN            NaN  0.624889        1.23610        4.66960       0.274820                 NaN
  1284.56        2500.00        90.9102        1.41741                 NaN            NaN            NaN            NaN   1.14108        1.20057        5.01073       0.320040                 NaN
  1283.40        2500.00        94.9057        2.35164                 NaN            NaN            NaN            NaN            NaN  0.700341        1.95910       0.832113E-001            NaN
  1282.25        2500.00        92.8904        1.95216                 NaN            NaN            NaN            NaN  0.384457       0.946905        3.61086       0.215259                 NaN
  1281.09        2500.00        85.9947        3.55508                 NaN            NaN            NaN            NaN   1.02763        1.91915        7.08638       0.417100                 NaN
  1279.93        2500.00        99.8351       0.528397E-001            NaN            NaN            NaN            NaN  0.115015E-004  0.181814E-001  0.816746E-001  0.122090E-001            NaN
  1278.77        2500.00        99.5630       0.100899                 NaN            NaN            NaN            NaN  0.376713E-001  0.615982E-001  0.227415       0.939726E-002            NaN
  1277.62        2500.00        97.1718       0.265025       0.804826                 NaN            NaN            NaN            NaN  0.389056        1.31356       0.557018E-001            NaN
  1276.46        2500.00        85.5790        4.39775                 NaN            NaN            NaN            NaN  0.574937        1.92864        7.13260       0.387041                 NaN
  1275.30        2500.00        94.0075        1.63631                 NaN            NaN            NaN            NaN  0.382367       0.819010        2.99002       0.164838                 NaN
  1274.15        2500.00        92.9833        1.85235                 NaN            NaN            NaN            NaN  0.425297       0.968477        3.56171       0.208908                 NaN
  1272.99        2500.00        94.9386        1.56946                 NaN            NaN            NaN            NaN  0.215565       0.673636        2.46506       0.137649                 NaN
  1271.83        2500.00        95.9062        1.25342                 NaN            NaN            NaN            NaN  0.152378       0.538189        2.05352       0.962890E-001            NaN
  1270.68        2500.00        91.4088        2.39862                 NaN            NaN            NaN            NaN  0.486504        1.18426        4.25986       0.261942                 NaN
  1269.52        2500.00        97.4657       0.931472                 NaN            NaN            NaN            NaN            NaN  0.297915        1.27362       0.313243E-001            NaN
  1268.36        2500.00        84.0989       0.776796        4.75965                 NaN            NaN            NaN            NaN   2.17099        7.83258       0.361124                 NaN
  1267.21        2500.00        99.7458       0.129771                 NaN            NaN            NaN            NaN            NaN  0.119749                 NaN  0.468915E-002            NaN
  1266.05        2500.00        99.8958       0.964503E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.771371E-002            NaN
  1264.89        2500.00        99.5829                 NaN            NaN            NaN            NaN            NaN  0.264937E-001  0.301800E-001  0.354549       0.588817E-002            NaN
  1263.74        2500.00        98.7154       0.422454                 NaN            NaN            NaN            NaN            NaN  0.134875       0.700519       0.267148E-001            NaN
  1262.58        2500.00        91.9087        3.13525                 NaN            NaN            NaN            NaN            NaN   1.08699        3.70270       0.166333                 NaN
  1261.42        2500.00        95.3605        1.61735                 NaN            NaN            NaN            NaN            NaN  0.608915        2.30159       0.111645                 NaN
  1260.27        2500.00        97.9000       0.727249                 NaN            NaN            NaN            NaN            NaN  0.282215        1.04536       0.452103E-001            NaN
  1259.11        2500.00        97.5840       0.893203                 NaN            NaN            NaN            NaN            NaN  0.346890        1.10705       0.689019E-001            NaN
  1257.95        2500.00        92.5324        2.54942                 NaN            NaN            NaN            NaN            NaN  0.987039        3.80090       0.130202                 NaN
  1256.80        2500.00        95.7681       0.887675                 NaN            NaN            NaN            NaN  0.253474       0.605697        2.34373       0.141338                 NaN
  1255.64        2500.00        97.3649       0.544817                 NaN            NaN            NaN            NaN            NaN  0.350640        1.64419       0.954149E-001            NaN
  1254.48        2500.00        96.6748        1.00426                 NaN            NaN            NaN            NaN            NaN  0.428289        1.80706       0.855415E-001            NaN
  1253.33        2500.00        96.0509        2.11809                 NaN            NaN            NaN            NaN            NaN  0.496915        1.30895       0.251892E-001            NaN
  1252.17        2500.00        96.9611        1.07102                 NaN            NaN            NaN            NaN            NaN  0.397356        1.52690       0.436406E-001            NaN
  1251.01        2500.00        94.9806        1.86690                 NaN            NaN            NaN            NaN            NaN  0.662156        2.40076       0.895385E-001            NaN
  1249.86        2500.00        98.4582       0.429237       0.143557                 NaN            NaN            NaN            NaN  0.268443       0.627017       0.735886E-001            NaN
  1248.70        2500.00        97.3783       0.663714                 NaN            NaN            NaN            NaN            NaN  0.266833        1.64686       0.442514E-001            NaN
  1247.54        2500.00        97.2925       0.891353                 NaN            NaN            NaN            NaN            NaN  0.349807        1.40196       0.643939E-001            NaN
  1246.39        2500.00        98.3106       0.738917                 NaN            NaN            NaN            NaN            NaN  0.342053       0.541088       0.672930E-001            NaN
  1245.23        2500.00        96.3793        1.01782                 NaN            NaN            NaN            NaN            NaN  0.351106        2.20266       0.490775E-001            NaN
  1244.07        2500.00        97.3666       0.931331                 NaN            NaN            NaN            NaN            NaN  0.373709        1.25001       0.783232E-001            NaN
  1242.92        2500.00        96.0910        1.31997       0.198064E-005            NaN            NaN            NaN            NaN  0.563295        1.92812       0.975807E-001            NaN
  1241.76        2500.00        98.7034       0.266687                 NaN            NaN            NaN            NaN            NaN  0.110543       0.919345                 NaN            NaN
  1240.60        2500.00        98.5150       0.425203                 NaN            NaN            NaN            NaN            NaN  0.125619       0.832649       0.101513                 NaN
  1239.45        2500.00        88.3419        3.53641                 NaN            NaN            NaN            NaN            NaN   1.35305        6.53695       0.231710                 NaN
  1238.29        2500.00        96.7733        1.16334                 NaN            NaN            NaN            NaN            NaN  0.493187        1.52250       0.477112E-001            NaN
  1237.13        2500.00        99.7043                 NaN            NaN            NaN            NaN            NaN            NaN  0.295666                 NaN            NaN            NaN
  1235.98        2500.00        99.8466                 NaN            NaN            NaN            NaN            NaN            NaN  0.978682E-001            NaN  0.555140E-001            NaN
  1234.82        2500.00        98.5190       0.479248                 NaN            NaN            NaN            NaN            NaN  0.599455       0.402284                 NaN            NaN
  1233.66        2500.00        99.0679       0.421876                 NaN            NaN            NaN            NaN            NaN            NaN  0.136103                 NaN  0.374106     
  1232.51        2500.00        97.5218       0.457678                 NaN            NaN            NaN            NaN            NaN            NaN   1.34898       0.514329E-002  0.666440     
  1231.35        2500.00        98.0958       0.390566                 NaN            NaN            NaN            NaN            NaN            NaN   1.04136       0.555788E-002  0.466693     
  1230.19        2500.00        89.8307        1.56650                 NaN            NaN            NaN            NaN            NaN  0.699057        4.57159       0.113013        3.21912     
  1229.03        2500.00                 NaN  0.455890E-001   15.5662                 NaN            NaN            NaN            NaN   8.56870        43.4007        1.04475        31.3741     
  1227.88        2500.00                 NaN  0.665749E-001   15.5458                 NaN            NaN            NaN            NaN   8.57134        43.3979        1.04431        31.3741     
  1226.72        2500.00                 NaN  0.875977E-001   15.5253                 NaN            NaN            NaN            NaN   8.57394        43.3952        1.04387        31.3741     
  1225.56        2500.00                 NaN  0.105562        15.5050                 NaN            NaN            NaN            NaN   8.57134        43.4000        1.04455        31.3735     
  1224.41        2500.00                 NaN  0.146296        15.4662                 NaN            NaN            NaN            NaN   8.57345        43.3965        1.04374        31.3738     
  1223.25        2500.00                 NaN  0.213430        15.3991                 NaN            NaN            NaN            NaN   8.57554        43.3949        1.04344        31.3736     
  1222.09        2500.00                 NaN  0.252025        15.3603                 NaN            NaN            NaN            NaN   8.57767        43.3933        1.04328        31.3735     
  1220.94        2500.00                 NaN   14.5464        1.06477                 NaN            NaN            NaN            NaN   8.56655        43.4023        1.04510        31.3749     
  1219.78        2500.00                 NaN   15.6243                 NaN            NaN            NaN            NaN            NaN   8.56260        43.3944        1.04209        31.3766     
  1218.62        2500.00                 NaN  0.517770        15.0933                 NaN            NaN            NaN            NaN   8.58163        43.3905        1.04291        31.3739     
  1217.47        2500.00                 NaN  0.372254        15.2417                 NaN            NaN            NaN            NaN   8.59000        43.3810        1.04095        31.3741     
  1216.31        2500.00                 NaN   15.6284                 NaN            NaN            NaN            NaN            NaN   8.57215        43.3824        1.04002        31.3770     
  1215.15        2500.00                 NaN   15.6164                 NaN            NaN            NaN            NaN            NaN   8.61531        43.3559        1.03922        31.3731     
  1214.00        2500.00                 NaN  0.596245E-001   15.5552                 NaN            NaN            NaN            NaN   8.61968        43.3528        1.03970        31.3730     
  1212.84        2500.00                 NaN  0.722359E-001   15.5476                 NaN            NaN            NaN            NaN   8.62692        43.3406        1.03831        31.3744     
