|6.6.6
Archiving\03_Data\eqfrac/QFM_m3.5/Y98/Y98_1.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         melt(TH)       melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        Opx(TH)        O(HP)          Sp(TH)         an             ilm            San(TH)        q             
  1405.58        2500.00        98.5390                 NaN  0.622788       0.111296                 NaN            NaN            NaN  0.284580                 NaN  0.442292                 NaN            NaN            NaN
  1404.35        2500.00        98.5539                 NaN  0.103027       0.621082                 NaN            NaN            NaN  0.284292                 NaN  0.437698                 NaN            NaN            NaN
  1403.12        2500.00        98.5695                 NaN  0.948658E-001  0.618932                 NaN            NaN            NaN  0.283873                 NaN  0.432822                 NaN            NaN            NaN
  1401.89        2500.00        98.1468                 NaN  0.114062       0.813070                 NaN            NaN            NaN  0.366625                 NaN  0.559399                 NaN            NaN            NaN
  1400.66        2500.00        99.0161                 NaN  0.463072E-001  0.437623                 NaN            NaN            NaN  0.202739                 NaN  0.297256                 NaN            NaN            NaN
  1399.43        2500.00        98.5758                 NaN  0.618902       0.891402E-001            NaN            NaN            NaN  0.284986                 NaN  0.431189                 NaN            NaN            NaN
  1398.20        2500.00        98.6626                 NaN  0.607917       0.482163E-001            NaN            NaN            NaN  0.278465                 NaN  0.402819                 NaN            NaN            NaN
  1396.97        2500.00        98.6435                 NaN  0.611156       0.548666E-001            NaN            NaN            NaN  0.280752                 NaN  0.409730                 NaN            NaN            NaN
  1395.75        2500.00        98.6563                 NaN  0.609140       0.486795E-001            NaN            NaN            NaN  0.280207                 NaN  0.405662                 NaN            NaN            NaN
  1394.52        2500.00        98.6684                 NaN  0.400299E-001  0.608349                 NaN            NaN            NaN  0.280987                 NaN  0.402214                 NaN            NaN            NaN
  1393.29        2500.00        98.6809                 NaN  0.351441E-001  0.607298                 NaN            NaN            NaN  0.278777                 NaN  0.397845                 NaN            NaN            NaN
  1392.06        2500.00        98.6962                 NaN  0.606204       0.257916E-001            NaN            NaN            NaN  0.278601                 NaN  0.393212                 NaN            NaN            NaN
  1390.83        2500.00        98.7056                 NaN  0.607810       0.180943E-001            NaN            NaN            NaN  0.278302                 NaN  0.390162                 NaN            NaN            NaN
  1389.60        2500.00        98.7192                 NaN  0.605805       0.125637E-001            NaN            NaN            NaN  0.276796                 NaN  0.385667                 NaN            NaN            NaN
  1388.37        2500.00        98.7310                 NaN  0.645536E-002  0.604107                 NaN            NaN            NaN  0.276428                 NaN  0.381991                 NaN            NaN            NaN
  1387.14        2500.00        98.7410                 NaN  0.603640       0.147207E-002            NaN            NaN            NaN  0.275347                 NaN  0.378589                 NaN            NaN            NaN
  1385.91        2500.00        98.7429                 NaN  0.562877       0.660572E-001            NaN            NaN            NaN  0.253785                 NaN  0.374337                 NaN            NaN            NaN
  1384.68        2500.00        98.7634                 NaN  0.591668                 NaN            NaN            NaN            NaN  0.273869                 NaN  0.371046                 NaN            NaN            NaN
  1383.46        2500.00        98.7760                 NaN  0.589252                 NaN            NaN            NaN            NaN  0.268303                 NaN  0.366401                 NaN            NaN            NaN
  1382.23        2500.00        98.7855                 NaN  0.584748                 NaN            NaN            NaN            NaN  0.266375                 NaN  0.363404                 NaN            NaN            NaN
  1381.00        2500.00        98.7960                 NaN  0.583337                 NaN            NaN            NaN            NaN  0.261229                 NaN  0.359449                 NaN            NaN            NaN
  1379.77        2500.00        98.7782                 NaN  0.446978       0.233056                 NaN            NaN            NaN  0.188820                 NaN  0.352947                 NaN            NaN            NaN
  1378.54        2500.00        98.8180                 NaN  0.571832                 NaN            NaN            NaN            NaN  0.258199                 NaN  0.351968                 NaN            NaN            NaN
  1377.31        2500.00        98.8269                 NaN  0.564486                 NaN            NaN            NaN            NaN  0.259077                 NaN  0.349520                 NaN            NaN            NaN
  1376.08        2500.00        98.8369                 NaN  0.562445                 NaN            NaN            NaN            NaN  0.255030                 NaN  0.345579                 NaN            NaN            NaN
  1374.85        2500.00        98.8453                 NaN  0.563806                 NaN            NaN            NaN            NaN  0.249202                 NaN  0.341711                 NaN            NaN            NaN
  1373.62        2500.00        98.8515                 NaN  0.564319                 NaN            NaN            NaN            NaN  0.244932                 NaN  0.339221                 NaN            NaN            NaN
  1372.39        2500.00        98.8645                 NaN  0.555358                 NaN            NaN            NaN            NaN  0.244917                 NaN  0.335198                 NaN            NaN            NaN
  1371.16        2500.00        98.8740                 NaN  0.546067                 NaN            NaN            NaN            NaN  0.246959                 NaN  0.332998                 NaN            NaN            NaN
  1369.94        2500.00        98.8835                 NaN  0.547304                 NaN            NaN            NaN            NaN  0.240883                 NaN  0.328308                 NaN            NaN            NaN
  1368.71        2500.00        98.8887                 NaN  0.544192                 NaN            NaN            NaN            NaN  0.240286                 NaN  0.326845                 NaN            NaN            NaN
  1367.48        2500.00        98.9012                 NaN  0.540215                 NaN            NaN            NaN            NaN  0.236505                 NaN  0.322102                 NaN            NaN            NaN
  1366.25        2500.00        98.9080                 NaN  0.538167                 NaN            NaN            NaN            NaN  0.233869                 NaN  0.319945                 NaN            NaN            NaN
  1365.02        2500.00        98.9144                 NaN  0.533207                 NaN            NaN            NaN            NaN  0.234579                 NaN  0.317823                 NaN            NaN            NaN
  1363.79        2500.00        98.9274                 NaN  0.527266                 NaN            NaN            NaN            NaN  0.231988                 NaN  0.313369                 NaN            NaN            NaN
  1362.56        2500.00        98.9322                 NaN  0.531088                 NaN            NaN            NaN            NaN  0.225729                 NaN  0.310971                 NaN            NaN            NaN
  1361.33        2500.00        98.9410                 NaN  0.522876                 NaN            NaN            NaN            NaN  0.227693                 NaN  0.308452                 NaN            NaN            NaN
  1360.10        2500.00        98.9490                 NaN  0.520835                 NaN            NaN            NaN            NaN  0.224859                 NaN  0.305295                 NaN            NaN            NaN
  1358.87        2500.00        98.9569                 NaN  0.520342                 NaN            NaN            NaN            NaN  0.220407                 NaN  0.302320                 NaN            NaN            NaN
  1357.65        2500.00        98.9642                 NaN  0.516171                 NaN            NaN            NaN            NaN  0.219570                 NaN  0.300027                 NaN            NaN            NaN
  1356.42        2500.00        98.9702                 NaN  0.518654                 NaN            NaN            NaN            NaN  0.214148                 NaN  0.296992                 NaN            NaN            NaN
  1355.19        2500.00        98.9406                 NaN  0.489755       0.119886                 NaN            NaN            NaN  0.151461                 NaN  0.298288                 NaN            NaN            NaN
  1353.96        2500.00        98.9993                 NaN  0.505068                 NaN            NaN            NaN            NaN  0.210544                 NaN  0.285127                 NaN            NaN            NaN
  1352.73        2500.00        98.9943                 NaN  0.501123                 NaN            NaN            NaN            NaN  0.214919                 NaN  0.289693                 NaN            NaN            NaN
  1351.50        2500.00        99.0011                 NaN  0.502014                 NaN            NaN            NaN            NaN  0.210423                 NaN  0.286475                 NaN            NaN            NaN
  1350.27        2500.00        99.0083                 NaN  0.497607                 NaN            NaN            NaN            NaN  0.209688                 NaN  0.284357                 NaN            NaN            NaN
  1349.04        2500.00        99.0150                 NaN  0.496054                 NaN            NaN            NaN            NaN  0.207186                 NaN  0.281794                 NaN            NaN            NaN
  1347.81        2500.00        99.0220                 NaN  0.494794                 NaN            NaN            NaN            NaN  0.203989                 NaN  0.279183                 NaN            NaN            NaN
  1346.58        2500.00        99.0284                 NaN  0.489357                 NaN            NaN            NaN            NaN  0.204923                 NaN  0.277333                 NaN            NaN            NaN
  1345.36        2500.00        99.0347                 NaN  0.492212                 NaN            NaN            NaN            NaN  0.198756                 NaN  0.274307                 NaN            NaN            NaN
  1344.13        2500.00        99.0417                 NaN  0.489427                 NaN            NaN            NaN            NaN  0.196907                 NaN  0.271936                 NaN            NaN            NaN
  1342.90        2500.00        99.0388                 NaN  0.483073                 NaN            NaN            NaN            NaN  0.204050                 NaN  0.274058                 NaN            NaN            NaN
  1341.67        2500.00        99.0577                 NaN  0.494859                 NaN            NaN            NaN            NaN  0.183226                 NaN  0.264171                 NaN            NaN            NaN
  1340.44        2500.00        99.0621                 NaN  0.481100                 NaN            NaN            NaN            NaN  0.192008                 NaN  0.264822                 NaN            NaN            NaN
  1339.21        2500.00        99.0652                 NaN  0.484589                 NaN            NaN            NaN            NaN  0.187258                 NaN  0.262925                 NaN            NaN            NaN
  1337.98        2500.00        99.0214                 NaN  0.505240                 NaN            NaN            NaN            NaN  0.178831                 NaN  0.270939       0.236065E-001            NaN            NaN
  1336.75        2500.00        98.9470                 NaN  0.534354                 NaN            NaN            NaN            NaN  0.169826                 NaN  0.285336       0.634411E-001            NaN            NaN
  1335.52        2500.00        98.9566                 NaN  0.524309                 NaN            NaN            NaN            NaN  0.173002                 NaN  0.283358       0.627631E-001            NaN            NaN
  1334.29        2500.00        98.9692                 NaN  0.520738                 NaN            NaN            NaN            NaN  0.169423                 NaN  0.279165       0.615190E-001            NaN            NaN
  1333.07        2500.00        98.9776                 NaN  0.518659                 NaN            NaN            NaN            NaN  0.166375                 NaN  0.276833       0.605290E-001            NaN            NaN
  1331.84        2500.00        98.9885                 NaN  0.507527                 NaN            NaN            NaN            NaN  0.169756                 NaN  0.274255       0.599320E-001            NaN            NaN
  1330.61        2500.00        99.0006                 NaN  0.504936                 NaN            NaN            NaN            NaN  0.165343                 NaN  0.270495       0.586258E-001            NaN            NaN
  1329.38        2500.00        99.0089                 NaN  0.500072                 NaN            NaN            NaN            NaN  0.164963                 NaN  0.268286       0.577744E-001            NaN            NaN
  1328.15        2500.00        99.0189                 NaN  0.495631                 NaN            NaN            NaN            NaN  0.163128                 NaN  0.265466       0.568364E-001            NaN            NaN
  1326.92        2500.00        99.0285                 NaN  0.491758                 NaN            NaN            NaN            NaN  0.161155                 NaN  0.262759       0.558772E-001            NaN            NaN
  1325.69        2500.00        99.0383                 NaN  0.487670                 NaN            NaN            NaN            NaN  0.159196                 NaN  0.259938       0.549442E-001            NaN            NaN
  1324.46        2500.00        99.0471                 NaN  0.483365                 NaN            NaN            NaN            NaN  0.158111                 NaN  0.257398       0.540701E-001            NaN            NaN
  1323.23        2500.00        99.0563                 NaN  0.479264                 NaN            NaN            NaN            NaN  0.156342                 NaN  0.254843       0.532144E-001            NaN            NaN
  1322.00        2500.00        99.0659                 NaN  0.475349                 NaN            NaN            NaN            NaN  0.154492                 NaN  0.252003       0.522752E-001            NaN            NaN
  1320.77        2500.00        99.0750                 NaN  0.470327                 NaN            NaN            NaN            NaN  0.153620                 NaN  0.249585       0.514673E-001            NaN            NaN
  1319.55        2500.00        99.0829                 NaN  0.468400                 NaN            NaN            NaN            NaN  0.150989                 NaN  0.247126       0.505620E-001            NaN            NaN
  1318.32        2500.00        99.0914                 NaN  0.465645                 NaN            NaN            NaN            NaN  0.148628                 NaN  0.244658       0.496876E-001            NaN            NaN
  1317.09        2500.00        99.1005                 NaN  0.461021                 NaN            NaN            NaN            NaN  0.147409                 NaN  0.242183       0.489030E-001            NaN            NaN
  1315.86        2500.00        99.1092                 NaN  0.457163                 NaN            NaN            NaN            NaN  0.145989                 NaN  0.239626       0.480491E-001            NaN            NaN
  1314.63        2500.00        97.5798                 NaN   1.16340                 NaN            NaN            NaN            NaN  0.450029                 NaN  0.664689       0.142126                 NaN            NaN
  1313.40        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1312.17        2500.00        99.8161                 NaN  0.111236                 NaN            NaN            NaN            NaN  0.340626E-001            NaN  0.385219E-001  0.463381E-004            NaN            NaN
  1310.94        2500.00        99.1408                 NaN  0.449615                 NaN            NaN            NaN            NaN  0.135005                 NaN  0.229950       0.446070E-001            NaN            NaN
  1309.71        2500.00        99.1487                 NaN  0.446169                 NaN            NaN            NaN            NaN  0.133211                 NaN  0.228020       0.439230E-001            NaN            NaN
  1308.48        2500.00        99.1573                 NaN  0.442430                 NaN            NaN            NaN            NaN  0.131389                 NaN  0.225722       0.431964E-001            NaN            NaN
  1307.26        2500.00        99.1642                 NaN  0.440739                 NaN            NaN            NaN            NaN  0.129291                 NaN  0.223415       0.423115E-001            NaN            NaN
  1306.03        2500.00        99.1700                 NaN  0.436747                 NaN            NaN            NaN            NaN  0.129473                 NaN  0.222054       0.417462E-001            NaN            NaN
  1304.80        2500.00        99.1799                 NaN  0.437213                 NaN            NaN            NaN            NaN  0.123452                 NaN  0.218766       0.407003E-001            NaN            NaN
  1303.57        2500.00        99.1849                 NaN  0.435057                 NaN            NaN            NaN            NaN  0.122553                 NaN  0.217437       0.400992E-001            NaN            NaN
  1302.34        2500.00        98.8395                 NaN  0.507092                 NaN            NaN            NaN            NaN  0.144236                 NaN  0.260348       0.515162E-001  0.197324                 NaN
  1301.11        2500.00        73.7004                 NaN   5.89699                 NaN            NaN            NaN            NaN   1.90024                 NaN   3.48090       0.902907        14.1186                 NaN
  1299.88        2500.00        75.6591                 NaN   5.47998                 NaN            NaN            NaN            NaN   1.83823                 NaN   3.22535       0.819622        12.9777                 NaN
  1298.65        2500.00        77.4814                 NaN   5.12830                 NaN            NaN            NaN            NaN   1.74132                 NaN   2.98805       0.742073        11.9189                 NaN
  1297.42        2500.00        79.1503                 NaN   4.81099                 NaN            NaN            NaN            NaN   1.63805                 NaN   2.77056       0.672603        10.9575                 NaN
  1296.19        2500.00        80.6848                 NaN   4.52305                 NaN            NaN            NaN            NaN   1.52959                 NaN   2.56996       0.610353        10.0823                 NaN
  1294.97        2500.00        82.1274                 NaN   4.25354                 NaN            NaN            NaN            NaN   1.40374                 NaN   2.38126       0.554672        9.27941                 NaN
  1293.74        2500.00        81.6571                 NaN   4.35875                 NaN            NaN            NaN            NaN   1.20238                 NaN   2.45577       0.617499        9.70848                 NaN
  1292.51        2500.00        88.3215                 NaN   3.06661                 NaN            NaN            NaN            NaN   1.01716                 NaN   1.52616       0.298916        5.76970                 NaN
  1291.28        2500.00        84.9016                 NaN   3.61555                 NaN            NaN            NaN            NaN   1.39877                 NaN   2.03920       0.425133        7.61973                 NaN
  1290.05        2500.00        85.2759                 NaN   3.69468                 NaN            NaN            NaN            NaN   1.10508                 NaN   1.96068       0.437644        7.52606                 NaN
  1288.82        2500.00        86.1258                 NaN   3.32483                 NaN            NaN            NaN            NaN   1.19132                 NaN   1.88685       0.404285        7.06691                 NaN
  1287.59        2500.00        91.1033                 NaN   2.48924                 NaN            NaN            NaN            NaN  0.658311                 NaN   1.16618       0.235519        4.34741                 NaN
  1286.36        2500.00        86.2310                 NaN   3.24317                 NaN            NaN            NaN            NaN   1.13296                 NaN   1.88666       0.406798        7.09938                 NaN
  1285.13        2500.00        93.9173                 NaN   1.94066                 NaN            NaN            NaN            NaN  0.356962                 NaN  0.769416       0.151675        2.86397                 NaN
  1283.90        2500.00        91.2054                 NaN   2.42278                 NaN            NaN            NaN            NaN  0.635887                 NaN   1.17174       0.236991        4.32716                 NaN
  1282.68        2500.00        90.8948                 NaN   2.47891                 NaN            NaN            NaN            NaN  0.637622                 NaN   1.22334       0.246728        4.51856                 NaN
  1281.45        2500.00        92.2653                 NaN   2.13697                 NaN            NaN            NaN            NaN  0.534158                 NaN   1.03845       0.207025        3.81814                 NaN
  1280.22        2500.00        86.5619                 NaN   3.38194                 NaN            NaN            NaN            NaN  0.429328                 NaN   1.93657       0.418690        7.27159                 NaN
  1278.99        2500.00        98.4715                 NaN  0.608416                 NaN            NaN            NaN            NaN  0.702020                 NaN  0.441003E-001            NaN  0.173923                 NaN
  1277.76        2500.00        81.5560                 NaN   3.69196                 NaN            NaN            NaN            NaN   1.85883                 NaN   2.61900       0.576450        9.69774                 NaN
  1276.53        2500.00        91.3594                 NaN   2.39354                 NaN            NaN            NaN            NaN  0.646946                 NaN   1.14479       0.227800        4.22752                 NaN
  1275.30        2500.00        70.7674        25.0470       0.130641                 NaN            NaN            NaN            NaN  0.914761                 NaN  0.830327                 NaN   2.30985                 NaN
  1274.07        2500.00        95.3877                 NaN  0.657948                 NaN            NaN            NaN            NaN  0.619659                 NaN  0.766713       0.747870E-001   2.49320                 NaN
  1272.84        2500.00        95.2958                 NaN   2.73760                 NaN            NaN            NaN            NaN  0.379723E-001            NaN  0.174626       0.213707        1.54029                 NaN
  1271.61        2500.00        99.5414                 NaN  0.331268                 NaN            NaN            NaN            NaN            NaN            NaN  0.127357                 NaN            NaN            NaN
  1270.38        2500.00        94.2164                 NaN   1.88791                 NaN            NaN            NaN            NaN            NaN            NaN  0.662307       0.217144        3.01625                 NaN
  1269.16        2500.00        96.1594                 NaN            NaN            NaN            NaN            NaN            NaN  0.144641                 NaN  0.697659       0.859662E-001   2.91233                 NaN
  1267.93        2500.00        48.2503        47.6594       0.436937        1.21561                 NaN            NaN            NaN            NaN            NaN  0.535373       0.848028E-001   1.81764                 NaN
  1266.70        2500.00        97.6310                 NaN   1.76707                 NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.915856E-001  0.510389                 NaN
  1265.47        2500.00        97.6447                 NaN            NaN            NaN            NaN            NaN            NaN  0.628609                 NaN  0.111167       0.712357E-001   1.54430                 NaN
  1264.24        2500.00        96.4869                 NaN   1.03695                 NaN            NaN            NaN            NaN  0.101473                 NaN  0.730487       0.841875E-001   1.55997                 NaN
  1263.01        2500.00        93.0785                 NaN  0.701433E-001   2.27726                 NaN            NaN            NaN            NaN            NaN  0.827816       0.203570        3.54273                 NaN
  1261.78        2500.00        97.1160                 NaN   1.52870                 NaN            NaN            NaN            NaN            NaN            NaN  0.437366       0.396571E-002  0.913990                 NaN
