|6.6.6
Archiving\03_Data\eq/QFM_m4.75/Y98/Y98_3.tab                              
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       pxmn           Ni             Sp(TH)         iron           O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        an            
  1820.51        2500.00        99.2099       0.781693       0.838493E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.31        2500.00        99.2098       0.781769       0.838503E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.10        2500.00        99.2098       0.781844       0.838514E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1810.90        2500.00        99.2097       0.781920       0.838524E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.69        2500.00        99.2096       0.781995       0.838535E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.49        2500.00        99.2095       0.782071       0.838546E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1801.28        2500.00        99.2095       0.782147       0.838557E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1798.08        2500.00        99.2094       0.782223       0.838568E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.87        2500.00        99.2093       0.782299       0.838580E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.67        2500.00        99.2092       0.782375       0.838591E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1788.46        2500.00        99.2092       0.782451       0.838603E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1785.26        2500.00        99.2091       0.782527       0.838615E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1782.05        2500.00        99.2090       0.782604       0.838627E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1778.85        2500.00        99.2089       0.782680       0.838639E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1775.64        2500.00        99.2089       0.782756       0.838652E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1772.44        2500.00        99.2088       0.782833       0.838664E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.23        2500.00        99.2087       0.782909       0.838677E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.03        2500.00        99.2086       0.782986       0.838690E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1762.82        2500.00        99.2086       0.783063       0.838704E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.62        2500.00        99.2085       0.783139       0.838717E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.41        2500.00        99.2084       0.783216       0.838730E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1753.21        2500.00        99.2083       0.783293       0.838744E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1750.00        2500.00        99.2082       0.783370       0.838758E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.79        2500.00        99.2082       0.783447       0.838772E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1743.59        2500.00        99.2081       0.783524       0.838786E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1740.38        2500.00        99.2080       0.783601       0.838801E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1737.18        2500.00        99.2079       0.783678       0.838815E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1733.97        2500.00        99.2079       0.783756       0.838830E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1730.77        2500.00        99.2078       0.783833       0.838845E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1727.56        2500.00        99.2077       0.783911       0.838860E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.36        2500.00        99.2076       0.783988       0.838875E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.15        2500.00        99.2075       0.784066       0.838891E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1717.95        2500.00        99.2075       0.784143       0.838906E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.74        2500.00        99.2074       0.784220       0.838921E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.54        2500.00        99.2073       0.784296       0.838936E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1708.33        2500.00        99.2072       0.784372       0.838950E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1705.13        2500.00        99.1990       0.784509       0.839029E-002            NaN  0.811416E-002            NaN            NaN            NaN            NaN            NaN
  1701.92        2500.00        99.1901       0.784645       0.839108E-002            NaN  0.168451E-001            NaN            NaN            NaN            NaN            NaN
  1698.72        2500.00        99.1774       0.784784       0.839190E-002  0.434865E-002  0.250503E-001            NaN            NaN            NaN            NaN            NaN
  1695.51        2500.00        99.1583       0.784929       0.839278E-002  0.159393E-001  0.323933E-001            NaN            NaN            NaN            NaN            NaN
  1692.31        2500.00        99.1393       0.785073       0.839366E-002  0.275344E-001  0.397384E-001            NaN            NaN            NaN            NaN            NaN
  1689.10        2500.00        99.1209       0.785215       0.839451E-002  0.386718E-001  0.467785E-001            NaN            NaN            NaN            NaN            NaN
  1685.90        2500.00        99.1026       0.785357       0.839536E-002  0.498136E-001  0.538205E-001            NaN            NaN            NaN            NaN            NaN
  1682.69        2500.00        99.0843       0.785499       0.839621E-002  0.609595E-001  0.608644E-001            NaN            NaN            NaN            NaN            NaN
  1679.49        2500.00        99.0659       0.785640       0.839706E-002  0.721098E-001  0.679101E-001            NaN            NaN            NaN            NaN            NaN
  1676.28        2500.00        99.0476       0.785782       0.839791E-002  0.832643E-001  0.749578E-001            NaN            NaN            NaN            NaN            NaN
  1673.08        2500.00        99.0292       0.785923       0.839877E-002  0.944230E-001  0.820073E-001            NaN            NaN            NaN            NaN            NaN
  1669.87        2500.00        99.0109       0.786065       0.839962E-002  0.105586       0.890586E-001            NaN            NaN            NaN            NaN            NaN
  1666.67        2500.00        98.9925       0.786206       0.840047E-002  0.116753       0.961119E-001            NaN            NaN            NaN            NaN            NaN
  1663.46        2500.00        98.9749       0.786345       0.840130E-002  0.127510       0.102858                 NaN            NaN            NaN            NaN            NaN
  1660.26        2500.00        98.9572       0.786484       0.840212E-002  0.138270       0.109606                 NaN            NaN            NaN            NaN            NaN
  1657.05        2500.00        98.9398       0.786622       0.840294E-002  0.148955       0.116260                 NaN            NaN            NaN            NaN            NaN
  1653.85        2500.00        98.1416       0.786740       0.793364E-002  0.161746       0.834255E-001  0.818521                 NaN            NaN            NaN            NaN
  1650.64        2500.00        97.3047       0.786848       0.743480E-002  0.174588       0.470249E-001   1.67943                 NaN            NaN            NaN            NaN
  1647.44        2500.00        96.4675       0.786953       0.693588E-002  0.187433       0.106177E-001   2.54054                 NaN            NaN            NaN            NaN
  1644.23        2500.00        95.6993       0.787197       0.648504E-002  0.199142                 NaN   3.30788                 NaN            NaN            NaN            NaN
  1641.03        2500.00        94.9641       0.787493       0.606009E-002  0.210161                 NaN   4.03220                 NaN            NaN            NaN            NaN
  1637.82        2500.00        94.2478       0.787783       0.563788E-002  0.221056                 NaN   4.73776                 NaN            NaN            NaN            NaN
  1634.62        2500.00        93.5310       0.788070       0.521540E-002  0.231958                 NaN   5.44380                 NaN            NaN            NaN            NaN
  1631.41        2500.00        92.8137       0.788354       0.479266E-002  0.242868                 NaN   6.15031                 NaN            NaN            NaN            NaN
  1628.21        2500.00        92.0959       0.788635       0.436967E-002  0.253784                 NaN   6.85729                 NaN            NaN            NaN            NaN
  1625.00        2500.00        91.3981       0.788909       0.394608E-002  0.264612                 NaN   7.54441                 NaN            NaN            NaN            NaN
  1621.79        2500.00        90.2637       0.789710       0.366884E-002  0.267611                 NaN   8.02011       0.655205                 NaN            NaN            NaN
  1618.59        2500.00        88.5727       0.791205       0.358560E-002  0.259851                 NaN   8.19310        2.17953                 NaN            NaN            NaN
  1615.38        2500.00        86.8754       0.792703       0.350205E-002  0.252061                 NaN   8.36671        3.70958                 NaN            NaN            NaN
  1612.18        2500.00        85.4268       0.794008       0.343950E-002  0.242796                 NaN   8.50296        5.02998                 NaN            NaN            NaN
  1608.97        2500.00        83.9735       0.795316       0.337674E-002  0.233500                 NaN   8.63964        6.35467                 NaN            NaN            NaN
  1605.77        2500.00        82.5155       0.796625       0.331377E-002  0.224173                 NaN   8.77674        7.68366                 NaN            NaN            NaN
  1602.56        2500.00        81.0528       0.797937       0.325060E-002  0.214814                 NaN   8.91427        9.01698                 NaN            NaN            NaN
  1599.36        2500.00        79.5853       0.799251       0.318722E-002  0.205423                 NaN   9.05222        10.3546                 NaN            NaN            NaN
  1596.15        2500.00        78.1131       0.800567       0.312363E-002  0.196001                 NaN   9.19059        11.6966                 NaN            NaN            NaN
  1592.95        2500.00        76.6362       0.801885       0.305984E-002  0.186547                 NaN   9.32940        13.0429                 NaN            NaN            NaN
  1589.74        2500.00        75.1545       0.803205       0.299584E-002  0.177061                 NaN   9.46863        14.3936                 NaN            NaN            NaN
  1586.54        2500.00        73.9672       0.804301       0.295611E-002  0.165031                 NaN   9.56474        15.4957                 NaN            NaN            NaN
  1583.33        2500.00        72.7768       0.805398       0.291628E-002  0.152966                 NaN   9.66109        16.6008                 NaN            NaN            NaN
  1580.13        2500.00        71.5833       0.806497       0.287634E-002  0.140869                 NaN   9.75769        17.7088                 NaN            NaN            NaN
  1576.92        2500.00        70.3866       0.807597       0.283629E-002  0.128737                 NaN   9.85452        18.8197                 NaN            NaN            NaN
  1573.72        2500.00        69.1867       0.808698       0.279613E-002  0.116573                 NaN   9.95160        19.9336                 NaN            NaN            NaN
  1570.51        2500.00        67.9837       0.809800       0.275587E-002  0.104374                 NaN   10.0489        21.0505                 NaN            NaN            NaN
  1567.31        2500.00        66.7774       0.810904       0.271550E-002  0.921417E-001            NaN   10.1465        22.1703                 NaN            NaN            NaN
  1564.10        2500.00        65.5681       0.812009       0.267501E-002  0.798757E-001            NaN   10.2443        23.2931                 NaN            NaN            NaN
  1560.90        2500.00        64.5101       0.813001       0.264612E-002  0.653966E-001            NaN   10.3215        24.2873                 NaN            NaN            NaN
  1557.69        2500.00        63.4498       0.813993       0.261715E-002  0.508815E-001            NaN   10.3989        25.2838                 NaN            NaN            NaN
  1554.49        2500.00        62.3869       0.814987       0.258812E-002  0.363306E-001            NaN   10.4765        26.2827                 NaN            NaN            NaN
  1551.28        2500.00        61.3215       0.815981       0.255901E-002  0.217438E-001            NaN   10.5542        27.2840                 NaN            NaN            NaN
  1548.08        2500.00        60.3029       0.816941       0.253326E-002  0.590925E-002            NaN   10.6263        28.2453                 NaN            NaN            NaN
  1544.87        2500.00        59.3374       0.817847       0.250090E-002            NaN            NaN   10.7067        29.1356                 NaN            NaN            NaN
  1541.67        2500.00        58.4202       0.818710       0.246760E-002            NaN            NaN   10.7858        29.9729                 NaN            NaN            NaN
  1538.46        2500.00        57.5011       0.819573       0.243423E-002            NaN            NaN   10.8650        30.8118                 NaN            NaN            NaN
  1535.26        2500.00        56.6194       0.820412       0.240601E-002            NaN            NaN   10.9361        31.6217                 NaN            NaN            NaN
  1532.05        2500.00        55.7361       0.821251       0.237773E-002            NaN            NaN   11.0072        32.4331                 NaN            NaN            NaN
  1528.85        2500.00        54.8510       0.822091       0.234940E-002            NaN            NaN   11.0785        33.2460                 NaN            NaN            NaN
  1525.64        2500.00        53.9643       0.822932       0.232101E-002            NaN            NaN   11.1499        34.0606                 NaN            NaN            NaN
  1522.44        2500.00        53.1048       0.823757       0.229742E-002            NaN            NaN   11.2131        34.8561                 NaN            NaN            NaN
  1519.23        2500.00        52.2436       0.824583       0.227377E-002            NaN            NaN   11.2764        35.6531                 NaN            NaN            NaN
  1516.03        2500.00        51.3978       0.825397       0.224919E-002            NaN            NaN   11.3417        36.4329                 NaN            NaN            NaN
  1512.82        2500.00        50.1032       0.826635       0.227949E-002            NaN            NaN   11.3318        35.6746        2.06148                 NaN            NaN
  1509.62        2500.00        48.6853       0.828033       0.230638E-002            NaN            NaN   11.3295        34.7919        4.36292                 NaN            NaN
  1506.41        2500.00        47.2628       0.829433       0.233335E-002            NaN            NaN   11.3272        33.9062        6.67212                 NaN            NaN
  1503.21        2500.00        45.8357       0.830836       0.236041E-002            NaN            NaN   11.3248        33.0173        8.98906                 NaN            NaN
  1500.00        2500.00        44.4039       0.832242       0.238754E-002            NaN            NaN   11.3224        32.1253        11.3138                 NaN            NaN
  1496.79        2500.00        42.8398       0.833835       0.239725E-002            NaN            NaN   11.3509        31.3745        13.3487       0.249737                 NaN
  1493.59        2500.00        41.0983       0.835653       0.238371E-002            NaN            NaN   11.4170        30.9454        1.46559        14.2357                 NaN
  1490.38        2500.00        41.0966       0.835688       0.238364E-002            NaN            NaN   11.4173        30.9463        1.46563        14.2361                 NaN
  1487.18        2500.00        37.7723       0.839158       0.236388E-002            NaN            NaN   11.5308        30.2200        15.8177        3.81768                 NaN
  1483.97        2500.00        36.1995       0.840835       0.236209E-002  0.933087E-003            NaN   11.5770        29.9333        16.4993        4.94677                 NaN
  1480.77        2500.00        34.6421       0.842505       0.237051E-002  0.252499E-001            NaN   11.5987        29.2939        6.00839        17.5868                 NaN
  1477.56        2500.00        34.6406       0.842535       0.237043E-002  0.252512E-001            NaN   11.5989        29.2946        6.00853        17.5872                 NaN
  1474.36        2500.00        31.6848       0.845720       0.239427E-002  0.700219E-001            NaN   11.6262        28.3385        19.3445        8.08791                 NaN
  1471.15        2500.00        31.6833       0.845748       0.239418E-002  0.700254E-001            NaN   11.6264        28.3391        19.3449        8.08807                 NaN
  1467.95        2500.00        31.6819       0.845776       0.239409E-002  0.700289E-001            NaN   11.6267        28.3396        19.3454        8.08823                 NaN
  1464.74        2500.00        31.6804       0.845804       0.239399E-002  0.700325E-001            NaN   11.6269        28.3402        19.3458        8.08839                 NaN
  1461.54        2500.00        26.3479       0.851686       0.247340E-002  0.150567                 NaN   11.6143        27.4198        12.0197        21.5936                 NaN
  1458.33        2500.00        26.3467       0.851710       0.247330E-002  0.150574                 NaN   11.6145        27.4202        12.0199        21.5940                 NaN
  1455.13        2500.00        23.9203       0.854479       0.252966E-002  0.189994                 NaN   11.5734        27.3199        13.8714        22.2680                 NaN
  1451.92        2500.00        22.7807       0.855809       0.256054E-002  0.209619                 NaN   11.5452        27.3352        14.7506        22.5204                 NaN
  1448.72        2500.00        20.9090       0.857306       0.249763E-002  0.232480                 NaN   11.6777        26.9943        23.3741        15.4618       0.490777     
  1445.51        2500.00        20.9080       0.857326       0.249751E-002  0.232489                 NaN   11.6779        26.9946        23.3745        15.4620       0.490812     
  1442.31        2500.00        20.9070       0.857346       0.249739E-002  0.232499                 NaN   11.6780        26.9949        23.3748        15.4622       0.490847     
  1439.10        2500.00        20.9060       0.857366       0.249727E-002  0.232509                 NaN   11.6781        26.9952        23.3751        15.4623       0.490882     
  1435.90        2500.00        13.9691       0.862015       0.211238E-002  0.307035                 NaN   12.3886        25.2657        27.0870        17.1034        3.01506     
  1432.69        2500.00        13.9684       0.862029       0.211227E-002  0.307046                 NaN   12.3886        25.2658        27.0872        17.1034        3.01525     
  1429.49        2500.00        13.9678       0.862044       0.211216E-002  0.307057                 NaN   12.3887        25.2659        27.0874        17.1035        3.01545     
  1426.28        2500.00        13.9671       0.862058       0.211205E-002  0.307067                 NaN   12.3888        25.2660        27.0876        17.1036        3.01564     
  1423.08        2500.00        13.9665       0.862073       0.211193E-002  0.307078                 NaN   12.3888        25.2662        27.0878        17.1036        3.01584     
  1419.87        2500.00        13.9658       0.862087       0.211182E-002  0.307089                 NaN   12.3889        25.2663        27.0880        17.1037        3.01603     
  1416.67        2500.00        13.9652       0.862102       0.211171E-002  0.307100                 NaN   12.3889        25.2664        27.0882        17.1038        3.01623     
  1413.46        2500.00        13.9645       0.862116       0.211160E-002  0.307111                 NaN   12.3890        25.2665        27.0884        17.1038        3.01642     
  1410.26        2500.00        6.73702       0.867017       0.171978E-002  0.392261                 NaN   13.0740        23.7061        18.4881        30.7289        6.00491     
  1407.05        2500.00        6.73675       0.867026       0.171968E-002  0.392272                 NaN   13.0740        23.7060        18.4880        30.7289        6.00526     
  1403.85        2500.00        6.73647       0.867035       0.171958E-002  0.392283                 NaN   13.0739        23.7060        18.4880        30.7290        6.00561     
  1400.64        2500.00        6.73620       0.867043       0.171947E-002  0.392294                 NaN   13.0739        23.7060        18.4879        30.7290        6.00596     
  1397.44        2500.00        6.73592       0.867052       0.171937E-002  0.392306                 NaN   13.0739        23.7059        18.4879        30.7290        6.00631     
  1394.23        2500.00        6.73564       0.867060       0.171927E-002  0.392317                 NaN   13.0739        23.7059        18.4878        30.7290        6.00666     
  1391.03        2500.00        6.73536       0.867069       0.171917E-002  0.392328                 NaN   13.0738        23.7058        18.4878        30.7290        6.00701     
  1387.82        2500.00        6.73509       0.867077       0.171907E-002  0.392339                 NaN   13.0738        23.7058        18.4877        30.7291        6.00736     
  1384.62        2500.00        2.77526       0.869916       0.152822E-002  0.444154                 NaN   13.3709        23.1311        32.5104        18.9366        7.96006     
  1381.41        2500.00        2.77517       0.869922       0.152812E-002  0.444165                 NaN   13.3709        23.1310        32.5103        18.9365        7.96049     
  1378.21        2500.00        2.77507       0.869928       0.152803E-002  0.444177                 NaN   13.3708        23.1309        32.5102        18.9364        7.96093     
  1375.00        2500.00        2.77498       0.869933       0.152793E-002  0.444188                 NaN   13.3707        23.1308        32.5101        18.9363        7.96137     
  1371.79        2500.00        2.77488       0.869939       0.152784E-002  0.444199                 NaN   13.3707        23.1307        32.5101        18.9362        7.96180     
  1368.59        2500.00        2.77479       0.869944       0.152774E-002  0.444210                 NaN   13.3706        23.1306        32.5100        18.9361        7.96224     
  1365.38        2500.00        2.77470       0.869950       0.152765E-002  0.444221                 NaN   13.3705        23.1305        32.5099        18.9360        7.96267     
  1362.18        2500.00        2.77460       0.869956       0.152755E-002  0.444232                 NaN   13.3705        23.1304        32.5098        18.9359        7.96311     
  1358.97        2500.00       0.350907E-001  0.872120       0.142614E-002  0.481709                 NaN   13.4973        22.9580        19.0565        33.6082        9.48957     
  1355.77        2500.00                 NaN  0.872120       0.140982E-002  0.478604                 NaN   13.5128        23.2038        19.1256        33.2712        9.53447     
  1352.56        2500.00                 NaN  0.872089       0.139268E-002  0.474325                 NaN   13.5288        23.4868        19.2135        32.8624        9.56065     
  1349.36        2500.00                 NaN  0.872093       0.139259E-002  0.474336                 NaN   13.5287        23.4867        19.2134        32.8623        9.56116     
  1346.15        2500.00                 NaN  0.872026       0.135905E-002  0.466939                 NaN   13.5595        24.0257        19.3606        32.1009        9.61304     
  1342.95        2500.00                 NaN  0.872030       0.135896E-002  0.466949                 NaN   13.5594        24.0255        19.3605        32.1007        9.61354     
  1339.74        2500.00                 NaN  0.872034       0.135888E-002  0.466960                 NaN   13.5593        24.0254        19.3603        32.1006        9.61405     
  1336.54        2500.00                 NaN  0.872037       0.135879E-002  0.466971                 NaN   13.5592        24.0252        19.3602        32.1005        9.61456     
  1333.33        2500.00                 NaN  0.871902       0.129225E-002  0.454653                 NaN   13.6181        25.0347        19.5981        30.7040        9.71712     
  1330.13        2500.00                 NaN  0.871905       0.129217E-002  0.454664                 NaN   13.6181        25.0346        19.5980        30.7039        9.71763     
  1326.92        2500.00                 NaN  0.871909       0.129209E-002  0.454674                 NaN   13.6180        25.0344        19.5978        30.7038        9.71814     
  1323.72        2500.00                 NaN  0.871912       0.129201E-002  0.454684                 NaN   13.6179        25.0342        19.5977        30.7037        9.71865     
  1320.51        2500.00                 NaN  0.871916       0.129193E-002  0.454694                 NaN   13.6178        25.0341        19.5976        30.7035        9.71916     
  1317.31        2500.00                 NaN  0.871919       0.129185E-002  0.454705                 NaN   13.6177        25.0339        19.5974        30.7034        9.71967     
  1314.10        2500.00                 NaN  0.871922       0.129177E-002  0.454715                 NaN   13.6176        25.0338        19.5973        30.7033        9.72018     
  1310.90        2500.00                 NaN  0.871926       0.129168E-002  0.454725                 NaN   13.6175        25.0336        19.5971        30.7032        9.72069     
  1307.69        2500.00                 NaN  0.871679       0.116466E-002  0.438561                 NaN   13.7200        26.8377        19.9461        28.2749        9.90991     
  1304.49        2500.00                 NaN  0.871682       0.116459E-002  0.438571                 NaN   13.7199        26.8375        19.9460        28.2748        9.91043     
  1301.28        2500.00                 NaN  0.871685       0.116451E-002  0.438581                 NaN   13.7198        26.8373        19.9458        28.2747        9.91094     
  1298.08        2500.00                 NaN  0.871688       0.116444E-002  0.438591                 NaN   13.7197        26.8372        19.9457        28.2746        9.91146     
  1294.87        2500.00                 NaN  0.871691       0.116437E-002  0.438600                 NaN   13.7196        26.8370        19.9455        28.2745        9.91198     
  1291.67        2500.00                 NaN  0.871694       0.116429E-002  0.438610                 NaN   13.7194        26.8368        19.9454        28.2744        9.91250     
  1288.46        2500.00                 NaN  0.871697       0.116422E-002  0.438619                 NaN   13.7193        26.8366        19.9452        28.2743        9.91302     
  1285.26        2500.00                 NaN  0.871700       0.116415E-002  0.438629                 NaN   13.7192        26.8365        19.9451        28.2742        9.91353     
