|6.6.6
Archiving\03_Data\DfracLP/QFM_m0.25/K22/K22_1.tab                     
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         melt(TH)       melt(TH)       melt(TH)       melt(TH)       O(HP)          Sp(TH)         ilm            Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        q             
  1699.25        500.000        99.3696                 NaN            NaN            NaN  0.617199       0.131738E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        500.000        99.4092                 NaN            NaN            NaN  0.578477       0.123345E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        500.000        99.3155                 NaN            NaN            NaN  0.670412       0.140787E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        500.000        99.3588                 NaN            NaN            NaN  0.628077       0.131333E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        500.000        99.3535                 NaN            NaN            NaN  0.633310       0.131608E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        500.000        99.3497                 NaN            NaN            NaN  0.637176       0.131480E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        500.000        99.3458                 NaN            NaN            NaN  0.641030       0.131314E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        500.000        99.3417                 NaN            NaN            NaN  0.645123       0.131344E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        500.000        99.3379                 NaN            NaN            NaN  0.648965       0.131347E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        500.000        99.3339                 NaN            NaN            NaN  0.652956       0.131368E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        500.000        99.3266                 NaN            NaN            NaN  0.660172       0.132047E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        500.000        99.3304                 NaN            NaN            NaN  0.656545       0.130432E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        500.000        99.3206                 NaN            NaN            NaN  0.666267       0.131611E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        500.000        99.3217                 NaN            NaN            NaN  0.665245       0.130679E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        500.000        99.3155                 NaN            NaN            NaN  0.671339       0.131122E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        500.000        99.3133                 NaN            NaN            NaN  0.673663       0.130857E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        500.000        99.3094                 NaN            NaN            NaN  0.677547       0.130872E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        500.000        99.3058                 NaN            NaN            NaN  0.681106       0.130890E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        500.000        99.3033                 NaN            NaN            NaN  0.683632       0.130956E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        500.000        99.3015                 NaN            NaN            NaN  0.685490       0.130421E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        500.000        99.2976                 NaN            NaN            NaN  0.689331       0.130554E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        500.000        99.2643                 NaN            NaN            NaN  0.722065       0.136517E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        500.000        99.3212                 NaN            NaN            NaN  0.666272       0.125189E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        500.000        98.6543       0.364427       0.569365E-001  0.681913E-004  0.902000       0.221971E-001  0.117038E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        500.000        99.4153                 NaN            NaN            NaN  0.574087       0.106150E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        500.000        99.2906                 NaN            NaN            NaN  0.696449       0.129868E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        500.000        99.2865                 NaN            NaN            NaN  0.700505       0.130114E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        500.000        99.2860                 NaN            NaN            NaN  0.701067       0.129751E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        500.000        99.2786                 NaN            NaN            NaN  0.708360       0.130592E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        500.000        99.2890                 NaN            NaN            NaN  0.698183       0.128533E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        500.000        99.2790                 NaN            NaN            NaN  0.708069       0.129716E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        500.000        99.2720                 NaN            NaN            NaN  0.714877       0.130800E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        500.000        99.2919                 NaN            NaN            NaN  0.695356       0.127388E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        500.000        99.2475                 NaN            NaN            NaN  0.739042       0.134930E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        500.000        99.3144                 NaN            NaN            NaN  0.673332       0.123053E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        500.000        99.2824                 NaN            NaN            NaN  0.704769       0.128386E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        500.000        98.4311                 NaN            NaN            NaN  0.272951                 NaN            NaN   1.29591                 NaN            NaN            NaN            NaN            NaN
  1606.52        500.000        98.1484                 NaN            NaN            NaN  0.112840                 NaN            NaN   1.73872                 NaN            NaN            NaN            NaN            NaN
  1604.01        500.000        98.1695                 NaN            NaN            NaN  0.107924                 NaN            NaN   1.72255                 NaN            NaN            NaN            NaN            NaN
  1601.50        500.000        98.2141                 NaN            NaN            NaN  0.101910                 NaN            NaN   1.68404                 NaN            NaN            NaN            NaN            NaN
  1599.00        500.000        98.2591                 NaN            NaN            NaN  0.100033                 NaN            NaN   1.64086                 NaN            NaN            NaN            NaN            NaN
  1596.49        500.000        98.2765                 NaN            NaN            NaN  0.960605E-001            NaN            NaN   1.62744                 NaN            NaN            NaN            NaN            NaN
  1593.98        500.000        98.3015                 NaN            NaN            NaN  0.888961E-001            NaN            NaN   1.60965                 NaN            NaN            NaN            NaN            NaN
  1591.48        500.000        98.3423                 NaN            NaN            NaN  0.890617E-001            NaN            NaN   1.56861                 NaN            NaN            NaN            NaN            NaN
  1588.97        500.000        98.3695                 NaN            NaN            NaN  0.851997E-001            NaN            NaN   1.54528                 NaN            NaN            NaN            NaN            NaN
  1586.47        500.000        98.2879                 NaN            NaN            NaN  0.866194E-001            NaN            NaN   1.62545                 NaN            NaN            NaN            NaN            NaN
  1583.96        500.000        98.5274                 NaN            NaN            NaN  0.750190E-001            NaN            NaN   1.39755                 NaN            NaN            NaN            NaN            NaN
  1581.45        500.000        98.4502                 NaN            NaN            NaN  0.745157E-001            NaN            NaN   1.47529                 NaN            NaN            NaN            NaN            NaN
  1578.95        500.000        98.4733                 NaN            NaN            NaN  0.711948E-001            NaN            NaN   1.45547                 NaN            NaN            NaN            NaN            NaN
  1576.44        500.000        98.2324                 NaN            NaN            NaN  0.707372E-001            NaN            NaN   1.69690                 NaN            NaN            NaN            NaN            NaN
  1573.93        500.000        98.7803                 NaN            NaN            NaN  0.558127E-001            NaN            NaN   1.16389                 NaN            NaN            NaN            NaN            NaN
  1571.43        500.000        98.5422                 NaN            NaN            NaN  0.599464E-001            NaN            NaN   1.39787                 NaN            NaN            NaN            NaN            NaN
  1568.92        500.000        98.5686                 NaN            NaN            NaN  0.597709E-001            NaN            NaN   1.37162                 NaN            NaN            NaN            NaN            NaN
  1566.42        500.000        98.5899                 NaN            NaN            NaN  0.597267E-001            NaN            NaN   1.35038                 NaN            NaN            NaN            NaN            NaN
  1563.91        500.000        98.6066                 NaN            NaN            NaN  0.504194E-001            NaN            NaN   1.34299                 NaN            NaN            NaN            NaN            NaN
  1561.40        500.000        98.6342                 NaN            NaN            NaN  0.518201E-001            NaN            NaN   1.31395                 NaN            NaN            NaN            NaN            NaN
  1558.90        500.000        98.6518                 NaN            NaN            NaN  0.464823E-001            NaN            NaN   1.30173                 NaN            NaN            NaN            NaN            NaN
  1556.39        500.000        98.6673                 NaN            NaN            NaN  0.416958E-001            NaN            NaN   1.29104                 NaN            NaN            NaN            NaN            NaN
  1553.88        500.000        99.0528                 NaN            NaN            NaN  0.310887E-001            NaN            NaN  0.916124                 NaN            NaN            NaN            NaN            NaN
  1551.38        500.000        98.3359                 NaN            NaN            NaN  0.434119E-001            NaN            NaN   1.62066                 NaN            NaN            NaN            NaN            NaN
  1548.87        500.000        98.7148                 NaN            NaN            NaN  0.330602E-001            NaN            NaN   1.25209                 NaN            NaN            NaN            NaN            NaN
  1546.37        500.000        98.7476                 NaN            NaN            NaN  0.282909E-001            NaN            NaN   1.22410                 NaN            NaN            NaN            NaN            NaN
  1543.86        500.000        98.7588                 NaN            NaN            NaN  0.274430E-001            NaN            NaN   1.21372                 NaN            NaN            NaN            NaN            NaN
  1541.35        500.000        98.7755                 NaN            NaN            NaN  0.262228E-001            NaN            NaN   1.19829                 NaN            NaN            NaN            NaN            NaN
  1538.85        500.000        98.7921                 NaN            NaN            NaN  0.388398E-001            NaN            NaN   1.16910                 NaN            NaN            NaN            NaN            NaN
  1536.34        500.000        98.8055                 NaN            NaN            NaN  0.701010E-002            NaN            NaN   1.18753                 NaN            NaN            NaN            NaN            NaN
  1533.83        500.000        98.8209                 NaN            NaN            NaN  0.127175E-001            NaN            NaN   1.16636                 NaN            NaN            NaN            NaN            NaN
  1531.33        500.000        98.8326                 NaN            NaN            NaN  0.832841E-002            NaN            NaN   1.15904                 NaN            NaN            NaN            NaN            NaN
  1528.82        500.000        98.8479                 NaN            NaN            NaN  0.662163E-002            NaN            NaN   1.14543                 NaN            NaN            NaN            NaN            NaN
  1526.32        500.000        98.8622                 NaN            NaN            NaN  0.647894E-002            NaN            NaN   1.13134                 NaN            NaN            NaN            NaN            NaN
  1523.81        500.000        98.8763                 NaN            NaN            NaN  0.540953E-002            NaN            NaN   1.11825                 NaN            NaN            NaN            NaN            NaN
  1521.30        500.000        98.8932                 NaN            NaN            NaN  0.341206E-001            NaN            NaN   1.07263                 NaN            NaN            NaN            NaN            NaN
  1518.80        500.000        98.9051                 NaN            NaN            NaN  0.178255E-001            NaN            NaN   1.07703                 NaN            NaN            NaN            NaN            NaN
  1516.29        500.000        98.9152                 NaN            NaN            NaN            NaN            NaN            NaN   1.08482                 NaN            NaN            NaN            NaN            NaN
  1513.78        500.000        98.9813                 NaN            NaN            NaN  0.174658                 NaN            NaN  0.844082                 NaN            NaN            NaN            NaN            NaN
  1511.28        500.000        98.9094                 NaN            NaN            NaN            NaN            NaN            NaN   1.09063                 NaN            NaN            NaN            NaN            NaN
  1508.77        500.000        98.9492                 NaN            NaN            NaN            NaN            NaN            NaN   1.05078                 NaN            NaN            NaN            NaN            NaN
  1506.27        500.000        98.9639                 NaN            NaN            NaN            NaN            NaN            NaN   1.03606                 NaN            NaN            NaN            NaN            NaN
  1503.76        500.000        98.9736                 NaN            NaN            NaN            NaN            NaN            NaN   1.02642                 NaN            NaN            NaN            NaN            NaN
