|6.6.6
Archiving\03_Data\DeqfracLP/QFM_m3.75/K22/K22_3.tab                   
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        San(TH)        ilm            q             
  1447.64        500.000        99.1983                 NaN            NaN            NaN  0.484471       0.317237                 NaN            NaN            NaN            NaN            NaN            NaN
  1446.14        500.000        99.2049                 NaN            NaN            NaN  0.481134       0.313942                 NaN            NaN            NaN            NaN            NaN            NaN
  1444.64        500.000        99.2148                 NaN            NaN            NaN  0.475174       0.310047                 NaN            NaN            NaN            NaN            NaN            NaN
  1443.14        500.000        99.2221                 NaN            NaN            NaN  0.306381       0.471501                 NaN            NaN            NaN            NaN            NaN            NaN
  1441.63        500.000        97.7054                 NaN            NaN            NaN  0.917828       0.684875                 NaN  0.691860                 NaN            NaN            NaN            NaN
  1440.13        500.000        97.4106                 NaN            NaN            NaN  0.717637        1.03562                 NaN  0.836133                 NaN            NaN            NaN            NaN
  1438.63        500.000        97.4841                 NaN            NaN            NaN   1.00570       0.697139                 NaN  0.813074                 NaN            NaN            NaN            NaN
  1437.13        500.000        97.5515                 NaN            NaN            NaN  0.977787       0.678569                 NaN  0.792178                 NaN            NaN            NaN            NaN
  1435.63        500.000        97.6142                 NaN            NaN            NaN  0.661446       0.951834                 NaN  0.772551                 NaN            NaN            NaN            NaN
  1434.12        500.000        97.6738                 NaN            NaN            NaN  0.927205       0.645321                 NaN  0.753646                 NaN            NaN            NaN            NaN
  1432.62        500.000        97.7368                 NaN            NaN            NaN  0.901512       0.627516                 NaN  0.734166                 NaN            NaN            NaN            NaN
  1431.12        500.000        97.7896                 NaN            NaN            NaN  0.613517       0.879187                 NaN  0.717734                 NaN            NaN            NaN            NaN
  1429.62        500.000        97.8474                 NaN            NaN            NaN  0.596984       0.856177                 NaN  0.699393                 NaN            NaN            NaN            NaN
  1428.11        500.000        97.8987                 NaN            NaN            NaN  0.582951       0.834966                 NaN  0.683398                 NaN            NaN            NaN            NaN
  1426.61        500.000        97.9473                 NaN            NaN            NaN  0.814887       0.569823                 NaN  0.667971                 NaN            NaN            NaN            NaN
  1425.11        500.000        97.9967                 NaN            NaN            NaN  0.795009       0.555949                 NaN  0.652352                 NaN            NaN            NaN            NaN
  1423.61        500.000        98.0415                 NaN            NaN            NaN  0.776849       0.543105                 NaN  0.638543                 NaN            NaN            NaN            NaN
  1422.11        500.000        98.0872                 NaN            NaN            NaN  0.531031       0.757911                 NaN  0.623893                 NaN            NaN            NaN            NaN
  1420.60        500.000        98.1291                 NaN            NaN            NaN  0.519111       0.741190                 NaN  0.610621                 NaN            NaN            NaN            NaN
  1419.10        500.000        98.1709                 NaN            NaN            NaN  0.507175       0.724636                 NaN  0.597308                 NaN            NaN            NaN            NaN
  1417.60        500.000        98.2116                 NaN            NaN            NaN  0.495751       0.708265                 NaN  0.584349                 NaN            NaN            NaN            NaN
  1416.10        500.000        98.2478                 NaN            NaN            NaN  0.693602       0.485718                 NaN  0.572888                 NaN            NaN            NaN            NaN
  1414.59        500.000        98.2871                 NaN            NaN            NaN  0.677779       0.474610                 NaN  0.560467                 NaN            NaN            NaN            NaN
  1413.09        500.000        98.3222                 NaN            NaN            NaN  0.663932       0.464691                 NaN  0.549226                 NaN            NaN            NaN            NaN
  1411.59        500.000        98.3573                 NaN            NaN            NaN  0.649981       0.454668                 NaN  0.538040                 NaN            NaN            NaN            NaN
  1410.09        500.000        98.3895                 NaN            NaN            NaN  0.636939       0.445745                 NaN  0.527782                 NaN            NaN            NaN            NaN
  1408.59        500.000        98.4231                 NaN            NaN            NaN  0.623890       0.436013                 NaN  0.516974                 NaN            NaN            NaN            NaN
  1407.08        500.000        98.4539                 NaN            NaN            NaN  0.427576       0.611668                 NaN  0.506900                 NaN            NaN            NaN            NaN
  1405.58        500.000        98.4844                 NaN            NaN            NaN  0.599485       0.418797                 NaN  0.497297                 NaN            NaN            NaN            NaN
  1404.08        500.000        98.5141                 NaN            NaN            NaN  0.588005       0.410036                 NaN  0.487829                 NaN            NaN            NaN            NaN
  1402.58        500.000        98.5423                 NaN            NaN            NaN  0.576571       0.402401                 NaN  0.478679                 NaN            NaN            NaN            NaN
  1401.08        500.000        98.5697                 NaN            NaN            NaN  0.394319       0.566077                 NaN  0.469881                 NaN            NaN            NaN            NaN
  1399.57        500.000        98.5911                 NaN            NaN            NaN  0.389343       0.556569                 NaN  0.463009                 NaN            NaN            NaN            NaN
  1398.07        500.000        98.6276                 NaN            NaN            NaN  0.377127       0.544398                 NaN  0.450890                 NaN            NaN            NaN            NaN
  1396.57        500.000        98.6482                 NaN            NaN            NaN  0.535321       0.371930                 NaN  0.444503                 NaN            NaN            NaN            NaN
  1395.07        500.000        98.6733                 NaN            NaN            NaN  0.525633       0.364726                 NaN  0.436380                 NaN            NaN            NaN            NaN
  1393.56        500.000        98.6958                 NaN            NaN            NaN  0.358148       0.516942                 NaN  0.429105                 NaN            NaN            NaN            NaN
  1392.06        500.000        98.7201                 NaN            NaN            NaN  0.507207       0.351516                 NaN  0.421155                 NaN            NaN            NaN            NaN
  1390.56        500.000        98.7422                 NaN            NaN            NaN  0.499018       0.344801                 NaN  0.413944                 NaN            NaN            NaN            NaN
  1389.06        500.000        98.7641                 NaN            NaN            NaN  0.490796       0.338199                 NaN  0.406903                 NaN            NaN            NaN            NaN
  1387.56        500.000        98.7844                 NaN            NaN            NaN  0.482214       0.333254                 NaN  0.400164                 NaN            NaN            NaN            NaN
  1386.05        500.000        98.8044                 NaN            NaN            NaN  0.475524       0.326351                 NaN  0.393677                 NaN            NaN            NaN            NaN
  1384.55        500.000        98.8266                 NaN            NaN            NaN  0.320221       0.466867                 NaN  0.386294                 NaN            NaN            NaN            NaN
  1383.05        500.000        98.8460                 NaN            NaN            NaN  0.459450       0.314473                 NaN  0.380111                 NaN            NaN            NaN            NaN
  1381.55        500.000        98.8645                 NaN            NaN            NaN  0.308834       0.452669                 NaN  0.373999                 NaN            NaN            NaN            NaN
  1380.05        500.000        98.8838                 NaN            NaN            NaN  0.445155       0.303289                 NaN  0.367785                 NaN            NaN            NaN            NaN
  1378.54        500.000        98.9012                 NaN            NaN            NaN  0.298131       0.438599                 NaN  0.362053                 NaN            NaN            NaN            NaN
  1377.04        500.000        98.9196                 NaN            NaN            NaN  0.431462       0.292953                 NaN  0.355973                 NaN            NaN            NaN            NaN
  1375.54        500.000        98.9367                 NaN            NaN            NaN  0.425274       0.287677                 NaN  0.350387                 NaN            NaN            NaN            NaN
  1374.04        500.000        98.9534                 NaN            NaN            NaN  0.282842       0.418907                 NaN  0.344818                 NaN            NaN            NaN            NaN
  1372.53        500.000        98.9692                 NaN            NaN            NaN  0.413040       0.278108                 NaN  0.339695                 NaN            NaN            NaN            NaN
  1371.03        500.000        98.9853                 NaN            NaN            NaN  0.407029       0.273445                 NaN  0.334268                 NaN            NaN            NaN            NaN
  1369.53        500.000        99.0012                 NaN            NaN            NaN  0.401130       0.268683                 NaN  0.328988                 NaN            NaN            NaN            NaN
  1368.03        500.000        99.0160                 NaN            NaN            NaN  0.264195       0.395619                 NaN  0.324166                 NaN            NaN            NaN            NaN
  1366.53        500.000        99.0314                 NaN            NaN            NaN  0.259901       0.389756                 NaN  0.318953                 NaN            NaN            NaN            NaN
  1365.02        500.000        99.0461                 NaN            NaN            NaN  0.255350       0.384454                 NaN  0.314093                 NaN            NaN            NaN            NaN
  1363.52        500.000        99.0598                 NaN            NaN            NaN  0.251091       0.379478                 NaN  0.309623                 NaN            NaN            NaN            NaN
  1362.02        500.000        99.0719                 NaN            NaN            NaN  0.375093       0.247455                 NaN  0.305517                 NaN            NaN            NaN            NaN
  1360.52        500.000        99.0888                 NaN            NaN            NaN  0.242471       0.368888                 NaN  0.299869                 NaN            NaN            NaN            NaN
  1359.02        500.000        99.1000                 NaN            NaN            NaN  0.364935       0.238771                 NaN  0.296253                 NaN            NaN            NaN            NaN
  1357.51        500.000        99.1140                 NaN            NaN            NaN  0.234748       0.359721                 NaN  0.291526                 NaN            NaN            NaN            NaN
  1356.01        500.000        99.1262                 NaN            NaN            NaN  0.231167       0.355146                 NaN  0.287458                 NaN            NaN            NaN            NaN
  1354.51        500.000        99.1380                 NaN            NaN            NaN  0.350933       0.227490                 NaN  0.283549                 NaN            NaN            NaN            NaN
  1353.01        500.000        99.1504                 NaN            NaN            NaN  0.346481       0.223774                 NaN  0.279381                 NaN            NaN            NaN            NaN
  1351.50        500.000        99.1629                 NaN            NaN            NaN  0.341844       0.220119                 NaN  0.275163                 NaN            NaN            NaN            NaN
  1350.00        500.000        99.1737                 NaN            NaN            NaN  0.216614       0.338136                 NaN  0.271583                 NaN            NaN            NaN            NaN
  1348.50        500.000        99.1841                 NaN            NaN            NaN  0.213795       0.334075                 NaN  0.268025                 NaN            NaN            NaN            NaN
  1347.00        500.000        99.1966                 NaN            NaN            NaN  0.329801       0.209687                 NaN  0.263909                 NaN            NaN            NaN            NaN
  1345.50        500.000        99.2078                 NaN            NaN            NaN  0.206229       0.325804                 NaN  0.260212                 NaN            NaN            NaN            NaN
  1343.99        500.000        99.2184                 NaN            NaN            NaN  0.202948       0.322093                 NaN  0.256569                 NaN            NaN            NaN            NaN
  1342.49        500.000        99.2283                 NaN            NaN            NaN  0.200091       0.318326                 NaN  0.253268                 NaN            NaN            NaN            NaN
  1340.99        500.000        99.2382                 NaN            NaN            NaN  0.314989       0.196873                 NaN  0.249943                 NaN            NaN            NaN            NaN
  1339.49        500.000        99.2482                 NaN            NaN            NaN  0.311489       0.193782                 NaN  0.246509                 NaN            NaN            NaN            NaN
  1337.98        500.000        99.2577                 NaN            NaN            NaN  0.308361       0.190538                 NaN  0.243431                 NaN            NaN            NaN            NaN
  1336.48        500.000        99.2682                 NaN            NaN            NaN  0.304612       0.187378                 NaN  0.239821                 NaN            NaN            NaN            NaN
  1334.98        500.000        99.2774                 NaN            NaN            NaN  0.300980       0.184802                 NaN  0.236831                 NaN            NaN            NaN            NaN
  1333.48        500.000        99.2869                 NaN            NaN            NaN  0.181750       0.297863                 NaN  0.233497                 NaN            NaN            NaN            NaN
  1331.98        500.000        99.2955                 NaN            NaN            NaN  0.294904       0.178955                 NaN  0.230650                 NaN            NaN            NaN            NaN
  1330.47        500.000        99.3047                 NaN            NaN            NaN  0.291756       0.175943                 NaN  0.227591                 NaN            NaN            NaN            NaN
  1328.97        500.000        99.3127                 NaN            NaN            NaN  0.289120       0.173345                 NaN  0.224835                 NaN            NaN            NaN            NaN
  1327.47        500.000        99.3219                 NaN            NaN            NaN  0.285768       0.170600                 NaN  0.221694                 NaN            NaN            NaN            NaN
  1325.97        500.000        99.3299                 NaN            NaN            NaN  0.168133       0.282955                 NaN  0.219023                 NaN            NaN            NaN            NaN
  1324.47        500.000        99.3387                 NaN            NaN            NaN  0.280072       0.165110                 NaN  0.216157                 NaN            NaN            NaN            NaN
  1322.96        500.000        99.3465                 NaN            NaN            NaN  0.277420       0.162626                 NaN  0.213455                 NaN            NaN            NaN            NaN
  1321.46        500.000        99.3539                 NaN            NaN            NaN  0.274806       0.160388                 NaN  0.210872                 NaN            NaN            NaN            NaN
  1319.96        500.000        99.3615                 NaN            NaN            NaN  0.158084       0.272025                 NaN  0.208360                 NaN            NaN            NaN            NaN
  1318.46        500.000        99.3700                 NaN            NaN            NaN  0.155067       0.269435                 NaN  0.205483                 NaN            NaN            NaN            NaN
  1316.95        500.000        99.3772                 NaN            NaN            NaN  0.152639       0.267093                 NaN  0.203078                 NaN            NaN            NaN            NaN
  1315.45        500.000        99.3848                 NaN            NaN            NaN  0.264514       0.150173                 NaN  0.200500                 NaN            NaN            NaN            NaN
  1313.95        500.000        99.3917                 NaN            NaN            NaN  0.147987       0.262190                 NaN  0.198105                 NaN            NaN            NaN            NaN
  1312.45        500.000        99.3985                 NaN            NaN            NaN  0.145631       0.260010                 NaN  0.195877                 NaN            NaN            NaN            NaN
  1310.95        500.000        99.4062                 NaN            NaN            NaN  0.143363       0.257190                 NaN  0.193229                 NaN            NaN            NaN            NaN
  1309.44        500.000        99.4127                 NaN            NaN            NaN  0.141076       0.255205                 NaN  0.191052                 NaN            NaN            NaN            NaN
  1307.94        500.000        99.4192                 NaN            NaN            NaN  0.253032       0.138935                 NaN  0.188823                 NaN            NaN            NaN            NaN
  1306.44        500.000        99.4262                 NaN            NaN            NaN  0.250649       0.136652                 NaN  0.186504                 NaN            NaN            NaN            NaN
  1304.94        500.000        99.4326                 NaN            NaN            NaN  0.134456       0.248632                 NaN  0.184335                 NaN            NaN            NaN            NaN
  1303.44        500.000        99.4388                 NaN            NaN            NaN  0.246616       0.132382                 NaN  0.182243                 NaN            NaN            NaN            NaN
  1301.93        500.000        99.4456                 NaN            NaN            NaN  0.130328       0.244079                 NaN  0.179971                 NaN            NaN            NaN            NaN
  1300.43        500.000        99.4516                 NaN            NaN            NaN  0.128201       0.242376                 NaN  0.177819                 NaN            NaN            NaN            NaN
  1298.93        500.000        99.4576                 NaN            NaN            NaN  0.240400       0.126116                 NaN  0.175874                 NaN            NaN            NaN            NaN
  1297.43        500.000        99.4636                 NaN            NaN            NaN  0.238290       0.124247                 NaN  0.173830                 NaN            NaN            NaN            NaN
  1295.92        500.000        99.4691                 NaN            NaN            NaN  0.237003       0.121872                 NaN  0.172019                 NaN            NaN            NaN            NaN
  1294.42        500.000        99.4754                 NaN            NaN            NaN  0.119614       0.235111                 NaN  0.169903                 NaN            NaN            NaN            NaN
  1292.92        500.000        99.4811                 NaN            NaN            NaN  0.232523       0.118415                 NaN  0.167983                 NaN            NaN            NaN            NaN
  1291.42        500.000        99.6189                 NaN            NaN  0.466582E-003  0.240861                 NaN            NaN  0.139759                 NaN            NaN            NaN            NaN
  1289.92        500.000        99.0572                 NaN            NaN            NaN  0.599991       0.838037E-001            NaN  0.259021                 NaN            NaN            NaN            NaN
  1288.41        500.000        99.5130                 NaN            NaN            NaN  0.221300       0.109176                 NaN  0.156507                 NaN            NaN            NaN            NaN
  1286.91        500.000        99.5243                 NaN            NaN            NaN  0.105345       0.217046                 NaN  0.153341                 NaN            NaN            NaN            NaN
  1285.41        500.000        99.5336                 NaN            NaN            NaN  0.213614       0.101937                 NaN  0.150825                 NaN            NaN            NaN            NaN
  1283.91        500.000        99.5431                 NaN            NaN            NaN  0.986389E-001  0.210111                 NaN  0.148166                 NaN            NaN            NaN            NaN
  1282.41        500.000        99.5500                 NaN            NaN            NaN  0.956981E-001  0.207832                 NaN  0.146429                 NaN            NaN            NaN            NaN
