|6.6.6
Archiving\03_Data\DeqfracLP/QFM_m3.75/K22/K22_1.tab                   
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        San(TH)        ilm            q             
  1567.81        500.000        99.1939                 NaN  0.785663       0.204310E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.31        500.000        99.1991                 NaN  0.796158       0.471203E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.81        500.000        99.2072                 NaN  0.781318       0.114777E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.31        500.000        99.2166                 NaN  0.756903       0.264766E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.81        500.000        99.2231                 NaN  0.756364       0.205756E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.30        500.000        99.2303                 NaN  0.744142       0.255310E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.80        500.000        99.2346                 NaN  0.765441                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.30        500.000        99.2403                 NaN  0.759732                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.80        500.000        99.2506                 NaN  0.722450       0.269440E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.30        500.000        99.2543                 NaN  0.745636       0.364417E-004            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.79        500.000        99.2629                 NaN  0.713992       0.231480E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.29        500.000        99.1927                 NaN  0.747294       0.600035E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.79        500.000        99.3545                 NaN  0.645546                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.29        500.000        99.2785                 NaN  0.721495                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.78        500.000        99.2844                 NaN  0.715583       0.166915E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.28        500.000        99.2898                 NaN  0.710229       0.198935E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.78        500.000        99.2968                 NaN  0.703186                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.28        500.000        99.3022                 NaN  0.697777                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.78        500.000        99.3091                 NaN  0.690892                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.27        500.000        99.3132                 NaN  0.686755                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.77        500.000        99.3188                 NaN  0.681219                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.27        500.000        99.3377                 NaN  0.564602       0.977337E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.77        500.000        99.3315                 NaN  0.668479                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.27        500.000        99.3355                 NaN  0.664485                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.76        500.000        99.3395                 NaN  0.660171       0.323676E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.26        500.000        99.3451                 NaN  0.654918                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.76        500.000        99.3486                 NaN  0.651392                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.26        500.000        99.3472                 NaN  0.652803                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.75        500.000        99.3688                 NaN  0.631237                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.25        500.000        99.3631                 NaN  0.636847       0.821456E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.75        500.000        99.3688                 NaN  0.631209                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.25        500.000        99.3530                 NaN  0.647035                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.75        500.000        99.4099                 NaN  0.590138                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.24        500.000        99.3627                 NaN  0.637319                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.74        500.000        99.3860                 NaN  0.613971                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.24        500.000        99.3915                 NaN  0.608451                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.74        500.000        99.3964                 NaN  0.603555                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.23        500.000        99.3988                 NaN  0.601150                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.73        500.000        99.4023                 NaN  0.597677                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.23        500.000        99.4085                 NaN  0.591532                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.73        500.000        99.4101                 NaN  0.589933                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.23        500.000        99.4123                 NaN  0.587750                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.72        500.000        99.4142                 NaN  0.568708                 NaN  0.171096E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.22        500.000        99.3360                 NaN  0.212184                 NaN  0.451839                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.72        500.000        99.3621                 NaN  0.793314E-001            NaN  0.558583                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.22        500.000        99.2119                 NaN  0.154426                 NaN  0.633719                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.72        500.000        99.2856                 NaN            NaN            NaN  0.714413                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.21        500.000        99.2655                 NaN  0.164638                 NaN  0.569831                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.71        500.000        99.3112                 NaN            NaN            NaN  0.688770                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.21        500.000        99.2945                 NaN            NaN            NaN  0.705457                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1492.71        500.000        99.2904                 NaN            NaN            NaN  0.709576                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.20        500.000        99.1348                 NaN            NaN            NaN  0.865169                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.70        500.000        99.5878                 NaN  0.277381E-002            NaN  0.409462                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1488.20        500.000        99.1395                 NaN            NaN            NaN  0.860517                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.70        500.000        99.2812                 NaN            NaN            NaN  0.718826                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.20        500.000        99.2882                 NaN            NaN            NaN  0.711820                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.69        500.000        99.2776                 NaN            NaN            NaN  0.722382                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.19        500.000        99.2751                 NaN            NaN            NaN  0.724939                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1480.69        500.000        98.9444                 NaN            NaN            NaN  0.493176       0.562392                 NaN            NaN            NaN            NaN            NaN            NaN
  1479.19        500.000        98.8151                 NaN            NaN            NaN  0.486101       0.698833                 NaN            NaN            NaN            NaN            NaN            NaN
  1477.69        500.000        98.8265                 NaN            NaN            NaN  0.692569       0.480889                 NaN            NaN            NaN            NaN            NaN            NaN
  1476.18        500.000        98.8416                 NaN            NaN            NaN  0.684551       0.473801                 NaN            NaN            NaN            NaN            NaN            NaN
  1474.68        500.000        98.8570                 NaN            NaN            NaN  0.676127       0.466849                 NaN            NaN            NaN            NaN            NaN            NaN
  1473.18        500.000        98.8709                 NaN            NaN            NaN  0.668463       0.460659                 NaN            NaN            NaN            NaN            NaN            NaN
  1471.68        500.000        98.8814                 NaN            NaN            NaN  0.456024       0.662550                 NaN            NaN            NaN            NaN            NaN            NaN
  1470.17        500.000        98.8930                 NaN            NaN            NaN  0.656397       0.450631                 NaN            NaN            NaN            NaN            NaN            NaN
  1468.67        500.000        98.9058                 NaN            NaN            NaN  0.649405       0.444826                 NaN            NaN            NaN            NaN            NaN            NaN
  1467.17        500.000        98.9200                 NaN            NaN            NaN  0.438358       0.641639                 NaN            NaN            NaN            NaN            NaN            NaN
  1465.67        500.000        99.1618                 NaN            NaN            NaN  0.498963       0.339220                 NaN            NaN            NaN            NaN            NaN            NaN
  1464.17        500.000        98.7070                 NaN            NaN            NaN  0.770053       0.522959                 NaN            NaN            NaN            NaN            NaN            NaN
  1462.66        500.000        98.9542                 NaN            NaN            NaN  0.623660       0.422143                 NaN            NaN            NaN            NaN            NaN            NaN
  1461.16        500.000        98.9637                 NaN            NaN            NaN  0.417531       0.618723                 NaN            NaN            NaN            NaN            NaN            NaN
  1459.66        500.000        98.9733                 NaN            NaN            NaN  0.613052       0.413690                 NaN            NaN            NaN            NaN            NaN            NaN
  1458.16        500.000        98.9850                 NaN            NaN            NaN  0.407718       0.607276                 NaN            NaN            NaN            NaN            NaN            NaN
  1456.66        500.000        98.9978                 NaN            NaN            NaN  0.599912       0.402280                 NaN            NaN            NaN            NaN            NaN            NaN
  1455.15        500.000        99.0064                 NaN            NaN            NaN  0.398164       0.595457                 NaN            NaN            NaN            NaN            NaN            NaN
  1453.65        500.000        99.0160                 NaN            NaN            NaN  0.590501       0.393492                 NaN            NaN            NaN            NaN            NaN            NaN
  1452.15        500.000        99.0244                 NaN            NaN            NaN  0.585457       0.390126                 NaN            NaN            NaN            NaN            NaN            NaN
  1450.65        500.000        99.0410                 NaN            NaN            NaN  0.382433       0.576608                 NaN            NaN            NaN            NaN            NaN            NaN
  1449.14        500.000        99.0450                 NaN            NaN            NaN  0.574188       0.380801                 NaN            NaN            NaN            NaN            NaN            NaN
  1447.64        500.000        99.0568                 NaN            NaN            NaN  0.568214       0.374973                 NaN            NaN            NaN            NaN            NaN            NaN
  1446.14        500.000        99.0641                 NaN            NaN            NaN  0.564583       0.371267                 NaN            NaN            NaN            NaN            NaN            NaN
  1444.64        500.000        99.0752                 NaN            NaN            NaN  0.557893       0.366939                 NaN            NaN            NaN            NaN            NaN            NaN
  1443.14        500.000        99.0832                 NaN            NaN            NaN  0.362866       0.553894                 NaN            NaN            NaN            NaN            NaN            NaN
  1441.63        500.000        97.4295                 NaN            NaN            NaN   1.08680       0.804202                 NaN  0.679471                 NaN            NaN            NaN            NaN
  1440.13        500.000        97.1078                 NaN            NaN            NaN  0.843329        1.22746                 NaN  0.821450                 NaN            NaN            NaN            NaN
  1438.63        500.000        97.1868                 NaN            NaN            NaN   1.19369       0.820152                 NaN  0.799362                 NaN            NaN            NaN            NaN
  1437.13        500.000        97.2593                 NaN            NaN            NaN   1.16213       0.799197                 NaN  0.779372                 NaN            NaN            NaN            NaN
  1435.63        500.000        97.3266                 NaN            NaN            NaN  0.779927        1.13292                 NaN  0.760606                 NaN            NaN            NaN            NaN
  1434.12        500.000        97.3906                 NaN            NaN            NaN   1.10515       0.761729                 NaN  0.742530                 NaN            NaN            NaN            NaN
  1432.62        500.000        97.4585                 NaN            NaN            NaN   1.07597       0.741635                 NaN  0.723867                 NaN            NaN            NaN            NaN
  1431.12        500.000        97.5151                 NaN            NaN            NaN  0.725949        1.05079                 NaN  0.708184                 NaN            NaN            NaN            NaN
  1429.62        500.000        97.5777                 NaN            NaN            NaN  0.707117        1.02459                 NaN  0.690602                 NaN            NaN            NaN            NaN
  1428.11        500.000        97.6327                 NaN            NaN            NaN  0.691331        1.00067                 NaN  0.675310                 NaN            NaN            NaN            NaN
  1426.61        500.000        97.6849                 NaN            NaN            NaN  0.977981       0.676547                 NaN  0.660559                 NaN            NaN            NaN            NaN
  1425.11        500.000        97.7382                 NaN            NaN            NaN  0.955398       0.660821                 NaN  0.645602                 NaN            NaN            NaN            NaN
  1423.61        500.000        97.7864                 NaN            NaN            NaN  0.934899       0.646267                 NaN  0.632416                 NaN            NaN            NaN            NaN
  1422.11        500.000        97.8356                 NaN            NaN            NaN  0.632701       0.913335                 NaN  0.618378                 NaN            NaN            NaN            NaN
  1420.60        500.000        97.8807                 NaN            NaN            NaN  0.619199       0.894452                 NaN  0.605688                 NaN            NaN            NaN            NaN
  1419.10        500.000        97.9257                 NaN            NaN            NaN  0.605655       0.875671                 NaN  0.592941                 NaN            NaN            NaN            NaN
  1417.60        500.000        97.9697                 NaN            NaN            NaN  0.592713       0.857027                 NaN  0.580527                 NaN            NaN            NaN            NaN
  1416.10        500.000        98.0085                 NaN            NaN            NaN  0.840482       0.581418                 NaN  0.569584                 NaN            NaN            NaN            NaN
  1414.59        500.000        98.0512                 NaN            NaN            NaN  0.822372       0.568766                 NaN  0.557672                 NaN            NaN            NaN            NaN
  1413.09        500.000        98.0887                 NaN            NaN            NaN  0.806778       0.557571                 NaN  0.546915                 NaN            NaN            NaN            NaN
  1411.59        500.000        98.1268                 NaN            NaN            NaN  0.790848       0.546158                 NaN  0.536200                 NaN            NaN            NaN            NaN
  1410.09        500.000        98.1614                 NaN            NaN            NaN  0.776078       0.536089                 NaN  0.526393                 NaN            NaN            NaN            NaN
  1408.59        500.000        98.1979                 NaN            NaN            NaN  0.761132       0.524959                 NaN  0.516024                 NaN            NaN            NaN            NaN
  1407.08        500.000        98.2309                 NaN            NaN            NaN  0.515445       0.747320                 NaN  0.506371                 NaN            NaN            NaN            NaN
  1405.58        500.000        98.2640                 NaN            NaN            NaN  0.733400       0.505421                 NaN  0.497176                 NaN            NaN            NaN            NaN
  1404.08        500.000        98.2961                 NaN            NaN            NaN  0.720338       0.495457                 NaN  0.488101                 NaN            NaN            NaN            NaN
  1402.58        500.000        98.3266                 NaN            NaN            NaN  0.707278       0.486787                 NaN  0.479331                 NaN            NaN            NaN            NaN
  1401.08        500.000        98.3561                 NaN            NaN            NaN  0.477605       0.695389                 NaN  0.470900                 NaN            NaN            NaN            NaN
  1399.57        500.000        98.3788                 NaN            NaN            NaN  0.472244       0.684613                 NaN  0.464386                 NaN            NaN            NaN            NaN
  1398.07        500.000        98.4191                 NaN            NaN            NaN  0.457828       0.670512                 NaN  0.452603                 NaN            NaN            NaN            NaN
  1396.57        500.000        98.4411                 NaN            NaN            NaN  0.660226       0.452079                 NaN  0.446551                 NaN            NaN            NaN            NaN
  1395.07        500.000        98.4682                 NaN            NaN            NaN  0.649174       0.443832                 NaN  0.438747                 NaN            NaN            NaN            NaN
  1393.56        500.000        98.4925                 NaN            NaN            NaN  0.436364       0.639323                 NaN  0.431783                 NaN            NaN            NaN            NaN
  1392.06        500.000        98.5190                 NaN            NaN            NaN  0.628072       0.428773                 NaN  0.424130                 NaN            NaN            NaN            NaN
  1390.56        500.000        98.5429                 NaN            NaN            NaN  0.618792       0.421078                 NaN  0.417208                 NaN            NaN            NaN            NaN
  1389.06        500.000        98.5666                 NaN            NaN            NaN  0.609413       0.413509                 NaN  0.410447                 NaN            NaN            NaN            NaN
  1387.56        500.000        98.5885                 NaN            NaN            NaN  0.599584       0.407910                 NaN  0.403979                 NaN            NaN            NaN            NaN
  1386.05        500.000        98.6101                 NaN            NaN            NaN  0.592143       0.400038                 NaN  0.397756                 NaN            NaN            NaN            NaN
  1384.55        500.000        98.6344                 NaN            NaN            NaN  0.392950       0.582082                 NaN  0.390618                 NaN            NaN            NaN            NaN
  1383.05        500.000        98.6555                 NaN            NaN            NaN  0.573514       0.386303                 NaN  0.384682                 NaN            NaN            NaN            NaN
  1381.55        500.000        98.6755                 NaN            NaN            NaN  0.379834       0.565844                 NaN  0.378806                 NaN            NaN            NaN            NaN
  1380.05        500.000        98.6966                 NaN            NaN            NaN  0.557161       0.373461                 NaN  0.372820                 NaN            NaN            NaN            NaN
  1378.54        500.000        98.7154                 NaN            NaN            NaN  0.367555       0.549702                 NaN  0.367310                 NaN            NaN            NaN            NaN
  1377.04        500.000        98.7355                 NaN            NaN            NaN  0.541457       0.361592                 NaN  0.361439                 NaN            NaN            NaN            NaN
  1375.54        500.000        98.7540                 NaN            NaN            NaN  0.534405       0.355509                 NaN  0.356061                 NaN            NaN            NaN            NaN
  1374.04        500.000        98.7723                 NaN            NaN            NaN  0.349932       0.527089                 NaN  0.350690                 NaN            NaN            NaN            NaN
  1372.53        500.000        98.7893                 NaN            NaN            NaN  0.520403       0.344500                 NaN  0.345764                 NaN            NaN            NaN            NaN
  1371.03        500.000        98.8068                 NaN            NaN            NaN  0.513514       0.339129                 NaN  0.340520                 NaN            NaN            NaN            NaN
  1369.53        500.000        98.8243                 NaN            NaN            NaN  0.506701       0.333599                 NaN  0.335418                 NaN            NaN            NaN            NaN
  1368.03        500.000        98.8404                 NaN            NaN            NaN  0.328417       0.500372                 NaN  0.330773                 NaN            NaN            NaN            NaN
  1366.53        500.000        98.8573                 NaN            NaN            NaN  0.323421       0.493553                 NaN  0.325723                 NaN            NaN            NaN            NaN
  1365.02        500.000        98.8733                 NaN            NaN            NaN  0.318170       0.487529                 NaN  0.321023                 NaN            NaN            NaN            NaN
  1363.52        500.000        98.8882                 NaN            NaN            NaN  0.313229       0.481832                 NaN  0.316715                 NaN            NaN            NaN            NaN
  1362.02        500.000        98.9012                 NaN            NaN            NaN  0.476921       0.309083                 NaN  0.312771                 NaN            NaN            NaN            NaN
  1360.52        500.000        98.9200                 NaN            NaN            NaN  0.303177       0.469594                 NaN  0.307243                 NaN            NaN            NaN            NaN
  1359.02        500.000        98.9321                 NaN            NaN            NaN  0.465170       0.298915                 NaN  0.303787                 NaN            NaN            NaN            NaN
  1357.51        500.000        98.9475                 NaN            NaN            NaN  0.294234       0.459108                 NaN  0.299186                 NaN            NaN            NaN            NaN
  1356.01        500.000        98.9609                 NaN            NaN            NaN  0.290068       0.453806                 NaN  0.295252                 NaN            NaN            NaN            NaN
  1354.51        500.000        98.9737                 NaN            NaN            NaN  0.448999       0.285780                 NaN  0.291476                 NaN            NaN            NaN            NaN
  1353.01        500.000        98.9872                 NaN            NaN            NaN  0.443857       0.281475                 NaN  0.287427                 NaN            NaN            NaN            NaN
  1351.50        500.000        99.0010                 NaN            NaN            NaN  0.438496       0.277190                 NaN  0.283319                 NaN            NaN            NaN            NaN
  1350.00        500.000        99.0127                 NaN            NaN            NaN  0.273107       0.434290                 NaN  0.279861                 NaN            NaN            NaN            NaN
  1348.50        500.000        99.0240                 NaN            NaN            NaN  0.269894       0.429649                 NaN  0.276420                 NaN            NaN            NaN            NaN
  1347.00        500.000        99.0380                 NaN            NaN            NaN  0.424601       0.264958                 NaN  0.272398                 NaN            NaN            NaN            NaN
  1345.50        500.000        99.0504                 NaN            NaN            NaN  0.260841       0.419967                 NaN  0.268802                 NaN            NaN            NaN            NaN
  1343.99        500.000        99.0620                 NaN            NaN            NaN  0.257059       0.415734                 NaN  0.265254                 NaN            NaN            NaN            NaN
  1342.49        500.000        99.0728                 NaN            NaN            NaN  0.253740       0.411358                 NaN  0.262054                 NaN            NaN            NaN            NaN
  1340.99        500.000        99.0837                 NaN            NaN            NaN  0.407539       0.249929                 NaN  0.258823                 NaN            NaN            NaN            NaN
  1339.49        500.000        99.0947                 NaN            NaN            NaN  0.403549       0.246321                 NaN  0.255475                 NaN            NaN            NaN            NaN
  1337.98        500.000        99.1050                 NaN            NaN            NaN  0.399988       0.242476                 NaN  0.252488                 NaN            NaN            NaN            NaN
  1336.48        500.000        99.1167                 NaN            NaN            NaN  0.395585       0.238721                 NaN  0.248946                 NaN            NaN            NaN            NaN
  1334.98        500.000        99.1270                 NaN            NaN            NaN  0.391272       0.235720                 NaN  0.246041                 NaN            NaN            NaN            NaN
  1333.48        500.000        99.1374                 NaN            NaN            NaN  0.232090       0.387748                 NaN  0.242773                 NaN            NaN            NaN            NaN
  1331.98        500.000        99.1469                 NaN            NaN            NaN  0.384345       0.228773                 NaN  0.240005                 NaN            NaN            NaN            NaN
  1330.47        500.000        99.1572                 NaN            NaN            NaN  0.380664       0.225158                 NaN  0.237013                 NaN            NaN            NaN            NaN
  1328.97        500.000        99.1658                 NaN            NaN            NaN  0.377740       0.222130                 NaN  0.234330                 NaN            NaN            NaN            NaN
  1327.47        500.000        99.1761                 NaN            NaN            NaN  0.373770       0.218848                 NaN  0.231242                 NaN            NaN            NaN            NaN
  1325.97        500.000        99.1849                 NaN            NaN            NaN  0.215931       0.370527                 NaN  0.228639                 NaN            NaN            NaN            NaN
  1324.47        500.000        99.1947                 NaN            NaN            NaN  0.367167       0.212283                 NaN  0.225827                 NaN            NaN            NaN            NaN
  1322.96        500.000        99.2033                 NaN            NaN            NaN  0.364153       0.209324                 NaN  0.223182                 NaN            NaN            NaN            NaN
  1321.46        500.000        99.2115                 NaN            NaN            NaN  0.361145       0.206707                 NaN  0.220656                 NaN            NaN            NaN            NaN
  1319.96        500.000        99.2200                 NaN            NaN            NaN  0.203976       0.357873                 NaN  0.218201                 NaN            NaN            NaN            NaN
  1318.46        500.000        99.2295                 NaN            NaN            NaN  0.200286       0.354871                 NaN  0.215359                 NaN            NaN            NaN            NaN
  1316.95        500.000        99.2374                 NaN            NaN            NaN  0.197371       0.352184                 NaN  0.213006                 NaN            NaN            NaN            NaN
  1315.45        500.000        99.2460                 NaN            NaN            NaN  0.349171       0.194398                 NaN  0.210468                 NaN            NaN            NaN            NaN
  1313.95        500.000        99.2536                 NaN            NaN            NaN  0.191792       0.346504                 NaN  0.208117                 NaN            NaN            NaN            NaN
  1312.45        500.000        99.2611                 NaN            NaN            NaN  0.188957       0.344022                 NaN  0.205938                 NaN            NaN            NaN            NaN
  1310.95        500.000        99.2698                 NaN            NaN            NaN  0.186214       0.340652                 NaN  0.203314                 NaN            NaN            NaN            NaN
  1309.44        500.000        99.2769                 NaN            NaN            NaN  0.183458       0.338416                 NaN  0.201180                 NaN            NaN            NaN            NaN
  1307.94        500.000        99.2842                 NaN            NaN            NaN  0.335900       0.180876                 NaN  0.198988                 NaN            NaN            NaN            NaN
  1306.44        500.000        99.2921                 NaN            NaN            NaN  0.333080       0.178105                 NaN  0.196697                 NaN            NaN            NaN            NaN
  1304.94        500.000        99.2992                 NaN            NaN            NaN  0.175429       0.330771                 NaN  0.194561                 NaN            NaN            NaN            NaN
  1303.44        500.000        99.3061                 NaN            NaN            NaN  0.328461       0.172923                 NaN  0.192501                 NaN            NaN            NaN            NaN
  1301.93        500.000        99.3139                 NaN            NaN            NaN  0.170415       0.325402                 NaN  0.190248                 NaN            NaN            NaN            NaN
  1300.43        500.000        99.3205                 NaN            NaN            NaN  0.167838       0.323509                 NaN  0.188118                 NaN            NaN            NaN            NaN
  1298.93        500.000        99.3273                 NaN            NaN            NaN  0.321185       0.165288                 NaN  0.186203                 NaN            NaN            NaN            NaN
  1297.43        500.000        99.3341                 NaN            NaN            NaN  0.318718       0.163024                 NaN  0.184180                 NaN            NaN            NaN            NaN
  1295.92        500.000        99.3402                 NaN            NaN            NaN  0.317371       0.160077                 NaN  0.182400                 NaN            NaN            NaN            NaN
  1294.42        500.000        99.3472                 NaN            NaN            NaN  0.157291       0.315167                 NaN  0.180294                 NaN            NaN            NaN            NaN
  1292.92        500.000        99.3538                 NaN            NaN            NaN  0.311958       0.155859                 NaN  0.178392                 NaN            NaN            NaN            NaN
  1291.42        500.000        99.5334                 NaN            NaN  0.704700E-003  0.317328                 NaN            NaN  0.148555                 NaN            NaN            NaN            NaN
  1289.92        500.000        98.8080                 NaN            NaN            NaN  0.806258       0.110496                 NaN  0.275278                 NaN            NaN            NaN            NaN
  1288.41        500.000        99.3910                 NaN            NaN            NaN  0.298072       0.144287                 NaN  0.166666                 NaN            NaN            NaN            NaN
  1286.91        500.000        99.4046                 NaN            NaN            NaN  0.139370       0.292624                 NaN  0.163415                 NaN            NaN            NaN            NaN
  1285.41        500.000        99.4159                 NaN            NaN            NaN  0.288234       0.135003                 NaN  0.160850                 NaN            NaN            NaN            NaN
  1283.91        500.000        99.4272                 NaN            NaN            NaN  0.130781       0.283852                 NaN  0.158127                 NaN            NaN            NaN            NaN
  1282.41        500.000        99.4356                 NaN            NaN            NaN  0.126999       0.281011                 NaN  0.156384                 NaN            NaN            NaN            NaN
