|6.6.6
Archiving\03_Data\eqfracLP/QFM_m4.75/GRV/GRV_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        iron           an             ilm            San(TH)        q             
  1523.10        500.000       0.610371E-002   98.5038                 NaN            NaN            NaN  0.431620        1.05850                 NaN            NaN            NaN            NaN            NaN            NaN
  1521.69        500.000       0.594973E-002   98.5312                 NaN            NaN            NaN   1.03776       0.425105                 NaN            NaN            NaN            NaN            NaN            NaN
  1520.27        500.000       0.581081E-002   98.5523                 NaN            NaN            NaN   1.02501       0.416868                 NaN            NaN            NaN            NaN            NaN            NaN
  1518.86        500.000       0.567458E-002   98.5745                 NaN            NaN            NaN   1.01012       0.409693                 NaN            NaN            NaN            NaN            NaN            NaN
  1517.45        500.000       0.554331E-002   98.5958                 NaN            NaN            NaN  0.996273       0.402346                 NaN            NaN            NaN            NaN            NaN            NaN
  1516.03        500.000       0.503901E-002   98.6175                 NaN  0.241234E-001            NaN  0.364213       0.989151                 NaN            NaN            NaN            NaN            NaN            NaN
  1514.62        500.000       0.435305E-003   98.6310                 NaN  0.310886                 NaN   1.05766                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.20        500.000       0.295284E-003   98.6529                 NaN  0.306628                 NaN   1.04018                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.79        500.000       0.226917E-003   98.6731                 NaN  0.299189                 NaN   1.02753                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.38        500.000       0.121727E-003   98.6982                 NaN  0.293260                 NaN   1.00841                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.96        500.000       0.522440E-004   98.7157                 NaN  0.287402                 NaN  0.996887                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.55        500.000       0.197738E-004   98.7370                 NaN  0.283103                 NaN  0.979842                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.13        500.000       0.247720E-004   98.7530                 NaN  0.278520                 NaN  0.968483                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.72        500.000                 NaN   98.7778                 NaN  0.267958                 NaN  0.954214                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.31        500.000                 NaN   98.7911                 NaN  0.261806                 NaN  0.947096                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.89        500.000                 NaN   98.8143                 NaN  0.256254                 NaN  0.929459                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.48        500.000                 NaN   98.8306                 NaN  0.253048                 NaN  0.916397                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.07        500.000                 NaN   98.8463                 NaN  0.243185                 NaN  0.910560                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.65        500.000                 NaN   98.8641                 NaN  0.238790                 NaN  0.897116                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.24        500.000       0.541736E-004   98.8811                 NaN  0.235122                 NaN  0.883709                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.82        500.000                 NaN   98.8867                 NaN  0.159316                 NaN  0.110077       0.843901                 NaN            NaN            NaN            NaN            NaN            NaN
  1493.41        500.000                 NaN   98.8990                 NaN  0.176056                 NaN  0.837457       0.874476E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1492.00        500.000                 NaN   98.9178                 NaN  0.110795                 NaN  0.806903       0.164491                 NaN            NaN            NaN            NaN            NaN            NaN
  1490.58        500.000       0.298814E-002   98.9226                 NaN  0.877879E-002            NaN  0.769681       0.295908                 NaN            NaN            NaN            NaN            NaN            NaN
  1489.17        500.000       0.348126E-002   98.9342                 NaN            NaN            NaN  0.302861       0.759441                 NaN            NaN            NaN            NaN            NaN            NaN
  1487.76        500.000       0.354312E-002   98.9415                 NaN            NaN            NaN  0.754530       0.300379                 NaN            NaN            NaN            NaN            NaN            NaN
  1486.34        500.000       0.285138E-002   98.9618                 NaN            NaN            NaN  0.739904       0.295430                 NaN            NaN            NaN            NaN            NaN            NaN
  1484.93        500.000       0.301180E-002   98.9799                 NaN            NaN            NaN  0.725818       0.291280                 NaN            NaN            NaN            NaN            NaN            NaN
  1483.51        500.000       0.302164E-002   98.9857                 NaN            NaN            NaN  0.289849       0.721466                 NaN            NaN            NaN            NaN            NaN            NaN
  1482.10        500.000       0.293637E-002   98.9978                 NaN            NaN            NaN  0.713030       0.286201                 NaN            NaN            NaN            NaN            NaN            NaN
  1480.69        500.000       0.284799E-002   99.0101                 NaN            NaN            NaN  0.704206       0.282809                 NaN            NaN            NaN            NaN            NaN            NaN
  1479.27        500.000       0.277392E-002   99.0216                 NaN            NaN            NaN  0.695778       0.279848                 NaN            NaN            NaN            NaN            NaN            NaN
  1477.86        500.000       0.270327E-002   99.0321                 NaN            NaN            NaN  0.688032       0.277174                 NaN            NaN            NaN            NaN            NaN            NaN
  1476.45        500.000       0.261817E-002   99.0441                 NaN            NaN            NaN  0.679876       0.273424                 NaN            NaN            NaN            NaN            NaN            NaN
  1475.03        500.000       0.254575E-002   99.0552                 NaN            NaN            NaN  0.270973       0.671267                 NaN            NaN            NaN            NaN            NaN            NaN
  1473.62        500.000       0.208197E-002   99.0422                 NaN            NaN            NaN  0.223300       0.722216                 NaN  0.102290E-001            NaN            NaN            NaN            NaN
  1472.20        500.000       0.196761E-002   99.0509                 NaN            NaN            NaN  0.720508       0.215342                 NaN  0.113184E-001            NaN            NaN            NaN            NaN
  1470.79        500.000       0.191201E-002   99.0644                 NaN            NaN            NaN  0.707456       0.215286                 NaN  0.109860E-001            NaN            NaN            NaN            NaN
  1469.38        500.000       0.185674E-002   99.0740                 NaN            NaN            NaN  0.699417       0.213965                 NaN  0.107560E-001            NaN            NaN            NaN            NaN
  1467.96        500.000       0.179831E-002   99.0882                 NaN            NaN            NaN  0.212819       0.686750                 NaN  0.104313E-001            NaN            NaN            NaN            NaN
  1466.55        500.000       0.174490E-002   99.0980                 NaN            NaN            NaN  0.211711       0.678374                 NaN  0.101630E-001            NaN            NaN            NaN            NaN
  1465.14        500.000       0.169044E-002   99.1095                 NaN            NaN            NaN  0.668360       0.210510                 NaN  0.988996E-002            NaN            NaN            NaN            NaN
  1463.72        500.000       0.163841E-002   99.1203                 NaN            NaN            NaN  0.209286       0.659086                 NaN  0.965271E-002            NaN            NaN            NaN            NaN
  1462.31        500.000       0.159009E-002   99.1307                 NaN            NaN            NaN  0.208461       0.649970                 NaN  0.932615E-002            NaN            NaN            NaN            NaN
  1460.89        500.000       0.154266E-002   99.1391                 NaN            NaN            NaN  0.206915       0.643343                 NaN  0.907236E-002            NaN            NaN            NaN            NaN
  1459.48        500.000       0.149328E-002   99.1496                 NaN            NaN            NaN  0.206630       0.633454                 NaN  0.882280E-002            NaN            NaN            NaN            NaN
  1458.07        500.000       0.144077E-002   99.1642                 NaN            NaN            NaN  0.205147       0.620756                 NaN  0.849556E-002            NaN            NaN            NaN            NaN
  1456.65        500.000       0.139127E-002   99.1700                 NaN            NaN            NaN  0.616864       0.203350                 NaN  0.837207E-002            NaN            NaN            NaN            NaN
  1455.24        500.000       0.134792E-002   99.1808                 NaN            NaN            NaN  0.202825       0.606983                 NaN  0.807703E-002            NaN            NaN            NaN            NaN
  1453.82        500.000       0.130171E-002   99.1893                 NaN            NaN            NaN  0.600019       0.201500                 NaN  0.787478E-002            NaN            NaN            NaN            NaN
  1452.41        500.000       0.125686E-002   99.1976                 NaN            NaN            NaN  0.200281       0.593195                 NaN  0.768051E-002            NaN            NaN            NaN            NaN
  1451.00        500.000       0.121466E-002   99.2076                 NaN            NaN            NaN  0.584438       0.199323                 NaN  0.739403E-002            NaN            NaN            NaN            NaN
  1449.58        500.000       0.116748E-002   99.2154                 NaN            NaN            NaN  0.197066       0.579220                 NaN  0.717518E-002            NaN            NaN            NaN            NaN
  1448.17        500.000       0.112873E-002   99.2255                 NaN            NaN            NaN  0.197084       0.569394                 NaN  0.694047E-002            NaN            NaN            NaN            NaN
  1446.76        500.000       0.108869E-002   99.2323                 NaN            NaN            NaN  0.563904       0.195978                 NaN  0.673836E-002            NaN            NaN            NaN            NaN
  1445.34        500.000       0.104832E-002   99.2413                 NaN            NaN            NaN  0.194974       0.556138                 NaN  0.652113E-002            NaN            NaN            NaN            NaN
  1443.93        500.000       0.100713E-002   99.2491                 NaN            NaN            NaN  0.193742       0.549894                 NaN  0.630508E-002            NaN            NaN            NaN            NaN
  1442.51        500.000       0.970694E-003   99.2567                 NaN            NaN            NaN  0.543359       0.192863                 NaN  0.608166E-002            NaN            NaN            NaN            NaN
  1441.10        500.000       0.931643E-003   99.2638                 NaN            NaN            NaN  0.192025       0.537324                 NaN  0.588203E-002            NaN            NaN            NaN            NaN
  1439.69        500.000       0.896198E-003   99.2713                 NaN            NaN            NaN  0.190782       0.531296                 NaN  0.572478E-002            NaN            NaN            NaN            NaN
  1438.27        500.000       0.858764E-003   99.2810                 NaN            NaN            NaN  0.522969       0.189732                 NaN  0.545593E-002            NaN            NaN            NaN            NaN
  1436.86        500.000       0.820167E-003   99.2862                 NaN            NaN            NaN  0.519518       0.188101                 NaN  0.533140E-002            NaN            NaN            NaN            NaN
  1435.45        500.000       0.786032E-003   99.2946                 NaN            NaN            NaN  0.187430       0.512098                 NaN  0.506588E-002            NaN            NaN            NaN            NaN
  1434.03        500.000       0.752257E-003   99.3010                 NaN            NaN            NaN  0.506654       0.186711                 NaN  0.488334E-002            NaN            NaN            NaN            NaN
  1432.62        500.000       0.720403E-003   99.3077                 NaN            NaN            NaN  0.185398       0.501491                 NaN  0.470936E-002            NaN            NaN            NaN            NaN
  1431.20        500.000       0.687613E-003   99.3146                 NaN            NaN            NaN  0.495544       0.184609                 NaN  0.455044E-002            NaN            NaN            NaN            NaN
  1429.79        500.000       0.653910E-003   99.3214                 NaN            NaN            NaN  0.489812       0.183739                 NaN  0.434791E-002            NaN            NaN            NaN            NaN
  1428.38        500.000       0.623924E-003   99.3276                 NaN            NaN            NaN  0.484922       0.182643                 NaN  0.421645E-002            NaN            NaN            NaN            NaN
  1426.96        500.000       0.589764E-003   99.3339                 NaN            NaN            NaN  0.181796       0.479680                 NaN  0.399511E-002            NaN            NaN            NaN            NaN
  1425.55        500.000       0.562151E-003   99.3400                 NaN            NaN            NaN  0.474656       0.180999                 NaN  0.380740E-002            NaN            NaN            NaN            NaN
  1424.14        500.000       0.530466E-003   99.3463                 NaN            NaN            NaN  0.469672       0.179815                 NaN  0.364720E-002            NaN            NaN            NaN            NaN
  1422.72        500.000       0.501163E-003   99.3523                 NaN            NaN            NaN  0.178932       0.464740                 NaN  0.348284E-002            NaN            NaN            NaN            NaN
  1421.31        500.000       0.472193E-003   99.3572                 NaN            NaN            NaN  0.178294       0.460740                 NaN  0.331913E-002            NaN            NaN            NaN            NaN
  1419.89        500.000       0.447188E-003   99.3646                 NaN            NaN            NaN  0.177211       0.454593                 NaN  0.312862E-002            NaN            NaN            NaN            NaN
  1418.48        500.000       0.416841E-003   99.3693                 NaN            NaN            NaN  0.450969       0.176343                 NaN  0.296693E-002            NaN            NaN            NaN            NaN
  1417.07        500.000       0.388463E-003   99.3753                 NaN            NaN            NaN  0.446112       0.175471                 NaN  0.277147E-002            NaN            NaN            NaN            NaN
  1415.65        500.000       0.344225E-003   99.4102                 NaN            NaN            NaN  0.166222       0.420772                 NaN  0.250450E-002            NaN            NaN            NaN            NaN
  1414.24        500.000       0.357488E-003   99.3551                 NaN            NaN            NaN  0.182392       0.459453                 NaN  0.265917E-002            NaN            NaN            NaN            NaN
  1412.83        500.000       0.311604E-003   99.3914                 NaN            NaN            NaN  0.172864       0.433123                 NaN  0.228337E-002            NaN            NaN            NaN            NaN
  1411.41        500.000       0.286597E-003   99.3969                 NaN            NaN            NaN  0.428589       0.172090                 NaN  0.213435E-002            NaN            NaN            NaN            NaN
  1410.00        500.000       0.261612E-003   99.4012                 NaN            NaN            NaN  0.425192       0.171360                 NaN  0.198915E-002            NaN            NaN            NaN            NaN
  1408.58        500.000                 NaN   98.3962                 NaN            NaN            NaN  0.448597       0.620036                 NaN  0.291472E-001  0.506049                 NaN            NaN            NaN
  1407.17        500.000                 NaN   98.1036                 NaN            NaN            NaN  0.670417       0.528387                 NaN  0.371381E-001  0.660416                 NaN            NaN            NaN
  1405.76        500.000                 NaN   98.1564                 NaN            NaN            NaN  0.653144       0.512236                 NaN  0.358493E-001  0.642367                 NaN            NaN            NaN
  1404.34        500.000                 NaN   98.2044                 NaN            NaN            NaN  0.637460       0.497574                 NaN  0.346788E-001  0.625875                 NaN            NaN            NaN
  1402.93        500.000                 NaN   98.2517                 NaN            NaN            NaN  0.620852       0.484505                 NaN  0.335021E-001  0.609398                 NaN            NaN            NaN
  1401.51        500.000                 NaN   98.2967                 NaN            NaN            NaN  0.606581       0.470331                 NaN  0.324144E-001  0.593968                 NaN            NaN            NaN
  1400.10        500.000                 NaN   98.3391                 NaN            NaN            NaN  0.457467       0.592642                 NaN  0.313960E-001  0.579381                 NaN            NaN            NaN
  1398.69        500.000                 NaN   98.3801                 NaN            NaN            NaN  0.445081       0.579222                 NaN  0.303693E-001  0.565178                 NaN            NaN            NaN
  1397.27        500.000                 NaN   98.4198                 NaN            NaN            NaN  0.565769       0.433588                 NaN  0.294193E-001  0.551444                 NaN            NaN            NaN
  1395.86        500.000                 NaN   98.4551                 NaN            NaN            NaN  0.553994       0.423258                 NaN  0.284800E-001  0.539164                 NaN            NaN            NaN
  1394.45        500.000                 NaN   98.4949                 NaN            NaN            NaN  0.411886       0.540238                 NaN  0.275559E-001  0.525391                 NaN            NaN            NaN
  1393.03        500.000                 NaN   98.5292                 NaN            NaN            NaN  0.401870       0.528853                 NaN  0.266905E-001  0.513426                 NaN            NaN            NaN
  1391.62        500.000                 NaN   98.5620                 NaN            NaN            NaN  0.517987       0.392045                 NaN  0.259231E-001  0.502061                 NaN            NaN            NaN
  1390.20        500.000                 NaN   98.5938                 NaN            NaN            NaN  0.506776       0.383394                 NaN  0.250789E-001  0.490974                 NaN            NaN            NaN
  1388.79        500.000                 NaN   98.6265                 NaN            NaN            NaN  0.495440       0.374547                 NaN  0.241979E-001  0.479292                 NaN            NaN            NaN
  1387.38        500.000                 NaN   98.6555                 NaN            NaN            NaN  0.366026       0.485768                 NaN  0.235036E-001  0.469163                 NaN            NaN            NaN
  1385.96        500.000                 NaN   98.6843                 NaN            NaN            NaN  0.357418       0.476253                 NaN  0.228352E-001  0.459167                 NaN            NaN            NaN
  1384.55        500.000                 NaN   98.7120                 NaN            NaN            NaN  0.350345       0.466229                 NaN  0.220712E-001  0.449361                 NaN            NaN            NaN
  1383.14        500.000                 NaN   98.7386                 NaN            NaN            NaN  0.456869       0.343198                 NaN  0.213717E-001  0.439970                 NaN            NaN            NaN
  1381.72        500.000                 NaN   98.7654                 NaN            NaN            NaN  0.335269       0.447984                 NaN  0.207382E-001  0.430612                 NaN            NaN            NaN
  1380.31        500.000                 NaN   98.7902                 NaN            NaN            NaN  0.328657       0.439169                 NaN  0.201007E-001  0.421921                 NaN            NaN            NaN
  1378.89        500.000                 NaN   98.8144                 NaN            NaN            NaN  0.322026       0.430849                 NaN  0.194687E-001  0.413255                 NaN            NaN            NaN
  1377.48        500.000                 NaN   98.8379                 NaN            NaN            NaN  0.315689       0.422484                 NaN  0.188795E-001  0.405012                 NaN            NaN            NaN
  1376.07        500.000                 NaN   98.8603                 NaN            NaN            NaN  0.309823       0.414599                 NaN  0.182535E-001  0.397073                 NaN            NaN            NaN
  1374.65        500.000                 NaN   10.5445        84.7188                 NaN            NaN  0.911691        1.99783                 NaN  0.112669        1.71450                 NaN            NaN            NaN
  1373.24        500.000                 NaN   29.5757        63.4042                 NaN            NaN   1.23141        3.04499                 NaN  0.177782        2.56591                 NaN            NaN            NaN
  1371.83        500.000                 NaN   40.4844        56.1016                 NaN            NaN   1.47658       0.604590                 NaN  0.849718E-001   1.24784                 NaN            NaN            NaN
  1370.41        500.000                 NaN   47.1413        50.7130                 NaN            NaN  0.922157       0.387542                 NaN  0.522597E-001  0.783733                 NaN            NaN            NaN
  1369.00        500.000                 NaN   51.7507        46.7154                 NaN            NaN  0.283271       0.654407                 NaN  0.365445E-001  0.559694                 NaN            NaN            NaN
  1367.58        500.000                 NaN   55.1152        43.7264                 NaN            NaN  0.220061       0.489709                 NaN  0.268160E-001  0.421852                 NaN            NaN            NaN
  1366.17        500.000                 NaN   57.7416        41.3190                 NaN            NaN  0.183350       0.393259                 NaN  0.211894E-001  0.341618                 NaN            NaN            NaN
  1364.76        500.000                 NaN   60.1413        38.9969                 NaN            NaN  0.340863       0.187321                 NaN  0.189908E-001  0.314623                 NaN            NaN            NaN
  1363.34        500.000                 NaN   67.1976        29.2595                 NaN            NaN   1.12192        1.20539                 NaN  0.369471E-001   1.17869                 NaN            NaN            NaN
  1361.93        500.000                 NaN   70.8543        28.5721                 NaN            NaN  0.227715       0.127713                 NaN  0.116630E-001  0.206480                 NaN            NaN            NaN
  1360.52        500.000                 NaN   72.4753        26.9794                 NaN            NaN  0.143268       0.192065                 NaN  0.110427E-001  0.198967                 NaN            NaN            NaN
  1359.10        500.000                 NaN   73.8327        25.7092                 NaN            NaN  0.122082       0.160506                 NaN  0.898005E-002  0.166496                 NaN            NaN            NaN
  1357.69        500.000                 NaN   99.6566                 NaN            NaN            NaN  0.139937                 NaN            NaN            NaN  0.203442                 NaN            NaN            NaN
  1356.27        500.000                 NaN   77.8828        21.0834                 NaN            NaN  0.549421       0.999760E-001            NaN            NaN  0.384423                 NaN            NaN            NaN
  1354.86        500.000                 NaN   85.5791        12.1809                 NaN            NaN  0.767251       0.671415                 NaN            NaN  0.801348                 NaN            NaN            NaN
  1353.45        500.000                 NaN   94.0207        3.89110                 NaN            NaN  0.693050       0.623255                 NaN            NaN  0.771927                 NaN            NaN            NaN
  1352.03        500.000       0.108709E-002   99.0609                 NaN            NaN            NaN  0.315828       0.269314                 NaN            NaN  0.352916                 NaN            NaN            NaN
  1350.62        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1349.20        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1347.79        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1346.38        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1344.96        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1343.55        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1342.14        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1340.72        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1339.31        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1337.89        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1336.48        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1335.07        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1333.65        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1332.24        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1330.83        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1329.41        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1328.00        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1326.58        500.000                 NaN   99.9350                 NaN            NaN            NaN  0.300355E-001            NaN            NaN            NaN  0.349513E-001            NaN            NaN            NaN
  1325.17        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1323.76        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1322.34        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1320.93        500.000                 NaN   99.9496                 NaN            NaN            NaN  0.364501E-001            NaN            NaN            NaN  0.139031E-001            NaN            NaN            NaN
  1319.52        500.000                 NaN   99.6007                 NaN            NaN            NaN  0.174840       0.993020E-001            NaN            NaN  0.125199                 NaN            NaN            NaN
  1318.10        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1316.69        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1315.27        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1313.86        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1312.45        500.000                 NaN   99.2605                 NaN            NaN            NaN  0.275934       0.230713                 NaN  0.360125E-001  0.196877                 NaN            NaN            NaN
  1311.03        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1309.62        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1308.21        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1306.79        500.000                 NaN   99.8947                 NaN            NaN            NaN  0.779413E-001            NaN            NaN  0.214267E-001  0.595181E-002            NaN            NaN            NaN
  1305.38        500.000       0.184664E-001   99.6476                 NaN            NaN            NaN  0.209572                 NaN            NaN            NaN  0.666541E-001  0.576855E-001            NaN            NaN
  1303.96        500.000                 NaN   99.0225                 NaN            NaN            NaN  0.506437                 NaN            NaN  0.808172E-001  0.326637       0.635945E-001            NaN            NaN
  1302.55        500.000                 NaN   99.9912                 NaN            NaN            NaN  0.470549E-002            NaN            NaN            NaN  0.379786E-002  0.272345E-003            NaN            NaN
  1301.14        500.000                 NaN   99.9912                 NaN            NaN            NaN  0.472812E-002            NaN            NaN            NaN  0.378114E-002  0.246134E-003            NaN            NaN
  1299.72        500.000                 NaN   99.9912                 NaN            NaN            NaN  0.475952E-002            NaN            NaN            NaN  0.378196E-002  0.234411E-003            NaN            NaN
  1298.31        500.000                 NaN   99.9912                 NaN            NaN            NaN  0.480794E-002            NaN            NaN            NaN  0.378001E-002  0.201337E-003            NaN            NaN
  1296.89        500.000                 NaN   99.9911                 NaN            NaN            NaN  0.490208E-002            NaN            NaN            NaN  0.380248E-002  0.168316E-003            NaN            NaN
