|6.6.6
Archiving\03_Data\eqfracLP/QFM_m4.75/GRV/GRV_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        iron           an             ilm            San(TH)        q             
  1530.17        500.000       0.109050E-001   98.2912                 NaN            NaN            NaN  0.682569        1.01528                 NaN            NaN            NaN            NaN            NaN            NaN
  1528.76        500.000       0.943468E-002   98.3559                 NaN            NaN            NaN   1.63470                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.34        500.000       0.116976E-001   98.0310                 NaN            NaN            NaN  0.965373       0.991882                 NaN            NaN            NaN            NaN            NaN            NaN
  1525.93        500.000       0.102081E-001   98.2387                 NaN            NaN            NaN   1.23961       0.511521                 NaN            NaN            NaN            NaN            NaN            NaN
  1524.51        500.000       0.100047E-001   98.2644                 NaN            NaN            NaN   1.22258       0.503030                 NaN            NaN            NaN            NaN            NaN            NaN
  1523.10        500.000       0.979469E-002   98.2895                 NaN            NaN            NaN  0.494284        1.20643                 NaN            NaN            NaN            NaN            NaN            NaN
  1521.69        500.000       0.954528E-002   98.3202                 NaN            NaN            NaN   1.18322       0.487071                 NaN            NaN            NaN            NaN            NaN            NaN
  1520.27        500.000       0.932152E-002   98.3435                 NaN            NaN            NaN   1.16928       0.477921                 NaN            NaN            NaN            NaN            NaN            NaN
  1518.86        500.000       0.910136E-002   98.3681                 NaN            NaN            NaN   1.15283       0.469970                 NaN            NaN            NaN            NaN            NaN            NaN
  1517.45        500.000       0.888971E-002   98.3917                 NaN            NaN            NaN   1.13760       0.461838                 NaN            NaN            NaN            NaN            NaN            NaN
  1516.03        500.000       0.807982E-002   98.4158                 NaN  0.278491E-001            NaN  0.418301        1.12996                 NaN            NaN            NaN            NaN            NaN            NaN
  1514.62        500.000       0.697899E-003   98.4314                 NaN  0.359129                 NaN   1.20878                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.20        500.000       0.473331E-003   98.4558                 NaN  0.354422                 NaN   1.18933                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.79        500.000       0.363701E-003   98.4782                 NaN  0.346041                 NaN   1.17541                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.38        500.000       0.195092E-003   98.5062                 NaN  0.339423                 NaN   1.15414                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.96        500.000       0.837227E-004   98.5255                 NaN  0.332873                 NaN   1.14152                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.55        500.000       0.316816E-004   98.5494                 NaN  0.328075                 NaN   1.12248                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.13        500.000       0.396887E-004   98.5669                 NaN  0.322993                 NaN   1.11005                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.72        500.000                 NaN   98.5949                 NaN  0.310925                 NaN   1.09421                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.31        500.000                 NaN   98.6094                 NaN  0.303971                 NaN   1.08661                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.89        500.000                 NaN   98.6355                 NaN  0.297687                 NaN   1.06686                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.48        500.000                 NaN   98.6534                 NaN  0.294177                 NaN   1.05238                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.07        500.000                 NaN   98.6707                 NaN  0.282930                 NaN   1.04633                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.65        500.000                 NaN   98.6908                 NaN  0.277963                 NaN   1.03128                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.24        500.000       0.867022E-004   98.7097                 NaN  0.273893                 NaN   1.01634                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.82        500.000                 NaN   98.7155                 NaN  0.185707                 NaN  0.127624       0.971160                 NaN            NaN            NaN            NaN            NaN            NaN
  1493.41        500.000                 NaN   98.7291                 NaN  0.205336                 NaN  0.964114       0.101439                 NaN            NaN            NaN            NaN            NaN            NaN
  1492.00        500.000                 NaN   98.7502                 NaN  0.129320                 NaN  0.929500       0.190954                 NaN            NaN            NaN            NaN            NaN            NaN
  1490.58        500.000       0.477916E-002   98.7542                 NaN  0.102527E-001            NaN  0.887017       0.343727                 NaN            NaN            NaN            NaN            NaN            NaN
  1489.17        500.000       0.556753E-002   98.7666                 NaN            NaN            NaN  0.352062       0.875764                 NaN            NaN            NaN            NaN            NaN            NaN
  1487.76        500.000       0.566540E-002   98.7743                 NaN            NaN            NaN  0.870533       0.349454                 NaN            NaN            NaN            NaN            NaN            NaN
  1486.34        500.000       0.455917E-002   98.7975                 NaN            NaN            NaN  0.854091       0.343891                 NaN            NaN            NaN            NaN            NaN            NaN
  1484.93        500.000       0.481437E-002   98.8177                 NaN            NaN            NaN  0.838267       0.339261                 NaN            NaN            NaN            NaN            NaN            NaN
  1483.51        500.000       0.482924E-002   98.8236                 NaN            NaN            NaN  0.337838       0.833707                 NaN            NaN            NaN            NaN            NaN            NaN
  1482.10        500.000       0.469244E-002   98.8371                 NaN            NaN            NaN  0.824412       0.333825                 NaN            NaN            NaN            NaN            NaN            NaN
  1480.69        500.000       0.455082E-002   98.8507                 NaN            NaN            NaN  0.814632       0.330085                 NaN            NaN            NaN            NaN            NaN            NaN
  1479.27        500.000       0.443194E-002   98.8634                 NaN            NaN            NaN  0.805333       0.326864                 NaN            NaN            NaN            NaN            NaN            NaN
  1477.86        500.000       0.431847E-002   98.8749                 NaN            NaN            NaN  0.796810       0.323954                 NaN            NaN            NaN            NaN            NaN            NaN
  1476.45        500.000       0.418205E-002   98.8882                 NaN            NaN            NaN  0.787825       0.319823                 NaN            NaN            NaN            NaN            NaN            NaN
  1475.03        500.000       0.406571E-002   98.9005                 NaN            NaN            NaN  0.317161       0.778233                 NaN            NaN            NaN            NaN            NaN            NaN
  1473.62        500.000       0.332456E-002   98.8703                 NaN            NaN            NaN  0.261533       0.837725                 NaN  0.271344E-001            NaN            NaN            NaN            NaN
  1472.20        500.000       0.314129E-002   98.8781                 NaN            NaN            NaN  0.836291       0.252427                 NaN  0.300379E-001            NaN            NaN            NaN            NaN
  1470.79        500.000       0.305304E-002   98.8935                 NaN            NaN            NaN  0.821692       0.252559                 NaN  0.291698E-001            NaN            NaN            NaN            NaN
  1469.38        500.000       0.296455E-002   98.9043                 NaN            NaN            NaN  0.812897       0.251216                 NaN  0.285725E-001            NaN            NaN            NaN            NaN
  1467.96        500.000       0.287138E-002   98.9206                 NaN            NaN            NaN  0.250068       0.798703                 NaN  0.277234E-001            NaN            NaN            NaN            NaN
  1466.55        500.000       0.278616E-002   98.9317                 NaN            NaN            NaN  0.248975       0.789505                 NaN  0.270230E-001            NaN            NaN            NaN            NaN
  1465.14        500.000       0.269922E-002   98.9449                 NaN            NaN            NaN  0.778366       0.247769                 NaN  0.263094E-001            NaN            NaN            NaN            NaN
  1463.72        500.000       0.261589E-002   98.9571                 NaN            NaN            NaN  0.246523       0.768076                 NaN  0.256904E-001            NaN            NaN            NaN            NaN
  1462.31        500.000       0.253899E-002   98.9689                 NaN            NaN            NaN  0.245763       0.758011                 NaN  0.248329E-001            NaN            NaN            NaN            NaN
  1460.89        500.000       0.246289E-002   98.9784                 NaN            NaN            NaN  0.244162       0.750821                 NaN  0.241684E-001            NaN            NaN            NaN            NaN
  1459.48        500.000       0.238428E-002   98.9903                 NaN            NaN            NaN  0.244021       0.739757                 NaN  0.235147E-001            NaN            NaN            NaN            NaN
  1458.07        500.000       0.230047E-002   99.0072                 NaN            NaN            NaN  0.242469       0.725415                 NaN  0.226532E-001            NaN            NaN            NaN            NaN
  1456.65        500.000       0.222140E-002   99.0136                 NaN            NaN            NaN  0.721343       0.240536                 NaN  0.223342E-001            NaN            NaN            NaN            NaN
  1455.24        500.000       0.215208E-002   99.0259                 NaN            NaN            NaN  0.240122       0.710276                 NaN  0.215572E-001            NaN            NaN            NaN            NaN
  1453.82        500.000       0.207833E-002   99.0355                 NaN            NaN            NaN  0.702596       0.238750                 NaN  0.210271E-001            NaN            NaN            NaN            NaN
  1452.41        500.000       0.200650E-002   99.0449                 NaN            NaN            NaN  0.237508       0.695060                 NaN  0.205179E-001            NaN            NaN            NaN            NaN
  1451.00        500.000       0.193933E-002   99.0564                 NaN            NaN            NaN  0.685305       0.236561                 NaN  0.197617E-001            NaN            NaN            NaN            NaN
  1449.58        500.000       0.186403E-002   99.0652                 NaN            NaN            NaN  0.234083       0.679679                 NaN  0.191856E-001            NaN            NaN            NaN            NaN
  1448.17        500.000       0.180204E-002   99.0768                 NaN            NaN            NaN  0.234307       0.668557                 NaN  0.185666E-001            NaN            NaN            NaN            NaN
  1446.76        500.000       0.173799E-002   99.0845                 NaN            NaN            NaN  0.662578       0.233197                 NaN  0.180341E-001            NaN            NaN            NaN            NaN
  1445.34        500.000       0.167354E-002   99.0948                 NaN            NaN            NaN  0.232186       0.653893                 NaN  0.174608E-001            NaN            NaN            NaN            NaN
  1443.93        500.000       0.160785E-002   99.1036                 NaN            NaN            NaN  0.230913       0.647010                 NaN  0.168900E-001            NaN            NaN            NaN            NaN
  1442.51        500.000       0.154973E-002   99.1123                 NaN            NaN            NaN  0.639769       0.230066                 NaN  0.162989E-001            NaN            NaN            NaN            NaN
  1441.10        500.000       0.148740E-002   99.1204                 NaN            NaN            NaN  0.229268       0.633101                 NaN  0.157711E-001            NaN            NaN            NaN            NaN
  1439.69        500.000       0.143040E-002   99.1289                 NaN            NaN            NaN  0.227974       0.626384                 NaN  0.153565E-001            NaN            NaN            NaN            NaN
  1438.27        500.000       0.137082E-002   99.1401                 NaN            NaN            NaN  0.617020       0.226896                 NaN  0.146419E-001            NaN            NaN            NaN            NaN
  1436.86        500.000       0.130910E-002   99.1459                 NaN            NaN            NaN  0.613366       0.225141                 NaN  0.143142E-001            NaN            NaN            NaN            NaN
  1435.45        500.000       0.125475E-002   99.1556                 NaN            NaN            NaN  0.224528       0.605034                 NaN  0.136075E-001            NaN            NaN            NaN            NaN
  1434.03        500.000       0.120087E-002   99.1628                 NaN            NaN            NaN  0.599017       0.223860                 NaN  0.131230E-001            NaN            NaN            NaN            NaN
  1432.62        500.000       0.114985E-002   99.1704                 NaN            NaN            NaN  0.222466       0.593343                 NaN  0.126612E-001            NaN            NaN            NaN            NaN
  1431.20        500.000       0.109742E-002   99.1783                 NaN            NaN            NaN  0.586670       0.221714                 NaN  0.122394E-001            NaN            NaN            NaN            NaN
  1429.79        500.000       0.104365E-002   99.1861                 NaN            NaN            NaN  0.580301       0.220859                 NaN  0.116999E-001            NaN            NaN            NaN            NaN
  1428.38        500.000       0.995794E-003   99.1931                 NaN            NaN            NaN  0.574871       0.219722                 NaN  0.113512E-001            NaN            NaN            NaN            NaN
  1426.96        500.000       0.941231E-003   99.2003                 NaN            NaN            NaN  0.218894       0.569086                 NaN  0.107601E-001            NaN            NaN            NaN            NaN
  1425.55        500.000       0.897174E-003   99.2072                 NaN            NaN            NaN  0.563533       0.218122                 NaN  0.102591E-001            NaN            NaN            NaN            NaN
  1424.14        500.000       0.846561E-003   99.2144                 NaN            NaN            NaN  0.557993       0.216880                 NaN  0.983182E-002            NaN            NaN            NaN            NaN
  1422.72        500.000       0.799747E-003   99.2213                 NaN            NaN            NaN  0.215994       0.552511                 NaN  0.939290E-002            NaN            NaN            NaN            NaN
  1421.31        500.000       0.753457E-003   99.2267                 NaN            NaN            NaN  0.215416       0.548148                 NaN  0.895534E-002            NaN            NaN            NaN            NaN
  1419.89        500.000       0.713574E-003   99.2353                 NaN            NaN            NaN  0.214289       0.541205                 NaN  0.844509E-002            NaN            NaN            NaN            NaN
  1418.48        500.000       0.665051E-003   99.2406                 NaN            NaN            NaN  0.537292       0.213416                 NaN  0.801214E-002            NaN            NaN            NaN            NaN
  1417.07        500.000       0.619893E-003   99.2474                 NaN            NaN            NaN  0.531892       0.212553                 NaN  0.748761E-002            NaN            NaN            NaN            NaN
  1415.65        500.000       0.549213E-003   99.2891                 NaN            NaN            NaN  0.201538       0.502049                 NaN  0.676958E-002            NaN            NaN            NaN            NaN
  1414.24        500.000       0.570215E-003   99.2225                 NaN            NaN            NaN  0.221282       0.548471                 NaN  0.719006E-002            NaN            NaN            NaN            NaN
  1412.83        500.000       0.497124E-003   99.2659                 NaN            NaN            NaN  0.209951       0.517499                 NaN  0.617705E-002            NaN            NaN            NaN            NaN
  1411.41        500.000       0.457216E-003   99.2722                 NaN            NaN            NaN  0.512439       0.209175                 NaN  0.577643E-002            NaN            NaN            NaN            NaN
  1410.00        500.000       0.417324E-003   99.2770                 NaN            NaN            NaN  0.508741       0.208474                 NaN  0.538581E-002            NaN            NaN            NaN            NaN
  1408.58        500.000                 NaN   98.1399                 NaN            NaN            NaN  0.545833       0.741874                 NaN  0.788948E-001  0.493538                 NaN            NaN            NaN
  1407.17        500.000                 NaN   97.8079                 NaN            NaN            NaN  0.803108       0.643783                 NaN  0.100610       0.644612                 NaN            NaN            NaN
  1405.76        500.000                 NaN   97.8660                 NaN            NaN            NaN  0.783711       0.625224                 NaN  0.972463E-001  0.627794                 NaN            NaN            NaN
  1404.34        500.000                 NaN   97.9188                 NaN            NaN            NaN  0.766148       0.608412                 NaN  0.941937E-001  0.612449                 NaN            NaN            NaN
  1402.93        500.000                 NaN   97.9709                 NaN            NaN            NaN  0.747414       0.593511                 NaN  0.911154E-001  0.597075                 NaN            NaN            NaN
  1401.51        500.000                 NaN   98.0205                 NaN            NaN            NaN  0.731423       0.577149                 NaN  0.882706E-001  0.582684                 NaN            NaN            NaN
  1400.10        500.000                 NaN   98.0672                 NaN            NaN            NaN  0.562348       0.715760                 NaN  0.856069E-001  0.569078                 NaN            NaN            NaN
  1398.69        500.000                 NaN   98.1125                 NaN            NaN            NaN  0.548080       0.700699                 NaN  0.829125E-001  0.555812                 NaN            NaN            NaN
  1397.27        500.000                 NaN   98.1562                 NaN            NaN            NaN  0.685515       0.534847                 NaN  0.804205E-001  0.542970                 NaN            NaN            NaN
  1395.86        500.000                 NaN   98.1951                 NaN            NaN            NaN  0.672358       0.523037                 NaN  0.779505E-001  0.531524                 NaN            NaN            NaN
  1394.45        500.000                 NaN   98.2394                 NaN            NaN            NaN  0.509846       0.656665                 NaN  0.755158E-001  0.518575                 NaN            NaN            NaN
  1393.03        500.000                 NaN   98.2772                 NaN            NaN            NaN  0.498294       0.643873                 NaN  0.732348E-001  0.507374                 NaN            NaN            NaN
  1391.62        500.000                 NaN   98.3135                 NaN            NaN            NaN  0.631618       0.486923                 NaN  0.712170E-001  0.496735                 NaN            NaN            NaN
  1390.20        500.000                 NaN   98.3487                 NaN            NaN            NaN  0.618984       0.476990                 NaN  0.689822E-001  0.486342                 NaN            NaN            NaN
  1388.79        500.000                 NaN   98.3851                 NaN            NaN            NaN  0.606089       0.466812                 NaN  0.666400E-001  0.475331                 NaN            NaN            NaN
  1387.38        500.000                 NaN   98.4173                 NaN            NaN            NaN  0.456941       0.595159                 NaN  0.648062E-001  0.465831                 NaN            NaN            NaN
  1385.96        500.000                 NaN   98.4492                 NaN            NaN            NaN  0.446917       0.584392                 NaN  0.630392E-001  0.456437                 NaN            NaN            NaN
  1384.55        500.000                 NaN   98.4800                 NaN            NaN            NaN  0.438829       0.573006                 NaN  0.610029E-001  0.447206                 NaN            NaN            NaN
  1383.14        500.000                 NaN   98.5095                 NaN            NaN            NaN  0.562382       0.430596                 NaN  0.591399E-001  0.438364                 NaN            NaN            NaN
  1381.72        500.000                 NaN   98.5394                 NaN            NaN            NaN  0.421321       0.552272                 NaN  0.574548E-001  0.429531                 NaN            NaN            NaN
  1380.31        500.000                 NaN   98.5670                 NaN            NaN            NaN  0.413687       0.542240                 NaN  0.557539E-001  0.421340                 NaN            NaN            NaN
  1378.89        500.000                 NaN   98.5940                 NaN            NaN            NaN  0.406007       0.532785                 NaN  0.540639E-001  0.413151                 NaN            NaN            NaN
  1377.48        500.000                 NaN   98.6203                 NaN            NaN            NaN  0.398654       0.523227                 NaN  0.524885E-001  0.405364                 NaN            NaN            NaN
  1376.07        500.000                 NaN   98.6452                 NaN            NaN            NaN  0.391893       0.514265                 NaN  0.508068E-001  0.397861                 NaN            NaN            NaN
  1374.65        500.000                 NaN   10.1062        84.2421                 NaN            NaN   1.15102        2.47336                 NaN  0.312957        1.71431                 NaN            NaN            NaN
  1373.24        500.000                 NaN   28.4435        63.1451                 NaN            NaN   1.55955        3.78202                 NaN  0.495519        2.57433                 NaN            NaN            NaN
  1371.83        500.000                 NaN   39.4062        56.4559                 NaN            NaN   1.85618       0.774927                 NaN  0.239706        1.26706                 NaN            NaN            NaN
  1370.41        500.000                 NaN   46.1440        51.2421                 NaN            NaN   1.16583       0.499537                 NaN  0.148256       0.800265                 NaN            NaN            NaN
  1369.00        500.000                 NaN   50.8299        47.2960                 NaN            NaN  0.366408       0.830235                 NaN  0.104030       0.573445                 NaN            NaN            NaN
  1367.58        500.000                 NaN   54.2659        44.3161                 NaN            NaN  0.285375       0.622880                 NaN  0.765224E-001  0.433252                 NaN            NaN            NaN
  1366.17        500.000                 NaN   56.9535        41.8950                 NaN            NaN  0.238231       0.501184                 NaN  0.605750E-001  0.351467                 NaN            NaN            NaN
  1364.76        500.000                 NaN   59.3965        39.5462                 NaN            NaN  0.435069       0.243765                 NaN  0.543651E-001  0.324129                 NaN            NaN            NaN
  1363.34        500.000                 NaN   66.0569        29.6288                 NaN            NaN   1.45882        1.53699                 NaN  0.105642        1.21281                 NaN            NaN            NaN
  1361.93        500.000                 NaN   70.1756        29.1168                 NaN            NaN  0.292601       0.167346                 NaN  0.335997E-001  0.214053                 NaN            NaN            NaN
  1360.52        500.000                 NaN   71.8361        27.4906                 NaN            NaN  0.187924       0.247037                 NaN  0.318405E-001  0.206436                 NaN            NaN            NaN
  1359.10        500.000                 NaN   73.2405        26.1937                 NaN            NaN  0.160306       0.206658                 NaN  0.259161E-001  0.172893                 NaN            NaN            NaN
  1357.69        500.000                 NaN   99.6089                 NaN            NaN            NaN  0.179658                 NaN            NaN            NaN  0.211410                 NaN            NaN            NaN
  1356.27        500.000                 NaN   77.3877        21.3758                 NaN            NaN  0.706236       0.131075                 NaN            NaN  0.399265                 NaN            NaN            NaN
  1354.86        500.000                 NaN   84.9534        12.3442                 NaN            NaN   1.00655       0.863641                 NaN            NaN  0.832209                 NaN            NaN            NaN
  1353.45        500.000                 NaN   93.5283        3.95090                 NaN            NaN  0.912402       0.804528                 NaN            NaN  0.803844                 NaN            NaN            NaN
  1352.03        500.000       0.187142E-002   98.8628                 NaN            NaN            NaN  0.417494       0.349034                 NaN            NaN  0.368799                 NaN            NaN            NaN
  1350.62        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1349.20        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1347.79        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1346.38        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1344.96        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1343.55        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1342.14        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1340.72        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1339.31        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1337.89        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1336.48        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1335.07        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1333.65        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1332.24        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1330.83        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1329.41        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1328.00        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1326.58        500.000                 NaN   99.9244                 NaN            NaN            NaN  0.390650E-001            NaN            NaN            NaN  0.365748E-001            NaN            NaN            NaN
  1325.17        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1323.76        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1322.34        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1320.93        500.000                 NaN   99.9379                 NaN            NaN            NaN  0.475606E-001            NaN            NaN            NaN  0.145480E-001            NaN            NaN            NaN
  1319.52        500.000                 NaN   99.5075                 NaN            NaN            NaN  0.228817       0.132740                 NaN            NaN  0.130968                 NaN            NaN            NaN
  1318.10        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1316.69        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1315.27        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1313.86        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1312.45        500.000                 NaN   99.0129                 NaN            NaN            NaN  0.371740       0.304516                 NaN  0.104846       0.205980                 NaN            NaN            NaN
  1311.03        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1309.62        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1308.21        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1306.79        500.000                 NaN   99.8282                 NaN            NaN            NaN  0.102987                 NaN            NaN  0.625355E-001  0.624145E-002            NaN            NaN            NaN
  1305.38        500.000       0.323816E-001   99.5176                 NaN            NaN            NaN  0.276424                 NaN            NaN            NaN  0.699108E-001  0.103656                 NaN            NaN
  1303.96        500.000                 NaN   98.6062                 NaN            NaN            NaN  0.700424                 NaN            NaN  0.236112       0.342857       0.114363                 NaN            NaN
  1302.55        500.000                 NaN   99.9890                 NaN            NaN            NaN  0.653827E-002            NaN            NaN            NaN  0.400314E-002  0.491824E-003            NaN            NaN
  1301.14        500.000                 NaN   99.9890                 NaN            NaN            NaN  0.657114E-002            NaN            NaN            NaN  0.398548E-002  0.444494E-003            NaN            NaN
  1299.72        500.000                 NaN   99.9890                 NaN            NaN            NaN  0.661511E-002            NaN            NaN            NaN  0.398630E-002  0.423326E-003            NaN            NaN
  1298.31        500.000                 NaN   99.9890                 NaN            NaN            NaN  0.668172E-002            NaN            NaN            NaN  0.398419E-002  0.363600E-003            NaN            NaN
  1296.89        500.000                 NaN   99.9889                 NaN            NaN            NaN  0.681423E-002            NaN            NaN            NaN  0.400783E-002  0.303969E-003            NaN            NaN
  1295.48        500.000                 NaN   99.9887                 NaN            NaN            NaN  0.706270E-002            NaN            NaN            NaN  0.406315E-002  0.210335E-003            NaN            NaN
