|6.6.6
Archiving\03_Data\eqfracLP/QFM_m2.5/EETA/EETA_3.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        an             Opx(TH)        O(HP)          Sp(TH)         San(TH)        ilm            q             
  1348.86        500.000        99.3297       0.794233E-001  0.253535       0.233668                 NaN  0.103691                 NaN            NaN            NaN            NaN
  1347.80        500.000        99.3363       0.771510E-001  0.251832       0.231358                 NaN  0.103356                 NaN            NaN            NaN            NaN
  1346.73        500.000        99.3420       0.251287       0.734609E-001  0.229625                 NaN  0.103641                 NaN            NaN            NaN            NaN
  1345.67        500.000        99.3504       0.734030E-001  0.247491       0.226445                 NaN  0.102310                 NaN            NaN            NaN            NaN
  1344.61        500.000        99.3553       0.706546E-001  0.247026       0.224765                 NaN  0.102225                 NaN            NaN            NaN            NaN
  1343.55        500.000        99.3599       0.685243E-001  0.245934       0.223322                 NaN  0.102272                 NaN            NaN            NaN            NaN
  1342.49        500.000        99.3691       0.243158       0.667130E-001  0.219886                 NaN  0.101112                 NaN            NaN            NaN            NaN
  1341.43        500.000        99.3719       0.243260       0.651659E-001  0.218886                 NaN  0.100775                 NaN            NaN            NaN            NaN
  1340.37        500.000        99.3793       0.631251E-001  0.240911       0.216371                 NaN  0.100295                 NaN            NaN            NaN            NaN
  1339.31        500.000        99.3862       0.238135       0.607004E-001  0.214271                 NaN  0.100647                 NaN            NaN            NaN            NaN
  1338.25        500.000        99.3916       0.596027E-001  0.237301       0.212117                 NaN  0.994173E-001            NaN            NaN            NaN            NaN
  1337.19        500.000        99.3968       0.236142       0.571892E-001  0.210436                 NaN  0.994603E-001            NaN            NaN            NaN            NaN
  1336.13        500.000        99.6457       0.970300E-001  0.114814       0.118137                 NaN  0.243368E-001            NaN            NaN            NaN            NaN
  1335.07        500.000        99.1576       0.357470       0.290494E-001  0.296523                 NaN  0.159397                 NaN            NaN            NaN            NaN
  1334.01        500.000        99.4205       0.205760E-001  0.245074       0.204294                 NaN  0.109580                 NaN            NaN            NaN            NaN
  1332.95        500.000        99.4186       0.518556E-001  0.229996       0.202607                 NaN  0.969304E-001            NaN            NaN            NaN            NaN
  1331.89        500.000        99.4233       0.228429       0.520739E-001  0.200643                 NaN  0.955580E-001            NaN            NaN            NaN            NaN
  1330.83        500.000        99.4291       0.491605E-001  0.227530       0.198684                 NaN  0.955142E-001            NaN            NaN            NaN            NaN
  1329.77        500.000        99.4340       0.225674       0.489328E-001  0.196903                 NaN  0.945128E-001            NaN            NaN            NaN            NaN
  1328.71        500.000        99.4285       0.230691       0.454148E-001  0.199520                 NaN  0.958311E-001            NaN            NaN            NaN            NaN
  1327.65        500.000        99.4539       0.218205       0.482657E-001  0.188859                 NaN  0.907881E-001            NaN            NaN            NaN            NaN
  1326.59        500.000        99.4490       0.221028       0.461856E-001  0.191432                 NaN  0.923657E-001            NaN            NaN            NaN            NaN
  1325.53        500.000        99.4515       0.221207       0.443824E-001  0.190649                 NaN  0.922329E-001            NaN            NaN            NaN            NaN
  1324.47        500.000        99.4603       0.216847       0.460745E-001  0.186973                 NaN  0.897967E-001            NaN            NaN            NaN            NaN
  1323.41        500.000        99.4629       0.444493E-001  0.216654       0.186239                 NaN  0.897898E-001            NaN            NaN            NaN            NaN
  1322.35        500.000        99.4674       0.215096       0.440798E-001  0.184547                 NaN  0.889169E-001            NaN            NaN            NaN            NaN
  1321.29        500.000        99.4724       0.437133E-001  0.213309       0.182632                 NaN  0.879309E-001            NaN            NaN            NaN            NaN
  1320.23        500.000        99.4782       0.213079       0.386305E-001  0.181065                 NaN  0.890174E-001            NaN            NaN            NaN            NaN
  1319.17        500.000        99.4810       0.210227       0.436318E-001  0.179344                 NaN  0.857984E-001            NaN            NaN            NaN            NaN
  1318.11        500.000        99.4863       0.424125E-001  0.208661       0.177417                 NaN  0.851933E-001            NaN            NaN            NaN            NaN
  1317.04        500.000        99.4886       0.207433       0.434227E-001  0.176505                 NaN  0.840894E-001            NaN            NaN            NaN            NaN
  1315.98        500.000        99.4943       0.205960       0.423269E-001  0.174284                 NaN  0.831094E-001            NaN            NaN            NaN            NaN
  1314.92        500.000        99.4982       0.421160E-001  0.204418       0.172910                 NaN  0.823559E-001            NaN            NaN            NaN            NaN
  1313.86        500.000        99.5021       0.429027E-001  0.202588       0.171377                 NaN  0.810738E-001            NaN            NaN            NaN            NaN
  1312.80        500.000        99.5069       0.404506E-001  0.202008       0.169739                 NaN  0.809192E-001            NaN            NaN            NaN            NaN
  1311.74        500.000        99.5096       0.199756       0.437191E-001  0.168292                 NaN  0.786249E-001            NaN            NaN            NaN            NaN
  1310.68        500.000        99.5143       0.428077E-001  0.198045       0.166684                 NaN  0.781409E-001            NaN            NaN            NaN            NaN
  1309.62        500.000        99.5186       0.431474E-001  0.195958       0.165105                 NaN  0.771613E-001            NaN            NaN            NaN            NaN
  1308.56        500.000        99.5218       0.195812       0.417600E-001  0.163935                 NaN  0.766446E-001            NaN            NaN            NaN            NaN
  1307.50        500.000        99.5258       0.449976E-001  0.192923       0.162041                 NaN  0.742105E-001            NaN            NaN            NaN            NaN
  1306.44        500.000        99.5292       0.191604       0.449714E-001  0.160830                 NaN  0.734095E-001            NaN            NaN            NaN            NaN
  1305.38        500.000        99.5327       0.456676E-001  0.190166       0.159365                 NaN  0.721344E-001            NaN            NaN            NaN            NaN
  1304.32        500.000        99.5360       0.189321       0.453402E-001  0.158124                 NaN  0.712421E-001            NaN            NaN            NaN            NaN
  1303.26        500.000        99.5398       0.187213       0.465905E-001  0.156535                 NaN  0.698389E-001            NaN            NaN            NaN            NaN
  1302.20        500.000        99.5431       0.184895       0.482660E-001  0.155238                 NaN  0.684712E-001            NaN            NaN            NaN            NaN
  1301.14        500.000        99.5465       0.481093E-001  0.184024       0.153916                 NaN  0.674730E-001            NaN            NaN            NaN            NaN
  1300.08        500.000        99.5500       0.491524E-001  0.182200       0.152518                 NaN  0.661773E-001            NaN            NaN            NaN            NaN
  1299.02        500.000        99.5527       0.510443E-001  0.180343       0.151309                 NaN  0.646182E-001            NaN            NaN            NaN            NaN
  1297.96        500.000        99.5560       0.178758       0.518277E-001  0.149997                 NaN  0.634222E-001            NaN            NaN            NaN            NaN
  1296.90        500.000        99.5596       0.176556       0.529602E-001  0.148632                 NaN  0.622479E-001            NaN            NaN            NaN            NaN
  1295.84        500.000        99.5620       0.175565       0.539127E-001  0.147584                 NaN  0.609340E-001            NaN            NaN            NaN            NaN
  1294.78        500.000        99.5656       0.555656E-001  0.173108       0.146177                 NaN  0.595811E-001            NaN            NaN            NaN            NaN
  1293.72        500.000        99.5663       0.576986E-001  0.172255       0.145738                 NaN  0.580425E-001            NaN            NaN            NaN            NaN
  1292.66        500.000        99.5724       0.169030       0.591133E-001  0.143174                 NaN  0.562450E-001            NaN            NaN            NaN            NaN
  1291.60        500.000        99.5743       0.602293E-001  0.167527       0.142571                 NaN  0.553971E-001            NaN            NaN            NaN            NaN
  1290.54        500.000        99.5770       0.165337       0.621578E-001  0.141485                 NaN  0.540457E-001            NaN            NaN            NaN            NaN
  1289.48        500.000        99.5800       0.163352       0.635185E-001  0.140337                 NaN  0.528270E-001            NaN            NaN            NaN            NaN
  1288.42        500.000        99.5823       0.651470E-001  0.162166       0.139236                 NaN  0.511937E-001            NaN            NaN            NaN            NaN
  1287.36        500.000        99.5856       0.159650       0.668679E-001  0.137945                 NaN  0.499178E-001            NaN            NaN            NaN            NaN
  1286.29        500.000        99.5874       0.157639       0.696638E-001  0.137064                 NaN  0.482096E-001            NaN            NaN            NaN            NaN
  1285.23        500.000        99.5902       0.155635       0.712989E-001  0.135956                 NaN  0.469181E-001            NaN            NaN            NaN            NaN
  1284.17        500.000        99.5924       0.153889       0.732733E-001  0.134988                 NaN  0.454587E-001            NaN            NaN            NaN            NaN
  1283.11        500.000        99.5947       0.729720E-001  0.153391       0.134156                 NaN  0.448111E-001            NaN            NaN            NaN            NaN
  1282.05        500.000        99.5971       0.795672E-001  0.148375       0.132944                 NaN  0.420276E-001            NaN            NaN            NaN            NaN
  1280.99        500.000        99.6000       0.146587       0.807388E-001  0.131761                 NaN  0.408901E-001            NaN            NaN            NaN            NaN
  1279.93        500.000        94.6120       0.435488       0.987268       0.686794                 NaN            NaN            NaN   3.27842                 NaN            NaN
  1278.87        500.000        94.3339       0.441446        1.04393       0.718347                 NaN            NaN            NaN   3.46234                 NaN            NaN
  1277.81        500.000        94.5817        1.02055       0.408769       0.691485                 NaN            NaN            NaN   3.29751                 NaN            NaN
  1276.75        500.000        94.8629       0.371171       0.989459       0.659267                 NaN  0.106552E-004            NaN   3.11715                 NaN            NaN
  1275.69        500.000        95.0938       0.334540       0.971355       0.633425                 NaN            NaN            NaN   2.96687                 NaN            NaN
  1274.63        500.000        95.2968       0.289107       0.969720       0.610957                 NaN            NaN            NaN   2.83345                 NaN            NaN
  1273.57        500.000        95.4985       0.964196       0.246228       0.587964                 NaN            NaN            NaN   2.70311                 NaN            NaN
  1272.51        500.000        95.4882       0.952005       0.251616       0.590861                 NaN            NaN            NaN   2.70489       0.124415E-001            NaN
  1271.45        500.000        94.0755       0.581415       0.887282       0.765590                 NaN            NaN            NaN   3.57611       0.114102                 NaN
  1270.39        500.000        94.4328       0.515573       0.871177       0.723643                 NaN  0.245577E-005            NaN   3.35073       0.106075                 NaN
  1269.33        500.000        94.7470        1.31505                 NaN  0.685746                 NaN            NaN            NaN   3.15291       0.992885E-001            NaN
  1268.27        500.000        95.0330        1.24856                 NaN  0.650961                 NaN            NaN            NaN   2.97437       0.931273E-001            NaN
  1267.21        500.000        95.3010        1.18601                 NaN  0.618099                 NaN            NaN            NaN   2.80746       0.874640E-001            NaN
  1266.15        500.000        95.5355        1.13091                 NaN  0.589174                 NaN            NaN            NaN   2.66187       0.825254E-001            NaN
  1265.09        500.000        95.7528        1.07958                 NaN  0.562301                 NaN            NaN            NaN   2.52739       0.779438E-001            NaN
  1264.03        500.000        95.9490        1.02726                 NaN  0.538393                 NaN  0.463325E-002            NaN   2.40678       0.739349E-001            NaN
  1262.97        500.000        96.1417       0.931535                 NaN  0.516195                 NaN  0.423282E-001            NaN   2.29672       0.715321E-001            NaN
  1261.91        500.000        96.3092       0.896897                 NaN  0.494801                 NaN  0.381600E-001            NaN   2.19308       0.679022E-001            NaN
  1260.85        500.000        96.4669       0.858578                 NaN  0.474562                 NaN  0.381038E-001            NaN   2.09704       0.647725E-001            NaN
  1259.79        500.000        96.6168       0.821610                 NaN  0.455280                 NaN  0.381534E-001            NaN   2.00642       0.617733E-001            NaN
  1258.73        500.000        96.7475       0.786488                 NaN  0.438207                 NaN  0.410570E-001            NaN   1.92742       0.593485E-001            NaN
  1257.67        500.000        96.8741       0.759796                 NaN  0.421774                 NaN  0.376144E-001            NaN   1.85016       0.565903E-001            NaN
  1256.60        500.000        96.9916       0.727779                 NaN  0.406364                 NaN  0.399600E-001            NaN   1.77994       0.543655E-001            NaN
  1255.54        500.000        97.1170       0.690272                 NaN  0.389968                 NaN  0.432662E-001            NaN   1.70733       0.521699E-001            NaN
  1254.48        500.000        97.1896       0.684600                 NaN  0.380031                 NaN  0.372930E-001            NaN   1.65835       0.501335E-001            NaN
  1253.42        500.000        97.2977       0.656010                 NaN  0.365852                 NaN  0.370603E-001            NaN   1.59541       0.480036E-001            NaN
  1252.36        500.000        97.3875       0.634242                 NaN  0.353835                 NaN  0.369416E-001            NaN   1.54128       0.461596E-001            NaN
  1251.30        500.000        97.4721       0.613279                 NaN  0.342404                 NaN  0.368444E-001            NaN   1.49092       0.444381E-001            NaN
  1250.24        500.000        97.5522       0.596600                 NaN  0.331651                 NaN  0.343277E-001            NaN   1.44257       0.426296E-001            NaN
  1249.18        500.000        97.6277       0.578610                 NaN  0.321414                 NaN  0.336556E-001            NaN   1.39759       0.410440E-001            NaN
  1248.12        500.000        97.6992       0.563454                 NaN  0.311653                 NaN  0.315673E-001            NaN   1.35470       0.394582E-001            NaN
  1247.06        500.000        97.7673       0.546129                 NaN  0.302289                 NaN  0.318384E-001            NaN   1.31440       0.380508E-001            NaN
  1246.00        500.000        97.8324       0.531014                 NaN  0.293333                 NaN  0.309850E-001            NaN   1.27565       0.366660E-001            NaN
  1244.94        500.000        97.8943       0.519400                 NaN  0.284845                 NaN  0.276447E-001            NaN   1.23861       0.351786E-001            NaN
  1243.88        500.000        97.9510       0.504574                 NaN  0.276804                 NaN  0.283919E-001            NaN   1.20522       0.340469E-001            NaN
  1242.82        500.000        98.0235       0.488799                 NaN  0.267287                 NaN  0.235964E-001            NaN   1.16442       0.324108E-001            NaN
  1241.76        500.000        98.0460       0.492221                 NaN  0.263386                 NaN  0.218019E-001            NaN   1.14504       0.315068E-001            NaN
  1240.70        500.000        98.1117       0.467293                 NaN  0.254216                 NaN  0.258690E-001            NaN   1.11038       0.305258E-001            NaN
  1239.64        500.000        98.1605       0.456489                 NaN  0.247459                 NaN  0.246605E-001            NaN   1.08144       0.294337E-001            NaN
  1238.58        500.000        98.2080       0.451176                 NaN  0.240747                 NaN  0.194093E-001            NaN   1.05249       0.281487E-001            NaN
  1237.52        500.000        98.2522       0.439767                 NaN  0.234354                 NaN  0.195583E-001            NaN   1.02690       0.272112E-001            NaN
  1236.46        500.000        98.2947       0.435383                 NaN  0.228522                 NaN  0.143453E-001            NaN   1.00095       0.260621E-001            NaN
  1235.40        500.000        98.3383       0.421129                 NaN  0.222421                 NaN  0.170618E-001            NaN  0.975877       0.251721E-001            NaN
  1234.34        500.000        98.3762       0.418961                 NaN  0.216567                 NaN  0.113548E-001            NaN  0.952738       0.242030E-001            NaN
  1233.28        500.000        98.4137       0.409887                 NaN  0.211354                 NaN  0.110590E-001            NaN  0.930716       0.233188E-001            NaN
  1232.22        500.000        98.4505       0.404565                 NaN  0.206122                 NaN  0.790975E-002            NaN  0.908564       0.223632E-001            NaN
  1231.16        500.000        98.4863       0.394050                 NaN  0.200816                 NaN  0.900297E-002            NaN  0.888193       0.216736E-001            NaN
  1230.10        500.000        98.5188       0.394931                 NaN  0.196271                 NaN  0.202201E-002            NaN  0.867362       0.205947E-001            NaN
  1229.04        500.000        98.5510       0.388158                 NaN  0.191438                 NaN  0.980972E-003            NaN  0.848598       0.198474E-001            NaN
  1227.98        500.000        98.5905       0.376678                 NaN  0.186182                 NaN            NaN            NaN  0.827492       0.191317E-001            NaN
  1226.92        500.000        98.6186       0.372124                 NaN  0.181791                 NaN            NaN            NaN  0.809156       0.183754E-001            NaN
  1225.85        500.000        98.6412       0.367176                 NaN  0.179187                 NaN            NaN            NaN  0.794869       0.175750E-001            NaN
  1224.79        500.000        98.6738       0.358015                 NaN  0.173873                 NaN            NaN            NaN  0.777161       0.171302E-001            NaN
  1223.73        500.000        98.7038       0.349890                 NaN  0.170811                 NaN            NaN            NaN  0.759314       0.161787E-001            NaN
  1222.67        500.000        98.7275       0.343714                 NaN  0.164098                 NaN            NaN            NaN  0.748153       0.165010E-001            NaN
  1221.61        500.000        98.7639       0.333401                 NaN  0.160038                 NaN            NaN            NaN  0.727083       0.155562E-001            NaN
  1220.55        500.000        98.7867       0.327820                 NaN  0.158178                 NaN            NaN            NaN  0.712620       0.146478E-001            NaN
  1219.49        500.000        98.8123       0.321065                 NaN  0.155119                 NaN  0.822716E-006            NaN  0.697541       0.139736E-001            NaN
  1218.43        500.000        98.8360       0.314603                 NaN  0.151205                 NaN            NaN            NaN  0.684571       0.135861E-001            NaN
  1217.37        500.000        98.8616       0.308140                 NaN  0.147585                 NaN            NaN            NaN  0.669627       0.130533E-001            NaN
  1216.31        500.000        98.8888       0.299973                 NaN  0.143099                 NaN            NaN            NaN  0.655394       0.127743E-001            NaN
  1215.25        500.000        98.9102       0.294147                 NaN  0.140383                 NaN            NaN            NaN  0.643012       0.122084E-001            NaN
  1214.19        500.000        98.9349       0.286945                 NaN  0.135590                 NaN            NaN            NaN  0.630504       0.121034E-001            NaN
  1213.13        500.000        98.9569       0.281334                 NaN  0.132917                 NaN            NaN            NaN  0.617294       0.115201E-001            NaN
  1212.07        500.000        98.6469       0.412416                 NaN  0.251094                 NaN            NaN            NaN  0.651647       0.379176E-001            NaN
  1211.01        500.000        98.0576       0.112434E-004            NaN  0.205754                 NaN  0.217110                 NaN   1.45131       0.876878E-003  0.673643E-001
  1209.95        500.000        86.0120       0.603612                 NaN   1.07567                 NaN  0.489119                 NaN   5.66293       0.826341E-001   6.07401     
  1208.89        500.000        68.2145        4.09839       0.153463        2.72935                 NaN            NaN            NaN   12.1999       0.109671        12.4947     
  1207.83        500.000        93.1214       0.115458E-001   1.00048       0.563933                 NaN            NaN            NaN   2.71575       0.391301E-001   2.54774     
  1206.77        500.000        97.0828       0.254477       0.943888E-001  0.228174                 NaN            NaN            NaN   1.14218       0.144799E-001   1.18350     
  1205.71        500.000        97.8458       0.100297                 NaN  0.116190                 NaN            NaN            NaN  0.891212       0.199200E-001   1.02654     
  1204.65        500.000        99.3459       0.187685E-002  0.845025E-001  0.791977E-001            NaN            NaN            NaN  0.635492E-001            NaN  0.424973     
  1203.59        500.000        99.6727       0.152499                 NaN  0.150973E-001            NaN            NaN            NaN  0.159705                 NaN            NaN
  1202.53        500.000        99.5672       0.453293E-001            NaN  0.372753E-001            NaN            NaN            NaN  0.153775                 NaN  0.196376     
  1201.47        500.000        99.6855       0.704779E-001            NaN  0.302238E-001            NaN            NaN            NaN  0.212236       0.158395E-002            NaN
  1200.41        500.000        95.3928       0.533900       0.226197E-005  0.368325                 NaN            NaN            NaN   1.84686       0.212894E-001   1.83678     
  1199.35        500.000        94.6902       0.537969                 NaN  0.399522                 NaN            NaN            NaN   2.17230       0.243448E-001   2.17568     
  1198.29        500.000        89.5679        1.31225                 NaN  0.908478                 NaN            NaN            NaN   4.05187       0.295352E-001   4.12994     
  1197.23        500.000        91.2352       0.963366       0.276826E-003  0.722305                 NaN  0.205267E-001            NaN   3.49372       0.307275E-001   3.53392     
  1196.16        500.000        98.5734       0.119042       0.293524E-001  0.111845                 NaN            NaN            NaN  0.578929       0.625448E-002  0.581202     
  1195.10        500.000        99.9398       0.311189E-002  0.346443E-002  0.478407E-002            NaN            NaN            NaN  0.243345E-001  0.233493E-003  0.242759E-001
  1194.04        500.000        73.3769        2.93964                 NaN   2.11534                 NaN            NaN            NaN   10.7341       0.933747E-001   10.7406     
  1192.98        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1191.92        500.000        99.9993       0.509283E-004            NaN  0.583700E-004            NaN  0.197267E-004            NaN  0.286493E-003  0.197889E-005  0.285034E-003
  1190.86        500.000        99.9994       0.415675E-004  0.458861E-005  0.432481E-004            NaN            NaN            NaN  0.206699E-003  0.265978E-005  0.257848E-003
  1189.80        500.000        55.2985        4.22518                 NaN   3.33487                 NaN            NaN            NaN   18.8516       0.145362        18.1445     
  1188.74        500.000                 NaN   8.71306                 NaN   7.19871                 NaN            NaN            NaN   42.9352       0.322109        40.8309     
  1187.68        500.000                 NaN   8.71285                 NaN   7.19869                 NaN            NaN            NaN   42.9347       0.322103        40.8317     
  1186.62        500.000                 NaN   8.71265                 NaN   7.19866                 NaN            NaN            NaN   42.9342       0.322097        40.8324     
  1185.56        500.000                 NaN   8.71245                 NaN   7.19863                 NaN            NaN            NaN   42.9337       0.322091        40.8331     
